sl_20_5400_20300705 Coordinates.csv
2030/07/05 07:47:00.0000 UTC

Generated: Tue Oct  8 21:49:57 2024,
Start: 2030/07/05 07:47:00.00, Stop: 2030/07/05 09:17:00.00,
TIME_UNITS,STARLINK-5611 - X-Coordinate,STARLINK-3516 - X-Coordinate,STARLINK-6227 - X-Coordinate,STARLINK-31261 - X-Coordinate,STARLINK-11249 [DTC] - X-Coordinate,STARLINK-1709 - X-Coordinate,STARLINK-1545 - X-Coordinate,STARLINK-1656 - X-Coordinate,STARLINK-31752 - X-Coordinate,STARLINK-6056 - X-Coordinate,STARLINK-30509 - X-Coordinate,STARLINK-30600 - X-Coordinate,STARLINK-11247 [DTC] - X-Coordinate,STARLINK-6289 - X-Coordinate,STARLINK-11254 [DTC] - X-Coordinate,STARLINK-31273 - X-Coordinate,STARLINK-1036 - X-Coordinate,STARLINK-31040 - X-Coordinate,STARLINK-31967 - X-Coordinate,STARLINK-31366 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5611 - Y-Coordinate,STARLINK-3516 - Y-Coordinate,STARLINK-6227 - Y-Coordinate,STARLINK-31261 - Y-Coordinate,STARLINK-11249 [DTC] - Y-Coordinate,STARLINK-1709 - Y-Coordinate,STARLINK-1545 - Y-Coordinate,STARLINK-1656 - Y-Coordinate,STARLINK-31752 - Y-Coordinate,STARLINK-6056 - Y-Coordinate,STARLINK-30509 - Y-Coordinate,STARLINK-30600 - Y-Coordinate,STARLINK-11247 [DTC] - Y-Coordinate,STARLINK-6289 - Y-Coordinate,STARLINK-11254 [DTC] - Y-Coordinate,STARLINK-31273 - Y-Coordinate,STARLINK-1036 - Y-Coordinate,STARLINK-31040 - Y-Coordinate,STARLINK-31967 - Y-Coordinate,STARLINK-31366 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5611 - Z-Coordinate,STARLINK-3516 - Z-Coordinate,STARLINK-6227 - Z-Coordinate,STARLINK-31261 - Z-Coordinate,STARLINK-11249 [DTC] - Z-Coordinate,STARLINK-1709 - Z-Coordinate,STARLINK-1545 - Z-Coordinate,STARLINK-1656 - Z-Coordinate,STARLINK-31752 - Z-Coordinate,STARLINK-6056 - Z-Coordinate,STARLINK-30509 - Z-Coordinate,STARLINK-30600 - Z-Coordinate,STARLINK-11247 [DTC] - Z-Coordinate,STARLINK-6289 - Z-Coordinate,STARLINK-11254 [DTC] - Z-Coordinate,STARLINK-31273 - Z-Coordinate,STARLINK-1036 - Z-Coordinate,STARLINK-31040 - Z-Coordinate,STARLINK-31967 - Z-Coordinate,STARLINK-31366 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,-4060.1881,-790.9013,-5111.1388,-4967.2627,5028.9651,-6280.4310,-6293.8314,-5366.5122,0.0000,1696.9617,219.5326,-6524.6681,6242.4739,2652.6630,-3967.7220,-4284.7203,-556.9842,4579.0988,841.0372,3514.1343,72524.7673,99619.1304,86209.0508,86702.7416,90265.9536,89612.0892,92892.4732,87992.1626,-260759230.2394,-260721867.0171,-260727699.4361,-260743641.1304,89414.2538,-260738827.9489,-4796.6321,4311.2375,-24.6926,501.9071,-3677.8652,1889.5798,2659.7001,4238.0765,0.0000,5616.3312,6706.8675,-2035.8294,-2141.4038,5221.0878,4448.5922,618.9685,-4235.6822,2908.0004,4185.7845,-3575.4908,368330.8480,380328.1923,380448.5189,376653.6751,367853.3418,373103.5780,376961.8547,374763.4055,229624498.1698,229624628.7638,229616498.3977,229632371.5143,375806.2807,229625549.5622,-2910.9882,-5203.4057,-4677.5999,4652.0756,2559.7894,2209.6494,246.0294,958.8265,0.0000,-3732.0096,-1593.1363,-565.9836,115.6834,-3703.9405,-2982.4180,5276.1708,5406.7021,4301.0313,-5362.8743,4560.3820,36557.4648,34515.3665,36040.9442,32399.3008,39238.4247,35092.2233,24543.8233,33946.2912,155205781.7864,155172559.7040,155223960.5252,155197521.1059,33610.8463,155205634.5132,
3000.000,-3850.2262,1342.8992,-5090.4690,-4536.9372,3432.2359,-6136.2895,-5560.0862,-4145.7093,0.0000,2068.0790,1748.1828,-6689.8332,5516.2577,4403.9030,-3219.5936,-3237.3455,-2552.9439,5966.9455,2752.8254,1991.2179,64733.5774,91741.6638,78354.0908,79076.0629,82342.1886,81488.1572,84945.9490,79890.1700,-265709702.4218,-265672618.9930,-265677625.8895,-265694666.0918,81446.4013,-265689309.0702,-3417.2010,3853.7851,2079.8831,2615.9140,-4186.0619,3172.6415,3662.2984,4831.1918,0.0000,4057.1167,5987.9793,-824.4227,-3194.9870,4696.7631,5689.4320,2539.2309,-3355.5914,1918.8772,3128.1524,-5055.5138,369696.9925,382320.7284,382340.4691,378684.0734,369638.7944,375255.6122,378714.9509,376701.4828,223877721.9312,223878244.2467,223870059.3441,223885401.9785,377609.5773,223878872.9116,-4633.5467,-5443.7661,-4214.3163,4375.7371,4004.2267,452.5410,-1563.2548,2669.2916,0.0000,-5255.2465,-2944.6699,1253.4535,-1718.9886,-2559.0768,-1294.1818,5444.7473,5450.5882,2943.2156,-5443.3587,4052.0333,36426.8942,34370.9471,35900.6478,32178.8662,39116.7309,35216.8051,24414.2468,33394.2355,155205889.5458,155172423.2504,155223694.1331,155197692.2116,33495.3710,155205480.8569,
3300.000,-3299.3739,3353.7449,-4615.9980,-3688.9191,1451.4180,-5385.6872,-4246.4684,-2494.5713,0.0000,2299.2675,3132.5128,-6174.5550,4150.2332,5718.5519,-2126.4896,-1909.5615,-4318.1638,6765.2204,4415.0870,296.0258,56918.2561,83821.3575,70463.4176,71444.0823,74382.8899,73311.3362,76965.3499,71859.9255,-270533540.6159,-270496746.5840,-270500930.9931,-270519036.2040,73442.2672,-270513160.0132,-1657.5658,3055.3167,3974.0863,4467.0230,-4287.8388,4136.3198,4304.0859,4967.0807,0.0000,2084.9039,4686.9535,485.2867,-3901.5141,3739.3852,6289.6806,4229.5484,-2195.8515,772.9781,1806.0204,-6032.0573,370898.9294,384148.9618,384061.6781,380542.3897,371257.1721,377272.0771,380300.0898,378534.4493,218024248.9564,218025150.3166,218016945.6344,218031698.5424,379243.9251,218025499.0806,-5859.8202,-5070.1577,-3299.7715,3609.5262,4981.8828,-1353.2732,-3198.2521,4090.4225,0.0000,-6222.6829,-3976.4193,2934.0962,-3340.9549,-1139.8249,549.9118,5004.6801,4902.4651,1269.3716,-4923.3575,3080.5777,36296.1064,34226.2436,35755.7520,31981.8766,38992.3771,35310.6341,24288.9148,32849.6201,155205996.8294,155172289.0139,155223421.9466,155197882.8070,33379.8757,155205326.9094,
3600.000,-2479.6707,5029.3176,-3724.3659,-2501.7078,-701.8121,-4093.6444,-2482.3804,-570.9856,0.0000,2380.2786,4246.2231,-5037.2013,2296.7885,6473.0442,-789.5970,-434.7398,-5671.8993,6893.5183,5654.0489,-1403.4019,49082.2455,75861.7348,62540.5330,63810.3974,66391.5599,65087.1834,68954.2194,63902.7314,-275228445.8725,-275191950.4062,-275195316.6132,-275214449.2082,65405.4343,-275208081.8059,308.1155,1995.0613,5475.0125,5865.7986,-3983.8406,4703.1713,4537.2894,4646.7769,0.0000,-99.1602,2935.6793,1777.7950,-4199.6735,2428.5795,6189.5981,5511.4202,-867.4410,-435.0872,349.3907,-6397.8855,371936.2798,385811.9695,385611.3173,382221.3350,372707.7639,379151.0415,381716.6404,380250.7863,212066869.1814,212068136.6144,212059946.6523,212074052.1407,380708.5959,212068217.8415,-6459.5304,-4124.3879,-2031.4681,2439.0843,5379.0793,-3013.6592,-4477.2074,5068.4148,0.0000,-6532.9672,-4576.8663,4289.8561,-4550.2431,401.7832,2327.6615,4004.9512,3821.7115,-540.7984,-3859.8407,1756.9183,36165.1030,34081.2749,35606.3128,31814.1161,38865.3772,35363.9966,24167.8162,32343.9016,155206103.5190,155172157.0227,155223144.0647,155198092.8199,33264.3604,155205172.6709,
3900.000,-1483.0866,6190.2700,-2489.5888,-1084.3447,-2795.1921,-2380.4731,-445.2713,1437.0779,0.0000,2307.1519,4985.5976,-3399.7262,165.6399,6599.3013,661.1835,1044.2716,-6472.4767,6339.1420,6335.7920,-2941.7850,41228.9925,67866.3345,54588.9566,56176.0418,58371.7146,56822.8156,60916.1102,56013.0586,-279792180.6982,-279755992.5211,-279758546.0464,-279778664.2395,57339.4998,-279771836.9253,2280.8667,772.9629,6438.6759,6668.9479,-3311.8068,4834.4591,4352.7805,3912.8824,0.0000,-2272.6566,908.9742,2935.6014,-4070.5632,877.8705,5408.8259,6245.4078,507.4630,-1606.1252,-1103.5278,-6107.9345,372808.7363,387308.9035,386988.6330,383712.3756,373989.9341,380887.7823,382964.0453,381835.4807,206008422.0614,206010042.3142,206001901.2724,206015303.4683,382002.9377,206009868.4873,-6369.1982,-2712.5517,-545.0863,995.4147,5149.6593,-4350.6033,-5258.5395,5497.6733,0.0000,-6153.6894,-4681.2900,5170.7974,-5198.4894,1900.1934,3824.6322,2557.0883,2325.5356,-2292.9579,-2369.5984,232.3580,36033.8858,33936.0590,35452.3948,31681.2799,38735.7443,35366.6999,24050.9416,31904.9847,155206209.4966,155172027.3056,155222860.5851,155198322.1188,33148.8253,155205018.1413,
4200.000,-411.1831,6709.7289,-1017.4995,433.3389,-4600.9625,-410.1546,1657.5549,3330.1507,0.0000,2082.0965,5278.8029,-1434.0240,-2000.2864,6091.0744,2079.7470,2388.8938,-6632.5886,5158.3105,6381.1568,-4172.7406,33361.9468,59838.7100,46612.2253,48538.7365,50326.8819,48526.9139,52854.5823,48179.6369,-284222570.1215,-284186697.5021,-284188445.0855,-284209502.9012,49248.0739,-284202250.3632,4056.8490,-499.2447,6774.2219,6794.4310,-2341.7845,4531.8238,3778.9022,2843.8133,0.0000,-4214.2793,-1192.9439,3849.6994,-3537.4157,-774.9192,4042.9640,6346.7942,1806.5417,-2644.2011,-2419.1003,-5185.1338,373516.0634,388638.9911,388192.9474,385006.5725,375103.1232,382474.1128,384041.8211,383270.7843,199851795.2179,199853754.7702,199845696.5084,199858341.6452,383126.3747,199853338.4783,-5598.3551,-993.6815,999.8625,-559.7614,4320.1717,-5221.3117,-5456.0708,5331.9638,0.0000,-5124.4838,-4278.4483,5479.6665,-5206.4917,3194.3092,4860.4448,822.9718,576.4803,-3799.3841,-616.9495,-1318.7819,35902.4562,33790.6123,35294.0712,31587.9470,38603.4901,35309.6151,23938.2829,31555.5939,155206314.6445,155171899.8916,155222571.6044,155198570.5020,33033.2703,155204863.3207,
4500.000,635.0686,6527.8723,562.9634,1912.4764,-5920.7163,1625.6614,3609.9435,4917.1036,0.0000,1713.8997,5092.7316,656.5252,-3952.2894,5003.8642,3318.4453,3477.7993,-6129.3060,3469.9343,5775.5583,-4982.7109,25484.5599,51782.4273,38613.8911,40892.8731,42260.6002,40209.2344,44773.2020,40386.7118,-288517502.7299,-288481953.4715,-288482903.0546,-288504850.3118,41134.7783,-288497210.6634,5448.1439,-1707.8167,6452.8826,6230.1304,-1168.9414,3835.1057,2877.2015,1545.2474,0.0000,-5726.1282,-3164.0329,4429.6298,-2661.5709,-2379.8973,2251.2591,5795.8720,2918.0842,-3464.0995,-3480.4031,-3718.8484,374058.0970,389801.5350,389223.6593,386096.0266,376046.8476,383898.5291,384949.5577,384537.0745,193599923.0618,193602208.1409,193594266.1372,193606102.8580,384078.4077,193601562.0660,-4228.6277,837.8100,2437.2405,-2052.3072,2986.9439,-5533.1153,-5048.0333,4589.1966,0.0000,-3553.2247,-3411.7269,5182.3914,-4573.2900,4145.0352,5310.5465,-1003.2788,-1235.2686,-4899.2785,1204.0938,-2719.3554,35770.8160,33644.9504,35131.4235,31536.3653,38468.6258,35186.7019,23829.8340,31312.0511,155206418.8451,155171774.8104,155222277.2181,155198837.6839,32917.6956,155204708.2090,
4800.000,1564.5440,5659.4580,2110.9263,3217.7821,-6607.6119,3526.2609,5208.7760,6034.5027,0.0000,1218.7078,4436.8710,2658.2289,-5463.9574,3448.5603,4243.2897,4217.7922,-5007.3113,1442.9726,4572.0810,-5301.1492,17600.2832,43701.0645,30597.5197,33230.6350,34176.4162,31879.6224,36675.5400,32615.3777,-292674931.6753,-292639713.1071,-292639873.8149,-292662656.1245,33003.2441,-292654670.9276,6302.7226,-2746.8715,5510.5148,5034.9184,95.4572,2817.0185,1735.8310,139.7148,0.0000,-6654.1164,-4812.4163,4612.3443,-1535.5325,-3788.7126,237.4838,4641.2364,3750.4097,-3997.7720,-4197.5393,-1855.9718,374434.7449,390795.9142,390080.2441,386975.5026,376820.6999,385147.5521,385686.9192,385613.8088,187255785.3946,187258381.9904,187250589.3015,187261568.9822,384858.6141,187257518.8949,-2405.7104,2574.2138,3612.3869,-3315.4254,1305.2125,-5252.8739,-4079.3172,3349.5510,0.0000,-1605.4020,-2174.6880,4311.7146,-3376.2665,4650.3028,5120.8929,-2717.3796,-2912.8688,-5475.7403,2891.4446,-3809.8375,35638.9665,33499.0879,34964.5413,31525.5720,38331.1611,34996.7399,23725.5900,31183.4241,155206521.9812,155171652.0919,155221977.5205,155199123.2808,32802.1011,155204552.8063,
5100.000,2303.6540,4192.9312,3486.1125,4229.7126,-6583.3938,5101.3898,6284.9650,6563.7503,0.0000,620.8159,3363.6823,4368.9782,-6357.3600,1579.7500,4748.2895,4551.3904,-3374.7555,-720.8704,2887.0555,-5106.0093,9712.5672,35598.2095,22566.6893,25544.0396,26077.8841,23546.8836,28565.1698,24844.9414,-296692875.6500,-296657994.6184,-296657376.7394,-296680935.5190,24857.1109,-296672649.7907,6521.6500,-3527.3906,4043.4273,3332.0519,1334.2980,1575.5224,461.2536,-1244.8080,0.0000,-6904.4118,-5979.1127,4369.1868,-273.7321,-4868.2123,-1773.4189,2995.3961,4239.0068,-4199.3987,-4514.9989,214.1919,374645.9860,391621.5834,390762.2549,387643.4678,377424.3492,386207.9690,386253.6435,386480.5766,180822405.9883,180825299.8683,180817689.0907,180827766.1827,385466.6483,180824232.5817,-324.5063,4018.4858,4398.9428,-4208.3940,-528.8401,-4410.2902,-2656.8580,1747.0618,0.0000,512.8272,-701.3004,2963.7239,-1762.2688,4655.9368,4314.2064,-4128.1411,-4274.5339,-5467.7272,4257.7479,-4466.4448,35506.9095,33353.0385,34793.5225,31551.3844,38191.1051,34743.8204,23625.5479,31171.0126,155206623.9358,155171531.7667,155221672.6051,155199426.7930,32686.4871,155204397.1125,
5400.000,2801.8362,2281.0653,4561.4872,4855.0043,-5847.8071,6190.1600,6721.6894,6444.1864,0.0000,-46.9737,1965.0926,5618.8954,-6524.6201,-419.8781,4767.6879,4460.4106,-1392.3046,-2807.1738,888.5142,-4424.3402,1824.8594,27477.4594,14524.9887,17827.0127,17968.5629,15218.0255,20445.6666,17054.2981,-300569419.8307,-300534882.6909,-300533497.6564,-300557770.1667,16700.0243,-300549232.3656,6071.2783,-3984.4081,2198.1399,1295.9297,2435.2396,224.6383,-831.2309,-2486.4247,0.0000,-6453.7283,-6553.6948,3710.2260,998.4756,-5512.9495,-3560.4290,1023.2712,4350.7726,-4048.9321,-4415.3260,2279.3610,374691.8711,392278.0739,391269.3225,388102.0103,377857.5409,387069.0099,386649.5422,387118.2576,174302851.1437,174306027.8692,174298631.1008,174307763.4958,385902.2419,174304769.2751,1791.5592,5006.9352,4712.4427,-4632.0572,-2301.2621,-3094.9751,-938.3728,-44.7256,0.0000,2576.5368,848.3780,1287.4962,69.7527,4161.3449,2987.3744,-5078.8885,-5173.2649,-4876.1325,5151.4473,-4614.8698,35374.6463,33206.8150,34618.4725,31607.3382,38048.4659,34436.2697,23529.7060,31268.1697,155206724.5924,155171413.8658,155221362.5640,155199747.5849,32570.8535,155204241.1277,
