sl_100_5400_20300906 Coordinates.csv
2030/09/06 07:47:00.0000 UTC

Generated: Tue Oct  8 21:50:54 2024,
Start: 2030/09/06 07:47:00.00, Stop: 2030/09/06 09:17:00.00,
TIME_UNITS,STARLINK-5352 - X-Coordinate,STARLINK-5922 - X-Coordinate,STARLINK-2433 - X-Coordinate,STARLINK-30496 - X-Coordinate,STARLINK-31976 - X-Coordinate,STARLINK-4793 - X-Coordinate,STARLINK-31822 - X-Coordinate,STARLINK-30759 - X-Coordinate,STARLINK-1814 - X-Coordinate,STARLINK-4620 - X-Coordinate,STARLINK-1191 - X-Coordinate,STARLINK-30125 - X-Coordinate,STARLINK-5888 - X-Coordinate,STARLINK-30269 - X-Coordinate,STARLINK-5376 - X-Coordinate,STARLINK-3332 - X-Coordinate,STARLINK-2319 - X-Coordinate,STARLINK-1133 - X-Coordinate,STARLINK-32099 - X-Coordinate,STARLINK-5127 - X-Coordinate,STARLINK-1221 - X-Coordinate,STARLINK-5568 - X-Coordinate,STARLINK-4256 - X-Coordinate,STARLINK-11263 [DTC] - X-Coordinate,STARLINK-6253 - X-Coordinate,STARLINK-6237 - X-Coordinate,STARLINK-1661 - X-Coordinate,STARLINK-30512 - X-Coordinate,STARLINK-5329 - X-Coordinate,STARLINK-4731 - X-Coordinate,STARLINK-6283 - X-Coordinate,STARLINK-6267 - X-Coordinate,STARLINK-31855 - X-Coordinate,STARLINK-2026 - X-Coordinate,STARLINK-11196 [DTC] - X-Coordinate,STARLINK-6155 - X-Coordinate,STARLINK-31744 - X-Coordinate,STARLINK-4267 - X-Coordinate,STARLINK-2405 - X-Coordinate,STARLINK-5623 - X-Coordinate,STARLINK-6030 - X-Coordinate,STARLINK-31404 - X-Coordinate,STARLINK-30236 - X-Coordinate,STARLINK-2411 - X-Coordinate,STARLINK-1312 - X-Coordinate,STARLINK-5264 - X-Coordinate,STARLINK-5398 - X-Coordinate,STARLINK-6039 - X-Coordinate,STARLINK-4581 - X-Coordinate,STARLINK-5017 - X-Coordinate,STARLINK-30956 - X-Coordinate,STARLINK-31014 - X-Coordinate,STARLINK-31280 - X-Coordinate,STARLINK-5302 - X-Coordinate,STARLINK-31374 - X-Coordinate,STARLINK-4686 - X-Coordinate,STARLINK-6340 - X-Coordinate,STARLINK-2561 - X-Coordinate,STARLINK-31924 - X-Coordinate,STARLINK-4498 - X-Coordinate,STARLINK-31793 - X-Coordinate,STARLINK-30563 - X-Coordinate,STARLINK-5817 - X-Coordinate,STARLINK-3983 - X-Coordinate,STARLINK-4312 - X-Coordinate,STARLINK-31928 - X-Coordinate,STARLINK-3362 - X-Coordinate,STARLINK-3460 - X-Coordinate,STARLINK-5340 - X-Coordinate,STARLINK-6296 - X-Coordinate,STARLINK-30798 - X-Coordinate,STARLINK-3777 - X-Coordinate,STARLINK-32022 - X-Coordinate,STARLINK-1903 - X-Coordinate,STARLINK-4758 - X-Coordinate,STARLINK-2242 - X-Coordinate,STARLINK-31940 - X-Coordinate,STARLINK-3260 - X-Coordinate,STARLINK-30511 - X-Coordinate,STARLINK-3233 - X-Coordinate,STARLINK-2291 - X-Coordinate,STARLINK-31861 - X-Coordinate,STARLINK-4346 - X-Coordinate,STARLINK-6185 - X-Coordinate,STARLINK-30395 - X-Coordinate,STARLINK-30222 - X-Coordinate,STARLINK-4143 - X-Coordinate,STARLINK-6274 - X-Coordinate,STARLINK-4253 - X-Coordinate,STARLINK-4592 - X-Coordinate,STARLINK-4728 - X-Coordinate,STARLINK-2464 - X-Coordinate,STARLINK-1727 - X-Coordinate,STARLINK-30762 - X-Coordinate,STARLINK-1352 - X-Coordinate,STARLINK-32108 - X-Coordinate,STARLINK-4135 - X-Coordinate,STARLINK-4530 - X-Coordinate,STARLINK-31704 - X-Coordinate,STARLINK-32120 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5352 - Y-Coordinate,STARLINK-5922 - Y-Coordinate,STARLINK-2433 - Y-Coordinate,STARLINK-30496 - Y-Coordinate,STARLINK-31976 - Y-Coordinate,STARLINK-4793 - Y-Coordinate,STARLINK-31822 - Y-Coordinate,STARLINK-30759 - Y-Coordinate,STARLINK-1814 - Y-Coordinate,STARLINK-4620 - Y-Coordinate,STARLINK-1191 - Y-Coordinate,STARLINK-30125 - Y-Coordinate,STARLINK-5888 - Y-Coordinate,STARLINK-30269 - Y-Coordinate,STARLINK-5376 - Y-Coordinate,STARLINK-3332 - Y-Coordinate,STARLINK-2319 - Y-Coordinate,STARLINK-1133 - Y-Coordinate,STARLINK-32099 - Y-Coordinate,STARLINK-5127 - Y-Coordinate,STARLINK-1221 - Y-Coordinate,STARLINK-5568 - Y-Coordinate,STARLINK-4256 - Y-Coordinate,STARLINK-11263 [DTC] - Y-Coordinate,STARLINK-6253 - Y-Coordinate,STARLINK-6237 - Y-Coordinate,STARLINK-1661 - Y-Coordinate,STARLINK-30512 - Y-Coordinate,STARLINK-5329 - Y-Coordinate,STARLINK-4731 - Y-Coordinate,STARLINK-6283 - Y-Coordinate,STARLINK-6267 - Y-Coordinate,STARLINK-31855 - Y-Coordinate,STARLINK-2026 - Y-Coordinate,STARLINK-11196 [DTC] - Y-Coordinate,STARLINK-6155 - Y-Coordinate,STARLINK-31744 - Y-Coordinate,STARLINK-4267 - Y-Coordinate,STARLINK-2405 - Y-Coordinate,STARLINK-5623 - Y-Coordinate,STARLINK-6030 - Y-Coordinate,STARLINK-31404 - Y-Coordinate,STARLINK-30236 - Y-Coordinate,STARLINK-2411 - Y-Coordinate,STARLINK-1312 - Y-Coordinate,STARLINK-5264 - Y-Coordinate,STARLINK-5398 - Y-Coordinate,STARLINK-6039 - Y-Coordinate,STARLINK-4581 - Y-Coordinate,STARLINK-5017 - Y-Coordinate,STARLINK-30956 - Y-Coordinate,STARLINK-31014 - Y-Coordinate,STARLINK-31280 - Y-Coordinate,STARLINK-5302 - Y-Coordinate,STARLINK-31374 - Y-Coordinate,STARLINK-4686 - Y-Coordinate,STARLINK-6340 - Y-Coordinate,STARLINK-2561 - Y-Coordinate,STARLINK-31924 - Y-Coordinate,STARLINK-4498 - Y-Coordinate,STARLINK-31793 - Y-Coordinate,STARLINK-30563 - Y-Coordinate,STARLINK-5817 - Y-Coordinate,STARLINK-3983 - Y-Coordinate,STARLINK-4312 - Y-Coordinate,STARLINK-31928 - Y-Coordinate,STARLINK-3362 - Y-Coordinate,STARLINK-3460 - Y-Coordinate,STARLINK-5340 - Y-Coordinate,STARLINK-6296 - Y-Coordinate,STARLINK-30798 - Y-Coordinate,STARLINK-3777 - Y-Coordinate,STARLINK-32022 - Y-Coordinate,STARLINK-1903 - Y-Coordinate,STARLINK-4758 - Y-Coordinate,STARLINK-2242 - Y-Coordinate,STARLINK-31940 - Y-Coordinate,STARLINK-3260 - Y-Coordinate,STARLINK-30511 - Y-Coordinate,STARLINK-3233 - Y-Coordinate,STARLINK-2291 - Y-Coordinate,STARLINK-31861 - Y-Coordinate,STARLINK-4346 - Y-Coordinate,STARLINK-6185 - Y-Coordinate,STARLINK-30395 - Y-Coordinate,STARLINK-30222 - Y-Coordinate,STARLINK-4143 - Y-Coordinate,STARLINK-6274 - Y-Coordinate,STARLINK-4253 - Y-Coordinate,STARLINK-4592 - Y-Coordinate,STARLINK-4728 - Y-Coordinate,STARLINK-2464 - Y-Coordinate,STARLINK-1727 - Y-Coordinate,STARLINK-30762 - Y-Coordinate,STARLINK-1352 - Y-Coordinate,STARLINK-32108 - Y-Coordinate,STARLINK-4135 - Y-Coordinate,STARLINK-4530 - Y-Coordinate,STARLINK-31704 - Y-Coordinate,STARLINK-32120 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5352 - Z-Coordinate,STARLINK-5922 - Z-Coordinate,STARLINK-2433 - Z-Coordinate,STARLINK-30496 - Z-Coordinate,STARLINK-31976 - Z-Coordinate,STARLINK-4793 - Z-Coordinate,STARLINK-31822 - Z-Coordinate,STARLINK-30759 - Z-Coordinate,STARLINK-1814 - Z-Coordinate,STARLINK-4620 - Z-Coordinate,STARLINK-1191 - Z-Coordinate,STARLINK-30125 - Z-Coordinate,STARLINK-5888 - Z-Coordinate,STARLINK-30269 - Z-Coordinate,STARLINK-5376 - Z-Coordinate,STARLINK-3332 - Z-Coordinate,STARLINK-2319 - Z-Coordinate,STARLINK-1133 - Z-Coordinate,STARLINK-32099 - Z-Coordinate,STARLINK-5127 - Z-Coordinate,STARLINK-1221 - Z-Coordinate,STARLINK-5568 - Z-Coordinate,STARLINK-4256 - Z-Coordinate,STARLINK-11263 [DTC] - Z-Coordinate,STARLINK-6253 - Z-Coordinate,STARLINK-6237 - Z-Coordinate,STARLINK-1661 - Z-Coordinate,STARLINK-30512 - Z-Coordinate,STARLINK-5329 - Z-Coordinate,STARLINK-4731 - Z-Coordinate,STARLINK-6283 - Z-Coordinate,STARLINK-6267 - Z-Coordinate,STARLINK-31855 - Z-Coordinate,STARLINK-2026 - Z-Coordinate,STARLINK-11196 [DTC] - Z-Coordinate,STARLINK-6155 - Z-Coordinate,STARLINK-31744 - Z-Coordinate,STARLINK-4267 - Z-Coordinate,STARLINK-2405 - Z-Coordinate,STARLINK-5623 - Z-Coordinate,STARLINK-6030 - Z-Coordinate,STARLINK-31404 - Z-Coordinate,STARLINK-30236 - Z-Coordinate,STARLINK-2411 - Z-Coordinate,STARLINK-1312 - Z-Coordinate,STARLINK-5264 - Z-Coordinate,STARLINK-5398 - Z-Coordinate,STARLINK-6039 - Z-Coordinate,STARLINK-4581 - Z-Coordinate,STARLINK-5017 - Z-Coordinate,STARLINK-30956 - Z-Coordinate,STARLINK-31014 - Z-Coordinate,STARLINK-31280 - Z-Coordinate,STARLINK-5302 - Z-Coordinate,STARLINK-31374 - Z-Coordinate,STARLINK-4686 - Z-Coordinate,STARLINK-6340 - Z-Coordinate,STARLINK-2561 - Z-Coordinate,STARLINK-31924 - Z-Coordinate,STARLINK-4498 - Z-Coordinate,STARLINK-31793 - Z-Coordinate,STARLINK-30563 - Z-Coordinate,STARLINK-5817 - Z-Coordinate,STARLINK-3983 - Z-Coordinate,STARLINK-4312 - Z-Coordinate,STARLINK-31928 - Z-Coordinate,STARLINK-3362 - Z-Coordinate,STARLINK-3460 - Z-Coordinate,STARLINK-5340 - Z-Coordinate,STARLINK-6296 - Z-Coordinate,STARLINK-30798 - Z-Coordinate,STARLINK-3777 - Z-Coordinate,STARLINK-32022 - Z-Coordinate,STARLINK-1903 - Z-Coordinate,STARLINK-4758 - Z-Coordinate,STARLINK-2242 - Z-Coordinate,STARLINK-31940 - Z-Coordinate,STARLINK-3260 - Z-Coordinate,STARLINK-30511 - Z-Coordinate,STARLINK-3233 - Z-Coordinate,STARLINK-2291 - Z-Coordinate,STARLINK-31861 - Z-Coordinate,STARLINK-4346 - Z-Coordinate,STARLINK-6185 - Z-Coordinate,STARLINK-30395 - Z-Coordinate,STARLINK-30222 - Z-Coordinate,STARLINK-4143 - Z-Coordinate,STARLINK-6274 - Z-Coordinate,STARLINK-4253 - Z-Coordinate,STARLINK-4592 - Z-Coordinate,STARLINK-4728 - Z-Coordinate,STARLINK-2464 - Z-Coordinate,STARLINK-1727 - Z-Coordinate,STARLINK-30762 - Z-Coordinate,STARLINK-1352 - Z-Coordinate,STARLINK-32108 - Z-Coordinate,STARLINK-4135 - Z-Coordinate,STARLINK-4530 - Z-Coordinate,STARLINK-31704 - Z-Coordinate,STARLINK-32120 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5126.7424,5974.1000,5841.1532,-5211.8904,1016.7558,-5533.5566,-2325.3081,-5334.7057,1821.6588,-3979.0848,-6211.2392,-3666.0966,3030.0925,3172.5190,-6821.1735,-3972.8311,-3881.1259,1164.1009,-5068.0115,-2091.1177,0.0000,5527.0948,3967.6239,436.9836,-3617.8785,4653.6655,2342.1128,3601.6190,-2841.8466,-4136.2926,-1341.0160,-6100.6074,5958.1578,0.0000,2333.4292,-5497.6814,4835.5577,-5541.7306,-5171.5505,1023.6774,-4929.5836,4150.8799,-3340.0910,5430.4268,1212.8700,6180.2759,4988.9282,536.9338,-3924.1301,-6230.7992,-2035.6799,2002.5689,-367.6435,5775.8440,0.0000,-3988.0371,3982.6575,6439.8645,4078.1803,-4279.7668,6529.1174,-2706.0387,2647.8911,4352.3023,-6426.9784,-3772.8999,428.3705,-5989.8045,-5551.1688,-4467.3580,-5637.4266,3915.5010,-5541.6390,1612.8918,2699.3949,170.9673,-4792.8365,984.7086,5278.6132,-1415.3084,-4664.2152,-2837.8545,-4262.6409,4581.6258,-5945.5057,-3634.4867,-3673.4007,6633.0720,4520.8022,-81.4140,841.7854,-1686.6689,6025.3793,-5616.0564,-414.5039,-5521.5406,2575.1789,3553.6275,0.0000,0.0000,342589.3661,355547.6955,334055.2448,337973.0994,346564.1885,343908.6583,339669.5856,338964.8670,-284326708.5882,-284305155.6214,-284311624.0391,-284331235.8352,339468.7260,-284326051.1149,-217.6935,-2018.8518,-3094.3210,-1751.6649,5291.6441,3837.3705,-5003.4140,-4209.3283,6262.9722,2595.1843,2238.5350,-4418.2275,512.4468,-4559.6807,-892.7205,-1794.4193,-3821.8914,-6081.1357,-1051.1352,6006.5866,0.0000,-3359.4998,5464.6277,-4726.1800,-3802.5268,-2226.4736,-4938.2593,5267.9723,4327.9920,-205.2770,5862.2057,-2667.8604,-258.1485,0.0000,3326.9529,-3465.8849,-2961.3030,1328.5162,1491.0116,4159.4631,1319.8422,5150.9003,-6028.3163,3491.7646,6091.4261,-2932.2256,1772.2106,-755.0751,-1561.4204,1356.4116,5329.6655,-5920.5385,-4479.4749,-1442.2996,0.0000,-3548.0212,-3361.2872,-2414.0365,3856.0852,3577.9454,-1536.8042,-6199.3196,6069.2033,-830.8046,-1484.4634,-4701.6486,4509.0456,-1234.3127,-659.8629,-957.7604,-328.4066,1446.5368,-3360.7948,4499.3391,4913.4639,-4564.5631,4011.8949,6595.8473,-2965.2595,4918.5100,-307.5297,-5413.4708,-2183.5823,-5202.6170,3149.1524,-3809.2177,-5649.3865,-1996.3942,1767.5434,6430.4556,5151.7816,-4434.9520,-1992.3037,3514.2862,6626.5134,1434.1978,6380.0027,4029.3385,0.0000,0.0000,44328.6447,68047.3511,56635.7801,53676.7037,54915.3411,56840.4872,61944.6466,56616.2653,193751873.8999,193775694.0453,193750932.3030,193727556.6575,58145.0370,193733333.0357,-4633.6510,-2898.7776,-1912.9643,-4311.2686,-4139.1978,-1158.7525,-4045.0077,-1084.0027,-1880.2519,5015.7579,-2012.7679,3835.5253,-6215.2172,-4131.4987,-315.8497,5343.6724,4249.8126,2965.4177,-4373.4875,2694.5968,0.0000,-2462.6643,-1416.3591,4781.7127,-4516.1597,4636.2916,3923.2111,-2862.0526,-4592.7073,5491.3922,-3434.3689,-1929.3136,-3274.6606,0.0000,-5401.3400,-2347.8666,-3715.3898,-3876.4227,-4141.5020,-5469.5031,-4695.8021,-1422.7661,-452.2157,-2205.0052,-2229.3579,994.9262,4445.0086,-6884.3645,-5453.9896,2621.4704,-4007.9160,2783.5852,4982.9038,3522.6611,0.0000,-4418.6382,4536.3526,626.9510,-3848.5407,-3993.9863,1292.4116,-622.2767,-2124.4625,-5292.4531,-2054.2171,3123.6966,5229.8276,-3323.8917,-4083.4344,-5234.2617,3768.1768,5420.0761,-2115.8402,-4860.3433,-3949.3371,5143.9251,2706.9986,1828.3013,-3328.9731,-4647.0976,-4900.6287,3038.6534,4980.7546,-174.9036,-1673.1640,4495.0808,1509.7899,73.4430,4873.5597,2517.3737,4504.7296,-4766.9728,2108.9190,1514.0328,1739.4248,-3731.3248,-752.3965,-4336.3795,0.0000,0.0000,-136468.9354,-140506.6771,-134186.3304,-136684.6267,-131149.2270,-137553.2639,-145424.6997,-137535.1360,110516032.3831,110496704.6004,110498529.0959,110508665.8723,-136665.3308,110507477.5800,
300.000,-5239.6623,4622.3932,5388.8896,-5129.2756,2987.8321,-4298.2381,-4183.2714,-6193.6533,3076.4178,-2691.8867,-5952.4955,-5287.4520,4605.1346,1772.7474,-6745.5032,-5136.5037,-4193.8416,-388.9320,-5649.3671,-970.9053,0.0000,4851.0676,4970.4534,-1501.3531,-5196.3979,3792.4304,410.5880,5094.8106,-1154.2171,-4245.5451,289.2647,-6069.2180,4988.9352,0.0000,3936.2732,-6485.9607,3108.9158,-5771.7030,-3605.6257,2408.8857,-4008.0592,4952.1782,-4440.3996,6316.5728,2343.4302,5589.5768,5841.5073,2370.5104,-4196.3928,-5002.2586,-410.9900,390.3281,-2325.2462,4487.0381,0.0000,-5538.7786,2194.5051,5849.2087,5589.9720,-3775.1796,5577.7930,-3617.5197,2881.7385,3179.2465,-6608.1036,-5294.4811,2303.4713,-5227.8151,-4969.4087,-5874.1750,-6063.7880,4792.9966,-6378.2981,2997.6317,3499.9023,-1728.7938,-3059.5399,2231.5370,4699.1813,548.6730,-3764.8828,-3955.0921,-2389.1338,3216.4333,-4620.9171,-5217.0929,-4729.6859,6137.4037,4191.9599,1206.7512,2569.4790,-3593.9779,4754.4263,-4790.7835,898.6341,-4205.7494,3495.6980,5171.8993,0.0000,0.0000,341669.5620,354048.2852,332743.1063,336635.2935,345332.1441,342482.6124,338438.7857,337548.7994,-288488647.5169,-288467979.9493,-288474145.0546,-288492499.3233,338189.5885,-288487961.2847,1871.0071,-2330.7420,-4274.6216,349.5611,5186.9259,4481.3965,-4467.0657,-2958.6529,6048.3827,1162.3507,3482.7253,-3494.8277,1566.1580,-5891.6653,626.3605,-103.7558,-1866.1382,-5325.7810,915.9659,6770.3605,0.0000,-4826.1036,4766.6085,-3823.5169,-2503.7614,-4125.3256,-4556.8011,4548.3543,5531.0780,1932.8279,6557.9282,-938.6671,-1986.8080,0.0000,1831.2806,-2204.2562,-4094.7907,2910.2045,2722.9891,5115.9914,3264.9187,3660.0509,-4920.1634,2536.2636,4904.3189,-3986.9142,-66.4993,545.4442,600.4163,2452.3890,6289.1466,-5402.0341,-4849.9728,-2966.3707,0.0000,-2778.1041,-4561.3872,-3479.0008,2714.5347,5133.8411,-2588.6811,-5235.4083,4910.6750,-2651.7361,-2001.5477,-3848.7124,3445.4353,361.7846,1343.2810,-202.1892,1503.2256,-481.5131,-2379.0052,2886.4654,3158.2452,-5142.5514,4748.5908,6547.5582,-4622.1349,4318.7631,1641.5489,-3831.5140,-1779.6339,-5908.7777,4203.5407,-2522.9306,-5026.3277,-2494.8489,-316.2554,6756.9854,5529.7300,-4355.0708,-2960.7165,4822.4027,5922.7185,3016.1842,5433.2717,3459.4199,0.0000,0.0000,51632.4503,75423.2184,63881.5344,61011.9958,62035.5182,63977.0715,69027.4318,64023.9257,187496854.5624,187520998.1910,187496074.8964,187472236.9946,65249.6006,187478228.3557,-4104.0227,-4624.7974,-127.8758,-4732.6813,-3213.9653,-2855.0038,-3056.7079,464.0402,-81.8740,6253.6098,-237.0576,2743.1353,-4940.1592,-3172.0162,1227.4204,4602.6624,5161.0805,4310.3809,-3627.2943,983.7308,0.0000,-1028.4203,394.8948,5339.4359,-3829.7886,4089.1588,4930.0679,-1497.6164,-3996.4020,5055.6901,-2203.4251,-3218.1668,-4178.5110,0.0000,-5180.1221,-896.9408,-4419.1012,-2388.1496,-5070.6856,-4035.6708,-4622.7202,-2807.2914,-1948.1377,-435.8600,-3743.8046,-822.0528,3698.3821,-6506.2256,-5441.5698,4057.6845,-2979.6083,4177.6080,4015.5486,4347.0650,0.0000,-3099.3624,4702.3103,-1185.1042,-2772.6348,-2539.0479,2969.6862,-2380.3214,-3995.4036,-5522.9163,173.1041,1810.9246,5539.2874,-4582.5074,-4629.3225,-3704.0768,2661.1540,4859.2399,-335.3740,-5399.5803,-4980.9406,4232.0929,3802.5306,38.3469,-2068.5077,-5370.4044,-5385.1816,4030.6980,6232.9635,-1689.3438,-3009.8066,3789.2449,-296.8355,-2031.5337,5443.0773,785.1328,3223.9665,-3653.3945,3649.5611,-25.4155,3344.8271,-4437.4633,-2487.1169,-2989.5809,0.0000,0.0000,-136470.1623,-140491.7165,-134148.3629,-136817.4328,-131106.6974,-137233.9067,-145445.8877,-137834.4839,110511539.6816,110492205.4820,110493955.1209,110504945.8833,-136636.9979,110503174.6303,
600.000,-4878.9961,2791.9828,4392.1801,-4606.7106,4637.4116,-2604.9678,-5611.3627,-6439.6952,4005.7681,-1052.6305,-5098.4050,-6387.7551,5648.1544,229.7578,-6002.7590,-5820.4050,-4146.9454,-1943.7466,-5671.9717,234.9906,0.0000,3709.8855,5477.5826,-3313.8165,-6282.4440,2603.9177,-1594.9011,6100.2448,615.1441,-3983.2497,1871.9653,-5471.4099,3531.7935,0.0000,5157.8116,-6836.8723,1070.9543,-5439.3326,-1682.3236,3508.6852,-2740.3927,5261.8814,-5122.7319,6544.7798,3250.9628,4437.2757,6148.5884,3897.4901,-4110.4298,-3276.9672,1227.4431,-1299.2211,-4005.5959,2779.8572,0.0000,-6538.8256,214.8454,4668.9816,6529.1454,-2912.8845,4047.3910,-4175.0246,2874.5871,1739.6662,-6060.5424,-6263.0316,3985.9042,-3987.9495,-3943.6492,-6693.5933,-5881.1668,5224.6082,-6549.3184,4124.9304,4000.9780,-3426.1191,-1005.9720,3255.7827,3677.2644,2488.5273,-2520.3404,-4709.9595,-283.8670,1528.3141,-2843.4353,-6304.5756,-5315.7481,5005.0384,3499.2247,2365.6506,4015.0061,-5096.7446,2957.7423,-3471.5396,2157.0885,-2484.1756,4096.4716,6265.3175,0.0000,0.0000,340593.2657,352395.0895,331283.9018,335145.1345,343950.5721,340888.0394,337060.2479,336014.6330,-292513003.4570,-292493226.0938,-292499086.7243,-292516132.6204,336761.8103,-292512284.7319,3764.8606,-2465.9969,-5021.2827,2427.8313,4576.2287,4692.5890,-3508.7265,-1410.1368,5195.9654,-330.8410,4375.5503,-2255.3059,2511.0690,-6659.2256,2095.3268,1557.6414,283.8030,-4055.9263,2765.6705,6857.7603,0.0000,-5816.1865,3586.8812,-2561.7093,-996.4752,-5631.9526,-3733.1953,3411.7635,6219.6055,3864.5774,6624.1775,904.0301,-3545.6427,0.0000,188.1081,-735.0453,-4846.3286,4179.0899,3724.5519,5587.1654,4911.8862,1775.5401,-3322.2137,1321.9301,3160.8325,-4652.3539,-1872.7074,1862.0980,2693.5775,3348.1116,6662.6919,-4359.0188,-4733.3773,-4238.9650,0.0000,-1768.3097,-5355.1846,-4208.7292,1321.6675,6156.4030,-3407.1261,-3712.5276,3240.8966,-4245.2080,-2295.2695,-2615.0557,2092.3812,1963.8150,3238.5425,525.9736,3159.6414,-2327.8175,-1153.0035,1007.0618,1085.6707,-5241.1547,5036.2945,5847.7866,-5817.3797,3342.9583,3451.1715,-1864.2241,-1098.3252,-6054.3564,4879.4382,-1026.1941,-3898.7449,-2763.3169,-2388.1016,6410.7608,5380.6569,-3843.9745,-3646.3067,5633.5665,4626.2921,4328.2505,3939.7865,2576.5629,0.0000,0.0000,58919.4131,82765.5307,71099.7877,68334.8641,69129.7657,71084.2499,76084.2272,71485.4255,181152460.6139,181176907.4081,181151820.6306,181127620.0469,72326.1225,181133749.9134,-3132.1437,-5858.7795,1671.1974,-4660.3210,-1923.6667,-4232.5510,-1728.1334,1961.2093,1725.8143,6817.7258,1564.3698,1353.8230,-3137.7422,-1871.6631,2636.4807,3362.5864,5515.3902,5180.6558,-2465.9371,-833.5619,0.0000,516.5733,2163.1810,5276.8416,-2732.3955,3105.7613,5361.5568,23.1801,-2970.7048,4067.6961,-735.7551,-4162.8774,-4610.2679,0.0000,-4362.7344,651.0297,-4618.2858,-639.6453,-5424.7284,-2173.1736,-4056.3185,-3869.1183,-3233.2683,1382.2564,-4796.5760,-2550.3325,2553.1417,-5439.0733,-4839.8243,5052.5719,-1637.7210,5106.9777,2575.8646,4703.6271,0.0000,-1447.9090,4360.9124,-2868.9130,-1383.1175,-803.6974,4314.6110,-3867.8465,-5443.5177,-5156.4486,2381.6382,291.9761,5254.1354,-5357.5657,-4678.6919,-1780.3723,1251.3443,3758.9556,1482.8491,-5333.3281,-5463.4340,2857.8057,4469.2514,-1755.7741,-584.2734,-5515.8668,-5254.2024,4571.2149,6814.0532,-3023.1863,-4024.6180,2676.7545,-2071.3581,-3918.7737,5417.9380,-1032.1089,1593.0451,-2112.6899,4756.0113,-1562.0003,4581.2473,-4645.2784,-3954.5337,-1318.8574,0.0000,0.0000,-136471.3177,-140476.4188,-134115.0356,-136949.2587,-131066.8388,-136911.6203,-145462.5678,-138047.9617,110507043.0626,110487706.5999,110489383.4627,110501210.9177,-136608.5671,110498871.5455,
