sl_5_86400_20300818 Coordinates.csv
2030/08/18 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:59 2024,
Start: 2030/08/18 07:47:00.00, Stop: 2030/08/19 07:47:00.00,
TIME_UNITS,STARLINK-4047 - X-Coordinate,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-4114 - X-Coordinate,STARLINK-5685 - X-Coordinate,STARLINK-31721 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4047 - Y-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-4114 - Y-Coordinate,STARLINK-5685 - Y-Coordinate,STARLINK-31721 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4047 - Z-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-4114 - Z-Coordinate,STARLINK-5685 - Z-Coordinate,STARLINK-31721 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,2708.0867,2523.4932,1679.9676,-4584.1166,-6654.3870,-185446.6558,-180291.6897,-189352.1976,-186592.5825,-178059.3352,-179930.1741,-182343.4491,-182816.0014,-263549699.3835,-263528226.0429,-263549887.2691,-263537238.0598,-183732.1308,-263546631.6896,-3457.2004,-4432.0503,-5423.0455,-2578.9666,122.9387,-353192.5549,-331208.1646,-338820.5535,-342801.6687,-344324.3914,-341693.3667,-335476.9529,-337624.1294,225148872.2462,225190743.5677,225158605.7249,225168359.9870,-339004.3514,225166664.5456,-5325.2284,4264.6044,-3403.6959,-4522.0969,1442.8122,91097.1846,92097.1685,93318.2556,90883.7337,96373.9895,89888.5126,82090.4228,91451.2979,131667683.1406,131696087.3472,131693094.1522,131680090.6238,90846.3849,131677243.6797,
3600.000,1542.4772,-241.2839,3141.9769,6584.9629,5705.1514,-89883.7614,-89403.2236,-98094.1549,-94837.5991,-86487.7375,-92114.5420,-90788.0772,-93396.0072,-312878050.5870,-312861861.1444,-312871645.9124,-312866977.3230,-92724.6291,-312875106.2288,4817.7869,6619.9665,2636.6301,-249.9687,-2682.2415,-386751.9801,-363975.5034,-372291.4228,-373941.6756,-379370.8713,-375449.5369,-370978.2777,-375619.1923,149192570.8921,149242068.9028,149205150.4468,149219901.2255,-374184.1591,149211423.9244,4680.8994,615.7302,5181.6089,2149.4379,2570.6910,91865.3825,92903.1789,94276.8306,90511.7596,97505.8006,94134.9393,82893.8852,91058.6024,131629457.3580,131653747.9328,131654991.3566,131634461.2586,91971.4413,131636756.2961,
7200.000,-4372.4289,-2470.3403,-6412.7081,-6305.5414,-1876.7573,10375.7082,6201.2723,-701.0972,5333.2616,10842.1140,439.7589,6749.2290,4563.1992,-340846671.7255,-340838604.4381,-340836012.9383,-340842259.7764,4175.8381,-340844373.4734,-5236.0604,-3771.3875,623.3963,2450.3676,4633.4728,-394708.3066,-372970.9829,-381975.4657,-381800.7485,-390178.6790,-384703.4741,-382179.6292,-384042.6943,63051725.0644,63107159.7928,63070180.9319,63082621.3252,-385385.8803,63071505.4245,-1027.9387,-4899.0817,-1511.9662,1508.7317,-4632.8068,92629.6110,93650.3909,94609.7298,93572.2841,98256.6363,93036.4632,84301.4118,94158.0079,131591675.1973,131611199.1611,131615518.1709,131589433.4330,93088.6605,131596239.8395,
10800.000,4977.2444,4942.5118,4624.4436,3582.4576,-2543.4653,108425.8268,100514.7561,96664.5837,104082.0400,107589.7833,96007.5590,103879.9749,100550.6658,-345546712.3674,-345548877.8729,-345535249.0939,-345549745.0570,100759.9430,-345545448.9593,3441.8639,-1314.8812,-2858.9367,-4129.4643,-5483.3169,-376905.9702,-357775.6193,-367338.7079,-367679.7387,-376135.5229,-370851.8980,-368384.3264,-373175.3399,-27392917.4235,-27334214.7201,-27367153.1895,-27364157.9044,-371904.7563,-27372584.4705,-3319.0130,4247.4604,-3776.2753,-4269.9625,3131.6061,93408.6847,94370.5651,94527.0656,96944.0113,98638.4977,90629.4525,86315.2906,92897.9460,131554159.5973,131568481.7127,131574869.4135,131545987.7145,94197.9591,131555694.3276,
14400.000,-4137.9675,-4894.4773,923.5376,348.3298,5201.9311,197462.6397,187595.2264,187869.1898,195334.5347,197422.4254,186246.6083,194242.3166,190949.8153,-326657859.4266,-326671331.6792,-326649217.5987,-326665302.1447,190842.1826,-326657783.7025,464.9915,4459.8112,4155.6764,5316.1779,4331.5683,-335115.5123,-319520.3382,-329327.4520,-329998.8954,-338241.4586,-333628.1445,-330612.5897,-333555.4481,-115966972.8842,-115908318.6899,-115934249.8340,-115944794.9018,-334617.6206,-115946605.4550,5489.5911,644.1535,5055.0034,4428.3930,750.6582,94252.3513,95078.3270,94348.1985,99526.6237,98646.4820,89193.0174,88971.9688,96699.4226,131516714.3519,131525628.6011,131533241.5845,131504672.5090,95299.2546,131515119.7777,
18000.000,3036.2839,944.8129,-5238.7916,-3686.9872,-5399.3127,271094.8619,261967.0833,267139.0154,273756.5455,274370.8177,264590.3858,271936.4014,268607.1220,-285470133.7329,-285494789.2009,-285467310.4666,-285476699.3654,268657.1918,-285471122.5885,-4622.7420,-4395.8760,-3912.4553,-5550.9037,-823.4801,-273376.4662,-260791.8636,-270311.6139,-270809.3477,-279048.7761,-274876.6425,-271592.1123,-276904.0640,-196623949.5373,-196568889.7567,-196586173.4984,-196609510.2893,-275925.7305,-196604073.6047,-4127.6985,-4910.2483,-1019.1384,-1918.7362,-4076.7700,95363.8109,95781.5597,94416.1272,101506.4449,98264.8917,88601.8251,92346.3000,94850.1181,131479136.8180,131482667.0915,131490812.5430,131465965.3840,96392.4652,131474516.2076,
21600.000,-1785.1261,4416.8648,5123.3641,5341.0847,3866.4250,326875.7438,318975.4718,329390.2635,334524.8072,333037.7835,325695.4719,331901.2214,329377.6530,-224795748.6123,-224830273.3596,-224800547.0795,-224796659.1807,329228.8609,-224797435.2697,6663.7110,2606.8743,801.3615,4053.3759,-3631.4846,-200738.6861,-185458.4429,-193979.2287,-193904.3163,-202444.0037,-198226.0694,-195786.7192,-198779.3450,-263858012.2555,-263809881.6862,-263818144.3570,-263847687.9875,-199599.9413,-263839024.0648,66.6898,4230.1404,-4114.6203,-1773.3025,4263.7130,97890.2677,96485.0407,95005.5437,103004.9740,97514.1078,88721.5012,96520.5623,99033.8132,131441231.0406,131439620.0997,131447738.3884,131430222.6872,97477.5099,131433883.6349,
25200.000,-249.4252,-6608.2106,-1924.2289,-5319.4968,-1572.7503,369683.3177,355080.9871,370559.9383,373848.7606,368453.8522,365474.2257,369950.8812,368534.7278,-148777063.0743,-148819119.1425,-148789817.8527,-148773144.7440,368688.6164,-148778933.2099,-5599.9472,-373.2497,4018.1198,-763.2475,6518.9010,-115948.7637,-98418.6448,-105161.0746,-104279.0062,-112651.6947,-108615.0929,-109924.0420,-111370.5132,-313079806.4652,-313041332.4130,-313041221.7134,-313065494.6238,-110538.2191,-313061868.9483,4010.2692,672.6453,4881.7546,4371.4195,-1202.8395,100326.4694,97191.9738,96249.1952,104088.3373,97094.5957,89476.8870,100718.1315,96942.2188,131402820.4443,131396507.2272,131404156.5465,131396361.1351,98554.3087,131393222.0770,
28800.000,3263.6222,3781.1642,-1243.4462,4349.0121,-1203.1645,390153.7878,368079.9818,387913.3773,389286.8144,380932.1612,381304.8612,383855.9815,384860.2799,-62603753.6220,-62650270.4522,-62623348.0314,-62604367.5079,384522.5038,-62605280.1606,2569.6876,-2410.4901,-6478.4888,-3225.0781,-6095.5802,-20213.4977,-5287.5184,-9560.3847,-7764.1664,-13308.3828,-11891.2216,-18190.6244,-13600.5125,-340929692.5525,-340902698.0636,-340895524.6306,-340907796.0676,-14451.1051,-340912692.8877,-5512.4449,-4921.3067,-516.4154,-4335.6348,-2799.2177,102094.8089,97904.7243,98102.2861,104790.2616,100107.2531,90835.8361,99569.5892,101142.6288,131363759.2696,131353345.5398,131360190.6585,131358608.9499,99622.7822,131352531.5518,
