TIME_UNITS,STARLINK-11075 [DTC] - X-Coordinate,STARLINK-5060 - X-Coordinate,STARLINK-31398 - X-Coordinate,STARLINK-32093 - X-Coordinate,STARLINK-6326 - X-Coordinate,STARLINK-4398 - X-Coordinate,STARLINK-30270 - X-Coordinate,STARLINK-31135 - X-Coordinate,STARLINK-4415 - X-Coordinate,STARLINK-1614 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11075 [DTC] - Y-Coordinate,STARLINK-5060 - Y-Coordinate,STARLINK-31398 - Y-Coordinate,STARLINK-32093 - Y-Coordinate,STARLINK-6326 - Y-Coordinate,STARLINK-4398 - Y-Coordinate,STARLINK-30270 - Y-Coordinate,STARLINK-31135 - Y-Coordinate,STARLINK-4415 - Y-Coordinate,STARLINK-1614 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11075 [DTC] - Z-Coordinate,STARLINK-5060 - Z-Coordinate,STARLINK-31398 - Z-Coordinate,STARLINK-32093 - Z-Coordinate,STARLINK-6326 - Z-Coordinate,STARLINK-4398 - Z-Coordinate,STARLINK-30270 - Z-Coordinate,STARLINK-31135 - Z-Coordinate,STARLINK-4415 - Z-Coordinate,STARLINK-1614 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
32400.000,-6503.1259,-2885.3003,-3124.1739,-2770.0435,3477.9020,-6104.0097,-5591.2782,-3986.9653,-2716.2499,336.6461,287266.3026,321550.2611,300439.5248,299286.7604,308453.7868,307436.1568,308016.5698,307167.7706,-242392637.0655,-242365884.7020,-242392388.8627,-242416161.1191,305452.8533,-242410112.8711,1417.2694,388.8784,-4371.0587,-4788.9125,-3879.9086,542.6234,-4033.6073,-261.3376,-2087.6984,5188.4976,-159302.7181,-173185.9911,-166323.9377,-167805.8518,-167096.5352,-166801.2340,-158818.2591,-163512.9964,-209865256.8950,-209886688.5474,-209880360.8622,-209869408.2554,-162887.1129,-209869934.4911,-547.2158,-6292.6967,-4197.8134,3768.7624,4682.2833,2819.2397,613.9531,5328.1534,-5972.5255,4020.5836,-127115.7608,-131496.9860,-131009.5059,-125170.8939,-127865.3490,-138339.7248,-133073.5285,-130012.8009,-58298823.5387,-58319024.7053,-58320452.0122,-58303365.8526,-130124.1525,-58308315.4766,
36000.000,3978.5668,5125.5400,5381.7524,5226.5998,-4422.5964,5619.5876,6039.4450,3760.6461,-2291.9478,-4410.0306,317556.9567,354464.1147,330426.6755,330514.1773,339106.7231,338426.2041,338556.9275,334429.7202,-179785431.9549,-179757238.2071,-179786655.8081,-179801392.8357,336117.0107,-179803811.4383,-3245.6353,-3419.1883,254.8952,146.7464,5426.3445,1799.7479,1642.2969,-4755.2951,-742.0261,-847.8719,-83670.5495,-88238.1103,-83888.3589,-86545.9959,-87124.7795,-86072.5606,-77529.8801,-81316.4727,-265514923.7583,-265525205.3130,-265523077.5063,-265525398.5406,-81607.5073,-265520174.9366,-4275.0965,3152.8483,4164.3003,-4193.7154,-425.2436,3285.0209,2949.9911,-2782.0780,6432.0543,-4811.8017,-128010.0816,-132508.2029,-130440.9007,-126878.9556,-126855.8112,-137612.0707,-136529.0710,-131243.2606,-58235687.7784,-58255930.2426,-58257604.2349,-58238038.1460,-130824.1488,-58242898.9008,
39600.000,1466.3839,-5454.6288,-5895.8903,-5385.3332,3501.3019,-170.7942,-4696.3650,-1686.6478,4020.1707,5895.3515,328487.3925,365189.4566,339689.6925,340631.9113,348780.6810,348304.4724,347791.0612,347272.1345,-104893617.1115,-104866878.8146,-104899282.4442,-104903208.7057,345567.1337,-104912552.6293,4221.9412,3840.6602,3279.4186,3922.3234,-4496.8940,-1111.9881,1944.2695,5950.5600,4923.4474,-2910.0747,-2869.2028,2242.6158,3784.0995,231.1750,-1590.7518,46.1598,8249.7706,4721.6409,-303054889.7725,-303054377.2006,-303057770.9598,-303062429.3944,4670.0607,-303061127.2156,4951.9809,1867.1488,-977.9514,695.0869,-4090.3861,-6664.1352,-4705.2892,-2497.6524,-2651.2303,207.6593,-128917.4284,-133491.6193,-129961.4475,-128990.1775,-126455.0821,-136151.6123,-139081.7577,-130863.6284,-58172991.6634,-58192745.4861,-58194035.5122,-58178303.7728,-131510.5875,-58177454.9626,
43200.000,-5383.0891,2556.1821,3603.5766,2234.2432,-246.1869,-4087.3546,2581.1095,-2367.0736,-1855.8629,-2328.7675,319336.0439,353049.8431,327595.8544,329095.7891,336875.9494,335990.6949,335503.4211,331770.9505,-22825910.6643,-22803206.9609,-22837965.5568,-22836838.7685,333247.9883,-22844895.6005,-3854.9238,-2820.2832,-4966.6634,-5293.6748,2640.3797,-3056.9064,-5358.5851,-3231.0749,-5935.3242,4063.9804,78280.2025,92522.1215,91209.5726,87457.5870,83866.9666,86428.5326,93417.2056,90240.5655,-319919319.7209,-319909067.3836,-319919822.2679,-319921488.5371,90507.3790,-319926730.3947,-874.6059,-5793.0881,-2970.2074,3435.5103,6480.9332,4407.1513,3532.4656,5320.7396,-2947.1684,4609.2277,-129835.7763,-134445.3624,-129883.5306,-131524.8404,-126539.0268,-133861.5679,-140876.0387,-133120.7206,-58110557.2600,-58129459.5915,-58129510.1528,-58118466.5551,-132183.3967,-58111983.6831,
46800.000,5218.3472,2167.1786,805.8327,2841.4904,-3914.9254,3267.9009,-372.4511,5950.9031,-668.7067,-3626.7518,290550.5379,318832.3841,294846.4339,297393.7346,304109.2301,300923.6009,302584.9987,301314.5433,60818208.2118,60834748.3960,60799382.6721,60801390.2243,299974.4584,60799706.9155,922.5634,2281.1988,4916.6202,4203.7122,-1595.9093,5715.0439,6910.6615,-420.4723,2031.7167,-3419.4975,154903.3140,176882.7719,172851.5148,170542.4749,163782.0516,168418.7889,172822.6208,171026.0597,-314952936.7753,-314934549.5549,-314954626.9900,-314953185.2181,170504.8261,-314961432.8317,-4068.9108,6159.7462,4641.1977,-4379.7140,-5599.9891,1520.8501,-189.6079,-2984.3974,6528.5768,-4297.8351,-130763.3633,-135367.5164,-130408.2721,-134139.5715,-127038.3471,-131084.2371,-141996.3685,-131732.7549,-58048187.9150,-58066061.4751,-58063753.0802,-58056409.1045,-132842.5059,-58046485.0838,
50400.000,-2266.4836,-5720.1266,-4987.4373,-6362.6122,6561.0579,79.3432,-1958.6003,-5599.8078,206.2921,6369.4447,243734.1254,264735.6103,243487.9313,249492.1489,252495.0531,245017.7211,251093.9203,246821.1283,140330555.8705,140339334.7934,140306461.9800,140307664.7731,247877.3670,140312958.2543,3701.1044,-2723.1461,-3713.7097,-1694.4800,1652.5132,-2665.0842,-5770.0114,2814.3660,3698.6214,1418.5502,222349.4679,249991.3218,243486.4115,242554.5959,233096.4960,241197.0736,241625.5229,239136.5813,-288490123.3376,-288465605.8135,-288496390.1225,-288493266.3036,239640.6367,-288499365.0376,5065.4743,-2815.8552,-2797.0865,1227.3316,1831.2542,-6208.6460,-3291.1975,-2282.7740,-5807.4912,-835.9228,-131698.5858,-136256.0262,-131571.6131,-133682.2979,-127918.0305,-132755.4389,-142481.4917,-134828.2530,-57985680.9923,-58002539.6256,-57996475.6824,-57991845.2342,-133487.8461,-57980959.1860,
54000.000,-739.6817,5976.0754,6561.4521,5763.4096,-6210.7689,-855.6800,4322.1960,957.8797,2608.1305,-3695.5761,181567.5897,194226.3537,176809.7249,184463.6919,185212.0300,176186.8713,184172.6681,181157.7627,210283776.1703,210283772.6618,210257673.6990,210258052.5055,180266.7777,210267279.4135,-6528.6600,2658.7515,1407.5924,-1511.6804,-1590.4109,-3593.9121,2630.1236,-3913.9326,-6252.8902,2088.1859,276459.7023,307241.6647,298585.1639,296604.4778,287440.5587,296131.8976,295586.0843,294198.7296,-242332375.7759,-242303990.0610,-242345323.1523,-242341815.5097,293585.6445,-242341860.4242,-1198.5516,-2283.7897,-1192.2672,3053.4371,2832.7324,5639.7824,4715.0905,5302.5248,1175.8656,5015.5005,-132639.8866,-137108.5996,-133234.6633,-131859.8740,-129166.6773,-137069.5417,-142334.5079,-132673.2828,-57922840.9980,-57938881.9044,-57927464.8410,-57924834.5990,-134119.3497,-57915406.0110,
57600.000,2809.2408,-3493.4114,-4968.0612,-1757.1794,3484.5293,-1522.3679,-6059.9075,4243.6196,-3849.5361,-1123.7692,107669.8364,111815.0072,99117.7939,106926.2472,106384.1096,97333.6209,105876.8248,100682.1086,265901769.9982,265892563.8937,265877819.4169,265878247.3141,101421.5651,265886296.9820,4684.3896,-529.6102,1891.1264,4643.0238,-46.0040,6575.5332,877.5556,4046.6794,3861.6765,-5384.3001,313810.8524,345050.2318,334654.8568,331986.9962,323392.1679,331396.2323,331302.5713,328573.5690,-179625642.3110,-179595774.2586,-179644994.7920,-179641556.6639,328973.8097,-179634835.8951,-3847.2692,5948.7662,4256.5601,-4503.5977,-6089.6950,-365.0694,-3236.5498,-3180.2577,4189.7899,-3613.7667,-133585.6090,-137922.5925,-135120.9047,-130768.2108,-130792.4681,-140442.4126,-141524.2952,-136318.4121,-57859492.2422,-57875075.3266,-57856773.9863,-57855538.8616,-134736.9506,-57849825.5803,
61200.000,-4190.1917,687.2934,1633.8196,-2625.4602,-466.0520,2614.0497,5998.1690,-5930.7157,897.4160,3966.1761,26403.8227,22763.8280,15409.0984,22565.8848,20778.5682,12729.5805,20930.6926,16977.7987,303385747.9728,303367530.6448,303367340.0230,303368823.2776,16318.6397,303370967.7282,559.3174,-3346.9853,-5199.2641,-5909.6270,3200.1749,-3340.3247,-3445.9846,-2248.2205,480.1405,4914.3155,331921.4891,361085.0083,349485.3612,346851.9095,338695.6055,345820.3723,346369.1822,344031.1522,-104645902.0250,-104616927.5339,-104668628.1600,-104664068.3972,343611.6694,-104654379.0603,5159.5572,-6033.4086,-4098.1259,1741.9344,6211.2412,-5257.7293,-264.8497,-2063.7071,-6811.4627,-1846.9972,-134533.7695,-138694.8617,-136890.2803,-130284.9225,-132820.9719,-142912.0594,-139980.8632,-133725.7981,-57795490.2181,-57811105.8121,-57784943.9080,-57784453.1081,-135340.5846,-57784217.9153,
64800.000,4310.2294,618.6810,1603.0507,4900.1760,-1105.9019,660.8557,-3583.1697,3644.8746,4258.7786,-3984.5697,-57362.1800,-67252.7011,-69001.4241,-63055.9657,-66613.8960,-72600.4214,-65614.3195,-70419.4258,320173657.7216,320147225.2769,320161673.6799,320163035.9264,-69681.0380,320159072.4033,-4871.2415,6457.2822,6573.2010,3730.4015,-6145.3427,-1952.8319,4710.9451,-1804.8195,-2336.9160,102.1579,329406.8229,354413.4790,342268.5089,340270.0642,332474.8571,338856.9421,339373.9319,336431.9365,-22507600.5892,-22481742.2998,-22529028.8220,-22519658.1279,336613.7199,-22515155.5199,-1517.8175,2416.1551,806.8973,2628.0201,-3198.4322,6418.7048,3581.6687,5273.6113,4858.6680,5222.9784,-135481.6493,-139421.5619,-138230.3112,-130285.8820,-135272.4370,-144622.9320,-137607.4523,-137565.1059,-57730730.9624,-57746957.8958,-57712958.9275,-57713583.8883,-135930.1885,-57718583.0374,
