sl_20_5400_20300329 Coordinates.csv
2030/03/29 07:47:00.0000 UTC

Generated: Tue Oct  8 21:49:56 2024,
Start: 2030/03/29 07:47:00.00, Stop: 2030/03/29 09:17:00.00,
TIME_UNITS,STARLINK-6187 - X-Coordinate,STARLINK-1147 - X-Coordinate,STARLINK-3736 - X-Coordinate,STARLINK-6037 - X-Coordinate,STARLINK-31269 - X-Coordinate,STARLINK-4095 - X-Coordinate,STARLINK-4633 - X-Coordinate,STARLINK-3871 - X-Coordinate,STARLINK-30856 - X-Coordinate,STARLINK-5705 - X-Coordinate,STARLINK-3319 - X-Coordinate,STARLINK-32268 - X-Coordinate,STARLINK-5960 - X-Coordinate,STARLINK-1143 - X-Coordinate,STARLINK-6252 - X-Coordinate,STARLINK-3314 - X-Coordinate,STARLINK-31043 - X-Coordinate,STARLINK-6123 - X-Coordinate,STARLINK-2457 - X-Coordinate,STARLINK-3926 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6187 - Y-Coordinate,STARLINK-1147 - Y-Coordinate,STARLINK-3736 - Y-Coordinate,STARLINK-6037 - Y-Coordinate,STARLINK-31269 - Y-Coordinate,STARLINK-4095 - Y-Coordinate,STARLINK-4633 - Y-Coordinate,STARLINK-3871 - Y-Coordinate,STARLINK-30856 - Y-Coordinate,STARLINK-5705 - Y-Coordinate,STARLINK-3319 - Y-Coordinate,STARLINK-32268 - Y-Coordinate,STARLINK-5960 - Y-Coordinate,STARLINK-1143 - Y-Coordinate,STARLINK-6252 - Y-Coordinate,STARLINK-3314 - Y-Coordinate,STARLINK-31043 - Y-Coordinate,STARLINK-6123 - Y-Coordinate,STARLINK-2457 - Y-Coordinate,STARLINK-3926 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6187 - Z-Coordinate,STARLINK-1147 - Z-Coordinate,STARLINK-3736 - Z-Coordinate,STARLINK-6037 - Z-Coordinate,STARLINK-31269 - Z-Coordinate,STARLINK-4095 - Z-Coordinate,STARLINK-4633 - Z-Coordinate,STARLINK-3871 - Z-Coordinate,STARLINK-30856 - Z-Coordinate,STARLINK-5705 - Z-Coordinate,STARLINK-3319 - Z-Coordinate,STARLINK-32268 - Z-Coordinate,STARLINK-5960 - Z-Coordinate,STARLINK-1143 - Z-Coordinate,STARLINK-6252 - Z-Coordinate,STARLINK-3314 - Z-Coordinate,STARLINK-31043 - Z-Coordinate,STARLINK-6123 - Z-Coordinate,STARLINK-2457 - Z-Coordinate,STARLINK-3926 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-2864.7905,4109.6777,-3910.3870,-289.9419,2991.6131,6869.2979,-4815.3071,1993.5759,3294.1177,-5760.8799,-2838.9799,-5682.7691,-5852.1552,4868.6880,-3612.3234,-4460.5528,-5405.9457,-5174.7815,5547.2733,-6099.7048,-373374.3315,-372646.7024,-363249.9944,-367476.3490,-374647.2292,-371859.3606,-365701.5649,-367221.5570,-76355338.1136,-76353177.8526,-76355766.2786,-76351977.8368,-367023.1915,-76355309.7778,-4823.8901,3641.8353,4611.7320,4060.9746,3750.9790,-174.3843,442.1285,4178.6062,-3102.9555,2310.7831,3098.8800,-3503.9346,-2864.8268,3260.6587,3959.1414,-878.8953,3812.9988,-3627.9285,-3817.6935,-1994.8426,97832.1459,82913.2376,86791.2895,87584.1381,82851.8954,82227.8531,79097.8192,84297.9371,344276165.4285,344310410.5289,344282150.8872,344304452.0710,82561.6928,344296250.4790,4083.0387,4186.4932,2641.3278,5608.7852,-4946.9750,-593.8210,4798.9074,-5112.1637,5220.2623,-3038.2151,5422.6725,-1291.0639,2322.8937,-3565.5411,-4385.2257,-5209.0064,-2039.0960,-2807.7645,1175.3062,2507.6525,-81216.5633,-84476.3680,-79994.0159,-81891.5677,-76747.7040,-83827.5135,-91077.3009,-82104.3701,52525877.3501,52529973.3109,52505835.5840,52523177.7959,-82360.9915,52522139.6353,
300.000,-4647.8117,4308.3446,-2187.7881,1074.2868,4779.7044,6341.5712,-3571.1107,3312.2865,1303.1463,-4322.3643,-904.3110,-5752.0778,-5852.4164,6117.0790,-2290.6581,-5317.1808,-4589.4301,-5441.2836,4305.1297,-5611.7658,-375441.5591,-374106.2309,-364848.3143,-369052.0024,-376378.5461,-373437.9470,-367452.2961,-368739.3184,-83853868.0219,-83852034.5255,-83853854.9588,-83851250.4026,-368718.1433,-83853927.1238,-4120.5900,1683.1325,4715.6926,2493.9521,3088.2313,-1368.0689,2154.3046,2490.1958,-3933.9475,3570.9416,4119.5878,-2083.7010,-1070.0917,2364.4139,5463.5581,916.5264,5151.1320,-1774.7266,-4466.9166,-445.2899,89835.8178,75242.4969,78927.0921,79658.2503,75065.5748,74471.8664,71349.0043,76564.7881,342527684.0190,342561753.9652,342534031.8601,342555975.1268,74802.6492,342547813.9112,3095.9776,5124.9502,4059.6559,6375.0627,-3886.2263,-2345.4375,5385.7187,-5513.3097,5527.3394,-4041.4054,5411.1856,-2970.9028,3525.5066,-2005.6888,-3585.0177,-4322.5901,-553.3354,-3882.9241,2865.1569,3969.4802,-81147.2031,-84295.7305,-79867.3691,-81964.5197,-76625.4663,-83443.4934,-91039.2894,-82458.6280,52532061.2413,52536934.8908,52512141.8611,52530127.3077,-82263.7147,52528573.4742,
600.000,-5977.4268,4134.2402,-190.3421,2397.7830,6085.9223,5179.4338,-1999.2450,4353.2856,-798.2191,-2469.1345,1092.4870,-5241.7031,-5307.8336,6737.6673,-779.3575,-5680.7353,-3329.7698,-5211.2327,2604.4118,-4586.1521,-377336.6984,-375396.0211,-366283.4779,-370454.9877,-377944.3420,-374837.0514,-369039.4310,-370089.6439,-91312450.2203,-91310936.1638,-91312012.1823,-91310587.9998,-370249.0597,-91312598.6506,-3049.0055,-455.7085,4322.2051,721.5115,2159.4007,-2451.1593,3687.5977,585.5205,-4433.3565,4520.6124,4776.0810,-419.3239,851.0513,1249.4333,6447.6748,2587.1367,5983.9577,267.4776,-4685.0361,1185.5837,81794.2741,67546.5518,71026.4026,71686.7785,67242.8654,66687.5833,63563.0333,68666.9687,340615909.5296,340649785.1255,340622638.0255,340644129.4922,67008.7843,340636080.9271,1778.7435,5509.5034,4976.4626,6461.2299,-2402.5260,-3842.2856,5367.1696,-5317.2032,5238.5903,-4608.6548,4804.2183,-4314.2447,4348.2998,-224.1024,-2400.0984,-2970.4935,991.9711,-4540.0360,4235.0157,4998.7968,-81077.8997,-84110.3809,-79745.2320,-82038.5461,-76506.0640,-83054.9463,-90996.7303,-82797.5902,52538243.4714,52543889.0348,52518454.4739,52537067.7080,-82166.3851,52535007.2290,
900.000,-6726.8596,3609.4334,1857.3160,3545.3610,6777.9618,3502.3112,-263.8700,5009.6917,-2800.6765,-384.4586,2950.6722,-4217.1959,-4278.3601,6668.8584,785.5845,-5502.4328,-1737.7001,-4513.7096,614.8761,-3134.3326,-379058.7131,-376514.5572,-367554.8350,-371684.4188,-379343.8825,-376054.4617,-370462.1408,-371280.2800,-98727529.2091,-98726326.3365,-98726683.1965,-98726428.9705,-371615.2245,-98727768.7134,-1699.9502,-2560.9566,3486.9969,-1073.2818,1040.5152,-3332.3689,4881.5857,-1344.9978,-4547.8957,5072.5891,4994.7222,1325.7882,2715.6155,9.1517,6811.0677,3976.3806,6239.0046,2301.4312,-4464.4710,2742.4733,73711.2286,59828.7837,63092.8013,63671.8814,59387.3031,58879.3038,55743.3352,60617.8155,338541752.7684,338575415.3639,338548879.5801,338569823.1450,59183.5661,338561962.2564,271.7787,5298.8206,5278.8651,5858.2403,-656.9331,-4922.4020,4745.3658,-4544.8823,4385.0566,-4679.1731,3668.3555,-5169.7520,4702.7595,1582.2644,-957.3111,-1297.8725,2430.4042,-4708.8032,5132.1317,5483.7992,-81008.6519,-83919.8955,-79627.6519,-82113.0538,-76389.4719,-82662.5523,-90949.6528,-83087.6631,52544424.1539,52550835.3563,52524773.5744,52543995.2904,-82069.0028,52541440.8996,
1200.000,-6826.5661,2784.1270,3721.2135,4392.3913,6786.2261,1480.9131,1458.9881,5207.1928,-4506.9829,1727.0670,4486.8056,-2793.9515,-2867.7467,5920.9429,2265.1321,-4785.4649,42.1343,-3418.6728,-1461.3321,-1406.8771,-380606.6469,-377460.2198,-368661.8123,-372739.5783,-380576.5057,-377087.8462,-371719.6701,-372318.8605,-106095570.2162,-106094669.3715,-106094333.9567,-106095231.7736,-372815.9952,-106095902.3913,-189.4524,-4420.9691,2309.7023,-2710.7032,-175.8363,-3936.0742,5606.0549,-3111.8557,-4256.4213,5173.5065,4741.2151,2975.7901,4343.1482,-1250.0002,6513.4288,4958.4119,5900.2634,4128.8422,-3838.1870,4072.4927,65590.4197,52092.4949,55129.8828,55615.5266,51502.4389,51051.4001,47893.3604,52439.3507,336306201.9489,336339633.4953,336313744.0930,336334042.1399,51330.4774,336326446.0404,-1264.1826,4515.6548,4929.6907,4630.2179,1160.3447,-5469.3644,3589.9830,-3279.4670,3058.5356,-4245.4249,2128.4169,-5441.4479,4550.7729,3213.3228,588.4348,514.9775,3606.9732,-4371.2171,5456.7006,5371.9276,-80939.4583,-83723.7932,-79514.6672,-82187.2747,-76275.6660,-82267.2376,-90898.0840,-83300.0292,52550603.4034,52557773.4929,52531099.3167,52550906.0045,-81971.5679,52547874.4861,
1500.000,-6270.8021,1731.9200,5184.7327,4838.5184,6111.3869,-680.5053,2999.2458,4912.7036,-5751.5859,3659.3833,5553.1239,-1123.8801,-1212.9298,4574.6962,3529.4373,-3586.6943,1844.3891,-2029.9274,-3410.4585,422.3730,-381979.6236,-378231.2496,-369603.9136,-373619.9665,-381641.6224,-377934.7342,-372811.3367,-373212.6368,-113413060.8818,-113412452.0433,-113411452.8100,-113413476.6994,-373850.8027,-113413487.1729,1351.1000,-5847.5494,921.8396,-4032.4508,-1387.6898,-4208.2433,5775.4731,-4544.9229,-3573.3531,4808.8995,4025.7944,4359.8748,5573.2007,-2417.4544,5579.4470,5449.7270,5008.6827,5569.4712,-2874.8325,5040.1164,57435.6090,44340.8668,47141.2536,47519.4634,43591.8376,43208.3088,40016.5794,44160.3113,333910322.2188,333943505.3204,333918296.0358,333937850.3058,43453.0144,333930597.3613,-2665.4911,3244.4542,3971.8638,2907.9125,2850.8556,-5424.3632,2030.7081,-1657.6838,1401.9522,-3353.8890,353.9468,-5098.9418,3908.6374,4488.4265,2070.8147,2272.1085,4394.9769,-3563.3760,5172.7049,4675.3472,-80870.3177,-83521.5268,-79406.3078,-82260.2137,-76164.6240,-81870.2554,-90842.0491,-83412.6301,52556781.3347,52564703.1076,52537431.8571,52557795.4823,-81874.0805,52554307.9883,
1800.000,-5117.5520,543.5249,6073.9084,4819.8232,4824.2519,-2764.6971,4209.6512,4139.6383,-6417.0924,5224.9011,6052.1059,620.7145,529.2513,2772.1832,4469.1620,-2012.6174,3498.4656,-475.5417,-5029.1838,2173.7980,-383176.8484,-378825.7045,-370380.7200,-374325.3701,-382538.7172,-378592.5046,-373736.5327,-373968.2469,-120676512.9328,-120676185.2502,-120674552.1674,-120677667.6051,-374719.1519,-120677034.6310,2786.3281,-6695.2970,-527.7340,-4917.2240,-2491.9423,-4120.9113,5359.5029,-5510.0104,-2549.0818,4005.2871,2904.1678,5329.6263,6281.2441,-3387.9910,4097.0024,5416.2520,3657.0216,6478.8331,-1671.0714,5541.0366,49250.5792,36576.8993,39130.5307,39385.2021,35659.0760,35354.5132,32116.4811,35813.8853,331355255.1528,331388173.1146,331363676.2747,331382388.9169,35554.6845,331375557.7347,-3783.2188,1622.4747,2523.3369,875.0781,4229.9699,-4792.1660,242.8914,144.4971,-405.9473,-2100.3049,-1459.5362,-4180.5975,2845.3671,5266.5949,3330.1873,3783.4546,4709.6370,-2371.8039,4311.7485,3469.6654,-80801.2286,-83312.4749,-79302.5943,-82330.5800,-76056.3247,-81473.2930,-90781.5716,-83411.3919,52562958.0635,52571623.8893,52543771.3539,52564659.0888,-81776.5406,52560741.4064,
2100.000,-3481.9965,-680.7124,6278.6480,4317.7754,3057.9307,-4562.9672,4980.0377,2948.7497,-6445.6784,6272.8126,5945.4677,2264.5754,2196.8689,701.1755,5004.7543,-209.8377,4844.6582,1103.6152,-6145.9406,3679.6419,-384197.6075,-379241.4100,-370991.8896,-374855.9590,-383267.3479,-379058.3923,-374494.7246,-374591.5042,-127882463.8453,-127882405.6793,-127880170.1657,-127884333.6802,-375420.6218,-127883082.0850,3988.6074,-6876.9466,-1888.5939,-5292.1673,-3392.8419,-3675.0465,4387.9844,-5921.8055,-1266.9215,2828.9115,1473.6808,5774.8798,6391.5675,-4070.9472,2208.7376,4875.0814,1979.8999,6762.9466,-341.9659,5513.6836,41039.1328,28803.3240,31101.3394,31214.0079,27707.7414,27494.5126,24196.5712,27435.4161,328642218.2082,328674855.0802,328651101.5274,328668876.3302,27639.0056,328662544.5656,-4498.9746,-174.9359,762.9048,-1251.1984,5147.3051,-3640.6659,-1572.2766,1930.9104,-2170.0894,-619.7126,-3112.4387,-2789.5080,1475.4180,5461.9836,4230.9814,4885.7302,4517.0970,-924.5026,2969.6546,1885.9683,-80732.1898,-83095.9352,-79203.5385,-82396.7007,-75950.7482,-81078.6135,-90716.6731,-83290.7463,52569133.7057,52578535.5534,52550117.9673,52571492.0001,-81678.9482,52567174.7403,
2400.000,-1524.5361,-1838.9839,5767.0482,3363.4713,993.4788,-5895.9869,5247.2962,1443.9564,-5844.0040,6703.9819,5256.5155,3646.8756,3637.9868,-1424.7667,5092.8377,1648.8548,5749.5574,2566.3957,-6639.4900,4800.2429,-385041.2694,-379475.9067,-371437.1578,-375212.4183,-383827.1467,-379329.5290,-375085.4539,-375087.1787,-135027478.4954,-135027677.4591,-135024872.3165,-135030031.2438,-375954.8657,-135028194.2521,4849.1082,-6372.7823,-3024.2937,-5138.7559,-4009.9505,-2901.5551,2949.3479,-5751.5748,163.3614,1380.8932,-135.0788,5636.5989,5885.7404,-4398.4314,97.9953,3890.9206,140.2530,6388.5398,989.8196,4947.0638,32805.0903,21022.4772,23057.3114,23006.9240,19741.4303,19632.7705,16260.3702,19060.2483,325772504.1451,325804844.7616,325781863.7830,325798607.5744,19709.5037,325792850.5685,-4737.1983,-1953.4754,-1091.8406,-3244.1621,5503.0626,-2094.0211,-3210.7898,3506.8622,-3700.4852,927.9194,-4423.3898,-1082.4653,-53.5696,5053.0940,4676.3273,5460.1219,3837.9918,622.5810,1296.0481,96.7388,-80663.1997,-82871.1225,-79109.1433,-82456.4128,-75847.8761,-80689.2361,-90647.3732,-83053.5675,52575308.3779,52585437.8423,52556471.8596,52578289.3137,-81581.3036,52573607.9899,
