sl_10_86400_20301006 Coordinates.csv
2030/10/06 07:47:00.0000 UTC

Generated: Tue Oct  8 21:12:04 2024,
Start: 2030/10/06 07:47:00.00, Stop: 2030/10/07 07:47:00.00,
TIME_UNITS,STARLINK-5372 - X-Coordinate,STARLINK-4304 - X-Coordinate,STARLINK-1496 - X-Coordinate,STARLINK-30752 - X-Coordinate,STARLINK-5939 - X-Coordinate,STARLINK-3567 - X-Coordinate,STARLINK-31481 - X-Coordinate,STARLINK-31652 - X-Coordinate,STARLINK-2237 - X-Coordinate,STARLINK-32254 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5372 - Y-Coordinate,STARLINK-4304 - Y-Coordinate,STARLINK-1496 - Y-Coordinate,STARLINK-30752 - Y-Coordinate,STARLINK-5939 - Y-Coordinate,STARLINK-3567 - Y-Coordinate,STARLINK-31481 - Y-Coordinate,STARLINK-31652 - Y-Coordinate,STARLINK-2237 - Y-Coordinate,STARLINK-32254 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5372 - Z-Coordinate,STARLINK-4304 - Z-Coordinate,STARLINK-1496 - Z-Coordinate,STARLINK-30752 - Z-Coordinate,STARLINK-5939 - Z-Coordinate,STARLINK-3567 - Z-Coordinate,STARLINK-31481 - Z-Coordinate,STARLINK-31652 - Z-Coordinate,STARLINK-2237 - Z-Coordinate,STARLINK-32254 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5239.9772,2600.2590,4731.1400,3714.2096,2960.5607,-3781.0131,4454.1958,2852.0219,-2988.2693,-2308.3310,376514.0666,366005.6196,363597.2690,368551.0464,375503.5186,372158.7450,366019.2366,368871.8245,-305689713.4034,-305706077.5883,-305709134.8361,-305697699.9215,367702.9043,-305702310.7193,-654.9674,5656.9710,-3944.6481,4942.5418,6223.4775,-1716.5220,2111.4004,-2931.1831,-4641.8758,-3257.9160,-17239.0579,10940.9905,-5601.0195,-6337.5905,-1099.5500,-717.2999,1664.6078,-2504.8776,130464052.8955,130453244.5468,130448618.4494,130449546.3322,-1771.9007,130450297.5391,-4492.0997,2919.2817,3103.4715,-2861.0526,493.8450,5503.8366,4566.8736,5454.2411,3805.6181,-5292.0399,-84517.6275,-85603.9892,-83549.2042,-86147.3581,-80549.5629,-86821.9772,-94805.8486,-84874.1053,69667840.3967,69698069.3132,69660874.1672,69682440.9700,-86041.3289,69676175.7656,
3600.000,-5194.5254,-4294.3715,-3923.8250,-5330.9009,-4440.6243,5070.9420,-5927.9103,501.5199,5476.5180,5976.6670,369496.1139,352389.4440,351671.9680,355114.4085,364903.1873,357931.3860,355726.3847,355481.0433,-329026279.0132,-329044571.8434,-329043259.2765,-329034619.7176,356827.4500,-329038129.8184,4097.6680,-5152.6321,5542.0326,-3791.3520,-3723.5884,-2342.5207,2261.6727,5866.7356,3724.7571,-664.6573,78746.1315,103999.5549,87900.9465,89203.4015,91566.6824,89847.6202,94018.3996,90894.8765,46798445.1027,46792242.8602,46776693.3459,46793795.0603,90365.8162,46785411.6518,2055.5857,1529.2933,1228.8061,-1902.1688,-3769.0258,-4062.4849,-2239.6762,-3458.1754,1071.1338,2763.9702,-83736.2787,-84913.2011,-82694.2815,-86401.2281,-79484.7968,-82730.3157,-93999.0724,-85980.7666,69606105.1489,69639394.7158,69604558.0955,69620467.3547,-84946.9466,69616452.5227,
7200.000,3627.4498,4354.7338,1018.4547,4405.4341,5103.8561,-5079.8572,4236.1407,-2636.8138,-4486.0973,-5192.4772,338140.9166,315571.3755,317325.6560,321352.2169,331265.7644,320123.7378,322500.4471,324809.8231,-329888001.5679,-329910562.4960,-329899543.2213,-329902483.1168,323207.8238,-329899598.5567,-5676.1276,1906.8916,-4864.5184,108.8543,-363.4738,4672.8880,-4786.9954,-6193.6537,37.9766,3096.0757,170147.1089,190568.9620,175880.2322,180331.4581,178748.7829,174555.2110,181084.7675,176521.5618,-40050211.9590,-40053289.8032,-40075513.9022,-40050735.7830,176949.1092,-40062305.4124,1619.1999,-4979.9490,-4792.5760,5181.7158,4634.9431,-12.9944,-2099.9529,-1138.3662,-4995.4123,2693.6231,-82961.6155,-84215.2924,-82434.7590,-83197.5433,-78779.6062,-84088.1069,-92574.4251,-83099.8475,69545037.5109,69579877.3737,69549927.3447,69555956.3705,-83844.2558,69556726.7713,
10800.000,-376.5523,-3814.9151,3113.9910,-2557.9247,-4934.3974,2775.5192,316.0949,3673.0304,1886.5512,-70.4614,284286.9439,257971.3364,262799.8483,268048.6403,276661.0421,264978.8835,268325.6467,267257.7167,-308219297.0236,-308247677.4830,-308224728.0996,-308239781.0329,268932.7222,-308231175.8404,5407.8524,2641.4130,3203.0392,4412.9527,4099.4634,-4843.5270,4933.3309,3062.1495,-4734.3059,-3985.6748,250805.7576,265033.5737,252735.4557,257799.0983,254753.9577,249597.5676,257192.9722,252553.5747,-124150092.7880,-124152419.6784,-124174559.5614,-124152892.8692,252450.2014,-124161300.8269,-4322.1461,5070.3276,5251.4666,-4517.6151,-2573.7224,4051.2974,4551.5682,4860.0338,4355.8966,-5296.8383,-82191.3213,-83503.2299,-82544.7850,-79878.2645,-78421.7104,-86444.6488,-90528.3850,-83291.3503,69484724.4089,69519711.9532,69496403.7520,69491578.1671,-82733.3719,69496998.5341,
14400.000,-3519.0595,3049.7846,-6281.0436,718.8575,3378.5602,1391.8424,-4976.1113,-4325.1008,527.5140,5142.6485,211327.0074,183333.7187,191579.7974,197005.2069,204493.8042,193612.5738,196612.4127,199214.0561,-265503366.7027,-265538046.1718,-265504923.5833,-265526128.6848,197412.1300,-265515965.3716,-4053.6504,-5906.4064,-1639.5819,-6762.0438,-5920.3819,3920.7700,-3423.2287,1746.5251,6685.6930,3535.7145,315185.4177,322564.4630,313627.6225,318506.4279,314548.1845,309284.7434,317279.6182,312201.3095,-199757972.1699,-199762416.4663,-199777592.0530,-199766847.9469,312033.7657,-199768607.5739,4374.6112,-1787.5042,-2350.2375,370.4409,-1140.0201,-5513.6916,-2966.2009,-4988.5715,223.7320,2206.0826,-81422.1341,-82772.7202,-82697.2744,-77333.1014,-78414.9647,-87810.9256,-87823.3033,-81377.5387,69425203.7426,69459047.2422,69442986.7878,69428474.5317,-81614.4106,69437267.8337,
18000.000,6303.5935,-1330.0938,6579.3154,1376.0981,-256.1602,-5271.1583,6568.4998,4192.3831,-2682.8983,-5699.6504,124016.2413,96488.1529,108141.3195,112776.3003,119258.5283,109648.7884,112046.3310,111474.7388,-204660661.1736,-204700934.8474,-204662402.7157,-204680807.1866,113163.4466,-204674205.1131,2272.4918,6180.3415,26.2614,5303.1963,5541.5888,-2850.3799,693.5579,-5204.2328,-4063.6805,-973.5557,358755.7672,359429.9287,354738.6879,359127.8161,354037.2967,349562.2932,357193.9703,351363.7010,-261711471.4969,-261720943.0716,-261724514.8419,-261726649.9774,351866.9691,-261722023.0964,-1772.8555,-2722.1068,-2088.0648,4034.5784,4110.9545,3415.8017,-1278.3157,1381.7921,-4622.4259,3217.8327,-80648.8724,-82020.8625,-82551.5981,-75367.5466,-78772.0047,-88324.5305,-84383.4270,-80501.0355,69366461.9324,69397995.6942,69388729.4835,69367324.7905,-80487.4883,69377534.6928,
21600.000,-6658.0711,-1737.3496,-4012.1041,-3980.5570,-3594.4059,6672.7646,-4272.3517,-2194.2260,4578.3718,2251.4241,28190.9260,3039.0780,17680.9651,20820.7259,26087.8992,18096.8305,20452.6814,23143.4759,-129849181.8871,-129893224.4261,-129855093.4649,-129863045.7404,21526.3918,-129863624.6438,-57.5519,-3909.8971,2200.7539,-1310.2662,-3838.9486,1547.8815,2799.5688,5593.7404,-989.5441,-3400.0177,378315.4327,373233.3097,373456.7918,377164.3791,370233.7315,367668.2327,373817.3125,370168.2315,-305781564.0244,-305798559.2844,-305789082.8140,-305799781.4168,369366.4602,-305792568.4144,-1928.4913,5378.7543,5157.5920,-5373.2990,-4487.3027,850.2611,4366.7053,3228.0134,4795.3165,-5226.4992,-79862.1907,-81245.4937,-81844.9014,-73861.1151,-79459.4844,-88117.2747,-80132.4445,-79650.0608,69308434.8002,69336642.8054,69333111.3237,69308750.2875,-79352.7221,69317799.1341,
25200.000,4621.4200,5155.3246,385.5040,5812.4803,6392.3377,-5099.3614,102.3207,-1756.6805,-4863.0989,1590.0904,-69571.6666,-90994.5958,-74160.8314,-72910.7811,-70506.8986,-75323.5792,-71161.1750,-73019.8433,-46180283.7591,-46225377.6739,-46192841.5238,-46188104.6244,-71675.3335,-46195318.9933,-2629.9715,985.7990,-4821.4654,-2431.4433,1689.6546,741.0666,-5695.5886,-3709.5382,4581.8681,6220.1045,372225.9987,363063.8218,368512.0590,371437.1248,361657.6844,362249.6735,364471.2252,362363.5440,-328961262.0228,-328987467.6226,-328966297.1114,-328977076.2116,363366.3527,-328973162.7587,4435.5649,-4456.0608,-4927.6309,2576.9794,2000.3848,-4598.4631,-3582.3913,-5459.0151,-629.0202,1615.5590,-79042.4294,-80444.8344,-80462.5804,-72748.4270,-79664.4438,-87262.2076,-75993.3791,-77677.7432,69251011.7272,69275054.4397,69276019.5977,69253351.0331,-78210.2294,69258061.1802,
28800.000,-1466.5362,-6753.3816,2365.0432,-4948.5851,-6658.9973,1971.1508,3343.9408,5629.3752,1971.2241,-3552.0789,-162279.0136,-179565.8791,-161596.7470,-162338.4541,-163879.2182,-164637.2428,-158096.8103,-159371.6866,40630586.3131,40587690.6997,40610969.8324,40621979.4631,-160504.2005,40615444.7316,5276.4899,1203.2673,6303.8664,4140.2148,592.4801,-3849.3670,5822.3044,1350.9017,-4910.1019,-4182.1148,340532.7092,329551.3207,340074.2128,342246.6154,332326.4221,333471.0224,331122.0274,335390.7611,-329670777.1788,-329706788.5585,-329677109.1102,-329680804.1191,334196.2518,-329683808.3531,-4251.0536,522.7144,1506.7645,2168.8668,1739.8170,5369.5857,-409.1903,3606.6565,-4132.7939,3696.8609,-78137.6036,-79617.2776,-78469.0264,-71995.9893,-76412.5754,-85789.9820,-77304.9725,-77858.5505,69194042.8193,69213282.1643,69217562.9338,69200548.9069,-77060.1282,69198320.8536,
