sl_100_5400_20301126 Coordinates.csv
2030/11/26 07:47:00.0000 UTC

Generated: Tue Oct  8 21:51:01 2024,
Start: 2030/11/26 07:47:00.00, Stop: 2030/11/26 09:17:00.00,
TIME_UNITS,STARLINK-30321 - X-Coordinate,STARLINK-30180 - X-Coordinate,STARLINK-30285 - X-Coordinate,STARLINK-5821 - X-Coordinate,STARLINK-3910 - X-Coordinate,STARLINK-30043 - X-Coordinate,STARLINK-30535 - X-Coordinate,STARLINK-5656 - X-Coordinate,STARLINK-3958 - X-Coordinate,STARLINK-30242 - X-Coordinate,STARLINK-30891 - X-Coordinate,STARLINK-32131 - X-Coordinate,STARLINK-6115 - X-Coordinate,STARLINK-3708 - X-Coordinate,STARLINK-3314 - X-Coordinate,STARLINK-3866 - X-Coordinate,STARLINK-31274 - X-Coordinate,STARLINK-31586 - X-Coordinate,STARLINK-31585 - X-Coordinate,STARLINK-5608 - X-Coordinate,STARLINK-1844 - X-Coordinate,STARLINK-3590 - X-Coordinate,STARLINK-1205 - X-Coordinate,STARLINK-1552 - X-Coordinate,STARLINK-1505 - X-Coordinate,STARLINK-11186 [DTC] - X-Coordinate,STARLINK-5097 - X-Coordinate,STARLINK-5467 - X-Coordinate,STARLINK-1767 - X-Coordinate,STARLINK-31593 - X-Coordinate,STARLINK-30944 - X-Coordinate,STARLINK-6121 - X-Coordinate,STARLINK-3762 - X-Coordinate,STARLINK-3110 - X-Coordinate,STARLINK-6253 - X-Coordinate,STARLINK-30085 - X-Coordinate,STARLINK-30981 - X-Coordinate,STARLINK-3909 - X-Coordinate,STARLINK-2122 - X-Coordinate,STARLINK-5606 - X-Coordinate,STARLINK-2392 - X-Coordinate,STARLINK-5787 - X-Coordinate,STARLINK-2745 - X-Coordinate,STARLINK-31460 - X-Coordinate,STARLINK-3797 - X-Coordinate,STARLINK-30982 - X-Coordinate,STARLINK-11224 [DTC] - X-Coordinate,STARLINK-3159 - X-Coordinate,STARLINK-31438 - X-Coordinate,STARLINK-2160 - X-Coordinate,STARLINK-5451 - X-Coordinate,STARLINK-4523 - X-Coordinate,STARLINK-6079 - X-Coordinate,STARLINK-3877 - X-Coordinate,STARLINK-4466 - X-Coordinate,STARLINK-2542 - X-Coordinate,STARLINK-31710 - X-Coordinate,STARLINK-30350 - X-Coordinate,STARLINK-30948 - X-Coordinate,STARLINK-1068 - X-Coordinate,STARLINK-3232 - X-Coordinate,STARLINK-5445 - X-Coordinate,STARLINK-31455 - X-Coordinate,STARLINK-31049 - X-Coordinate,STARLINK-5974 - X-Coordinate,STARLINK-3349 - X-Coordinate,STARLINK-3144 - X-Coordinate,STARLINK-5477 - X-Coordinate,STARLINK-6102 - X-Coordinate,STARLINK-31547 - X-Coordinate,STARLINK-31488 - X-Coordinate,STARLINK-3753 - X-Coordinate,STARLINK-1292 - X-Coordinate,STARLINK-2415 - X-Coordinate,STARLINK-5528 - X-Coordinate,STARLINK-6377 - X-Coordinate,STARLINK-30387 - X-Coordinate,STARLINK-30109 - X-Coordinate,STARLINK-4570 - X-Coordinate,STARLINK-4204 - X-Coordinate,STARLINK-31123 - X-Coordinate,STARLINK-31687 - X-Coordinate,STARLINK-5260 - X-Coordinate,STARLINK-31309 - X-Coordinate,STARLINK-11176 [DTC] - X-Coordinate,STARLINK-1453 - X-Coordinate,STARLINK-2054 - X-Coordinate,STARLINK-30899 - X-Coordinate,STARLINK-31439 - X-Coordinate,STARLINK-2197 - X-Coordinate,STARLINK-1978 - X-Coordinate,STARLINK-4614 - X-Coordinate,STARLINK-3767 - X-Coordinate,STARLINK-30524 - X-Coordinate,STARLINK-1524 - X-Coordinate,STARLINK-32145 - X-Coordinate,STARLINK-4197 - X-Coordinate,STARLINK-4652 - X-Coordinate,STARLINK-5149 - X-Coordinate,STARLINK-1284 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30321 - Y-Coordinate,STARLINK-30180 - Y-Coordinate,STARLINK-30285 - Y-Coordinate,STARLINK-5821 - Y-Coordinate,STARLINK-3910 - Y-Coordinate,STARLINK-30043 - Y-Coordinate,STARLINK-30535 - Y-Coordinate,STARLINK-5656 - Y-Coordinate,STARLINK-3958 - Y-Coordinate,STARLINK-30242 - Y-Coordinate,STARLINK-30891 - Y-Coordinate,STARLINK-32131 - Y-Coordinate,STARLINK-6115 - Y-Coordinate,STARLINK-3708 - Y-Coordinate,STARLINK-3314 - Y-Coordinate,STARLINK-3866 - Y-Coordinate,STARLINK-31274 - Y-Coordinate,STARLINK-31586 - Y-Coordinate,STARLINK-31585 - Y-Coordinate,STARLINK-5608 - Y-Coordinate,STARLINK-1844 - Y-Coordinate,STARLINK-3590 - Y-Coordinate,STARLINK-1205 - Y-Coordinate,STARLINK-1552 - Y-Coordinate,STARLINK-1505 - Y-Coordinate,STARLINK-11186 [DTC] - Y-Coordinate,STARLINK-5097 - Y-Coordinate,STARLINK-5467 - Y-Coordinate,STARLINK-1767 - Y-Coordinate,STARLINK-31593 - Y-Coordinate,STARLINK-30944 - Y-Coordinate,STARLINK-6121 - Y-Coordinate,STARLINK-3762 - Y-Coordinate,STARLINK-3110 - Y-Coordinate,STARLINK-6253 - Y-Coordinate,STARLINK-30085 - Y-Coordinate,STARLINK-30981 - Y-Coordinate,STARLINK-3909 - Y-Coordinate,STARLINK-2122 - Y-Coordinate,STARLINK-5606 - Y-Coordinate,STARLINK-2392 - Y-Coordinate,STARLINK-5787 - Y-Coordinate,STARLINK-2745 - Y-Coordinate,STARLINK-31460 - Y-Coordinate,STARLINK-3797 - Y-Coordinate,STARLINK-30982 - Y-Coordinate,STARLINK-11224 [DTC] - Y-Coordinate,STARLINK-3159 - Y-Coordinate,STARLINK-31438 - Y-Coordinate,STARLINK-2160 - Y-Coordinate,STARLINK-5451 - Y-Coordinate,STARLINK-4523 - Y-Coordinate,STARLINK-6079 - Y-Coordinate,STARLINK-3877 - Y-Coordinate,STARLINK-4466 - Y-Coordinate,STARLINK-2542 - Y-Coordinate,STARLINK-31710 - Y-Coordinate,STARLINK-30350 - Y-Coordinate,STARLINK-30948 - Y-Coordinate,STARLINK-1068 - Y-Coordinate,STARLINK-3232 - Y-Coordinate,STARLINK-5445 - Y-Coordinate,STARLINK-31455 - Y-Coordinate,STARLINK-31049 - Y-Coordinate,STARLINK-5974 - Y-Coordinate,STARLINK-3349 - Y-Coordinate,STARLINK-3144 - Y-Coordinate,STARLINK-5477 - Y-Coordinate,STARLINK-6102 - Y-Coordinate,STARLINK-31547 - Y-Coordinate,STARLINK-31488 - Y-Coordinate,STARLINK-3753 - Y-Coordinate,STARLINK-1292 - Y-Coordinate,STARLINK-2415 - Y-Coordinate,STARLINK-5528 - Y-Coordinate,STARLINK-6377 - Y-Coordinate,STARLINK-30387 - Y-Coordinate,STARLINK-30109 - Y-Coordinate,STARLINK-4570 - Y-Coordinate,STARLINK-4204 - Y-Coordinate,STARLINK-31123 - Y-Coordinate,STARLINK-31687 - Y-Coordinate,STARLINK-5260 - Y-Coordinate,STARLINK-31309 - Y-Coordinate,STARLINK-11176 [DTC] - Y-Coordinate,STARLINK-1453 - Y-Coordinate,STARLINK-2054 - Y-Coordinate,STARLINK-30899 - Y-Coordinate,STARLINK-31439 - Y-Coordinate,STARLINK-2197 - Y-Coordinate,STARLINK-1978 - Y-Coordinate,STARLINK-4614 - Y-Coordinate,STARLINK-3767 - Y-Coordinate,STARLINK-30524 - Y-Coordinate,STARLINK-1524 - Y-Coordinate,STARLINK-32145 - Y-Coordinate,STARLINK-4197 - Y-Coordinate,STARLINK-4652 - Y-Coordinate,STARLINK-5149 - Y-Coordinate,STARLINK-1284 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30321 - Z-Coordinate,STARLINK-30180 - Z-Coordinate,STARLINK-30285 - Z-Coordinate,STARLINK-5821 - Z-Coordinate,STARLINK-3910 - Z-Coordinate,STARLINK-30043 - Z-Coordinate,STARLINK-30535 - Z-Coordinate,STARLINK-5656 - Z-Coordinate,STARLINK-3958 - Z-Coordinate,STARLINK-30242 - Z-Coordinate,STARLINK-30891 - Z-Coordinate,STARLINK-32131 - Z-Coordinate,STARLINK-6115 - Z-Coordinate,STARLINK-3708 - Z-Coordinate,STARLINK-3314 - Z-Coordinate,STARLINK-3866 - Z-Coordinate,STARLINK-31274 - Z-Coordinate,STARLINK-31586 - Z-Coordinate,STARLINK-31585 - Z-Coordinate,STARLINK-5608 - Z-Coordinate,STARLINK-1844 - Z-Coordinate,STARLINK-3590 - Z-Coordinate,STARLINK-1205 - Z-Coordinate,STARLINK-1552 - Z-Coordinate,STARLINK-1505 - Z-Coordinate,STARLINK-11186 [DTC] - Z-Coordinate,STARLINK-5097 - Z-Coordinate,STARLINK-5467 - Z-Coordinate,STARLINK-1767 - Z-Coordinate,STARLINK-31593 - Z-Coordinate,STARLINK-30944 - Z-Coordinate,STARLINK-6121 - Z-Coordinate,STARLINK-3762 - Z-Coordinate,STARLINK-3110 - Z-Coordinate,STARLINK-6253 - Z-Coordinate,STARLINK-30085 - Z-Coordinate,STARLINK-30981 - Z-Coordinate,STARLINK-3909 - Z-Coordinate,STARLINK-2122 - Z-Coordinate,STARLINK-5606 - Z-Coordinate,STARLINK-2392 - Z-Coordinate,STARLINK-5787 - Z-Coordinate,STARLINK-2745 - Z-Coordinate,STARLINK-31460 - Z-Coordinate,STARLINK-3797 - Z-Coordinate,STARLINK-30982 - Z-Coordinate,STARLINK-11224 [DTC] - Z-Coordinate,STARLINK-3159 - Z-Coordinate,STARLINK-31438 - Z-Coordinate,STARLINK-2160 - Z-Coordinate,STARLINK-5451 - Z-Coordinate,STARLINK-4523 - Z-Coordinate,STARLINK-6079 - Z-Coordinate,STARLINK-3877 - Z-Coordinate,STARLINK-4466 - Z-Coordinate,STARLINK-2542 - Z-Coordinate,STARLINK-31710 - Z-Coordinate,STARLINK-30350 - Z-Coordinate,STARLINK-30948 - Z-Coordinate,STARLINK-1068 - Z-Coordinate,STARLINK-3232 - Z-Coordinate,STARLINK-5445 - Z-Coordinate,STARLINK-31455 - Z-Coordinate,STARLINK-31049 - Z-Coordinate,STARLINK-5974 - Z-Coordinate,STARLINK-3349 - Z-Coordinate,STARLINK-3144 - Z-Coordinate,STARLINK-5477 - Z-Coordinate,STARLINK-6102 - Z-Coordinate,STARLINK-31547 - Z-Coordinate,STARLINK-31488 - Z-Coordinate,STARLINK-3753 - Z-Coordinate,STARLINK-1292 - Z-Coordinate,STARLINK-2415 - Z-Coordinate,STARLINK-5528 - Z-Coordinate,STARLINK-6377 - Z-Coordinate,STARLINK-30387 - Z-Coordinate,STARLINK-30109 - Z-Coordinate,STARLINK-4570 - Z-Coordinate,STARLINK-4204 - Z-Coordinate,STARLINK-31123 - Z-Coordinate,STARLINK-31687 - Z-Coordinate,STARLINK-5260 - Z-Coordinate,STARLINK-31309 - Z-Coordinate,STARLINK-11176 [DTC] - Z-Coordinate,STARLINK-1453 - Z-Coordinate,STARLINK-2054 - Z-Coordinate,STARLINK-30899 - Z-Coordinate,STARLINK-31439 - Z-Coordinate,STARLINK-2197 - Z-Coordinate,STARLINK-1978 - Z-Coordinate,STARLINK-4614 - Z-Coordinate,STARLINK-3767 - Z-Coordinate,STARLINK-30524 - Z-Coordinate,STARLINK-1524 - Z-Coordinate,STARLINK-32145 - Z-Coordinate,STARLINK-4197 - Z-Coordinate,STARLINK-4652 - Z-Coordinate,STARLINK-5149 - Z-Coordinate,STARLINK-1284 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-238.4039,-5172.2183,-4097.4205,-5531.0928,-649.9376,-881.4672,3134.9193,-3634.2785,-1268.3477,5022.5762,4315.0868,1824.3886,6016.7663,-464.0420,-5562.6379,2667.6913,3021.1837,2541.3086,5110.9454,-4461.0489,0.0000,-2650.8402,2799.1214,4206.8255,0.0000,3120.2797,1357.2780,548.7212,-6652.6764,-5221.1213,-6206.9453,2561.6118,4262.1034,6065.0927,3026.9982,-5223.0564,-6579.2153,4578.8209,1494.6231,3441.6166,5889.8047,5778.5145,4859.5361,-4386.3268,4039.1037,-2270.8170,-911.6938,4020.9432,5575.2182,-4389.9870,5437.7659,-4393.1759,5685.4060,-1231.4236,3689.0193,4145.2553,-3168.1314,-3498.7865,-4976.5923,-4334.3045,-731.0638,4616.3496,-4111.3799,-5686.0082,0.0000,-4404.0905,-5227.9491,3857.8333,-4704.6672,-817.2882,-3126.4092,-4858.4796,4180.2213,482.6443,5657.4608,-2363.1649,3188.4975,-94.6055,4401.6223,6720.2247,1388.1499,-3451.4373,-5944.8703,-4580.8397,0.0000,3510.0195,-6475.6667,-3756.9777,-2467.4287,3464.2247,-841.2598,85.1430,4627.9078,-6786.2625,3832.9113,-4414.5606,6164.2485,-1941.0627,3532.9880,-5091.7177,-67450.3427,-79619.4913,-80747.4755,-76802.1094,-76180.3849,-78726.1198,-84457.7349,-82460.2389,-283920115.6383,-283890921.3062,-283917620.3389,-283909071.8976,-80711.7615,-283903078.0363,-4144.1839,-3981.7999,-3135.9198,1579.3346,6106.1570,5890.9279,-5594.4479,-5640.0550,-5569.1176,2180.8517,-3622.8630,6399.7776,1485.6288,-4225.9552,-3675.2924,3374.1335,4609.6681,3698.6868,3652.8644,-2906.9906,0.0000,5147.3404,3117.6794,3835.2042,0.0000,-5992.4083,3995.3066,3601.4023,-547.7782,166.4371,-1893.9872,6002.5156,5251.6294,2286.5786,4060.3232,2375.4380,1456.4306,-495.0386,-5253.3305,1375.1608,3540.2893,-3061.8480,-3387.8443,2551.2963,3716.7895,5235.3035,-5242.1816,4899.9123,-3904.9192,395.2198,3262.0775,625.6963,2587.9607,-6274.8627,-4256.6616,-2349.1336,-4347.9544,3976.7124,-948.8228,5038.6907,-5480.0308,-1322.0480,-3256.2561,-668.2188,0.0000,451.8844,4494.9744,5320.2843,3766.9042,6795.2191,-5002.4230,-3267.4682,1442.7081,4168.7435,-1432.4336,-4494.3652,-4919.4556,5083.9899,-4938.9862,-464.4571,6792.3164,-5138.4452,-2759.4017,4714.0411,0.0000,5797.3687,2091.7451,-4764.5514,4758.8609,-5073.6930,-4180.1109,5111.6607,823.2803,-1059.7315,2482.7835,-1913.9562,1068.6998,-4130.5302,2334.5226,-3279.3891,312950.5577,333102.8557,316308.2122,319642.7725,328368.7072,325945.6043,322883.1293,321903.4615,6138803.9056,6136789.7551,6162731.6093,6152350.6556,321917.4062,6141901.3295,5407.9700,-2252.8168,4380.9635,3853.3031,-3179.1962,3534.4631,2614.1370,1316.2151,-3719.5277,4287.2682,-3922.0572,981.1504,-3014.6441,5160.9698,1812.6314,5398.5710,-3875.0159,5116.7752,2668.5546,-4435.3764,0.0000,3692.8228,5514.4672,3294.5000,0.0000,317.6290,-5485.0668,5905.2034,-1258.9601,4402.3211,-2575.1903,-2359.4814,1291.0567,-2354.6098,-4719.9083,-3894.2965,1591.4062,-5086.4312,4098.5250,5864.3543,425.3110,2262.7031,-3496.9154,-4609.2051,-4189.5828,3944.3809,-4137.6609,-2695.7939,794.8142,5064.2205,2702.8753,5076.2732,3043.3375,2533.2299,3996.2234,-4962.6728,-3946.0323,4470.6700,4719.4956,1569.4273,4131.2347,-4945.6508,4373.0490,-3764.2053,0.0000,-5300.1095,-519.3972,2244.6833,3369.7134,-32.0811,-3223.7716,-3591.5189,5255.5544,5223.5882,-3744.9495,-4711.2974,-3660.6831,4701.2325,1975.2088,-1527.4535,49.6687,2933.8590,-2254.9761,1908.4862,0.0000,-1172.2740,-1230.4257,3305.0920,4203.3856,3019.0389,-5459.7022,-4652.5327,-5096.9488,-110.9303,-4917.5696,4842.9408,-2903.1121,5180.3691,-5483.5761,-3345.7124,-130127.3020,-137295.5411,-130958.2850,-133713.2140,-128008.5622,-134055.9420,-142231.5987,-133660.0567,1550620.2942,1523754.8658,1536950.0234,1540243.8247,-133461.2322,1539780.2457,
300.000,-2344.6980,-6254.8498,-5613.4083,-5339.6560,657.5664,1020.0083,1297.1987,-4590.6650,-2829.5325,6041.1528,2447.4810,2846.1303,6682.8998,-2530.7649,-6356.1779,4461.4513,4157.1495,3649.6741,6249.4086,-5000.8726,0.0000,-1616.7801,4143.1677,4362.2145,0.0000,1833.4715,3195.6570,2074.3619,-6078.5360,-5335.6484,-6871.0823,3734.7811,4794.0880,6765.7225,4594.3844,-4753.5871,-6262.4274,3417.8031,-359.2404,5125.0113,6119.1901,4338.1177,3118.2923,-2543.0723,5554.8444,-696.3872,-2314.1900,5257.1738,4278.7487,-3314.3363,6417.2389,-4607.0963,6631.2368,-2565.4723,4707.9914,2339.2648,-4787.7241,-1536.1360,-5187.2937,-2888.7302,-2340.1440,3110.4339,-5519.6138,-4729.9070,0.0000,-3397.9134,-4082.6343,4590.0693,-3862.1006,715.3512,-4574.2584,-6112.8006,5223.8831,2581.9790,5530.5721,-4182.2798,1859.9834,2036.4224,4927.1496,5911.7988,2488.4540,-4379.5471,-5318.4672,-3512.9478,0.0000,4232.0314,-6077.8891,-5301.3726,-343.1018,2581.6549,-2923.5508,1789.9982,5505.2257,-6701.5223,5322.8783,-4165.3556,5396.9984,-3316.4473,4829.8974,-4958.1316,-73856.2780,-86471.1726,-87597.9221,-83762.7828,-82894.2900,-85487.7131,-91136.9592,-89151.3277,-283982137.9666,-283952583.5648,-283980063.9935,-283971564.6377,-87416.9073,-283965018.3395,-3530.3861,-2813.9244,-2218.2156,3434.3035,6707.8071,5285.9547,-5677.8735,-4275.8032,-5799.9851,498.9650,-4529.2230,5458.4203,-80.7699,-4382.9545,-2712.9818,2334.1300,2838.5342,1830.0920,2443.0211,-840.9660,0.0000,6317.8030,1412.6771,1965.1249,0.0000,-6158.5606,2832.9369,4664.1126,751.4590,2205.1953,-417.3409,4645.8526,3950.0017,1183.7222,2599.8770,4185.7944,2956.2411,-2303.2280,-4573.7879,624.3937,2266.7573,-4115.1966,-3952.7888,3483.1179,3002.3709,6267.7806,-3806.5927,4338.6166,-4848.8560,2305.2173,2319.5846,2626.8345,1179.0780,-6333.6308,-4654.0009,-3467.6644,-3924.6525,4831.9340,1178.8812,5291.4260,-5899.3363,-2807.9282,-1788.8966,965.8679,0.0000,2370.3016,5096.5704,5213.2774,5318.5438,6626.0108,-4663.0462,-2380.6234,-302.4998,4221.7622,-3263.9853,-3394.7866,-6167.6973,4769.4368,-4834.6196,-1654.1601,6202.8914,-3466.1648,-1711.6437,5862.7546,0.0000,4608.2346,3243.2614,-3937.1935,4993.6938,-6196.1118,-3959.4455,3964.1942,-907.8402,469.6050,1197.5193,192.0596,-448.2548,-2474.6337,682.5847,-1496.7165,311513.9287,331214.9114,314558.9020,317873.0591,326667.8657,324033.3258,321175.3176,320351.2475,-63816.7957,-65768.9482,-40362.9871,-50454.0737,320165.5468,-60733.6984,5340.0363,-789.3901,3067.8443,2765.8138,-1540.4790,4355.8112,3743.7766,2714.3558,-2190.6187,3410.7529,-4541.8053,2706.0716,-1677.7427,4371.9677,21.1728,4723.3147,-4478.5356,5444.6097,1261.8049,-4723.4532,0.0000,2158.7950,5367.5843,4510.1421,0.0000,2104.9242,-5445.2275,4703.7106,-2940.7978,3655.4472,-1162.0983,-3554.8293,2966.1323,-603.3774,-4478.6099,-2822.0595,69.5676,-5486.0420,5055.5644,4637.9088,2188.6904,3479.7316,-4688.4162,-5329.2548,-2793.0183,2893.3093,-5058.3072,-982.4111,2261.4409,5363.6284,991.6383,4166.1770,1714.8982,799.8327,1981.6946,-5461.9697,-2485.0882,4725.3070,4432.5929,3203.4577,2717.1580,-5473.4780,3602.7542,-4863.1624,0.0000,-5524.8165,-2276.0121,155.8362,2121.2250,-1563.9365,-1583.5060,-2032.8386,4451.7996,4519.4229,-2614.4073,-4354.6511,-2501.7162,4589.6373,-255.0326,-3168.3044,1835.9652,3963.8818,-4104.4188,403.2860,0.0000,-2859.6598,579.7449,2038.7834,4619.8740,1354.3508,-4874.1576,-5372.5714,-4115.4512,1425.9315,-3906.8512,5404.4517,-4271.7120,5525.9372,-4919.7697,-4589.0610,-130129.3122,-137266.1162,-130957.5962,-133866.4065,-127998.4112,-133762.9757,-142274.9720,-133215.0867,1546622.3389,1520317.8209,1532774.7873,1535972.9901,-133459.9644,1535908.1683,
600.000,-4223.3812,-6720.7838,-6533.9643,-4652.4560,1882.7262,2849.9022,-686.5729,-5107.6272,-4076.8698,6498.2941,343.3148,3590.8706,6693.3862,-4301.6023,-6515.1659,5825.5856,4896.9399,4434.8112,6750.2065,-5101.7724,0.0000,-443.2339,5123.7478,4065.0421,0.0000,329.7952,4749.4393,3343.7379,-4874.4219,-4942.6418,-6884.5709,4581.7971,4871.8044,6785.4749,5740.9184,-3849.4095,-5336.6312,1958.3140,-2212.3208,6299.4603,5745.0272,2472.1526,1055.7686,-455.5016,6510.1261,919.6820,-3521.1413,5956.8669,2542.0016,-1931.4681,6749.0748,-4371.4319,6940.8923,-3631.7089,5227.2108,322.2558,-5864.1974,561.4226,-4936.0191,-1121.6117,-3691.5068,1329.3174,-6382.4068,-3324.8362,0.0000,-2107.0485,-2515.6829,4853.4155,-2660.6541,2190.9876,-5514.2434,-6742.2334,5773.0541,4385.3219,4889.0295,-5610.9043,373.4096,3973.6548,4906.5905,4517.8388,3363.2415,-4906.3839,-4178.1805,-2094.3842,0.0000,4556.3287,-5071.5952,-6321.0376,1819.4738,1449.3252,-4712.0129,3361.4654,5871.3607,-5949.9288,6248.9331,-3546.1017,4114.5591,-4413.1554,5686.4708,-4377.4874,-80233.1386,-93278.6789,-94410.3192,-90702.8062,-89572.5534,-92213.4393,-97780.1330,-95674.7893,-283908666.0237,-283878753.7135,-283906995.6158,-283898542.9946,-94084.1143,-283891463.3738,-2610.5686,-1376.8820,-1100.9452,4942.3016,6645.6179,4199.8635,-5239.6771,-2469.8961,-5443.4268,-1203.1045,-5027.8692,3920.4255,-1623.5813,-4106.9543,-1480.1518,1112.5835,780.7047,-201.9508,997.0418,1300.3353,0.0000,6846.2441,-391.5661,-151.1846,0.0000,-5680.2753,1443.0203,5295.1249,2004.8600,4005.5664,1087.9379,2841.5745,2232.9954,-31.3476,921.8300,5581.5959,4167.7656,-3917.1645,-3467.8429,-129.8528,743.8162,-4801.1057,-4172.0264,4119.3821,2019.0643,6705.6364,-1989.3043,3348.9174,-5325.0059,4000.4639,1155.0146,4325.9477,-326.7889,-5755.6714,-4518.0079,-4293.9722,-3092.6632,5263.0978,3181.9301,5025.9865,-5748.5615,-4063.1674,-172.5997,2545.6272,0.0000,4084.9230,5211.6441,4577.0081,6343.0632,5790.7406,-3832.1391,-1274.6931,-1979.8729,3865.3271,-4765.5306,-2005.1350,-6815.6865,4036.3519,-4199.2446,-2714.4863,4996.6027,-1444.1344,-443.4977,6418.4345,0.0000,2940.7993,4077.5817,-2743.3926,4764.1071,-6678.9095,-3402.5753,2464.6843,-2515.3620,1965.8648,-174.7975,2295.7796,-1961.8075,-607.3622,-994.7152,461.2943,309947.3362,329183.3705,312671.6459,315963.5775,324826.8971,321959.8025,319328.9985,318648.1255,-6266216.4838,-6268091.0260,-6243249.5125,-6253074.8114,318274.1039,-6263144.0205,4673.2373,759.6225,1402.6127,1381.3608,264.5270,4710.1875,4471.5622,3809.6033,-415.0069,2172.9476,-4662.1307,4113.9283,-157.9355,3063.8992,-1772.5978,3537.3182,-4561.5139,5158.7423,-286.4038,-4506.4869,0.0000,387.2546,4646.3595,5164.1382,0.0000,3649.4557,-4821.2670,3001.7136,-4288.6389,2500.5226,372.9019,-4371.2683,4317.0612,1213.5204,-3756.8057,-1448.0214,-1459.7641,-5282.2351,5447.8033,2917.6753,3712.6624,4322.2922,-5367.6352,-5461.4399,-1093.9458,1533.3875,-5391.9519,838.2735,3477.2284,5034.0648,-827.5570,2773.1001,204.1768,-1021.2216,-247.0973,-5365.1067,-726.0847,4474.8537,3670.3967,4478.7947,1008.6471,-5407.3961,2429.6596,-5424.5569,0.0000,-5153.2409,-3787.1928,-1949.6412,643.0789,-2921.8865,242.6144,-250.3684,3159.4752,3282.0238,-1204.1827,-3531.4995,-1072.4623,3986.2118,-2457.7121,-4466.6558,3425.5229,4554.5492,-5515.2210,-1146.7754,0.0000,-4233.9496,2327.2716,552.1461,4516.3846,-460.8234,-3766.8551,-5514.3482,-2694.1954,2805.7332,-2436.5805,5362.1956,-5176.9061,5274.5851,-3829.6147,-5339.4830,-130131.5490,-137235.5440,-130961.5667,-134017.2656,-127990.8615,-133468.2945,-142313.8723,-132789.6032,1542619.6943,1516887.8375,1528600.4333,1531702.1707,-133458.5916,1532036.2462,
