sl_100_5400_20301109 Coordinates.csv
2030/11/09 07:47:00.0000 UTC

Generated: Tue Oct  8 21:50:25 2024,
Start: 2030/11/09 07:47:00.00, Stop: 2030/11/09 09:17:00.00,
TIME_UNITS,STARLINK-5049 - X-Coordinate,STARLINK-5955 - X-Coordinate,STARLINK-31043 - X-Coordinate,STARLINK-5014 - X-Coordinate,STARLINK-31946 - X-Coordinate,STARLINK-2608 - X-Coordinate,STARLINK-3650 - X-Coordinate,STARLINK-2616 - X-Coordinate,STARLINK-5924 - X-Coordinate,STARLINK-31503 - X-Coordinate,STARLINK-5887 - X-Coordinate,STARLINK-30507 - X-Coordinate,STARLINK-4062 - X-Coordinate,STARLINK-5284 - X-Coordinate,STARLINK-2660 - X-Coordinate,STARLINK-1021 - X-Coordinate,STARLINK-5481 - X-Coordinate,STARLINK-3737 - X-Coordinate,STARLINK-5913 - X-Coordinate,STARLINK-1186 - X-Coordinate,STARLINK-31199 - X-Coordinate,STARLINK-11168 [DTC] - X-Coordinate,STARLINK-3605 - X-Coordinate,STARLINK-31386 - X-Coordinate,STARLINK-3994 - X-Coordinate,STARLINK-3598 - X-Coordinate,STARLINK-30174 - X-Coordinate,STARLINK-5503 - X-Coordinate,STARLINK-30982 - X-Coordinate,STARLINK-6168 - X-Coordinate,STARLINK-32181 - X-Coordinate,STARLINK-5308 - X-Coordinate,STARLINK-3397 - X-Coordinate,STARLINK-31448 - X-Coordinate,STARLINK-4286 - X-Coordinate,STARLINK-2190 - X-Coordinate,STARLINK-4152 - X-Coordinate,STARLINK-2645 - X-Coordinate,STARLINK-31215 - X-Coordinate,STARLINK-3241 - X-Coordinate,STARLINK-30514 - X-Coordinate,STARLINK-5612 - X-Coordinate,STARLINK-2480 - X-Coordinate,STARLINK-31466 - X-Coordinate,STARLINK-5940 - X-Coordinate,STARLINK-2540 - X-Coordinate,STARLINK-5073 - X-Coordinate,STARLINK-3558 - X-Coordinate,STARLINK-5966 - X-Coordinate,STARLINK-3760 - X-Coordinate,STARLINK-30470 - X-Coordinate,STARLINK-5493 - X-Coordinate,STARLINK-4517 - X-Coordinate,STARLINK-5286 - X-Coordinate,STARLINK-31473 - X-Coordinate,STARLINK-5084 - X-Coordinate,STARLINK-5804 - X-Coordinate,STARLINK-4496 - X-Coordinate,STARLINK-1270 - X-Coordinate,STARLINK-31785 - X-Coordinate,STARLINK-30210 - X-Coordinate,STARLINK-30488 - X-Coordinate,STARLINK-3776 - X-Coordinate,STARLINK-30885 - X-Coordinate,STARLINK-4568 - X-Coordinate,STARLINK-11133 [DTC] - X-Coordinate,STARLINK-1954 - X-Coordinate,STARLINK-1699 - X-Coordinate,STARLINK-3735 - X-Coordinate,STARLINK-4133 - X-Coordinate,STARLINK-5634 - X-Coordinate,STARLINK-3577 - X-Coordinate,STARLINK-5565 - X-Coordinate,STARLINK-31468 - X-Coordinate,STARLINK-4021 - X-Coordinate,STARLINK-30089 - X-Coordinate,STARLINK-31621 - X-Coordinate,STARLINK-2422 - X-Coordinate,STARLINK-30430 - X-Coordinate,STARLINK-6120 - X-Coordinate,STARLINK-5155 - X-Coordinate,STARLINK-5990 - X-Coordinate,STARLINK-6039 - X-Coordinate,STARLINK-31290 - X-Coordinate,STARLINK-4566 - X-Coordinate,STARLINK-31435 - X-Coordinate,STARLINK-5196 - X-Coordinate,STARLINK-31376 - X-Coordinate,STARLINK-32103 - X-Coordinate,STARLINK-30716 - X-Coordinate,STARLINK-30807 - X-Coordinate,STARLINK-3741 - X-Coordinate,STARLINK-3980 - X-Coordinate,STARLINK-4442 - X-Coordinate,STARLINK-4463 - X-Coordinate,STARLINK-4461 - X-Coordinate,STARLINK-3257 - X-Coordinate,STARLINK-4550 - X-Coordinate,STARLINK-11093 [DTC] - X-Coordinate,STARLINK-4413 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5049 - Y-Coordinate,STARLINK-5955 - Y-Coordinate,STARLINK-31043 - Y-Coordinate,STARLINK-5014 - Y-Coordinate,STARLINK-31946 - Y-Coordinate,STARLINK-2608 - Y-Coordinate,STARLINK-3650 - Y-Coordinate,STARLINK-2616 - Y-Coordinate,STARLINK-5924 - Y-Coordinate,STARLINK-31503 - Y-Coordinate,STARLINK-5887 - Y-Coordinate,STARLINK-30507 - Y-Coordinate,STARLINK-4062 - Y-Coordinate,STARLINK-5284 - Y-Coordinate,STARLINK-2660 - Y-Coordinate,STARLINK-1021 - Y-Coordinate,STARLINK-5481 - Y-Coordinate,STARLINK-3737 - Y-Coordinate,STARLINK-5913 - Y-Coordinate,STARLINK-1186 - Y-Coordinate,STARLINK-31199 - Y-Coordinate,STARLINK-11168 [DTC] - Y-Coordinate,STARLINK-3605 - Y-Coordinate,STARLINK-31386 - Y-Coordinate,STARLINK-3994 - Y-Coordinate,STARLINK-3598 - Y-Coordinate,STARLINK-30174 - Y-Coordinate,STARLINK-5503 - Y-Coordinate,STARLINK-30982 - Y-Coordinate,STARLINK-6168 - Y-Coordinate,STARLINK-32181 - Y-Coordinate,STARLINK-5308 - Y-Coordinate,STARLINK-3397 - Y-Coordinate,STARLINK-31448 - Y-Coordinate,STARLINK-4286 - Y-Coordinate,STARLINK-2190 - Y-Coordinate,STARLINK-4152 - Y-Coordinate,STARLINK-2645 - Y-Coordinate,STARLINK-31215 - Y-Coordinate,STARLINK-3241 - Y-Coordinate,STARLINK-30514 - Y-Coordinate,STARLINK-5612 - Y-Coordinate,STARLINK-2480 - Y-Coordinate,STARLINK-31466 - Y-Coordinate,STARLINK-5940 - Y-Coordinate,STARLINK-2540 - Y-Coordinate,STARLINK-5073 - Y-Coordinate,STARLINK-3558 - Y-Coordinate,STARLINK-5966 - Y-Coordinate,STARLINK-3760 - Y-Coordinate,STARLINK-30470 - Y-Coordinate,STARLINK-5493 - Y-Coordinate,STARLINK-4517 - Y-Coordinate,STARLINK-5286 - Y-Coordinate,STARLINK-31473 - Y-Coordinate,STARLINK-5084 - Y-Coordinate,STARLINK-5804 - Y-Coordinate,STARLINK-4496 - Y-Coordinate,STARLINK-1270 - Y-Coordinate,STARLINK-31785 - Y-Coordinate,STARLINK-30210 - Y-Coordinate,STARLINK-30488 - Y-Coordinate,STARLINK-3776 - Y-Coordinate,STARLINK-30885 - Y-Coordinate,STARLINK-4568 - Y-Coordinate,STARLINK-11133 [DTC] - Y-Coordinate,STARLINK-1954 - Y-Coordinate,STARLINK-1699 - Y-Coordinate,STARLINK-3735 - Y-Coordinate,STARLINK-4133 - Y-Coordinate,STARLINK-5634 - Y-Coordinate,STARLINK-3577 - Y-Coordinate,STARLINK-5565 - Y-Coordinate,STARLINK-31468 - Y-Coordinate,STARLINK-4021 - Y-Coordinate,STARLINK-30089 - Y-Coordinate,STARLINK-31621 - Y-Coordinate,STARLINK-2422 - Y-Coordinate,STARLINK-30430 - Y-Coordinate,STARLINK-6120 - Y-Coordinate,STARLINK-5155 - Y-Coordinate,STARLINK-5990 - Y-Coordinate,STARLINK-6039 - Y-Coordinate,STARLINK-31290 - Y-Coordinate,STARLINK-4566 - Y-Coordinate,STARLINK-31435 - Y-Coordinate,STARLINK-5196 - Y-Coordinate,STARLINK-31376 - Y-Coordinate,STARLINK-32103 - Y-Coordinate,STARLINK-30716 - Y-Coordinate,STARLINK-30807 - Y-Coordinate,STARLINK-3741 - Y-Coordinate,STARLINK-3980 - Y-Coordinate,STARLINK-4442 - Y-Coordinate,STARLINK-4463 - Y-Coordinate,STARLINK-4461 - Y-Coordinate,STARLINK-3257 - Y-Coordinate,STARLINK-4550 - Y-Coordinate,STARLINK-11093 [DTC] - Y-Coordinate,STARLINK-4413 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5049 - Z-Coordinate,STARLINK-5955 - Z-Coordinate,STARLINK-31043 - Z-Coordinate,STARLINK-5014 - Z-Coordinate,STARLINK-31946 - Z-Coordinate,STARLINK-2608 - Z-Coordinate,STARLINK-3650 - Z-Coordinate,STARLINK-2616 - Z-Coordinate,STARLINK-5924 - Z-Coordinate,STARLINK-31503 - Z-Coordinate,STARLINK-5887 - Z-Coordinate,STARLINK-30507 - Z-Coordinate,STARLINK-4062 - Z-Coordinate,STARLINK-5284 - Z-Coordinate,STARLINK-2660 - Z-Coordinate,STARLINK-1021 - Z-Coordinate,STARLINK-5481 - Z-Coordinate,STARLINK-3737 - Z-Coordinate,STARLINK-5913 - Z-Coordinate,STARLINK-1186 - Z-Coordinate,STARLINK-31199 - Z-Coordinate,STARLINK-11168 [DTC] - Z-Coordinate,STARLINK-3605 - Z-Coordinate,STARLINK-31386 - Z-Coordinate,STARLINK-3994 - Z-Coordinate,STARLINK-3598 - Z-Coordinate,STARLINK-30174 - Z-Coordinate,STARLINK-5503 - Z-Coordinate,STARLINK-30982 - Z-Coordinate,STARLINK-6168 - Z-Coordinate,STARLINK-32181 - Z-Coordinate,STARLINK-5308 - Z-Coordinate,STARLINK-3397 - Z-Coordinate,STARLINK-31448 - Z-Coordinate,STARLINK-4286 - Z-Coordinate,STARLINK-2190 - Z-Coordinate,STARLINK-4152 - Z-Coordinate,STARLINK-2645 - Z-Coordinate,STARLINK-31215 - Z-Coordinate,STARLINK-3241 - Z-Coordinate,STARLINK-30514 - Z-Coordinate,STARLINK-5612 - Z-Coordinate,STARLINK-2480 - Z-Coordinate,STARLINK-31466 - Z-Coordinate,STARLINK-5940 - Z-Coordinate,STARLINK-2540 - Z-Coordinate,STARLINK-5073 - Z-Coordinate,STARLINK-3558 - Z-Coordinate,STARLINK-5966 - Z-Coordinate,STARLINK-3760 - Z-Coordinate,STARLINK-30470 - Z-Coordinate,STARLINK-5493 - Z-Coordinate,STARLINK-4517 - Z-Coordinate,STARLINK-5286 - Z-Coordinate,STARLINK-31473 - Z-Coordinate,STARLINK-5084 - Z-Coordinate,STARLINK-5804 - Z-Coordinate,STARLINK-4496 - Z-Coordinate,STARLINK-1270 - Z-Coordinate,STARLINK-31785 - Z-Coordinate,STARLINK-30210 - Z-Coordinate,STARLINK-30488 - Z-Coordinate,STARLINK-3776 - Z-Coordinate,STARLINK-30885 - Z-Coordinate,STARLINK-4568 - Z-Coordinate,STARLINK-11133 [DTC] - Z-Coordinate,STARLINK-1954 - Z-Coordinate,STARLINK-1699 - Z-Coordinate,STARLINK-3735 - Z-Coordinate,STARLINK-4133 - Z-Coordinate,STARLINK-5634 - Z-Coordinate,STARLINK-3577 - Z-Coordinate,STARLINK-5565 - Z-Coordinate,STARLINK-31468 - Z-Coordinate,STARLINK-4021 - Z-Coordinate,STARLINK-30089 - Z-Coordinate,STARLINK-31621 - Z-Coordinate,STARLINK-2422 - Z-Coordinate,STARLINK-30430 - Z-Coordinate,STARLINK-6120 - Z-Coordinate,STARLINK-5155 - Z-Coordinate,STARLINK-5990 - Z-Coordinate,STARLINK-6039 - Z-Coordinate,STARLINK-31290 - Z-Coordinate,STARLINK-4566 - Z-Coordinate,STARLINK-31435 - Z-Coordinate,STARLINK-5196 - Z-Coordinate,STARLINK-31376 - Z-Coordinate,STARLINK-32103 - Z-Coordinate,STARLINK-30716 - Z-Coordinate,STARLINK-30807 - Z-Coordinate,STARLINK-3741 - Z-Coordinate,STARLINK-3980 - Z-Coordinate,STARLINK-4442 - Z-Coordinate,STARLINK-4463 - Z-Coordinate,STARLINK-4461 - Z-Coordinate,STARLINK-3257 - Z-Coordinate,STARLINK-4550 - Z-Coordinate,STARLINK-11093 [DTC] - Z-Coordinate,STARLINK-4413 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4440.5975,-6193.0862,-5115.5005,3411.5196,-5723.4257,-3149.1785,-3140.4211,4924.2870,-4394.7194,-2181.7449,5275.0881,-3497.4450,-4836.2736,630.1393,986.2930,4260.9679,5635.3784,-4385.8596,6322.4501,3970.0413,-1506.3298,1234.4658,333.7458,-1871.1942,-1375.0455,-3524.3358,-5888.5878,-3061.5188,-6099.7003,3512.1607,-429.5725,-2750.6642,2934.1096,-2669.5801,-3969.8529,-1068.1074,1811.3847,-5102.4214,-6829.2437,-409.0855,4139.9811,-2280.2187,-5225.6278,-2808.9520,-3539.4117,-282.6027,186.4400,6084.2548,-4240.1241,-3629.7947,-6191.2362,6730.8328,2228.4450,3339.2484,847.5052,-2741.8321,3220.2092,4386.5971,2815.1550,-3204.0616,5613.1577,-6835.0882,-2782.2713,1551.3138,-4846.5687,3817.1756,-3029.9550,0.0000,3467.6042,1168.2919,3362.7429,4755.2108,171.0218,-6320.0490,6700.3133,5760.5376,-1730.4665,-5584.7244,-6455.9088,4838.6525,318.8483,1472.3783,2160.5926,0.0000,-1422.1205,-4519.0015,2165.7275,4846.7620,-6491.1679,2898.5769,-2418.8938,-6530.2718,-2731.9338,-2123.1144,2847.6467,-2301.8705,-4803.2073,-3738.5310,6654.1412,-5877.7988,250372.5141,254748.1404,248852.3581,253527.2994,256577.6761,253484.5719,247090.1471,249897.1804,-300474174.7418,-300507571.7301,-300484765.5179,-300489293.4183,250395.1782,-300489133.2250,-3495.7228,-2467.2280,-1785.6035,3885.3962,-303.6649,-2997.6434,4511.2027,-1670.5051,-907.1238,-5968.6787,1827.7223,-4913.6540,-1544.6437,-4787.3761,5608.3373,-2845.6249,3147.1631,397.3207,2339.3896,-1321.4147,-6254.4014,-6201.2557,-4872.2762,5996.1550,6711.6566,-3357.1005,-3417.0431,4123.6378,1173.5330,-3819.6693,-5141.1287,4456.1784,-3207.8246,-6267.8144,1298.5150,4534.5296,4002.0858,4131.3724,431.5864,4344.4673,3833.2205,-3095.1174,4285.9870,-4285.7944,-5857.9496,4193.1736,6352.3915,1825.1437,-3659.6624,-5663.5158,-2146.7386,-1276.8752,4651.0579,-481.3611,-4823.4259,6300.6526,-6099.6351,4246.3020,3042.2398,3880.5302,-1619.0070,1051.6794,6064.2457,4856.3087,-3367.2691,-1323.1872,3257.8624,0.0000,5836.3677,6389.6880,5865.2532,1236.9584,2975.3473,1993.6246,-542.5976,2976.4486,6555.4180,-2214.3897,-2063.0718,-3507.8569,-4479.1489,-6760.1285,2373.4414,0.0000,-52.5033,-4062.2535,-2030.0681,4756.2295,-1696.0140,-4519.4153,6278.5666,-948.9212,5232.8587,-5443.5574,-1667.0117,-5988.8988,3256.5433,2064.1291,778.7629,3646.1899,-298145.1431,-289213.6844,-296735.2526,-294661.9858,-286476.4675,-288041.6318,-289361.1639,-292049.4532,46840058.2397,46863369.6830,46819356.4155,46825416.8529,-291342.2393,46833513.2674,-4010.5881,1876.4902,-4307.6457,-4496.2853,3654.2544,5220.3128,-3758.1352,4550.2912,-5164.9967,2475.2227,-4112.2197,3328.3162,4634.1253,-5047.5094,3350.4242,4570.1447,-2552.5164,-5273.9345,1723.7306,-5489.8515,-2278.6468,-2384.3712,-4828.0886,-2622.9269,-452.3109,-4862.5499,-1301.3369,-4750.5190,-3107.5562,4573.1323,-4434.7430,-4558.3147,-5362.0418,-467.6875,5189.0361,4940.4899,-5293.4821,-2109.8386,533.5504,-5315.8986,-3418.8637,-5793.4140,-733.7049,-4464.3946,1051.1279,5340.5837,-2752.8023,2704.2822,4031.4619,-1455.8752,2207.9894,-1050.5237,4485.1488,-6058.3349,-4557.7903,983.7034,890.4475,3148.8360,5507.1956,4469.4803,3670.8444,-71.5746,-1597.7418,-4675.0572,3580.3621,-5386.7838,5209.4616,0.0000,1181.9332,-2357.1781,-1544.5527,4823.4188,6219.0670,-1606.2467,1458.2103,2349.4941,-1077.6032,-3168.8922,-730.0082,3516.2132,-5223.6418,1047.8139,6145.1242,0.0000,6766.5792,3047.5380,6230.7943,-456.3020,913.1587,4243.0792,1662.1741,1676.4746,-3106.6522,-3683.3996,-6076.7218,2483.3276,3780.6864,-5421.2857,-813.2235,495.5873,116508.9391,112434.9211,116836.6726,114130.9962,119797.0021,113675.2917,105564.7245,112765.6575,22163389.2122,22146797.3381,22176745.9678,22172662.9131,114333.8358,22175668.7760,
300.000,3527.1394,-6243.4871,-5998.3118,3930.3734,-4935.9469,-3981.4551,-1193.0434,3309.0117,-5802.0153,-3772.1304,6049.1753,-5089.0260,-5968.1145,-179.2469,2507.8582,2366.6601,5722.3658,-4620.4797,5744.0193,3342.1341,-2897.3696,10.1213,-1388.1455,-28.7236,-99.1917,-5197.4474,-6605.9766,-1160.0121,-6059.3496,2056.3560,-2021.4166,-1137.9670,932.8605,-3882.7876,-3629.6823,1010.5708,3797.0293,-3625.4754,-6513.0076,1559.0155,4311.7227,-2384.3331,-4327.4820,-4605.1030,-4546.9877,1793.1251,871.2418,5529.9808,-4864.2244,-4291.1400,-6841.4034,6346.7500,3263.5383,4356.4387,-1337.4516,-1137.3220,2635.0759,4596.4616,4271.5954,-2309.9067,5428.0492,-6260.2253,-1690.0624,3442.9562,-4765.0144,2894.1544,-987.8150,0.0000,4191.8795,2286.8534,3527.3409,5805.5712,1828.6649,-5217.7531,5885.6169,6641.7574,-108.1983,-5106.8840,-6670.7799,4067.0313,-1716.7800,861.4861,265.0096,0.0000,404.9585,-5761.8625,-10.6058,5585.2641,-6339.6894,902.7417,-726.7731,-6803.8408,-1704.6122,-1968.2556,1385.3535,-1478.2257,-3026.8775,-2963.6913,6653.4532,-5928.4708,256797.3960,260697.0809,254804.6973,259372.5910,262675.5619,259476.6286,253219.9287,255577.7807,-301421668.2831,-301455616.2175,-301431797.4369,-301436209.8621,256486.5081,-301436668.6722,-5161.0010,-2983.0023,-12.4417,1908.9579,1590.8281,-972.0940,4433.2846,-2916.9232,-129.1018,-5588.5070,2639.1949,-4159.5109,-127.7144,-6071.5166,5863.1844,-3650.1329,1325.3384,2416.8700,1422.9180,-3354.2165,-5100.7088,-6727.4980,-5613.9874,5686.1745,6498.0733,-2496.1001,-2080.4313,5105.3922,2880.2812,-5289.5091,-3853.2877,3617.1288,-4055.9034,-5262.3350,3368.6026,3984.3079,3546.3688,4593.8112,1916.5558,4909.3450,1945.9311,-991.9260,5125.0094,-3246.7641,-4591.8289,4557.2698,5186.3855,260.1409,-1669.6028,-4394.1179,-699.1595,-2736.7908,2882.7853,-2111.9879,-4908.6186,6402.8369,-6319.9417,2498.4317,1444.6123,5455.3324,-3439.3019,2473.5703,6644.1999,3821.6954,-1528.1308,-3308.5806,4001.2234,0.0000,4652.1479,5262.4108,4839.1406,-308.8632,1521.3871,2967.2188,-1723.3524,1633.8577,6389.7003,-492.8714,-858.5113,-5121.4555,-3752.8931,-6863.8479,1283.0875,0.0000,-1427.5075,-3337.4841,-2383.6530,3361.3132,-72.6442,-4419.8901,6202.9917,269.7908,6284.8582,-6419.8042,-57.0209,-5059.1794,3859.7533,3997.8340,-451.9827,3153.9068,-292984.3271,-284089.2115,-291327.0520,-289240.4805,-281059.8113,-282808.4508,-283961.0914,-286468.4253,40265187.8558,40288018.2818,40244725.7806,40250616.2858,-285976.4908,40258708.2175,-2989.7720,-354.9616,-3453.4918,-5278.6553,4392.5024,5418.0850,-4823.4831,5317.1587,-3620.8505,1036.2592,-2118.5361,2068.6321,3411.6557,-3446.6753,1737.1413,5310.3448,-3700.0255,-4473.8650,3654.3584,-5021.9735,-3489.7428,-622.8068,-3702.8954,-3743.0871,-2219.4285,-3753.2559,234.5233,-4641.2796,-1792.7791,3955.2748,-5230.1197,-5816.8052,-5507.3569,-1969.0520,4457.3008,5404.2028,-4507.8277,-3649.4569,-1017.6413,-4556.9278,-4599.1719,-6455.7974,1093.5177,-3799.4631,2481.8914,4713.4958,-4508.8739,4121.3759,4600.2508,-3108.6608,740.3967,492.8250,5266.4570,-4963.2119,-4344.2514,2421.6431,-1233.9279,4448.7154,5214.1151,3199.0165,2516.9772,-1594.0990,211.4040,-4624.7337,4751.8730,-5100.7187,5472.0505,0.0000,2870.6980,-3851.9718,-3501.9859,3691.8956,6472.6185,-3238.6055,3110.3926,898.2357,-2508.6015,-4451.8917,1097.3529,2309.8661,-5515.5915,-1070.9946,6806.3554,0.0000,6753.2456,1380.8073,6476.6683,-1960.6687,2371.1317,5143.4562,3000.2290,-135.0228,-1440.6268,-1614.9753,-6774.8583,4415.7848,4887.1743,-4781.3121,1023.8068,-1739.7842,116638.0662,112619.8675,116911.7712,114048.5819,119880.5414,114040.5808,105592.5134,112956.1502,22158888.4697,22142166.2279,22172763.4205,22168725.7218,114407.3580,22171151.5518,
600.000,2300.2565,-5613.1551,-6317.9646,4108.7784,-3672.7810,-4456.1748,909.7583,1388.8346,-6601.3080,-4970.3782,6149.9690,-6171.1669,-6511.7391,-926.8362,3726.0221,242.5052,5287.0883,-4434.1885,4605.6728,2437.0546,-4027.8175,-1208.0742,-2937.7352,1842.7475,1211.2061,-6348.1519,-6682.6435,827.9444,-5446.2202,434.2619,-3451.0877,638.1637,-1138.9383,-4720.1037,-2939.0263,3007.3146,5396.9417,-1768.4674,-5544.3276,3342.8421,4042.2808,-2332.7224,-2966.1296,-5934.3345,-5134.4578,3660.5883,1525.8828,4450.7702,-5055.6874,-4552.3918,-6823.4617,5344.6329,4021.1485,4977.5092,-3371.5716,596.5253,1768.4076,4387.1829,5339.7168,-1204.0540,4730.0875,-5072.4269,-422.7862,5019.4786,-4255.4815,1716.1018,1137.8409,0.0000,4524.5228,3221.0502,3374.1386,6293.3517,3355.4877,-3570.1280,4478.8463,6868.0501,1546.9268,-4130.7012,-6193.7061,2923.2547,-3605.8208,151.2032,-1606.1235,0.0000,2243.9608,-6394.6522,-2173.8434,5765.4564,-5536.1790,-1205.6909,1058.7992,-6366.9374,-504.8311,-1574.3204,-293.5969,-547.4085,-947.6494,-1946.3581,5938.2666,-5321.2318,263115.6739,266528.5339,260642.5826,265086.5306,268656.1457,265345.5717,259233.2717,261203.6044,-302225318.7929,-302259805.0627,-302235001.2036,-302239291.0374,262462.8780,-302240364.2974,-6323.8761,-3168.1841,1735.6939,-261.6836,3351.1178,1134.2327,3914.9792,-3928.3980,614.8706,-4645.4848,3189.0390,-3013.4962,1266.4447,-6758.8261,5461.0379,-4144.2699,-644.3289,4171.9393,319.2239,-5060.2216,-3434.7188,-6534.1944,-5813.9774,4820.0157,5630.4253,-1425.7543,-539.6028,5645.2008,4296.5371,-6261.4872,-2199.6561,2470.9553,-4557.8891,-3716.5572,5059.6154,3074.2288,2784.0101,4633.7704,3219.7252,5022.9355,-182.2841,1214.1498,5435.1013,-1910.3347,-2870.3430,4495.1447,3498.1143,-1368.6013,482.2231,-2668.0317,809.4884,-3935.4312,834.8571,-3482.8415,-4507.2347,5899.3583,-5906.9552,477.9104,-253.4799,6441.5721,-4908.3596,3669.2509,6546.0210,2454.8826,488.2647,-4957.4325,4396.5784,0.0000,2987.2227,3616.0211,3300.2293,-1787.5629,-26.3781,3670.0683,-2765.1207,139.1047,5596.3123,1316.0508,447.8985,-6233.2273,-2707.3183,-6287.1899,-25.3929,0.0000,-2570.1871,-2277.7510,-2576.6588,1609.0073,1579.9160,-3922.8473,5543.2664,1461.8339,6636.4081,-6693.4238,1490.3338,-3540.9808,4136.5531,5540.9518,-1646.2417,2339.0011,-287677.0169,-278849.6720,-285789.9844,-283687.0808,-275515.6982,-277467.7059,-278432.0948,-280738.9065,33671273.1545,33693611.3787,33651080.1506,33656843.9112,-280483.4325,33664856.7753,-1648.6073,-2548.3763,-2228.1986,-5477.9236,4632.8932,5002.1175,-5309.5220,5510.7585,-1673.8555,-519.1864,101.9929,583.4117,1815.2192,-1485.2623,-89.9504,5467.0797,-4453.4818,-3182.9213,5197.9614,-4010.9101,-4309.9749,1210.7668,-2170.4292,-4440.7825,-3742.1957,-2233.4394,1745.2080,-4049.5208,-287.0170,2911.8393,-5435.2851,-6457.9278,-5057.5904,-3249.9968,3190.6373,5254.7400,-3229.2826,-4792.7865,-2456.6157,-3299.4638,-5211.5311,-6436.4757,2796.4831,-2703.5327,3645.8170,3552.7452,-5782.1899,5092.0961,4670.7282,-4421.8162,-807.0676,1983.2821,5461.2343,-3338.3850,-3614.9669,3601.0878,-3227.6085,5259.7722,4355.1110,1555.2669,1090.0438,-2944.8083,1997.1464,-4077.1134,5408.9091,-4220.9983,5129.8539,0.0000,4246.4200,-4931.0984,-5085.6554,2157.7742,6025.8149,-4507.3195,4421.6485,-650.6770,-3663.1506,-5229.7593,2800.9941,856.5704,-5207.8882,-3078.4055,6742.6580,0.0000,6015.3231,-442.5584,6023.4019,-3243.3912,3556.5885,5472.8260,4016.7120,-1931.3006,398.2092,628.3289,-6746.3469,5864.8039,5469.9127,-3623.7936,2741.9143,-3789.2616,116764.6599,112811.2666,116982.0380,113968.0211,119961.2992,114407.7112,105624.6156,113258.9909,22154393.3788,22137536.4208,22168779.1008,22164804.0285,114480.8165,22166634.4343,
