sl_20_5400_20300624 Coordinates.csv
2030/06/24 07:47:00.0000 UTC

Generated: Tue Oct  8 21:49:52 2024,
Start: 2030/06/24 07:47:00.00, Stop: 2030/06/24 09:17:00.00,
TIME_UNITS,STARLINK-31447 - X-Coordinate,STARLINK-1413 - X-Coordinate,STARLINK-32211 - X-Coordinate,STARLINK-30122 - X-Coordinate,STARLINK-5774 - X-Coordinate,STARLINK-1186 - X-Coordinate,STARLINK-32027 - X-Coordinate,STARLINK-3090 - X-Coordinate,STARLINK-3620 - X-Coordinate,STARLINK-1130 (DARKSAT) - X-Coordinate,STARLINK-6096 - X-Coordinate,STARLINK-2732 - X-Coordinate,STARLINK-3709 - X-Coordinate,STARLINK-5897 - X-Coordinate,STARLINK-6108 - X-Coordinate,STARLINK-5361 - X-Coordinate,STARLINK-3558 - X-Coordinate,STARLINK-30386 - X-Coordinate,STARLINK-6128 - X-Coordinate,STARLINK-11108 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31447 - Y-Coordinate,STARLINK-1413 - Y-Coordinate,STARLINK-32211 - Y-Coordinate,STARLINK-30122 - Y-Coordinate,STARLINK-5774 - Y-Coordinate,STARLINK-1186 - Y-Coordinate,STARLINK-32027 - Y-Coordinate,STARLINK-3090 - Y-Coordinate,STARLINK-3620 - Y-Coordinate,STARLINK-1130 (DARKSAT) - Y-Coordinate,STARLINK-6096 - Y-Coordinate,STARLINK-2732 - Y-Coordinate,STARLINK-3709 - Y-Coordinate,STARLINK-5897 - Y-Coordinate,STARLINK-6108 - Y-Coordinate,STARLINK-5361 - Y-Coordinate,STARLINK-3558 - Y-Coordinate,STARLINK-30386 - Y-Coordinate,STARLINK-6128 - Y-Coordinate,STARLINK-11108 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31447 - Z-Coordinate,STARLINK-1413 - Z-Coordinate,STARLINK-32211 - Z-Coordinate,STARLINK-30122 - Z-Coordinate,STARLINK-5774 - Z-Coordinate,STARLINK-1186 - Z-Coordinate,STARLINK-32027 - Z-Coordinate,STARLINK-3090 - Z-Coordinate,STARLINK-3620 - Z-Coordinate,STARLINK-1130 (DARKSAT) - Z-Coordinate,STARLINK-6096 - Z-Coordinate,STARLINK-2732 - Z-Coordinate,STARLINK-3709 - Z-Coordinate,STARLINK-5897 - Z-Coordinate,STARLINK-6108 - Z-Coordinate,STARLINK-5361 - Z-Coordinate,STARLINK-3558 - Z-Coordinate,STARLINK-30386 - Z-Coordinate,STARLINK-6128 - Z-Coordinate,STARLINK-11108 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,4889.6844,-4157.7885,3687.5371,5323.9446,4950.2476,1327.5048,2750.7379,-1733.5720,5404.0418,-2403.4535,1259.2215,1310.5972,4341.5707,-604.5942,2462.7885,5042.8224,3774.0910,2597.9594,4534.6073,1544.1694,-378602.1115,-350630.1144,-364091.7728,-364302.0839,-362401.0966,-362053.5851,-358133.5165,-361076.6799,-250080196.8592,-250038724.4255,-250061722.5296,-250075047.9425,-361749.7021,-250086067.3851,4210.2124,1878.5118,4046.2264,4394.4081,3477.5537,5703.8825,-3751.2080,-6533.7420,-4253.5673,-4530.0294,4938.2663,-4129.4750,836.5670,-6726.5250,-4696.1224,-4093.1901,3794.7586,-4914.9495,-3436.1505,-4097.0191,-156363.4434,-146755.5766,-144073.2999,-147879.9715,-157163.9516,-151938.5900,-148709.6578,-149790.6095,241896108.4952,241883001.0776,241872580.8667,241881610.9124,-149201.3512,241880710.8745,-2260.5234,-5151.8112,3968.4882,577.8078,3375.5003,3642.4514,-4965.3033,1665.2012,-393.8681,4161.7168,-4694.1201,-5446.1160,5250.8316,1631.6019,-4459.7081,-2327.9237,-4372.5470,4051.2856,-3913.9013,5118.9831,87682.8884,86567.7830,88133.4835,84503.6790,91331.8997,87142.2031,76623.7575,87210.6839,154228604.8208,154211185.6978,154214243.8309,154210246.5353,85694.8626,154216528.7795,
3000.000,6042.9994,-3823.8101,4066.0046,6115.7178,5241.5429,2861.0434,625.8827,-2151.6962,4308.3622,-4148.7515,3218.4741,-564.3144,3907.2130,-1183.1007,763.5567,4162.0192,5362.6063,510.1221,3667.7646,-151.5580,-375139.3765,-347260.8034,-360716.9030,-360680.4829,-359113.6436,-358891.2932,-354874.7752,-358277.8605,-255300492.5633,-255259141.2538,-255281950.4121,-255295570.0573,-358501.9148,-255306440.8671,3094.5392,3835.8717,2116.1269,3110.4091,1531.4742,5915.0992,-4059.6354,-5551.5401,-4922.4974,-4321.0540,4045.1011,-5007.8197,-1293.0804,-5835.8722,-5796.0064,-5431.4268,3124.9650,-5088.0396,-5107.3113,-5221.5769,-164400.2295,-154202.4819,-151626.5991,-155341.0800,-164810.1141,-159191.7660,-156383.8435,-157591.0400,236379103.5136,236366989.8498,236356232.9676,236365148.3486,-156821.7949,236363695.0075,-792.2800,-4244.6298,4968.1588,-967.0949,4261.1107,2102.0705,-5424.5083,3603.8529,-2163.4808,2786.4276,-4613.2884,-4799.1590,5492.9841,3575.9031,-3717.9593,-873.6302,-3038.5397,4599.7901,-2853.4230,4255.3237,87756.2123,86635.4090,88206.7360,84491.6060,91423.1322,87482.8497,76705.7072,87358.8763,154229333.6106,154211762.9555,154214721.0925,154210680.3370,85791.6075,154217309.6265,
3300.000,6581.1970,-3151.9927,4069.3319,6318.8831,5063.7904,4089.2969,-1563.4811,-2399.3769,2764.9519,-5405.8343,4882.4396,-2351.3086,3137.1305,-1688.6215,-980.5813,2878.6412,6411.2032,-1635.6098,2468.6093,-1792.1477,-371504.8275,-343736.5108,-357181.2522,-356868.4597,-355664.5864,-355578.6749,-351453.1408,-355329.4532,-260399108.3826,-260357900.7726,-260380521.1423,-260394450.5877,-355093.6064,-260405134.0619,1672.4892,5398.9934,-47.4869,1516.7619,-575.0918,5548.5586,-4007.7346,-4001.1451,-5116.1174,-3649.1604,2801.3557,-5441.1454,-3307.9565,-4352.6515,-6354.5650,-6230.5787,2177.6768,-4801.1925,-6274.3862,-5815.8741,-172359.7933,-161573.0247,-159111.0799,-162739.6979,-172383.9284,-166338.2977,-163986.8357,-165279.2976,230749462.5500,230738337.8995,230727249.2666,230736036.6869,-164371.5801,230734039.3572,764.4578,-2873.7416,5396.1594,-2408.2690,4690.1551,333.3211,-5271.9302,5161.5732,-3697.2273,1068.0591,-4038.7740,-3645.4323,5131.5188,5139.9648,-2577.9024,675.6142,-1376.3523,4645.2909,-1483.9729,2896.7185,87829.3485,86702.7462,88275.3421,84502.1704,91511.6704,87793.8856,76791.8777,87381.1787,154230056.6666,154212340.1129,154215198.6427,154211125.9722,85888.3041,154218090.1767,
3600.000,6454.4872,-2193.9749,3702.4235,5922.9822,4438.6464,4904.6282,-3587.7348,-2472.3170,920.5784,-6039.9229,6086.6355,-3883.2806,2105.6911,-2090.5330,-2608.9609,1305.8508,6816.8753,-3625.6940,1041.2031,-3212.8197,-367700.1969,-340058.8720,-353486.4561,-352868.4664,-352055.5368,-352115.6942,-347870.1691,-352198.4541,-265373614.6878,-265332573.1605,-265355005.0759,-265369258.6092,-351526.3134,-265379717.1762,73.6897,6410.9527,-2213.6300,-242.5516,-2638.0635,4628.2303,-3599.0399,-2038.1415,-4830.7975,-2572.2351,1322.4358,-5375.6792,-5001.0850,-2430.0780,-6309.9052,-6419.0117,1028.2784,-4083.4368,-6823.2699,-5804.9237,-180238.4279,-168864.0032,-166523.4449,-170078.7372,-179881.9822,-173376.0292,-171515.1496,-172841.0192,225009868.6999,224999727.7831,224988312.0405,224996956.7174,-171847.3256,224994427.0397,2235.6830,-1188.4057,5203.3991,-3591.4036,4616.8319,-1471.6518,-4524.6759,6174.2231,-4828.5586,-781.8346,-3031.6907,-2106.2224,4205.9485,6158.0118,-1161.3122,2151.3385,434.6912,4182.8258,46.3556,1201.0313,87902.2979,86769.8120,88339.3552,84541.1285,91597.5279,88065.7224,76882.2577,87284.1208,154230774.0149,154212917.1766,154215676.5529,154211583.7803,85984.9525,154218870.4300,
3900.000,5681.2126,-1027.2110,3002.1502,4974.6530,3426.3391,5242.0826,-5234.4900,-2376.8172,-1045.2668,-5989.5381,6709.4914,-5020.7535,907.4259,-2361.5423,-3974.2500,-413.4235,6542.1137,-5261.3064,-489.0663,-4276.1407,-363727.2980,-336229.5924,-349634.2180,-348685.7042,-348288.1787,-348501.4177,-344127.4925,-348854.7708,-270221640.9996,-270180787.7335,-270203031.6902,-270217622.2531,-347801.6436,-270227819.5678,-1552.9884,6771.5836,-4150.1240,-2005.5406,-4456.2825,3234.3540,-2867.0149,138.9175,-4107.4853,-1193.6769,-257.3090,-4803.2451,-6196.6223,-266.0954,-5657.6543,-5985.7556,-228.8218,-3001.4533,-6701.4148,-5177.3978,-188032.4652,-176072.2499,-173860.4318,-177362.0349,-187300.8967,-180305.8305,-178965.3352,-180264.9990,219163057.4516,219153894.4583,219142155.9602,219150641.7308,-179245.6838,219147593.5712,3456.7986,627.1388,4411.9324,-4390.1992,4049.0362,-3116.9756,-3266.4739,6535.4527,-5435.1774,-2535.5932,-1699.4960,-343.9762,2817.7208,6522.5161,379.9948,3392.9476,2198.6415,3262.8572,1571.6328,-634.4265,87975.0613,86836.6224,88398.8374,84614.2596,91680.7177,88288.1450,76976.8373,87084.0804,154231485.6840,154213494.1535,154216154.8950,154212054.0789,86081.5525,154219650.3864,
4200.000,4345.2363,250.6352,2033.7426,3571.7678,2119.8629,5084.0262,-6330.8512,-2127.5179,-2937.9429,-5272.1631,6685.0433,-5664.8424,-351.3504,-2478.9066,-4955.8535,-2119.5070,5618.6511,-6378.3729,-1986.2878,-4885.4249,-359588.0238,-332250.4463,-345626.3084,-344328.7663,-344364.2676,-344734.0945,-340226.8201,-345273.8344,-274940877.1183,-274900234.0740,-274922290.7138,-274937229.8421,-343921.2751,-274947130.8759,-3053.3082,6448.0011,-5648.5442,-3607.0720,-5851.1922,1496.3409,-1872.9235,2308.9752,-3025.7755,347.3570,-1796.4823,-3764.0721,-6768.5570,1917.4243,-4452.7281,-4980.6724,-1487.5258,-1653.5598,-5923.1739,-3988.5668,-195738.2778,-183194.6337,-181118.8145,-184593.4625,-194637.3283,-187132.3318,-186333.9786,-187543.8867,213211815.3827,213203623.9803,213191566.7874,213199876.2141,-186563.3418,213196325.5643,4291.2682,2373.8729,3112.5452,-4719.6291,3047.5122,-4424.6249,-1638.8054,6207.4303,-5451.7700,-3977.9889,-184.8229,1454.7166,1119.3663,6195.0985,1880.4327,4265.4019,3724.4339,1985.8884,2926.2546,-2396.1700,88047.6398,86903.1925,88453.8593,84726.3853,91761.2515,88451.7656,77075.6084,86805.4975,154232191.7046,154214071.0501,154216633.7416,154212537.1662,86178.1042,154220430.0460,
4500.000,2586.4357,1529.4855,885.0937,1853.0308,636.5951,4459.7613,-6762.0630,-1745.3226,-4566.7070,-3980.1485,6010.4278,-5766.0245,-1561.7053,-2426.1667,-5470.6082,-3650.8663,4143.6617,-6864.3899,-3316.0174,-4993.2147,-355284.3464,-328123.2762,-341464.5632,-339809.5168,-340285.6299,-340811.5601,-336169.9364,-341438.4479,-279529074.2248,-279488663.1326,-279510533.2269,-279525830.9958,-339886.9558,-279535402.1212,-4282.2856,5477.8156,-6547.0035,-4894.1073,-6684.5764,-419.5849,-701.5008,4250.9495,-1694.9699,1890.0646,-3159.1454,-2344.7233,-6654.6007,3897.4694,-2805.0098,-3508.4344,-2638.7454,-161.0321,-4568.1064,-2355.5184,-203352.2810,-190228.0612,-188295.4041,-191775.5470,-201887.9698,-193863.8342,-193617.7043,-194674.5378,207158978.8321,207151752.1742,207139380.0480,207147494.5240,-193797.0231,207143459.3996,4645.9220,3860.1769,1454.6290,-4544.6766,1719.4706,-5253.6759,174.5159,5224.5680,-4876.6115,-4932.8015,1349.6970,3099.1015,-702.2100,5210.3211,3178.6454,4673.9336,4846.9093,491.5982,3963.1586,-3879.8353,88120.0341,86969.5363,88504.4999,84880.1518,91839.1401,88550.0220,77178.5645,86478.4152,154232892.1102,154214647.8730,154217113.1659,154213033.3232,86274.6074,154221209.4087,
4800.000,585.6622,2696.1153,-340.7789,-15.7287,-892.0626,3440.6255,-6484.2390,-1255.7962,-5763.6624,-2268.0503,4747.0246,-5327.6667,-2621.2904,-2195.3612,-5479.6360,-4859.3726,2269.0289,-6670.1559,-4357.2503,-4603.9727,-350818.3160,-323849.9911,-337150.8836,-335141.8256,-336054.1619,-336731.9238,-331958.7004,-337339.7569,-283984045.9514,-283943888.2997,-283965572.7333,-283981237.7072,-335700.5027,-283990446.7784,-5118.1068,3964.5533,-6748.2761,-5740.0693,-6872.6163,-2326.4809,545.5904,5766.2854,-243.1693,3268.6710,-4226.7831,-671.0631,-5863.3540,5472.6705,-869.2294,-1717.2650,-3579.6228,1342.6235,-2772.4997,-445.1970,-210870.9340,-197169.4780,-195387.0503,-198908.0462,-209049.5526,-200510.9682,-200813.1762,-201658.0245,201007432.5480,201001163.2837,200988479.6811,200996379.5350,-200943.4891,200991879.8739,4481.2350,4923.1836,-370.8740,-3883.8861,207.1915,-5515.1152,1968.0090,3690.1099,-3771.7131,-5283.9209,2739.0454,4414.8450,-2446.5829,3672.2371,4135.0873,4574.2178,5444.7617,-1056.4893,4569.8979,-4914.0646,88192.2451,87035.6671,88550.8465,85075.0680,91914.3933,88581.0043,77285.7005,86135.7297,154233586.9363,154215224.6290,154217593.2418,154213542.8159,86371.0621,154221988.4746,
5100.000,-1454.0497,3643.9660,-1534.6290,-1857.3238,-2332.2038,2131.5865,-5529.2574,-688.0737,-6401.1029,-333.7066,3014.8788,-4404.0329,-3442.6819,-1789.4261,-4990.7673,-5624.5753,185.2206,-5814.9147,-5013.2492,-3771.1422,-346192.0598,-319432.5661,-332687.2346,-330339.4198,-331671.8293,-332494.2726,-327595.0450,-332977.3913,-288303669.4241,-288263786.4470,-288285286.2021,-288301325.3892,-331363.8007,-288310141.8178,-5474.1272,2066.0466,-6230.8385,-6057.2405,-6394.6525,-4034.8005,1758.1484,6699.6304,1194.7201,4329.8324,-4908.5204,1103.0433,-4473.6225,6484.1179,1169.8418,216.1720,-4222.4565,2723.5163,-715.2572,1543.0589,-218290.7421,-204015.8703,-202390.6423,-205987.1881,-216118.8471,-207084.3462,-207917.0997,-208499.3636,194760108.3134,194754788.5963,194741796.6653,194749461.2651,-207999.5405,194744518.8257,3815.6220,5446.6580,-2153.7191,-2807.5066,-1327.2964,-5180.9276,3538.1250,1765.7153,-2256.5181,-4988.7773,3833.8085,5262.7015,-3922.2716,1743.8336,4647.0949,3977.0707,5453.4571,-2489.1192,4680.7599,-5379.9687,88264.2739,87101.5974,88592.9945,85307.3607,91987.0199,88548.1461,77397.0131,85810.4929,154234276.2211,154215801.3245,154218074.0439,154214065.8972,86467.4682,154222767.2436,
5400.000,-3328.1446,4282.6223,-2590.4245,-3499.7951,-3559.0498,660.4485,-4000.9869,-74.1339,-6405.5965,1604.4345,980.9913,-3093.3372,-3960.0488,-1224.2665,-4056.5732,-5865.7760,-1898.2837,-4384.2234,-5220.3527,-2589.5704,-341407.7809,-314873.0411,-328075.6442,-325413.7757,-327140.6661,-328099.0601,-323080.9759,-328358.9358,-292485886.2737,-292446298.9401,-292467615.0791,-292484033.8906,-326878.8021,-292492428.7173,-5307.9406,-22.5235,-5051.1486,-5806.1114,-5295.5016,-5370.9519,2826.8912,6955.4684,2489.2304,4949.2532,-5148.5835,2810.0317,-2625.9859,6832.0680,3115.2390,2104.2247,-4502.6855,3859.1603,1400.1689,3398.2987,-225608.2581,-210764.2662,-209303.1103,-213006.0082,-223092.6654,-213592.2016,-214926.2230,-215207.0318,188419983.5490,188415605.0466,188402307.6220,188409715.4797,-214962.0186,188404353.7376,2723.4123,5373.4749,-3689.0332,-1430.3298,-2719.7817,-4286.9082,4706.7446,-345.3544,-495.4742,-4083.1487,4516.3854,5553.1384,-4967.9348,-370.0137,4659.8044,2947.3066,4871.9914,-3650.0259,4283.7468,-5224.1759,88336.1211,87167.3388,88631.0470,85570.8047,92057.0277,88459.3315,77512.5004,85533.5116,154234960.0050,154216377.9661,154218555.6476,154214602.8082,86563.8258,154223545.7158,
