sl_100_5400_20300406 Coordinates.csv
2030/04/06 07:47:00.0000 UTC

Generated: Tue Oct  8 21:50:20 2024,
Start: 2030/04/06 07:47:00.00, Stop: 2030/04/06 09:17:00.00,
TIME_UNITS,STARLINK-5479 - X-Coordinate,STARLINK-30811 - X-Coordinate,STARLINK-31966 - X-Coordinate,STARLINK-5771 - X-Coordinate,STARLINK-4136 - X-Coordinate,STARLINK-5387 - X-Coordinate,STARLINK-31553 - X-Coordinate,STARLINK-5870 - X-Coordinate,STARLINK-2221 - X-Coordinate,STARLINK-5107 - X-Coordinate,STARLINK-30507 - X-Coordinate,STARLINK-5239 - X-Coordinate,STARLINK-30329 - X-Coordinate,STARLINK-6230 - X-Coordinate,STARLINK-4581 - X-Coordinate,STARLINK-4078 - X-Coordinate,STARLINK-5790 - X-Coordinate,STARLINK-5365 - X-Coordinate,STARLINK-31457 - X-Coordinate,STARLINK-2348 - X-Coordinate,STARLINK-1208 - X-Coordinate,STARLINK-3878 - X-Coordinate,STARLINK-5245 - X-Coordinate,STARLINK-6072 - X-Coordinate,STARLINK-30287 - X-Coordinate,STARLINK-2403 - X-Coordinate,STARLINK-31024 - X-Coordinate,STARLINK-3768 - X-Coordinate,STARLINK-6113 - X-Coordinate,STARLINK-11160 [DTC] - X-Coordinate,STARLINK-6081 - X-Coordinate,STARLINK-3296 - X-Coordinate,STARLINK-3959 - X-Coordinate,STARLINK-1769 - X-Coordinate,STARLINK-1318 - X-Coordinate,STARLINK-3713 - X-Coordinate,STARLINK-5410 - X-Coordinate,STARLINK-2487 - X-Coordinate,STARLINK-3147 - X-Coordinate,STARLINK-3964 - X-Coordinate,STARLINK-30121 - X-Coordinate,STARLINK-2025 - X-Coordinate,STARLINK-4277 - X-Coordinate,STARLINK-31801 - X-Coordinate,STARLINK-31713 - X-Coordinate,STARLINK-2282 - X-Coordinate,STARLINK-5442 - X-Coordinate,STARLINK-4506 - X-Coordinate,STARLINK-31815 - X-Coordinate,STARLINK-30867 - X-Coordinate,STARLINK-1139 - X-Coordinate,STARLINK-1304 - X-Coordinate,STARLINK-1961 - X-Coordinate,STARLINK-4352 - X-Coordinate,STARLINK-6073 - X-Coordinate,STARLINK-31855 - X-Coordinate,STARLINK-4609 - X-Coordinate,STARLINK-30376 - X-Coordinate,STARLINK-3502 - X-Coordinate,STARLINK-4344 - X-Coordinate,STARLINK-3355 - X-Coordinate,STARLINK-32263 - X-Coordinate,STARLINK-31921 - X-Coordinate,STARLINK-11270 [DTC] - X-Coordinate,STARLINK-1972 - X-Coordinate,STARLINK-5884 - X-Coordinate,STARLINK-5569 - X-Coordinate,STARLINK-30476 - X-Coordinate,STARLINK-31132 - X-Coordinate,STARLINK-31247 - X-Coordinate,STARLINK-1801 - X-Coordinate,STARLINK-6069 - X-Coordinate,STARLINK-3456 - X-Coordinate,STARLINK-6255 - X-Coordinate,STARLINK-4659 - X-Coordinate,STARLINK-6148 - X-Coordinate,STARLINK-31715 - X-Coordinate,STARLINK-6172 - X-Coordinate,STARLINK-5944 - X-Coordinate,STARLINK-5562 - X-Coordinate,STARLINK-3573 - X-Coordinate,STARLINK-31800 - X-Coordinate,STARLINK-1289 - X-Coordinate,STARLINK-3566 - X-Coordinate,STARLINK-31625 - X-Coordinate,STARLINK-5677 - X-Coordinate,STARLINK-5929 - X-Coordinate,STARLINK-1444 - X-Coordinate,STARLINK-30413 - X-Coordinate,STARLINK-31329 - X-Coordinate,STARLINK-6286 - X-Coordinate,STARLINK-30604 - X-Coordinate,STARLINK-3784 - X-Coordinate,STARLINK-30273 - X-Coordinate,STARLINK-31364 - X-Coordinate,STARLINK-5581 - X-Coordinate,STARLINK-31410 - X-Coordinate,STARLINK-6232 - X-Coordinate,STARLINK-2450 - X-Coordinate,STARLINK-30459 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5479 - Y-Coordinate,STARLINK-30811 - Y-Coordinate,STARLINK-31966 - Y-Coordinate,STARLINK-5771 - Y-Coordinate,STARLINK-4136 - Y-Coordinate,STARLINK-5387 - Y-Coordinate,STARLINK-31553 - Y-Coordinate,STARLINK-5870 - Y-Coordinate,STARLINK-2221 - Y-Coordinate,STARLINK-5107 - Y-Coordinate,STARLINK-30507 - Y-Coordinate,STARLINK-5239 - Y-Coordinate,STARLINK-30329 - Y-Coordinate,STARLINK-6230 - Y-Coordinate,STARLINK-4581 - Y-Coordinate,STARLINK-4078 - Y-Coordinate,STARLINK-5790 - Y-Coordinate,STARLINK-5365 - Y-Coordinate,STARLINK-31457 - Y-Coordinate,STARLINK-2348 - Y-Coordinate,STARLINK-1208 - Y-Coordinate,STARLINK-3878 - Y-Coordinate,STARLINK-5245 - Y-Coordinate,STARLINK-6072 - Y-Coordinate,STARLINK-30287 - Y-Coordinate,STARLINK-2403 - Y-Coordinate,STARLINK-31024 - Y-Coordinate,STARLINK-3768 - Y-Coordinate,STARLINK-6113 - Y-Coordinate,STARLINK-11160 [DTC] - Y-Coordinate,STARLINK-6081 - Y-Coordinate,STARLINK-3296 - Y-Coordinate,STARLINK-3959 - Y-Coordinate,STARLINK-1769 - Y-Coordinate,STARLINK-1318 - Y-Coordinate,STARLINK-3713 - Y-Coordinate,STARLINK-5410 - Y-Coordinate,STARLINK-2487 - Y-Coordinate,STARLINK-3147 - Y-Coordinate,STARLINK-3964 - Y-Coordinate,STARLINK-30121 - Y-Coordinate,STARLINK-2025 - Y-Coordinate,STARLINK-4277 - Y-Coordinate,STARLINK-31801 - Y-Coordinate,STARLINK-31713 - Y-Coordinate,STARLINK-2282 - Y-Coordinate,STARLINK-5442 - Y-Coordinate,STARLINK-4506 - Y-Coordinate,STARLINK-31815 - Y-Coordinate,STARLINK-30867 - Y-Coordinate,STARLINK-1139 - Y-Coordinate,STARLINK-1304 - Y-Coordinate,STARLINK-1961 - Y-Coordinate,STARLINK-4352 - Y-Coordinate,STARLINK-6073 - Y-Coordinate,STARLINK-31855 - Y-Coordinate,STARLINK-4609 - Y-Coordinate,STARLINK-30376 - Y-Coordinate,STARLINK-3502 - Y-Coordinate,STARLINK-4344 - Y-Coordinate,STARLINK-3355 - Y-Coordinate,STARLINK-32263 - Y-Coordinate,STARLINK-31921 - Y-Coordinate,STARLINK-11270 [DTC] - Y-Coordinate,STARLINK-1972 - Y-Coordinate,STARLINK-5884 - Y-Coordinate,STARLINK-5569 - Y-Coordinate,STARLINK-30476 - Y-Coordinate,STARLINK-31132 - Y-Coordinate,STARLINK-31247 - Y-Coordinate,STARLINK-1801 - Y-Coordinate,STARLINK-6069 - Y-Coordinate,STARLINK-3456 - Y-Coordinate,STARLINK-6255 - Y-Coordinate,STARLINK-4659 - Y-Coordinate,STARLINK-6148 - Y-Coordinate,STARLINK-31715 - Y-Coordinate,STARLINK-6172 - Y-Coordinate,STARLINK-5944 - Y-Coordinate,STARLINK-5562 - Y-Coordinate,STARLINK-3573 - Y-Coordinate,STARLINK-31800 - Y-Coordinate,STARLINK-1289 - Y-Coordinate,STARLINK-3566 - Y-Coordinate,STARLINK-31625 - Y-Coordinate,STARLINK-5677 - Y-Coordinate,STARLINK-5929 - Y-Coordinate,STARLINK-1444 - Y-Coordinate,STARLINK-30413 - Y-Coordinate,STARLINK-31329 - Y-Coordinate,STARLINK-6286 - Y-Coordinate,STARLINK-30604 - Y-Coordinate,STARLINK-3784 - Y-Coordinate,STARLINK-30273 - Y-Coordinate,STARLINK-31364 - Y-Coordinate,STARLINK-5581 - Y-Coordinate,STARLINK-31410 - Y-Coordinate,STARLINK-6232 - Y-Coordinate,STARLINK-2450 - Y-Coordinate,STARLINK-30459 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5479 - Z-Coordinate,STARLINK-30811 - Z-Coordinate,STARLINK-31966 - Z-Coordinate,STARLINK-5771 - Z-Coordinate,STARLINK-4136 - Z-Coordinate,STARLINK-5387 - Z-Coordinate,STARLINK-31553 - Z-Coordinate,STARLINK-5870 - Z-Coordinate,STARLINK-2221 - Z-Coordinate,STARLINK-5107 - Z-Coordinate,STARLINK-30507 - Z-Coordinate,STARLINK-5239 - Z-Coordinate,STARLINK-30329 - Z-Coordinate,STARLINK-6230 - Z-Coordinate,STARLINK-4581 - Z-Coordinate,STARLINK-4078 - Z-Coordinate,STARLINK-5790 - Z-Coordinate,STARLINK-5365 - Z-Coordinate,STARLINK-31457 - Z-Coordinate,STARLINK-2348 - Z-Coordinate,STARLINK-1208 - Z-Coordinate,STARLINK-3878 - Z-Coordinate,STARLINK-5245 - Z-Coordinate,STARLINK-6072 - Z-Coordinate,STARLINK-30287 - Z-Coordinate,STARLINK-2403 - Z-Coordinate,STARLINK-31024 - Z-Coordinate,STARLINK-3768 - Z-Coordinate,STARLINK-6113 - Z-Coordinate,STARLINK-11160 [DTC] - Z-Coordinate,STARLINK-6081 - Z-Coordinate,STARLINK-3296 - Z-Coordinate,STARLINK-3959 - Z-Coordinate,STARLINK-1769 - Z-Coordinate,STARLINK-1318 - Z-Coordinate,STARLINK-3713 - Z-Coordinate,STARLINK-5410 - Z-Coordinate,STARLINK-2487 - Z-Coordinate,STARLINK-3147 - Z-Coordinate,STARLINK-3964 - Z-Coordinate,STARLINK-30121 - Z-Coordinate,STARLINK-2025 - Z-Coordinate,STARLINK-4277 - Z-Coordinate,STARLINK-31801 - Z-Coordinate,STARLINK-31713 - Z-Coordinate,STARLINK-2282 - Z-Coordinate,STARLINK-5442 - Z-Coordinate,STARLINK-4506 - Z-Coordinate,STARLINK-31815 - Z-Coordinate,STARLINK-30867 - Z-Coordinate,STARLINK-1139 - Z-Coordinate,STARLINK-1304 - Z-Coordinate,STARLINK-1961 - Z-Coordinate,STARLINK-4352 - Z-Coordinate,STARLINK-6073 - Z-Coordinate,STARLINK-31855 - Z-Coordinate,STARLINK-4609 - Z-Coordinate,STARLINK-30376 - Z-Coordinate,STARLINK-3502 - Z-Coordinate,STARLINK-4344 - Z-Coordinate,STARLINK-3355 - Z-Coordinate,STARLINK-32263 - Z-Coordinate,STARLINK-31921 - Z-Coordinate,STARLINK-11270 [DTC] - Z-Coordinate,STARLINK-1972 - Z-Coordinate,STARLINK-5884 - Z-Coordinate,STARLINK-5569 - Z-Coordinate,STARLINK-30476 - Z-Coordinate,STARLINK-31132 - Z-Coordinate,STARLINK-31247 - Z-Coordinate,STARLINK-1801 - Z-Coordinate,STARLINK-6069 - Z-Coordinate,STARLINK-3456 - Z-Coordinate,STARLINK-6255 - Z-Coordinate,STARLINK-4659 - Z-Coordinate,STARLINK-6148 - Z-Coordinate,STARLINK-31715 - Z-Coordinate,STARLINK-6172 - Z-Coordinate,STARLINK-5944 - Z-Coordinate,STARLINK-5562 - Z-Coordinate,STARLINK-3573 - Z-Coordinate,STARLINK-31800 - Z-Coordinate,STARLINK-1289 - Z-Coordinate,STARLINK-3566 - Z-Coordinate,STARLINK-31625 - Z-Coordinate,STARLINK-5677 - Z-Coordinate,STARLINK-5929 - Z-Coordinate,STARLINK-1444 - Z-Coordinate,STARLINK-30413 - Z-Coordinate,STARLINK-31329 - Z-Coordinate,STARLINK-6286 - Z-Coordinate,STARLINK-30604 - Z-Coordinate,STARLINK-3784 - Z-Coordinate,STARLINK-30273 - Z-Coordinate,STARLINK-31364 - Z-Coordinate,STARLINK-5581 - Z-Coordinate,STARLINK-31410 - Z-Coordinate,STARLINK-6232 - Z-Coordinate,STARLINK-2450 - Z-Coordinate,STARLINK-30459 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4134.7429,6620.0955,-5947.4507,4883.3763,-3001.8520,1021.0029,0.0000,-5292.3990,2686.1638,2366.0308,-3941.2046,5838.5639,3898.1796,1981.9975,-520.8548,3985.4173,4042.9740,-4845.4257,3525.4915,4277.8576,-1148.7076,3986.6057,-6750.9206,1330.4114,-5881.0652,2712.7764,4518.9201,4229.2480,732.1864,0.0000,5038.4056,-2820.9118,5464.9971,4474.9857,5931.0486,4747.5473,-4285.6215,3117.4263,5070.8950,4171.6558,2062.9667,4017.3147,-5284.2249,4366.2121,4269.4500,0.0000,6030.4656,2984.9749,-206.3000,5694.6055,0.0000,4549.6363,1144.3636,5518.0334,-6024.0961,-1825.8720,3547.4323,-3765.2450,-5042.9382,-2345.3082,-3566.6460,-3973.3428,4702.3834,4529.0292,4006.4443,3663.6719,-5415.9881,4093.0476,-3352.7761,4569.9627,5506.9121,-2365.2570,2525.3446,-453.3129,4433.5866,-4911.2307,3439.1331,-3697.6137,4697.7202,-3431.0239,948.5855,120.6370,0.0000,-4380.6792,4448.6732,-997.9803,5691.9984,0.0000,-5603.9340,6590.9517,5506.9569,1654.8296,5131.6424,-4409.9324,3218.8754,3135.5918,4964.4422,-6104.9565,4707.5603,-5547.4545,55899.4548,57753.3045,67444.7950,63117.0992,56636.4718,59499.7543,66007.3006,65007.4103,-90034138.3342,-90054388.6367,-90058852.0973,-90051119.8451,64236.0283,-90050370.0593,-3089.8923,-1763.7825,3028.2633,1399.2011,-4271.0263,5122.7462,0.0000,1633.7914,-3417.0477,-4761.9942,3183.4096,-3659.2476,-5266.1337,5021.6867,4627.4540,-1252.1543,-4377.3634,2151.5865,5421.7613,1258.9739,-4414.3168,5553.1997,-1060.5744,2110.7039,-1224.3351,-3754.0079,2005.1493,6.3779,-5018.1619,0.0000,-4458.5991,-3755.8848,-1791.8137,-2629.6914,-3404.5986,-4959.8520,-5350.2221,-4659.6514,-1570.6768,-1244.4495,-6039.2461,5275.7365,4126.3362,-2469.8773,-3758.4137,0.0000,-3128.0876,-5710.2283,5266.5036,-1170.7675,0.0000,763.2101,4391.6396,2285.0653,3127.1611,-6550.4051,-5920.5407,-3505.6182,-38.2251,-265.8161,-4611.9069,1139.3426,-2057.4707,-1601.8951,186.1741,-624.9361,1684.5304,3563.3775,-2468.4633,2557.1391,2174.6585,6384.6993,5255.8629,6787.7322,-2432.2170,3983.5162,5842.2140,3977.0036,-3882.2892,-2929.4954,-4586.7706,-4980.1655,0.0000,5006.9200,-4723.8892,6706.3933,3743.6131,0.0000,3384.1312,-1878.5247,-4173.7144,-5698.6276,-3982.0007,-673.7159,4400.4859,5998.5596,1968.7005,-709.5223,1271.8614,1408.1119,380776.4071,354851.0810,378332.8698,378565.0564,372923.0276,372672.4266,370401.1877,373841.9505,342119717.3560,342129454.2766,342096909.9378,342110858.9150,373663.2453,342121363.0411,4640.8518,248.7914,1362.8397,-4717.7216,-4506.5481,4545.7716,0.0000,4157.6997,-5370.8088,-4421.5467,-4686.7866,-665.0806,-2343.2636,-4340.0911,-5090.3436,-5489.6154,-3549.0143,-4430.9309,2146.1166,5244.3699,-5048.3264,285.8446,-954.8296,-6488.2325,3425.9843,4759.3990,-4861.1117,-5450.6749,-4711.4147,0.0000,1715.4134,-5072.3049,-3737.9433,-4138.3716,-412.1980,-544.5621,339.9533,3893.2215,4417.2433,-5368.2506,2657.2631,-1878.6302,1580.6812,-4664.8170,-3702.2477,0.0000,1174.0256,-2514.0309,4349.8350,3766.9261,0.0000,-5052.3886,-5198.3770,3511.0869,1466.4207,-186.1690,374.8989,-4634.7500,-4652.3203,-6528.2222,-3706.2452,-5416.8069,-4496.0090,4491.7957,-5320.9597,5856.1363,-3972.0610,4236.8003,5430.4907,-4338.4394,3505.7302,1511.4604,3654.4657,1305.0047,-4712.3715,-2773.4218,837.1394,-4294.0966,-3290.2584,-5278.3204,5042.6906,4637.5179,0.0000,-1915.1107,-2022.7254,-1227.7642,-1342.3769,0.0000,-2229.3230,42.6562,-168.4675,-3582.6824,2187.0860,-5184.3466,4077.3035,-1638.9820,4202.3139,3201.1045,-4867.6183,-3752.2992,143576.9445,141355.4533,146337.2136,144408.5676,149577.0984,142528.8330,135246.1107,142325.0289,67101635.3666,67067422.5473,67087982.5105,67085610.8980,143964.9781,67089338.8876,
300.000,4462.6689,5905.8716,-4672.3062,5171.7077,-4719.2397,3057.9187,0.0000,-5004.5864,1285.1716,657.5958,-2330.2486,5056.5663,2141.5672,3571.2705,1481.2669,2928.0776,2965.4111,-3405.9908,4450.5421,5255.3535,-2786.9626,4716.8333,-6359.5747,3360.9965,-5378.5714,562.1408,4268.8179,4425.9704,-1390.3586,0.0000,4050.1077,-3740.9043,5552.5486,4195.5525,5117.2620,3737.8112,-5061.6681,1187.3450,5213.9317,2891.6424,592.9747,5099.9164,-4583.0937,3174.4018,2407.6111,0.0000,4892.3841,1983.0970,1798.1951,4474.9502,0.0000,5392.2515,3139.2528,6062.0137,-5822.1409,-3194.3439,2395.3980,-5212.0665,-5698.7711,-4009.3179,-5056.9944,-2948.8912,3328.9988,4539.7369,3992.4949,1835.4437,-4054.6932,4814.9513,-4231.3447,4371.6477,6523.0516,-1814.7421,3372.4451,1113.6295,3212.8542,-4059.0694,4203.0936,-2434.9772,3836.8237,-1645.2648,-756.4258,-2030.8827,0.0000,-2894.9442,2760.8364,513.9883,6083.1916,0.0000,-4906.8883,5859.3445,4306.6269,43.1713,3636.0974,-3848.2864,4318.3282,4198.2046,4987.7268,-5435.4746,4160.8093,-5407.6827,47890.3324,50199.2691,59646.3082,55351.0060,48696.0917,51708.1382,58042.8840,57176.6332,-97481884.7823,-97502282.0401,-97505927.2066,-97498289.0035,56328.0689,-97498108.6755,-4447.2946,-2822.1367,4117.8468,-729.6347,-3856.9950,4844.7282,0.0000,3552.1944,-4928.6005,-5834.0660,4616.7601,-4583.2090,-5593.6497,3613.3257,3876.7463,-3154.9668,-5811.0027,3735.2047,3888.8486,-511.2501,-3004.3548,4500.8674,232.8631,1470.8021,690.5602,-3994.6394,-68.3611,-2083.5906,-5184.3047,0.0000,-5637.6535,-1833.7096,-3361.9752,-4346.2295,-4330.7664,-5640.9522,-4397.5352,-4561.8454,-3304.7040,-2999.1136,-6774.3436,4632.2498,5140.0738,-4251.6604,-4136.7365,0.0000,-3919.8766,-6578.2437,5551.5105,-2799.1423,0.0000,-1012.4505,4368.9550,3044.3667,3732.6828,-5847.6829,-6325.0965,-2000.6483,1660.9011,-1425.5181,-4172.3571,3076.6410,-3736.1067,-3474.2467,-2000.1010,-1713.8833,3240.7449,1568.0479,-463.1368,537.8212,1043.0170,6709.9095,3596.9249,6278.7430,-4193.1289,5409.2455,4728.9265,5497.7711,-5399.5973,-2081.4872,-5519.3092,-4849.1290,0.0000,5230.2464,-5267.8275,6862.4907,3249.4606,0.0000,4811.2156,-3230.0256,-5138.7545,-6503.3870,-4462.6653,1422.6731,2589.0449,4690.8785,-172.8020,1108.4303,-760.1319,3263.9197,381661.3782,355991.6362,379498.1551,379672.0105,374148.1046,373949.6354,371660.5114,374638.9546,340072469.1856,340082507.6619,340049566.6328,340063656.1190,374920.4508,340074192.0002,2921.3892,2031.0720,2754.9488,-4558.9447,-3225.3313,3890.8232,0.0000,3212.1380,-4667.7161,-3653.9755,-4570.3285,1149.4433,-3542.9861,-4709.0605,-5511.0654,-5390.4348,-2352.2024,-4710.7435,3387.8803,4419.4530,-5431.2750,2068.3145,-2670.1389,-5903.5608,4289.3009,5274.2606,-5462.9164,-4864.1985,-4370.8692,0.0000,203.9755,-5516.7266,-2213.9608,-2750.1407,1401.6327,1272.1414,-1473.6366,4933.9054,3100.9997,-5514.4570,1253.2944,-92.2947,-225.3213,-4333.2894,-4812.2452,0.0000,2863.6995,-781.5297,3558.0184,4484.6004,0.0000,-4086.3067,-4320.6454,1420.4014,-655.8688,1360.9566,-1433.8000,-4096.0148,-3439.9416,-5483.9669,-2174.9598,-5316.4481,-4638.8467,3257.6993,-4945.3591,6464.4844,-4583.6175,4663.5520,5357.5425,-5181.5183,1934.5941,-605.3362,4798.1459,2700.8158,-4457.9210,-1388.9258,2569.8111,-3430.4433,-2019.7333,-6417.7253,4044.2585,4323.4240,0.0000,-3493.2556,-3292.0184,315.2341,783.2134,0.0000,-763.9250,-1492.3932,-1685.4186,-2396.7778,3715.9528,-5472.5737,4581.4388,-2983.1235,4611.2994,4150.6039,-5439.2044,-2632.4609,143594.0362,141380.4019,146412.4220,144285.4481,149648.3211,142862.6202,135234.2040,142419.2264,67107832.2033,67073949.0171,67093874.8989,67091361.1969,144011.7993,67095535.9530,
600.000,4367.8298,4582.2439,-2912.4738,5002.8185,-5952.9743,4790.8017,0.0000,-4259.9471,-197.5376,-1086.2486,-522.2931,3764.6263,163.2810,4849.5275,3364.2789,1632.8163,1623.3314,-1663.7866,4953.4517,5739.3894,-4180.6621,4981.4653,-5339.8040,5067.9848,-4383.6248,-1653.9589,3657.5398,4232.9791,-3367.5261,0.0000,2672.7901,-4348.9043,5091.2721,3473.7403,3770.2191,2339.8810,-5335.1552,-888.1569,4865.3339,1373.5676,-922.8745,5668.2439,-3418.4126,1702.5911,282.0205,0.0000,3251.9268,792.2683,3602.5725,2845.3097,0.0000,5714.0825,4805.7752,5934.3552,-5022.9437,-4247.0123,990.5623,-6173.0063,-5800.1616,-5201.2177,-6031.6212,-1673.8142,1651.2339,4058.4286,3593.7473,-141.2217,-2323.8269,5105.9235,-4731.9839,3772.7647,6881.9906,-1074.3499,3934.1540,2597.2956,1716.7844,-2820.4830,4559.4081,-967.6397,2621.4266,270.0375,-2350.1327,-3970.4560,0.0000,-1099.6485,774.5500,1978.2387,5858.6685,0.0000,-3735.7925,4535.5788,2675.9673,-1551.4272,1752.5979,-2951.2378,5018.9042,4887.1175,4542.8824,-4265.8454,3252.8954,-4744.0824,39872.0577,42623.1511,51822.7275,47570.5526,40732.9753,43906.6161,50053.9460,49280.3991,-104883166.0513,-104903724.5340,-104906535.9138,-104898996.0534,48395.6858,-104899385.9227,-5329.4541,-3614.5246,4812.2779,-2778.4348,-3091.2141,4133.2359,0.0000,5114.8594,-5975.0232,-6357.4514,5628.5715,-5062.5054,-5415.4656,1883.5444,2794.3286,-4769.9218,-6680.4099,4988.3406,1951.9578,-2194.1281,-1324.2112,2972.1375,1532.1297,758.1720,2564.3603,-3850.5692,-2153.4933,-3949.2169,-4887.5302,0.0000,-6271.7633,250.9454,-4571.1408,-5559.9599,-4826.5711,-5762.3757,-2986.2115,-4044.7080,-4688.3725,-4494.3177,-6848.6395,3522.9675,5637.6944,-5624.2293,-4135.0637,0.0000,-4348.5639,-6789.0633,5304.6778,-4192.0673,0.0000,-2650.7736,3956.2212,3488.7043,3965.4706,-4539.2738,-6107.3644,-335.2670,3161.4132,-2497.1836,-3338.2961,4720.9682,-5066.0095,-4924.7957,-3957.2016,-2704.9987,4519.6810,-574.9495,1563.0164,-1559.3356,-171.8363,6363.1191,1578.5797,5167.0081,-5564.6450,6298.2095,3114.3383,6491.7519,-6386.2772,-933.3959,-5925.7679,-4264.1674,0.0000,4967.7267,-5298.8019,6339.7251,2414.5354,0.0000,5763.2880,-4271.2467,-5614.6941,-6686.4759,-4526.5185,3394.0823,527.0199,2928.8692,-2304.0743,2848.7651,-2741.9464,4776.5990,382375.8031,356972.3798,380494.3664,380602.0445,375204.5020,375068.1969,372750.1464,375291.2094,337863109.2526,337873444.0988,337840134.6976,337854389.6357,376010.3328,337864909.5017,890.9306,3588.3051,3836.1480,-3913.1547,-1593.5824,2818.6119,0.0000,1922.0942,-3460.9259,-2492.7440,-3959.1067,2840.2020,-4368.0426,-4573.8704,-5335.2623,-4707.4862,-903.8587,-4482.4365,4247.9061,3112.7173,-5201.7203,3620.2872,-4095.8305,-4694.2847,4690.5906,5150.9283,-5482.0133,-3750.6734,-3561.1575,0.0000,-1329.2172,-5367.6362,-445.2662,-1027.7836,3059.8028,2949.7819,-3124.7785,5422.5221,1449.4715,-5066.9234,-285.9561,1704.0791,-2006.7687,-3522.0190,-5374.9970,0.0000,4241.5478,1035.2960,2369.2215,4721.8247,0.0000,-2665.9108,-2974.7366,-822.5511,-2708.3839,2753.7322,-3087.7224,-3117.9009,-1848.0752,-3856.8113,-408.3178,-4618.8534,-4262.2483,1615.7845,-3976.9894,6384.9984,-4703.8715,4581.7171,4690.3230,-5439.0901,151.8568,-2658.5667,5417.6972,3806.6359,-3722.9810,146.1439,4014.7931,-2198.3031,-532.2674,-6876.9461,2604.4282,3521.4821,0.0000,-4696.3935,-4187.9890,1823.8025,2825.1748,0.0000,783.9264,-2862.1889,-3020.4035,-954.1555,4833.3826,-5153.0862,4568.9522,-4011.8666,4497.4964,4655.6511,-5419.7772,-1219.7659,143611.1957,141405.4156,146482.9813,144161.2092,149716.5816,143200.7340,135226.7094,142627.9861,67114023.3592,67080481.7722,67099767.5353,67097122.4135,144058.5419,67101732.8976,
