sl_100_5400_20300403 Coordinates.csv
2030/04/03 07:47:00.0000 UTC

Generated: Tue Oct  8 21:50:15 2024,
Start: 2030/04/03 07:47:00.00, Stop: 2030/04/03 09:17:00.00,
TIME_UNITS,STARLINK-6082 - X-Coordinate,STARLINK-6098 - X-Coordinate,STARLINK-31225 - X-Coordinate,STARLINK-3829 - X-Coordinate,STARLINK-4761 - X-Coordinate,STARLINK-31942 - X-Coordinate,STARLINK-4748 - X-Coordinate,STARLINK-3703 - X-Coordinate,STARLINK-4525 - X-Coordinate,STARLINK-2383 - X-Coordinate,STARLINK-1977 - X-Coordinate,STARLINK-31636 - X-Coordinate,STARLINK-2466 - X-Coordinate,STARLINK-5528 - X-Coordinate,STARLINK-4589 - X-Coordinate,STARLINK-4185 - X-Coordinate,STARLINK-30873 - X-Coordinate,STARLINK-2178 - X-Coordinate,STARLINK-5401 - X-Coordinate,STARLINK-3714 - X-Coordinate,STARLINK-5317 - X-Coordinate,STARLINK-3181 - X-Coordinate,STARLINK-1669 - X-Coordinate,STARLINK-4609 - X-Coordinate,STARLINK-2427 - X-Coordinate,STARLINK-6036 - X-Coordinate,STARLINK-4706 - X-Coordinate,STARLINK-11158 [DTC] - X-Coordinate,STARLINK-4623 - X-Coordinate,STARLINK-5090 - X-Coordinate,STARLINK-5857 - X-Coordinate,STARLINK-5121 - X-Coordinate,STARLINK-32044 - X-Coordinate,STARLINK-5374 - X-Coordinate,STARLINK-4284 - X-Coordinate,STARLINK-3948 - X-Coordinate,STARLINK-31665 - X-Coordinate,STARLINK-30842 - X-Coordinate,STARLINK-31438 - X-Coordinate,STARLINK-30604 - X-Coordinate,STARLINK-3736 - X-Coordinate,STARLINK-5527 - X-Coordinate,STARLINK-6209 - X-Coordinate,STARLINK-11270 [DTC] - X-Coordinate,STARLINK-4523 - X-Coordinate,STARLINK-30786 - X-Coordinate,STARLINK-31461 - X-Coordinate,STARLINK-3375 - X-Coordinate,STARLINK-5905 - X-Coordinate,STARLINK-6332 - X-Coordinate,STARLINK-31765 - X-Coordinate,STARLINK-3239 - X-Coordinate,STARLINK-11228 [DTC] - X-Coordinate,STARLINK-30900 - X-Coordinate,STARLINK-11117 [DTC] - X-Coordinate,STARLINK-2093 - X-Coordinate,STARLINK-5608 - X-Coordinate,STARLINK-30265 - X-Coordinate,STARLINK-5171 - X-Coordinate,STARLINK-30437 - X-Coordinate,STARLINK-30335 - X-Coordinate,STARLINK-4619 - X-Coordinate,STARLINK-3740 - X-Coordinate,STARLINK-30846 - X-Coordinate,STARLINK-4573 - X-Coordinate,STARLINK-1588 - X-Coordinate,STARLINK-31338 - X-Coordinate,STARLINK-31753 - X-Coordinate,STARLINK-5174 - X-Coordinate,STARLINK-30956 - X-Coordinate,STARLINK-4361 - X-Coordinate,STARLINK-4544 - X-Coordinate,STARLINK-11271 [DTC] - X-Coordinate,STARLINK-4391 - X-Coordinate,STARLINK-1076 - X-Coordinate,STARLINK-4476 - X-Coordinate,STARLINK-6139 - X-Coordinate,STARLINK-4587 - X-Coordinate,STARLINK-32247 - X-Coordinate,STARLINK-6379 - X-Coordinate,STARLINK-6177 - X-Coordinate,STARLINK-1958 - X-Coordinate,STARLINK-5582 - X-Coordinate,STARLINK-31080 - X-Coordinate,STARLINK-4006 - X-Coordinate,STARLINK-3711 - X-Coordinate,STARLINK-31162 - X-Coordinate,STARLINK-31392 - X-Coordinate,STARLINK-5158 - X-Coordinate,STARLINK-5411 - X-Coordinate,STARLINK-4077 - X-Coordinate,STARLINK-4545 - X-Coordinate,STARLINK-3704 - X-Coordinate,STARLINK-5802 - X-Coordinate,STARLINK-5769 - X-Coordinate,STARLINK-5721 - X-Coordinate,STARLINK-31364 - X-Coordinate,STARLINK-3143 - X-Coordinate,STARLINK-4721 - X-Coordinate,STARLINK-1687 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6082 - Y-Coordinate,STARLINK-6098 - Y-Coordinate,STARLINK-31225 - Y-Coordinate,STARLINK-3829 - Y-Coordinate,STARLINK-4761 - Y-Coordinate,STARLINK-31942 - Y-Coordinate,STARLINK-4748 - Y-Coordinate,STARLINK-3703 - Y-Coordinate,STARLINK-4525 - Y-Coordinate,STARLINK-2383 - Y-Coordinate,STARLINK-1977 - Y-Coordinate,STARLINK-31636 - Y-Coordinate,STARLINK-2466 - Y-Coordinate,STARLINK-5528 - Y-Coordinate,STARLINK-4589 - Y-Coordinate,STARLINK-4185 - Y-Coordinate,STARLINK-30873 - Y-Coordinate,STARLINK-2178 - Y-Coordinate,STARLINK-5401 - Y-Coordinate,STARLINK-3714 - Y-Coordinate,STARLINK-5317 - Y-Coordinate,STARLINK-3181 - Y-Coordinate,STARLINK-1669 - Y-Coordinate,STARLINK-4609 - Y-Coordinate,STARLINK-2427 - Y-Coordinate,STARLINK-6036 - Y-Coordinate,STARLINK-4706 - Y-Coordinate,STARLINK-11158 [DTC] - Y-Coordinate,STARLINK-4623 - Y-Coordinate,STARLINK-5090 - Y-Coordinate,STARLINK-5857 - Y-Coordinate,STARLINK-5121 - Y-Coordinate,STARLINK-32044 - Y-Coordinate,STARLINK-5374 - Y-Coordinate,STARLINK-4284 - Y-Coordinate,STARLINK-3948 - Y-Coordinate,STARLINK-31665 - Y-Coordinate,STARLINK-30842 - Y-Coordinate,STARLINK-31438 - Y-Coordinate,STARLINK-30604 - Y-Coordinate,STARLINK-3736 - Y-Coordinate,STARLINK-5527 - Y-Coordinate,STARLINK-6209 - Y-Coordinate,STARLINK-11270 [DTC] - Y-Coordinate,STARLINK-4523 - Y-Coordinate,STARLINK-30786 - Y-Coordinate,STARLINK-31461 - Y-Coordinate,STARLINK-3375 - Y-Coordinate,STARLINK-5905 - Y-Coordinate,STARLINK-6332 - Y-Coordinate,STARLINK-31765 - Y-Coordinate,STARLINK-3239 - Y-Coordinate,STARLINK-11228 [DTC] - Y-Coordinate,STARLINK-30900 - Y-Coordinate,STARLINK-11117 [DTC] - Y-Coordinate,STARLINK-2093 - Y-Coordinate,STARLINK-5608 - Y-Coordinate,STARLINK-30265 - Y-Coordinate,STARLINK-5171 - Y-Coordinate,STARLINK-30437 - Y-Coordinate,STARLINK-30335 - Y-Coordinate,STARLINK-4619 - Y-Coordinate,STARLINK-3740 - Y-Coordinate,STARLINK-30846 - Y-Coordinate,STARLINK-4573 - Y-Coordinate,STARLINK-1588 - Y-Coordinate,STARLINK-31338 - Y-Coordinate,STARLINK-31753 - Y-Coordinate,STARLINK-5174 - Y-Coordinate,STARLINK-30956 - Y-Coordinate,STARLINK-4361 - Y-Coordinate,STARLINK-4544 - Y-Coordinate,STARLINK-11271 [DTC] - Y-Coordinate,STARLINK-4391 - Y-Coordinate,STARLINK-1076 - Y-Coordinate,STARLINK-4476 - Y-Coordinate,STARLINK-6139 - Y-Coordinate,STARLINK-4587 - Y-Coordinate,STARLINK-32247 - Y-Coordinate,STARLINK-6379 - Y-Coordinate,STARLINK-6177 - Y-Coordinate,STARLINK-1958 - Y-Coordinate,STARLINK-5582 - Y-Coordinate,STARLINK-31080 - Y-Coordinate,STARLINK-4006 - Y-Coordinate,STARLINK-3711 - Y-Coordinate,STARLINK-31162 - Y-Coordinate,STARLINK-31392 - Y-Coordinate,STARLINK-5158 - Y-Coordinate,STARLINK-5411 - Y-Coordinate,STARLINK-4077 - Y-Coordinate,STARLINK-4545 - Y-Coordinate,STARLINK-3704 - Y-Coordinate,STARLINK-5802 - Y-Coordinate,STARLINK-5769 - Y-Coordinate,STARLINK-5721 - Y-Coordinate,STARLINK-31364 - Y-Coordinate,STARLINK-3143 - Y-Coordinate,STARLINK-4721 - Y-Coordinate,STARLINK-1687 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6082 - Z-Coordinate,STARLINK-6098 - Z-Coordinate,STARLINK-31225 - Z-Coordinate,STARLINK-3829 - Z-Coordinate,STARLINK-4761 - Z-Coordinate,STARLINK-31942 - Z-Coordinate,STARLINK-4748 - Z-Coordinate,STARLINK-3703 - Z-Coordinate,STARLINK-4525 - Z-Coordinate,STARLINK-2383 - Z-Coordinate,STARLINK-1977 - Z-Coordinate,STARLINK-31636 - Z-Coordinate,STARLINK-2466 - Z-Coordinate,STARLINK-5528 - Z-Coordinate,STARLINK-4589 - Z-Coordinate,STARLINK-4185 - Z-Coordinate,STARLINK-30873 - Z-Coordinate,STARLINK-2178 - Z-Coordinate,STARLINK-5401 - Z-Coordinate,STARLINK-3714 - Z-Coordinate,STARLINK-5317 - Z-Coordinate,STARLINK-3181 - Z-Coordinate,STARLINK-1669 - Z-Coordinate,STARLINK-4609 - Z-Coordinate,STARLINK-2427 - Z-Coordinate,STARLINK-6036 - Z-Coordinate,STARLINK-4706 - Z-Coordinate,STARLINK-11158 [DTC] - Z-Coordinate,STARLINK-4623 - Z-Coordinate,STARLINK-5090 - Z-Coordinate,STARLINK-5857 - Z-Coordinate,STARLINK-5121 - Z-Coordinate,STARLINK-32044 - Z-Coordinate,STARLINK-5374 - Z-Coordinate,STARLINK-4284 - Z-Coordinate,STARLINK-3948 - Z-Coordinate,STARLINK-31665 - Z-Coordinate,STARLINK-30842 - Z-Coordinate,STARLINK-31438 - Z-Coordinate,STARLINK-30604 - Z-Coordinate,STARLINK-3736 - Z-Coordinate,STARLINK-5527 - Z-Coordinate,STARLINK-6209 - Z-Coordinate,STARLINK-11270 [DTC] - Z-Coordinate,STARLINK-4523 - Z-Coordinate,STARLINK-30786 - Z-Coordinate,STARLINK-31461 - Z-Coordinate,STARLINK-3375 - Z-Coordinate,STARLINK-5905 - Z-Coordinate,STARLINK-6332 - Z-Coordinate,STARLINK-31765 - Z-Coordinate,STARLINK-3239 - Z-Coordinate,STARLINK-11228 [DTC] - Z-Coordinate,STARLINK-30900 - Z-Coordinate,STARLINK-11117 [DTC] - Z-Coordinate,STARLINK-2093 - Z-Coordinate,STARLINK-5608 - Z-Coordinate,STARLINK-30265 - Z-Coordinate,STARLINK-5171 - Z-Coordinate,STARLINK-30437 - Z-Coordinate,STARLINK-30335 - Z-Coordinate,STARLINK-4619 - Z-Coordinate,STARLINK-3740 - Z-Coordinate,STARLINK-30846 - Z-Coordinate,STARLINK-4573 - Z-Coordinate,STARLINK-1588 - Z-Coordinate,STARLINK-31338 - Z-Coordinate,STARLINK-31753 - Z-Coordinate,STARLINK-5174 - Z-Coordinate,STARLINK-30956 - Z-Coordinate,STARLINK-4361 - Z-Coordinate,STARLINK-4544 - Z-Coordinate,STARLINK-11271 [DTC] - Z-Coordinate,STARLINK-4391 - Z-Coordinate,STARLINK-1076 - Z-Coordinate,STARLINK-4476 - Z-Coordinate,STARLINK-6139 - Z-Coordinate,STARLINK-4587 - Z-Coordinate,STARLINK-32247 - Z-Coordinate,STARLINK-6379 - Z-Coordinate,STARLINK-6177 - Z-Coordinate,STARLINK-1958 - Z-Coordinate,STARLINK-5582 - Z-Coordinate,STARLINK-31080 - Z-Coordinate,STARLINK-4006 - Z-Coordinate,STARLINK-3711 - Z-Coordinate,STARLINK-31162 - Z-Coordinate,STARLINK-31392 - Z-Coordinate,STARLINK-5158 - Z-Coordinate,STARLINK-5411 - Z-Coordinate,STARLINK-4077 - Z-Coordinate,STARLINK-4545 - Z-Coordinate,STARLINK-3704 - Z-Coordinate,STARLINK-5802 - Z-Coordinate,STARLINK-5769 - Z-Coordinate,STARLINK-5721 - Z-Coordinate,STARLINK-31364 - Z-Coordinate,STARLINK-3143 - Z-Coordinate,STARLINK-4721 - Z-Coordinate,STARLINK-1687 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6611.3300,-4398.0759,-1524.3962,6022.0482,-4347.3209,2657.8642,499.0234,-3665.7579,-800.3837,-610.9303,871.2658,-5300.3473,-245.8528,3577.4575,-1233.1501,6734.0884,-6161.6633,4487.5633,6692.6679,4189.7448,-2416.1299,1964.5178,-451.7644,1956.7395,-3245.4192,-5147.0944,-5322.9076,-101.9587,613.0198,-2177.7101,3471.0238,-4475.1948,-6038.1079,-1455.4760,-38.3285,3602.6090,-1332.8730,1019.8944,2273.2670,5723.9752,-6452.9908,-3372.2343,5239.5706,709.4832,4685.9148,0.0000,-4730.9347,4012.0087,1734.0881,-4979.1940,-3334.3548,-6452.7373,-2903.6014,2180.9008,-5963.5134,-3563.7326,-4981.2380,-5597.0420,0.0000,-6076.7256,2260.5418,6784.8185,-2905.7046,4488.0539,5534.5401,-5132.5037,0.0000,-365.2303,5269.3910,-6635.0068,-742.8110,-4551.1344,670.5716,5990.1255,948.4008,4609.3742,-1037.1655,-3077.0975,0.0000,6535.4998,-1405.9229,-6622.3580,-3573.5021,3109.6861,-4058.4356,3006.1371,4963.4822,595.7193,-1929.6934,-5975.9014,-6365.6419,-2427.5539,2744.3733,-2322.6250,6764.0978,-800.7464,-4546.5266,4324.7901,0.0000,5682.6569,-153135.1098,-152445.5562,-152747.5678,-157045.5824,-163801.5606,-160960.3442,-154570.6180,-155367.1701,-84946864.4023,-84959970.4862,-84966109.1651,-84961432.3531,-156175.8951,-84959723.5026,1290.2418,-4569.9774,4851.1127,-2381.3480,-4745.8632,4214.5589,-4240.8627,-1902.8748,6818.3816,5012.1235,5006.7823,2763.5762,-6834.4151,-3626.5643,6515.9760,-1417.0647,1252.2563,-448.0047,666.4324,755.8693,-2179.8892,-3601.4166,4372.6291,5254.5783,4813.3590,4582.6239,-4158.1275,-4629.9617,-6378.0959,5586.8604,495.3215,3084.4906,1724.7340,-5620.9386,6696.2755,5376.6069,-5133.5754,-5253.0249,5210.9643,-62.2069,-700.0325,1716.7008,4531.2508,-6534.3911,-1483.5930,0.0000,1535.4993,783.9708,6038.9382,-1426.4135,5363.8218,-1318.6422,5782.9115,-6173.3570,3005.8308,-2601.6189,-3868.1296,192.1818,0.0000,3146.0066,5782.3112,550.4525,-4462.9523,3997.7384,-899.4117,-3092.5793,0.0000,-5006.0139,-1750.4067,1759.9038,-6158.7749,-787.0193,-6346.0653,-2702.9380,5648.9528,-2973.1558,-6205.7677,-3227.6184,0.0000,1946.8417,-6762.8738,-12.6299,5945.0702,-5874.2835,4009.0696,-3617.3494,4531.7179,-4953.5346,-4913.5737,1193.9616,631.0999,-6404.8004,-3590.1448,6468.8829,-1046.4860,-6500.0366,2596.6460,2172.7483,0.0000,2578.8125,373529.6921,357463.8073,365555.4908,366001.6664,360692.1581,360299.4349,357699.0294,360927.3097,343059901.5748,343023873.4300,343048677.6953,343061042.6780,361043.8648,343071367.7343,1553.2909,2766.0556,-4449.4844,-2368.4695,-2482.4815,4486.9376,-5373.3131,5502.6010,428.5467,4562.6231,-4610.6497,3333.6427,-538.0118,-4706.0418,-1922.1455,-599.6194,-2918.0258,-5155.6776,-1645.7766,-5415.0329,6093.4452,-5424.8335,-5310.0290,4032.0165,3708.8015,715.5011,-1503.7803,-4913.0860,-2663.3502,3377.1213,-6025.1053,-4286.4720,-2765.8175,-3747.4924,-1660.6149,2401.5047,4302.2433,4384.2998,3821.4342,-3908.3890,-1202.2951,5800.0608,202.6219,-445.4352,4658.6450,0.0000,4624.1760,-5272.4816,-2893.7443,-4563.5134,-2538.2419,-2113.8631,1924.7943,-2254.2789,127.9704,-5151.5104,2858.3943,4060.0189,0.0000,239.8484,-2984.8570,1099.6599,4226.6153,3372.6735,-3707.5909,-3214.4472,0.0000,-4590.6889,4087.8256,-1194.6723,3048.1681,5060.5001,1998.1202,2237.2891,-3409.3109,-4145.7881,2874.4594,-5286.8541,0.0000,1284.5299,301.4051,-1947.0536,309.3686,-1962.0539,-3696.0289,-5074.8211,935.9881,-4631.7931,4423.4326,3275.3332,2581.7185,783.5522,5181.3970,757.8079,-1011.5308,-2348.7518,-4363.8147,-4885.8813,0.0000,-2942.1062,80982.7436,79141.6946,80073.0905,78155.7337,83314.1525,76254.2628,68984.2770,76072.0878,61702538.1992,61683206.5647,61683506.5153,61688422.2211,77702.2510,61691558.6137,
300.000,-5665.5371,-5012.7075,431.3603,4692.6716,-4686.3451,4465.7735,-1644.9567,-4398.8063,418.8983,1000.6708,2651.8483,-3691.3839,-1446.0810,1815.3295,-37.0983,5999.1284,-4990.3695,3403.7409,6176.0068,4802.3215,-2368.5096,91.9920,1647.8126,3011.4853,-1373.1904,-4634.7218,-5521.2153,-1976.1935,-15.6337,-665.5556,4916.2460,-4109.6363,-6027.5941,-3292.6590,1217.4190,4824.5744,-3324.1029,-1091.6124,4096.4579,4856.0795,-6544.4180,-1303.5861,5995.0687,-579.3935,3081.5813,0.0000,-3915.1625,4596.3453,3115.4475,-5640.4676,-2051.6615,-6905.7975,-1368.0796,737.0856,-5048.5114,-4052.9516,-6193.6530,-4710.3577,0.0000,-5152.1246,3530.1694,6258.4729,-4590.2041,5879.4936,5863.0601,-6256.4436,0.0000,-2461.0633,3678.5257,-6179.7770,-148.8175,-5413.9634,-721.1217,5190.4819,2227.8930,4297.5213,-2712.3982,-3952.6989,0.0000,6390.1221,-2787.8060,-5805.2318,-2911.1833,1377.3054,-2183.2875,1940.7197,5889.4729,-1573.4484,-3676.8434,-4771.8525,-5281.0902,-3366.6040,638.9670,-734.2372,6420.8468,-2395.3388,-3709.0824,4197.8816,0.0000,5322.4666,-161079.8918,-159949.4635,-160246.0911,-164515.3209,-171438.8921,-168447.0722,-162230.3083,-162944.8497,-92416575.7768,-92428709.2302,-92435190.9736,-92430617.1860,-163779.2410,-92429469.7589,2681.6349,-2807.7962,5574.1040,-3260.3422,-3166.5849,3100.0817,-3826.8585,143.4008,6726.1696,5854.2560,5345.7339,3922.4095,-6580.6710,-4860.4004,6901.6452,-2494.1764,2731.4485,-2321.1131,-943.8314,-1239.2008,1.6808,-4651.0700,3818.6179,3633.4831,4714.0101,4957.2814,-2740.0417,-3566.9761,-6910.0057,6511.5123,-723.3798,4741.7203,3099.7360,-5481.0377,5946.5162,4896.5700,-4850.3373,-4946.2670,4765.7535,-1925.2366,544.8323,2181.9995,3214.1893,-6169.5872,-2843.1923,0.0000,3529.1590,-1267.8285,4754.3941,533.9098,6393.8131,-127.2490,5603.2129,-6838.2070,3916.6181,-474.7898,-2717.3885,2080.0310,0.0000,4026.9221,4356.6218,-719.8495,-4130.3322,2904.9039,-2462.3352,-2140.5281,0.0000,-4417.8660,-2876.3807,3197.7248,-4899.3443,974.9568,-5608.5660,-1865.4228,4280.1187,-4615.6644,-6183.5918,-1251.0648,0.0000,310.6520,-6061.0182,1264.3913,6043.1143,-5968.0038,4276.4761,-5236.9448,3316.0667,-4888.7104,-4925.7125,2731.6842,1857.6105,-5461.6104,-4084.2792,6504.3078,-2517.4592,-6468.7792,4450.0563,66.6811,0.0000,907.0309,370335.1653,353801.4295,362060.7578,362447.1693,357264.1778,356915.3916,354306.6263,357074.3951,341123660.7528,341087722.4423,341112504.0322,341124769.2433,357646.2545,341135201.9934,2910.6356,3852.8477,-3793.8992,-3860.6715,-3950.4458,3926.6644,-5454.6760,5289.1629,-1385.9707,3326.8381,-3385.8577,4220.6456,1278.0895,-4602.1859,-136.0988,-2349.9164,-3961.5968,-5472.3583,-2987.5102,-4779.6769,6488.7853,-4961.3454,-5497.3922,5040.4138,4829.4781,-1410.3650,-3147.4445,-5381.6384,-604.8997,2131.3382,-4887.6869,-2920.7949,-1060.9632,-2619.9421,-3281.6207,656.4644,3474.8706,4710.6168,2729.0546,-4556.5273,650.9412,6440.9933,-1332.0821,-2242.5084,5316.6871,0.0000,4283.3056,-4666.1441,-3943.2445,-3943.1421,-1107.7621,-343.3537,3504.0358,-792.6979,1938.4161,-5418.1276,1491.0879,4617.2816,0.0000,2023.6537,-4002.6159,2798.3736,2850.5309,2125.4492,-2175.6330,-1579.9711,0.0000,-4549.0435,5071.1068,340.9085,4868.0672,4086.9710,3564.6949,4210.0598,-4599.8573,-2736.7206,1509.9752,-5535.8846,0.0000,2682.7596,1808.6288,-3516.2321,-1803.1159,-3244.4758,-4811.9580,-4083.6588,-624.7297,-4468.8581,3111.4816,4196.5296,4027.1814,2517.4589,5492.9234,2223.6316,533.8950,-901.7492,-3590.5376,-5446.9765,0.0000,-4296.3261,81097.3515,79252.1340,80203.3252,78087.1678,83440.2402,76642.6335,69026.8070,76281.3057,61708713.7243,61689302.5802,61689523.9314,61694256.8534,77803.7230,61697854.3706,
600.000,-4167.8099,-5175.0266,2318.1384,2889.3738,-4597.0391,5805.6358,-3634.6228,-4743.8512,1611.5281,2476.0899,4138.2550,-1718.0847,-2513.2655,-94.6507,1161.1812,4662.0673,-3348.9469,2023.7594,5070.0131,4979.6672,-2163.2435,-1754.5289,3601.1315,3821.7189,661.1957,-3634.6759,-5198.4451,-3677.7019,-634.7903,892.4099,5898.9175,-3367.2105,-5408.5634,-4793.7841,2387.7181,5558.8120,-4968.6365,-3109.5683,5498.0477,3550.9153,-5884.9938,886.1268,6177.2767,-1827.9561,1181.1665,0.0000,-2737.2602,4721.0936,4230.1419,-5779.3334,-569.0401,-6671.0313,345.2970,-770.9045,-3563.8776,-4178.0204,-6801.2545,-3399.2705,0.0000,-3688.4751,4489.6626,5110.3116,-5781.6496,6688.8975,5570.4528,-6721.3694,0.0000,-4315.2915,1735.2507,-5132.8386,393.9844,-5756.2353,-2072.9503,3801.4940,3312.2366,3578.7492,-4111.4384,-4495.3297,0.0000,5639.6968,-3914.3492,-4417.7695,-1932.1054,-509.5862,-65.7662,727.8276,6209.0028,-3579.1899,-5035.6143,-3120.1930,-3677.6637,-3994.9340,-1521.8863,945.0213,5449.1014,-3752.5639,-2528.4318,3708.0670,0.0000,4465.3194,-168958.6409,-167375.8992,-167671.4878,-171901.6432,-179000.7324,-175845.0189,-169816.3504,-170489.1514,-99842242.4220,-99853407.6526,-99860233.1270,-99855754.5571,-171308.7107,-99855174.8832,3838.8619,-762.5833,5742.3026,-3856.2489,-1251.6272,1691.2465,-3085.5356,2150.5376,5954.9210,6107.4417,5170.4854,4726.8559,-5653.5631,-5659.5740,6596.0071,-3348.7656,3982.2149,-3993.2697,-2489.0297,-3082.9563,2188.6141,-5260.1204,2941.8291,1663.3412,4190.3306,4837.4895,-1026.5820,-2173.4088,-6735.3047,6796.2569,-1813.4207,5916.7903,4148.2742,-4825.8938,4609.1839,3932.2374,-4108.0690,-4201.7470,3866.4149,-3631.5202,1735.1517,2508.8474,1575.5729,-5095.7116,-3956.3871,0.0000,5168.3466,-3153.5562,3016.5173,2419.2710,6765.5657,1072.9848,4849.8432,-6837.2570,4414.0839,1692.2613,-1316.6182,3793.7631,0.0000,4515.3566,2508.5020,-1948.9877,-3395.9750,1546.1530,-3737.5015,-982.0081,0.0000,-3420.1921,-3769.5983,4333.0865,-3090.0107,2603.4498,-4267.1393,-878.3316,2453.7429,-5777.7094,-5567.1679,827.9247,0.0000,-1378.0941,-4763.8184,2453.7262,5538.0817,-5506.4751,4150.5167,-6347.1174,1751.9208,-4367.7244,-4472.6038,4040.0150,2942.6518,-3961.9102,-4228.1354,5913.8392,-3747.5998,-5821.0292,5850.3679,-2060.1296,0.0000,-889.0561,366969.1554,349991.1101,358404.1936,358722.5043,353674.6506,353379.1162,350751.7554,353102.3806,339024801.6405,338988974.8373,339013734.6619,339025925.3592,354088.5363,339036416.6617,3953.6097,4525.0821,-2700.5670,-4933.6064,-4989.9598,2903.2276,-4936.4441,4498.5706,-3048.6929,1715.4492,-1787.5961,4638.7604,2952.7953,-4007.2692,1664.6888,-3846.1050,-4581.6322,-5184.0291,-4008.5816,-3623.9811,6185.5394,-3937.2997,-5088.2783,5504.2656,5424.2417,-3385.1610,-4452.6952,-5229.1947,1518.1874,652.5106,-3236.6918,-1241.0808,761.1000,-1209.2560,-4546.6758,-1159.7498,2258.9989,4530.4646,1334.1536,-4717.7168,2423.6452,6393.4066,-2724.0693,-3759.9491,5366.4801,0.0000,3455.9820,-3502.1656,-4568.5593,-2895.8097,448.0647,1464.1824,4677.3442,754.1159,3516.7681,-5068.1943,-36.3787,4677.8386,0.0000,3582.4266,-4584.4980,4192.5100,1151.5834,646.8310,-388.5048,233.7489,0.0000,-3993.2058,5503.8880,1840.4776,6162.6837,2661.3932,4706.4524,5734.0922,-5239.5528,-1027.4151,-17.1748,-5190.1682,0.0000,3794.4412,3120.4673,-4704.7026,-3723.6767,-4179.6023,-5383.3025,-2653.4093,-2114.2104,-3801.9952,1460.3829,4666.1951,5035.4052,3977.1610,5203.6853,3449.3773,2021.7338,640.8402,-2413.3456,-5412.9051,0.0000,-5184.9741,81211.3094,79358.9158,80328.9477,78017.4838,83563.3992,77035.3935,69073.7854,76599.8098,61714884.2316,61695398.7817,61695543.3331,61700101.5175,77905.1513,61704150.0200,
