sl_100_86400_20300403 Coordinates.csv
2030/04/03 07:47:00.0000 UTC

Generated: Tue Oct  8 21:52:34 2024,
Start: 2030/04/03 07:47:00.00, Stop: 2030/04/04 07:47:00.00,
TIME_UNITS,STARLINK-30478 - X-Coordinate,STARLINK-1767 - X-Coordinate,STARLINK-30102 - X-Coordinate,STARLINK-3322 - X-Coordinate,STARLINK-5091 - X-Coordinate,STARLINK-4007 - X-Coordinate,STARLINK-31885 - X-Coordinate,STARLINK-30287 - X-Coordinate,STARLINK-2236 - X-Coordinate,STARLINK-30476 - X-Coordinate,STARLINK-1572 - X-Coordinate,STARLINK-11089 [DTC] - X-Coordinate,STARLINK-4643 - X-Coordinate,STARLINK-31383 - X-Coordinate,STARLINK-2659 - X-Coordinate,STARLINK-1011 - X-Coordinate,STARLINK-4745 - X-Coordinate,STARLINK-31250 - X-Coordinate,STARLINK-31110 - X-Coordinate,STARLINK-5472 - X-Coordinate,STARLINK-5648 - X-Coordinate,STARLINK-5725 - X-Coordinate,STARLINK-2530 - X-Coordinate,STARLINK-1771 - X-Coordinate,STARLINK-3365 - X-Coordinate,STARLINK-30958 - X-Coordinate,STARLINK-30786 - X-Coordinate,STARLINK-32008 - X-Coordinate,STARLINK-5741 - X-Coordinate,STARLINK-5857 - X-Coordinate,STARLINK-4182 - X-Coordinate,STARLINK-5808 - X-Coordinate,STARLINK-31933 - X-Coordinate,STARLINK-6224 - X-Coordinate,STARLINK-30257 - X-Coordinate,STARLINK-31800 - X-Coordinate,STARLINK-5033 - X-Coordinate,STARLINK-5085 - X-Coordinate,STARLINK-5053 - X-Coordinate,STARLINK-30219 - X-Coordinate,STARLINK-6029 - X-Coordinate,STARLINK-30108 - X-Coordinate,STARLINK-3611 - X-Coordinate,STARLINK-6339 - X-Coordinate,STARLINK-3790 - X-Coordinate,STARLINK-6229 - X-Coordinate,STARLINK-3852 - X-Coordinate,STARLINK-11265 [DTC] - X-Coordinate,STARLINK-31551 - X-Coordinate,STARLINK-1231 - X-Coordinate,STARLINK-30504 - X-Coordinate,STARLINK-31348 - X-Coordinate,STARLINK-1750 - X-Coordinate,STARLINK-2684 - X-Coordinate,STARLINK-3614 - X-Coordinate,STARLINK-5580 - X-Coordinate,STARLINK-5713 - X-Coordinate,STARLINK-5991 - X-Coordinate,STARLINK-31603 - X-Coordinate,STARLINK-4268 - X-Coordinate,STARLINK-4740 - X-Coordinate,STARLINK-4136 - X-Coordinate,STARLINK-1337 - X-Coordinate,STARLINK-3110 - X-Coordinate,STARLINK-11200 [DTC] - X-Coordinate,STARLINK-30785 - X-Coordinate,STARLINK-31425 - X-Coordinate,STARLINK-31491 - X-Coordinate,STARLINK-5440 - X-Coordinate,STARLINK-30791 - X-Coordinate,STARLINK-30460 - X-Coordinate,STARLINK-6309 - X-Coordinate,STARLINK-3194 - X-Coordinate,STARLINK-31556 - X-Coordinate,STARLINK-1138 - X-Coordinate,STARLINK-30799 - X-Coordinate,STARLINK-31742 - X-Coordinate,STARLINK-4035 - X-Coordinate,STARLINK-31357 - X-Coordinate,STARLINK-2423 - X-Coordinate,STARLINK-2639 - X-Coordinate,STARLINK-6268 - X-Coordinate,STARLINK-30768 - X-Coordinate,STARLINK-6286 - X-Coordinate,STARLINK-3389 - X-Coordinate,STARLINK-2116 - X-Coordinate,STARLINK-31169 - X-Coordinate,STARLINK-30941 - X-Coordinate,STARLINK-31686 - X-Coordinate,STARLINK-4315 - X-Coordinate,STARLINK-5082 - X-Coordinate,STARLINK-3766 - X-Coordinate,STARLINK-30596 - X-Coordinate,STARLINK-32092 - X-Coordinate,STARLINK-31070 - X-Coordinate,STARLINK-31720 - X-Coordinate,STARLINK-30989 - X-Coordinate,STARLINK-1645 - X-Coordinate,STARLINK-5901 - X-Coordinate,STARLINK-3537 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30478 - Y-Coordinate,STARLINK-1767 - Y-Coordinate,STARLINK-30102 - Y-Coordinate,STARLINK-3322 - Y-Coordinate,STARLINK-5091 - Y-Coordinate,STARLINK-4007 - Y-Coordinate,STARLINK-31885 - Y-Coordinate,STARLINK-30287 - Y-Coordinate,STARLINK-2236 - Y-Coordinate,STARLINK-30476 - Y-Coordinate,STARLINK-1572 - Y-Coordinate,STARLINK-11089 [DTC] - Y-Coordinate,STARLINK-4643 - Y-Coordinate,STARLINK-31383 - Y-Coordinate,STARLINK-2659 - Y-Coordinate,STARLINK-1011 - Y-Coordinate,STARLINK-4745 - Y-Coordinate,STARLINK-31250 - Y-Coordinate,STARLINK-31110 - Y-Coordinate,STARLINK-5472 - Y-Coordinate,STARLINK-5648 - Y-Coordinate,STARLINK-5725 - Y-Coordinate,STARLINK-2530 - Y-Coordinate,STARLINK-1771 - Y-Coordinate,STARLINK-3365 - Y-Coordinate,STARLINK-30958 - Y-Coordinate,STARLINK-30786 - Y-Coordinate,STARLINK-32008 - Y-Coordinate,STARLINK-5741 - Y-Coordinate,STARLINK-5857 - Y-Coordinate,STARLINK-4182 - Y-Coordinate,STARLINK-5808 - Y-Coordinate,STARLINK-31933 - Y-Coordinate,STARLINK-6224 - Y-Coordinate,STARLINK-30257 - Y-Coordinate,STARLINK-31800 - Y-Coordinate,STARLINK-5033 - Y-Coordinate,STARLINK-5085 - Y-Coordinate,STARLINK-5053 - Y-Coordinate,STARLINK-30219 - Y-Coordinate,STARLINK-6029 - Y-Coordinate,STARLINK-30108 - Y-Coordinate,STARLINK-3611 - Y-Coordinate,STARLINK-6339 - Y-Coordinate,STARLINK-3790 - Y-Coordinate,STARLINK-6229 - Y-Coordinate,STARLINK-3852 - Y-Coordinate,STARLINK-11265 [DTC] - Y-Coordinate,STARLINK-31551 - Y-Coordinate,STARLINK-1231 - Y-Coordinate,STARLINK-30504 - Y-Coordinate,STARLINK-31348 - Y-Coordinate,STARLINK-1750 - Y-Coordinate,STARLINK-2684 - Y-Coordinate,STARLINK-3614 - Y-Coordinate,STARLINK-5580 - Y-Coordinate,STARLINK-5713 - Y-Coordinate,STARLINK-5991 - Y-Coordinate,STARLINK-31603 - Y-Coordinate,STARLINK-4268 - Y-Coordinate,STARLINK-4740 - Y-Coordinate,STARLINK-4136 - Y-Coordinate,STARLINK-1337 - Y-Coordinate,STARLINK-3110 - Y-Coordinate,STARLINK-11200 [DTC] - Y-Coordinate,STARLINK-30785 - Y-Coordinate,STARLINK-31425 - Y-Coordinate,STARLINK-31491 - Y-Coordinate,STARLINK-5440 - Y-Coordinate,STARLINK-30791 - Y-Coordinate,STARLINK-30460 - Y-Coordinate,STARLINK-6309 - Y-Coordinate,STARLINK-3194 - Y-Coordinate,STARLINK-31556 - Y-Coordinate,STARLINK-1138 - Y-Coordinate,STARLINK-30799 - Y-Coordinate,STARLINK-31742 - Y-Coordinate,STARLINK-4035 - Y-Coordinate,STARLINK-31357 - Y-Coordinate,STARLINK-2423 - Y-Coordinate,STARLINK-2639 - Y-Coordinate,STARLINK-6268 - Y-Coordinate,STARLINK-30768 - Y-Coordinate,STARLINK-6286 - Y-Coordinate,STARLINK-3389 - Y-Coordinate,STARLINK-2116 - Y-Coordinate,STARLINK-31169 - Y-Coordinate,STARLINK-30941 - Y-Coordinate,STARLINK-31686 - Y-Coordinate,STARLINK-4315 - Y-Coordinate,STARLINK-5082 - Y-Coordinate,STARLINK-3766 - Y-Coordinate,STARLINK-30596 - Y-Coordinate,STARLINK-32092 - Y-Coordinate,STARLINK-31070 - Y-Coordinate,STARLINK-31720 - Y-Coordinate,STARLINK-30989 - Y-Coordinate,STARLINK-1645 - Y-Coordinate,STARLINK-5901 - Y-Coordinate,STARLINK-3537 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30478 - Z-Coordinate,STARLINK-1767 - Z-Coordinate,STARLINK-30102 - Z-Coordinate,STARLINK-3322 - Z-Coordinate,STARLINK-5091 - Z-Coordinate,STARLINK-4007 - Z-Coordinate,STARLINK-31885 - Z-Coordinate,STARLINK-30287 - Z-Coordinate,STARLINK-2236 - Z-Coordinate,STARLINK-30476 - Z-Coordinate,STARLINK-1572 - Z-Coordinate,STARLINK-11089 [DTC] - Z-Coordinate,STARLINK-4643 - Z-Coordinate,STARLINK-31383 - Z-Coordinate,STARLINK-2659 - Z-Coordinate,STARLINK-1011 - Z-Coordinate,STARLINK-4745 - Z-Coordinate,STARLINK-31250 - Z-Coordinate,STARLINK-31110 - Z-Coordinate,STARLINK-5472 - Z-Coordinate,STARLINK-5648 - Z-Coordinate,STARLINK-5725 - Z-Coordinate,STARLINK-2530 - Z-Coordinate,STARLINK-1771 - Z-Coordinate,STARLINK-3365 - Z-Coordinate,STARLINK-30958 - Z-Coordinate,STARLINK-30786 - Z-Coordinate,STARLINK-32008 - Z-Coordinate,STARLINK-5741 - Z-Coordinate,STARLINK-5857 - Z-Coordinate,STARLINK-4182 - Z-Coordinate,STARLINK-5808 - Z-Coordinate,STARLINK-31933 - Z-Coordinate,STARLINK-6224 - Z-Coordinate,STARLINK-30257 - Z-Coordinate,STARLINK-31800 - Z-Coordinate,STARLINK-5033 - Z-Coordinate,STARLINK-5085 - Z-Coordinate,STARLINK-5053 - Z-Coordinate,STARLINK-30219 - Z-Coordinate,STARLINK-6029 - Z-Coordinate,STARLINK-30108 - Z-Coordinate,STARLINK-3611 - Z-Coordinate,STARLINK-6339 - Z-Coordinate,STARLINK-3790 - Z-Coordinate,STARLINK-6229 - Z-Coordinate,STARLINK-3852 - Z-Coordinate,STARLINK-11265 [DTC] - Z-Coordinate,STARLINK-31551 - Z-Coordinate,STARLINK-1231 - Z-Coordinate,STARLINK-30504 - Z-Coordinate,STARLINK-31348 - Z-Coordinate,STARLINK-1750 - Z-Coordinate,STARLINK-2684 - Z-Coordinate,STARLINK-3614 - Z-Coordinate,STARLINK-5580 - Z-Coordinate,STARLINK-5713 - Z-Coordinate,STARLINK-5991 - Z-Coordinate,STARLINK-31603 - Z-Coordinate,STARLINK-4268 - Z-Coordinate,STARLINK-4740 - Z-Coordinate,STARLINK-4136 - Z-Coordinate,STARLINK-1337 - Z-Coordinate,STARLINK-3110 - Z-Coordinate,STARLINK-11200 [DTC] - Z-Coordinate,STARLINK-30785 - Z-Coordinate,STARLINK-31425 - Z-Coordinate,STARLINK-31491 - Z-Coordinate,STARLINK-5440 - Z-Coordinate,STARLINK-30791 - Z-Coordinate,STARLINK-30460 - Z-Coordinate,STARLINK-6309 - Z-Coordinate,STARLINK-3194 - Z-Coordinate,STARLINK-31556 - Z-Coordinate,STARLINK-1138 - Z-Coordinate,STARLINK-30799 - Z-Coordinate,STARLINK-31742 - Z-Coordinate,STARLINK-4035 - Z-Coordinate,STARLINK-31357 - Z-Coordinate,STARLINK-2423 - Z-Coordinate,STARLINK-2639 - Z-Coordinate,STARLINK-6268 - Z-Coordinate,STARLINK-30768 - Z-Coordinate,STARLINK-6286 - Z-Coordinate,STARLINK-3389 - Z-Coordinate,STARLINK-2116 - Z-Coordinate,STARLINK-31169 - Z-Coordinate,STARLINK-30941 - Z-Coordinate,STARLINK-31686 - Z-Coordinate,STARLINK-4315 - Z-Coordinate,STARLINK-5082 - Z-Coordinate,STARLINK-3766 - Z-Coordinate,STARLINK-30596 - Z-Coordinate,STARLINK-32092 - Z-Coordinate,STARLINK-31070 - Z-Coordinate,STARLINK-31720 - Z-Coordinate,STARLINK-30989 - Z-Coordinate,STARLINK-1645 - Z-Coordinate,STARLINK-5901 - Z-Coordinate,STARLINK-3537 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4542.3434,-3032.5039,3877.6767,3640.0909,3416.8515,-1922.9901,2387.1868,-671.7467,-6362.0375,-3969.2417,-6219.6700,-3811.8157,5473.7128,-1501.8359,-1227.9265,4722.4428,-679.0725,2354.7832,5325.5828,4922.0169,5434.0798,3736.0146,-4623.3154,5259.4102,4275.6226,5016.0503,0.0000,-2393.2708,-4699.4340,3471.0238,2186.2699,345.0078,5734.2571,5578.7888,-6264.8600,5837.1417,684.2001,-2183.2758,-2241.6297,-1492.6146,4744.3179,2800.1190,6216.5781,-5480.8123,-2109.0224,6317.8413,-2166.7833,-4015.1966,6011.3902,-5507.9769,3770.1640,-5935.9500,-2919.0328,-1252.5946,2491.6798,4920.0332,-2841.1945,5177.9625,-4349.3595,-404.9433,5942.2072,2686.0337,3228.9714,5221.4000,-1383.2916,-3590.5455,6723.4442,3016.0808,-4385.1427,-808.3005,-1701.7146,-5241.0991,-184.5699,-5122.7674,-6498.2322,5030.9464,-6509.1710,3921.7181,2370.7424,-2330.8778,3765.5868,-5159.6251,-4474.3623,391.1506,2964.8590,-3635.4286,4295.3282,-4962.0773,993.8851,-5898.7329,5853.5189,-2642.8884,5731.5806,6136.9696,-4532.7464,5264.5590,5989.0419,1151.4835,3450.3360,-5149.3433,-153135.1098,-152445.5562,-152747.5678,-157045.5824,-163801.5606,-160960.3442,-154570.6180,-155367.1701,-84946864.4023,-84959970.4862,-84966109.1651,-84961432.3531,-156175.8951,-84959723.5026,5186.9020,-3047.1561,-3271.5941,-2001.6820,5528.5791,-6286.6172,-5573.2119,-5513.9455,747.5484,-4951.0611,2098.9159,-4461.5069,-18.7624,-6680.2692,5448.5515,-1496.1307,-4685.5778,6407.2003,-3635.1168,-4026.3115,3574.3876,-4228.2614,-964.0470,86.3304,-1849.0931,-765.7550,0.0000,-3788.6719,3646.6527,495.3215,-3821.8463,-6105.2933,1979.0266,-1273.6864,2794.7008,1724.8563,-2286.2835,-5041.1593,-6038.0570,-4755.0648,-1996.5631,4941.9764,940.8159,1075.4334,-6563.0535,1265.8847,4009.9969,-1291.2486,-3242.8821,147.5582,-4154.9763,-3344.1677,-3550.9098,-3947.6464,-3922.8262,-1451.7315,4160.6706,3677.4084,1799.1335,6856.0995,-698.6685,3742.6556,-3730.1304,-385.7406,3852.9569,4020.8857,-676.2548,3226.1154,-4881.6745,6824.9180,-5851.5449,302.1817,6866.2572,3777.2873,2150.6264,-4775.5910,1560.5195,-5380.8210,-4527.7739,6273.2258,-1761.1093,-2547.8467,-2528.4821,5957.0858,-5704.4938,4442.5423,-5118.1567,1027.8443,-5921.0674,-2992.1035,322.1641,3525.8299,-199.4880,475.7240,2473.0844,-3393.6478,-3467.3434,6678.7469,-5600.2679,2706.0850,373529.6921,357463.8073,365555.4908,366001.6664,360692.1581,360299.4349,357699.0294,360927.3097,343059901.5748,343023873.4300,343048677.6953,343061042.6780,361043.8648,343071367.7343,356.8083,-5290.8725,4703.3542,5553.0858,-2312.4169,-2074.6220,-2861.5262,-4131.5877,-2390.9309,-2692.1805,-67.6296,-3288.1753,4269.0239,117.0385,3967.0506,-4772.8565,-4967.2283,-195.1718,2363.0464,2637.2270,-2375.8652,3979.4308,5044.9835,4414.7769,5093.5726,-4725.7989,0.0000,5112.0976,-3520.0256,-6025.1053,-5311.3306,3407.5872,3116.3280,3907.9830,-848.0633,-3066.3774,-6523.6685,-4264.5847,2458.3748,-4580.9271,-4640.6380,-3626.1515,2823.3838,4122.5865,-284.5632,-2548.9924,5159.9211,5163.0035,155.6258,-4113.9200,3939.1920,-347.1920,-5067.7369,5355.3090,5054.6435,4706.6704,-4691.6175,-2845.6124,4876.1681,347.6374,3367.1920,5119.3498,4758.1798,4482.2823,5324.7249,4275.5702,-847.7418,5198.8281,2085.0621,-47.6609,3271.8434,-4510.9532,-152.0926,2387.3938,829.0294,-262.9152,-1222.1535,1524.8495,-4438.7484,-1734.0031,-5478.6597,-3837.0295,-4335.5340,3474.7960,1584.9419,3778.7388,1463.7001,4707.7807,-3203.8621,-2104.0150,-3658.5921,-5216.6600,3749.3566,-2986.4081,4473.1698,2681.5224,-584.0252,-423.7460,-2144.7906,-3582.6600,80982.7436,79141.6946,80073.0905,78155.7337,83314.1525,76254.2628,68984.2770,76072.0878,61702538.1992,61683206.5647,61683506.5153,61688422.2211,77702.2510,61691558.6137,
3600.000,-5312.8752,5128.0762,-1309.8303,-2192.4243,-4722.2170,3386.7135,692.7448,3804.5678,3127.1168,4931.2594,2642.0895,5719.4541,-6014.0640,2960.4821,-734.0648,-1124.8737,4339.4277,-3559.8545,-3751.0993,-1163.7601,-6608.5860,346.1604,3358.7759,-2494.4385,-824.4066,-3991.2472,0.0000,4992.3703,853.0486,-6437.5764,2238.2177,2760.4601,-6748.1393,-5482.0432,3663.1668,-6678.1569,3085.9611,3058.9345,3754.9631,5576.0394,-6165.9741,-5841.2319,-3791.1317,6728.5536,3267.5873,-4740.0955,-2349.5221,5964.1828,-3228.6184,2462.0580,555.0154,5637.2170,4785.8397,5419.1808,-506.6226,-755.6027,-716.2990,-3587.4899,4172.7098,-1399.1597,-6248.8624,-5944.0151,1395.3123,-6239.5473,-3658.8184,1382.7430,-5192.2756,-6352.0664,5384.5837,-1805.3853,4244.5063,5375.1499,-1680.5192,987.8419,4938.6665,-2477.8217,4848.9209,-519.8815,1266.8287,685.2922,-1412.0933,6882.4906,5042.1438,-3644.2856,1310.9969,2562.3400,-1883.9640,3627.4671,3102.5977,4084.8015,-3877.7026,-2043.0013,-2524.7560,-6391.5289,1173.2913,-3650.5437,-3526.6554,-2843.0277,-1366.4809,4693.3758,-243299.4075,-236601.0334,-237198.3872,-240495.9634,-249740.7541,-243813.6460,-240877.8328,-242673.2116,-170910236.7861,-170912067.6840,-170922439.2779,-170918980.8929,-241816.9893,-170923735.7004,-2409.8942,-1297.8059,6104.0146,4906.9653,-2056.4539,5503.2074,6499.3508,5655.8198,-2949.8251,1180.4013,-3733.8549,3079.3577,3106.5689,4451.1020,-6809.4776,4352.4602,1745.9794,-4114.1065,5557.0558,4160.5568,-1581.5079,5185.3726,-3241.8437,3499.2166,4642.0885,4551.8934,0.0000,-403.4358,-4995.3673,830.0318,4518.6822,4317.6853,688.7590,4166.3811,-4317.4291,1040.4102,4356.9747,6224.1393,5433.5652,3119.0368,3157.6718,-3341.5263,1985.4078,-1606.2455,4682.5517,2007.8618,-4229.2713,-2584.2647,4739.2067,-3382.9398,5171.0557,95.7591,-857.6395,1458.0549,6635.0691,2264.1332,-6147.3882,-5455.9484,-5251.4099,-5499.8916,2651.2317,-2902.1015,4298.9609,2862.9804,-4380.5982,-6594.9597,3149.4391,-1524.3950,3566.2389,-5597.2285,5463.4977,-3817.9423,-5137.7255,-4905.9042,-3344.5102,5427.4597,-3862.6116,4589.7670,6459.0188,-6350.1659,5461.9814,167.2127,-2550.1805,-3528.0211,3882.6862,-6364.8678,6094.0573,-4782.6337,3914.9405,4597.8227,3298.7841,-4658.7595,3261.2651,2273.6735,-5531.9489,5605.8005,4665.7593,-4638.0919,6591.5384,-4868.4433,324224.4319,304045.2128,313348.2422,312103.7732,309297.5340,310259.0234,306651.9969,310217.9785,309349946.6984,309316380.3429,309340963.0917,309353546.7305,310093.1442,309362195.6324,-3697.4827,4284.2866,-3002.1837,-4404.2460,4576.6864,-2405.9486,-1487.0649,1179.9910,5302.9825,4656.3798,-4713.8406,-1741.0764,-1571.2452,-4283.5489,280.8392,5191.1660,5007.3162,-4130.8195,1488.2127,-5368.7106,-1324.6286,-4559.1505,-5111.3160,-5370.7001,-5055.3252,3364.8017,0.0000,-4610.2842,4686.8859,2521.0839,4694.6097,-4772.8167,737.6923,-835.1140,3954.7185,-863.1127,4425.0897,-490.0300,1973.6560,2217.3168,-89.9484,-299.5620,-5412.1410,622.3597,-3879.7244,4626.6450,-4912.3460,-1520.4271,-3717.3221,5441.4527,-4478.0318,3833.0335,4798.2413,-3806.5247,-1723.8042,-6554.4848,2998.0663,-2400.3723,-1039.4821,3874.5001,1044.9407,-1945.3285,-5167.8980,-668.7235,-3559.0598,-1426.9782,-3086.0336,-1999.7850,2383.7967,3547.0268,194.0597,2086.7936,4229.7266,-4609.1602,3448.6900,3540.4991,-2804.8738,-5039.9898,1557.8218,-2651.9320,3916.8829,617.6456,3629.0018,-4700.6364,-5208.3163,461.2071,2465.8735,-3455.6080,4608.6818,-3216.8617,4658.9831,4541.0068,-5479.8200,-872.3862,-3849.8560,1302.2961,3738.7367,-4069.9268,-1593.5816,-963.8778,82317.8977,80294.5611,81325.7381,77537.5630,84638.7949,80834.4340,69782.7831,80453.5830,61776326.8378,61756372.4183,61755866.1226,61759232.8135,78917.0186,61767100.5980,
7200.000,4802.5675,-5492.1863,-1050.6938,1202.6955,5293.3463,-3961.3832,-3752.9348,-5208.7463,1038.0421,-5075.0404,3388.1638,-4180.4004,4603.4535,-4241.6189,2439.0601,-1865.4699,-6642.2112,4165.5185,230.5169,-3319.3710,5348.3552,-3968.3868,-2124.5415,-113.0358,-1886.9504,2327.8292,0.0000,-5892.9210,2975.8450,6488.8237,-5122.0708,-5613.6948,4434.1349,3447.1533,429.0471,4142.9739,-4316.7251,-2522.4096,-4108.7747,-6457.4068,4312.0100,5443.4593,746.3966,-4518.4952,-4095.8508,2290.3637,5467.5072,-3811.7356,-1314.6885,499.6822,-4295.9291,-3358.0487,-5459.1734,-6689.8327,-1209.7827,-3086.4770,3311.6180,292.1888,-1802.5065,3711.6790,3366.8582,6290.1331,-4971.4620,4451.3690,5791.5471,1056.6608,1051.2595,6262.2615,-4407.6738,4531.4721,-5186.9321,-3857.3454,4009.6352,3598.1625,-920.6765,-1403.4332,-562.3184,-3941.7551,-3764.9484,1981.7576,-428.7890,-5875.1625,-3558.0289,6220.6109,-5675.5737,-91.5787,-1944.4892,-1759.8356,-6267.0887,-269.6311,1416.4050,4991.1166,-779.6926,3566.2090,1888.8720,-66.0823,-402.8937,4216.3589,-1606.2810,-1520.1974,-318341.7164,-304536.9551,-306317.6417,-310005.0719,-319840.4663,-309060.4233,-311462.8808,-310816.6833,-245209464.1163,-245201359.4699,-245216563.7089,-245215854.0904,-311874.7829,-245223969.9571,-1711.9294,4030.7495,-6820.9211,-6703.0889,-2142.3194,-1943.4695,-3323.5995,-3809.9212,5163.5364,3007.7548,3833.4093,812.8047,-4774.8372,-3.8769,4702.6071,-6271.9777,692.9231,-534.6358,-5330.5191,-3976.0639,-1314.4347,-5195.6827,6279.7248,-6334.8902,-6398.7069,-6528.3957,0.0000,3360.9601,5529.3226,-896.3892,-4498.2956,-2107.1308,-3241.4495,-5348.5302,5168.3813,-3499.4549,-5427.0717,-4207.5764,-2063.9562,-402.2668,-2647.3894,-301.5901,-5197.5750,1558.7503,-552.8679,-5264.4994,3945.4991,4116.8405,-4942.9811,6122.6539,-5008.6516,3935.5357,3979.1961,688.6102,-6159.5509,-4089.1213,5990.4683,3073.8952,5426.6911,1820.0035,-3633.0294,1269.1980,-4300.1623,-3849.8829,3115.8465,6373.3131,-4873.2021,-370.6569,-58.9715,2282.1533,-2893.5345,5506.6955,1286.3709,4786.6233,4059.5490,-4893.7712,4940.9783,-2770.3824,-4978.2179,3905.4896,-6852.8610,2094.6928,5692.1391,623.3214,-482.3669,5275.4281,-4656.2337,6694.7110,-1035.0457,-2186.8099,-6199.9256,4627.3968,-5932.7662,-4163.4411,6559.1265,-5282.6291,-5104.6592,-39.6230,-5155.0303,4630.8310,253203.5317,232063.1897,241177.2564,236339.4072,237948.1811,241275.2272,235417.6488,239079.9003,254523916.5419,254495539.8785,254519852.5416,254534135.5238,239278.9909,254536553.4032,4645.7976,-39.6865,-569.1511,1365.0204,-3872.3883,5285.6190,4438.0513,2489.2297,-4361.9076,-3566.6772,4103.7082,5194.1459,-2070.5809,5365.3287,-4358.5498,-2113.4577,-1567.1178,5374.2176,-4331.6067,4531.6793,4184.5861,2227.8660,1973.0428,2658.0215,1794.4564,30.9183,0.0000,523.8098,-2888.8224,2357.2625,-1041.2464,3600.8254,-4051.6344,-2761.5666,-4573.9682,4114.0177,254.3245,4911.7242,-5144.5580,1970.2562,4716.7174,3946.4959,4462.1064,-5050.1093,5515.7517,-3882.4497,1421.7589,-3619.6422,4520.3508,-3086.5842,1872.5158,-4451.0010,-1062.6371,-851.9586,-2805.5296,4715.7525,694.1427,6222.4408,-3657.8841,-5499.7292,-4764.8170,-2526.5298,1961.4577,-3602.6286,-1405.1773,-2390.3377,4629.1671,-2704.1697,-5296.2896,-4641.2626,-3558.0522,1624.0797,-5432.1976,3214.3645,-5502.1281,-4723.6835,4634.1566,4836.2111,2602.5659,5336.7551,285.8911,2973.0487,313.9418,2938.9251,3370.9233,-4418.0888,-4625.5860,48.3343,-2441.1768,6565.4073,-2702.3013,-504.2220,3331.3525,4083.5207,401.0595,-4311.6621,-4696.9731,5312.5040,4313.4443,4774.6533,83576.7939,81254.2856,81926.4754,80149.3961,85569.6086,80607.0375,71193.2808,78647.4234,61849502.4603,61829575.0202,61828660.6056,61832151.6075,80125.4068,61842627.0774,
