sl_100_86400_20300120 Coordinates.csv
2030/01/20 07:47:00.0000 UTC

Generated: Tue Oct  8 21:54:04 2024,
Start: 2030/01/20 07:47:00.00, Stop: 2030/01/21 07:47:00.00,
TIME_UNITS,STARLINK-3946 - X-Coordinate,STARLINK-6044 - X-Coordinate,STARLINK-4167 - X-Coordinate,STARLINK-31166 - X-Coordinate,STARLINK-5100 - X-Coordinate,STARLINK-2284 - X-Coordinate,STARLINK-31026 - X-Coordinate,STARLINK-2169 - X-Coordinate,STARLINK-31029 - X-Coordinate,STARLINK-31101 - X-Coordinate,STARLINK-1151 - X-Coordinate,STARLINK-11247 [DTC] - X-Coordinate,STARLINK-30711 - X-Coordinate,STARLINK-2410 - X-Coordinate,STARLINK-3910 - X-Coordinate,STARLINK-31364 - X-Coordinate,STARLINK-3696 - X-Coordinate,STARLINK-4346 - X-Coordinate,STARLINK-31808 - X-Coordinate,STARLINK-5914 - X-Coordinate,STARLINK-2419 - X-Coordinate,STARLINK-30080 - X-Coordinate,STARLINK-2423 - X-Coordinate,STARLINK-1354 - X-Coordinate,STARLINK-4520 - X-Coordinate,STARLINK-31876 - X-Coordinate,STARLINK-32268 - X-Coordinate,STARLINK-30532 - X-Coordinate,STARLINK-31516 - X-Coordinate,STARLINK-32265 - X-Coordinate,STARLINK-30332 - X-Coordinate,STARLINK-31706 - X-Coordinate,STARLINK-5018 - X-Coordinate,STARLINK-1347 - X-Coordinate,STARLINK-1795 - X-Coordinate,STARLINK-4492 - X-Coordinate,STARLINK-2103 - X-Coordinate,STARLINK-1366 - X-Coordinate,STARLINK-4568 - X-Coordinate,STARLINK-6365 - X-Coordinate,STARLINK-3281 - X-Coordinate,STARLINK-6046 - X-Coordinate,STARLINK-1517 - X-Coordinate,STARLINK-31368 - X-Coordinate,STARLINK-5123 - X-Coordinate,STARLINK-1489 - X-Coordinate,STARLINK-30462 - X-Coordinate,STARLINK-31710 - X-Coordinate,STARLINK-6077 - X-Coordinate,STARLINK-1956 - X-Coordinate,STARLINK-2386 - X-Coordinate,STARLINK-30887 - X-Coordinate,STARLINK-6064 - X-Coordinate,STARLINK-31759 - X-Coordinate,STARLINK-31566 - X-Coordinate,STARLINK-31655 - X-Coordinate,STARLINK-6321 - X-Coordinate,STARLINK-30832 - X-Coordinate,STARLINK-3999 - X-Coordinate,STARLINK-5085 - X-Coordinate,STARLINK-30994 - X-Coordinate,STARLINK-11199 [DTC] - X-Coordinate,STARLINK-3505 - X-Coordinate,STARLINK-31064 - X-Coordinate,STARLINK-3149 - X-Coordinate,STARLINK-5413 - X-Coordinate,STARLINK-30108 - X-Coordinate,STARLINK-4567 - X-Coordinate,STARLINK-5012 - X-Coordinate,STARLINK-1408 - X-Coordinate,STARLINK-6279 - X-Coordinate,STARLINK-31048 - X-Coordinate,STARLINK-5896 - X-Coordinate,STARLINK-30421 - X-Coordinate,STARLINK-4315 - X-Coordinate,STARLINK-4215 - X-Coordinate,STARLINK-5104 - X-Coordinate,STARLINK-1013 - X-Coordinate,STARLINK-4199 - X-Coordinate,STARLINK-3580 - X-Coordinate,STARLINK-30158 - X-Coordinate,STARLINK-4723 - X-Coordinate,STARLINK-1552 - X-Coordinate,STARLINK-6189 - X-Coordinate,STARLINK-31988 - X-Coordinate,STARLINK-31844 - X-Coordinate,STARLINK-31947 - X-Coordinate,STARLINK-1481 - X-Coordinate,STARLINK-5681 - X-Coordinate,STARLINK-30893 - X-Coordinate,STARLINK-11237 [DTC] - X-Coordinate,STARLINK-5653 - X-Coordinate,STARLINK-1981 - X-Coordinate,STARLINK-31690 - X-Coordinate,STARLINK-1523 - X-Coordinate,STARLINK-31688 - X-Coordinate,STARLINK-31284 - X-Coordinate,STARLINK-2387 - X-Coordinate,STARLINK-31685 - X-Coordinate,STARLINK-3750 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3946 - Y-Coordinate,STARLINK-6044 - Y-Coordinate,STARLINK-4167 - Y-Coordinate,STARLINK-31166 - Y-Coordinate,STARLINK-5100 - Y-Coordinate,STARLINK-2284 - Y-Coordinate,STARLINK-31026 - Y-Coordinate,STARLINK-2169 - Y-Coordinate,STARLINK-31029 - Y-Coordinate,STARLINK-31101 - Y-Coordinate,STARLINK-1151 - Y-Coordinate,STARLINK-11247 [DTC] - Y-Coordinate,STARLINK-30711 - Y-Coordinate,STARLINK-2410 - Y-Coordinate,STARLINK-3910 - Y-Coordinate,STARLINK-31364 - Y-Coordinate,STARLINK-3696 - Y-Coordinate,STARLINK-4346 - Y-Coordinate,STARLINK-31808 - Y-Coordinate,STARLINK-5914 - Y-Coordinate,STARLINK-2419 - Y-Coordinate,STARLINK-30080 - Y-Coordinate,STARLINK-2423 - Y-Coordinate,STARLINK-1354 - Y-Coordinate,STARLINK-4520 - Y-Coordinate,STARLINK-31876 - Y-Coordinate,STARLINK-32268 - Y-Coordinate,STARLINK-30532 - Y-Coordinate,STARLINK-31516 - Y-Coordinate,STARLINK-32265 - Y-Coordinate,STARLINK-30332 - Y-Coordinate,STARLINK-31706 - Y-Coordinate,STARLINK-5018 - Y-Coordinate,STARLINK-1347 - Y-Coordinate,STARLINK-1795 - Y-Coordinate,STARLINK-4492 - Y-Coordinate,STARLINK-2103 - Y-Coordinate,STARLINK-1366 - Y-Coordinate,STARLINK-4568 - Y-Coordinate,STARLINK-6365 - Y-Coordinate,STARLINK-3281 - Y-Coordinate,STARLINK-6046 - Y-Coordinate,STARLINK-1517 - Y-Coordinate,STARLINK-31368 - Y-Coordinate,STARLINK-5123 - Y-Coordinate,STARLINK-1489 - Y-Coordinate,STARLINK-30462 - Y-Coordinate,STARLINK-31710 - Y-Coordinate,STARLINK-6077 - Y-Coordinate,STARLINK-1956 - Y-Coordinate,STARLINK-2386 - Y-Coordinate,STARLINK-30887 - Y-Coordinate,STARLINK-6064 - Y-Coordinate,STARLINK-31759 - Y-Coordinate,STARLINK-31566 - Y-Coordinate,STARLINK-31655 - Y-Coordinate,STARLINK-6321 - Y-Coordinate,STARLINK-30832 - Y-Coordinate,STARLINK-3999 - Y-Coordinate,STARLINK-5085 - Y-Coordinate,STARLINK-30994 - Y-Coordinate,STARLINK-11199 [DTC] - Y-Coordinate,STARLINK-3505 - Y-Coordinate,STARLINK-31064 - Y-Coordinate,STARLINK-3149 - Y-Coordinate,STARLINK-5413 - Y-Coordinate,STARLINK-30108 - Y-Coordinate,STARLINK-4567 - Y-Coordinate,STARLINK-5012 - Y-Coordinate,STARLINK-1408 - Y-Coordinate,STARLINK-6279 - Y-Coordinate,STARLINK-31048 - Y-Coordinate,STARLINK-5896 - Y-Coordinate,STARLINK-30421 - Y-Coordinate,STARLINK-4315 - Y-Coordinate,STARLINK-4215 - Y-Coordinate,STARLINK-5104 - Y-Coordinate,STARLINK-1013 - Y-Coordinate,STARLINK-4199 - Y-Coordinate,STARLINK-3580 - Y-Coordinate,STARLINK-30158 - Y-Coordinate,STARLINK-4723 - Y-Coordinate,STARLINK-1552 - Y-Coordinate,STARLINK-6189 - Y-Coordinate,STARLINK-31988 - Y-Coordinate,STARLINK-31844 - Y-Coordinate,STARLINK-31947 - Y-Coordinate,STARLINK-1481 - Y-Coordinate,STARLINK-5681 - Y-Coordinate,STARLINK-30893 - Y-Coordinate,STARLINK-11237 [DTC] - Y-Coordinate,STARLINK-5653 - Y-Coordinate,STARLINK-1981 - Y-Coordinate,STARLINK-31690 - Y-Coordinate,STARLINK-1523 - Y-Coordinate,STARLINK-31688 - Y-Coordinate,STARLINK-31284 - Y-Coordinate,STARLINK-2387 - Y-Coordinate,STARLINK-31685 - Y-Coordinate,STARLINK-3750 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3946 - Z-Coordinate,STARLINK-6044 - Z-Coordinate,STARLINK-4167 - Z-Coordinate,STARLINK-31166 - Z-Coordinate,STARLINK-5100 - Z-Coordinate,STARLINK-2284 - Z-Coordinate,STARLINK-31026 - Z-Coordinate,STARLINK-2169 - Z-Coordinate,STARLINK-31029 - Z-Coordinate,STARLINK-31101 - Z-Coordinate,STARLINK-1151 - Z-Coordinate,STARLINK-11247 [DTC] - Z-Coordinate,STARLINK-30711 - Z-Coordinate,STARLINK-2410 - Z-Coordinate,STARLINK-3910 - Z-Coordinate,STARLINK-31364 - Z-Coordinate,STARLINK-3696 - Z-Coordinate,STARLINK-4346 - Z-Coordinate,STARLINK-31808 - Z-Coordinate,STARLINK-5914 - Z-Coordinate,STARLINK-2419 - Z-Coordinate,STARLINK-30080 - Z-Coordinate,STARLINK-2423 - Z-Coordinate,STARLINK-1354 - Z-Coordinate,STARLINK-4520 - Z-Coordinate,STARLINK-31876 - Z-Coordinate,STARLINK-32268 - Z-Coordinate,STARLINK-30532 - Z-Coordinate,STARLINK-31516 - Z-Coordinate,STARLINK-32265 - Z-Coordinate,STARLINK-30332 - Z-Coordinate,STARLINK-31706 - Z-Coordinate,STARLINK-5018 - Z-Coordinate,STARLINK-1347 - Z-Coordinate,STARLINK-1795 - Z-Coordinate,STARLINK-4492 - Z-Coordinate,STARLINK-2103 - Z-Coordinate,STARLINK-1366 - Z-Coordinate,STARLINK-4568 - Z-Coordinate,STARLINK-6365 - Z-Coordinate,STARLINK-3281 - Z-Coordinate,STARLINK-6046 - Z-Coordinate,STARLINK-1517 - Z-Coordinate,STARLINK-31368 - Z-Coordinate,STARLINK-5123 - Z-Coordinate,STARLINK-1489 - Z-Coordinate,STARLINK-30462 - Z-Coordinate,STARLINK-31710 - Z-Coordinate,STARLINK-6077 - Z-Coordinate,STARLINK-1956 - Z-Coordinate,STARLINK-2386 - Z-Coordinate,STARLINK-30887 - Z-Coordinate,STARLINK-6064 - Z-Coordinate,STARLINK-31759 - Z-Coordinate,STARLINK-31566 - Z-Coordinate,STARLINK-31655 - Z-Coordinate,STARLINK-6321 - Z-Coordinate,STARLINK-30832 - Z-Coordinate,STARLINK-3999 - Z-Coordinate,STARLINK-5085 - Z-Coordinate,STARLINK-30994 - Z-Coordinate,STARLINK-11199 [DTC] - Z-Coordinate,STARLINK-3505 - Z-Coordinate,STARLINK-31064 - Z-Coordinate,STARLINK-3149 - Z-Coordinate,STARLINK-5413 - Z-Coordinate,STARLINK-30108 - Z-Coordinate,STARLINK-4567 - Z-Coordinate,STARLINK-5012 - Z-Coordinate,STARLINK-1408 - Z-Coordinate,STARLINK-6279 - Z-Coordinate,STARLINK-31048 - Z-Coordinate,STARLINK-5896 - Z-Coordinate,STARLINK-30421 - Z-Coordinate,STARLINK-4315 - Z-Coordinate,STARLINK-4215 - Z-Coordinate,STARLINK-5104 - Z-Coordinate,STARLINK-1013 - Z-Coordinate,STARLINK-4199 - Z-Coordinate,STARLINK-3580 - Z-Coordinate,STARLINK-30158 - Z-Coordinate,STARLINK-4723 - Z-Coordinate,STARLINK-1552 - Z-Coordinate,STARLINK-6189 - Z-Coordinate,STARLINK-31988 - Z-Coordinate,STARLINK-31844 - Z-Coordinate,STARLINK-31947 - Z-Coordinate,STARLINK-1481 - Z-Coordinate,STARLINK-5681 - Z-Coordinate,STARLINK-30893 - Z-Coordinate,STARLINK-11237 [DTC] - Z-Coordinate,STARLINK-5653 - Z-Coordinate,STARLINK-1981 - Z-Coordinate,STARLINK-31690 - Z-Coordinate,STARLINK-1523 - Z-Coordinate,STARLINK-31688 - Z-Coordinate,STARLINK-31284 - Z-Coordinate,STARLINK-2387 - Z-Coordinate,STARLINK-31685 - Z-Coordinate,STARLINK-3750 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1570.2633,1367.4935,-1752.0433,5669.6572,2427.0324,-3506.2070,2288.1751,-2600.7224,4239.6816,6399.7360,3854.7946,-1502.2252,-5068.0381,6689.0920,5295.0798,-171.0614,-4066.8841,-6431.5242,6206.7730,-743.2832,-2718.2198,-6615.9049,-624.9471,1538.6664,-461.3051,-112.9126,2108.9937,5533.4088,5708.9477,1678.0488,5124.5053,4840.3486,2798.0662,4748.8359,4289.6894,-969.2266,4898.5016,-1905.0317,-4534.1459,2742.8552,-4852.7893,-3689.3796,-2725.0808,3987.8357,4218.4284,0.0000,-293.3290,3187.7068,-2379.6628,4210.8404,-5148.2274,4997.5406,4340.7243,5377.9846,-6628.4515,1347.4486,-5176.4740,-6178.5970,-3836.7525,6206.7451,-4607.4226,3913.4520,-1366.3678,4465.9505,-1861.2772,2777.9950,-1834.7563,2870.5689,4091.3362,0.0000,3988.4414,-1879.4853,-1092.2446,2978.1539,-3833.4981,481.4651,-188.4389,-1830.3093,690.7172,-6124.1075,-5633.5673,4111.8128,3829.8685,-4576.9895,5060.0243,-5221.9084,-2984.0817,206.1357,-2740.1945,5943.6556,667.7432,-4432.8308,6749.8956,5287.3437,-2052.4089,-4119.5835,-1598.9352,5819.8049,5847.0829,3070.7615,113211.7758,88995.8572,112991.2952,111982.0819,104723.5683,105271.9721,104852.5278,108586.9870,32260484.9753,32248946.6485,32223183.3555,32239530.0922,107461.2914,32248744.8788,-4681.5616,-5669.9037,3876.7091,2368.5621,-6249.4780,5093.8213,4941.6401,5403.6715,2483.9245,-2605.0039,4574.0492,3807.7975,4551.2636,1064.0837,2175.3591,5821.9740,877.0391,-2488.4913,2721.8941,6296.2673,6304.5957,-159.4565,-5896.5292,5880.6664,-5222.4800,-4990.0688,4108.9792,-3074.2352,-3298.1220,4147.2046,2721.6627,-2250.0958,-3051.1815,-4913.3520,3156.3710,-4874.6378,-4802.7174,-3893.4172,-2792.3653,4266.8330,-2581.6155,-156.5056,6083.8095,-4591.8069,4926.3164,0.0000,-6827.0311,-3647.0180,5151.7730,-5407.1705,4559.1106,-2778.4769,2985.6304,-3780.6038,1261.8923,3922.9500,4580.3286,1914.1588,2656.1723,-3122.5751,2030.0501,-1114.8711,-4409.5775,2396.7226,5371.1450,-6316.7554,5463.8976,-3271.2235,-277.5266,0.0000,-5173.2829,5606.9434,-5921.3769,-3500.5854,-2944.0575,-6802.4218,-2531.8217,6619.6572,5773.4507,-1820.5711,148.8532,-284.8540,-1334.8020,3312.0723,3123.2485,1101.7624,-4331.4703,4135.3485,-4923.3402,-360.3992,5701.3786,-2432.6176,466.6814,2913.7546,3599.4113,1456.1476,-5273.9600,2450.0954,606.7885,-4917.7863,-346660.0125,-359213.5964,-358204.9379,-354326.3062,-349779.4109,-352414.1344,-359418.2112,-357087.4582,312640857.3907,312658129.4466,312657662.4428,312650470.2217,-356824.0384,312653602.1582,-4838.9542,-3765.0010,5436.1978,-3014.8739,-1703.4027,-2335.4496,4252.6899,3386.9100,-4888.5290,473.0187,-3047.3663,5193.4844,-683.8743,801.3815,3866.2072,-3540.9336,5517.7008,-550.8197,1020.9269,2817.1006,1140.0987,1974.1918,3542.5848,-3226.0062,4117.0678,4636.3901,-4996.1711,-2811.8529,1718.4465,5219.5973,3701.4201,4222.7493,5486.9710,587.6788,4407.7603,-4785.9500,686.8859,-4987.6996,-4407.4642,4718.7535,-4183.4437,-5889.0572,1796.1577,-3110.7565,-2453.2080,0.0000,1051.1918,-4641.4974,-3999.2324,-752.1051,-3.0720,-3774.4941,4527.4779,1974.0559,-808.4473,-5452.1830,-402.5659,-2228.1645,5060.1191,254.2234,4634.8065,5376.3366,5111.8922,4573.7885,-3928.4736,240.3757,3501.7253,5365.8944,5474.4655,0.0000,-2004.3370,-3466.0707,-3478.1682,5032.4422,4964.8916,-869.1925,-6472.9970,832.0751,-3724.2670,2566.9529,4011.5895,5488.8686,5288.7750,-4007.4567,-3314.1675,-4212.1047,4357.3970,5446.4507,3977.6428,-3153.7403,-3507.0890,4710.5175,-1246.8273,-3147.2721,5503.8595,-5230.3806,-4013.3199,2829.6561,-3036.1167,3599.1076,98064.0292,97190.7341,100533.6591,98925.9435,103893.8581,96541.1943,89554.9631,96894.3785,-69426279.0549,-69464394.2393,-69433374.4412,-69442240.6398,98244.2810,-69437101.3285,
3600.000,2707.3649,-1363.4016,-1316.9780,-6789.6752,-147.6351,-1426.1260,-5039.5970,-1225.7041,-6714.0041,-4068.4817,-4019.1490,-2690.2219,2844.4314,-5647.3482,-6873.5905,-3744.1418,3331.5785,3764.7678,-5422.2958,-759.1379,1151.3656,6328.1464,2528.5426,-3468.6425,3391.7173,4465.0220,-5631.4679,-2118.6907,-4147.6153,-5227.1594,-6869.6515,-460.0406,744.1408,-1888.7945,-4108.8030,3866.2025,-2161.5460,5313.9991,3960.3022,-5837.1770,3858.0144,419.6115,-226.7765,-2665.5779,-5396.9136,0.0000,2720.6799,2226.9389,-31.7235,-2174.7341,2692.1741,-720.7602,-2260.4054,-1756.2980,3959.6398,-5401.1907,2497.2071,2893.8738,-201.0468,-4310.7873,2069.0491,-1797.8929,4704.4831,-5483.4022,239.2537,-486.7443,-1253.9418,-880.7267,-3476.3379,0.0000,19.1704,143.8254,1750.5418,-1195.1897,-792.9694,1300.1486,3876.0236,-460.8660,-3262.8259,6620.1028,6099.7950,-3955.4161,-2400.8997,873.3495,-6486.1778,1315.5064,6183.4320,-4608.4989,5018.3038,-2191.3894,-3721.2675,5943.6957,-5959.1340,-6750.9211,-1562.1894,868.5860,4983.1841,-4254.5254,-2875.5006,1319.3434,194673.9299,175488.3145,198288.0650,196059.3666,190253.5879,192787.9360,190598.6103,192416.3549,-49818730.0792,-49826932.5839,-49855259.4329,-49833512.3517,193480.3162,-49829528.0825,3552.6906,6697.4138,-6085.5494,162.9073,6606.1862,-3706.5183,-1773.8318,-3980.9955,-808.2455,4192.4470,338.1669,-5843.8349,-4982.3527,978.4213,-712.2895,-3407.5812,-4836.2883,3581.7374,613.8862,-3087.3300,-6186.5439,-2124.5000,6402.2237,-2312.4160,5692.5522,4115.5214,-3573.7774,4633.8718,4509.7595,-3904.7167,-369.7905,4234.6650,5565.5975,4792.9690,1128.3595,5585.9262,4746.6937,-776.1793,-1505.1746,-2031.5284,-1593.5427,-3173.4077,-4706.5351,6095.9914,-3923.1130,0.0000,4884.7833,4145.5547,-6867.2593,5499.3505,-4798.6293,4052.6774,759.4215,4872.5275,-3674.9066,-2882.6164,-5307.4959,-4172.5877,-4716.4125,2600.4451,-5580.3694,5512.9314,4658.5577,1988.0847,-6899.2550,5443.3587,-6617.1829,6297.0864,4640.7077,0.0000,5097.5245,-6775.9140,2197.8449,6542.4702,517.0215,5759.5900,4190.6478,-5197.4889,-2530.9488,232.8934,-3124.7487,4460.9774,5821.9147,-5118.4508,-1516.8262,-4052.4739,2508.2190,-3273.9106,1358.1043,3391.7755,-1675.6519,-1238.8873,1269.8748,-352.3472,-5633.8249,-5088.3866,4602.7728,866.5194,4045.7930,3880.4747,-309001.1545,-325223.3527,-321619.1873,-319014.6616,-311479.1754,-316453.4207,-320630.0033,-318589.9502,310361793.9937,310380660.0196,310370242.9411,310366670.3092,-318671.7534,310374366.9943,5260.3626,-1179.3817,-3008.0388,-832.7535,-2045.3741,5271.2710,-4397.1793,-5495.1587,1489.3594,-3726.8962,5353.0499,-1569.3952,-3741.7496,3690.6622,208.7033,4549.6707,-3664.6987,-4577.8480,-4151.7166,-6173.2686,2972.7696,1771.4225,639.6509,5462.3159,771.3851,-3112.4839,1318.9692,4677.8757,2974.6919,-2188.2960,-339.9181,-5322.6537,-3985.8596,-4532.4024,-5456.4934,1172.1788,-4513.5901,3834.3150,5444.8870,-3154.0522,5487.6089,6154.2832,-5053.1139,-1547.6925,-1884.4368,0.0000,-4074.1433,4766.5712,979.5902,-3546.1558,-4129.2655,5462.2587,-6534.8514,-4510.6280,4112.1833,3059.4888,3668.7384,4571.8639,-5026.7517,-4796.3383,-3396.8962,-3459.2707,-1936.4248,-3566.2070,-196.4880,-4226.5873,425.2832,-2732.8885,-3650.9208,0.0000,4525.7971,-1020.6897,6348.8207,-1525.0117,-6876.6630,-3525.3399,3948.1729,-4547.1791,5518.9296,1883.2891,-989.8172,-3425.5146,-2212.6987,4568.8693,-1399.8875,5283.0133,-1512.3679,-3873.8991,-4545.8699,5380.5618,5332.2541,-3321.6761,-3195.5353,-783.7921,-3664.8902,4434.4323,628.5308,-5396.0917,4360.8351,-5467.7723,96525.7253,95692.7604,99502.4241,95781.0956,102882.7273,98806.8999,87912.5527,98527.3469,-69364894.4575,-69401220.4373,-69376756.9174,-69386085.1954,97067.8270,-69376840.3085,
7200.000,-6018.0816,278.8015,3049.6554,4722.6931,-2663.6931,5981.8376,6563.1516,5157.4872,6291.6343,131.2645,3341.2484,4239.6757,1467.4210,1918.6714,5385.0271,6472.9414,-2210.7283,576.5347,2985.2111,3693.7686,1645.5822,-3468.2604,-3509.0514,5309.0781,-4099.5654,-6462.2860,5733.3079,-1807.6533,-157.3676,6014.7924,5700.9953,-3400.2679,-2988.8499,-2565.1648,3759.3914,-4666.7552,-2154.7452,-5273.5119,-3280.6429,6923.8860,-2773.0730,1352.2992,4032.9183,-494.6500,4658.9170,0.0000,-5033.5067,-5732.9414,2154.9508,-1587.4538,1629.9065,-3440.2584,1131.0190,-2651.8928,544.7739,6541.4091,1530.9883,1331.2031,3267.0382,-44.4938,559.1637,-301.0459,-5549.2568,4712.7533,1522.7211,-2994.2504,3764.0105,-709.2196,2203.1592,0.0000,-4433.3497,1967.7897,-3644.5111,-765.9209,3116.7091,-3500.7654,-4858.1370,3645.2480,5712.9110,-4130.9199,-4330.7679,2877.1705,-19.6379,2586.5164,4395.7144,2212.3286,-6381.6848,6550.2191,-6211.0591,-1901.8774,5813.2728,-5739.1191,2483.6067,4780.4796,3647.0477,1583.3412,-5733.5180,2202.6152,-1131.4526,-5459.0914,264747.6545,250805.7176,271124.2228,265283.2514,263508.5822,269851.9157,263796.2600,268047.2137,-128516352.9876,-128522494.4600,-128548961.1874,-128523020.9135,267234.9965,-128526301.1400,-2434.1017,-4363.7121,6055.7535,-2821.5675,-4527.6208,1084.7840,-1267.1960,2238.6441,-739.3754,-5104.1218,-5097.1504,3455.0065,3841.8566,-3649.0106,-1162.7650,376.1595,6536.7764,-755.5968,-4394.4638,-588.0139,4056.6321,4040.5319,-3968.0304,-1668.0196,-1846.7482,-2035.2634,1412.7878,-5589.0406,-4117.6411,2400.2879,-2074.2170,-5414.7591,-6196.1465,-3526.3589,-4910.5503,-3951.8996,-3733.2079,3709.8391,5263.5356,-209.0048,5396.6737,6192.0694,2388.8266,-4576.4756,877.9794,0.0000,-1407.2425,-3438.0024,6054.8190,-3830.1220,3856.4715,-4937.2054,-4956.8101,-4981.6831,5328.9646,1347.3093,4868.8252,5659.5510,5831.2015,-2384.2450,6821.4416,-6591.9909,-3223.8195,-4947.8273,5285.9163,-2921.9142,3921.2420,-6685.8147,-6435.6406,0.0000,-3714.6455,4508.7305,2000.6992,-6006.3038,4068.1494,-2162.8202,-4896.1024,2287.9805,-837.1656,2061.5861,4701.6118,-6162.6547,-5950.1822,5990.4831,-1356.8459,6031.4058,127.2175,1945.7628,2079.3056,-5757.5237,-2364.2513,3858.4522,-3352.2847,-2582.8222,5824.7722,6618.2755,-1773.8417,-4660.8052,-6433.2586,-2460.2284,-253222.0608,-270735.7464,-264511.6031,-262843.0215,-253085.6868,-262062.9692,-261711.3644,-260321.8712,286900278.3928,286922456.6447,286901522.7808,286905922.5926,-260165.5339,286913210.0750,-2373.1009,5376.0890,-1348.5822,4057.9306,4487.3765,-2595.7707,1763.3201,3974.2622,2791.5725,4669.4919,-2814.3716,-3736.9494,5463.6027,-5439.9933,-4183.7858,-2102.9980,-494.9307,6843.4452,4316.0649,5833.7774,-5418.5699,-4406.7661,-4446.0885,-4051.0322,-4934.7436,-780.8038,3362.0607,-3672.0890,-5433.4712,-2333.6740,-3267.1470,2343.9185,-206.9972,5283.6938,3092.0565,3176.2027,5370.7353,1420.9316,-3049.3982,-336.3447,-3300.5339,-2856.6418,5060.6069,5033.6923,5045.0457,0.0000,4517.7089,-524.4905,2605.8498,5496.5585,5444.4771,-3272.8443,4728.7860,3892.0941,-4186.7324,1498.7247,-4683.5632,-3607.5245,1667.7136,6518.2303,-282.2458,-1430.3132,-2530.5286,-81.9477,4164.9242,5481.9294,-4005.9021,-1635.4642,-802.2283,0.0000,-3649.4663,4760.6453,-5578.0296,-3150.4127,4669.7798,5494.6812,846.6804,5406.2260,-3787.8084,-5119.0999,-2665.9748,-998.3586,-3025.9906,-2321.6523,5003.3875,-2219.3714,-2460.7614,-479.2400,2169.3508,-2939.1383,-2417.7674,-164.6951,5458.4296,4086.8205,-578.9548,-271.2889,3216.9152,4609.7115,-1041.9890,3273.5294,95020.6604,94198.3949,97810.0028,95663.8127,101467.8757,96642.6612,86883.1743,94296.6632,-69304252.7108,-69337181.5694,-69320110.7726,-69327410.7003,95882.6527,-69316548.4998,
