sl_100_86400_20300912 Coordinates.csv
2030/09/12 07:47:00.0000 UTC

Generated: Tue Oct  8 21:54:19 2024,
Start: 2030/09/12 07:47:00.00, Stop: 2030/09/13 07:47:00.00,
TIME_UNITS,STARLINK-4674 - X-Coordinate,STARLINK-4352 - X-Coordinate,STARLINK-4203 - X-Coordinate,STARLINK-5196 - X-Coordinate,STARLINK-4119 - X-Coordinate,STARLINK-30391 - X-Coordinate,STARLINK-31323 - X-Coordinate,STARLINK-4692 - X-Coordinate,STARLINK-30971 - X-Coordinate,STARLINK-2352 - X-Coordinate,STARLINK-30345 - X-Coordinate,STARLINK-31203 - X-Coordinate,STARLINK-31334 - X-Coordinate,STARLINK-31740 - X-Coordinate,STARLINK-2615 - X-Coordinate,STARLINK-31761 - X-Coordinate,STARLINK-5447 - X-Coordinate,STARLINK-30873 - X-Coordinate,STARLINK-1656 - X-Coordinate,STARLINK-1376 - X-Coordinate,STARLINK-31632 - X-Coordinate,STARLINK-2110 - X-Coordinate,STARLINK-30071 - X-Coordinate,STARLINK-4259 - X-Coordinate,STARLINK-30801 - X-Coordinate,STARLINK-30283 - X-Coordinate,STARLINK-3876 - X-Coordinate,STARLINK-1369 - X-Coordinate,STARLINK-30941 - X-Coordinate,STARLINK-1729 - X-Coordinate,STARLINK-2429 - X-Coordinate,STARLINK-30703 - X-Coordinate,STARLINK-30960 - X-Coordinate,STARLINK-1953 - X-Coordinate,STARLINK-31836 - X-Coordinate,STARLINK-11086 [DTC] - X-Coordinate,STARLINK-30273 - X-Coordinate,STARLINK-31543 - X-Coordinate,STARLINK-11244 [DTC] - X-Coordinate,STARLINK-30250 - X-Coordinate,STARLINK-30036 - X-Coordinate,STARLINK-4542 - X-Coordinate,STARLINK-31731 - X-Coordinate,STARLINK-31689 - X-Coordinate,STARLINK-5841 - X-Coordinate,STARLINK-4354 - X-Coordinate,STARLINK-4108 - X-Coordinate,STARLINK-30767 - X-Coordinate,STARLINK-5338 - X-Coordinate,STARLINK-31625 - X-Coordinate,STARLINK-31484 - X-Coordinate,STARLINK-4210 - X-Coordinate,STARLINK-32039 - X-Coordinate,STARLINK-5199 - X-Coordinate,STARLINK-3112 - X-Coordinate,STARLINK-2008 - X-Coordinate,STARLINK-31955 - X-Coordinate,STARLINK-30255 - X-Coordinate,STARLINK-2450 - X-Coordinate,STARLINK-3646 - X-Coordinate,STARLINK-1653 - X-Coordinate,STARLINK-2549 - X-Coordinate,STARLINK-31463 - X-Coordinate,STARLINK-5595 - X-Coordinate,STARLINK-6052 - X-Coordinate,STARLINK-31018 - X-Coordinate,STARLINK-1699 - X-Coordinate,STARLINK-31608 - X-Coordinate,STARLINK-30583 - X-Coordinate,STARLINK-2236 - X-Coordinate,STARLINK-1130 (DARKSAT) - X-Coordinate,STARLINK-30827 - X-Coordinate,STARLINK-3522 - X-Coordinate,STARLINK-5411 - X-Coordinate,STARLINK-3293 - X-Coordinate,STARLINK-2477 - X-Coordinate,STARLINK-4013 - X-Coordinate,STARLINK-32267 - X-Coordinate,STARLINK-6317 - X-Coordinate,STARLINK-1166 - X-Coordinate,STARLINK-4664 - X-Coordinate,STARLINK-5780 - X-Coordinate,STARLINK-4673 - X-Coordinate,STARLINK-31251 - X-Coordinate,STARLINK-32287 - X-Coordinate,STARLINK-4296 - X-Coordinate,STARLINK-31398 - X-Coordinate,STARLINK-6097 - X-Coordinate,STARLINK-4483 - X-Coordinate,STARLINK-31500 - X-Coordinate,STARLINK-5043 - X-Coordinate,STARLINK-1488 - X-Coordinate,STARLINK-1206 - X-Coordinate,STARLINK-30131 - X-Coordinate,STARLINK-30926 - X-Coordinate,STARLINK-1978 - X-Coordinate,STARLINK-31315 - X-Coordinate,STARLINK-4577 - X-Coordinate,STARLINK-31165 - X-Coordinate,STARLINK-3362 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4674 - Y-Coordinate,STARLINK-4352 - Y-Coordinate,STARLINK-4203 - Y-Coordinate,STARLINK-5196 - Y-Coordinate,STARLINK-4119 - Y-Coordinate,STARLINK-30391 - Y-Coordinate,STARLINK-31323 - Y-Coordinate,STARLINK-4692 - Y-Coordinate,STARLINK-30971 - Y-Coordinate,STARLINK-2352 - Y-Coordinate,STARLINK-30345 - Y-Coordinate,STARLINK-31203 - Y-Coordinate,STARLINK-31334 - Y-Coordinate,STARLINK-31740 - Y-Coordinate,STARLINK-2615 - Y-Coordinate,STARLINK-31761 - Y-Coordinate,STARLINK-5447 - Y-Coordinate,STARLINK-30873 - Y-Coordinate,STARLINK-1656 - Y-Coordinate,STARLINK-1376 - Y-Coordinate,STARLINK-31632 - Y-Coordinate,STARLINK-2110 - Y-Coordinate,STARLINK-30071 - Y-Coordinate,STARLINK-4259 - Y-Coordinate,STARLINK-30801 - Y-Coordinate,STARLINK-30283 - Y-Coordinate,STARLINK-3876 - Y-Coordinate,STARLINK-1369 - Y-Coordinate,STARLINK-30941 - Y-Coordinate,STARLINK-1729 - Y-Coordinate,STARLINK-2429 - Y-Coordinate,STARLINK-30703 - Y-Coordinate,STARLINK-30960 - Y-Coordinate,STARLINK-1953 - Y-Coordinate,STARLINK-31836 - Y-Coordinate,STARLINK-11086 [DTC] - Y-Coordinate,STARLINK-30273 - Y-Coordinate,STARLINK-31543 - Y-Coordinate,STARLINK-11244 [DTC] - Y-Coordinate,STARLINK-30250 - Y-Coordinate,STARLINK-30036 - Y-Coordinate,STARLINK-4542 - Y-Coordinate,STARLINK-31731 - Y-Coordinate,STARLINK-31689 - Y-Coordinate,STARLINK-5841 - Y-Coordinate,STARLINK-4354 - Y-Coordinate,STARLINK-4108 - Y-Coordinate,STARLINK-30767 - Y-Coordinate,STARLINK-5338 - Y-Coordinate,STARLINK-31625 - Y-Coordinate,STARLINK-31484 - Y-Coordinate,STARLINK-4210 - Y-Coordinate,STARLINK-32039 - Y-Coordinate,STARLINK-5199 - Y-Coordinate,STARLINK-3112 - Y-Coordinate,STARLINK-2008 - Y-Coordinate,STARLINK-31955 - Y-Coordinate,STARLINK-30255 - Y-Coordinate,STARLINK-2450 - Y-Coordinate,STARLINK-3646 - Y-Coordinate,STARLINK-1653 - Y-Coordinate,STARLINK-2549 - Y-Coordinate,STARLINK-31463 - Y-Coordinate,STARLINK-5595 - Y-Coordinate,STARLINK-6052 - Y-Coordinate,STARLINK-31018 - Y-Coordinate,STARLINK-1699 - Y-Coordinate,STARLINK-31608 - Y-Coordinate,STARLINK-30583 - Y-Coordinate,STARLINK-2236 - Y-Coordinate,STARLINK-1130 (DARKSAT) - Y-Coordinate,STARLINK-30827 - Y-Coordinate,STARLINK-3522 - Y-Coordinate,STARLINK-5411 - Y-Coordinate,STARLINK-3293 - Y-Coordinate,STARLINK-2477 - Y-Coordinate,STARLINK-4013 - Y-Coordinate,STARLINK-32267 - Y-Coordinate,STARLINK-6317 - Y-Coordinate,STARLINK-1166 - Y-Coordinate,STARLINK-4664 - Y-Coordinate,STARLINK-5780 - Y-Coordinate,STARLINK-4673 - Y-Coordinate,STARLINK-31251 - Y-Coordinate,STARLINK-32287 - Y-Coordinate,STARLINK-4296 - Y-Coordinate,STARLINK-31398 - Y-Coordinate,STARLINK-6097 - Y-Coordinate,STARLINK-4483 - Y-Coordinate,STARLINK-31500 - Y-Coordinate,STARLINK-5043 - Y-Coordinate,STARLINK-1488 - Y-Coordinate,STARLINK-1206 - Y-Coordinate,STARLINK-30131 - Y-Coordinate,STARLINK-30926 - Y-Coordinate,STARLINK-1978 - Y-Coordinate,STARLINK-31315 - Y-Coordinate,STARLINK-4577 - Y-Coordinate,STARLINK-31165 - Y-Coordinate,STARLINK-3362 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4674 - Z-Coordinate,STARLINK-4352 - Z-Coordinate,STARLINK-4203 - Z-Coordinate,STARLINK-5196 - Z-Coordinate,STARLINK-4119 - Z-Coordinate,STARLINK-30391 - Z-Coordinate,STARLINK-31323 - Z-Coordinate,STARLINK-4692 - Z-Coordinate,STARLINK-30971 - Z-Coordinate,STARLINK-2352 - Z-Coordinate,STARLINK-30345 - Z-Coordinate,STARLINK-31203 - Z-Coordinate,STARLINK-31334 - Z-Coordinate,STARLINK-31740 - Z-Coordinate,STARLINK-2615 - Z-Coordinate,STARLINK-31761 - Z-Coordinate,STARLINK-5447 - Z-Coordinate,STARLINK-30873 - Z-Coordinate,STARLINK-1656 - Z-Coordinate,STARLINK-1376 - Z-Coordinate,STARLINK-31632 - Z-Coordinate,STARLINK-2110 - Z-Coordinate,STARLINK-30071 - Z-Coordinate,STARLINK-4259 - Z-Coordinate,STARLINK-30801 - Z-Coordinate,STARLINK-30283 - Z-Coordinate,STARLINK-3876 - Z-Coordinate,STARLINK-1369 - Z-Coordinate,STARLINK-30941 - Z-Coordinate,STARLINK-1729 - Z-Coordinate,STARLINK-2429 - Z-Coordinate,STARLINK-30703 - Z-Coordinate,STARLINK-30960 - Z-Coordinate,STARLINK-1953 - Z-Coordinate,STARLINK-31836 - Z-Coordinate,STARLINK-11086 [DTC] - Z-Coordinate,STARLINK-30273 - Z-Coordinate,STARLINK-31543 - Z-Coordinate,STARLINK-11244 [DTC] - Z-Coordinate,STARLINK-30250 - Z-Coordinate,STARLINK-30036 - Z-Coordinate,STARLINK-4542 - Z-Coordinate,STARLINK-31731 - Z-Coordinate,STARLINK-31689 - Z-Coordinate,STARLINK-5841 - Z-Coordinate,STARLINK-4354 - Z-Coordinate,STARLINK-4108 - Z-Coordinate,STARLINK-30767 - Z-Coordinate,STARLINK-5338 - Z-Coordinate,STARLINK-31625 - Z-Coordinate,STARLINK-31484 - Z-Coordinate,STARLINK-4210 - Z-Coordinate,STARLINK-32039 - Z-Coordinate,STARLINK-5199 - Z-Coordinate,STARLINK-3112 - Z-Coordinate,STARLINK-2008 - Z-Coordinate,STARLINK-31955 - Z-Coordinate,STARLINK-30255 - Z-Coordinate,STARLINK-2450 - Z-Coordinate,STARLINK-3646 - Z-Coordinate,STARLINK-1653 - Z-Coordinate,STARLINK-2549 - Z-Coordinate,STARLINK-31463 - Z-Coordinate,STARLINK-5595 - Z-Coordinate,STARLINK-6052 - Z-Coordinate,STARLINK-31018 - Z-Coordinate,STARLINK-1699 - Z-Coordinate,STARLINK-31608 - Z-Coordinate,STARLINK-30583 - Z-Coordinate,STARLINK-2236 - Z-Coordinate,STARLINK-1130 (DARKSAT) - Z-Coordinate,STARLINK-30827 - Z-Coordinate,STARLINK-3522 - Z-Coordinate,STARLINK-5411 - Z-Coordinate,STARLINK-3293 - Z-Coordinate,STARLINK-2477 - Z-Coordinate,STARLINK-4013 - Z-Coordinate,STARLINK-32267 - Z-Coordinate,STARLINK-6317 - Z-Coordinate,STARLINK-1166 - Z-Coordinate,STARLINK-4664 - Z-Coordinate,STARLINK-5780 - Z-Coordinate,STARLINK-4673 - Z-Coordinate,STARLINK-31251 - Z-Coordinate,STARLINK-32287 - Z-Coordinate,STARLINK-4296 - Z-Coordinate,STARLINK-31398 - Z-Coordinate,STARLINK-6097 - Z-Coordinate,STARLINK-4483 - Z-Coordinate,STARLINK-31500 - Z-Coordinate,STARLINK-5043 - Z-Coordinate,STARLINK-1488 - Z-Coordinate,STARLINK-1206 - Z-Coordinate,STARLINK-30131 - Z-Coordinate,STARLINK-30926 - Z-Coordinate,STARLINK-1978 - Z-Coordinate,STARLINK-31315 - Z-Coordinate,STARLINK-4577 - Z-Coordinate,STARLINK-31165 - Z-Coordinate,STARLINK-3362 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5773.8860,-4819.6132,2785.9632,-2888.5543,1264.1849,4322.9774,-6756.8871,474.1343,-799.5367,3774.7125,-6451.5576,-3516.5709,-747.5512,-2045.6297,-4948.5198,0.0000,3384.3908,-6767.1747,-5783.0865,-6392.3724,-2643.5181,1150.9764,5782.4361,-4268.1975,-5097.0382,-5347.8472,6620.9954,5573.7636,1135.2729,-4743.1117,40.1926,3992.1436,-6453.3672,1966.5890,-3666.0761,-4271.1779,4405.0042,-1237.7787,-372.1274,-2628.0925,-3969.3979,-3632.7838,3728.2273,-4779.8140,-2636.4358,2973.0020,6594.6550,3293.3487,-3019.2665,6407.5513,6458.3505,3992.3603,-2980.9099,-6794.3547,4768.4367,2026.0906,0.0000,6345.0578,-1162.6895,4016.0739,-2093.9459,3182.5605,4101.3510,-2588.2988,3141.0963,5455.5306,0.0000,-5327.1595,3384.7436,363.3470,-4244.2907,2348.9454,-4971.7510,1397.2883,3778.8238,-5129.6652,-5091.8572,-5122.3242,5206.0446,2068.0549,-4815.9662,-1374.4681,1510.8588,-2614.4213,3715.9000,-2712.5733,5019.1849,-3752.0257,-484.1121,5031.0583,5805.1086,0.0000,6369.5360,4889.3778,4932.5005,108.4828,-911.0740,4281.7105,-6298.3218,5069.9572,154225.7530,175137.6486,155590.2191,159797.8065,168229.4447,165374.9383,160648.1690,160736.9079,-290027271.6884,-289996838.9434,-289993180.3078,-290014772.0845,160834.1936,-290011734.6994,-149.2747,-2962.0905,3082.0119,3100.2600,-4090.9756,5401.6442,-718.8034,6524.3790,-5159.1303,-3009.5919,1292.1377,-3717.2673,-5431.5654,5275.2669,424.3013,0.0000,-3116.2381,850.5400,3532.2521,-1792.1097,4873.8144,-5667.9450,-2135.8670,2476.7677,3146.4263,-422.8212,-1626.9821,-785.5230,-5222.5539,4717.0329,-4944.1448,-1004.8413,2551.5322,3714.2512,2688.9661,1067.5665,1052.2418,6264.8500,4625.9048,-5038.0093,-5332.3022,5826.7044,-3703.6376,3890.6769,-5618.7620,-603.6809,-1619.9622,5480.2143,603.6576,-2218.8926,-2173.9449,3805.2803,5081.6926,1186.3045,-3308.3878,-5441.1167,0.0000,2435.0119,-5564.3445,3146.6773,5137.3805,3451.9658,3008.3360,-3078.7021,3208.9687,-8.2813,0.0000,3664.8190,-3841.8058,4358.8092,120.6329,-5019.8109,-2115.5193,4877.5586,2169.3458,-2544.4048,1436.3864,-194.3468,2474.6028,3687.7669,-411.6953,6733.1804,3948.6468,-4677.6032,-5422.0636,-3253.9561,-175.3360,3401.3864,-4321.8648,-1867.2447,2640.9275,0.0000,-1034.8206,3878.5018,-1406.7558,-5188.7066,5734.8990,-2413.4289,1614.2747,-2997.2339,-360184.6450,-336580.7944,-352220.3022,-354788.0636,-352698.6132,-351045.3122,-346401.2349,-351970.5607,182353686.1379,182392705.0122,182366222.3059,182342066.3373,-350205.2676,182348370.1489,3857.9105,3994.7763,5455.1168,5455.3533,5427.4899,190.3734,-535.7703,2240.7265,4437.4356,4865.6409,-2180.7314,-4446.1235,-4118.4892,-3759.8606,-4749.4655,0.0000,-5110.8489,1211.7923,1327.0040,1592.4409,3975.7630,3509.9483,3019.6870,-4800.9249,3304.7804,-4299.0980,-1395.6545,-3843.9005,-4405.1874,-1775.5379,4786.1018,5439.0993,-453.9927,-5318.7172,-5100.7968,5091.7484,-5126.0870,-2384.4131,-4744.5443,3938.1968,1887.5848,-244.6128,4384.3618,2854.2101,-3061.6229,6237.2386,1150.2182,2578.6064,-6217.4679,388.3207,-602.1595,4188.4030,3428.0996,253.5825,-3743.0919,-3581.2667,0.0000,1559.8571,3868.8041,4697.9279,-3940.9772,5040.9410,4587.8963,5656.9411,5217.6563,3892.5860,0.0000,2128.1481,-4662.7762,5227.7255,-5037.0395,-4075.0406,4249.4712,4696.4405,-5359.1470,3233.8887,4373.8857,4491.5873,3827.9568,5031.6446,4926.8596,448.4778,-5434.7464,4215.0130,-1707.9099,-5391.7138,4597.5318,-4706.0035,-5325.4816,-4188.4851,2647.4510,0.0000,2439.1738,-2959.7028,-4656.0071,-4587.6865,3564.3032,-4666.1234,-1647.4872,-3654.0566,19746.2121,13283.9575,19075.2388,16555.4034,22100.4258,15723.4295,7830.6607,16127.0037,102893122.0413,102879301.9493,102885528.1804,102883707.8962,16591.4019,102880967.9144,
3600.000,-6658.9410,183.3760,-6083.4267,-1807.3808,1954.5213,-5229.5390,5405.2750,-1997.4690,4482.2989,633.8461,5808.5286,6513.4575,4445.6242,-2341.5242,5927.8961,0.0000,957.3458,5798.9200,2813.9695,4433.1405,-101.3558,2820.8099,-4987.4531,3956.7900,3791.2394,6612.1889,-4164.7101,-1901.3355,2049.2853,1610.8704,3759.2763,-2241.1577,4691.2455,-5479.0028,-642.5785,930.6167,-3342.1738,-1472.5259,-3217.8125,4925.8706,5548.5406,1297.3533,414.6993,414.2682,2263.3453,2148.4610,-5315.9190,-5345.6452,5220.3096,-4039.2996,-4515.2360,-4169.0419,-1334.6209,4780.6807,-4307.5329,-188.3899,0.0000,-5518.1609,3375.0726,-4213.1059,-2359.7172,-4641.9286,-5707.7642,2471.8375,-5412.4907,-2793.7908,0.0000,3887.1690,190.9876,-4134.6327,4703.6407,384.2854,3634.2283,-5042.2314,-4620.5773,6175.4441,5529.5858,2316.7005,-4887.3585,-6190.4893,2840.3322,-1398.8260,-5178.7275,4239.4801,-1643.1824,6169.9697,-3802.4950,631.8119,4594.9455,-4047.5077,-6576.8042,0.0000,-6073.1212,-5056.1386,-2960.5493,3381.5222,-1107.0656,-3757.5523,2682.7101,-1219.0718,240555.8376,254443.3923,237946.6201,241609.3982,251495.4145,244580.3304,244079.6999,243432.1766,-327355378.0807,-327336921.9931,-327328049.1413,-327335422.8679,243639.4356,-327340216.0835,1993.0080,1374.2203,-671.2994,-2181.4094,5937.4514,-2821.8500,-1350.5742,-6273.9171,4878.5086,4568.4598,-3463.1616,940.0596,2874.6495,-3385.0555,-3309.4726,0.0000,4710.6697,-2904.3958,-4053.9177,-1178.0082,-6800.2126,2969.0131,4667.2348,-5508.8581,-5685.2958,-1858.9321,2871.1868,3675.7628,6359.5782,-4488.8291,2471.7849,5225.5861,-4150.2160,-248.1275,-4872.3399,-5078.1822,3622.5243,-6441.9688,-5797.4276,1596.3561,3684.5037,-5444.4480,5514.5705,-4957.0326,1900.1582,-1368.4088,2963.8292,-4202.2767,-3484.7162,4237.2459,3450.7480,340.4347,-3870.1450,-2617.7376,5374.1917,6742.7303,0.0000,466.8582,5989.0328,1075.1069,-3433.9721,814.3806,1111.1030,-1566.8010,-4214.6755,4498.3849,0.0000,-4935.0398,5809.3245,-5009.3818,-4523.0990,6799.5143,-2129.4412,-3714.2789,2181.3008,48.2930,-4059.4093,-3723.9667,1597.8101,-2045.7586,-3557.5313,-5584.2168,-1407.8620,219.9855,5814.6290,1285.0634,4555.3360,-5979.8679,2305.8920,5381.0962,-1219.5234,0.0000,2627.2852,33.7029,4977.3597,2684.6213,-6653.2486,5611.8146,-4205.6147,3970.4973,-311828.6029,-282429.5365,-299067.7800,-299234.4072,-300846.0377,-299624.4155,-294963.6940,-297103.1593,100992199.3586,101033152.5393,101009014.6140,100985389.8350,-298717.9327,100986044.7443,69.2997,-6797.2323,-3117.2675,-6313.7652,-2979.5960,-3555.0832,-3932.7068,2111.5954,-1778.8989,-5085.1547,-1515.5712,1603.0077,4345.5741,5388.8833,1024.2301,0.0000,4900.3558,2431.4344,-4836.1592,-5063.6565,-627.2565,-5395.6068,708.5104,1150.4030,398.7309,235.4999,4765.1953,5402.0352,1797.2569,5004.4690,-5221.0295,-3786.7572,-3020.7993,3967.3498,4730.6282,-4337.4492,4727.8252,-1668.0683,179.9468,-4594.9989,1843.7406,-3991.4786,-4043.2867,-4634.7249,6246.7650,-6463.7316,3216.4338,1149.9065,2929.8556,3435.7253,-3815.4151,-5534.1356,-5460.8280,-4241.4228,-467.5105,-998.9881,0.0000,-4245.4396,321.5584,-5419.1162,5366.2155,-5040.1915,-3628.9604,-6308.1807,-717.4561,-4122.1694,0.0000,2617.3389,3747.4150,-2099.5309,868.3004,938.2881,-5446.0606,-2953.2547,4629.8344,2264.2686,-392.3497,-5231.8451,-4644.0952,-894.4862,-5204.3706,-3786.2881,4296.5184,-5347.4997,-3103.9437,2680.3282,-3355.9369,3394.6552,4547.9907,970.3905,1720.4461,0.0000,1958.1438,4692.0813,3783.9342,5401.5039,989.3918,509.6259,4471.7198,5532.4281,21290.2436,14448.1561,20265.2527,16526.1330,23482.4843,20178.3362,8920.0708,18654.6802,102838975.7986,102822610.2382,102827668.2626,102832940.5569,17985.2227,102826744.0721,
7200.000,4798.9351,2938.8261,6624.1681,5667.0016,-3638.3708,4935.6904,-1454.1483,3305.2346,-5893.3320,-4023.6818,-2838.8102,-5995.4062,-6686.2613,6091.3833,-4176.7739,0.0000,-4069.2901,-2570.0978,1619.5795,-1170.0864,2642.9235,-6147.0796,1846.0048,-2077.9380,-602.5975,-4651.1503,275.5255,-1719.8655,-4027.5090,2715.1568,-6523.8997,489.1970,-1115.2100,6382.0079,3676.1344,1715.8486,2057.6166,3890.1861,4173.6309,-6247.3173,-5305.9364,2540.1916,-3751.0495,4032.5948,-2907.7278,-6319.4429,1412.1994,5429.4817,-5417.2436,-593.3358,50.7851,4205.7745,5488.2774,-733.0689,1782.5666,-2052.2825,0.0000,3611.2595,-4077.2305,4238.2430,6095.2478,5326.5292,5473.0310,-3267.4978,4472.5050,-520.6099,0.0000,229.1423,-2995.4562,5262.6577,-1399.8237,-2677.8844,-2175.4004,6640.9099,4684.4031,-2150.3776,-3303.9209,311.5137,3860.9895,4907.3839,-1061.9155,4427.3775,6853.7023,-5166.0019,-2185.6908,-6564.1400,1602.1696,1961.2396,-6813.3900,1242.7136,4573.8103,0.0000,2871.7647,4414.2001,812.9969,-6272.2757,2865.9183,1129.0482,2234.8066,-2798.0131,312445.9276,317705.0773,305052.3765,310498.3966,318970.6842,307154.4541,311896.5593,311330.2641,-342330523.5748,-342323912.0345,-342310915.6968,-342310847.6847,310889.6639,-342315204.6834,-3070.8506,3055.7467,-1148.9182,2314.6729,-5735.8349,-1188.3624,3884.7838,3192.9794,-2777.3015,-5273.3799,4657.4265,1869.2363,-57.2796,1188.3471,4272.0559,0.0000,-5366.1292,4497.6190,4188.5016,4736.1928,5421.7445,67.2976,-5298.0198,5695.8376,5642.8216,3130.7531,-4360.3063,-5937.1056,-5294.5344,3746.5171,-258.6676,-6777.0294,4979.0458,-2192.9558,5687.3392,6514.9417,-6456.4669,3403.2598,2405.1385,1783.3598,-243.4194,3270.4789,-5672.9295,4725.7508,2839.7953,114.4213,-3927.2406,963.7820,3788.8670,-5012.6982,-4120.5300,-4243.7167,2223.5085,4123.8319,-5048.0472,-4375.9450,0.0000,-3853.9261,-3476.9671,-4662.6635,1463.6656,-4015.5232,-4121.0056,5189.5133,3021.1880,-6663.7483,0.0000,4174.1402,-6218.6600,3467.5516,4827.7233,-5667.5231,5808.9979,1838.6419,-4980.4184,3325.4713,4608.5140,6502.7201,-5131.5680,-1052.5872,6473.4812,2578.6090,-534.3263,3708.4592,-3437.5556,463.9845,-6608.0282,6625.1853,-568.3015,-5982.8475,-1272.0025,0.0000,-3632.8426,-4058.0102,-6851.1470,-411.7792,3882.0191,-5311.8157,5451.7812,-4876.7274,-242727.1438,-210115.4786,-226846.2493,-224280.2810,-229655.9422,-229020.7695,-224044.9012,-229578.3859,12740901.5914,12780452.0124,12758959.7620,12742179.0158,-228074.4181,12733825.7973,-3991.1953,5473.5902,-1401.0651,3201.7441,-1341.8816,4694.8232,5398.8934,-5177.1285,-2148.1588,1743.3936,4263.8898,2534.1322,-1514.1815,-2760.1836,3378.5032,0.0000,-1374.6048,-4607.9394,5235.9726,4767.9236,-3203.5174,2825.9269,-3967.1983,3242.6731,-3834.0686,3963.1284,-5420.8560,-2872.7450,1905.1810,-5151.3098,2182.8565,-689.8117,4712.2625,595.2749,-883.2127,-210.4967,-901.4236,4432.1434,4550.4665,2369.7204,-4430.2257,5471.4402,797.9998,2745.1012,-5607.7193,2870.7260,-5486.5206,-4148.8656,2086.5033,-4550.3868,5451.1639,3505.3849,3378.6554,5475.0099,4346.3149,4799.6210,0.0000,4542.4069,-4322.9595,2906.6433,-2647.7237,1737.2463,88.6400,3254.3515,-4291.6943,550.3912,0.0000,-5381.1917,-522.6877,-2621.3122,4242.8846,2816.9104,2967.8178,-646.0680,-950.4052,-5260.4038,-3886.9955,2034.3199,2580.5248,-4260.2464,2162.4726,4592.7702,-304.9504,2468.4125,5421.0735,1902.2566,-457.6749,56.9195,-689.5019,2984.5939,-5025.7261,0.0000,-5123.7348,-3429.5264,-589.7782,-2910.6964,-4823.6221,4038.2387,-3207.5725,-4052.8394,22752.9994,15639.3906,20842.5375,19944.1094,24492.4294,19227.6878,10618.5196,18432.7027,102784021.0330,102765923.6311,102769763.3979,102775856.3490,19377.3568,102772503.8599,
