sl_5_86400_20300210 Coordinates.csv
2030/02/10 07:47:00.0000 UTC

Generated: Tue Oct  8 21:12:02 2024,
Start: 2030/02/10 07:47:00.00, Stop: 2030/02/11 07:47:00.00,
TIME_UNITS,STARLINK-6060 - X-Coordinate,STARLINK-2330 - X-Coordinate,STARLINK-11119 [DTC] - X-Coordinate,STARLINK-1681 - X-Coordinate,STARLINK-30098 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6060 - Y-Coordinate,STARLINK-2330 - Y-Coordinate,STARLINK-11119 [DTC] - Y-Coordinate,STARLINK-1681 - Y-Coordinate,STARLINK-30098 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6060 - Z-Coordinate,STARLINK-2330 - Z-Coordinate,STARLINK-11119 [DTC] - Z-Coordinate,STARLINK-1681 - Z-Coordinate,STARLINK-30098 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-454.4012,5732.7466,0.0000,-3087.1733,4841.0765,334610.5969,306783.0580,331545.3172,329221.8753,320833.3624,322283.0430,324331.2687,327184.2007,3623633.7160,3636074.7008,3653935.1382,3636441.9899,325878.9793,3641144.9530,-3912.0404,-3694.3825,0.0000,-3293.6036,-4872.5227,208588.3005,187654.8216,193724.5536,197102.7485,198870.7459,196543.7122,189867.2805,194394.2574,331266963.3916,331253490.3376,331262668.9036,331254495.1664,193213.7183,331262379.9724,-5743.3033,-428.9535,0.0000,-5022.8183,889.4768,142853.9245,138524.6973,143449.6062,141750.1779,146772.7694,139503.5666,132436.0763,141194.7439,-35604706.9086,-35572029.4213,-35603151.7990,-35603679.4158,141134.2790,-35595234.3474,
3600.000,2957.9604,-3391.2602,0.0000,4760.9187,-2677.6282,270294.1890,249577.4892,272336.7682,269323.1772,261264.5192,265482.8184,264795.6526,265749.2384,-82305654.5369,-82294585.1176,-82276176.5874,-82286659.7009,266826.5933,-82289145.4200,67.8906,4426.0165,0.0000,-1621.8308,5778.6013,285284.2435,259000.1740,267386.7104,269081.8317,274215.9307,270379.6115,265737.6551,267131.8075,320935050.1100,320916540.8016,320937207.1665,320922798.8975,268596.0801,320930509.8144,6287.9829,-3954.3591,0.0000,4491.7802,2716.3537,143191.8858,138936.9062,144215.6858,140469.4888,147573.6903,143578.7526,132635.6879,141966.3555,-35533306.0197,-35498851.0530,-35523985.5409,-35532860.1532,141785.7732,-35522160.8259,
7200.000,-5651.3161,-1192.4900,0.0000,-4788.6768,-964.9477,189008.5125,176324.1905,195922.0295,189855.7890,184814.2650,193986.3936,188113.5059,191565.4178,-162634102.4526,-162621701.8317,-162609599.7836,-162610487.5064,190808.8513,-162618417.7546,2400.6419,-3983.9855,0.0000,4754.5911,-5027.8302,342853.1802,313722.6731,323889.2215,323491.6975,332049.9216,325836.1913,324037.3195,328231.6365,288696899.4499,288672709.1156,288703229.5639,288689043.6732,326717.6394,288691893.7883,-3285.6948,5411.8896,0.0000,-158.2042,-4671.0432,143500.7172,139360.6693,144319.2544,142276.4268,147970.5242,143106.8962,133444.7971,141921.4332,-35461164.1757,-35426265.0223,-35444489.6326,-35459574.5435,142425.9669,-35449068.1361,
10800.000,6174.7743,5297.0366,0.0000,1805.7696,4693.0912,96306.2739,91678.1197,107155.7042,99282.5799,96483.0301,107264.0806,99348.4223,102276.5481,-231878096.8623,-231861548.9189,-231860441.4132,-231853958.7406,102705.9556,-231862830.4793,-2767.7275,3184.7278,0.0000,-4854.3181,3444.9392,377719.9631,348358.6445,359742.7732,359997.8988,368755.1646,362340.7607,361032.5387,362270.4932,236748810.4042,236719438.4523,236755061.6463,236747163.3129,363890.9731,236742985.9552,-1630.7576,-2919.3703,0.0000,-4333.2972,3744.9424,143782.4137,139798.6069,143904.0757,145348.7098,147974.5810,140061.8439,134860.5658,143764.0553,-35388219.8243,-35354132.3757,-35365679.1362,-35383893.4500,143054.8098,-35375956.3047,
14400.000,-3476.1187,-6412.7926,0.0000,3063.1203,-6738.6468,-1554.2126,1002.4658,11627.6136,3469.6224,2054.8522,12690.1177,4353.0673,8341.6520,-285309514.0477,-285286338.6870,-285297642.9831,-285289509.8105,8162.3611,-285294138.1450,2275.4793,-1597.6874,0.0000,3150.7157,-1515.4601,387891.4267,360710.5718,372718.2769,373589.7675,382078.7000,376342.4721,374467.6555,379222.4486,168632704.7334,168599760.4684,168634643.4893,168635301.8143,377772.2573,168625955.8552,5573.4676,-1740.7445,0.0000,5113.5441,-535.5579,144039.8316,140253.8782,143249.8954,147660.3215,147577.7482,137938.5929,136914.3752,142665.0024,-35314462.1457,-35282347.8578,-35288191.9503,-35306046.8396,143672.2522,-35302825.3580,
18000.000,-1083.4970,4339.7517,0.0000,-6463.7075,6172.8715,-98046.3338,-89967.8008,-84636.7418,-92138.0778,-92231.3971,-82782.3774,-90629.7527,-86677.6062,-319278549.9917,-319247004.7652,-319269258.4405,-319264757.5114,-86774.9300,-319262553.5790,-2581.7875,-1330.6198,0.0000,-1165.5334,-884.5140,373085.1759,349981.2555,361971.7092,362934.0192,371277.4028,366166.9275,363757.1828,366119.7103,88994666.9513,88960673.2357,88989669.4770,88995137.6768,367508.7061,88987163.5557,-6377.3938,5097.8109,0.0000,-1562.8205,-3021.5100,144277.6664,140730.3996,142697.4562,149339.8162,146754.8926,136690.7705,139676.4732,145435.7854,-35239931.7550,-35210831.1088,-35212211.5442,-35227025.1256,144278.2451,-35229675.3226,
21600.000,4683.4375,-1039.8454,0.0000,5773.3467,-3535.0426,-186828.9883,-175484.8258,-175509.6962,-181678.7566,-179945.9866,-172690.1057,-179357.3447,-176179.8302,-331463035.7557,-331422416.4092,-331452332.5743,-331450171.8060,-176043.1327,-331446058.8482,3747.2880,4820.2292,0.0000,-1043.8642,3640.7714,334748.3988,316820.5077,328126.3950,328720.7122,337116.6186,332256.9000,330180.4122,334906.6524,3268081.3325,3236142.2089,3255750.6627,3258877.5114,333790.5492,3260224.4419,3518.2556,-4734.9195,0.0000,-3342.7219,4705.9456,144504.8071,141233.1673,142557.1669,150511.1622,145487.8371,136174.4397,143242.9370,143485.4275,-35164718.0733,-35139519.9181,-35137645.9432,-35150622.3963,144872.7404,-35156506.2250,
25200.000,-5424.2554,-1557.5895,0.0000,-1727.4025,302.9806,-262189.7806,-250147.0953,-255138.1740,-259546.9676,-254446.0144,-251083.5160,-255727.9295,-253671.5223,-321027206.7209,-320978002.7601,-321011545.3910,-321006261.6192,-253950.7652,-321009134.9270,-4158.8256,-6593.8433,0.0000,3679.5651,-5963.2566,275982.5971,263281.6560,273289.4102,273218.2082,281298.4181,276785.3907,277454.0451,277809.1838,-82697034.3344,-82723656.2593,-82715042.5728,-82712399.7788,278804.4132,-82704717.6001,1308.1583,875.5350,0.0000,5378.5253,-3517.1803,144741.1682,141768.7621,143025.9003,151243.3426,144139.0438,136305.6896,147249.3133,146928.3870,-35088953.5389,-35068365.3328,-35064298.2461,-35081113.5480,145455.6904,-35083318.0917,
28800.000,3788.5312,3031.9611,0.0000,-2468.2430,2330.8530,-319472.5539,-309237.0681,-318348.3264,-320847.0701,-312309.9640,-312848.1869,-314672.2415,-315645.6846,-288679064.7450,-288622945.5683,-288656183.1228,-288651107.2281,-315540.3492,-288660059.4910,2154.9524,4944.6878,0.0000,-5597.4709,6521.0155,201445.5727,192690.6404,200966.6675,200073.7335,205151.2482,203407.1151,209273.2792,206901.5214,-163033219.9774,-163051555.1192,-163053827.4413,-163044652.6960,206091.2690,-163040214.4616,-5431.0412,3603.2726,0.0000,-2858.2145,152.5714,145044.3495,142346.1849,144134.2195,151571.1666,145878.3521,137046.1328,146707.0033,144425.6305,-35012805.0317,-34997328.1648,-34991955.4811,-35014011.2615,146027.0485,-35010110.9492,
32400.000,-1831.1504,-4075.6510,0.0000,4417.0394,-4007.4565,-355794.5155,-349017.0428,-361033.9222,-361741.1941,-352995.9371,-354030.3847,-355372.9853,-356762.4474,-236622387.0496,-236562020.1260,-236591707.0543,-236593986.0426,-356903.6243,-236602843.5204,1917.9821,-576.6529,0.0000,4645.3633,-4589.5393,117635.3009,109435.7989,115851.6923,114074.3166,116911.1246,116972.7325,124883.0116,119566.6750,-232256054.2638,-232263839.2393,-232275579.7141,-232259630.7168,120318.1904,-232261991.7009,6423.2835,-5458.3610,0.0000,-2119.7783,3287.1715,145693.5883,142978.3419,145738.1741,151505.9498,148881.3354,138392.9419,143592.9907,148202.1112,-34936463.0672,-34926376.4931,-34920421.7021,-34945376.0347,146586.7684,-34936884.8240,
