sl_100_86400_20300227 Coordinates.csv
2030/02/27 07:47:00.0000 UTC

Generated: Tue Oct  8 21:53:04 2024,
Start: 2030/02/27 07:47:00.00, Stop: 2030/02/28 07:47:00.00,
TIME_UNITS,STARLINK-31821 - X-Coordinate,STARLINK-5991 - X-Coordinate,STARLINK-3530 - X-Coordinate,STARLINK-30177 - X-Coordinate,STARLINK-3863 - X-Coordinate,STARLINK-5662 - X-Coordinate,STARLINK-30760 - X-Coordinate,STARLINK-4463 - X-Coordinate,STARLINK-1816 - X-Coordinate,STARLINK-31859 - X-Coordinate,STARLINK-1994 - X-Coordinate,STARLINK-4616 - X-Coordinate,STARLINK-5838 - X-Coordinate,STARLINK-4304 - X-Coordinate,STARLINK-30481 - X-Coordinate,STARLINK-5025 - X-Coordinate,STARLINK-4264 - X-Coordinate,STARLINK-5742 - X-Coordinate,STARLINK-30396 - X-Coordinate,STARLINK-2606 - X-Coordinate,STARLINK-6375 - X-Coordinate,STARLINK-30410 - X-Coordinate,STARLINK-31099 - X-Coordinate,STARLINK-5338 - X-Coordinate,STARLINK-31213 - X-Coordinate,STARLINK-31187 - X-Coordinate,STARLINK-3232 - X-Coordinate,STARLINK-2393 - X-Coordinate,STARLINK-5285 - X-Coordinate,STARLINK-4749 - X-Coordinate,STARLINK-1954 - X-Coordinate,STARLINK-30524 - X-Coordinate,STARLINK-31045 - X-Coordinate,STARLINK-6339 - X-Coordinate,STARLINK-5086 - X-Coordinate,STARLINK-30614 - X-Coordinate,STARLINK-5735 - X-Coordinate,STARLINK-3800 - X-Coordinate,STARLINK-30169 - X-Coordinate,STARLINK-2605 - X-Coordinate,STARLINK-3505 - X-Coordinate,STARLINK-3969 - X-Coordinate,STARLINK-3344 - X-Coordinate,STARLINK-31835 - X-Coordinate,STARLINK-3176 - X-Coordinate,STARLINK-2405 - X-Coordinate,STARLINK-4351 - X-Coordinate,STARLINK-4311 - X-Coordinate,STARLINK-5379 - X-Coordinate,STARLINK-4044 - X-Coordinate,STARLINK-3839 - X-Coordinate,STARLINK-31274 - X-Coordinate,STARLINK-31996 - X-Coordinate,STARLINK-5422 - X-Coordinate,STARLINK-2050 - X-Coordinate,STARLINK-3692 - X-Coordinate,STARLINK-6178 - X-Coordinate,STARLINK-2189 - X-Coordinate,STARLINK-5552 - X-Coordinate,STARLINK-6138 - X-Coordinate,STARLINK-30542 - X-Coordinate,STARLINK-30881 - X-Coordinate,STARLINK-6183 - X-Coordinate,STARLINK-31340 - X-Coordinate,STARLINK-4578 - X-Coordinate,STARLINK-3964 - X-Coordinate,STARLINK-5342 - X-Coordinate,STARLINK-1544 - X-Coordinate,STARLINK-6077 - X-Coordinate,STARLINK-31967 - X-Coordinate,STARLINK-30936 - X-Coordinate,STARLINK-4600 - X-Coordinate,STARLINK-3250 - X-Coordinate,STARLINK-11224 [DTC] - X-Coordinate,STARLINK-1555 - X-Coordinate,STARLINK-3335 - X-Coordinate,STARLINK-31982 - X-Coordinate,STARLINK-11087 [DTC] - X-Coordinate,STARLINK-3706 - X-Coordinate,STARLINK-3401 - X-Coordinate,STARLINK-5534 - X-Coordinate,STARLINK-31230 - X-Coordinate,STARLINK-3276 - X-Coordinate,STARLINK-31193 - X-Coordinate,STARLINK-3321 - X-Coordinate,STARLINK-3375 - X-Coordinate,STARLINK-31548 - X-Coordinate,STARLINK-3125 - X-Coordinate,STARLINK-4541 - X-Coordinate,STARLINK-6286 - X-Coordinate,STARLINK-3999 - X-Coordinate,STARLINK-1280 - X-Coordinate,STARLINK-6363 - X-Coordinate,STARLINK-30201 - X-Coordinate,STARLINK-4606 - X-Coordinate,STARLINK-31610 - X-Coordinate,STARLINK-31566 - X-Coordinate,STARLINK-3233 - X-Coordinate,STARLINK-31547 - X-Coordinate,STARLINK-2498 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31821 - Y-Coordinate,STARLINK-5991 - Y-Coordinate,STARLINK-3530 - Y-Coordinate,STARLINK-30177 - Y-Coordinate,STARLINK-3863 - Y-Coordinate,STARLINK-5662 - Y-Coordinate,STARLINK-30760 - Y-Coordinate,STARLINK-4463 - Y-Coordinate,STARLINK-1816 - Y-Coordinate,STARLINK-31859 - Y-Coordinate,STARLINK-1994 - Y-Coordinate,STARLINK-4616 - Y-Coordinate,STARLINK-5838 - Y-Coordinate,STARLINK-4304 - Y-Coordinate,STARLINK-30481 - Y-Coordinate,STARLINK-5025 - Y-Coordinate,STARLINK-4264 - Y-Coordinate,STARLINK-5742 - Y-Coordinate,STARLINK-30396 - Y-Coordinate,STARLINK-2606 - Y-Coordinate,STARLINK-6375 - Y-Coordinate,STARLINK-30410 - Y-Coordinate,STARLINK-31099 - Y-Coordinate,STARLINK-5338 - Y-Coordinate,STARLINK-31213 - Y-Coordinate,STARLINK-31187 - Y-Coordinate,STARLINK-3232 - Y-Coordinate,STARLINK-2393 - Y-Coordinate,STARLINK-5285 - Y-Coordinate,STARLINK-4749 - Y-Coordinate,STARLINK-1954 - Y-Coordinate,STARLINK-30524 - Y-Coordinate,STARLINK-31045 - Y-Coordinate,STARLINK-6339 - Y-Coordinate,STARLINK-5086 - Y-Coordinate,STARLINK-30614 - Y-Coordinate,STARLINK-5735 - Y-Coordinate,STARLINK-3800 - Y-Coordinate,STARLINK-30169 - Y-Coordinate,STARLINK-2605 - Y-Coordinate,STARLINK-3505 - Y-Coordinate,STARLINK-3969 - Y-Coordinate,STARLINK-3344 - Y-Coordinate,STARLINK-31835 - Y-Coordinate,STARLINK-3176 - Y-Coordinate,STARLINK-2405 - Y-Coordinate,STARLINK-4351 - Y-Coordinate,STARLINK-4311 - Y-Coordinate,STARLINK-5379 - Y-Coordinate,STARLINK-4044 - Y-Coordinate,STARLINK-3839 - Y-Coordinate,STARLINK-31274 - Y-Coordinate,STARLINK-31996 - Y-Coordinate,STARLINK-5422 - Y-Coordinate,STARLINK-2050 - Y-Coordinate,STARLINK-3692 - Y-Coordinate,STARLINK-6178 - Y-Coordinate,STARLINK-2189 - Y-Coordinate,STARLINK-5552 - Y-Coordinate,STARLINK-6138 - Y-Coordinate,STARLINK-30542 - Y-Coordinate,STARLINK-30881 - Y-Coordinate,STARLINK-6183 - Y-Coordinate,STARLINK-31340 - Y-Coordinate,STARLINK-4578 - Y-Coordinate,STARLINK-3964 - Y-Coordinate,STARLINK-5342 - Y-Coordinate,STARLINK-1544 - Y-Coordinate,STARLINK-6077 - Y-Coordinate,STARLINK-31967 - Y-Coordinate,STARLINK-30936 - Y-Coordinate,STARLINK-4600 - Y-Coordinate,STARLINK-3250 - Y-Coordinate,STARLINK-11224 [DTC] - Y-Coordinate,STARLINK-1555 - Y-Coordinate,STARLINK-3335 - Y-Coordinate,STARLINK-31982 - Y-Coordinate,STARLINK-11087 [DTC] - Y-Coordinate,STARLINK-3706 - Y-Coordinate,STARLINK-3401 - Y-Coordinate,STARLINK-5534 - Y-Coordinate,STARLINK-31230 - Y-Coordinate,STARLINK-3276 - Y-Coordinate,STARLINK-31193 - Y-Coordinate,STARLINK-3321 - Y-Coordinate,STARLINK-3375 - Y-Coordinate,STARLINK-31548 - Y-Coordinate,STARLINK-3125 - Y-Coordinate,STARLINK-4541 - Y-Coordinate,STARLINK-6286 - Y-Coordinate,STARLINK-3999 - Y-Coordinate,STARLINK-1280 - Y-Coordinate,STARLINK-6363 - Y-Coordinate,STARLINK-30201 - Y-Coordinate,STARLINK-4606 - Y-Coordinate,STARLINK-31610 - Y-Coordinate,STARLINK-31566 - Y-Coordinate,STARLINK-3233 - Y-Coordinate,STARLINK-31547 - Y-Coordinate,STARLINK-2498 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31821 - Z-Coordinate,STARLINK-5991 - Z-Coordinate,STARLINK-3530 - Z-Coordinate,STARLINK-30177 - Z-Coordinate,STARLINK-3863 - Z-Coordinate,STARLINK-5662 - Z-Coordinate,STARLINK-30760 - Z-Coordinate,STARLINK-4463 - Z-Coordinate,STARLINK-1816 - Z-Coordinate,STARLINK-31859 - Z-Coordinate,STARLINK-1994 - Z-Coordinate,STARLINK-4616 - Z-Coordinate,STARLINK-5838 - Z-Coordinate,STARLINK-4304 - Z-Coordinate,STARLINK-30481 - Z-Coordinate,STARLINK-5025 - Z-Coordinate,STARLINK-4264 - Z-Coordinate,STARLINK-5742 - Z-Coordinate,STARLINK-30396 - Z-Coordinate,STARLINK-2606 - Z-Coordinate,STARLINK-6375 - Z-Coordinate,STARLINK-30410 - Z-Coordinate,STARLINK-31099 - Z-Coordinate,STARLINK-5338 - Z-Coordinate,STARLINK-31213 - Z-Coordinate,STARLINK-31187 - Z-Coordinate,STARLINK-3232 - Z-Coordinate,STARLINK-2393 - Z-Coordinate,STARLINK-5285 - Z-Coordinate,STARLINK-4749 - Z-Coordinate,STARLINK-1954 - Z-Coordinate,STARLINK-30524 - Z-Coordinate,STARLINK-31045 - Z-Coordinate,STARLINK-6339 - Z-Coordinate,STARLINK-5086 - Z-Coordinate,STARLINK-30614 - Z-Coordinate,STARLINK-5735 - Z-Coordinate,STARLINK-3800 - Z-Coordinate,STARLINK-30169 - Z-Coordinate,STARLINK-2605 - Z-Coordinate,STARLINK-3505 - Z-Coordinate,STARLINK-3969 - Z-Coordinate,STARLINK-3344 - Z-Coordinate,STARLINK-31835 - Z-Coordinate,STARLINK-3176 - Z-Coordinate,STARLINK-2405 - Z-Coordinate,STARLINK-4351 - Z-Coordinate,STARLINK-4311 - Z-Coordinate,STARLINK-5379 - Z-Coordinate,STARLINK-4044 - Z-Coordinate,STARLINK-3839 - Z-Coordinate,STARLINK-31274 - Z-Coordinate,STARLINK-31996 - Z-Coordinate,STARLINK-5422 - Z-Coordinate,STARLINK-2050 - Z-Coordinate,STARLINK-3692 - Z-Coordinate,STARLINK-6178 - Z-Coordinate,STARLINK-2189 - Z-Coordinate,STARLINK-5552 - Z-Coordinate,STARLINK-6138 - Z-Coordinate,STARLINK-30542 - Z-Coordinate,STARLINK-30881 - Z-Coordinate,STARLINK-6183 - Z-Coordinate,STARLINK-31340 - Z-Coordinate,STARLINK-4578 - Z-Coordinate,STARLINK-3964 - Z-Coordinate,STARLINK-5342 - Z-Coordinate,STARLINK-1544 - Z-Coordinate,STARLINK-6077 - Z-Coordinate,STARLINK-31967 - Z-Coordinate,STARLINK-30936 - Z-Coordinate,STARLINK-4600 - Z-Coordinate,STARLINK-3250 - Z-Coordinate,STARLINK-11224 [DTC] - Z-Coordinate,STARLINK-1555 - Z-Coordinate,STARLINK-3335 - Z-Coordinate,STARLINK-31982 - Z-Coordinate,STARLINK-11087 [DTC] - Z-Coordinate,STARLINK-3706 - Z-Coordinate,STARLINK-3401 - Z-Coordinate,STARLINK-5534 - Z-Coordinate,STARLINK-31230 - Z-Coordinate,STARLINK-3276 - Z-Coordinate,STARLINK-31193 - Z-Coordinate,STARLINK-3321 - Z-Coordinate,STARLINK-3375 - Z-Coordinate,STARLINK-31548 - Z-Coordinate,STARLINK-3125 - Z-Coordinate,STARLINK-4541 - Z-Coordinate,STARLINK-6286 - Z-Coordinate,STARLINK-3999 - Z-Coordinate,STARLINK-1280 - Z-Coordinate,STARLINK-6363 - Z-Coordinate,STARLINK-30201 - Z-Coordinate,STARLINK-4606 - Z-Coordinate,STARLINK-31610 - Z-Coordinate,STARLINK-31566 - Z-Coordinate,STARLINK-3233 - Z-Coordinate,STARLINK-31547 - Z-Coordinate,STARLINK-2498 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3910.2976,3947.0026,-1051.4810,-6730.9700,-1851.6642,781.8581,2918.0677,3234.5224,-6310.8643,5211.7091,-2474.2315,6236.7540,-6389.3756,3968.2323,633.0011,3709.6289,-3076.9996,-4801.5200,1021.3135,-2980.0332,6281.9476,-1229.6304,-3141.9270,-3673.5270,994.4284,-291.0541,-2836.4698,6045.2559,2695.5128,0.0000,-4534.6570,5277.9017,5398.6384,5978.7689,818.9741,-1055.9823,4773.4496,-4592.6598,4457.6590,4008.9102,-811.8241,2909.6237,-4126.7034,-4958.6989,3657.1458,6364.7926,1956.7349,6391.9793,4111.7175,-3874.6352,-5075.5994,4584.7465,-1551.2632,-5910.2644,6637.4326,-3366.8544,607.8616,-5994.5703,5369.3446,5411.1337,0.0000,-5971.0693,-3664.2641,4957.6849,1186.0521,-3726.5017,4727.9963,-3882.3179,-4704.8517,2642.6016,5799.2909,-1307.5297,-502.8489,1857.7851,-4961.8732,-4583.5802,-1172.3706,2133.4079,2503.5228,-6794.0152,-4868.2675,0.0000,-676.7459,-4635.8336,6399.5857,3963.3699,559.5115,3860.2918,-4209.9229,4115.2299,730.7072,-4131.4787,-2161.3668,-6730.9763,261.9124,-2154.4861,-5092.9596,5505.1094,-2450.5751,4019.5871,-349198.0232,-362437.9590,-341911.3972,-345146.6589,-353699.1834,-351616.1578,-347746.4952,-346328.7876,-23904831.3616,-23945776.4042,-23942113.9395,-23909695.9477,-347220.8880,-23919745.2571,-5524.4962,3878.3916,-6613.2874,1224.5308,4756.4203,5131.3793,-4337.4400,-3672.4589,2713.5487,535.1360,-5337.3238,-2337.1036,-2261.6180,3603.3608,5039.4316,-1942.1134,2656.5851,1762.5473,4961.7819,5925.5279,1944.8471,4825.8267,3063.4156,-124.6410,-5775.9100,6343.6368,4041.6517,2343.1324,-4477.8432,0.0000,-4625.3873,-2122.3460,-2098.8752,2408.1445,6351.2232,6394.9319,-1745.6797,4508.3373,2379.3714,-2289.6802,-5427.4657,-2965.7124,1404.5376,-4020.9398,-1949.1697,258.7176,-2103.8133,2404.3842,-4707.4162,-4229.7472,1535.4938,4965.2769,3760.4225,-947.2048,-442.1939,2799.9381,6284.0322,-1707.1614,2970.7350,4026.0168,0.0000,-1867.7950,4019.5368,3608.3747,-6331.5908,2676.6839,4221.9972,-1472.9127,-2109.9423,3161.4284,2630.5105,-6465.8437,5183.6725,-5938.7459,-3176.8276,5157.7378,4058.9047,6347.2282,6065.8308,608.0492,-2731.0241,0.0000,-6828.5653,4362.1692,547.0439,514.0694,5461.7582,1654.1348,254.0121,-3386.0586,-4792.5151,688.0180,4625.1578,570.1307,5522.5501,-5502.8774,-796.9207,-2564.3067,5487.1818,-3501.9904,37363.1926,13849.7568,28232.4739,30868.6880,30183.2952,28336.8567,22555.5564,26295.0144,341160778.9709,341129056.0192,341154673.9102,341169997.9052,26211.8072,341168069.9610,-460.3116,4205.5637,1490.9904,-494.1686,4604.6486,-4373.5278,4486.5889,4872.5116,361.5778,4271.2265,-3538.0395,1600.8215,1394.1537,4313.4807,4681.1777,-5457.6411,5393.3767,4538.6188,4680.4162,1644.5654,2196.7365,4666.8788,-5352.4305,-5887.9688,-3447.8533,1950.6155,-4834.9871,-2180.0367,-4573.8972,0.0000,-2288.7748,-3874.9810,3702.9541,-2600.4408,-2531.2014,2096.5231,4707.0969,-2501.1874,4706.8779,4874.5413,-4180.9592,5488.8895,-5442.9176,2410.7009,-5515.7359,2390.4777,-6319.5048,1116.0355,2962.1845,3820.5651,-4406.6709,-117.1585,5244.2604,-3411.1537,-1661.0150,5297.4607,2855.9188,2893.3298,3211.6135,1564.3233,0.0000,-2972.5969,-4299.6966,-2668.0092,-2533.7107,-5168.0807,-2786.7213,-5475.7503,4633.5027,-5478.4537,-2613.0519,2052.7879,-4498.8158,2570.6517,-3591.0343,-579.7745,-5373.3700,-916.9044,2138.3491,-203.6797,-4123.2583,0.0000,766.5971,-1885.1702,-2543.6386,5337.9997,3980.1472,-5481.3993,-5451.9309,-4407.6723,4887.2211,-5418.4799,4681.2880,-1146.9026,-4133.9351,-3465.3484,4416.3522,3288.2604,3260.5429,4352.3986,-140180.9338,-141766.1302,-137559.4943,-139332.1146,-134266.4607,-141467.3287,-148600.2501,-141457.0405,-4473021.0267,-4486561.9536,-4483733.8263,-4490257.1759,-139895.1510,-4484928.9129,
3600.000,-406.2399,181.4839,2806.2560,4510.8948,-2531.9274,-4697.9680,1211.5955,-6224.8235,4307.0941,-3660.0474,4566.5908,-3010.4394,6526.1834,-4146.0006,-4516.6185,-2317.5411,169.9664,2106.1057,-4839.0735,1057.1230,-6775.9839,-3252.8742,1426.4488,6462.4436,2048.3769,-3592.6553,-1590.2675,-6350.6897,969.7043,0.0000,5610.9225,-1879.6798,-1497.7412,-3378.8437,-3265.5642,-841.9370,-3384.1490,1009.5293,-5921.6934,658.7693,3147.0859,-290.5309,1764.8195,5946.4949,-1879.5486,-3393.4123,-6160.8799,-4110.1197,-287.6534,5921.9337,5486.1308,-5347.5974,-3819.7025,6769.2610,-3897.0153,-549.8181,-2973.8767,6690.1542,-909.5412,-6291.0177,0.0000,6886.3163,-243.7996,-6408.1749,370.7811,-184.2521,-5073.5948,4903.8608,6348.3403,-5744.2683,-4240.1249,2944.1149,-1865.4945,2042.4952,4060.5529,2095.1198,-3523.8359,-3510.2138,-3579.0315,4656.9952,2370.0429,0.0000,2318.0883,1580.1877,-6556.2754,-4003.0080,-4069.7260,-5875.8555,2978.7139,-2275.0504,1870.8981,3939.9051,-1717.3109,4410.1634,-3320.3970,4680.2134,4123.7166,-1765.2971,-70.9421,-3327.5516,-348174.6797,-355313.0925,-337455.0391,-340847.0868,-350055.2191,-344813.0717,-344218.9201,-343894.9278,-111464222.8901,-111493988.0721,-111495325.6705,-111472469.3205,-343089.1224,-111478476.7112,5487.5439,-1303.7960,3790.9303,-3437.4138,-3561.1377,-4688.8468,5448.4296,3007.3583,-3727.2956,4143.6057,5047.6568,3526.1270,-15.9123,837.5388,-3817.3473,5707.7459,-6138.2755,-5342.2068,-3453.7790,-6062.0146,214.1741,-3095.1059,-6227.3387,-1370.5932,6469.9494,-3294.4214,-4173.8453,-518.3145,2164.6450,0.0000,3248.1371,4801.2791,3847.8101,-295.8433,-5924.9696,-6226.9721,5252.2598,-4285.5438,1336.7456,4888.7958,6132.8391,6035.1006,-4749.2065,2460.1593,5636.6199,2547.8732,1981.9962,-3770.6160,5071.3522,3520.2452,-4140.3626,-1574.4365,-4310.4992,-824.9488,2505.9638,-5081.6560,-6221.3877,56.1752,-1918.6737,-1958.1434,0.0000,-414.1372,-5345.7804,-717.5535,6660.6272,-4787.8610,-476.5014,-2807.0457,-1079.5677,17.0900,803.2929,3535.6012,-6593.1805,3528.9616,-840.0328,-4942.0732,-4088.6691,-3101.4833,-2802.5311,-2394.1878,-611.1827,0.0000,4655.9310,-5860.5275,1080.3599,4507.9753,-5407.5214,1716.9321,-4486.6242,6276.7480,6483.7275,-4795.7124,-5598.1016,-3131.7549,-2514.2320,1883.7169,-3861.7345,3797.8164,-6820.1852,6015.0121,-53381.2598,-76789.5501,-60862.3835,-60084.7943,-57403.2454,-59885.4291,-64523.6535,-61327.8296,323342683.5484,323305901.8167,323331188.2992,323357840.0723,-61184.9454,323350620.1765,3957.6714,-6832.9374,-4987.9380,3847.9745,-5319.2235,1394.2497,-4054.1085,132.4488,3848.8577,-3905.3221,-879.4853,-5048.9342,2293.4456,-5437.5148,-3587.2440,3044.4775,-2837.2026,-3730.3194,-3514.6188,2967.7496,1450.8415,-5155.4489,2643.3451,2095.8177,-383.2143,-4522.2977,5260.2070,-2489.2593,6510.0054,0.0000,-2274.2191,4545.1125,-5506.2397,6051.4953,-1277.6547,2628.9574,-3012.0415,5307.7287,-3310.1094,-4569.7617,138.7727,-3320.5939,4777.1075,2273.0462,3489.5416,-5327.1521,2492.9940,4089.6776,-4705.8969,341.9973,481.5136,3812.9993,-3320.1796,-959.6029,5042.4174,-4609.9152,699.8744,1574.0469,-6597.9930,2122.0293,0.0000,-607.9235,4393.8516,-1768.6827,-1839.8658,4967.0129,4674.1449,3895.8311,-2588.0969,3720.5178,5347.1212,-5160.6152,588.7461,-5366.6900,5501.9471,4366.6874,4176.0233,4861.4763,-5199.8471,4367.2372,6476.4475,0.0000,-4545.3585,-2690.5096,-1883.0065,-2874.8394,-513.2815,3177.8617,4287.8503,1783.5542,-1403.6703,2879.1504,-3716.6764,4194.4897,5492.7936,4615.9588,-3780.0210,-5499.8089,481.0826,-429.1628,-140069.7645,-141595.3411,-137004.9849,-140768.4825,-133664.9709,-137595.3434,-148575.9691,-137844.5971,-4393919.4438,-4410310.6384,-4408679.6987,-4405810.5596,-139430.2966,-4406216.5610,
7200.000,-3986.9568,-2206.6544,-4664.8852,-416.0167,6011.5125,5864.4806,-4373.8526,4681.4757,-3.3630,1167.5516,-4578.0199,-1613.7163,-4341.6358,4030.0962,6616.2695,774.6357,1945.5299,647.7513,6751.5138,2267.4919,4793.0880,6449.0786,98.4560,-6126.5806,-4102.2086,6026.9409,5089.0682,3599.7866,-5114.3017,0.0000,-4410.2252,-1525.9650,-2462.8924,571.7974,4617.5406,3147.5669,1465.8964,3394.9932,5658.9392,-3913.1098,-3955.9159,-1522.6900,8.0413,-4186.7202,318.3044,-512.4649,6341.7791,-192.5574,-3714.7432,-5284.5346,-3425.4928,4092.2390,5772.2700,-4404.0947,-210.5153,3269.4502,4403.7786,-4219.4093,-2623.5686,5083.5593,0.0000,-5135.2100,3553.9283,3819.2108,-2293.2345,3086.3030,4667.1909,-4596.6807,-5991.7064,6479.6319,2071.4794,-4748.1533,3133.1443,-5775.5470,-2938.4587,1976.2429,5999.5384,4381.1014,4592.5868,-267.4796,-617.3041,0.0000,-4238.1992,3218.2693,3756.7049,2071.4769,5309.9034,5822.4076,-1693.2915,16.1850,-3214.5719,-2594.0847,4486.2647,-466.2308,6032.3192,-6096.7083,-2047.3304,-2356.2756,2715.3630,1158.0715,-323292.6278,-325768.8987,-311593.5247,-317313.2868,-324589.5224,-313942.9857,-319103.7332,-316525.1085,-191425261.9266,-191443090.6787,-191448783.5434,-191441389.8243,-317290.9683,-191439327.6666,-3440.7440,-3602.3951,501.5312,5146.3416,2274.4914,2086.3684,-5242.7277,-208.3458,4148.2800,-6658.1464,-2076.0336,-4501.7974,2861.2474,-4745.3363,1994.2574,-6683.7834,6124.4902,6810.0466,1440.3243,3483.8347,-2681.3733,1304.3092,6705.7776,1431.6895,-3758.7704,-1260.3674,4034.2084,-2307.7668,-805.2204,0.0000,224.0727,-6349.5978,-5320.8465,-3451.9791,2870.1649,2760.3010,-6757.9442,3715.0310,-3965.3627,-5461.6418,-4010.5563,-6638.8087,6819.1560,1040.4062,-6842.8627,-5368.1328,389.4409,1238.3062,-4659.9091,-1064.0724,4662.9995,-3215.4883,2624.2943,2480.2754,-4801.5437,5999.1207,3727.1462,2130.9444,-2339.1459,-1322.8716,0.0000,2667.3993,5664.4586,-3124.7351,-4133.8286,5964.0641,-3556.2309,5092.3520,3347.5336,-2120.9664,-4762.3888,514.3180,4878.2375,-247.4716,4905.7428,3734.6730,3266.4737,-2009.7315,-1543.6056,4300.0503,4781.2379,0.0000,-710.6405,3675.4313,-2769.8314,-5887.5285,2541.6178,-3522.5283,6671.8356,-6629.0998,-5291.7385,6098.6344,5264.6694,5339.3514,-410.3086,1904.6861,6477.3173,-4939.1066,4932.5790,-5628.5465,-141588.4994,-162887.3085,-146211.5003,-148277.2901,-141498.4587,-144802.1686,-148242.9143,-144960.6919,283450703.1871,283412172.2842,283436815.0700,283464314.3160,-144873.5805,283459544.2490,-4281.0653,5516.8087,4997.9526,-4520.2765,2444.6210,2688.9534,954.9509,-5082.2219,-5491.9213,273.7747,4662.9271,4896.3034,-4572.9133,2931.2002,214.5497,1409.8903,-2109.8711,218.8281,70.6317,-5429.6495,-4241.1385,1829.1710,1691.7551,2906.7665,3894.6212,2491.5883,-2362.3978,5327.8347,-4631.1476,0.0000,5251.1585,-2169.9038,3588.0012,-6009.3845,4212.4585,-5382.7849,-525.6184,-4730.3063,-198.2789,158.4095,3968.6417,-1051.4847,-1455.6419,-5297.9843,788.3862,4145.1027,2782.0262,-6810.0617,3510.6536,-4307.0693,3735.2741,-4318.1719,-1993.7675,4668.1686,-4891.8909,808.1891,-3849.9156,-4996.7074,5961.5229,-4518.1177,0.0000,3793.2087,-1821.6492,4499.6273,5043.9198,-1629.6051,-3676.1075,336.6241,-1029.5180,656.2104,-4519.4268,4984.7236,3693.2320,3445.2379,-3860.2977,-5490.6107,73.9599,-4743.7189,4908.1161,-5297.7667,-4994.3666,0.0000,5394.9004,4482.7577,5080.2186,-2376.5496,-3383.0339,1149.1287,-319.0113,1949.6930,-3028.3796,1704.8645,480.7597,-4272.1308,-3332.8808,-2467.0682,139.2483,4208.7481,-3891.1010,-3802.0966,-139888.1330,-141393.3778,-137086.6342,-139044.9765,-133440.6229,-138334.8863,-147917.8344,-140591.4359,-4315605.9328,-4334029.8787,-4333537.1748,-4322088.5544,-138951.6234,-4327495.8931,
