TIME_UNITS,STARLINK-2683 - X-Coordinate,STARLINK-3716 - X-Coordinate,STARLINK-4144 - X-Coordinate,STARLINK-4354 - X-Coordinate,STARLINK-31251 - X-Coordinate,STARLINK-4567 - X-Coordinate,STARLINK-3870 - X-Coordinate,STARLINK-11095 [DTC] - X-Coordinate,STARLINK-6310 - X-Coordinate,STARLINK-5179 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2683 - Y-Coordinate,STARLINK-3716 - Y-Coordinate,STARLINK-4144 - Y-Coordinate,STARLINK-4354 - Y-Coordinate,STARLINK-31251 - Y-Coordinate,STARLINK-4567 - Y-Coordinate,STARLINK-3870 - Y-Coordinate,STARLINK-11095 [DTC] - Y-Coordinate,STARLINK-6310 - Y-Coordinate,STARLINK-5179 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2683 - Z-Coordinate,STARLINK-3716 - Z-Coordinate,STARLINK-4144 - Z-Coordinate,STARLINK-4354 - Z-Coordinate,STARLINK-31251 - Z-Coordinate,STARLINK-4567 - Z-Coordinate,STARLINK-3870 - Z-Coordinate,STARLINK-11095 [DTC] - Z-Coordinate,STARLINK-6310 - Z-Coordinate,STARLINK-5179 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
2700.000,3618.7468,-4126.3243,-1092.7420,-6083.5428,-4489.9208,-2487.3684,-5763.5069,-1979.7562,332.3356,-2224.0182,340517.1216,366793.5897,348492.4895,347537.0414,347571.6260,348967.5137,353452.0582,349330.8359,-238321658.5558,-238294188.5709,-238334549.7444,-238324841.3203,349822.4429,-238335648.7784,2718.5324,-1239.8008,-4106.3480,2137.1817,-235.9017,5508.4046,-1118.9367,4273.8688,6646.5616,4413.5282,-14031.3422,-13489.1213,-1736.5656,-5414.1219,-14863.6509,-9880.8855,-7463.9573,-8018.8054,254745444.3896,254749586.5870,254765575.4188,254756055.1005,-7214.2843,254758989.1732,-5167.0584,-5268.7574,-5454.3731,2570.1213,-5140.3454,3357.3604,3597.9174,-4778.6559,1865.6358,-4815.2222,-100944.8405,-101735.0019,-98171.7761,-101783.7031,-94957.0381,-99199.6799,-109685.1684,-99123.9903,149744474.5393,149728533.3896,149734734.0499,149746286.8381,-100612.0423,149750654.5941,
3000.000,4086.5737,-3989.4766,-3159.0112,-6682.5520,-5081.7211,-741.9939,-6575.8704,-581.8107,1886.9042,-944.5235,340888.3636,366995.1664,348665.7132,347966.7965,347640.2347,348995.1418,353486.8231,348925.1882,-243825849.4304,-243798301.0473,-243839313.0332,-243828908.9232,349857.8646,-243839829.3662,609.5207,944.6474,-3776.7719,1847.7844,1674.6427,5104.4266,184.4113,5585.6138,6640.8013,5762.4590,-6882.8001,-5856.6899,5648.4990,2010.7206,-7553.0565,-2165.2881,-175.2859,-638.7541,249481892.2222,249486839.6143,249502132.4440,249492962.6280,129.4672,249495342.9357,-5487.7396,-5433.0566,-4854.1931,380.7478,-4242.8666,4600.4310,2041.9087,-3670.8170,363.0049,-3675.3706,-101057.7798,-101847.9354,-98277.0996,-101979.8696,-95045.2220,-99035.5907,-109783.9163,-99407.5021,149746050.4858,149730173.7589,149736720.4414,149747681.2126,-100695.3925,149752455.1929,
3300.000,4202.9282,-3499.8206,-4909.0017,-6556.8655,-5188.5748,1110.7311,-6731.5811,839.7555,3253.4974,389.9615,341112.1178,367036.8350,348684.7505,348270.2297,347556.1263,348865.8561,353369.9105,348436.5736,-249213825.5869,-249186215.9812,-249227866.3131,-249216800.6945,349739.1680,-249227791.5076,-1553.0753,3037.0998,-3127.0165,1352.3905,3383.9288,4232.7740,1446.5887,6305.0328,5986.5073,6547.8814,277.5589,1778.6975,13029.9619,9420.5018,-242.8060,5585.8936,7111.6456,6782.5290,244099446.2830,244105198.5077,244119768.9566,244110985.2526,7471.4568,244112803.8131,-5206.7877,-4985.2968,-3731.5468,-1849.2480,-2871.1644,5347.6237,263.0325,-2130.3336,-1178.8572,-2136.9315,-101170.5356,-101960.7092,-98386.9522,-102154.0612,-95135.9872,-98899.7735,-109878.3162,-99793.3788,149747629.0357,149731814.6176,149738718.5721,149749085.5345,-100778.6675,149754255.4991,
3600.000,3952.4862,-2703.0423,-6167.7476,-5713.4521,-4785.0523,2890.9209,-6209.8748,2146.1570,4312.8684,1662.1729,341188.0409,366918.5607,348549.5783,348445.5925,347319.3251,348580.9690,353101.4149,347891.3703,-254483019.4448,-254455365.7506,-254497640.6551,-254485948.7704,349466.4443,-254496967.6643,-3549.4068,4817.6000,-2208.3697,735.1764,4723.2782,2987.6702,2560.0483,6344.5054,4743.5503,6683.8828,7446.8374,9413.6662,20404.5280,16806.1244,7063.9125,13368.2592,14393.7096,14238.6397,238600671.8208,238607228.1620,238621049.8646,238612685.4680,14808.4511,238613937.2140,-4354.7756,-3975.5400,-2206.6853,-3882.3875,-1177.9803,5518.5890,-1544.5676,-338.3200,-2593.4992,-366.3849,-101283.0942,-102073.3221,-98501.2831,-102300.5579,-95229.3199,-98801.6613,-109968.3796,-100256.7211,149749210.2890,149733455.9731,149740728.5393,149750500.3111,-100861.8672,149756055.5125,
3900.000,3350.2984,-1670.1461,-6809.5601,-4239.4697,-3896.1468,4421.6474,-5059.5112,3213.8453,4975.1845,2763.5074,341115.8426,366640.3801,348260.2439,348488.5003,346929.9224,348142.2141,352681.4925,347307.7183,-259630920.0322,-259603239.3357,-259646123.7039,-259633841.7636,349039.8524,-259644846.9132,-5177.2467,6097.8535,-1094.5335,91.0644,5564.6396,1495.3103,3433.0472,5690.5810,3030.3577,6149.7627,14622.1348,17044.8417,27768.9032,24158.0673,14363.9143,21174.4140,21667.7817,21721.0887,232988189.5204,232995548.9087,233008595.5734,233000681.2927,22137.2200,233001363.9810,-3024.5758,-2516.9708,-443.5955,-5503.0305,647.2994,5094.8975,-3183.8846,1493.6671,-3728.5602,1443.9841,-101395.4409,-102185.7726,-98620.0331,-102413.5041,-95325.2069,-98751.4575,-110054.1163,-100767.0003,149750794.3449,149735097.8326,149742750.4282,149751926.0064,-100944.9917,149757855.2332,
4200.000,2441.7300,-491.7552,-6771.2038,-2292.3229,-2596.9913,5546.5420,-3393.8719,3946.1039,5187.1711,3603.0906,340895.2854,366202.4013,347816.8658,348391.4041,346388.0760,347551.5425,352110.3615,346694.5514,-264655074.1822,-264627383.5154,-264670860.8766,-264658025.9675,348459.6189,-264668976.1428,-6272.5360,6741.4370,123.6017,-487.8021,5833.2250,-99.0070,3996.7593,4407.0665,1012.2254,4993.3247,21800.5488,24668.8511,35119.7957,31467.3258,21654.0190,28993.1979,28930.7417,29219.5568,227264674.2530,227272835.2671,227285080.7392,227277645.0215,29454.5377,227277759.1409,-1361.7312,-773.7712,1367.4230,-6540.2804,2399.8643,4121.9763,-4476.8515,3148.8672,-4462.1714,3097.1642,-101507.5599,-102298.0594,-98743.1342,-102487.8381,-95423.6364,-98758.7809,-110135.5347,-101290.8851,149752381.3008,149736740.2038,149744784.3107,149753363.0459,-101028.0408,149759654.6612,
4500.000,1299.9412,729.2180,-6058.6375,-82.0055,-1006.9942,6145.9745,-1379.1394,4281.5113,4935.7525,4114.9568,340526.1842,365604.8039,347219.6334,348143.8426,345694.0102,346810.7629,351388.3014,346051.5463,-269553087.7020,-269525404.0366,-269569456.5348,-269556106.5336,347726.0381,-269566961.2226,-6726.4092,6679.0432,1344.8776,-924.4515,5514.2342,-1644.9714,4209.9557,2628.8708,-1114.9255,3326.6767,28979.1765,32282.3244,42453.9179,38726.7148,28931.0523,36809.7023,36179.4749,36722.2142,221432853.8023,221441814.6700,221453232.9979,221446301.9525,36757.1844,221445850.6303,451.0839,1057.0365,3030.4724,-6885.3786,3882.8478,2704.4291,-5283.6522,4431.4475,-4715.7965,4413.2241,-101619.4339,-102410.1811,-98870.5102,-102520.5026,-95524.5975,-98830.7117,-110212.6415,-101795.0250,149753971.2528,149738383.0940,149746830.2445,149754811.8207,-101111.0144,149761453.7966,
4800.000,20.7104,1886.1120,-4746.2631,2151.7805,721.1560,6150.2216,782.7631,4198.3854,4248.2054,4262.6674,340008.4056,364847.8387,346468.8075,347733.8178,344848.0159,345921.1367,350515.6534,345369.8184,-274322626.5140,-274294966.7550,-274339575.1281,-274325748.6184,346839.4717,-274336468.1436,-6496.6278,5916.5978,2465.9453,-1166.7807,4652.8369,-3001.4216,4061.1077,547.3366,-3143.5648,1314.9815,36155.1161,39881.8964,49767.9882,45932.0735,36191.8472,44606.5479,43410.8734,44216.0700,215495507.5641,215505266.1635,215515831.6679,215509429.0872,44041.9478,215508417.9952,2214.1383,2767.9903,4365.6068,-6502.2870,4929.8127,995.0231,-5517.4209,5189.9259,-4462.3286,5249.1065,-101731.0445,-102522.1366,-99002.0764,-102511.4861,-95628.0802,-98969.8808,-110285.4416,-102248.5227,149755564.2954,149740026.5108,149748888.2714,149756272.6921,-101193.9126,149763252.6392,
5100.000,-1285.1782,2877.5143,-2968.7728,4165.2809,2416.3407,5547.9793,2874.4429,3715.0671,3189.1203,4041.1400,339341.8675,363931.8278,345564.7200,347150.0034,343850.4499,344883.1314,349492.8198,344633.1397,-278961417.7679,-278933798.7473,-278978942.3104,-278964678.5025,345800.3486,-278975224.1307,-5611.7800,4534.8606,3389.7349,-1193.5622,3347.6897,-4049.3159,3568.1466,-1610.8713,-4874.5855,-840.3703,43325.4684,47464.2079,57058.7324,53082.7169,43433.2452,52366.2434,50621.8372,51687.3369,209455465.2219,209466019.0828,209475706.4286,209469853.8070,51305.6240,209468291.0664,3732.9879,4165.1080,5228.5247,-5431.0876,5423.4896,-821.7733,-5153.0905,5334.9155,-3728.8477,5514.0887,-101842.3713,-102633.9244,-99137.7400,-102464.1107,-95734.0756,-99173.5741,-110353.9386,-102624.9489,149757160.5218,149741670.4618,149750958.4167,149757745.9944,-101276.7352,149765051.1891,
5400.000,-2501.3096,3615.8051,-906.7893,5736.9270,3906.0360,4388.8732,4684.6046,2886.5327,1854.5365,3475.8715,338526.5382,362857.1646,344507.7739,346383.8410,342701.7347,343696.4790,348320.2643,343819.4696,-283467250.9239,-283439689.3948,-283485346.0263,-283470684.6793,344609.1650,-283481018.7257,-4167.6166,2680.4761,4033.5500,-1016.2507,1739.2011,-4702.1846,2776.2595,-3608.6606,-6136.6996,-2922.1696,50487.3377,55025.9072,64322.8854,60180.8157,50652.0980,60073.6588,57809.2755,59121.8096,203315605.3987,203326951.7037,203335735.9742,203330452.5248,58545.0196,203328348.6103,4840.2651,5090.1798,5526.0967,-3784.1684,5308.6893,-2550.0033,-4229.8817,4849.3558,-2593.8702,5179.3961,-101953.3927,-102745.5433,-99277.4004,-102384.3264,-95842.5757,-99434.4170,-110418.1344,-102903.8561,149758760.0233,149743314.9546,149753040.6877,149759232.0384,-101359.4821,149766849.4463,
