sl_20_5400_20300128 Coordinates.csv
2030/01/28 07:47:00.0000 UTC

Generated: Tue Oct  8 21:49:53 2024,
Start: 2030/01/28 07:47:00.00, Stop: 2030/01/28 09:17:00.00,
TIME_UNITS,STARLINK-30893 - X-Coordinate,STARLINK-31067 - X-Coordinate,STARLINK-6127 - X-Coordinate,STARLINK-2621 - X-Coordinate,STARLINK-31003 - X-Coordinate,STARLINK-31375 - X-Coordinate,STARLINK-2507 - X-Coordinate,STARLINK-3524 - X-Coordinate,STARLINK-30476 - X-Coordinate,STARLINK-3911 - X-Coordinate,STARLINK-11111 [DTC] - X-Coordinate,STARLINK-3207 - X-Coordinate,STARLINK-1215 - X-Coordinate,STARLINK-1453 - X-Coordinate,STARLINK-4437 - X-Coordinate,STARLINK-5241 - X-Coordinate,STARLINK-4031 - X-Coordinate,STARLINK-31844 - X-Coordinate,STARLINK-30549 - X-Coordinate,STARLINK-31024 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30893 - Y-Coordinate,STARLINK-31067 - Y-Coordinate,STARLINK-6127 - Y-Coordinate,STARLINK-2621 - Y-Coordinate,STARLINK-31003 - Y-Coordinate,STARLINK-31375 - Y-Coordinate,STARLINK-2507 - Y-Coordinate,STARLINK-3524 - Y-Coordinate,STARLINK-30476 - Y-Coordinate,STARLINK-3911 - Y-Coordinate,STARLINK-11111 [DTC] - Y-Coordinate,STARLINK-3207 - Y-Coordinate,STARLINK-1215 - Y-Coordinate,STARLINK-1453 - Y-Coordinate,STARLINK-4437 - Y-Coordinate,STARLINK-5241 - Y-Coordinate,STARLINK-4031 - Y-Coordinate,STARLINK-31844 - Y-Coordinate,STARLINK-30549 - Y-Coordinate,STARLINK-31024 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30893 - Z-Coordinate,STARLINK-31067 - Z-Coordinate,STARLINK-6127 - Z-Coordinate,STARLINK-2621 - Z-Coordinate,STARLINK-31003 - Z-Coordinate,STARLINK-31375 - Z-Coordinate,STARLINK-2507 - Z-Coordinate,STARLINK-3524 - Z-Coordinate,STARLINK-30476 - Z-Coordinate,STARLINK-3911 - Z-Coordinate,STARLINK-11111 [DTC] - Z-Coordinate,STARLINK-3207 - Z-Coordinate,STARLINK-1215 - Z-Coordinate,STARLINK-1453 - Z-Coordinate,STARLINK-4437 - Z-Coordinate,STARLINK-5241 - Z-Coordinate,STARLINK-4031 - Z-Coordinate,STARLINK-31844 - Z-Coordinate,STARLINK-30549 - Z-Coordinate,STARLINK-31024 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-2414.4952,-5842.0076,5362.2965,2104.2326,6799.0454,0.0000,5155.2795,558.3699,3932.6406,6587.0513,3933.5011,-5067.1678,-5919.0912,3266.5431,2317.0358,4050.8940,-3212.4922,-4058.3400,-3687.5683,4449.8813,-338735.3563,-347605.9536,-333250.3836,-334782.2621,-342593.1112,-341685.1544,-341137.3404,-340205.0518,22202706.4960,22166314.9687,22171050.7686,22190978.7676,-338907.5019,22184391.3064,3771.1045,-3670.7427,3810.4226,-5989.4461,-1257.7927,0.0000,-3625.4832,-4098.4706,-3717.0543,118.6260,-926.6895,4448.7377,-2982.0092,3887.7418,6148.0411,4104.4005,4262.9854,693.9798,-2160.1836,4971.5242,-51257.1613,-42976.9447,-49270.4477,-45529.1665,-42004.0115,-44559.5483,-51543.3900,-49662.2768,320399415.9577,320387238.9419,320397054.9402,320384200.5016,-48613.8286,320390685.8886,5019.4896,-783.0308,-2145.8142,-2505.9501,-186.7609,0.0000,-2785.9661,5528.2993,4259.6275,1678.7941,5356.4879,1142.2682,-1858.9091,-4653.6307,-2034.1046,-3789.0113,-4226.2131,-5410.8182,-5358.0221,-1878.1501,-138779.5006,-142388.8719,-136868.7797,-138512.6348,-133526.4700,-140846.7967,-147862.7625,-139917.8777,-57326595.2212,-57357177.2940,-57306315.9642,-57333597.8239,-139169.8536,-57324203.5073,
300.000,-1066.4361,-6217.6223,6375.7268,527.8283,6156.4951,0.0000,4695.0095,-1600.8435,2018.8440,5826.1377,3094.8532,-4228.5184,-5773.5353,4980.0190,1550.4838,5499.8572,-1210.9430,-3273.1451,-4978.7013,4858.1042,-337088.2975,-346413.2894,-332172.5684,-333749.2946,-341523.0241,-340523.3361,-340044.7752,-339302.0011,15203455.8293,15167417.7563,15171328.8174,15192235.8342,-337797.0262,15185155.9294,5247.1630,-2130.6881,2599.9436,-5532.5116,-2658.0677,0.0000,-4922.9790,-4197.9031,-4640.0285,-1161.1424,-2966.6224,5334.4001,-1484.5581,3281.9600,5344.3285,3486.9500,4312.9011,2741.4868,-530.0127,3533.2884,-58482.4546,-50240.8906,-56496.4073,-52795.0687,-49074.9976,-51740.0649,-58576.5194,-56688.8707,320810330.2921,320797797.9082,320807509.7031,320795362.7077,-55702.1124,320801502.0796,4074.0703,-2244.3721,-671.0473,-3963.2090,-1701.9602,0.0000,-1089.2358,5243.3429,4670.2682,3300.9330,5162.4812,-682.8131,-3444.1713,-3444.3307,-4043.5293,-2278.1013,-5127.7425,-5291.3081,-4679.3557,-3461.1885,-138665.4472,-142403.2159,-136873.7742,-138726.5002,-133538.8270,-140603.8425,-147966.9684,-139542.4239,-57320853.8328,-57351688.3218,-57300955.6790,-57327884.2933,-139211.2189,-57318719.1437,
600.000,352.6819,-6007.9903,6764.9899,-1139.2016,4911.1229,0.0000,3771.7073,-3591.8577,-82.1018,4462.8053,1977.4531,-2948.6842,-5071.3850,6186.9381,664.0985,6389.6596,932.4346,-2204.1781,-5794.8512,4821.3577,-335300.5361,-345065.8644,-330948.5601,-332572.4172,-340305.3264,-339200.8092,-338806.3419,-338147.8388,8196838.1471,8161161.0858,8164257.4993,8186105.1970,-336538.3708,8178557.3372,6175.3341,-368.9086,1141.8470,-4531.4974,-3815.2628,0.0000,-5717.2004,-3937.8985,-5148.7213,-2356.5362,-4702.9327,5676.0182,192.4698,2384.6239,3923.6966,2544.5725,3971.2346,4521.6963,1112.1818,1727.8739,-65611.1505,-57475.2419,-63697.4923,-60048.0666,-56122.8034,-58904.8955,-65585.1577,-63626.9051,321068356.0604,321055482.2031,321065056.4739,321053665.4427,-62765.1815,321059430.2236,2653.0975,-3466.7469,876.0323,-4976.9161,-3033.8079,0.0000,726.3186,4392.0941,4572.0030,4548.5516,4361.5802,-2431.8421,-4653.4265,-1859.4171,-5610.6144,-519.8007,-5451.9819,-4573.5693,-3483.4709,-4674.1078,-138560.8891,-142416.3058,-136883.1188,-138941.9596,-133554.0166,-140355.9054,-148066.5472,-139143.1622,-57315111.2913,-57346196.7748,-57295600.6190,-57322154.9017,-139252.4839,-57313234.5921,
900.000,1704.6278,-5242.3276,6495.9660,-2733.0723,3184.0577,0.0000,2461.5535,-5216.3144,-2162.0852,2644.8190,694.1540,-1345.5446,-3894.0794,6766.7059,-221.9944,6635.9283,2994.2605,-955.3275,-6042.3543,4356.7192,-333379.8472,-343564.2841,-329578.8664,-331253.1094,-338940.5234,-337716.7545,-337422.5905,-336738.2050,1186192.7237,1150883.7724,1153176.7900,1175924.0747,-335132.1051,1167934.7785,6447.7381,1453.2139,-435.9292,-3098.8470,-4629.8277,0.0000,-5940.1373,-3334.4388,-5191.6863,-3356.1110,-5942.3205,5453.4551,1889.8350,1267.7103,2038.7937,1352.2046,3277.7783,5844.2104,2608.7279,-271.7501,-72650.8239,-64676.7277,-70870.4955,-67285.8645,-63144.3113,-66051.7244,-72566.3313,-70477.4771,321173367.4151,321160166.2014,321169570.1439,321158981.6233,-69799.9397,321164344.6365,922.2813,-4320.4933,2328.5996,-5434.4556,-4039.2309,0.0000,2462.5248,3066.2636,3975.5119,5280.3646,3047.6896,-3910.3296,-5355.4878,-71.4275,-6565.1743,1295.0024,-5162.7834,-3338.1394,-1901.8834,-5388.0477,-138465.6920,-142428.0966,-136896.8742,-139158.5320,-133572.0133,-140103.5301,-148161.5293,-138751.6560,-57309367.7133,-57340702.6265,-57290250.6817,-57316409.7919,-139293.6487,-57307749.8526,
1200.000,2862.1000,-4001.0854,5599.5133,-4092.6488,1143.7839,0.0000,881.3791,-6313.7212,-4016.5354,566.4067,-629.9884,427.3598,-2366.8360,6663.1809,-995.9534,6220.2565,4757.8143,356.3764,-5683.3678,3518.2551,-331331.0433,-341909.2167,-328064.0620,-329793.1136,-337429.1843,-336070.2740,-335894.1293,-335075.7473,-5825139.1814,-5860073.3920,-5858571.3818,-5834968.2931,-333578.8636,-5843370.5202,6027.1120,3166.0118,-1992.5007,-1387.1437,-5032.7346,0.0000,-5581.8631,-2432.5795,-4758.7156,-4063.1020,-6544.1528,4703.1902,3442.0742,23.5470,-103.2083,9.9560,2301.5603,6564.4737,3820.2393,-2271.1420,-79607.5050,-71842.0929,-78012.2195,-74506.2177,-70136.4171,-73178.3707,-79517.0756,-77245.6865,321125311.4349,321111797.1896,321120998.5540,321111256.9623,-76803.3038,321116192.5587,-916.2553,-4715.3673,3529.9316,-5285.1767,-4610.5822,0.0000,3929.7191,1408.9763,2945.6719,5413.6646,1375.1556,-4954.5519,-5474.5012,1724.3460,-6803.9593,2968.8186,-4292.4249,-1724.2082,-109.3531,-5527.4681,-138379.3018,-142438.5400,-136915.0926,-139375.5909,-133592.7928,-139847.4633,-148251.9431,-138399.1558,-57303623.2158,-57335205.8497,-57284905.7661,-57310649.1207,-139334.7133,-57302264.9252,
1500.000,3720.6147,-2407.1416,4167.7827,-5075.3930,-1010.5755,0.0000,-821.7506,-6777.8157,-5464.6720,-1552.8245,-1869.6662,2195.7109,-645.1162,5890.5297,-1567.9475,5191.5079,6035.5498,1611.2855,-4741.7814,2390.5514,-329157.1409,-340101.3924,-326404.7882,-328194.4768,-335771.9423,-334260.3820,-334221.6249,-333169.9638,-12833815.9162,-12868369.2303,-12867644.7270,-12843232.2329,-331879.3447,-12852016.9465,4952.0632,4607.1667,-3386.5808,427.1555,-4990.7785,0.0000,-4690.0456,-1303.7519,-3882.6904,-4404.5490,-6437.0642,3512.4306,4693.3525,-1242.3426,-2263.4625,-1364.9779,1134.2367,6600.1839,4638.7121,-4073.1390,-86485.6562,-78968.0989,-85119.4783,-81706.9156,-77096.0316,-80282.8094,-86434.4370,-83940.5851,320924208.1516,320910395.3927,320919362.5198,320910509.9939,-83772.2047,320914994.1825,-2647.9335,-4609.7620,4350.4972,-4545.6371,-4686.8653,0.0000,4967.7710,-400.6248,1594.6383,4933.4038,-459.2314,-5449.3946,-4997.6753,3331.4424,-6301.0104,4319.4237,-2938.2455,85.5507,1695.2921,-5077.6779,-138301.0085,-142447.5845,-136937.8174,-139592.3210,-133616.3321,-139588.7204,-148337.8149,-138114.6686,-57297877.9163,-57329706.4172,-57279565.7723,-57304873.0614,-139375.6775,-57296779.8099,
1800.000,4207.5685,-613.5583,2344.3540,-5572.1537,-3068.6452,0.0000,-2484.3526,-6567.2476,-6367.4212,-3491.1531,-2910.9989,3781.4317,1101.0357,4531.3519,-1880.3665,3659.8155,6689.2481,2697.7629,-3302.5140,1080.2334,-326860.1054,-338141.6019,-324601.7529,-326459.5984,-333969.4936,-332286.0031,-332405.8019,-331036.7392,-19836497.0284,-19870663.7731,-19870702.1899,-19845529.2251,-330034.3112,-19854664.0949,3333.4114,5636.8337,-4489.2287,2161.6046,-4508.9025,0.0000,-3363.4586,-40.6014,-2637.6202,-4338.7820,-5627.8783,2008.5676,5512.8462,-2419.9096,-4197.6298,-2648.4181,-118.0048,5941.4456,4997.2177,-5496.9922,-93288.3881,-86051.5259,-92189.0990,-88885.7497,-84020.0812,-87363.1924,-93315.4738,-90574.8728,320570150.5419,320556053.9657,320564755.8224,320556832.0630,-90703.5888,320560842.6428,-4071.2150,-4014.8697,4701.9294,-3297.8793,-4259.9627,0.0000,5463.5805,-2166.9925,69.7096,3893.8266,-2239.6460,-5340.4932,-3976.5472,4574.0911,-5110.2866,5199.9473,-1252.3139,1885.5464,3311.5017,-4086.2643,-138230.0787,-142455.1750,-136965.0833,-139807.6604,-133642.6099,-139328.6743,-148419.1692,-137923.0101,-57292131.9324,-57324204.3012,-57274230.6016,-57299081.8060,-139416.5414,-57291294.5068,
2100.000,4287.5559,1210.9256,309.4974,-5519.5263,-4829.1111,0.0000,-3942.2553,-5709.1678,-6641.0759,-5048.0245,-3661.6954,5020.2799,2703.4779,2727.3868,-1913.6285,1784.2619,6645.6426,3521.9020,-1503.9118,-293.7992,-324441.3059,-336030.6955,-322655.7306,-324591.2831,-332022.5978,-330145.9837,-330447.4429,-328697.5311,-26829844.8585,-26863619.8499,-26864405.5404,-26838523.4902,-328044.5894,-26847974.3591,1342.1284,6151.0930,-5195.6371,3645.8457,-3629.5919,0.0000,-1740.6438,1250.3239,-1132.7497,-3860.6353,-4201.3335,345.4814,5808.4659,-3403.9127,-5683.1661,-3720.2949,-1343.6075,4652.9208,4875.0379,-6396.4140,-100017.7193,-93089.1741,-99217.9233,-96040.4585,-90905.5098,-94417.8654,-100157.2576,-97164.2731,320063304.4846,320048938.9504,320057345.1643,320050387.2807,-97594.4193,320053903.9751,-5021.1772,-2993.5378,4546.4151,-1680.8208,-3375.4501,0.0000,5363.1826,-3699.6999,-1462.8372,2412.5533,-3757.0784,-4639.8207,-2521.7422,5316.5933,-3360.4942,5514.7936,575.2235,3470.9485,4559.7191,-2658.3712,-138165.8168,-142461.2524,-136996.9162,-140020.2266,-133671.6060,-139069.1726,-148496.0288,-137842.9088,-57286385.3820,-57318699.4734,-57268900.1566,-57293275.5680,-139457.3050,-57285809.0158,
2400.000,3963.7415,2897.5205,-1737.7981,-4908.3223,-6119.3000,0.0000,-5046.7618,-4295.3625,-6265.1044,-6065.1499,-4058.6077,5778.6417,4012.0175,664.1929,-1687.0333,-244.0416,5905.3383,4015.2923,475.9000,-1610.7902,-321901.7877,-333769.5818,-320567.5621,-322592.7933,-329932.0767,-327839.1281,-328347.3885,-326178.1621,-33810526.1296,-33843904.6797,-33845420.9654,-33818883.5737,-325911.0691,-33828614.5225,-809.2920,6092.6135,-5435.0067,4738.3703,-2429.4235,0.0000,14.7631,2457.3385,496.8977,-3003.6733,-2310.6084,-1311.9243,5537.5843,-4103.0501,-6545.2392,-4475.7252,-2435.2351,2867.3772,4297.8048,-6674.9589,-106674.8110,-100077.8655,-106202.8094,-103168.6380,-97749.2795,-101445.3739,-106956.8742,-103726.5314,319403908.6836,319389289.1975,319397370.0905,319391412.4439,-104441.6777,319394417.0368,-5388.2392,-1653.8950,3900.6700,124.7445,-2127.9514,0.0000,4677.4341,-4834.1710,-2836.1164,657.5109,-4834.0947,-3424.4565,-791.4873,5477.9968,-1242.1283,5229.7952,2337.6029,4661.4230,5301.5353,-946.0483,-138107.5898,-142465.7531,-137033.3331,-140228.2212,-133703.3014,-138812.6908,-148568.4143,-137885.2937,-57280638.3832,-57313191.9050,-57263574.3409,-57287454.5852,-139497.9681,-57280323.3370,
