sl_100_5400_20300621 Coordinates.csv
2030/06/21 07:47:00.0000 UTC

Generated: Tue Oct  8 21:50:45 2024,
Start: 2030/06/21 07:47:00.00, Stop: 2030/06/21 09:17:00.00,
TIME_UNITS,STARLINK-1054 - X-Coordinate,STARLINK-6249 - X-Coordinate,STARLINK-5085 - X-Coordinate,STARLINK-30120 - X-Coordinate,STARLINK-31479 - X-Coordinate,STARLINK-30098 - X-Coordinate,STARLINK-5942 - X-Coordinate,STARLINK-5032 - X-Coordinate,STARLINK-5295 - X-Coordinate,STARLINK-11119 [DTC] - X-Coordinate,STARLINK-3447 - X-Coordinate,STARLINK-31812 - X-Coordinate,STARLINK-31467 - X-Coordinate,STARLINK-31881 - X-Coordinate,STARLINK-4447 - X-Coordinate,STARLINK-2310 - X-Coordinate,STARLINK-4086 - X-Coordinate,STARLINK-2471 - X-Coordinate,STARLINK-31517 - X-Coordinate,STARLINK-5843 - X-Coordinate,STARLINK-3771 - X-Coordinate,STARLINK-1216 - X-Coordinate,STARLINK-3553 - X-Coordinate,STARLINK-32039 - X-Coordinate,STARLINK-3890 - X-Coordinate,STARLINK-31229 - X-Coordinate,STARLINK-5057 - X-Coordinate,STARLINK-1761 - X-Coordinate,STARLINK-30401 - X-Coordinate,STARLINK-1342 - X-Coordinate,STARLINK-6215 - X-Coordinate,STARLINK-4389 - X-Coordinate,STARLINK-31255 - X-Coordinate,STARLINK-31601 - X-Coordinate,STARLINK-4634 - X-Coordinate,STARLINK-3046 - X-Coordinate,STARLINK-4129 - X-Coordinate,STARLINK-6283 - X-Coordinate,STARLINK-30180 - X-Coordinate,STARLINK-3356 - X-Coordinate,STARLINK-5205 - X-Coordinate,STARLINK-31791 - X-Coordinate,STARLINK-32281 - X-Coordinate,STARLINK-2170 - X-Coordinate,STARLINK-31050 - X-Coordinate,STARLINK-5432 - X-Coordinate,STARLINK-1767 - X-Coordinate,STARLINK-5582 - X-Coordinate,STARLINK-4445 - X-Coordinate,STARLINK-3194 - X-Coordinate,STARLINK-5034 - X-Coordinate,STARLINK-5154 - X-Coordinate,STARLINK-4275 - X-Coordinate,STARLINK-30554 - X-Coordinate,STARLINK-5761 - X-Coordinate,STARLINK-3752 - X-Coordinate,STARLINK-4255 - X-Coordinate,STARLINK-4618 - X-Coordinate,STARLINK-6100 - X-Coordinate,STARLINK-2124 - X-Coordinate,STARLINK-3888 - X-Coordinate,STARLINK-31725 - X-Coordinate,STARLINK-32049 - X-Coordinate,STARLINK-32263 - X-Coordinate,STARLINK-31184 - X-Coordinate,STARLINK-30264 - X-Coordinate,STARLINK-32123 - X-Coordinate,STARLINK-4545 - X-Coordinate,STARLINK-30948 - X-Coordinate,STARLINK-30197 - X-Coordinate,STARLINK-4677 - X-Coordinate,STARLINK-4267 - X-Coordinate,STARLINK-30508 - X-Coordinate,STARLINK-30786 - X-Coordinate,STARLINK-1166 - X-Coordinate,STARLINK-1177 - X-Coordinate,STARLINK-32113 - X-Coordinate,STARLINK-3271 - X-Coordinate,STARLINK-4011 - X-Coordinate,STARLINK-30310 - X-Coordinate,STARLINK-5418 - X-Coordinate,STARLINK-30394 - X-Coordinate,STARLINK-2347 - X-Coordinate,STARLINK-2141 - X-Coordinate,STARLINK-3808 - X-Coordinate,STARLINK-4022 - X-Coordinate,STARLINK-3306 - X-Coordinate,STARLINK-3705 - X-Coordinate,STARLINK-5513 - X-Coordinate,STARLINK-11147 [DTC] - X-Coordinate,STARLINK-5489 - X-Coordinate,STARLINK-6282 - X-Coordinate,STARLINK-31201 - X-Coordinate,STARLINK-31072 - X-Coordinate,STARLINK-31166 - X-Coordinate,STARLINK-31075 - X-Coordinate,STARLINK-4300 - X-Coordinate,STARLINK-5135 - X-Coordinate,STARLINK-3814 - X-Coordinate,STARLINK-5857 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1054 - Y-Coordinate,STARLINK-6249 - Y-Coordinate,STARLINK-5085 - Y-Coordinate,STARLINK-30120 - Y-Coordinate,STARLINK-31479 - Y-Coordinate,STARLINK-30098 - Y-Coordinate,STARLINK-5942 - Y-Coordinate,STARLINK-5032 - Y-Coordinate,STARLINK-5295 - Y-Coordinate,STARLINK-11119 [DTC] - Y-Coordinate,STARLINK-3447 - Y-Coordinate,STARLINK-31812 - Y-Coordinate,STARLINK-31467 - Y-Coordinate,STARLINK-31881 - Y-Coordinate,STARLINK-4447 - Y-Coordinate,STARLINK-2310 - Y-Coordinate,STARLINK-4086 - Y-Coordinate,STARLINK-2471 - Y-Coordinate,STARLINK-31517 - Y-Coordinate,STARLINK-5843 - Y-Coordinate,STARLINK-3771 - Y-Coordinate,STARLINK-1216 - Y-Coordinate,STARLINK-3553 - Y-Coordinate,STARLINK-32039 - Y-Coordinate,STARLINK-3890 - Y-Coordinate,STARLINK-31229 - Y-Coordinate,STARLINK-5057 - Y-Coordinate,STARLINK-1761 - Y-Coordinate,STARLINK-30401 - Y-Coordinate,STARLINK-1342 - Y-Coordinate,STARLINK-6215 - Y-Coordinate,STARLINK-4389 - Y-Coordinate,STARLINK-31255 - Y-Coordinate,STARLINK-31601 - Y-Coordinate,STARLINK-4634 - Y-Coordinate,STARLINK-3046 - Y-Coordinate,STARLINK-4129 - Y-Coordinate,STARLINK-6283 - Y-Coordinate,STARLINK-30180 - Y-Coordinate,STARLINK-3356 - Y-Coordinate,STARLINK-5205 - Y-Coordinate,STARLINK-31791 - Y-Coordinate,STARLINK-32281 - Y-Coordinate,STARLINK-2170 - Y-Coordinate,STARLINK-31050 - Y-Coordinate,STARLINK-5432 - Y-Coordinate,STARLINK-1767 - Y-Coordinate,STARLINK-5582 - Y-Coordinate,STARLINK-4445 - Y-Coordinate,STARLINK-3194 - Y-Coordinate,STARLINK-5034 - Y-Coordinate,STARLINK-5154 - Y-Coordinate,STARLINK-4275 - Y-Coordinate,STARLINK-30554 - Y-Coordinate,STARLINK-5761 - Y-Coordinate,STARLINK-3752 - Y-Coordinate,STARLINK-4255 - Y-Coordinate,STARLINK-4618 - Y-Coordinate,STARLINK-6100 - Y-Coordinate,STARLINK-2124 - Y-Coordinate,STARLINK-3888 - Y-Coordinate,STARLINK-31725 - Y-Coordinate,STARLINK-32049 - Y-Coordinate,STARLINK-32263 - Y-Coordinate,STARLINK-31184 - Y-Coordinate,STARLINK-30264 - Y-Coordinate,STARLINK-32123 - Y-Coordinate,STARLINK-4545 - Y-Coordinate,STARLINK-30948 - Y-Coordinate,STARLINK-30197 - Y-Coordinate,STARLINK-4677 - Y-Coordinate,STARLINK-4267 - Y-Coordinate,STARLINK-30508 - Y-Coordinate,STARLINK-30786 - Y-Coordinate,STARLINK-1166 - Y-Coordinate,STARLINK-1177 - Y-Coordinate,STARLINK-32113 - Y-Coordinate,STARLINK-3271 - Y-Coordinate,STARLINK-4011 - Y-Coordinate,STARLINK-30310 - Y-Coordinate,STARLINK-5418 - Y-Coordinate,STARLINK-30394 - Y-Coordinate,STARLINK-2347 - Y-Coordinate,STARLINK-2141 - Y-Coordinate,STARLINK-3808 - Y-Coordinate,STARLINK-4022 - Y-Coordinate,STARLINK-3306 - Y-Coordinate,STARLINK-3705 - Y-Coordinate,STARLINK-5513 - Y-Coordinate,STARLINK-11147 [DTC] - Y-Coordinate,STARLINK-5489 - Y-Coordinate,STARLINK-6282 - Y-Coordinate,STARLINK-31201 - Y-Coordinate,STARLINK-31072 - Y-Coordinate,STARLINK-31166 - Y-Coordinate,STARLINK-31075 - Y-Coordinate,STARLINK-4300 - Y-Coordinate,STARLINK-5135 - Y-Coordinate,STARLINK-3814 - Y-Coordinate,STARLINK-5857 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1054 - Z-Coordinate,STARLINK-6249 - Z-Coordinate,STARLINK-5085 - Z-Coordinate,STARLINK-30120 - Z-Coordinate,STARLINK-31479 - Z-Coordinate,STARLINK-30098 - Z-Coordinate,STARLINK-5942 - Z-Coordinate,STARLINK-5032 - Z-Coordinate,STARLINK-5295 - Z-Coordinate,STARLINK-11119 [DTC] - Z-Coordinate,STARLINK-3447 - Z-Coordinate,STARLINK-31812 - Z-Coordinate,STARLINK-31467 - Z-Coordinate,STARLINK-31881 - Z-Coordinate,STARLINK-4447 - Z-Coordinate,STARLINK-2310 - Z-Coordinate,STARLINK-4086 - Z-Coordinate,STARLINK-2471 - Z-Coordinate,STARLINK-31517 - Z-Coordinate,STARLINK-5843 - Z-Coordinate,STARLINK-3771 - Z-Coordinate,STARLINK-1216 - Z-Coordinate,STARLINK-3553 - Z-Coordinate,STARLINK-32039 - Z-Coordinate,STARLINK-3890 - Z-Coordinate,STARLINK-31229 - Z-Coordinate,STARLINK-5057 - Z-Coordinate,STARLINK-1761 - Z-Coordinate,STARLINK-30401 - Z-Coordinate,STARLINK-1342 - Z-Coordinate,STARLINK-6215 - Z-Coordinate,STARLINK-4389 - Z-Coordinate,STARLINK-31255 - Z-Coordinate,STARLINK-31601 - Z-Coordinate,STARLINK-4634 - Z-Coordinate,STARLINK-3046 - Z-Coordinate,STARLINK-4129 - Z-Coordinate,STARLINK-6283 - Z-Coordinate,STARLINK-30180 - Z-Coordinate,STARLINK-3356 - Z-Coordinate,STARLINK-5205 - Z-Coordinate,STARLINK-31791 - Z-Coordinate,STARLINK-32281 - Z-Coordinate,STARLINK-2170 - Z-Coordinate,STARLINK-31050 - Z-Coordinate,STARLINK-5432 - Z-Coordinate,STARLINK-1767 - Z-Coordinate,STARLINK-5582 - Z-Coordinate,STARLINK-4445 - Z-Coordinate,STARLINK-3194 - Z-Coordinate,STARLINK-5034 - Z-Coordinate,STARLINK-5154 - Z-Coordinate,STARLINK-4275 - Z-Coordinate,STARLINK-30554 - Z-Coordinate,STARLINK-5761 - Z-Coordinate,STARLINK-3752 - Z-Coordinate,STARLINK-4255 - Z-Coordinate,STARLINK-4618 - Z-Coordinate,STARLINK-6100 - Z-Coordinate,STARLINK-2124 - Z-Coordinate,STARLINK-3888 - Z-Coordinate,STARLINK-31725 - Z-Coordinate,STARLINK-32049 - Z-Coordinate,STARLINK-32263 - Z-Coordinate,STARLINK-31184 - Z-Coordinate,STARLINK-30264 - Z-Coordinate,STARLINK-32123 - Z-Coordinate,STARLINK-4545 - Z-Coordinate,STARLINK-30948 - Z-Coordinate,STARLINK-30197 - Z-Coordinate,STARLINK-4677 - Z-Coordinate,STARLINK-4267 - Z-Coordinate,STARLINK-30508 - Z-Coordinate,STARLINK-30786 - Z-Coordinate,STARLINK-1166 - Z-Coordinate,STARLINK-1177 - Z-Coordinate,STARLINK-32113 - Z-Coordinate,STARLINK-3271 - Z-Coordinate,STARLINK-4011 - Z-Coordinate,STARLINK-30310 - Z-Coordinate,STARLINK-5418 - Z-Coordinate,STARLINK-30394 - Z-Coordinate,STARLINK-2347 - Z-Coordinate,STARLINK-2141 - Z-Coordinate,STARLINK-3808 - Z-Coordinate,STARLINK-4022 - Z-Coordinate,STARLINK-3306 - Z-Coordinate,STARLINK-3705 - Z-Coordinate,STARLINK-5513 - Z-Coordinate,STARLINK-11147 [DTC] - Z-Coordinate,STARLINK-5489 - Z-Coordinate,STARLINK-6282 - Z-Coordinate,STARLINK-31201 - Z-Coordinate,STARLINK-31072 - Z-Coordinate,STARLINK-31166 - Z-Coordinate,STARLINK-31075 - Z-Coordinate,STARLINK-4300 - Z-Coordinate,STARLINK-5135 - Z-Coordinate,STARLINK-3814 - Z-Coordinate,STARLINK-5857 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6173.4024,-5608.4673,841.0131,-918.7531,-3357.0196,472.3398,-2870.4462,3659.0218,5168.4329,0.0000,5302.2127,5237.6130,4194.7855,-2347.3564,-1204.4111,1632.7067,1893.3866,-2264.7320,-6468.6674,5333.0400,-6043.5374,4005.3823,-1770.4978,-746.1226,-4726.4347,-2256.9163,6648.2624,-2872.7285,-6672.1034,-2059.2844,4028.9070,901.5942,5571.1212,3078.2856,1724.5593,1563.5380,594.5143,4873.3049,-512.8099,-5356.4441,3285.3016,6315.7163,-524.7775,506.5792,3505.6585,5308.1633,-6472.4231,5508.1164,-1149.8653,-657.4590,-4141.0179,-1770.4170,5932.0671,-5407.6769,5157.4922,-6242.2606,2289.1568,3309.4843,1426.7201,-518.8778,5370.0975,2616.3629,6419.0391,1239.6528,3463.6351,482.8800,3595.7456,5303.2501,5747.8927,-1826.7168,-5727.4700,2210.1706,669.7901,0.0000,-2725.9139,1544.8326,4939.0991,-4992.7946,4716.2624,-3093.2288,-6009.9527,1510.9552,-2664.8669,-943.3538,4133.7249,5336.9111,-3790.6072,1639.1548,3021.8763,4372.1189,-5093.1080,-4530.2293,3515.6536,0.0000,4183.3453,-6279.9208,2987.4831,4114.3028,2355.0361,3272.6737,-287481.3672,-266590.5112,-282818.5973,-284446.1151,-280909.7627,-279801.7529,-275909.1352,-278720.5982,-194546152.5058,-194574304.1657,-194538878.1430,-194550194.6834,-279576.1631,-194560181.7486,-1850.6085,-1846.3800,-3188.8848,-6176.4514,-5296.4636,6728.9560,4328.1042,-3043.0598,3170.8326,0.0000,-1891.7317,2426.2390,4760.3916,6378.1748,-6419.8224,5034.5544,6073.5287,-3596.0470,-1811.6462,-1880.6244,1246.7235,3079.1749,5622.7351,-4792.5583,1664.6945,-4354.5044,-1747.4922,-5608.0257,1761.3937,5102.3680,-3541.8103,-663.9076,3918.1367,-3607.8865,-5592.9917,-6660.2319,5951.6680,-3656.5015,6381.6304,-2279.2080,-2731.5268,157.8727,6088.9726,-6724.3268,-2583.5900,4128.5844,-655.3077,4222.3604,-4253.5915,-4057.4603,-1818.2273,-4089.7902,1761.6295,2254.6975,-3730.7280,-2707.9224,3587.8730,5865.8929,5644.1186,-4979.9105,404.6495,4175.6139,-1216.8824,-5229.4385,-3875.8036,-5829.2552,5843.7127,746.7259,-3456.9680,4859.1051,-2054.2127,6522.1923,-6622.0389,0.0000,3020.8670,-6322.7053,-4299.7624,-2968.2300,1236.3447,-5310.9517,2317.4301,6741.8785,-5220.1922,-5347.2437,-2489.4868,3759.6825,-1854.1758,3828.6123,-4326.1173,-4108.0260,-521.2376,5212.8932,-3764.5774,0.0000,-4854.8324,2781.1824,4372.7534,1223.0705,-5695.0386,1982.5913,-272218.8569,-278937.3940,-261190.0615,-265528.5320,-273402.4705,-270538.0907,-265003.2425,-265022.1894,288682034.3005,288672370.7446,288660221.1035,288667067.5226,-265802.6644,288671983.7812,2469.6962,3610.7126,-6121.7838,3036.8127,2755.2661,1565.6275,-4591.0768,4999.9484,3371.7477,0.0000,3967.7759,-3681.6662,-2360.1329,-176.1318,-2293.4305,-4305.6341,-2660.4095,5402.8448,298.9614,3974.6315,-3048.9941,-4738.1294,3500.1899,4787.6275,-4732.3563,4753.5429,61.7739,2767.2320,-824.4453,3628.5436,-4374.8042,6836.0056,-585.9311,4964.9706,-3607.9461,1171.5532,3431.1392,-3291.6164,2580.6050,3583.1331,5415.0945,2541.9059,-3072.8156,-1391.8984,-5273.0746,-1592.2075,1992.3306,-192.6262,5272.3673,5491.5883,-5191.8298,-5229.0434,2970.1933,-3723.0276,2715.8015,-987.9292,-5433.0700,1316.3601,-3548.8183,-4551.1815,4274.3310,4519.0929,672.4391,-4187.3218,4299.1334,3466.3891,-183.5275,-4347.9688,1734.5631,4586.0219,-3275.1212,-250.4364,1952.2949,0.0000,-5210.9746,-2116.9580,1965.5808,3647.4816,4874.9204,-3012.1144,-2528.8809,265.9720,3572.4795,4011.8081,-4911.7004,-2123.0153,-5512.0711,-5520.9759,4491.2941,2691.2637,4682.6568,-289.7347,-4475.2787,0.0000,-2395.6293,-719.4171,-4441.9545,-5374.9011,-3054.1854,-5825.1669,-11487.1043,-14661.1379,-8460.9874,-10687.0216,-5332.1324,-12064.7296,-19640.5145,-12306.2678,153432565.7847,153407678.1361,153415271.5371,153419510.4182,-10898.1155,153421631.9848,
300.000,-5658.4789,-5340.2486,-1058.3603,-2472.4811,-4316.2608,2000.4081,-1198.3135,2942.3627,6141.3016,0.0000,5369.6482,6292.7031,4885.5768,-797.1442,-814.4232,2848.6497,3242.6282,-3726.5222,-6366.2965,3911.2348,-4742.5480,5554.9388,-42.6954,-2598.8282,-3101.6243,-4107.5368,6023.5000,-4221.2926,-6141.3005,-871.2168,2884.5619,907.7267,6103.0665,991.7444,512.7464,778.9586,2043.6162,4084.1052,1086.7592,-4895.4502,2166.0708,6557.6682,797.2697,-716.2847,2621.5823,6259.3878,-5754.0253,5560.0591,-142.3965,-2765.7523,-5367.5993,-3259.1217,5330.2786,-5372.2231,4385.9676,-6178.6694,4165.1573,4374.6690,3243.5658,-2286.1619,4337.3756,4406.0605,5627.1301,-604.1413,2083.0033,-1393.8186,4414.7565,6163.5189,4352.1077,316.0401,-6644.9984,3253.7754,-868.7647,0.0000,-1264.2561,356.7805,3461.9948,-4778.4835,5766.0201,-4134.7750,-4663.1952,2906.7642,-3471.0191,-2584.6718,3727.8210,5370.6032,-4292.5054,3466.5472,1455.1867,3704.0370,-4888.8670,-3138.7738,2089.9374,0.0000,3075.0415,-5218.8544,3711.2974,4055.5381,1269.6964,2576.2026,-281462.5435,-260723.4451,-277028.4299,-278584.2868,-275218.5750,-274131.4469,-270255.6304,-272678.0897,-200801099.5960,-200829540.9123,-200793715.9350,-200804923.9557,-273909.5304,-200815209.5563,-317.2437,145.4603,-2140.6100,-5072.9229,-3676.4506,6631.3267,5544.1654,-4825.3037,2915.6574,0.0000,-3514.7276,913.7023,3061.8840,6535.0023,-6872.1397,3425.9498,6010.6542,-1972.6193,-511.0773,-3389.7150,2392.3884,2104.1178,4995.9146,-5133.0784,2957.7586,-4103.9314,-2824.0077,-5331.8924,3169.2542,6194.7022,-5182.5681,1614.8897,2814.8710,-4041.4738,-6540.7567,-6121.1106,6325.9488,-5212.9117,6718.5474,-475.7168,-4489.2529,-1470.2347,6644.1598,-6833.7579,-4432.1328,2924.3635,716.9740,3479.7653,-2520.1696,-3576.7570,-245.7222,-2515.1517,144.9987,3805.7396,-5189.8712,-1349.1205,2669.5210,5266.1738,5513.2244,-5436.1105,-1300.6185,2986.8728,-2336.8165,-4471.0833,-5376.9498,-5085.5010,4875.3944,-743.4627,-4435.0516,5074.1918,-919.5902,5869.2536,-6868.1232,0.0000,4583.3689,-6824.9647,-4714.7188,-1112.3845,-326.1573,-3692.0111,3549.3157,6144.8555,-3551.1583,-5683.8976,-4341.3145,2206.3003,257.6157,2657.9527,-5625.5316,-5351.9226,1623.4706,5891.9474,-5263.2236,0.0000,-6036.5995,3959.1358,2493.8079,-956.4020,-6613.6990,-6.1914,-278240.8363,-284532.6580,-266985.5945,-271293.0906,-279313.1918,-276274.8433,-270926.3957,-270974.6402,284365943.6908,284356059.2140,284344755.2943,284351442.2041,-271672.5942,284355874.0724,3935.7137,4398.5182,-6530.3721,4043.5325,3839.7694,42.4409,-3983.7152,3965.7459,1396.3791,0.0000,2505.4335,-2534.4863,-3548.9198,-1703.3217,-81.1136,-5167.5389,-943.4086,5428.8087,2095.0441,4579.9038,-4378.5721,-3561.3926,4691.6442,3656.9220,-5398.5254,3600.8801,-1738.7586,1067.7349,719.6210,2083.2242,-3567.6856,6675.4924,1236.6456,5459.7558,-2053.3853,3173.7012,1839.5679,-2021.4027,1163.5983,4743.9898,4769.0990,1112.7863,-1412.7406,417.8460,-4499.6748,-68.8736,3555.0349,-2280.0144,6388.9261,5159.0331,-4305.2717,-5500.8879,4318.5750,-2197.9918,1322.3102,-2701.6951,-4812.1502,-502.1418,-2357.5790,-3315.9698,5171.3994,4047.1711,2445.3094,-5105.9615,3502.6553,4290.1944,-1969.7378,-3006.1516,3059.9456,4704.4659,-1653.4804,1556.4415,459.7093,0.0000,-4593.6646,-342.6766,3535.0607,4789.7293,3768.9460,-4015.9874,-3681.1579,-1272.6613,4736.1246,2573.1217,-3829.0376,-3664.7236,-5450.0062,-5361.7434,3778.0785,950.5710,4648.3641,-1798.0444,-3806.0252,0.0000,-946.1791,-2190.1113,-5271.8636,-5473.0161,-1392.1616,-6475.6579,-11398.6547,-14556.0202,-8325.2302,-10736.5611,-5196.2586,-11658.7486,-19578.1642,-11920.1965,153433483.5183,153409184.9696,153416022.2257,153420105.0803,-10781.5643,153422671.8405,
600.000,-4602.9113,-4589.6256,-2895.7732,-3823.5014,-4879.0678,3333.4951,559.0912,1976.9643,6480.4074,0.0000,4918.4295,6720.6921,5101.1307,850.6232,-334.0501,3825.7289,4256.9956,-4857.8410,-5577.4415,2130.2925,-2973.5210,6559.1305,1727.5568,-4157.4036,-1193.7738,-5521.9268,4783.5586,-5134.9550,-5016.5905,391.8262,1493.3466,721.7940,6012.2849,-1191.6961,-727.8890,-125.1444,3269.3808,2915.8970,2568.9425,-3973.2879,881.2351,6132.2264,2021.5643,-1871.6272,1518.9647,6596.8510,-4448.1250,5064.5762,797.7829,-4599.2399,-6081.2680,-4466.8219,4217.1983,-4826.9456,3198.5274,-5505.4782,5638.3163,4998.6168,4715.5662,-3784.4021,2905.7992,5733.4536,4176.8017,-2422.9039,516.0996,-3157.0466,4804.0227,6421.8288,2526.6343,2425.5490,-6899.8452,3986.3721,-2318.8749,0.0000,293.7987,-864.0959,1609.5529,-4124.8049,6260.7267,-4799.4818,-2865.7498,4030.4898,-3978.5970,-3927.2132,2989.2323,4890.7760,-4432.9536,4979.7616,-220.7848,2615.9728,-4257.8585,-1428.1471,485.7892,0.0000,1664.6024,-3640.2441,4125.9158,3650.3180,71.5699,1699.2302,-275314.4248,-254739.7495,-271113.7587,-272586.1757,-269402.3101,-268343.2145,-264476.5988,-266597.4349,-206960334.5623,-206989055.5720,-206952864.3010,-206963983.4177,-268119.6123,-206974524.6939,1284.6597,2144.0883,-949.6850,-3496.7053,-1684.7420,5888.9441,6246.3568,-6125.7831,2380.0868,0.0000,-4765.4697,-667.2158,1034.2151,6025.6224,-6570.5160,1484.5949,5349.4530,-191.5742,868.7629,-4605.9644,3346.0107,960.8550,3897.3666,-4975.2037,4009.3250,-3469.6201,-3633.6008,-4526.0198,4278.4152,6578.1918,-6325.7327,3718.6372,1408.7308,-4127.2807,-6829.0422,-4970.3467,6075.8291,-6255.7340,6399.5622,1410.7092,-5816.4181,-2937.5537,6519.1694,-6252.7215,-5834.3148,1434.0713,2052.9640,2359.3201,-470.1490,-2791.1082,1310.8969,-725.8482,-1525.0309,4966.2484,-6137.4282,172.7182,1537.5597,4126.4010,4838.2469,-5343.0080,-2918.4125,1513.4547,-3214.2091,-3293.8435,-6323.4992,-3849.2771,3399.8126,-2128.9316,-5011.1012,4842.7530,288.1460,4619.0712,-6450.6179,0.0000,5653.5955,-6625.0526,-4680.0569,884.3677,-1819.6705,-1703.3870,4471.1469,4944.5706,-1522.6061,-5432.9071,-5747.6528,401.9608,2328.1515,1276.7098,-6398.1318,-5968.6287,3614.6838,6007.1964,-6242.1670,0.0000,-6605.1070,4769.2759,373.1572,-3042.3040,-6861.6913,-2028.7730,-284126.7429,-290003.8006,-272661.5795,-276929.4878,-285101.7928,-281873.2556,-276729.2973,-276842.4056,279914345.1136,279904226.9874,279893782.9274,279900326.3955,-277421.7265,279904252.6101,4975.0462,4713.8014,-6249.5176,4619.8390,4498.3873,-1485.3234,-2950.2644,2502.4103,-728.0648,0.0000,769.8749,-1105.5874,-4330.5274,-3037.3527,2139.8964,-5451.2813,876.2926,4860.7428,3644.2959,4691.4029,-5230.4057,-2002.7066,5364.6855,2115.1806,-5478.7495,2046.0911,-3348.5427,-748.5704,2187.0972,279.8150,-2377.2165,5802.7335,2920.9556,5354.4189,-273.4453,4837.2376,48.0214,-533.9658,-379.5634,5376.1137,3606.2773,-441.9442,404.8367,2181.8560,-3225.6307,1461.8931,4715.4418,-4124.5719,6806.1675,4258.3287,-2949.2107,-5170.0551,5191.1949,-438.5019,-213.4415,-4119.3640,-3670.4410,-2265.2817,-901.1373,-1699.5992,5502.3421,3093.9172,3911.0789,-5450.8353,2300.1775,4628.0678,-3538.9051,-1337.8487,4057.0421,4319.1580,146.9990,3193.4542,-1082.0262,0.0000,-3413.1755,1469.7358,4710.1051,5403.4659,2253.6482,-4574.1368,-4437.7590,-2674.0186,5378.4031,836.8636,-2328.5685,-4803.1698,-4808.7999,-4626.2340,2660.6044,-909.1429,4118.8067,-3112.2688,-2710.1436,0.0000,608.7199,-3423.7677,-5534.3042,-4973.5119,422.5562,-6447.0633,-11309.9284,-14450.6454,-8194.1433,-10786.2718,-5063.2042,-11249.0302,-19511.3572,-11450.8957,153434396.0668,153410698.3260,153416774.2391,153420705.9588,-10665.0067,153423711.3999,
