sl_100_5400_20300610 Coordinates.csv
2030/06/10 07:47:00.0000 UTC

Generated: Tue Oct  8 21:50:20 2024,
Start: 2030/06/10 07:47:00.00, Stop: 2030/06/10 09:17:00.00,
TIME_UNITS,STARLINK-30581 - X-Coordinate,STARLINK-4484 - X-Coordinate,STARLINK-11106 [DTC] - X-Coordinate,STARLINK-4722 - X-Coordinate,STARLINK-3570 - X-Coordinate,STARLINK-1060 - X-Coordinate,STARLINK-1281 - X-Coordinate,STARLINK-4208 - X-Coordinate,STARLINK-3849 - X-Coordinate,STARLINK-1052 - X-Coordinate,STARLINK-31528 - X-Coordinate,STARLINK-30954 - X-Coordinate,STARLINK-30547 - X-Coordinate,STARLINK-6079 - X-Coordinate,STARLINK-31375 - X-Coordinate,STARLINK-5422 - X-Coordinate,STARLINK-30903 - X-Coordinate,STARLINK-6230 - X-Coordinate,STARLINK-1417 - X-Coordinate,STARLINK-2493 - X-Coordinate,STARLINK-31692 - X-Coordinate,STARLINK-1104 - X-Coordinate,STARLINK-32189 - X-Coordinate,STARLINK-5306 - X-Coordinate,STARLINK-4791 - X-Coordinate,STARLINK-6237 - X-Coordinate,STARLINK-6298 - X-Coordinate,STARLINK-6267 - X-Coordinate,STARLINK-3226 - X-Coordinate,STARLINK-5273 - X-Coordinate,STARLINK-30426 - X-Coordinate,STARLINK-31200 - X-Coordinate,STARLINK-31607 - X-Coordinate,STARLINK-3797 - X-Coordinate,STARLINK-5703 - X-Coordinate,STARLINK-3253 - X-Coordinate,STARLINK-5589 - X-Coordinate,STARLINK-3945 - X-Coordinate,STARLINK-30428 - X-Coordinate,STARLINK-3365 - X-Coordinate,STARLINK-3074 - X-Coordinate,STARLINK-5768 - X-Coordinate,STARLINK-31600 - X-Coordinate,STARLINK-3185 - X-Coordinate,STARLINK-30079 - X-Coordinate,STARLINK-6141 - X-Coordinate,STARLINK-32211 - X-Coordinate,STARLINK-1027 - X-Coordinate,STARLINK-31075 - X-Coordinate,STARLINK-2589 - X-Coordinate,STARLINK-5020 - X-Coordinate,STARLINK-31064 - X-Coordinate,STARLINK-3225 - X-Coordinate,STARLINK-11129 [DTC] - X-Coordinate,STARLINK-1244 - X-Coordinate,STARLINK-30794 - X-Coordinate,STARLINK-30871 - X-Coordinate,STARLINK-1328 - X-Coordinate,STARLINK-5534 - X-Coordinate,STARLINK-3971 - X-Coordinate,STARLINK-4340 - X-Coordinate,STARLINK-3534 - X-Coordinate,STARLINK-30180 - X-Coordinate,STARLINK-1758 - X-Coordinate,STARLINK-5346 - X-Coordinate,STARLINK-5514 - X-Coordinate,STARLINK-6325 - X-Coordinate,STARLINK-1227 - X-Coordinate,STARLINK-4073 - X-Coordinate,STARLINK-4028 - X-Coordinate,STARLINK-31460 - X-Coordinate,STARLINK-30840 - X-Coordinate,STARLINK-11200 [DTC] - X-Coordinate,STARLINK-5146 - X-Coordinate,STARLINK-30992 - X-Coordinate,STARLINK-31680 - X-Coordinate,STARLINK-30371 - X-Coordinate,STARLINK-4185 - X-Coordinate,STARLINK-31150 - X-Coordinate,STARLINK-31970 - X-Coordinate,STARLINK-31870 - X-Coordinate,STARLINK-1309 - X-Coordinate,STARLINK-5722 - X-Coordinate,STARLINK-30252 - X-Coordinate,STARLINK-4462 - X-Coordinate,STARLINK-30942 - X-Coordinate,STARLINK-30092 - X-Coordinate,STARLINK-5852 - X-Coordinate,STARLINK-5943 - X-Coordinate,STARLINK-30364 - X-Coordinate,STARLINK-5292 - X-Coordinate,STARLINK-6220 - X-Coordinate,STARLINK-5740 - X-Coordinate,STARLINK-4414 - X-Coordinate,STARLINK-32269 - X-Coordinate,STARLINK-4331 - X-Coordinate,STARLINK-30780 - X-Coordinate,STARLINK-31960 - X-Coordinate,STARLINK-3569 - X-Coordinate,STARLINK-30287 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30581 - Y-Coordinate,STARLINK-4484 - Y-Coordinate,STARLINK-11106 [DTC] - Y-Coordinate,STARLINK-4722 - Y-Coordinate,STARLINK-3570 - Y-Coordinate,STARLINK-1060 - Y-Coordinate,STARLINK-1281 - Y-Coordinate,STARLINK-4208 - Y-Coordinate,STARLINK-3849 - Y-Coordinate,STARLINK-1052 - Y-Coordinate,STARLINK-31528 - Y-Coordinate,STARLINK-30954 - Y-Coordinate,STARLINK-30547 - Y-Coordinate,STARLINK-6079 - Y-Coordinate,STARLINK-31375 - Y-Coordinate,STARLINK-5422 - Y-Coordinate,STARLINK-30903 - Y-Coordinate,STARLINK-6230 - Y-Coordinate,STARLINK-1417 - Y-Coordinate,STARLINK-2493 - Y-Coordinate,STARLINK-31692 - Y-Coordinate,STARLINK-1104 - Y-Coordinate,STARLINK-32189 - Y-Coordinate,STARLINK-5306 - Y-Coordinate,STARLINK-4791 - Y-Coordinate,STARLINK-6237 - Y-Coordinate,STARLINK-6298 - Y-Coordinate,STARLINK-6267 - Y-Coordinate,STARLINK-3226 - Y-Coordinate,STARLINK-5273 - Y-Coordinate,STARLINK-30426 - Y-Coordinate,STARLINK-31200 - Y-Coordinate,STARLINK-31607 - Y-Coordinate,STARLINK-3797 - Y-Coordinate,STARLINK-5703 - Y-Coordinate,STARLINK-3253 - Y-Coordinate,STARLINK-5589 - Y-Coordinate,STARLINK-3945 - Y-Coordinate,STARLINK-30428 - Y-Coordinate,STARLINK-3365 - Y-Coordinate,STARLINK-3074 - Y-Coordinate,STARLINK-5768 - Y-Coordinate,STARLINK-31600 - Y-Coordinate,STARLINK-3185 - Y-Coordinate,STARLINK-30079 - Y-Coordinate,STARLINK-6141 - Y-Coordinate,STARLINK-32211 - Y-Coordinate,STARLINK-1027 - Y-Coordinate,STARLINK-31075 - Y-Coordinate,STARLINK-2589 - Y-Coordinate,STARLINK-5020 - Y-Coordinate,STARLINK-31064 - Y-Coordinate,STARLINK-3225 - Y-Coordinate,STARLINK-11129 [DTC] - Y-Coordinate,STARLINK-1244 - Y-Coordinate,STARLINK-30794 - Y-Coordinate,STARLINK-30871 - Y-Coordinate,STARLINK-1328 - Y-Coordinate,STARLINK-5534 - Y-Coordinate,STARLINK-3971 - Y-Coordinate,STARLINK-4340 - Y-Coordinate,STARLINK-3534 - Y-Coordinate,STARLINK-30180 - Y-Coordinate,STARLINK-1758 - Y-Coordinate,STARLINK-5346 - Y-Coordinate,STARLINK-5514 - Y-Coordinate,STARLINK-6325 - Y-Coordinate,STARLINK-1227 - Y-Coordinate,STARLINK-4073 - Y-Coordinate,STARLINK-4028 - Y-Coordinate,STARLINK-31460 - Y-Coordinate,STARLINK-30840 - Y-Coordinate,STARLINK-11200 [DTC] - Y-Coordinate,STARLINK-5146 - Y-Coordinate,STARLINK-30992 - Y-Coordinate,STARLINK-31680 - Y-Coordinate,STARLINK-30371 - Y-Coordinate,STARLINK-4185 - Y-Coordinate,STARLINK-31150 - Y-Coordinate,STARLINK-31970 - Y-Coordinate,STARLINK-31870 - Y-Coordinate,STARLINK-1309 - Y-Coordinate,STARLINK-5722 - Y-Coordinate,STARLINK-30252 - Y-Coordinate,STARLINK-4462 - Y-Coordinate,STARLINK-30942 - Y-Coordinate,STARLINK-30092 - Y-Coordinate,STARLINK-5852 - Y-Coordinate,STARLINK-5943 - Y-Coordinate,STARLINK-30364 - Y-Coordinate,STARLINK-5292 - Y-Coordinate,STARLINK-6220 - Y-Coordinate,STARLINK-5740 - Y-Coordinate,STARLINK-4414 - Y-Coordinate,STARLINK-32269 - Y-Coordinate,STARLINK-4331 - Y-Coordinate,STARLINK-30780 - Y-Coordinate,STARLINK-31960 - Y-Coordinate,STARLINK-3569 - Y-Coordinate,STARLINK-30287 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30581 - Z-Coordinate,STARLINK-4484 - Z-Coordinate,STARLINK-11106 [DTC] - Z-Coordinate,STARLINK-4722 - Z-Coordinate,STARLINK-3570 - Z-Coordinate,STARLINK-1060 - Z-Coordinate,STARLINK-1281 - Z-Coordinate,STARLINK-4208 - Z-Coordinate,STARLINK-3849 - Z-Coordinate,STARLINK-1052 - Z-Coordinate,STARLINK-31528 - Z-Coordinate,STARLINK-30954 - Z-Coordinate,STARLINK-30547 - Z-Coordinate,STARLINK-6079 - Z-Coordinate,STARLINK-31375 - Z-Coordinate,STARLINK-5422 - Z-Coordinate,STARLINK-30903 - Z-Coordinate,STARLINK-6230 - Z-Coordinate,STARLINK-1417 - Z-Coordinate,STARLINK-2493 - Z-Coordinate,STARLINK-31692 - Z-Coordinate,STARLINK-1104 - Z-Coordinate,STARLINK-32189 - Z-Coordinate,STARLINK-5306 - Z-Coordinate,STARLINK-4791 - Z-Coordinate,STARLINK-6237 - Z-Coordinate,STARLINK-6298 - Z-Coordinate,STARLINK-6267 - Z-Coordinate,STARLINK-3226 - Z-Coordinate,STARLINK-5273 - Z-Coordinate,STARLINK-30426 - Z-Coordinate,STARLINK-31200 - Z-Coordinate,STARLINK-31607 - Z-Coordinate,STARLINK-3797 - Z-Coordinate,STARLINK-5703 - Z-Coordinate,STARLINK-3253 - Z-Coordinate,STARLINK-5589 - Z-Coordinate,STARLINK-3945 - Z-Coordinate,STARLINK-30428 - Z-Coordinate,STARLINK-3365 - Z-Coordinate,STARLINK-3074 - Z-Coordinate,STARLINK-5768 - Z-Coordinate,STARLINK-31600 - Z-Coordinate,STARLINK-3185 - Z-Coordinate,STARLINK-30079 - Z-Coordinate,STARLINK-6141 - Z-Coordinate,STARLINK-32211 - Z-Coordinate,STARLINK-1027 - Z-Coordinate,STARLINK-31075 - Z-Coordinate,STARLINK-2589 - Z-Coordinate,STARLINK-5020 - Z-Coordinate,STARLINK-31064 - Z-Coordinate,STARLINK-3225 - Z-Coordinate,STARLINK-11129 [DTC] - Z-Coordinate,STARLINK-1244 - Z-Coordinate,STARLINK-30794 - Z-Coordinate,STARLINK-30871 - Z-Coordinate,STARLINK-1328 - Z-Coordinate,STARLINK-5534 - Z-Coordinate,STARLINK-3971 - Z-Coordinate,STARLINK-4340 - Z-Coordinate,STARLINK-3534 - Z-Coordinate,STARLINK-30180 - Z-Coordinate,STARLINK-1758 - Z-Coordinate,STARLINK-5346 - Z-Coordinate,STARLINK-5514 - Z-Coordinate,STARLINK-6325 - Z-Coordinate,STARLINK-1227 - Z-Coordinate,STARLINK-4073 - Z-Coordinate,STARLINK-4028 - Z-Coordinate,STARLINK-31460 - Z-Coordinate,STARLINK-30840 - Z-Coordinate,STARLINK-11200 [DTC] - Z-Coordinate,STARLINK-5146 - Z-Coordinate,STARLINK-30992 - Z-Coordinate,STARLINK-31680 - Z-Coordinate,STARLINK-30371 - Z-Coordinate,STARLINK-4185 - Z-Coordinate,STARLINK-31150 - Z-Coordinate,STARLINK-31970 - Z-Coordinate,STARLINK-31870 - Z-Coordinate,STARLINK-1309 - Z-Coordinate,STARLINK-5722 - Z-Coordinate,STARLINK-30252 - Z-Coordinate,STARLINK-4462 - Z-Coordinate,STARLINK-30942 - Z-Coordinate,STARLINK-30092 - Z-Coordinate,STARLINK-5852 - Z-Coordinate,STARLINK-5943 - Z-Coordinate,STARLINK-30364 - Z-Coordinate,STARLINK-5292 - Z-Coordinate,STARLINK-6220 - Z-Coordinate,STARLINK-5740 - Z-Coordinate,STARLINK-4414 - Z-Coordinate,STARLINK-32269 - Z-Coordinate,STARLINK-4331 - Z-Coordinate,STARLINK-30780 - Z-Coordinate,STARLINK-31960 - Z-Coordinate,STARLINK-3569 - Z-Coordinate,STARLINK-30287 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4886.3381,1065.5253,-2803.3971,6604.8430,5774.3059,-4724.8100,-4348.0866,5465.9935,-5233.2401,0.0000,-3732.4212,-6725.5020,-5655.3761,-6815.3023,0.0000,2766.4549,5576.2265,200.4655,-3753.0905,6122.9448,0.0000,4785.7087,658.4381,1334.0112,-5201.8643,-2340.7282,6563.8293,-6191.3505,-4063.9953,5001.5786,4301.3198,1180.6288,2216.0648,-6516.9746,5870.5559,-1762.7815,-2702.1755,-6419.3820,5584.2348,47.7957,-3955.7528,5768.4254,4503.6346,3.3583,-1810.2397,566.1490,2828.9548,-4100.2358,2852.1732,-790.0304,0.0000,-3584.1881,-4020.6683,5219.0802,-4762.3243,-853.0929,-6383.3424,4540.2307,-576.6166,-819.3637,991.1106,-4837.5436,-3234.4529,4723.7277,-6321.0837,2414.2129,997.0047,-6198.4728,-3694.4619,6045.1502,-2720.0476,-1268.6713,646.2526,-5451.2574,-1492.9924,-4050.0520,5957.4349,-4812.5277,-2185.3526,-5768.9872,-1770.1442,5257.2087,-3562.1677,-2682.6324,-4559.4773,1202.5325,5538.5382,-3626.2479,4109.9537,-2150.8859,-2509.9431,5597.1157,-6083.6256,-5061.9962,-860.5548,6212.0661,6468.0293,-5069.0951,-5082.1848,3326.7766,361201.1707,371869.8815,359271.0667,356903.5464,358934.4017,360540.3945,365406.8532,360216.0353,-181647253.2669,-181618212.7815,-181655380.2019,-181661485.8421,361660.4781,-181655633.6339,1762.0193,6769.9779,-2927.5386,1771.2806,2147.6563,-799.9227,-2873.5571,-1347.1557,3055.4932,0.0000,3759.1522,815.5223,3962.0242,-654.6451,0.0000,-3381.5724,1205.5205,-5066.9757,5643.1343,3209.4507,0.0000,2198.2430,-5924.2502,-4217.0836,174.2841,4879.8556,2097.0447,-2910.6459,5497.8365,3822.3494,1048.4936,6577.8010,-4560.2412,1227.8995,3265.0477,3872.4111,-6249.7783,-1864.1474,155.4744,5058.0300,-5261.2427,153.2258,-4996.2519,5681.9085,-4943.0458,5078.6926,-4097.6416,342.3421,-5748.3854,6742.0388,0.0000,-3575.8355,2277.1042,-3572.3353,-4658.0933,-6763.5998,-2453.9469,-5194.1934,-3792.6480,4440.4033,5620.7147,3951.9117,-4402.2942,1315.9089,-2262.9871,4974.7925,-2239.5165,-2460.1782,-2001.5342,2574.9263,5398.8080,5164.4819,-4826.8728,-4226.1895,6009.5548,5378.2800,-3411.8571,-3295.2849,-4505.6040,329.7873,5309.6685,-2527.8949,-5737.4305,6319.5306,-2170.7314,4929.1228,3930.7784,-5915.8985,-3201.5961,6535.1204,-174.1261,4085.7802,-3267.0398,4203.7326,-4895.1086,3048.3501,-211.9238,320.3355,2499.0044,4305.6746,90968.7375,71031.1702,91459.3804,87523.3792,79144.6184,81723.8539,86447.5165,86996.6747,298058632.9984,298057182.9230,298083511.0793,298082484.7254,86346.7173,298075700.9049,-4587.4087,-769.6348,-5360.4965,-92.5063,3066.6322,-5037.9184,4485.2475,-4017.4395,3281.8610,0.0000,4426.7899,-1387.8322,-1.5648,-1200.2215,0.0000,5310.1655,-3727.7682,4704.9465,-100.1511,99.5834,0.0000,4303.5070,3296.7973,-5338.9162,4360.4616,4341.0443,705.4178,-1114.2743,443.6873,2738.2328,-5241.9590,1772.9472,-4533.0870,-1929.5331,1651.3062,-5473.9532,-1012.2662,1747.0578,4048.0869,-4712.7736,-2213.6606,3817.4982,1181.7396,-3935.4453,-4461.7450,4638.9230,4573.3269,5458.6140,-2556.1486,-1055.2943,0.0000,4575.6956,5222.4842,-2098.1757,1666.3835,1009.0549,-1112.2811,-194.3061,5769.5820,-5266.3155,-3884.1007,2913.2535,-4230.3264,4722.9064,1637.0192,-4177.5341,-6521.6975,1785.5842,5416.2381,2154.9772,3215.8084,4412.2521,-4642.2865,76.0366,3123.2642,-1071.5442,-395.7422,-3705.5107,4546.8266,3545.2587,-3910.1787,3529.0514,-1484.7760,-978.1021,-4727.5231,-4721.5726,1360.7235,-200.1199,-4631.7888,-456.6537,-6508.6686,405.7399,546.5818,2153.0098,4670.3258,-359.1431,2558.0967,-4483.8883,-3850.6568,-4278.4786,-40086.7782,-45269.9776,-39108.4029,-41290.5106,-35955.5222,-42736.0589,-50272.2846,-42415.1246,148639703.7524,148624106.3144,148632572.7232,148646303.0804,-41533.3703,148647176.1408,
300.000,5672.7467,2178.0939,-4365.2272,6555.0406,5274.6464,-4049.0423,-4329.8686,5698.5543,-3585.5546,0.0000,-3039.7812,-5918.2608,-4683.2861,-6888.8408,0.0000,702.5192,5112.9175,-1927.5757,-2555.8460,6399.5689,0.0000,6043.9326,-680.9552,-250.9918,-3983.6689,-668.1121,6849.2908,-6750.8090,-2958.3099,5030.2713,5190.3542,2595.7650,166.0360,-6441.5032,6032.0448,380.4047,-4043.0251,-6021.7508,5942.5647,1759.6546,-4676.2571,6143.2069,2958.0712,1495.6545,-3773.1973,2613.2276,738.6978,-3814.5249,1492.6548,427.7158,0.0000,-5084.7546,-3531.5723,3729.4208,-5697.4784,-2291.1354,-6839.2723,3439.8682,-2024.7417,1009.2205,275.9708,-4306.2659,-4961.0364,5798.8720,-6206.6704,4267.5615,-1174.6956,-6772.6288,-4209.9947,6741.5046,-968.3452,631.8323,-1009.7208,-5928.5764,77.1080,-3032.3918,4991.3891,-6095.2596,-3899.0320,-5984.6195,304.5573,3602.8504,-4531.4324,-1078.2698,-4313.7108,3202.9020,5917.6491,-3999.2839,2414.8434,-587.9381,-3217.8924,5578.7786,-6601.9244,-5613.0216,-2675.2801,5577.8357,6618.7398,-5018.3472,-4955.4175,4431.8739,358875.7428,370184.3757,357473.2414,355180.4841,357018.0489,358637.1788,363451.1099,358600.1160,-188110556.2057,-188081255.1222,-188119245.2081,-188125127.0506,359728.0162,-188118937.4841,-149.6662,6046.8096,-1431.1729,510.4136,480.7598,1204.2114,-835.5767,-2958.2464,3734.5590,0.0000,5360.9128,2264.5360,4744.4276,854.4486,0.0000,-4074.6050,-798.7792,-5025.1333,6037.9476,1999.0159,0.0000,992.5632,-6569.5951,-2976.3281,1808.4605,5951.8229,616.8064,-1506.9446,6026.9216,2145.1815,-771.9157,5610.9031,-4290.8128,2482.6240,1577.9364,4230.6162,-5543.4132,-440.7489,-1730.0615,5684.0449,-5130.8896,-1666.2258,-5577.4369,6281.3513,-4407.0198,4385.9831,-4161.6641,2485.4215,-6646.8185,6812.0583,0.0000,-2094.1137,4187.7622,-4149.5981,-3834.2729,-6019.0180,-1012.9817,-5761.5038,-4875.8683,5252.4437,4163.6791,5242.0325,-3468.2777,-211.2824,-572.5756,4393.4893,-2586.4568,-1348.9094,125.4527,1500.3474,5072.8697,5841.2942,-5684.0467,-3081.1589,6695.5411,6056.4139,-4585.3787,-2419.9958,-3148.8847,2149.2526,5104.4625,-3373.4247,-4375.9136,6410.6380,-117.7672,4151.5009,2320.2367,-5340.7568,-4516.7013,6587.9574,1826.8964,3300.0169,-1849.7676,4057.4312,-5224.1011,3225.7585,-1826.5985,2413.7420,4096.5056,2500.9594,98761.1689,78863.6379,99111.3743,95190.2592,86701.0201,89452.5584,93998.5449,94697.3756,294021982.1326,294021286.3495,294047013.0906,294045226.7109,93947.5895,294038957.9268,-3977.3954,-2505.0583,-4904.7377,-1888.3420,4390.2618,-5523.0156,5274.0036,-2568.1355,4545.1824,0.0000,3116.2720,-2771.9914,1790.6741,337.1356,0.0000,5493.8516,-4434.9694,4346.4445,1709.5250,-1694.3927,0.0000,2961.2452,1676.1285,-6256.2001,5190.5137,3504.6857,-840.7747,427.5454,-1374.7395,4145.5991,-4419.8716,3092.4584,-5274.7405,-144.4467,2991.8114,-5479.8920,536.8684,3353.2603,3051.0457,-3519.2236,-121.6243,2716.2123,2600.2549,-2463.1561,-3735.4576,4644.0737,5274.9857,5099.6075,-1135.0906,763.0896,0.0000,4042.5614,4317.1515,-3645.5163,-134.4220,2447.0953,429.9628,1605.2111,4490.3129,-4417.3861,-5500.0212,1230.9140,-3330.1496,3564.3064,2980.1351,-3241.6044,-6361.3691,-4.3415,5408.1772,388.1131,4493.0295,3639.5421,-3454.1149,-1722.3867,1812.4275,756.1775,1150.8954,-2174.1963,4542.2545,2355.5053,-4524.0404,4700.6492,-2853.8031,-2417.5523,-5407.0758,-4532.2788,2748.2939,1908.6208,-4729.2489,-1953.1515,-5915.6617,2479.0483,-997.9885,-65.8664,3477.5235,-2552.1803,1141.0659,-3854.4237,-2355.9660,-4692.2721,-40109.4781,-45395.1622,-39201.8963,-41571.3172,-36049.5101,-42561.0714,-50441.0620,-42863.5348,148641469.3930,148625922.5011,148634804.6189,148648831.9867,-41647.3810,148649147.7492,
600.000,5938.9965,3100.6382,-5487.0822,5836.6463,4277.1503,-3033.8144,-3932.5467,5384.4300,-1572.9456,0.0000,-2078.5897,-4536.7799,-3230.9421,-6299.1677,0.0000,-1415.0256,4165.4291,-3861.4058,-1071.2156,6048.1955,0.0000,6677.2021,-1930.7246,-1869.1131,-2384.4652,1040.5149,6470.9845,-6656.0023,-1536.7642,4587.3473,5588.4909,3786.7323,-1922.9897,-5721.8979,5625.5219,2475.3860,-4987.2715,-5041.2086,5739.0291,3267.3664,-4918.6475,5937.2978,1096.9390,2814.5814,-5361.9604,4418.1853,-1441.5176,-3195.4862,-2.3890,1610.7518,0.0000,-6088.6054,-2748.8482,1810.3877,-6054.1383,-3526.6322,-6631.1883,1980.8673,-3220.5301,2705.8121,-394.5981,-3354.1518,-6202.7328,6290.1624,-5501.6567,5701.0399,-3212.5841,-6669.3874,-4356.6856,6766.0922,914.8112,2446.9095,-2523.7547,-5823.6341,1623.0624,-1691.2377,3522.5999,-6766.3425,-5233.4052,-5595.0517,2364.8620,1577.1185,-5084.7313,649.9197,-3698.4870,4905.0765,5741.5512,-3985.7519,516.7484,1050.2720,-3674.4737,5011.5315,-6482.8001,-5549.1273,-4188.6502,4350.7641,6140.3173,-4480.3432,-4342.4593,5148.6722,356385.2495,368333.2138,355516.6986,353311.6816,354943.9706,356572.3315,361337.7377,356902.4676,-194484197.0592,-194454651.9909,-194493454.3209,-194499046.9808,357635.8274,-194492575.4501,-2022.3729,4715.7084,172.9075,-823.7822,-1271.1017,3118.9026,1302.2980,-4254.2568,4090.0660,0.0000,6422.4761,3519.1250,5068.8149,2284.5856,0.0000,-4416.7820,-2744.8243,-4535.5831,5804.1672,572.7236,0.0000,-283.2785,-6536.0236,-1490.6915,3300.2704,6467.4112,-931.2321,47.0704,5947.8241,224.2407,-2479.6171,4099.2357,-3630.6487,3487.4105,-283.4436,4233.4561,-4284.3249,1060.1597,-3425.8131,5771.6678,-4478.2259,-3303.9567,-5612.7460,6268.2631,-3474.1817,3306.1014,-3843.6694,4373.6254,-6892.5874,6189.3862,0.0000,-434.3253,5689.5234,-4305.9192,-2619.3604,-4681.1172,530.5677,-5763.2625,-5499.2327,5585.2898,2229.6223,5997.8445,-2227.0003,-1680.5316,1197.2415,3416.8080,-2755.8304,-102.7352,2224.1930,280.8501,4267.5825,5973.3716,-5950.2699,-1611.8963,6738.9940,6108.1345,-5312.1161,-1327.5642,-1499.4130,3728.4692,4422.9821,-3923.1796,-2579.2300,5894.0511,1966.6239,3014.1078,466.7187,-4207.3196,-5439.1831,5999.3073,3612.6435,2151.7042,-244.0710,3467.6052,-5043.8303,3019.2362,-3256.4405,4244.3223,5258.3089,469.6102,106479.6259,86657.4202,106718.7648,102818.7934,94215.2193,97156.1371,101505.4437,102316.3375,289845207.6118,289845269.7797,289870364.0470,289867799.7505,101505.3066,289862091.7851,-2941.6815,-3968.3672,-3874.5928,-3473.8340,5233.9715,-5424.0471,5485.7317,-841.9213,5313.8287,0.0000,1468.3873,-3857.4530,3388.6769,1838.6263,0.0000,5076.9796,-4643.8542,3520.5896,3323.2899,-3305.5972,0.0000,1283.9246,-133.5037,-6506.8305,5431.0478,2294.5526,-2296.7531,1923.4990,-3040.8290,5096.2863,-3110.7201,4078.0122,-5420.6786,1656.2691,4009.8533,-4901.3399,2027.2102,4596.7321,1723.0176,-1946.1350,1983.3517,1322.7079,3727.5442,-724.7580,-2604.1608,4146.5478,5369.9084,4173.1886,408.9088,2497.4012,0.0000,3056.7924,2958.4621,-4754.6511,-1920.4525,3618.2972,1926.0236,3230.3502,2730.9707,-3097.3375,-6521.8832,-585.4487,-2070.0958,2003.8300,4001.0986,-1958.4923,-5533.1156,-1793.8213,4803.4397,-1420.6289,5271.8502,2474.0566,-1862.0243,-3333.7856,307.8606,2498.6419,2571.1472,-407.7793,4015.6531,896.4582,-4632.1383,5344.3235,-3915.2292,-3598.5666,-5506.0308,-3858.3907,3840.7697,3813.6236,-4329.8123,-3237.2688,-4703.9407,4287.8089,-2435.4858,-2277.7154,1894.5945,-4471.8544,-396.7580,-2781.9136,-599.6757,-4602.5818,-40137.1971,-45520.0665,-39300.0170,-41852.4011,-36146.3061,-42382.2283,-50605.3549,-43223.5437,148643238.2136,148627739.2228,148637048.6322,148651362.3468,-41761.3631,148651119.0658,
