TIME_UNITS,STARLINK-31181 - X-Coordinate,STARLINK-6132 - X-Coordinate,STARLINK-31159 - X-Coordinate,STARLINK-30421 - X-Coordinate,STARLINK-11232 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31181 - Y-Coordinate,STARLINK-6132 - Y-Coordinate,STARLINK-31159 - Y-Coordinate,STARLINK-30421 - Y-Coordinate,STARLINK-11232 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31181 - Z-Coordinate,STARLINK-6132 - Z-Coordinate,STARLINK-31159 - Z-Coordinate,STARLINK-30421 - Z-Coordinate,STARLINK-11232 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
32400.000,-291.0264,5016.3293,4921.4111,6525.3890,-2565.6793,146724.7666,159070.6025,144637.4435,146389.7981,147421.9791,146931.5516,139047.4655,142536.6544,-160056431.5527,-160053825.9571,-160031675.1338,-160044651.1908,142620.3119,-160049492.3634,-5064.6706,-4678.5121,-3826.0207,-1564.8704,-5981.2975,307675.4266,322003.0278,306650.7512,305415.5646,314544.1199,313762.8086,315674.1981,310907.5354,-316078566.5972,-316106901.8564,-316077433.6058,-316084686.8399,312413.8630,-316094017.7425,4623.3994,774.9704,2984.4353,1218.0855,1705.1973,-105238.6770,-107659.4305,-104903.3955,-99480.6863,-101772.0383,-112320.8730,-107438.8665,-103324.0220,88312048.4915,88285604.0181,88294098.7707,88294685.0359,-104234.9642,88300625.2552,
36000.000,4213.4787,-2029.7649,-1199.2257,-3526.5332,4079.3407,63413.8238,73913.8464,61071.4215,64229.9987,66403.4221,65217.6724,56806.0128,60135.5083,-72723512.5829,-72718775.1192,-72705950.1921,-72718537.2779,60351.0541,-72716505.8704,4818.2729,5295.1726,4927.9518,3147.7761,4233.4421,338224.6972,350320.3042,331669.0902,331329.0768,339622.5521,339336.5496,340868.7870,339388.0029,-346744828.1480,-346776881.9378,-346741551.1186,-346752291.7283,337738.2858,-346761265.7201,-2504.7705,-3943.4305,-4705.7854,-4922.3915,3268.9301,-106175.7470,-108819.2444,-104622.7024,-101525.1286,-101152.9853,-111841.8652,-111106.8665,-105984.8898,88378648.1349,88359576.7912,88358886.9500,88359202.7405,-105235.0859,88368743.9552,
39600.000,-6011.8384,-2140.6618,-2822.2070,-1133.1228,-3992.8727,-28491.3713,-15395.3691,-26240.8312,-22080.3651,-18715.5462,-20509.4123,-28614.8721,-25054.8909,19571644.1502,19580094.3127,19582104.5464,19572150.0285,-25539.5638,19579245.1849,-3041.5957,-4710.6573,-5277.8915,-4583.0719,695.8725,342165.5251,356447.9354,335946.5955,336182.6867,343784.7714,343775.9331,344663.4602,340145.8591,-353744626.3516,-353778525.9991,-353742487.5646,-353758120.5089,341798.7388,-353761936.4597,-1351.9459,4561.2774,3454.9118,4914.4549,-5377.6213,-105589.5451,-109933.0702,-104494.2688,-103961.3602,-101134.3367,-110629.1383,-113887.9076,-105820.9698,88444582.0406,88434330.0670,88424027.8211,88425950.6334,-106223.3498,88436838.3336,
43200.000,5371.7106,5554.5757,5351.5365,4487.3675,3129.2771,-112920.9468,-103154.5776,-111859.8335,-107527.6373,-102374.7731,-105256.0424,-112075.9789,-110508.5610,110529945.9378,110542344.2981,110534819.0728,110530862.2229,-109651.7674,110538543.0592,-339.1957,3422.2287,4379.1250,4987.0831,-5295.5174,319498.3108,340084.5985,319174.3540,319856.6202,326737.4456,326374.7803,327207.3371,325973.8553,-336600455.6452,-336633413.1424,-336602415.3101,-336621740.8726,324387.5818,-336618278.2724,4260.5526,-2264.6562,-48.6553,-1240.6795,2722.7933,-105338.9575,-110995.6878,-104817.2515,-106795.3871,-101592.3737,-108590.1827,-115922.6060,-107426.9043,88509990.1042,88509323.2074,88489697.7057,88495099.6828,-107199.6406,88504908.3690,
46800.000,-3312.9773,-6611.6264,-5765.6291,-5135.2944,-1150.1803,-186955.8509,-183770.1929,-190387.0003,-187509.6441,-179263.2885,-184803.1782,-188525.8825,-185633.1962,193943632.3380,193958581.4334,193945632.4280,193950060.2976,-186710.3370,193953396.8552,4253.8742,-1304.4517,-1733.2617,-2952.4146,6211.5172,278279.4484,302371.2966,282347.7622,284417.3767,289506.6540,286964.0274,289740.5805,285238.2052,-296482575.1942,-296512001.3232,-296490668.4607,-296509396.4880,286644.8017,-296500398.3230,-4264.6012,-1506.7701,-3407.6197,-3387.8819,2315.6421,-105640.8216,-112000.2831,-105766.6216,-109560.2776,-102458.8854,-106211.6201,-117291.5623,-108319.6907,88575044.6997,88583730.5702,88556109.0300,88566719.9897,-108163.8443,88572954.0405,
50400.000,856.3330,5133.5350,4601.1687,3869.3344,-2331.2688,-247816.1512,-252115.3794,-256815.8945,-254475.0658,-244551.4322,-254112.0519,-253324.0275,-253255.1181,264119912.1856,264134947.1501,264122469.6891,264134069.9287,-251895.0535,264130739.9265,-6684.6175,-1681.1712,-2105.0797,-1317.6155,-3391.2013,221380.8946,245816.6101,227760.7786,233374.9776,234376.6853,228282.5830,234625.4724,232128.2858,-236129104.9420,-236153762.1933,-236143931.6925,-236155054.9095,230983.0285,-236146398.5157,1327.1389,4290.0438,4703.9164,5451.6166,-5330.0470,-106183.1521,-112937.6158,-107346.2424,-109038.7849,-103699.2791,-108695.9268,-118030.7549,-108794.8848,88639939.5144,88656865.0018,88623516.6961,88640493.5450,-109115.8490,88640975.3266,
54000.000,1595.4571,-2306.1836,-2779.7798,-2186.5245,5649.4956,-292582.4017,-303856.1617,-306896.7061,-303292.3207,-294159.4899,-304386.7094,-302509.4496,-299740.7502,316269443.9215,316282044.7154,316275962.6492,316286363.5433,-301141.7030,316280982.4011,6193.5955,4859.8278,5546.7570,5468.2510,-436.4649,152287.7602,174133.8210,158892.6405,165725.8624,164732.5763,157346.1600,165238.7934,160062.3551,-159659140.6783,-159679517.9482,-159679555.6857,-159676268.4173,160933.0181,-159675495.2917,2501.4995,-4333.0723,-3059.4469,-3447.3637,3622.7130,-106863.4490,-113794.5489,-109387.8038,-107591.9767,-105301.8729,-113260.2375,-118141.0186,-110750.9116,88704877.0041,88728496.0617,88692211.9103,88714066.0672,-110055.5440,88708972.2062,
57600.000,-4032.6760,-535.1866,629.4304,413.4516,-5938.7470,-319056.1859,-335723.2196,-337461.0553,-333304.8744,-325002.3401,-334510.1677,-333014.4145,-332892.0704,346833159.3663,346841543.4370,346846048.1927,346842650.8656,-331394.8831,346844900.0294,-3087.8047,-6698.3915,-6866.8199,-6709.2337,2902.5114,75128.2326,92000.1084,80174.6881,86964.0012,84825.9707,77361.2052,85779.4407,81456.3311,-72291644.3255,-72309578.4241,-72314804.2937,-72300868.0103,80919.5155,-72306878.2965,-4632.6448,1576.2634,-526.8527,-1166.2324,1262.3203,-107634.8456,-114551.2125,-111595.8995,-106900.3511,-107273.5880,-116855.1169,-117589.0034,-110150.9381,88770055.2802,88798749.0789,88762478.3476,88781671.4934,-110982.8207,88776944.6581,
61200.000,5802.7725,2742.2677,1881.2203,1939.3933,2161.5173,-326009.2500,-345708.0409,-346651.6893,-342812.0377,-335195.8801,-343648.5782,-342796.0366,-339451.6010,353725137.8540,353728646.4823,353744778.0597,353726977.8345,-340796.9290,353736549.2185,-842.4572,5947.7610,5482.3205,4342.4618,-3889.8377,-5552.8449,4751.7126,-3340.4936,2797.4346,-535.0944,-7105.6445,1003.3431,-4349.2862,20010710.5525,19992670.3920,19988720.3643,19999799.9966,-4018.2571,19996503.7902,3571.0324,2175.3181,3762.2539,4880.9174,-5053.6157,-108471.4325,-115174.8650,-113627.1661,-106808.4347,-109636.3834,-119562.4117,-116302.5969,-113049.9802,88835655.2784,88867873.7118,88834466.1912,88844257.6646,-111897.5719,88844892.6610,
64800.000,-5755.2657,-4426.4125,-4554.0785,-4682.6725,3114.5137,-313286.3051,-333159.6280,-334023.2429,-331182.2755,-324279.8404,-331610.9486,-330807.4016,-330076.1145,336474962.6326,336474146.0485,336499088.3038,336475651.5394,-328801.3255,336485629.4389,3752.5996,-2729.2343,-2348.4266,-311.6418,4056.2489,-85047.7900,-81973.5401,-86356.6052,-81276.7100,-86400.7196,-90979.9867,-84157.0170,-88472.0301,110948441.6647,110927644.1395,110931237.2395,110931631.2499,-88543.8309,110934918.2682,-77.5866,-4546.6125,-4648.8605,-4954.8819,4366.1223,-109357.1202,-115604.2045,-115182.2749,-107192.5197,-112396.2256,-121522.7373,-114189.3182,-111555.1625,88901829.0393,88936113.0988,88907966.7270,88906815.0406,-112799.6922,88912816.1937,
68400.000,3160.1886,5465.9302,6335.4323,6070.5621,-5998.7310,-281824.8601,-298737.0456,-300515.4544,-299097.4778,-293973.8849,-299292.0909,-296530.3317,-295150.8242,296259845.1077,296256346.0276,296284115.8337,296264776.3776,-296203.7308,296269577.0082,-5008.4114,-1364.4310,-940.0161,-2826.5019,-3048.7862,-158746.7545,-162676.2008,-163698.9311,-159923.5050,-168149.1585,-169187.2880,-165453.7108,-167410.2185,194315151.8556,194289357.6033,194304300.2047,194293979.0355,-167358.4794,194301807.9036,-3489.3580,3981.5973,2598.7600,1292.3418,154.4707,-110281.1023,-115697.5595,-116086.1230,-107984.4079,-115085.7659,-122816.6939,-111736.3080,-115164.3571,88968689.8605,89003665.0804,88982247.0079,88971141.7297,-113689.0782,88980715.2349,
72000.000,1116.5545,-5232.3632,-5995.1479,-4373.9503,4954.0403,-233607.5330,-244204.9193,-248330.9568,-248514.0884,-247470.6030,-248725.6170,-242378.4925,-246019.7602,235824318.8722,235820607.0410,235844270.1688,235835628.9833,-245088.9111,235833200.1759,4929.0169,4419.7727,3273.8730,4041.6348,-40.2880,-222391.7454,-233074.4559,-230624.9556,-228203.7314,-238123.1885,-236977.7100,-237738.8474,-235585.7404,264421086.1320,264388866.5721,264415167.4123,264399714.8898,-235532.9578,264407389.9070,4644.2794,-874.5505,1067.9303,3317.9746,-4560.0868,-111235.6991,-114998.7115,-116334.7327,-109149.5178,-114487.7116,-123480.2622,-114146.6945,-113058.2360,89036304.9583,89070681.4935,89056262.5469,89037700.7842,-114565.6278,89048589.7634,
75600.000,-4973.9292,3019.3299,3175.9915,-65.2249,-1721.2763,-171554.6185,-176403.1427,-180760.7356,-182526.7061,-183481.0797,-182997.3736,-175096.3407,-177886.6547,159292973.3610,159291970.1111,159306079.9235,159309272.2915,-178697.1446,159301340.7965,-3947.1380,-5537.3801,-4595.1981,-4094.8259,4245.6986,-272311.1101,-291557.2920,-283068.4561,-281849.2579,-290986.1984,-290201.7821,-292044.8738,-288907.0606,316481452.0683,316442451.8232,316476800.5326,316464107.4181,-288815.2565,316466983.6223,-2631.4575,-2814.3812,-4081.7692,-5459.4188,4920.9944,-112215.2139,-114156.0304,-116096.2904,-110676.1767,-112965.0325,-123514.2814,-118634.7258,-117058.6221,89104691.1125,89137277.2696,89129165.5224,89106662.4856,-115429.2411,89116439.7578,
79200.000,6494.0107,809.4686,965.3629,4555.4663,-1171.7220,-99364.4749,-99015.3234,-101987.9506,-105152.5702,-107255.1700,-106071.8151,-97647.1620,-101985.0387,71888994.5213,71893633.6208,71895470.9492,71906026.9311,-101218.6759,71897348.8457,1895.2722,5005.6166,5141.0031,3681.5126,-6559.2292,-305622.4811,-330163.2822,-317832.1432,-317519.4344,-325830.8766,-325535.9642,-326995.2050,-323787.1013,346943002.0986,346898042.4075,346935440.6240,346931679.2612,-323895.1932,346927563.5262,-1206.1383,4675.8540,4513.5017,3487.8832,-960.0469,-113215.2736,-114837.4769,-115666.0459,-112571.3118,-112196.9813,-122885.4059,-122152.6317,-114694.0859,89173813.5790,89203539.8147,89200573.8766,89178096.0914,-116279.8198,89184265.1969,
82800.000,-5285.4729,-4685.4000,-4482.0415,-6296.9920,2990.0209,-21310.7767,-14304.9135,-16875.0200,-21036.3316,-24336.5120,-22542.2234,-14429.8590,-16687.3981,-20422290.3128,-20409508.1694,-20419968.2487,-20409774.9899,-17529.2700,-20413415.6935,1258.7688,-3627.1036,-4821.1790,-2386.7415,4627.3700,-320393.6450,-347215.5031,-332752.1407,-333023.4801,-340653.5735,-340630.4074,-341447.9497,-338880.3524,353726582.8568,353677594.2350,353712950.9971,353718747.4987,-338609.4236,353710250.3755,4195.6993,-3549.2170,-2124.1317,1080.0436,-3870.4989,-114232.4235,-115860.2079,-115387.1603,-114856.8803,-112028.0064,-121521.5290,-124782.3894,-118716.9780,89243588.3383,89269536.4443,89270471.8191,89251672.6911,-117117.2676,89252066.0594,
86400.000,2521.8665,6693.9691,5985.2485,4759.7126,-4165.5100,57992.5854,72307.7076,69282.7982,64954.3969,59859.3324,62738.6254,69564.5050,66187.9558,-111340543.2353,-111317939.7557,-111338701.3202,-111334058.2641,67116.4471,-111330722.2045,-4710.8108,1684.8279,3064.7327,-550.5666,377.6122,-315752.8112,-342098.2466,-326843.6988,-327562.2938,-334486.2176,-334099.1365,-334873.6631,-331785.8511,336369086.4874,336318879.1748,336348051.5226,336356399.9773,-332074.2226,336352190.6769,-4325.1337,124.2204,-1620.1952,-4859.6899,5263.4678,-115263.8625,-116979.4806,-115558.7137,-117538.8100,-112334.4117,-119330.1997,-126664.6145,-116474.0243,89313887.5350,89335319.8290,89339017.0903,89324985.0783,-117941.4898,89319842.3240,
