sl_100_5400_20260919 Coordinates.csv
2026/09/19 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:03 2024,
Start: 2026/09/19 07:47:00.00, Stop: 2026/09/19 09:17:00.00,
TIME_UNITS,STARLINK-31609 - X-Coordinate,STARLINK-31937 - X-Coordinate,STARLINK-5137 - X-Coordinate,STARLINK-4556 - X-Coordinate,STARLINK-4586 - X-Coordinate,STARLINK-31483 - X-Coordinate,STARLINK-4592 - X-Coordinate,STARLINK-30957 - X-Coordinate,STARLINK-4429 - X-Coordinate,STARLINK-3549 - X-Coordinate,STARLINK-1504 - X-Coordinate,STARLINK-4539 - X-Coordinate,STARLINK-6099 - X-Coordinate,STARLINK-1255 - X-Coordinate,STARLINK-31465 - X-Coordinate,STARLINK-5297 - X-Coordinate,STARLINK-4379 - X-Coordinate,STARLINK-30336 - X-Coordinate,STARLINK-31683 - X-Coordinate,STARLINK-3156 - X-Coordinate,STARLINK-4441 - X-Coordinate,STARLINK-2322 - X-Coordinate,STARLINK-5681 - X-Coordinate,STARLINK-30224 - X-Coordinate,STARLINK-5668 - X-Coordinate,STARLINK-30568 - X-Coordinate,STARLINK-5848 - X-Coordinate,STARLINK-2213 - X-Coordinate,STARLINK-11169 [DTC] - X-Coordinate,STARLINK-2386 - X-Coordinate,STARLINK-3865 - X-Coordinate,STARLINK-3077 - X-Coordinate,STARLINK-2226 - X-Coordinate,STARLINK-30131 - X-Coordinate,STARLINK-30308 - X-Coordinate,STARLINK-30168 - X-Coordinate,STARLINK-6223 - X-Coordinate,STARLINK-5882 - X-Coordinate,STARLINK-1122 - X-Coordinate,STARLINK-2482 - X-Coordinate,STARLINK-32166 - X-Coordinate,STARLINK-31806 - X-Coordinate,STARLINK-11106 [DTC] - X-Coordinate,STARLINK-3587 - X-Coordinate,STARLINK-3966 - X-Coordinate,STARLINK-30506 - X-Coordinate,STARLINK-3654 - X-Coordinate,STARLINK-3526 - X-Coordinate,STARLINK-1134 - X-Coordinate,STARLINK-32163 - X-Coordinate,STARLINK-3764 - X-Coordinate,STARLINK-4052 - X-Coordinate,STARLINK-4524 - X-Coordinate,STARLINK-30108 - X-Coordinate,STARLINK-30838 - X-Coordinate,STARLINK-1873 - X-Coordinate,STARLINK-5840 - X-Coordinate,STARLINK-31286 - X-Coordinate,STARLINK-3717 - X-Coordinate,STARLINK-31789 - X-Coordinate,STARLINK-5276 - X-Coordinate,STARLINK-31948 - X-Coordinate,STARLINK-1010 - X-Coordinate,STARLINK-3139 - X-Coordinate,STARLINK-31392 - X-Coordinate,STARLINK-3585 - X-Coordinate,STARLINK-2031 - X-Coordinate,STARLINK-31351 - X-Coordinate,STARLINK-2505 - X-Coordinate,STARLINK-30845 - X-Coordinate,STARLINK-3567 - X-Coordinate,STARLINK-30128 - X-Coordinate,STARLINK-4094 - X-Coordinate,STARLINK-4082 - X-Coordinate,STARLINK-1877 - X-Coordinate,STARLINK-2712 - X-Coordinate,STARLINK-1400 - X-Coordinate,STARLINK-1497 - X-Coordinate,STARLINK-5023 - X-Coordinate,STARLINK-1176 - X-Coordinate,STARLINK-30353 - X-Coordinate,STARLINK-5109 - X-Coordinate,STARLINK-3193 - X-Coordinate,STARLINK-4448 - X-Coordinate,STARLINK-5322 - X-Coordinate,STARLINK-4135 - X-Coordinate,STARLINK-30256 - X-Coordinate,STARLINK-31561 - X-Coordinate,STARLINK-11143 [DTC] - X-Coordinate,STARLINK-5743 - X-Coordinate,STARLINK-6378 - X-Coordinate,STARLINK-30605 - X-Coordinate,STARLINK-31454 - X-Coordinate,STARLINK-3098 - X-Coordinate,STARLINK-30808 - X-Coordinate,STARLINK-6067 - X-Coordinate,STARLINK-2622 - X-Coordinate,STARLINK-2135 - X-Coordinate,STARLINK-1764 - X-Coordinate,STARLINK-6208 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31609 - Y-Coordinate,STARLINK-31937 - Y-Coordinate,STARLINK-5137 - Y-Coordinate,STARLINK-4556 - Y-Coordinate,STARLINK-4586 - Y-Coordinate,STARLINK-31483 - Y-Coordinate,STARLINK-4592 - Y-Coordinate,STARLINK-30957 - Y-Coordinate,STARLINK-4429 - Y-Coordinate,STARLINK-3549 - Y-Coordinate,STARLINK-1504 - Y-Coordinate,STARLINK-4539 - Y-Coordinate,STARLINK-6099 - Y-Coordinate,STARLINK-1255 - Y-Coordinate,STARLINK-31465 - Y-Coordinate,STARLINK-5297 - Y-Coordinate,STARLINK-4379 - Y-Coordinate,STARLINK-30336 - Y-Coordinate,STARLINK-31683 - Y-Coordinate,STARLINK-3156 - Y-Coordinate,STARLINK-4441 - Y-Coordinate,STARLINK-2322 - Y-Coordinate,STARLINK-5681 - Y-Coordinate,STARLINK-30224 - Y-Coordinate,STARLINK-5668 - Y-Coordinate,STARLINK-30568 - Y-Coordinate,STARLINK-5848 - Y-Coordinate,STARLINK-2213 - Y-Coordinate,STARLINK-11169 [DTC] - Y-Coordinate,STARLINK-2386 - Y-Coordinate,STARLINK-3865 - Y-Coordinate,STARLINK-3077 - Y-Coordinate,STARLINK-2226 - Y-Coordinate,STARLINK-30131 - Y-Coordinate,STARLINK-30308 - Y-Coordinate,STARLINK-30168 - Y-Coordinate,STARLINK-6223 - Y-Coordinate,STARLINK-5882 - Y-Coordinate,STARLINK-1122 - Y-Coordinate,STARLINK-2482 - Y-Coordinate,STARLINK-32166 - Y-Coordinate,STARLINK-31806 - Y-Coordinate,STARLINK-11106 [DTC] - Y-Coordinate,STARLINK-3587 - Y-Coordinate,STARLINK-3966 - Y-Coordinate,STARLINK-30506 - Y-Coordinate,STARLINK-3654 - Y-Coordinate,STARLINK-3526 - Y-Coordinate,STARLINK-1134 - Y-Coordinate,STARLINK-32163 - Y-Coordinate,STARLINK-3764 - Y-Coordinate,STARLINK-4052 - Y-Coordinate,STARLINK-4524 - Y-Coordinate,STARLINK-30108 - Y-Coordinate,STARLINK-30838 - Y-Coordinate,STARLINK-1873 - Y-Coordinate,STARLINK-5840 - Y-Coordinate,STARLINK-31286 - Y-Coordinate,STARLINK-3717 - Y-Coordinate,STARLINK-31789 - Y-Coordinate,STARLINK-5276 - Y-Coordinate,STARLINK-31948 - Y-Coordinate,STARLINK-1010 - Y-Coordinate,STARLINK-3139 - Y-Coordinate,STARLINK-31392 - Y-Coordinate,STARLINK-3585 - Y-Coordinate,STARLINK-2031 - Y-Coordinate,STARLINK-31351 - Y-Coordinate,STARLINK-2505 - Y-Coordinate,STARLINK-30845 - Y-Coordinate,STARLINK-3567 - Y-Coordinate,STARLINK-30128 - Y-Coordinate,STARLINK-4094 - Y-Coordinate,STARLINK-4082 - Y-Coordinate,STARLINK-1877 - Y-Coordinate,STARLINK-2712 - Y-Coordinate,STARLINK-1400 - Y-Coordinate,STARLINK-1497 - Y-Coordinate,STARLINK-5023 - Y-Coordinate,STARLINK-1176 - Y-Coordinate,STARLINK-30353 - Y-Coordinate,STARLINK-5109 - Y-Coordinate,STARLINK-3193 - Y-Coordinate,STARLINK-4448 - Y-Coordinate,STARLINK-5322 - Y-Coordinate,STARLINK-4135 - Y-Coordinate,STARLINK-30256 - Y-Coordinate,STARLINK-31561 - Y-Coordinate,STARLINK-11143 [DTC] - Y-Coordinate,STARLINK-5743 - Y-Coordinate,STARLINK-6378 - Y-Coordinate,STARLINK-30605 - Y-Coordinate,STARLINK-31454 - Y-Coordinate,STARLINK-3098 - Y-Coordinate,STARLINK-30808 - Y-Coordinate,STARLINK-6067 - Y-Coordinate,STARLINK-2622 - Y-Coordinate,STARLINK-2135 - Y-Coordinate,STARLINK-1764 - Y-Coordinate,STARLINK-6208 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31609 - Z-Coordinate,STARLINK-31937 - Z-Coordinate,STARLINK-5137 - Z-Coordinate,STARLINK-4556 - Z-Coordinate,STARLINK-4586 - Z-Coordinate,STARLINK-31483 - Z-Coordinate,STARLINK-4592 - Z-Coordinate,STARLINK-30957 - Z-Coordinate,STARLINK-4429 - Z-Coordinate,STARLINK-3549 - Z-Coordinate,STARLINK-1504 - Z-Coordinate,STARLINK-4539 - Z-Coordinate,STARLINK-6099 - Z-Coordinate,STARLINK-1255 - Z-Coordinate,STARLINK-31465 - Z-Coordinate,STARLINK-5297 - Z-Coordinate,STARLINK-4379 - Z-Coordinate,STARLINK-30336 - Z-Coordinate,STARLINK-31683 - Z-Coordinate,STARLINK-3156 - Z-Coordinate,STARLINK-4441 - Z-Coordinate,STARLINK-2322 - Z-Coordinate,STARLINK-5681 - Z-Coordinate,STARLINK-30224 - Z-Coordinate,STARLINK-5668 - Z-Coordinate,STARLINK-30568 - Z-Coordinate,STARLINK-5848 - Z-Coordinate,STARLINK-2213 - Z-Coordinate,STARLINK-11169 [DTC] - Z-Coordinate,STARLINK-2386 - Z-Coordinate,STARLINK-3865 - Z-Coordinate,STARLINK-3077 - Z-Coordinate,STARLINK-2226 - Z-Coordinate,STARLINK-30131 - Z-Coordinate,STARLINK-30308 - Z-Coordinate,STARLINK-30168 - Z-Coordinate,STARLINK-6223 - Z-Coordinate,STARLINK-5882 - Z-Coordinate,STARLINK-1122 - Z-Coordinate,STARLINK-2482 - Z-Coordinate,STARLINK-32166 - Z-Coordinate,STARLINK-31806 - Z-Coordinate,STARLINK-11106 [DTC] - Z-Coordinate,STARLINK-3587 - Z-Coordinate,STARLINK-3966 - Z-Coordinate,STARLINK-30506 - Z-Coordinate,STARLINK-3654 - Z-Coordinate,STARLINK-3526 - Z-Coordinate,STARLINK-1134 - Z-Coordinate,STARLINK-32163 - Z-Coordinate,STARLINK-3764 - Z-Coordinate,STARLINK-4052 - Z-Coordinate,STARLINK-4524 - Z-Coordinate,STARLINK-30108 - Z-Coordinate,STARLINK-30838 - Z-Coordinate,STARLINK-1873 - Z-Coordinate,STARLINK-5840 - Z-Coordinate,STARLINK-31286 - Z-Coordinate,STARLINK-3717 - Z-Coordinate,STARLINK-31789 - Z-Coordinate,STARLINK-5276 - Z-Coordinate,STARLINK-31948 - Z-Coordinate,STARLINK-1010 - Z-Coordinate,STARLINK-3139 - Z-Coordinate,STARLINK-31392 - Z-Coordinate,STARLINK-3585 - Z-Coordinate,STARLINK-2031 - Z-Coordinate,STARLINK-31351 - Z-Coordinate,STARLINK-2505 - Z-Coordinate,STARLINK-30845 - Z-Coordinate,STARLINK-3567 - Z-Coordinate,STARLINK-30128 - Z-Coordinate,STARLINK-4094 - Z-Coordinate,STARLINK-4082 - Z-Coordinate,STARLINK-1877 - Z-Coordinate,STARLINK-2712 - Z-Coordinate,STARLINK-1400 - Z-Coordinate,STARLINK-1497 - Z-Coordinate,STARLINK-5023 - Z-Coordinate,STARLINK-1176 - Z-Coordinate,STARLINK-30353 - Z-Coordinate,STARLINK-5109 - Z-Coordinate,STARLINK-3193 - Z-Coordinate,STARLINK-4448 - Z-Coordinate,STARLINK-5322 - Z-Coordinate,STARLINK-4135 - Z-Coordinate,STARLINK-30256 - Z-Coordinate,STARLINK-31561 - Z-Coordinate,STARLINK-11143 [DTC] - Z-Coordinate,STARLINK-5743 - Z-Coordinate,STARLINK-6378 - Z-Coordinate,STARLINK-30605 - Z-Coordinate,STARLINK-31454 - Z-Coordinate,STARLINK-3098 - Z-Coordinate,STARLINK-30808 - Z-Coordinate,STARLINK-6067 - Z-Coordinate,STARLINK-2622 - Z-Coordinate,STARLINK-2135 - Z-Coordinate,STARLINK-1764 - Z-Coordinate,STARLINK-6208 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3371.5571,4975.8380,2373.7979,-4502.4432,-2817.6742,-3064.1940,-3412.5239,-6019.6696,250.1650,-3143.2314,5179.4848,6351.0274,-1339.1311,4553.1774,3441.4896,-1062.4549,3571.0797,6528.8948,6444.5264,1992.9467,518.4371,-4131.9194,-902.6660,-2256.0199,3578.6667,5344.1210,-3918.9897,-3868.1196,4651.0378,5069.5579,-1656.2924,762.4684,-6002.4814,-6790.9942,-835.2383,571.6607,-4629.6619,-5197.8285,6261.8387,1557.6838,-4046.3903,5418.9212,-5460.1521,-850.9819,-5185.8019,5193.6264,2997.4674,-1274.4497,6722.0503,1600.8390,-6544.5588,-4110.0589,-1871.2248,3867.8538,-3964.5621,-4754.3496,-375.8524,2261.3440,3298.6795,4496.6459,6415.8024,-5038.7176,-4066.8864,-3610.2249,-94.5287,-2194.1828,5710.5187,2812.0731,750.4340,3533.6203,4017.2678,6727.8961,2641.5590,2499.6546,-5725.7207,1957.1109,-3088.8662,-1782.1564,-5225.0081,-6525.8321,-4059.9854,-3803.3713,-1687.0325,-929.6883,-4659.8685,4659.9578,3681.7008,-5475.1119,3914.5066,1647.4503,6250.2583,-2444.6422,2491.6344,-2878.4775,2226.6373,1742.5547,-2489.7634,1774.4055,919.0048,492.4105,331235.3182,331342.4690,331409.3403,328574.7759,334791.0278,332688.7823,326038.2581,327594.2868,-241587725.6880,-241574452.9818,-241564273.9164,-241582805.8730,327945.2478,-241578678.0152,-5961.8797,772.9016,5866.0920,-5063.1752,6091.5676,-3955.2073,2423.5031,-1596.0556,5975.2087,4360.6389,-3127.0037,-659.4775,4971.4611,-4362.0641,5036.6839,-6802.0727,-1628.7876,-1495.1336,1824.7879,6447.9071,-4909.7808,1750.6177,6032.5828,4595.4427,-4881.6756,484.5383,-393.4975,-5609.0034,1636.0606,4668.2743,-4852.7870,2709.8691,3068.4062,-953.4978,-6534.0946,-6608.1611,4521.5286,3640.9798,-1563.9963,-6439.5162,-677.9735,1289.0602,3825.5905,6826.7379,-538.9689,3951.9243,6138.7928,6316.3033,1422.5249,3880.6096,540.3696,-1827.5019,4438.7347,-5397.1093,-5478.8617,-4305.7351,-6458.7156,-4630.1282,-3303.6548,3229.1616,-639.1282,1805.3833,1291.1941,2243.0695,6175.0924,-6471.8049,1552.8745,6104.8218,-5040.4977,-4842.5702,-1017.1920,1471.2008,4884.0761,-6381.0287,3519.4269,3947.5146,2959.5424,-6630.6725,4294.3278,-2062.2579,5406.9245,1626.1960,5485.3660,1388.1826,-3266.2703,3490.5304,-4882.8195,1759.2676,-3644.9617,5703.8911,850.8256,-3315.4817,5516.6757,3167.0292,-5083.4577,-6584.7992,-4210.4662,6238.2557,-6853.1122,5121.7722,135643.2611,161235.0471,136782.3738,136075.6492,142040.6950,140297.7967,145411.9624,142551.7875,7825637.0357,7843980.8052,7862103.9192,7837221.1924,141829.8440,7843930.9918,-3.4360,4595.8474,2779.6313,1338.9480,-694.6925,4634.0483,5494.0361,3043.1486,3512.7201,-4357.9116,-3116.1444,-2655.0225,-4644.5522,2763.5299,-3141.8084,-492.3348,5647.9580,1785.6114,1147.0865,1401.5628,4834.2595,5220.1844,-3285.3740,-4656.7790,3347.9389,-4388.6549,-5744.6043,1169.5216,-4605.3110,-510.1074,4629.6015,6345.0749,1137.2536,970.6180,-2160.1094,-2021.8325,2492.9363,2853.0406,2374.7547,1997.4821,-5472.8387,-3934.0295,-939.6914,521.4472,4517.9134,-2354.4950,1048.6348,2502.4810,-206.4520,5318.8538,2147.6769,5224.3811,-4930.5317,1837.0464,-1570.6576,2052.4255,-2500.8117,4507.7812,5089.2233,-3936.7133,2569.9297,-4244.3577,5426.8364,5439.7670,-2888.9514,-1075.8234,3568.2159,865.1491,-4401.2318,3448.2699,5523.1409,842.6763,-4125.2980,885.2827,1582.0193,-5303.5664,-5428.3822,786.1864,1331.1910,1018.0397,-1095.3594,5527.7508,-3844.6769,-6734.5086,3977.6074,-3745.3726,-3263.6557,-3664.3054,-4098.9792,-3557.8303,2833.9703,5430.7303,-3209.3984,5417.4728,4141.3114,1353.4386,-4861.4644,-2424.5129,26.6224,4638.3651,-189315.0876,-188517.5859,-189472.6139,-184393.9065,-183971.0781,-194411.3290,-196415.8681,-187347.7467,97553211.1964,97524314.0909,97541006.6688,97553023.5444,-188970.4321,97552288.5069,
300.000,2149.1100,4863.8450,3734.6896,-5418.3773,-1476.4252,-4546.4420,-1814.3798,-5619.1516,-209.5848,-2228.5849,4850.8171,6553.6686,812.8016,2897.9022,4828.8364,-2179.1250,1969.9484,6238.9560,6285.0856,3167.7852,810.5984,-2567.1829,950.1500,-370.2637,1640.2216,4825.2332,-5320.4169,-4516.2726,5825.9313,5539.7680,-3456.2305,2215.8321,-4864.3357,-6460.6263,-2318.5317,-974.8373,-2913.3496,-3826.2027,6215.3836,120.4855,-4217.7872,5038.1557,-4250.1991,404.3122,-6004.3170,5543.3810,3824.5087,202.6845,6580.6294,3307.0956,-6658.0236,-5335.0431,226.7656,2642.8977,-4829.7443,-4979.1239,-1990.1617,130.4288,1263.4440,4930.0975,5254.0864,-3654.9593,-3651.1030,-2001.5564,1578.3455,-3152.1020,5023.4710,3868.6641,-808.4382,2307.3711,3425.8812,6904.4684,3477.2894,1160.5346,-4439.3718,3923.1968,-1822.4355,-2814.1311,-3912.6431,-6318.9555,-2698.1318,-2772.8698,92.5730,-883.7551,-5833.7850,4651.2623,2495.3920,-5223.8456,3297.2431,3129.3000,5632.8800,-4191.0898,3943.6257,-1530.4355,130.4862,1151.5873,-3511.0425,3088.5387,-315.6302,2575.1443,328358.8723,327931.9632,328264.2310,325483.5399,331761.5238,329681.7572,323013.3007,324134.7306,-241698815.7485,-241685768.7798,-241676055.5086,-241693478.6132,324891.4911,-241689862.8586,-6248.1913,-1400.2623,5717.8194,-4260.3269,6112.6282,-2368.2002,3902.8731,271.6279,6787.8999,5813.8333,-4541.4783,-1990.8573,5050.7902,-4652.9361,4638.4071,-6151.6256,-277.4132,-3012.8546,179.1770,6110.6936,-3054.1265,3247.6722,5424.3057,5516.9066,-5209.7046,-1579.7595,705.6867,-4383.1139,211.4718,3458.7563,-4924.7819,1050.0906,3876.0736,621.2392,-5579.4783,-6842.8717,5120.6656,3562.9663,-2881.3896,-5931.6341,1484.3454,-766.9478,4489.7245,6496.7206,1031.8529,2193.4504,5053.0291,5655.1046,158.6200,2489.0097,1815.8522,-239.8326,4190.0348,-6355.7642,-4042.3549,-2745.6351,-6555.7640,-5018.2948,-3959.0174,1175.5536,-1232.0783,3432.6566,3341.9446,3714.5851,6454.4020,-5498.8921,-153.2827,5481.6332,-5919.0747,-6131.2686,-3081.0200,-24.3294,3125.2541,-6290.5037,4197.9450,3407.2084,4617.9868,-5786.5419,4813.4479,-714.5851,5642.2978,3527.0951,4842.8390,-889.8484,-3126.4251,1623.7824,-6153.1164,3589.2307,-5227.0955,4362.7208,-923.6756,-2070.4326,5375.5970,4753.6925,-5127.1589,-6806.6787,-2374.3503,6156.8181,-6680.4176,4953.8326,142883.6146,168199.4415,143591.7295,142999.9890,148937.9229,147209.0985,152222.7070,149591.5614,2548702.3638,2566842.2918,2585449.3284,2559952.5520,148709.4499,2567027.9239,1795.2192,4567.7898,1080.1241,-473.2056,-2450.9097,4498.4409,5402.0468,4046.2779,1423.0595,-3017.4645,-1464.2165,-938.9805,-4680.8440,4161.1467,-1494.8417,-2252.4817,6581.0436,278.2596,2572.3509,-410.5667,6143.2314,5499.2653,-4205.2407,-4161.3043,4241.9007,-4720.1291,-4439.5157,2854.2903,-3394.6097,-2264.1226,3399.6377,6493.3623,2831.7283,2411.3491,-3400.9963,-535.3110,3654.6790,4587.4691,628.3694,3556.5975,-5176.4296,-4531.3996,-2669.3763,2279.2356,3241.8841,-3551.0147,2752.0753,3965.6649,-1987.2903,5364.5133,379.7120,4362.2849,-5469.0665,329.7987,-2924.7522,3604.3502,-1073.2077,4654.8899,5514.9280,-4523.3792,4360.9785,-4638.7535,4813.8700,5463.6202,-1522.8612,-2775.9452,4739.7218,-968.2975,-3105.0047,2222.0040,5143.8633,-702.3295,-5098.9548,2607.0361,3210.4844,-4531.7713,-4808.0652,2514.2728,3000.3381,2720.3292,-2797.1232,5248.3074,-4925.9033,-6824.7939,2103.6704,-4864.8332,-1986.1356,-2512.9615,-2684.1123,-4369.0438,3900.5643,4961.7886,-1573.8944,4768.9275,4650.9903,-771.3849,-5440.7682,-687.5364,-1763.5659,4102.5126,-189337.6011,-188517.9591,-189358.0449,-184524.1279,-183840.0049,-194187.4655,-196540.2474,-187578.5918,97550888.1470,97521904.9853,97538161.7872,97551061.0210,-188954.7571,97549704.8543,
600.000,688.2070,4301.5803,4713.9549,-5796.4787,47.8979,-5596.2762,-79.0460,-4703.1389,-666.4721,-1126.7338,4027.9850,6107.0557,2884.7815,931.6896,5713.7482,-3103.2451,97.1392,5345.5817,5488.8467,4028.3782,927.5245,-784.0626,2739.4905,1525.7107,-469.4763,3881.8681,-6210.5235,-4743.4059,6391.5645,5476.6565,-4892.3963,3509.3891,-3214.0017,-5508.9454,-3609.0789,-2421.8224,-903.7910,-2042.5515,5543.4894,-1364.3044,-4014.9541,4184.7293,-2566.6032,1644.5467,-6242.0606,5387.9413,4299.6834,1698.8779,5778.2583,4703.8283,-6108.4602,-6053.9450,2319.0944,1159.8751,-5255.8266,-4702.4486,-3402.4730,-2007.9057,-885.8242,4900.5135,3560.6861,-1930.4015,-2925.8644,-235.4283,3076.7032,-3827.8014,3873.1990,4525.3315,-2248.7408,877.5290,2550.9155,6414.4076,4025.6751,-320.6824,-2696.3801,5496.1659,-424.0113,-3593.4954,-2189.6887,-5496.9931,-1037.3446,-1520.9368,1900.0595,-647.1621,-6403.2446,4233.0981,1086.0355,-4460.7792,2355.2132,4345.1756,4488.8796,-5528.4179,4978.8626,-77.7849,-1987.5790,433.4079,-4239.6535,4089.4543,-1538.5373,4401.0376,325318.8493,324374.9149,324973.0401,322245.6221,328585.4192,326525.7499,319847.4883,320582.1631,-241694654.0440,-241681822.2062,-241672593.3094,-241688861.3507,321693.4585,-241685797.0031,-5903.6395,-3432.0605,5007.7010,-3027.8587,5492.8238,-572.8090,5037.0469,2139.2576,6860.4582,6689.6974,-5470.4468,-3113.9987,4687.1285,-4518.3309,3780.8816,-4883.6395,1028.0256,-4236.1231,-1507.5830,5157.3019,-862.8462,4466.5288,4319.0885,5932.4290,-5069.3593,-3508.4820,1680.8570,-2706.1216,-1199.3445,1887.1221,-4539.4912,-660.2480,4314.8921,2157.7386,-4093.0652,-6415.0895,5257.6075,3179.7298,-3900.8660,-4853.5334,3483.5729,-2764.5255,4696.7701,5519.8537,2468.4420,206.8546,3453.2222,4452.7384,-1143.2618,882.9959,2905.9519,1331.1481,3581.5153,-6685.3219,-2206.6015,-866.3989,-6022.2968,-4947.2921,-4281.5789,-1001.7210,-1757.0976,4747.4135,5058.9297,4861.3868,6081.2117,-3973.9466,-1883.2259,4272.4008,-6177.5655,-6821.9993,-4846.5287,-1524.1686,1063.2697,-5585.7950,4490.8472,2576.9443,5840.4193,-4360.4741,4878.1571,732.0728,5322.6521,5099.5837,3759.8898,-3067.8774,-2694.0816,-425.2147,-6825.3066,5040.3512,-6238.4406,2615.5029,-2637.8542,-662.0895,4696.4556,5891.5028,-4717.1103,-6337.3764,-321.0278,5468.1281,-5846.0833,4344.6393,150071.0437,175090.6963,150338.6564,149860.8264,155770.4217,154057.6744,158968.3149,156483.2385,-2729343.9443,-2711417.0766,-2692342.1904,-2718359.5234,155523.3679,-2710990.4676,3394.3762,4026.9608,-736.0146,-2234.1818,-3923.1845,3858.3147,4727.2805,4616.3502,-818.6330,-1352.2933,353.4341,878.4378,-4217.4589,5104.2697,317.2466,-3768.5351,6795.7882,-1258.9076,3705.1643,-2178.0338,6790.6292,5179.1068,-4674.9616,-3218.7101,4679.2144,-4547.3957,-2666.7067,4230.7001,-1790.1698,-3773.6512,1802.5902,5952.4779,4210.0104,3592.9780,-4278.2440,1008.5322,4425.6499,5836.6579,-1186.9107,4732.8320,-4305.0418,-4620.4075,-4087.5996,3789.2223,1614.3304,-4368.8064,4157.9757,5000.7803,-3550.1315,4797.5551,-1429.3290,3026.6140,-5414.1697,-1213.4326,-3967.4334,4736.0188,469.2230,4285.8934,5345.3743,-4596.7796,5687.2221,-4515.3697,3680.6019,4897.1752,14.6857,-4177.3469,5399.7024,-2690.9001,-1446.7202,756.3108,4209.1457,-2172.3656,-5524.8558,4046.7225,4490.9478,-3267.9205,-3669.5451,3970.4047,4342.5934,4129.4721,-4188.8805,4401.9721,-5475.6736,-6190.5635,5.7033,-5462.8104,-495.7873,-1078.9773,-956.5987,-4711.2831,4546.7280,3935.9872,236.2342,3605.0643,4661.9527,-2814.1020,-5430.5786,1123.3830,-3363.6284,3127.3611,-189359.4688,-188518.2529,-189242.6035,-184659.3727,-183712.4155,-193957.4413,-196659.2004,-187912.4714,97548564.4597,97519500.6064,97535319.4072,97549088.4663,-188938.9775,97547121.0989,
