sl_100_5400_20261028 Coordinates.csv
2026/10/28 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:36 2024,
Start: 2026/10/28 07:47:00.00, Stop: 2026/10/28 09:17:00.00,
TIME_UNITS,STARLINK-30833 - X-Coordinate,STARLINK-30111 - X-Coordinate,STARLINK-4342 - X-Coordinate,STARLINK-6183 - X-Coordinate,STARLINK-5301 - X-Coordinate,STARLINK-5762 - X-Coordinate,STARLINK-3238 - X-Coordinate,STARLINK-31516 - X-Coordinate,STARLINK-2502 - X-Coordinate,STARLINK-1854 - X-Coordinate,STARLINK-1201 - X-Coordinate,STARLINK-31053 - X-Coordinate,STARLINK-3668 - X-Coordinate,STARLINK-3256 - X-Coordinate,STARLINK-31675 - X-Coordinate,STARLINK-4402 - X-Coordinate,STARLINK-30321 - X-Coordinate,STARLINK-30761 - X-Coordinate,STARLINK-31188 - X-Coordinate,STARLINK-3863 - X-Coordinate,STARLINK-30615 - X-Coordinate,STARLINK-30278 - X-Coordinate,STARLINK-2432 - X-Coordinate,STARLINK-4568 - X-Coordinate,STARLINK-1828 - X-Coordinate,STARLINK-3772 - X-Coordinate,STARLINK-32242 - X-Coordinate,STARLINK-30613 - X-Coordinate,STARLINK-1711 - X-Coordinate,STARLINK-30158 - X-Coordinate,STARLINK-30941 - X-Coordinate,STARLINK-5121 - X-Coordinate,STARLINK-1185 - X-Coordinate,STARLINK-5832 - X-Coordinate,STARLINK-5011 - X-Coordinate,STARLINK-5463 - X-Coordinate,STARLINK-31018 - X-Coordinate,STARLINK-5246 - X-Coordinate,STARLINK-4491 - X-Coordinate,STARLINK-4340 - X-Coordinate,STARLINK-30376 - X-Coordinate,STARLINK-4527 - X-Coordinate,STARLINK-1884 - X-Coordinate,STARLINK-4629 - X-Coordinate,STARLINK-3750 - X-Coordinate,STARLINK-31081 - X-Coordinate,STARLINK-3990 - X-Coordinate,STARLINK-6159 - X-Coordinate,STARLINK-31645 - X-Coordinate,STARLINK-3691 - X-Coordinate,STARLINK-31692 - X-Coordinate,STARLINK-1998 - X-Coordinate,STARLINK-11131 [DTC] - X-Coordinate,STARLINK-32095 - X-Coordinate,STARLINK-30801 - X-Coordinate,STARLINK-4169 - X-Coordinate,STARLINK-30452 - X-Coordinate,STARLINK-5080 - X-Coordinate,STARLINK-30442 - X-Coordinate,STARLINK-1143 - X-Coordinate,STARLINK-2407 - X-Coordinate,STARLINK-5754 - X-Coordinate,STARLINK-5676 - X-Coordinate,STARLINK-1417 - X-Coordinate,STARLINK-31535 - X-Coordinate,STARLINK-32037 - X-Coordinate,STARLINK-31659 - X-Coordinate,STARLINK-31242 - X-Coordinate,STARLINK-2469 - X-Coordinate,STARLINK-30795 - X-Coordinate,STARLINK-1496 - X-Coordinate,STARLINK-30261 - X-Coordinate,STARLINK-4569 - X-Coordinate,STARLINK-30842 - X-Coordinate,STARLINK-30537 - X-Coordinate,STARLINK-11138 [DTC] - X-Coordinate,STARLINK-31358 - X-Coordinate,STARLINK-31298 - X-Coordinate,STARLINK-3622 - X-Coordinate,STARLINK-31009 - X-Coordinate,STARLINK-1313 - X-Coordinate,STARLINK-31900 - X-Coordinate,STARLINK-3230 - X-Coordinate,STARLINK-6100 - X-Coordinate,STARLINK-1644 - X-Coordinate,STARLINK-5552 - X-Coordinate,STARLINK-2029 - X-Coordinate,STARLINK-30916 - X-Coordinate,STARLINK-5937 - X-Coordinate,STARLINK-5307 - X-Coordinate,STARLINK-1680 - X-Coordinate,STARLINK-6335 - X-Coordinate,STARLINK-30790 - X-Coordinate,STARLINK-6322 - X-Coordinate,STARLINK-4251 - X-Coordinate,STARLINK-4098 - X-Coordinate,STARLINK-30294 - X-Coordinate,STARLINK-2750 - X-Coordinate,STARLINK-31462 - X-Coordinate,STARLINK-30612 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30833 - Y-Coordinate,STARLINK-30111 - Y-Coordinate,STARLINK-4342 - Y-Coordinate,STARLINK-6183 - Y-Coordinate,STARLINK-5301 - Y-Coordinate,STARLINK-5762 - Y-Coordinate,STARLINK-3238 - Y-Coordinate,STARLINK-31516 - Y-Coordinate,STARLINK-2502 - Y-Coordinate,STARLINK-1854 - Y-Coordinate,STARLINK-1201 - Y-Coordinate,STARLINK-31053 - Y-Coordinate,STARLINK-3668 - Y-Coordinate,STARLINK-3256 - Y-Coordinate,STARLINK-31675 - Y-Coordinate,STARLINK-4402 - Y-Coordinate,STARLINK-30321 - Y-Coordinate,STARLINK-30761 - Y-Coordinate,STARLINK-31188 - Y-Coordinate,STARLINK-3863 - Y-Coordinate,STARLINK-30615 - Y-Coordinate,STARLINK-30278 - Y-Coordinate,STARLINK-2432 - Y-Coordinate,STARLINK-4568 - Y-Coordinate,STARLINK-1828 - Y-Coordinate,STARLINK-3772 - Y-Coordinate,STARLINK-32242 - Y-Coordinate,STARLINK-30613 - Y-Coordinate,STARLINK-1711 - Y-Coordinate,STARLINK-30158 - Y-Coordinate,STARLINK-30941 - Y-Coordinate,STARLINK-5121 - Y-Coordinate,STARLINK-1185 - Y-Coordinate,STARLINK-5832 - Y-Coordinate,STARLINK-5011 - Y-Coordinate,STARLINK-5463 - Y-Coordinate,STARLINK-31018 - Y-Coordinate,STARLINK-5246 - Y-Coordinate,STARLINK-4491 - Y-Coordinate,STARLINK-4340 - Y-Coordinate,STARLINK-30376 - Y-Coordinate,STARLINK-4527 - Y-Coordinate,STARLINK-1884 - Y-Coordinate,STARLINK-4629 - Y-Coordinate,STARLINK-3750 - Y-Coordinate,STARLINK-31081 - Y-Coordinate,STARLINK-3990 - Y-Coordinate,STARLINK-6159 - Y-Coordinate,STARLINK-31645 - Y-Coordinate,STARLINK-3691 - Y-Coordinate,STARLINK-31692 - Y-Coordinate,STARLINK-1998 - Y-Coordinate,STARLINK-11131 [DTC] - Y-Coordinate,STARLINK-32095 - Y-Coordinate,STARLINK-30801 - Y-Coordinate,STARLINK-4169 - Y-Coordinate,STARLINK-30452 - Y-Coordinate,STARLINK-5080 - Y-Coordinate,STARLINK-30442 - Y-Coordinate,STARLINK-1143 - Y-Coordinate,STARLINK-2407 - Y-Coordinate,STARLINK-5754 - Y-Coordinate,STARLINK-5676 - Y-Coordinate,STARLINK-1417 - Y-Coordinate,STARLINK-31535 - Y-Coordinate,STARLINK-32037 - Y-Coordinate,STARLINK-31659 - Y-Coordinate,STARLINK-31242 - Y-Coordinate,STARLINK-2469 - Y-Coordinate,STARLINK-30795 - Y-Coordinate,STARLINK-1496 - Y-Coordinate,STARLINK-30261 - Y-Coordinate,STARLINK-4569 - Y-Coordinate,STARLINK-30842 - Y-Coordinate,STARLINK-30537 - Y-Coordinate,STARLINK-11138 [DTC] - Y-Coordinate,STARLINK-31358 - Y-Coordinate,STARLINK-31298 - Y-Coordinate,STARLINK-3622 - Y-Coordinate,STARLINK-31009 - Y-Coordinate,STARLINK-1313 - Y-Coordinate,STARLINK-31900 - Y-Coordinate,STARLINK-3230 - Y-Coordinate,STARLINK-6100 - Y-Coordinate,STARLINK-1644 - Y-Coordinate,STARLINK-5552 - Y-Coordinate,STARLINK-2029 - Y-Coordinate,STARLINK-30916 - Y-Coordinate,STARLINK-5937 - Y-Coordinate,STARLINK-5307 - Y-Coordinate,STARLINK-1680 - Y-Coordinate,STARLINK-6335 - Y-Coordinate,STARLINK-30790 - Y-Coordinate,STARLINK-6322 - Y-Coordinate,STARLINK-4251 - Y-Coordinate,STARLINK-4098 - Y-Coordinate,STARLINK-30294 - Y-Coordinate,STARLINK-2750 - Y-Coordinate,STARLINK-31462 - Y-Coordinate,STARLINK-30612 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30833 - Z-Coordinate,STARLINK-30111 - Z-Coordinate,STARLINK-4342 - Z-Coordinate,STARLINK-6183 - Z-Coordinate,STARLINK-5301 - Z-Coordinate,STARLINK-5762 - Z-Coordinate,STARLINK-3238 - Z-Coordinate,STARLINK-31516 - Z-Coordinate,STARLINK-2502 - Z-Coordinate,STARLINK-1854 - Z-Coordinate,STARLINK-1201 - Z-Coordinate,STARLINK-31053 - Z-Coordinate,STARLINK-3668 - Z-Coordinate,STARLINK-3256 - Z-Coordinate,STARLINK-31675 - Z-Coordinate,STARLINK-4402 - Z-Coordinate,STARLINK-30321 - Z-Coordinate,STARLINK-30761 - Z-Coordinate,STARLINK-31188 - Z-Coordinate,STARLINK-3863 - Z-Coordinate,STARLINK-30615 - Z-Coordinate,STARLINK-30278 - Z-Coordinate,STARLINK-2432 - Z-Coordinate,STARLINK-4568 - Z-Coordinate,STARLINK-1828 - Z-Coordinate,STARLINK-3772 - Z-Coordinate,STARLINK-32242 - Z-Coordinate,STARLINK-30613 - Z-Coordinate,STARLINK-1711 - Z-Coordinate,STARLINK-30158 - Z-Coordinate,STARLINK-30941 - Z-Coordinate,STARLINK-5121 - Z-Coordinate,STARLINK-1185 - Z-Coordinate,STARLINK-5832 - Z-Coordinate,STARLINK-5011 - Z-Coordinate,STARLINK-5463 - Z-Coordinate,STARLINK-31018 - Z-Coordinate,STARLINK-5246 - Z-Coordinate,STARLINK-4491 - Z-Coordinate,STARLINK-4340 - Z-Coordinate,STARLINK-30376 - Z-Coordinate,STARLINK-4527 - Z-Coordinate,STARLINK-1884 - Z-Coordinate,STARLINK-4629 - Z-Coordinate,STARLINK-3750 - Z-Coordinate,STARLINK-31081 - Z-Coordinate,STARLINK-3990 - Z-Coordinate,STARLINK-6159 - Z-Coordinate,STARLINK-31645 - Z-Coordinate,STARLINK-3691 - Z-Coordinate,STARLINK-31692 - Z-Coordinate,STARLINK-1998 - Z-Coordinate,STARLINK-11131 [DTC] - Z-Coordinate,STARLINK-32095 - Z-Coordinate,STARLINK-30801 - Z-Coordinate,STARLINK-4169 - Z-Coordinate,STARLINK-30452 - Z-Coordinate,STARLINK-5080 - Z-Coordinate,STARLINK-30442 - Z-Coordinate,STARLINK-1143 - Z-Coordinate,STARLINK-2407 - Z-Coordinate,STARLINK-5754 - Z-Coordinate,STARLINK-5676 - Z-Coordinate,STARLINK-1417 - Z-Coordinate,STARLINK-31535 - Z-Coordinate,STARLINK-32037 - Z-Coordinate,STARLINK-31659 - Z-Coordinate,STARLINK-31242 - Z-Coordinate,STARLINK-2469 - Z-Coordinate,STARLINK-30795 - Z-Coordinate,STARLINK-1496 - Z-Coordinate,STARLINK-30261 - Z-Coordinate,STARLINK-4569 - Z-Coordinate,STARLINK-30842 - Z-Coordinate,STARLINK-30537 - Z-Coordinate,STARLINK-11138 [DTC] - Z-Coordinate,STARLINK-31358 - Z-Coordinate,STARLINK-31298 - Z-Coordinate,STARLINK-3622 - Z-Coordinate,STARLINK-31009 - Z-Coordinate,STARLINK-1313 - Z-Coordinate,STARLINK-31900 - Z-Coordinate,STARLINK-3230 - Z-Coordinate,STARLINK-6100 - Z-Coordinate,STARLINK-1644 - Z-Coordinate,STARLINK-5552 - Z-Coordinate,STARLINK-2029 - Z-Coordinate,STARLINK-30916 - Z-Coordinate,STARLINK-5937 - Z-Coordinate,STARLINK-5307 - Z-Coordinate,STARLINK-1680 - Z-Coordinate,STARLINK-6335 - Z-Coordinate,STARLINK-30790 - Z-Coordinate,STARLINK-6322 - Z-Coordinate,STARLINK-4251 - Z-Coordinate,STARLINK-4098 - Z-Coordinate,STARLINK-30294 - Z-Coordinate,STARLINK-2750 - Z-Coordinate,STARLINK-31462 - Z-Coordinate,STARLINK-30612 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-1151.9399,-5174.6425,-222.2092,-2336.2867,-270.0950,-144.6335,-3298.4375,-637.9620,4592.8575,4101.6168,-1482.2360,-2137.2658,847.6757,541.3444,1287.2410,32.2506,3208.2356,-6264.8407,-657.5605,1346.4836,3281.2711,-3419.0750,1394.9660,733.0324,-3579.9575,5656.3703,1196.2657,-4464.0757,-646.2561,-4996.6504,5085.0437,-1878.5736,-143.0792,954.9736,-3076.9048,2945.1026,-3521.8171,5646.5787,3614.5460,185.7056,-5772.7205,5960.2962,2919.0972,-1728.2425,4054.1875,3512.6938,6180.7672,-2761.6381,1573.7574,-360.9717,0.0000,-420.2849,2647.5962,2993.7472,-4536.2842,-298.1561,-2705.5548,0.0000,1423.0615,-113.4059,2568.4216,-6852.2329,-4281.3955,2130.7685,4135.6632,5869.8121,-2800.3928,-5355.9513,5962.6903,6405.5641,4337.2264,-1040.0429,-2954.0544,5545.6929,3912.2864,-4400.1305,4393.8320,-4132.6314,-4314.1862,5674.9646,0.0000,5282.2243,-1455.1320,5171.9148,-4917.1835,4693.3422,1223.7879,-6832.4772,3947.6199,6087.8341,-1568.3484,-6158.5656,755.4964,-2946.9004,-5018.5784,4579.8225,4185.3401,4688.4454,3024.1597,-4936.1752,21628.7893,2702.6627,18975.5857,17268.2630,18462.6083,17872.0254,9505.2678,14986.1752,-202898390.2428,-202897780.1394,-202901585.0767,-202894750.7700,13199.3572,-202901319.4470,-5587.0509,-1335.5617,947.0785,6246.0963,2940.6691,-5194.4777,-2883.1368,4945.5025,-1750.4776,93.0546,-6012.7929,-6079.4980,-6823.8004,6436.2182,-6306.4762,-6906.4579,2823.4633,582.1737,6623.2036,-6037.1702,5643.5448,-2838.3093,-6371.4212,6502.5583,3471.6882,-294.8076,6626.6959,-3885.1596,-6510.0351,846.9730,-55.6430,6139.5599,6801.5433,6411.7460,3788.4179,4265.6943,-3923.6233,-504.1251,-3198.9721,-6840.2947,3835.8956,3468.1510,-5895.1560,5536.5814,5550.5921,4621.0451,1932.4534,-4249.7214,-4248.3084,6885.7047,0.0000,6485.2359,5923.3068,5803.1287,-5060.9593,4295.3032,4403.3100,0.0000,6332.2051,6897.1430,3216.1294,517.9746,3461.9868,-5914.5224,-5065.0491,-691.7735,3044.8717,-1919.7980,3466.0880,2132.5379,-179.7731,5185.2650,2578.5598,-2756.0166,-4851.7211,2090.7538,-1025.6539,-3130.3931,4980.2299,3634.6151,0.0000,-3837.4915,-4172.7414,-2238.6065,4845.9133,3453.0320,-4946.3411,-105.8686,-4873.9752,2557.6946,5221.2187,-803.1524,-5232.0932,5602.3022,-3667.2783,-4887.1089,4433.1347,1614.6051,-4493.3737,-3989.3143,-336832.4779,-312959.6499,-329746.7790,-331835.0479,-323294.0911,-325899.4081,-326086.3239,-327363.1231,-49633642.9025,-49611753.3532,-49590495.3904,-49616414.0713,-327696.5415,-49613517.6941,-3817.5472,4408.8426,-6874.0008,-1903.8751,6302.1794,-4592.9236,-5351.4583,4646.6184,-4866.1033,5267.9221,3079.2291,2344.6830,745.2788,-2457.9883,2224.5583,-652.8455,5327.1409,-2931.4381,-1470.8449,-3076.9893,2326.4994,-5187.5044,2244.3780,-2243.6895,-4702.7583,-3958.2296,1412.1692,-3619.6878,-1335.3970,4720.0869,4701.8545,-2586.5850,-1040.4777,-2459.6740,-4886.3340,-4636.6187,-4347.8463,-3930.4500,-4954.4029,1078.2158,-127.7527,253.9010,195.9745,-3771.5971,473.0933,3516.2889,2416.8909,4721.6937,-5124.9593,551.6655,0.0000,2384.2829,-1334.5019,1960.1373,1252.0160,5400.5068,4615.1187,0.0000,2437.2034,274.9987,5307.5709,-845.5633,4205.4267,-2823.3796,-1939.6791,-3432.6186,5413.7186,3796.4690,-371.0514,1555.4188,5377.6858,4460.8856,-5721.1427,-3121.5991,3021.6194,4495.1316,5140.3054,-4489.3402,-2094.0589,1654.8781,0.0000,-1976.9952,-5303.0593,-3994.3614,245.8145,3755.3072,-4597.1588,228.7315,2937.2232,-2183.4450,4252.9626,3016.3914,4472.7999,2833.3833,3079.1892,-1691.4742,3290.4178,-4795.4869,-4146.7260,-2540.3864,159982.1894,160109.0652,158725.1772,163590.3646,164176.1337,153783.0505,151619.7296,159322.2399,64928299.5219,64898832.3336,64914873.6458,64935073.2791,159126.1608,64926356.2462,
300.000,-2409.2129,-5879.4123,-2116.3712,-909.8041,1605.3589,-2207.3050,-4902.1852,989.0480,2957.3844,4322.1413,-2581.8746,-3070.3336,-417.8367,1846.9682,-458.7880,477.5169,4798.7374,-5259.8852,877.8995,122.6282,4277.8146,-5026.8207,199.9670,2018.9800,-2827.2061,4433.4810,2293.1653,-4989.7847,-1834.4503,-4459.0261,4968.6733,-734.0815,1073.9312,2566.6791,-1000.3724,4281.3394,-5156.8093,6111.7083,1619.6968,601.2183,-4645.5275,6322.1696,1668.0585,-507.9400,4892.3180,5135.1568,5690.5596,-4412.0886,-580.0048,850.1314,0.0000,842.9304,3509.0873,4434.0351,-5626.9319,1814.7825,-651.4769,0.0000,3024.3924,1092.7461,3909.0168,-6588.6530,-2444.6340,1007.6849,2969.9927,6216.6362,-909.3776,-6281.6058,6189.2137,6267.7332,4568.7578,1089.1171,-4559.8652,4006.1685,2780.6932,-2596.8743,3060.8903,-4898.2439,-2789.3329,5941.8327,0.0000,4429.4497,-3094.0080,4712.4733,-3779.8615,3205.3704,-264.1013,-6560.7778,2821.0459,6634.0577,305.8156,-6647.4487,-1222.2603,-1604.8790,-3691.3056,3144.8023,4850.7564,4248.8185,1560.1736,-6001.4541,28651.6529,9248.7532,25787.1853,24054.9459,25316.3652,24731.5549,16416.9854,21690.7763,-201762872.4046,-201762290.5689,-201766775.8336,-201759122.7760,20044.8712,-201765892.6822,-4161.4397,547.1165,-292.8142,6861.8559,1796.6519,-4586.3428,-1615.5009,5800.7351,-3061.2059,-2031.4419,-4669.1162,-4777.7175,-6440.3508,6619.0790,-5853.0462,-6734.1159,1484.0791,2178.9021,6757.6669,-6758.6270,4153.8533,-1618.6257,-6879.6408,6597.2771,5154.6945,-1768.6911,5712.2852,-1950.2221,-5670.6015,2915.1055,-2173.3469,6827.3014,6751.5464,6357.2812,4107.3325,4640.4734,-2733.3330,-2045.8803,-3885.3810,-6106.4392,4877.0700,2293.9363,-6153.5305,6519.4894,4664.6530,3787.6059,407.8145,-2879.5733,-4063.9044,6750.2879,0.0000,6842.6011,4739.8645,5160.6663,-4004.7340,3769.1255,5054.8279,0.0000,6159.5686,6644.8264,1457.4847,2002.8719,4490.6203,-6721.6249,-6123.4379,-2160.8746,4156.9184,-290.3515,2202.9378,458.3685,-2231.7208,4942.1999,3122.2280,-3904.0653,-6117.2178,3203.4328,-2732.9765,-1111.0059,5175.0912,1964.7656,0.0000,-5164.8983,-2754.5515,-4084.0742,5415.3327,2915.1260,-5974.0150,1104.2245,-6125.3794,2079.8743,4584.8306,826.4178,-5696.0613,6588.7169,-3241.3719,-5187.1424,2596.9260,-427.2557,-5807.9418,-3170.5311,-336105.2941,-312726.0262,-329481.2353,-331446.7769,-322890.5778,-325471.1392,-325745.7076,-326861.3427,-54052871.5797,-54031282.2537,-54009952.2637,-54035056.1376,-327321.5310,-54032786.4194,-4898.9024,3626.2846,-6605.0845,-406.2615,6528.3689,-4710.4625,-4603.2232,3443.2231,-5452.0495,4667.9455,4397.4138,3839.7971,2480.6921,-719.0986,3447.6068,1585.7365,4629.2577,-3971.4830,69.3398,-1420.8528,3528.9950,-4331.5758,487.6490,-484.5767,-3523.4006,-4997.3855,3069.5933,-4407.4171,-3012.9934,4426.2680,4309.2068,-863.1363,776.5723,-1025.9348,-5461.8044,-2914.6927,-3554.1952,-2457.0718,-5489.1002,3208.2618,-1645.3006,-1552.2394,-1639.7485,-2256.7578,-1341.5227,2316.5026,3898.2836,4497.8571,-5471.6217,-1257.4970,0.0000,643.4653,-3019.1370,456.9506,-287.4891,5495.2189,4694.0803,0.0000,1000.7903,-1527.6087,5263.7101,701.2969,4674.6920,-1131.9578,-434.6640,-1839.7628,5321.5714,2695.4237,-2136.6097,2911.9459,4682.1038,4717.3103,-4189.9838,-4099.8403,1687.9240,5188.0988,5471.3583,-4670.0368,-3640.5292,2994.2672,0.0000,-475.7323,-5522.2636,-2969.6669,2020.0635,5407.7892,-3366.2534,-1582.4496,1585.8443,-91.5605,5164.4813,1681.0213,3745.7117,1462.0886,4893.2957,-3307.5171,4207.9117,-5417.9824,-3218.7682,-804.5034,159997.6971,160146.6421,158877.4620,163494.8136,164341.0865,154046.1294,151534.4673,159832.3065,64925595.1098,64896057.7497,64911652.7746,64932347.5759,159178.4330,64923394.0117,
600.000,-3474.6391,-6039.6343,-3732.3186,601.0131,3365.3383,-4071.4516,-6040.0714,2480.8784,1058.3098,4118.6651,-3474.1479,-3734.0464,-1669.2558,2960.5053,-2185.9379,848.4554,5918.2087,-3764.6942,2324.2801,-1097.5404,4893.3621,-6132.9228,-1009.4754,3098.7779,-1825.9411,2797.7728,3193.2864,-5076.0088,-2855.4847,-3531.4039,4411.6497,473.6321,2191.2198,3921.0323,1177.0015,5159.9791,-6277.4583,5979.7004,-524.9538,905.9218,-3059.9447,6059.5253,206.7003,737.7481,5250.0273,6220.9571,4658.6385,-5658.6641,-2685.6540,1990.9014,0.0000,2015.3382,4007.6534,5418.3448,-6168.5763,3763.1744,1453.0596,0.0000,4324.7692,2206.9014,4874.3693,-5681.7819,-384.4612,-204.0317,1505.0532,5932.4142,1042.7296,-6584.2152,5811.2564,5536.7910,4395.9255,3122.2416,-5697.4250,2084.7186,1395.1456,-521.0907,1459.8204,-5217.8627,-963.9433,5656.3282,0.0000,3128.4652,-4468.0237,3818.5343,-2249.4459,1409.1459,-1690.9710,-5613.1259,1435.4838,6506.1685,2184.0756,-6490.5356,-3060.9915,-121.7050,-2000.3868,1374.7359,5086.0381,3441.2759,-32.9266,-6443.4425,35651.1232,15786.8571,32585.3996,30828.2494,32157.8074,31575.4974,23320.9711,28263.7421,-200531116.7306,-200530549.0409,-200535718.5341,-200527297.0217,26880.4297,-200534226.3340,-2332.1685,2352.6746,-1578.6363,6812.2214,544.2817,-3578.1804,-235.2832,6076.6245,-4122.7198,-3915.0746,-2869.6135,-2986.3883,-5421.9092,6143.6336,-4819.4957,-5828.3847,39.4986,3599.9415,6200.6875,-6806.8361,2257.5180,-278.8168,-6698.1203,6036.9267,6309.6670,-3115.8565,4220.1975,177.8690,-4206.9290,4705.1385,-4074.5664,6836.4567,6017.9865,5691.3287,4079.2611,4575.1135,-1300.3414,-3359.4995,-4248.0059,-4705.7019,5459.1260,874.6665,-5710.3631,6858.7280,3299.8141,2584.7274,-1193.8659,-1266.6293,-3524.6269,5944.0250,0.0000,6522.6876,3009.7722,3994.4753,-2554.4328,2927.9539,5260.3341,0.0000,5395.7355,5728.1193,-420.2824,3299.3132,5127.2197,-6851.6328,-6555.0917,-3388.7042,4889.2749,1344.3139,699.7364,-1283.6605,-4043.5432,4262.8140,3274.8404,-4713.9495,-6786.0208,4012.9335,-4203.0218,1006.3238,4889.4585,86.1726,0.0000,-5962.5493,-1106.7600,-5520.3085,5460.6757,1996.0415,-6411.2668,2218.7040,-6778.9149,1391.8799,3540.3928,2359.8384,-5636.9727,6937.5373,-2405.8811,-5000.6626,504.1034,-2450.4873,-6541.7416,-2032.8618,-335229.8726,-312356.6433,-329071.2672,-330915.3293,-322344.7982,-324900.7855,-325259.5774,-326258.2131,-58446169.3881,-58424880.2384,-58403502.7831,-58427758.1203,-326803.6160,-58426127.6930,-5441.5894,2455.3972,-5635.5967,1134.8317,6066.9780,-4325.3958,-3359.7517,1852.8072,-5452.3121,3511.7047,5241.9914,4910.5013,3948.4566,1097.5633,4281.5450,3654.6349,3414.7054,-4588.6033,1601.6857,389.0814,4353.4448,-2991.8851,-1322.0857,1326.7837,-1954.2848,-5497.9576,4390.8166,-4725.1570,-4330.9265,3658.2231,3454.9211,953.2160,2508.5222,517.6955,-5448.0037,-883.7872,-2363.8198,-716.7151,-5434.3064,4993.8425,-2986.7387,-3189.9941,-3271.4543,-498.7973,-3009.9280,852.7407,4958.8174,3792.4132,-5210.8324,-2931.2053,0.0000,-1166.5475,-4334.2761,-1097.6687,-1795.9496,4997.0124,4270.8717,0.0000,-542.7481,-3164.7062,4603.3622,2172.6715,4643.6120,682.9036,1119.2358,-41.3339,4631.6325,1294.3368,-3671.0430,3956.0290,3482.0026,4466.8240,-2211.5783,-4640.3797,173.1251,5248.4360,5194.6964,-4335.6772,-4794.7412,4013.9577,0.0000,1079.0078,-5144.8671,-1623.7099,3575.5321,6482.4896,-1764.2298,-3217.1641,64.2618,2010.0084,5520.0315,163.5777,2616.9660,-65.5027,6185.1820,-4566.1931,4674.5691,-5453.8494,-1929.4489,1021.2469,160012.8926,160184.0287,159030.2006,163394.0241,164502.3467,154315.1758,151454.3768,160295.4590,64922889.7366,64893288.2045,64908434.6058,64929598.9470,159230.5861,64920431.8112,
