sl_20_86400_20260403 Coordinates.csv
2026/04/03 07:47:00.0000 UTC

Generated: Tue Oct  8 17:00:23 2024,
Start: 2026/04/03 07:47:00.00, Stop: 2026/04/04 07:47:00.00,
TIME_UNITS,STARLINK-4098 - X-Coordinate,STARLINK-31431 - X-Coordinate,STARLINK-31420 - X-Coordinate,STARLINK-2592 - X-Coordinate,STARLINK-6242 - X-Coordinate,STARLINK-5091 - X-Coordinate,STARLINK-3252 - X-Coordinate,STARLINK-1108 - X-Coordinate,STARLINK-31565 - X-Coordinate,STARLINK-11118 [DTC] - X-Coordinate,STARLINK-31393 - X-Coordinate,STARLINK-4362 - X-Coordinate,STARLINK-30255 - X-Coordinate,STARLINK-30907 - X-Coordinate,STARLINK-31916 - X-Coordinate,STARLINK-2041 - X-Coordinate,STARLINK-31260 - X-Coordinate,STARLINK-11199 [DTC] - X-Coordinate,STARLINK-30449 - X-Coordinate,STARLINK-4042 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4098 - Y-Coordinate,STARLINK-31431 - Y-Coordinate,STARLINK-31420 - Y-Coordinate,STARLINK-2592 - Y-Coordinate,STARLINK-6242 - Y-Coordinate,STARLINK-5091 - Y-Coordinate,STARLINK-3252 - Y-Coordinate,STARLINK-1108 - Y-Coordinate,STARLINK-31565 - Y-Coordinate,STARLINK-11118 [DTC] - Y-Coordinate,STARLINK-31393 - Y-Coordinate,STARLINK-4362 - Y-Coordinate,STARLINK-30255 - Y-Coordinate,STARLINK-30907 - Y-Coordinate,STARLINK-31916 - Y-Coordinate,STARLINK-2041 - Y-Coordinate,STARLINK-31260 - Y-Coordinate,STARLINK-11199 [DTC] - Y-Coordinate,STARLINK-30449 - Y-Coordinate,STARLINK-4042 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4098 - Z-Coordinate,STARLINK-31431 - Z-Coordinate,STARLINK-31420 - Z-Coordinate,STARLINK-2592 - Z-Coordinate,STARLINK-6242 - Z-Coordinate,STARLINK-5091 - Z-Coordinate,STARLINK-3252 - Z-Coordinate,STARLINK-1108 - Z-Coordinate,STARLINK-31565 - Z-Coordinate,STARLINK-11118 [DTC] - Z-Coordinate,STARLINK-31393 - Z-Coordinate,STARLINK-4362 - Z-Coordinate,STARLINK-30255 - Z-Coordinate,STARLINK-30907 - Z-Coordinate,STARLINK-31916 - Z-Coordinate,STARLINK-2041 - Z-Coordinate,STARLINK-31260 - Z-Coordinate,STARLINK-11199 [DTC] - Z-Coordinate,STARLINK-30449 - Z-Coordinate,STARLINK-4042 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4136.2698,6508.0907,4309.2960,-2609.3455,-2984.8613,-3808.0355,293.6918,0.0000,-5228.3166,-5464.8416,-5843.0085,910.4778,2647.1736,-1672.2622,4610.3284,-4391.6916,-2757.0486,-3679.7548,4426.2857,-1433.6158,94288.0552,100027.1070,88674.9136,91831.4395,87351.4946,89045.4004,96683.4319,92562.1239,-231880177.8013,-231901778.5195,-231885719.5291,-231897241.4117,93877.1387,-231895033.6852,344.8726,-1938.8932,-5285.6472,5891.9712,5712.1345,5208.2657,6895.5703,0.0000,2094.9139,-2173.0087,2731.6097,-514.1356,4568.6339,6692.8734,-3581.4881,-4107.1410,6152.3969,4196.7779,2666.7691,-6458.3007,-356865.8465,-387270.1377,-370514.2434,-368325.1279,-375617.1174,-373103.6008,-376753.1790,-372551.0778,251822483.2811,251783345.3128,251834951.1336,251817677.9423,-373645.4232,251829809.8007,-5529.2573,-898.4595,79.1033,2434.8730,-2573.4054,2513.1525,-338.4972,0.0000,-3861.7148,-3290.1304,2194.4789,6850.9288,4504.5119,643.0745,3527.8021,-3315.8480,-1129.7886,3771.6497,-4619.9563,-2004.5486,-95840.9959,-96829.8521,-99284.0218,-93302.0992,-93624.9568,-104220.1388,-105519.4878,-98768.3141,-17685140.5446,-17709679.6999,-17710670.1151,-17700523.3321,-98355.7733,-17697099.0310,
3600.000,3440.2832,-3752.9469,-1654.2740,1068.9494,954.1086,163.6688,-1870.8886,0.0000,4342.9958,3366.1273,2160.7950,-4005.9194,-5750.8638,-678.0859,-2968.6578,6061.6246,-203.2898,-1369.5360,-6456.9286,2984.1101,180042.5782,194073.2390,180248.9409,183345.4180,178060.9764,179625.8421,186814.2844,186354.6517,-289187504.1342,-289197650.5303,-289195403.4725,-289198771.1830,184664.0676,-289202754.3324,-4484.1236,3252.6524,5102.3068,-6501.7146,-6790.2142,-5156.4542,-5457.1887,0.0000,-5254.9509,-2246.7516,-4570.2247,-3451.1740,-3249.8046,-6249.6159,6146.1545,3011.1163,-4806.0519,-3919.8904,334.4609,3534.0323,-322557.1602,-350951.8654,-333573.2053,-332946.7383,-340120.3045,-337853.3172,-340268.8121,-338517.9403,183162220.2683,183124565.3817,183181636.1459,183162371.5412,-337836.2448,183170419.6022,3969.0958,4704.5416,4200.8142,2008.3173,-1053.3164,-4628.7845,-3810.1035,0.0000,388.0295,5373.0886,-4577.5760,-4500.7390,-2162.4978,2907.2417,136.9663,-1154.5356,4843.6535,-5317.8522,2477.7190,5124.9733,-97655.3570,-98412.4203,-99580.1463,-96780.5625,-93806.6932,-102921.3227,-108463.9715,-99679.7288,-17607728.2869,-17633380.6791,-17627168.4716,-17625288.9146,-99829.6013,-17618571.8541,
7200.000,-2422.9721,-824.7174,-2734.6453,1571.1294,1664.9002,3819.5699,3735.3803,0.0000,-1435.4971,-731.8360,2349.0543,3149.1733,6672.4865,3482.7514,-184.9923,-4895.8211,4148.6332,5635.5312,6307.2755,-4717.3001,254806.3481,276121.3216,260248.7250,263566.1355,257039.4556,259883.4695,264682.3377,261729.6678,-326754788.7682,-326754759.3983,-326768547.4186,-326765567.1765,263478.8746,-326770880.9982,6470.4316,-4412.4604,-3246.3511,4301.2548,5392.6099,4266.7849,1774.6200,0.0000,5762.1393,6093.6716,5370.6663,6162.7800,1258.6341,3719.8545,-5725.2077,-127.8954,2056.6723,2936.8484,-2615.3074,548.6004,-268212.4075,-291982.1265,-275348.7216,-276749.2731,-282929.9728,-280681.2411,-282547.7828,-280281.7361,102003434.1005,101970084.8953,102026827.3244,102012784.6610,-280393.0036,102012205.9244,80.3726,-5176.6432,-5342.9775,-5154.2264,4023.6941,3886.5993,5527.5364,0.0000,3357.8627,-2781.9586,3471.3140,-552.4227,-1475.7593,-4702.4542,-3717.9441,4799.6102,-5030.9882,2242.7197,1164.9003,-5023.8351,-99494.4753,-100008.0609,-99934.8317,-101150.0947,-94469.6784,-100751.6241,-110697.1481,-101108.3485,-17531019.2212,-17557010.3048,-17542529.2101,-17547306.5342,-101295.1369,-17540045.6165,
10800.000,269.9750,4432.3002,6244.5990,-4725.9217,-4548.4533,-6306.6834,-5454.0608,0.0000,-2765.8821,-1463.6468,-5225.1490,-299.1688,-5300.7990,-5885.3632,3996.4199,2453.9077,-6653.9519,-6094.8519,-3659.6041,5636.2642,314080.0016,340806.1139,323566.1578,327095.1234,319112.9936,326648.6752,325520.8141,327002.1463,-342018921.4858,-342010627.7953,-342039661.9832,-342036909.9405,325279.1348,-342036096.2401,-5558.4054,4846.8516,1228.6112,-1054.6143,-2533.3698,-2761.6190,1955.7055,0.0000,-4203.9416,-6172.7243,-4368.1444,-4535.5534,1505.5782,-521.3421,3194.1955,-3828.9708,367.2626,-842.1689,4210.1425,-3603.9864,-197090.7282,-214125.0163,-199524.4481,-205891.9500,-207702.2472,-203962.2939,-207422.0690,-204612.9377,13885666.5613,13858840.2548,13908226.4934,13901358.9043,-205034.1701,13894527.8446,-4102.7259,1933.2254,2442.3513,4894.0934,-4590.0735,-777.4522,-3769.8595,0.0000,-4618.1919,-2270.4068,255.6053,5234.3405,4221.2999,3610.4968,4509.4807,-5146.2734,1509.2566,2747.0823,-4113.5770,1726.0779,-101358.6589,-101611.4923,-100645.6689,-104500.4162,-95598.4508,-100736.0636,-112268.3853,-103179.4138,-17454895.6907,-17480556.6697,-17457513.5996,-17464132.7870,-102752.2658,-17461520.3452,
14400.000,3004.4023,-5371.0482,-6394.2228,6581.0947,6499.5627,6314.4351,5577.0713,0.0000,6132.2719,3465.0843,5549.7230,-897.7283,2681.5776,6595.6543,-6540.6241,-241.5541,5717.6898,3070.1131,-326.4703,-4390.1197,354292.9730,383893.9213,366104.4783,367845.1112,360253.8118,370039.1261,365650.3581,364782.6284,-333939087.8185,-333924835.6949,-333964814.4361,-333963556.8131,366122.7177,-333957315.0980,2876.9887,-3299.7467,641.3402,-1454.3144,-414.6596,357.4301,-4063.3513,0.0000,1759.3026,2249.3893,1109.5250,-625.4915,-4570.2241,-2102.2681,-177.9318,6586.4959,-2091.3025,-2662.4443,-5228.5573,4632.0251,-113400.6353,-122380.1907,-110922.7133,-121175.8806,-119272.1306,-114203.8925,-119696.5398,-117490.5922,-75176875.9515,-75195667.1648,-75159768.3215,-75166244.7356,-116622.9159,-75168464.4548,5509.3328,2664.9214,2271.6113,-1439.3601,2377.3193,-2831.6702,-394.3506,0.0000,2426.9552,5308.8826,-3805.2698,-6858.6630,-4500.3420,-333.0848,-1955.0592,1911.7096,3093.6911,-5385.8151,4522.8506,2641.4351,-103247.9053,-103218.8524,-101912.5486,-103657.0731,-97201.8545,-105874.7673,-113188.5543,-103437.8751,-17379202.1804,-17404007.1825,-17373177.6506,-17378176.8352,-104200.8745,-17382996.0672,
18000.000,-5983.5226,4205.5725,3155.4459,-5501.5637,-6291.4599,-4272.5751,-3127.7306,0.0000,-6589.4902,-4983.5045,-3984.9475,-1021.5622,-0.5744,-4801.0732,6035.3878,-1470.3757,-1773.0624,680.9628,3809.3169,767.5469,372994.2415,402558.3113,385070.5247,385162.4913,377829.0845,387254.1876,382672.8921,384402.6579,-303067700.6780,-303049963.3014,-303094232.4207,-303089518.7670,383419.1766,-303086687.6131,-237.3839,-519.4784,-2918.0701,2887.1033,2639.2443,2778.6775,4419.1039,0.0000,851.0982,2583.5469,3271.6683,5263.6503,6615.1432,3867.8143,-2425.1066,-6166.8755,3726.5100,5808.4707,5364.6066,-4300.2878,-22027.5537,-22656.5613,-15235.5191,-26840.3221,-23315.6705,-17897.3799,-24857.3712,-19661.9324,-159105812.2343,-159115780.1306,-159096499.2142,-159103851.4722,-20852.8549,-159098304.7597,-3452.8899,-5385.0144,-5300.5774,-2986.9848,1247.4077,4680.8548,4285.5181,0.0000,1555.5940,-3729.2812,4450.0235,4399.3865,2112.0501,-3170.3162,-2075.9705,2621.6236,-5452.4325,3344.7238,-2176.7052,-5358.8703,-105160.6848,-104827.1658,-103784.0612,-102728.4133,-99316.7502,-110532.5839,-113432.8810,-106596.9566,-17303755.3906,-17327348.3332,-17290371.4855,-17296134.4410,-105640.8504,-17304472.8096,
21600.000,6685.0359,-2424.2006,1092.4867,1735.2917,3643.8889,1486.9174,-1150.2971,0.0000,3887.6379,4318.7635,1641.4965,3765.1344,-2150.5545,1104.8510,-2562.9932,3299.9591,-2590.6561,-2990.7799,-5530.3857,3575.1882,368964.4331,395564.2484,379204.1069,378093.4192,370782.2018,379189.3640,375573.0984,375700.3696,-251512594.8568,-251493818.1813,-251535485.2533,-251526967.1674,376093.8463,-251531862.2190,-1558.7281,4790.5507,5155.6441,-3864.1883,-4210.9719,-5684.9521,-4046.8882,0.0000,-3496.6284,-5043.2421,-6386.0621,-5795.3693,-6432.5690,-4944.7695,4397.0003,2740.6619,-5051.9847,-5834.0624,-3885.7068,3618.0402,71803.4791,78614.0895,81333.8808,69601.8223,74050.5340,78938.5097,71284.7509,74910.9512,-232173415.0310,-232174455.5869,-232171247.5746,-232175200.6645,76119.0131,-232167061.8553,-810.5822,4242.1260,4318.6261,5425.7503,-4141.9235,-3675.5603,-5486.0112,0.0000,-4395.4601,-1139.3230,-1731.4001,621.7686,1499.1313,4717.0536,4539.9583,-5363.9251,3795.2897,1564.3256,-1524.8736,4669.5119,-107089.4467,-106434.0295,-106144.4443,-102340.8257,-102019.0967,-114236.2329,-112935.8315,-105826.5021,-17228356.1098,-17250565.4221,-17209406.0822,-17218161.6287,-107072.0818,-17225950.5994,
25200.000,-4337.7820,757.2882,-3807.1750,2585.0544,294.1250,1049.0013,5008.5973,0.0000,255.0629,-584.0697,1059.8359,-3726.5687,3923.0200,2804.0082,-1869.9138,-5070.9632,4886.6342,3913.5691,5405.6426,-6251.3475,342196.6478,363348.1752,348899.4535,346966.4825,339770.4753,347077.5496,344693.3010,344641.8467,-182793081.5229,-182775529.2077,-182809207.1080,-182800691.6266,344654.2662,-182812089.0751,2875.5148,-6804.6643,-5656.2678,4708.8977,5240.3018,6834.6890,3518.7984,0.0000,5557.9740,4480.9882,6324.3018,2463.7647,3856.6003,5351.0041,-5471.1857,1476.7721,4734.7557,1929.6118,675.8958,-2753.7891,162991.7602,174897.9486,172500.7214,161475.1578,166728.9615,170228.8900,163030.4198,169237.8932,-289393471.1876,-289386090.0813,-289395490.9848,-289393215.4133,168068.4643,-289388253.1305,4537.1665,-95.7081,-110.7039,-4320.6709,4525.1326,394.6968,3200.7333,0.0000,3949.2145,4983.9154,-2319.9154,-5318.5293,-4249.4864,-3402.4641,-3635.4532,4375.5176,619.9079,-5145.8832,4270.0115,-1046.9080,-108997.9167,-108037.4150,-108744.5766,-102471.3149,-105446.2808,-117129.0710,-111585.3556,-109870.6321,-17152802.1172,-17173642.2408,-17130157.1666,-17142571.7492,-108494.4579,-17147429.4635,
28800.000,213.4997,1296.4930,4420.5566,-5159.7282,-3736.8317,-3053.2630,-6393.0599,0.0000,-3577.1023,-4323.4998,-3845.8837,-188.8250,-5301.4811,-5280.8458,4909.1269,5460.9005,-4744.5930,-4075.9425,-4214.7726,6023.0645,293085.7057,307988.6004,296186.0131,293719.2554,287511.3274,293304.5882,291458.5311,291566.8696,-101599699.8425,-101585332.6526,-101607989.5999,-101604564.9468,291154.8530,-101617987.6775,-4293.6483,5299.4000,3052.1801,-4554.0427,-5417.0210,-5381.2618,-2382.2377,0.0000,-5784.9695,-2556.4297,-3240.1445,1136.8015,-73.6248,-4486.4340,4742.2704,-4140.9131,-1740.3900,3264.3065,3284.8361,933.5982,247599.7306,259986.6817,252354.1277,242675.1937,249175.8435,250316.2858,245510.3939,248363.2617,-326861508.4696,-326846730.4305,-326863680.7166,-326855777.1394,249103.8031,-326857142.0114,-5414.4541,-4145.8543,-4207.9133,353.8486,-2201.8780,3106.3173,1088.1227,0.0000,-578.2946,-4494.0168,4592.1976,6833.8763,4478.8644,-9.6034,3.3198,-382.2652,-4606.4752,4254.1662,-4415.0038,-3262.4747,-110593.3030,-109635.5328,-111268.7125,-103082.3726,-109763.7726,-119309.9484,-109363.4213,-108330.1877,-17076901.2813,-17096560.6872,-17052317.8957,-17068135.7650,-109907.8688,-17068909.4291,
