sl_100_5400_20261002 Coordinates.csv
2026/10/02 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:50 2024,
Start: 2026/10/02 07:47:00.00, Stop: 2026/10/02 09:17:00.00,
TIME_UNITS,STARLINK-3694 - X-Coordinate,STARLINK-31088 - X-Coordinate,STARLINK-1965 - X-Coordinate,STARLINK-31518 - X-Coordinate,STARLINK-4580 - X-Coordinate,STARLINK-3660 - X-Coordinate,STARLINK-1848 - X-Coordinate,STARLINK-4034 - X-Coordinate,STARLINK-4118 - X-Coordinate,STARLINK-4214 - X-Coordinate,STARLINK-3798 - X-Coordinate,STARLINK-5155 - X-Coordinate,STARLINK-5507 - X-Coordinate,STARLINK-31296 - X-Coordinate,STARLINK-30041 - X-Coordinate,STARLINK-2100 - X-Coordinate,STARLINK-4048 - X-Coordinate,STARLINK-4728 - X-Coordinate,STARLINK-3259 - X-Coordinate,STARLINK-2430 - X-Coordinate,STARLINK-3903 - X-Coordinate,STARLINK-2221 - X-Coordinate,STARLINK-5485 - X-Coordinate,STARLINK-1895 - X-Coordinate,STARLINK-2704 - X-Coordinate,STARLINK-1258 - X-Coordinate,STARLINK-32356 - X-Coordinate,STARLINK-31474 - X-Coordinate,STARLINK-5398 - X-Coordinate,STARLINK-11148 [DTC] - X-Coordinate,STARLINK-1294 - X-Coordinate,STARLINK-5346 - X-Coordinate,STARLINK-4146 - X-Coordinate,STARLINK-30851 - X-Coordinate,STARLINK-31964 - X-Coordinate,STARLINK-5730 - X-Coordinate,STARLINK-6167 - X-Coordinate,STARLINK-31124 - X-Coordinate,STARLINK-30509 - X-Coordinate,STARLINK-3803 - X-Coordinate,STARLINK-31024 - X-Coordinate,STARLINK-31253 - X-Coordinate,STARLINK-1028 - X-Coordinate,STARLINK-31089 - X-Coordinate,STARLINK-31787 - X-Coordinate,STARLINK-5256 - X-Coordinate,STARLINK-2019 - X-Coordinate,STARLINK-31390 - X-Coordinate,STARLINK-3935 - X-Coordinate,STARLINK-6051 - X-Coordinate,STARLINK-30288 - X-Coordinate,STARLINK-2106 - X-Coordinate,STARLINK-2511 - X-Coordinate,STARLINK-6103 - X-Coordinate,STARLINK-31556 - X-Coordinate,STARLINK-2630 - X-Coordinate,STARLINK-3963 - X-Coordinate,STARLINK-31697 - X-Coordinate,STARLINK-4577 - X-Coordinate,STARLINK-2127 - X-Coordinate,STARLINK-1391 - X-Coordinate,STARLINK-6380 - X-Coordinate,STARLINK-4039 - X-Coordinate,STARLINK-4426 - X-Coordinate,STARLINK-5579 - X-Coordinate,STARLINK-4116 - X-Coordinate,STARLINK-6118 - X-Coordinate,STARLINK-4368 - X-Coordinate,STARLINK-3863 - X-Coordinate,STARLINK-3336 - X-Coordinate,STARLINK-31575 - X-Coordinate,STARLINK-4100 - X-Coordinate,STARLINK-5894 - X-Coordinate,STARLINK-31555 - X-Coordinate,STARLINK-3261 - X-Coordinate,STARLINK-31825 - X-Coordinate,STARLINK-5910 - X-Coordinate,STARLINK-4705 - X-Coordinate,STARLINK-1066 - X-Coordinate,STARLINK-31826 - X-Coordinate,STARLINK-4196 - X-Coordinate,STARLINK-5458 - X-Coordinate,STARLINK-3193 - X-Coordinate,STARLINK-30268 - X-Coordinate,STARLINK-30586 - X-Coordinate,STARLINK-31665 - X-Coordinate,STARLINK-31911 - X-Coordinate,STARLINK-1485 - X-Coordinate,STARLINK-5342 - X-Coordinate,STARLINK-11164 [DTC] - X-Coordinate,STARLINK-4329 - X-Coordinate,STARLINK-4312 - X-Coordinate,STARLINK-2556 - X-Coordinate,STARLINK-3639 - X-Coordinate,STARLINK-31700 - X-Coordinate,STARLINK-30336 - X-Coordinate,STARLINK-3004 - X-Coordinate,STARLINK-5778 - X-Coordinate,STARLINK-3392 - X-Coordinate,STARLINK-30926 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3694 - Y-Coordinate,STARLINK-31088 - Y-Coordinate,STARLINK-1965 - Y-Coordinate,STARLINK-31518 - Y-Coordinate,STARLINK-4580 - Y-Coordinate,STARLINK-3660 - Y-Coordinate,STARLINK-1848 - Y-Coordinate,STARLINK-4034 - Y-Coordinate,STARLINK-4118 - Y-Coordinate,STARLINK-4214 - Y-Coordinate,STARLINK-3798 - Y-Coordinate,STARLINK-5155 - Y-Coordinate,STARLINK-5507 - Y-Coordinate,STARLINK-31296 - Y-Coordinate,STARLINK-30041 - Y-Coordinate,STARLINK-2100 - Y-Coordinate,STARLINK-4048 - Y-Coordinate,STARLINK-4728 - Y-Coordinate,STARLINK-3259 - Y-Coordinate,STARLINK-2430 - Y-Coordinate,STARLINK-3903 - Y-Coordinate,STARLINK-2221 - Y-Coordinate,STARLINK-5485 - Y-Coordinate,STARLINK-1895 - Y-Coordinate,STARLINK-2704 - Y-Coordinate,STARLINK-1258 - Y-Coordinate,STARLINK-32356 - Y-Coordinate,STARLINK-31474 - Y-Coordinate,STARLINK-5398 - Y-Coordinate,STARLINK-11148 [DTC] - Y-Coordinate,STARLINK-1294 - Y-Coordinate,STARLINK-5346 - Y-Coordinate,STARLINK-4146 - Y-Coordinate,STARLINK-30851 - Y-Coordinate,STARLINK-31964 - Y-Coordinate,STARLINK-5730 - Y-Coordinate,STARLINK-6167 - Y-Coordinate,STARLINK-31124 - Y-Coordinate,STARLINK-30509 - Y-Coordinate,STARLINK-3803 - Y-Coordinate,STARLINK-31024 - Y-Coordinate,STARLINK-31253 - Y-Coordinate,STARLINK-1028 - Y-Coordinate,STARLINK-31089 - Y-Coordinate,STARLINK-31787 - Y-Coordinate,STARLINK-5256 - Y-Coordinate,STARLINK-2019 - Y-Coordinate,STARLINK-31390 - Y-Coordinate,STARLINK-3935 - Y-Coordinate,STARLINK-6051 - Y-Coordinate,STARLINK-30288 - Y-Coordinate,STARLINK-2106 - Y-Coordinate,STARLINK-2511 - Y-Coordinate,STARLINK-6103 - Y-Coordinate,STARLINK-31556 - Y-Coordinate,STARLINK-2630 - Y-Coordinate,STARLINK-3963 - Y-Coordinate,STARLINK-31697 - Y-Coordinate,STARLINK-4577 - Y-Coordinate,STARLINK-2127 - Y-Coordinate,STARLINK-1391 - Y-Coordinate,STARLINK-6380 - Y-Coordinate,STARLINK-4039 - Y-Coordinate,STARLINK-4426 - Y-Coordinate,STARLINK-5579 - Y-Coordinate,STARLINK-4116 - Y-Coordinate,STARLINK-6118 - Y-Coordinate,STARLINK-4368 - Y-Coordinate,STARLINK-3863 - Y-Coordinate,STARLINK-3336 - Y-Coordinate,STARLINK-31575 - Y-Coordinate,STARLINK-4100 - Y-Coordinate,STARLINK-5894 - Y-Coordinate,STARLINK-31555 - Y-Coordinate,STARLINK-3261 - Y-Coordinate,STARLINK-31825 - Y-Coordinate,STARLINK-5910 - Y-Coordinate,STARLINK-4705 - Y-Coordinate,STARLINK-1066 - Y-Coordinate,STARLINK-31826 - Y-Coordinate,STARLINK-4196 - Y-Coordinate,STARLINK-5458 - Y-Coordinate,STARLINK-3193 - Y-Coordinate,STARLINK-30268 - Y-Coordinate,STARLINK-30586 - Y-Coordinate,STARLINK-31665 - Y-Coordinate,STARLINK-31911 - Y-Coordinate,STARLINK-1485 - Y-Coordinate,STARLINK-5342 - Y-Coordinate,STARLINK-11164 [DTC] - Y-Coordinate,STARLINK-4329 - Y-Coordinate,STARLINK-4312 - Y-Coordinate,STARLINK-2556 - Y-Coordinate,STARLINK-3639 - Y-Coordinate,STARLINK-31700 - Y-Coordinate,STARLINK-30336 - Y-Coordinate,STARLINK-3004 - Y-Coordinate,STARLINK-5778 - Y-Coordinate,STARLINK-3392 - Y-Coordinate,STARLINK-30926 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3694 - Z-Coordinate,STARLINK-31088 - Z-Coordinate,STARLINK-1965 - Z-Coordinate,STARLINK-31518 - Z-Coordinate,STARLINK-4580 - Z-Coordinate,STARLINK-3660 - Z-Coordinate,STARLINK-1848 - Z-Coordinate,STARLINK-4034 - Z-Coordinate,STARLINK-4118 - Z-Coordinate,STARLINK-4214 - Z-Coordinate,STARLINK-3798 - Z-Coordinate,STARLINK-5155 - Z-Coordinate,STARLINK-5507 - Z-Coordinate,STARLINK-31296 - Z-Coordinate,STARLINK-30041 - Z-Coordinate,STARLINK-2100 - Z-Coordinate,STARLINK-4048 - Z-Coordinate,STARLINK-4728 - Z-Coordinate,STARLINK-3259 - Z-Coordinate,STARLINK-2430 - Z-Coordinate,STARLINK-3903 - Z-Coordinate,STARLINK-2221 - Z-Coordinate,STARLINK-5485 - Z-Coordinate,STARLINK-1895 - Z-Coordinate,STARLINK-2704 - Z-Coordinate,STARLINK-1258 - Z-Coordinate,STARLINK-32356 - Z-Coordinate,STARLINK-31474 - Z-Coordinate,STARLINK-5398 - Z-Coordinate,STARLINK-11148 [DTC] - Z-Coordinate,STARLINK-1294 - Z-Coordinate,STARLINK-5346 - Z-Coordinate,STARLINK-4146 - Z-Coordinate,STARLINK-30851 - Z-Coordinate,STARLINK-31964 - Z-Coordinate,STARLINK-5730 - Z-Coordinate,STARLINK-6167 - Z-Coordinate,STARLINK-31124 - Z-Coordinate,STARLINK-30509 - Z-Coordinate,STARLINK-3803 - Z-Coordinate,STARLINK-31024 - Z-Coordinate,STARLINK-31253 - Z-Coordinate,STARLINK-1028 - Z-Coordinate,STARLINK-31089 - Z-Coordinate,STARLINK-31787 - Z-Coordinate,STARLINK-5256 - Z-Coordinate,STARLINK-2019 - Z-Coordinate,STARLINK-31390 - Z-Coordinate,STARLINK-3935 - Z-Coordinate,STARLINK-6051 - Z-Coordinate,STARLINK-30288 - Z-Coordinate,STARLINK-2106 - Z-Coordinate,STARLINK-2511 - Z-Coordinate,STARLINK-6103 - Z-Coordinate,STARLINK-31556 - Z-Coordinate,STARLINK-2630 - Z-Coordinate,STARLINK-3963 - Z-Coordinate,STARLINK-31697 - Z-Coordinate,STARLINK-4577 - Z-Coordinate,STARLINK-2127 - Z-Coordinate,STARLINK-1391 - Z-Coordinate,STARLINK-6380 - Z-Coordinate,STARLINK-4039 - Z-Coordinate,STARLINK-4426 - Z-Coordinate,STARLINK-5579 - Z-Coordinate,STARLINK-4116 - Z-Coordinate,STARLINK-6118 - Z-Coordinate,STARLINK-4368 - Z-Coordinate,STARLINK-3863 - Z-Coordinate,STARLINK-3336 - Z-Coordinate,STARLINK-31575 - Z-Coordinate,STARLINK-4100 - Z-Coordinate,STARLINK-5894 - Z-Coordinate,STARLINK-31555 - Z-Coordinate,STARLINK-3261 - Z-Coordinate,STARLINK-31825 - Z-Coordinate,STARLINK-5910 - Z-Coordinate,STARLINK-4705 - Z-Coordinate,STARLINK-1066 - Z-Coordinate,STARLINK-31826 - Z-Coordinate,STARLINK-4196 - Z-Coordinate,STARLINK-5458 - Z-Coordinate,STARLINK-3193 - Z-Coordinate,STARLINK-30268 - Z-Coordinate,STARLINK-30586 - Z-Coordinate,STARLINK-31665 - Z-Coordinate,STARLINK-31911 - Z-Coordinate,STARLINK-1485 - Z-Coordinate,STARLINK-5342 - Z-Coordinate,STARLINK-11164 [DTC] - Z-Coordinate,STARLINK-4329 - Z-Coordinate,STARLINK-4312 - Z-Coordinate,STARLINK-2556 - Z-Coordinate,STARLINK-3639 - Z-Coordinate,STARLINK-31700 - Z-Coordinate,STARLINK-30336 - Z-Coordinate,STARLINK-3004 - Z-Coordinate,STARLINK-5778 - Z-Coordinate,STARLINK-3392 - Z-Coordinate,STARLINK-30926 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5411.4560,-5453.7708,4769.5675,-3915.4388,3454.8191,6168.7886,3670.3304,280.5010,-4182.6410,-5013.0884,-3417.1064,-1650.9027,-2462.8815,-4224.2113,2318.1119,5805.9232,-3404.0824,4319.3147,-3996.8841,-6306.9031,-4438.5922,2445.2240,3459.8779,-1136.6545,-1905.4760,-5954.6991,-3800.4223,1597.6574,5580.5404,5848.4771,-5275.7643,-3715.8904,-4159.8755,-3744.7881,-5058.6283,-4587.5910,4729.5790,3774.1093,5061.2438,-1724.6255,4159.0447,-3270.0523,-6558.3586,-3413.5814,-3640.6687,-6551.9747,-2861.5148,607.5268,5659.1398,-5875.2776,-3766.9129,4189.5211,4685.2135,-5923.8804,5554.3181,3151.5519,4176.0700,-4793.3229,3262.7943,845.2472,5072.4042,-5155.7137,145.1779,906.9058,-4742.0445,-2585.2377,-5053.9814,2598.9178,4014.5735,-6799.5124,-450.7368,-5600.2779,4317.4439,3559.0258,3108.4763,-5485.7638,-921.9032,429.7160,5601.7509,5426.5157,-486.0422,-2391.8153,-6206.5870,-4945.9392,-2558.6064,-5516.5374,1184.1608,-5988.7159,-5879.7134,533.2911,5771.2405,3960.4249,1140.2557,6862.7838,-6435.9121,-5707.8884,-870.9577,3085.2044,2717.5449,-4752.0637,-229461.1330,-232219.1256,-222533.3569,-225082.8622,-220339.6553,-222005.1981,-229630.5359,-225757.7014,-231628395.2956,-231644692.6367,-231632158.4801,-231643710.2034,-226976.3608,-231644513.9881,-3354.8954,-3522.7983,-2833.7657,3317.7877,2398.6894,-1851.3197,2442.8971,4489.2103,2240.8101,4670.3325,-2713.7123,-3804.0072,-1358.3381,-1737.6199,-6230.9292,-2168.9610,5644.1807,-156.5696,3289.9397,1419.0489,1421.9512,-3466.5302,-5570.9535,4896.7459,-3924.9016,-71.2144,1597.7039,5925.7748,2826.2885,-2606.7013,691.4543,5278.1834,3954.1954,4679.6040,3681.4965,3212.9021,-2252.4431,4086.7761,3953.7471,5009.4750,123.9337,3565.6705,1619.7198,3938.1539,-3502.0042,1985.3183,4866.4608,-5533.6269,3149.4199,3415.6165,3408.2842,-5488.9055,-558.7101,-3368.5901,-2957.7730,-2682.1181,184.4850,2958.7190,2515.3171,4505.2147,-1178.8639,4130.5380,-4271.5508,-2264.1166,-2020.2571,-3763.6928,-805.5066,-2283.5011,1176.1824,1205.9147,-6579.3879,-1572.6775,3464.9700,5432.5512,-5631.7636,3568.6752,-5961.0022,6889.6579,3867.0626,-3554.6287,4474.4345,-3712.5307,-2981.8864,-3298.4510,5885.1718,-685.8377,5149.1417,-595.6867,3671.2561,4535.9665,3378.7269,1479.2402,-6471.1061,-180.1080,2133.2827,-2772.3159,-4504.5647,4333.7663,-5607.3074,-2124.9136,-252558.8765,-231435.3692,-238577.9558,-239837.4290,-232641.3411,-234788.6254,-231304.8263,-235077.1270,-11372030.0204,-11349201.6355,-11369380.8730,-11368059.8844,-234362.6924,-11377642.1284,2686.2470,-2430.5643,-4085.6371,-4471.5860,5469.1515,2484.7010,-5098.1519,-5231.5464,-5029.5857,951.9247,5350.6435,-5531.7191,6348.2667,5064.7360,-1986.6605,3043.6644,2044.2099,-5401.3614,4575.6294,-2491.5916,-5102.4542,5455.6170,2251.2808,-4452.5231,-5098.5857,-3497.4937,5331.8890,2971.5381,-2990.1005,2060.2766,-4242.3682,2511.0091,-3860.4294,3462.5892,-2680.3296,-4069.6442,4524.0824,-3908.6607,-2594.9466,-4454.6893,5531.3140,-4835.3021,-1369.4541,4538.4809,4568.6602,-970.1789,3604.4222,-3995.3001,2359.3918,1431.1287,4712.2903,-446.2341,4882.1924,-1284.8032,2605.0688,-5436.7120,-5510.0118,-3837.2890,5505.8812,5161.3290,-4562.3584,-2058.5178,5416.3368,6480.1904,4662.5483,5178.0340,-4672.2616,-6024.6316,5483.5933,-318.0514,1735.9085,3724.4396,4199.2151,2024.6835,-2541.2733,-1991.0933,3413.6197,-347.6318,1288.5558,-2216.6502,5201.4545,-5317.0905,-500.0957,3552.2571,2635.5848,-3970.3370,-4315.6593,3360.0888,-81.6883,-4956.0065,1854.7512,5483.5995,2086.2925,777.6620,24.3160,2789.5015,-5213.0522,4440.6059,-2825.1954,4568.6567,176496.2755,174608.4426,172765.1099,177774.8244,178246.7405,167823.5588,165768.8658,172119.2674,87250161.2373,87282725.1555,87277153.2582,87257366.3384,173234.5232,87261389.4413,
300.000,5016.0405,-6471.3103,2977.2654,-3331.5383,4245.6690,6087.4975,4043.9066,2253.6638,-3827.4918,-3754.4517,-4957.5590,-3584.5615,-2305.9215,-4076.5644,891.1120,5736.3524,-1872.0844,3564.4354,-3443.4628,-5111.1334,-4391.5293,410.7360,1689.9107,812.0344,-3342.6842,-4872.5215,-2469.8955,3299.1800,5579.5220,4508.1138,-5696.3666,-1913.9563,-2293.4651,-1806.0063,-3385.3615,-2818.5273,3977.7517,5369.0090,6220.6969,214.7219,4166.5533,-1204.2850,-5592.6252,-1461.4493,-5113.7120,-6113.9621,-1866.8055,-839.0151,5494.5561,-5634.4756,-2251.4392,2954.1769,5052.1988,-6625.9910,4970.2045,1456.9120,3858.1484,-4083.9622,4419.6624,2590.5278,5323.9305,-4260.6475,-1911.5288,923.9096,-3660.3630,-4454.1418,-4958.7331,4318.0070,4706.8207,-6172.1064,-2007.7163,-6542.0890,5566.6802,4939.1462,2127.6560,-4943.9929,-2532.8044,1600.5821,6290.3349,3970.3613,1572.1388,-3659.4582,-6302.2823,-6196.5942,-1157.6208,-4920.9232,2534.4935,-6624.6749,-4819.2487,2474.5135,5737.3839,5142.9588,-70.4896,6692.2254,-5721.7570,-5676.3742,-563.6114,4347.1017,1685.1171,-5690.8454,-224043.7558,-227437.8480,-217659.0644,-220180.5966,-215370.7650,-217018.3339,-224637.4960,-220508.0610,-231322002.2007,-231338830.5438,-231325736.9564,-231337869.6105,-222027.2104,-231338069.8776,-4654.9511,-2276.4709,-3602.1019,5004.9351,366.6423,-3173.4568,288.0384,4837.1030,4132.2179,5158.5732,-1358.6851,-2874.4594,842.1641,417.8812,-6861.9289,-3588.8443,5579.2383,-2194.1268,4987.0349,2501.5244,3372.7077,-4245.4519,-5757.0525,4169.6818,-2265.6490,1395.7720,3363.9973,5745.2784,927.7428,-3439.4303,2361.3261,5552.6338,4267.8954,5101.9402,4534.4013,4313.8468,-4158.9763,3033.7084,2806.2277,4470.4637,-2018.8492,4010.2367,2659.7008,4846.9073,-1988.7599,3111.6725,6098.9599,-6306.3381,1562.8324,4004.1857,4899.6960,-5858.0360,-2450.8561,-2025.2866,-4506.1069,-4062.2550,-1964.8165,4708.9993,683.2561,3246.7024,-2939.8421,5420.2708,-4605.2928,-10.5966,-525.4687,-3098.4450,1346.8128,-2850.4954,-828.9654,2312.7384,-6515.8976,-328.5808,3420.5523,4651.4259,-6528.9997,4721.0369,-4820.9561,6383.6310,2861.4149,-4155.2609,3808.3062,-1955.8396,-1692.4654,-2006.7851,6730.5625,1320.8393,3650.2140,748.2592,4765.5152,4863.0109,3892.0684,2575.6590,-6888.6534,-1377.6212,3174.0133,-905.3643,-5974.7957,2608.1105,-6533.1604,-287.4648,-257288.2386,-235943.1556,-243356.1923,-244492.4775,-237309.8055,-239438.0634,-236056.3245,-239726.9520,-16427789.2994,-16404623.6731,-16424469.3448,-16424072.8703,-239053.6924,-16433337.7587,978.6254,-992.7496,-5063.8776,-3190.0897,5425.9171,748.3166,-5384.8435,-4372.6230,-4010.0680,2665.8037,4611.3139,-5165.6123,6494.1382,5450.6481,-497.2582,1386.8819,3599.3697,-5508.1043,3322.0750,-3954.0386,-4134.1669,5437.2658,3471.0192,-5201.3369,-5359.6647,-4692.5003,5293.1707,1623.7300,-4011.3045,3613.9708,-2876.7121,3667.6803,-4937.5736,4312.6771,-3783.8853,-4624.1899,3847.4816,-2860.8874,-1181.2624,-5281.2165,5145.9270,-5409.2901,-3029.8653,4703.7752,4037.0863,846.9827,2052.2404,-2543.2043,3852.8025,-692.3142,4352.0744,-2204.6668,3819.7889,251.3494,1186.2925,-5297.2608,-5393.4641,-2755.0350,5224.2543,5512.3664,-3307.4872,-574.3784,4770.3764,6860.9952,5882.2881,4271.1331,-4649.7376,-4635.3434,4973.9627,-2090.6504,213.5146,2198.5100,2371.0796,526.7835,-812.0163,-203.7758,4284.5678,-2118.0935,-518.4631,-3738.7483,5506.9859,-5528.2666,-2259.4885,2357.2210,1229.4609,-4551.0751,-5176.6704,1759.0371,1447.4317,-3954.7926,-375.2264,3859.8044,315.5677,-1039.7176,-1783.8375,3870.4836,-3492.2898,4723.2687,-1125.2821,3938.6710,176483.8439,174642.6689,172870.5981,177634.4107,178367.2888,168038.6685,165635.6332,172525.3473,87247170.4952,87279715.9214,87274107.3251,87254147.3582,173240.5615,87258502.9675,
600.000,4129.0280,-6859.2638,890.5140,-2436.0056,4669.3814,5401.7745,4046.7665,3978.5452,-3136.4007,-2104.3446,-6027.2116,-5180.7787,-2000.6869,-3568.9363,-617.3975,5103.9389,-123.8809,2514.4492,-2584.1009,-3414.8708,-3951.5393,-1641.5658,-263.0937,2706.8193,-4467.2598,-3329.9787,-924.1167,4652.9104,5072.0589,2672.5847,-5544.2152,91.0747,-187.9147,316.9311,-1360.4728,-789.2478,2876.3972,6411.3126,6772.4381,2163.3892,3819.6505,982.4737,-4063.1134,616.8315,-6084.7008,-5062.5289,-691.8639,-2173.1798,4809.4091,-4814.9427,-552.1514,1406.9515,4925.5880,-6686.4391,3886.6604,-346.6745,3218.4525,-2983.7686,5177.6203,4118.8608,5077.7074,-2954.3076,-3757.0460,744.2940,-2261.4748,-5879.5619,-4428.2200,5598.5594,4977.8553,-4927.2515,-3357.8550,-6835.9839,6237.6093,5808.3895,943.7528,-3894.1895,-3934.1915,2635.9668,6359.2680,2096.2984,3496.0550,-4616.3722,-5780.7156,-6847.1472,343.3981,-3865.3426,3676.3717,-6601.3374,-3283.7422,4126.0840,5082.7723,5735.2871,-1270.4973,5852.8060,-4396.4848,-5125.5320,-146.5237,5227.7312,491.9001,-6104.3982,-218528.9372,-222560.9245,-212690.3683,-215184.3350,-210307.4585,-211939.9029,-219544.3880,-215276.4025,-230905278.5376,-230922653.0928,-230909013.3738,-230921687.2269,-216981.1849,-230921298.4523,-5483.6487,-818.6377,-4066.5054,6162.6859,-1678.2278,-4170.8407,-1891.7447,4745.1551,5604.3008,5157.9264,85.0268,-1714.9463,2964.0692,2541.2203,-6828.6107,-4638.1625,4984.7548,-4037.2391,6180.3516,3381.3693,4972.6213,-4659.6909,-5412.8644,3041.3880,-398.2501,2770.5557,4804.5260,4990.3121,-1080.3951,-3941.6045,3760.0241,5318.6330,4213.0512,5068.8734,4959.8719,5038.5317,-5662.5715,1696.6060,1396.7995,3540.6717,-3954.0807,4105.6862,3466.9923,5324.8343,-306.5615,3936.6724,6661.8220,-6445.5343,-211.3393,4192.6121,5940.7970,-5662.1764,-4061.1142,-483.2616,-5586.0143,-5069.4486,-3925.3796,5972.1224,-1181.0663,1711.3070,-4387.0351,6177.9290,-4529.2421,2240.4868,1078.8817,-2172.5772,3369.7767,-3051.2935,-2723.8065,3212.7556,-5788.4887,923.7639,3057.3211,3396.4158,-6773.6473,5385.1184,-3234.4614,5241.5365,1567.5519,-4372.7295,2816.1841,-38.7925,-211.6390,-542.8532,6925.5328,3217.2846,1799.9905,1997.9262,5409.2169,4706.9196,3978.1509,3436.7745,-6614.4650,-2449.3574,3898.9776,1070.5802,-6797.4898,652.2624,-6784.3572,1550.9739,-261900.1452,-240357.6323,-248027.1873,-249041.4574,-241873.4068,-243981.2647,-240702.0541,-244212.1566,-21475593.2197,-21452102.7549,-21471601.0490,-21472183.3816,-243640.2552,-21481076.0155,-834.7395,551.4347,-5491.7173,-1548.1548,4795.4251,-1069.1878,-5047.4556,-3039.7029,-2558.4997,4092.1596,3373.6766,-4243.5563,5951.2670,5225.8880,1045.2847,-420.0890,4763.9105,-5023.4888,1709.8719,-4993.2173,-2719.7765,4833.2789,4319.3482,-5340.7440,-4991.6060,-5380.8199,4638.8354,93.4187,-4603.9918,4744.4785,-1185.7522,4430.7560,-5484.1281,4699.4755,-4460.3241,-4682.8640,2757.7617,-1488.6445,359.2941,-5541.6792,4208.7919,-5382.7306,-4360.7437,4361.8709,3050.8722,2572.5958,257.1456,-809.2111,4926.7452,-2742.0903,3526.1745,-3725.9569,2323.3401,1760.5613,-366.3362,-4567.6705,-4697.3511,-1362.5459,4371.5733,5267.5616,-1697.3568,971.6506,3607.9278,6508.5023,6478.9787,2902.4152,-4129.9451,-2753.9641,3925.3205,-3637.7283,-1332.9055,434.8424,291.0793,-1030.7831,1004.8582,1606.2448,4696.9828,-3659.9667,-2269.9122,-4847.7175,5210.9759,-5144.4671,-3774.2111,909.2168,-307.9926,-4623.9633,-5458.2342,-33.4695,2821.3693,-2493.6849,-2565.2436,1822.3588,-1489.5228,-2744.7358,-3388.1008,4537.1493,-1399.8272,4500.6384,700.0310,2886.5833,176471.0656,174674.4035,172976.6654,177488.7448,178484.1312,168259.7221,165507.5865,172984.3337,87244184.8186,87276704.8326,87271055.5102,87250943.9552,173246.4745,87255616.4350,
