sl_100_86400_20261123 Coordinates.csv
2026/11/23 07:47:00.0000 UTC

Generated: Tue Oct  8 16:23:30 2024,
Start: 2026/11/23 07:47:00.00, Stop: 2026/11/24 07:47:00.00,
TIME_UNITS,STARLINK-5385 - X-Coordinate,STARLINK-1048 - X-Coordinate,STARLINK-30539 - X-Coordinate,STARLINK-32234 - X-Coordinate,STARLINK-3680 - X-Coordinate,STARLINK-3839 - X-Coordinate,STARLINK-5231 - X-Coordinate,STARLINK-3735 - X-Coordinate,STARLINK-5578 - X-Coordinate,STARLINK-1247 - X-Coordinate,STARLINK-6154 - X-Coordinate,STARLINK-6226 - X-Coordinate,STARLINK-31148 - X-Coordinate,STARLINK-3526 - X-Coordinate,STARLINK-31489 - X-Coordinate,STARLINK-1269 - X-Coordinate,STARLINK-11088 [DTC] - X-Coordinate,STARLINK-1300 - X-Coordinate,STARLINK-11208 [DTC] - X-Coordinate,STARLINK-31290 - X-Coordinate,STARLINK-2622 - X-Coordinate,STARLINK-32373 - X-Coordinate,STARLINK-3507 - X-Coordinate,STARLINK-2446 - X-Coordinate,STARLINK-1020 - X-Coordinate,STARLINK-30370 - X-Coordinate,STARLINK-5366 - X-Coordinate,STARLINK-4455 - X-Coordinate,STARLINK-6032 - X-Coordinate,STARLINK-4637 - X-Coordinate,STARLINK-31502 - X-Coordinate,STARLINK-32087 - X-Coordinate,STARLINK-5217 - X-Coordinate,STARLINK-5643 - X-Coordinate,STARLINK-31962 - X-Coordinate,STARLINK-6233 - X-Coordinate,STARLINK-3696 - X-Coordinate,STARLINK-1876 - X-Coordinate,STARLINK-31840 - X-Coordinate,STARLINK-30815 - X-Coordinate,STARLINK-3295 - X-Coordinate,STARLINK-5989 - X-Coordinate,STARLINK-5940 - X-Coordinate,STARLINK-1714 - X-Coordinate,STARLINK-31677 - X-Coordinate,STARLINK-30820 - X-Coordinate,STARLINK-30403 - X-Coordinate,STARLINK-2600 - X-Coordinate,STARLINK-30827 - X-Coordinate,STARLINK-1873 - X-Coordinate,STARLINK-2251 - X-Coordinate,STARLINK-30389 - X-Coordinate,STARLINK-5725 - X-Coordinate,STARLINK-30904 - X-Coordinate,STARLINK-31900 - X-Coordinate,STARLINK-2397 - X-Coordinate,STARLINK-4754 - X-Coordinate,STARLINK-1400 - X-Coordinate,STARLINK-30171 - X-Coordinate,STARLINK-30041 - X-Coordinate,STARLINK-5512 - X-Coordinate,STARLINK-2325 - X-Coordinate,STARLINK-4306 - X-Coordinate,STARLINK-3640 - X-Coordinate,STARLINK-11237 [DTC] - X-Coordinate,STARLINK-30885 - X-Coordinate,STARLINK-11234 [DTC] - X-Coordinate,STARLINK-30125 - X-Coordinate,STARLINK-1877 - X-Coordinate,STARLINK-2737 - X-Coordinate,STARLINK-31101 - X-Coordinate,STARLINK-31645 - X-Coordinate,STARLINK-31764 - X-Coordinate,STARLINK-3990 - X-Coordinate,STARLINK-2510 - X-Coordinate,STARLINK-6231 - X-Coordinate,STARLINK-3284 - X-Coordinate,STARLINK-5336 - X-Coordinate,STARLINK-30079 - X-Coordinate,STARLINK-30114 - X-Coordinate,STARLINK-2711 - X-Coordinate,STARLINK-31007 - X-Coordinate,STARLINK-31332 - X-Coordinate,STARLINK-5321 - X-Coordinate,STARLINK-31344 - X-Coordinate,STARLINK-31523 - X-Coordinate,STARLINK-11192 [DTC] - X-Coordinate,STARLINK-30786 - X-Coordinate,STARLINK-1186 - X-Coordinate,STARLINK-4187 - X-Coordinate,STARLINK-1374 - X-Coordinate,STARLINK-3812 - X-Coordinate,STARLINK-30866 - X-Coordinate,STARLINK-5882 - X-Coordinate,STARLINK-6287 - X-Coordinate,STARLINK-5403 - X-Coordinate,STARLINK-3975 - X-Coordinate,STARLINK-2305 - X-Coordinate,STARLINK-3136 - X-Coordinate,STARLINK-2307 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5385 - Y-Coordinate,STARLINK-1048 - Y-Coordinate,STARLINK-30539 - Y-Coordinate,STARLINK-32234 - Y-Coordinate,STARLINK-3680 - Y-Coordinate,STARLINK-3839 - Y-Coordinate,STARLINK-5231 - Y-Coordinate,STARLINK-3735 - Y-Coordinate,STARLINK-5578 - Y-Coordinate,STARLINK-1247 - Y-Coordinate,STARLINK-6154 - Y-Coordinate,STARLINK-6226 - Y-Coordinate,STARLINK-31148 - Y-Coordinate,STARLINK-3526 - Y-Coordinate,STARLINK-31489 - Y-Coordinate,STARLINK-1269 - Y-Coordinate,STARLINK-11088 [DTC] - Y-Coordinate,STARLINK-1300 - Y-Coordinate,STARLINK-11208 [DTC] - Y-Coordinate,STARLINK-31290 - Y-Coordinate,STARLINK-2622 - Y-Coordinate,STARLINK-32373 - Y-Coordinate,STARLINK-3507 - Y-Coordinate,STARLINK-2446 - Y-Coordinate,STARLINK-1020 - Y-Coordinate,STARLINK-30370 - Y-Coordinate,STARLINK-5366 - Y-Coordinate,STARLINK-4455 - Y-Coordinate,STARLINK-6032 - Y-Coordinate,STARLINK-4637 - Y-Coordinate,STARLINK-31502 - Y-Coordinate,STARLINK-32087 - Y-Coordinate,STARLINK-5217 - Y-Coordinate,STARLINK-5643 - Y-Coordinate,STARLINK-31962 - Y-Coordinate,STARLINK-6233 - Y-Coordinate,STARLINK-3696 - Y-Coordinate,STARLINK-1876 - Y-Coordinate,STARLINK-31840 - Y-Coordinate,STARLINK-30815 - Y-Coordinate,STARLINK-3295 - Y-Coordinate,STARLINK-5989 - Y-Coordinate,STARLINK-5940 - Y-Coordinate,STARLINK-1714 - Y-Coordinate,STARLINK-31677 - Y-Coordinate,STARLINK-30820 - Y-Coordinate,STARLINK-30403 - Y-Coordinate,STARLINK-2600 - Y-Coordinate,STARLINK-30827 - Y-Coordinate,STARLINK-1873 - Y-Coordinate,STARLINK-2251 - Y-Coordinate,STARLINK-30389 - Y-Coordinate,STARLINK-5725 - Y-Coordinate,STARLINK-30904 - Y-Coordinate,STARLINK-31900 - Y-Coordinate,STARLINK-2397 - Y-Coordinate,STARLINK-4754 - Y-Coordinate,STARLINK-1400 - Y-Coordinate,STARLINK-30171 - Y-Coordinate,STARLINK-30041 - Y-Coordinate,STARLINK-5512 - Y-Coordinate,STARLINK-2325 - Y-Coordinate,STARLINK-4306 - Y-Coordinate,STARLINK-3640 - Y-Coordinate,STARLINK-11237 [DTC] - Y-Coordinate,STARLINK-30885 - Y-Coordinate,STARLINK-11234 [DTC] - Y-Coordinate,STARLINK-30125 - Y-Coordinate,STARLINK-1877 - Y-Coordinate,STARLINK-2737 - Y-Coordinate,STARLINK-31101 - Y-Coordinate,STARLINK-31645 - Y-Coordinate,STARLINK-31764 - Y-Coordinate,STARLINK-3990 - Y-Coordinate,STARLINK-2510 - Y-Coordinate,STARLINK-6231 - Y-Coordinate,STARLINK-3284 - Y-Coordinate,STARLINK-5336 - Y-Coordinate,STARLINK-30079 - Y-Coordinate,STARLINK-30114 - Y-Coordinate,STARLINK-2711 - Y-Coordinate,STARLINK-31007 - Y-Coordinate,STARLINK-31332 - Y-Coordinate,STARLINK-5321 - Y-Coordinate,STARLINK-31344 - Y-Coordinate,STARLINK-31523 - Y-Coordinate,STARLINK-11192 [DTC] - Y-Coordinate,STARLINK-30786 - Y-Coordinate,STARLINK-1186 - Y-Coordinate,STARLINK-4187 - Y-Coordinate,STARLINK-1374 - Y-Coordinate,STARLINK-3812 - Y-Coordinate,STARLINK-30866 - Y-Coordinate,STARLINK-5882 - Y-Coordinate,STARLINK-6287 - Y-Coordinate,STARLINK-5403 - Y-Coordinate,STARLINK-3975 - Y-Coordinate,STARLINK-2305 - Y-Coordinate,STARLINK-3136 - Y-Coordinate,STARLINK-2307 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5385 - Z-Coordinate,STARLINK-1048 - Z-Coordinate,STARLINK-30539 - Z-Coordinate,STARLINK-32234 - Z-Coordinate,STARLINK-3680 - Z-Coordinate,STARLINK-3839 - Z-Coordinate,STARLINK-5231 - Z-Coordinate,STARLINK-3735 - Z-Coordinate,STARLINK-5578 - Z-Coordinate,STARLINK-1247 - Z-Coordinate,STARLINK-6154 - Z-Coordinate,STARLINK-6226 - Z-Coordinate,STARLINK-31148 - Z-Coordinate,STARLINK-3526 - Z-Coordinate,STARLINK-31489 - Z-Coordinate,STARLINK-1269 - Z-Coordinate,STARLINK-11088 [DTC] - Z-Coordinate,STARLINK-1300 - Z-Coordinate,STARLINK-11208 [DTC] - Z-Coordinate,STARLINK-31290 - Z-Coordinate,STARLINK-2622 - Z-Coordinate,STARLINK-32373 - Z-Coordinate,STARLINK-3507 - Z-Coordinate,STARLINK-2446 - Z-Coordinate,STARLINK-1020 - Z-Coordinate,STARLINK-30370 - Z-Coordinate,STARLINK-5366 - Z-Coordinate,STARLINK-4455 - Z-Coordinate,STARLINK-6032 - Z-Coordinate,STARLINK-4637 - Z-Coordinate,STARLINK-31502 - Z-Coordinate,STARLINK-32087 - Z-Coordinate,STARLINK-5217 - Z-Coordinate,STARLINK-5643 - Z-Coordinate,STARLINK-31962 - Z-Coordinate,STARLINK-6233 - Z-Coordinate,STARLINK-3696 - Z-Coordinate,STARLINK-1876 - Z-Coordinate,STARLINK-31840 - Z-Coordinate,STARLINK-30815 - Z-Coordinate,STARLINK-3295 - Z-Coordinate,STARLINK-5989 - Z-Coordinate,STARLINK-5940 - Z-Coordinate,STARLINK-1714 - Z-Coordinate,STARLINK-31677 - Z-Coordinate,STARLINK-30820 - Z-Coordinate,STARLINK-30403 - Z-Coordinate,STARLINK-2600 - Z-Coordinate,STARLINK-30827 - Z-Coordinate,STARLINK-1873 - Z-Coordinate,STARLINK-2251 - Z-Coordinate,STARLINK-30389 - Z-Coordinate,STARLINK-5725 - Z-Coordinate,STARLINK-30904 - Z-Coordinate,STARLINK-31900 - Z-Coordinate,STARLINK-2397 - Z-Coordinate,STARLINK-4754 - Z-Coordinate,STARLINK-1400 - Z-Coordinate,STARLINK-30171 - Z-Coordinate,STARLINK-30041 - Z-Coordinate,STARLINK-5512 - Z-Coordinate,STARLINK-2325 - Z-Coordinate,STARLINK-4306 - Z-Coordinate,STARLINK-3640 - Z-Coordinate,STARLINK-11237 [DTC] - Z-Coordinate,STARLINK-30885 - Z-Coordinate,STARLINK-11234 [DTC] - Z-Coordinate,STARLINK-30125 - Z-Coordinate,STARLINK-1877 - Z-Coordinate,STARLINK-2737 - Z-Coordinate,STARLINK-31101 - Z-Coordinate,STARLINK-31645 - Z-Coordinate,STARLINK-31764 - Z-Coordinate,STARLINK-3990 - Z-Coordinate,STARLINK-2510 - Z-Coordinate,STARLINK-6231 - Z-Coordinate,STARLINK-3284 - Z-Coordinate,STARLINK-5336 - Z-Coordinate,STARLINK-30079 - Z-Coordinate,STARLINK-30114 - Z-Coordinate,STARLINK-2711 - Z-Coordinate,STARLINK-31007 - Z-Coordinate,STARLINK-31332 - Z-Coordinate,STARLINK-5321 - Z-Coordinate,STARLINK-31344 - Z-Coordinate,STARLINK-31523 - Z-Coordinate,STARLINK-11192 [DTC] - Z-Coordinate,STARLINK-30786 - Z-Coordinate,STARLINK-1186 - Z-Coordinate,STARLINK-4187 - Z-Coordinate,STARLINK-1374 - Z-Coordinate,STARLINK-3812 - Z-Coordinate,STARLINK-30866 - Z-Coordinate,STARLINK-5882 - Z-Coordinate,STARLINK-6287 - Z-Coordinate,STARLINK-5403 - Z-Coordinate,STARLINK-3975 - Z-Coordinate,STARLINK-2305 - Z-Coordinate,STARLINK-3136 - Z-Coordinate,STARLINK-2307 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5994.6694,3966.9829,-893.0990,827.4590,-5200.0725,-6160.2877,-3838.7246,6763.3690,-5957.4972,-2713.9193,-1572.4905,539.3675,2663.8363,-3579.8177,-1517.1055,-5627.6306,-3607.2548,-2537.0380,0.0000,6548.2605,-2426.8493,-513.6048,-3439.0741,4782.5279,-3293.3688,3268.4658,6442.9081,-915.3928,4896.1424,6402.5968,5346.3619,-2280.8309,2005.2465,3902.7080,-5723.3410,-168.7047,-5547.9749,-6865.6348,-1035.0415,1226.9128,3843.4522,636.9898,4971.3522,3545.5909,-3071.0122,-4645.1214,-4811.4514,264.8042,3614.7236,1192.1912,-4714.1884,-5571.6351,-6610.2680,-2555.9800,310.8242,5478.8853,2505.3248,-1207.9782,6053.2108,-3171.2271,-2449.3696,5706.9236,1844.5037,-5023.2554,-800.0345,-6759.0937,-726.7748,-3872.8745,-2946.5855,2863.5666,244.9059,-4358.8953,-5142.6942,-6895.7558,6509.8411,4417.9103,-6522.8113,-5291.1922,-3362.6486,-4020.3462,-3093.5666,3307.8440,1710.2305,-2650.5852,-3449.9652,-2915.3785,-3729.3664,0.0000,1471.2993,-1928.6873,-1232.8730,-556.2795,-4650.5746,5875.1540,134.4108,5517.0286,-3045.9699,2371.4443,-3519.3506,3815.1741,261782.9708,248785.4122,268293.6924,267639.6198,265051.2562,265606.2830,258169.9965,262885.6234,-160733746.5533,-160746690.9774,-160715518.5527,-160720245.2516,262178.3930,-160715613.1670,-2770.6147,3751.7499,6766.5400,-4767.5545,-2990.7785,-3045.4854,5473.2584,65.0726,1765.5253,-5593.0198,-6479.3378,-6704.1762,-6392.7728,5813.6630,4759.7573,-2526.2915,2595.9497,-4704.1847,0.0000,-734.0124,6435.7787,4091.4741,4861.9300,4481.6370,2599.2659,-4342.3515,-2038.7557,-498.6895,-2612.8331,-1175.0459,4235.7420,4446.9090,4762.6611,26.1956,989.5862,5727.1289,-2274.6166,-437.4970,4258.2314,6258.5067,-3028.6591,2984.2959,1058.1212,3940.2300,-4388.0761,3606.8444,2927.0880,6639.4985,4926.5286,6353.9837,-2895.7998,-372.9522,-416.4449,4811.2604,6050.1057,477.7691,3306.7394,5053.8776,2411.0728,4352.5729,-4690.4929,3494.7362,2208.5671,-681.0192,5775.4293,1346.5811,5323.0680,3352.8523,4633.6827,4892.4349,-6695.1591,-1127.8319,-1427.1751,79.2888,2166.6153,-366.1087,-462.3004,88.5952,-6028.0071,-5458.6719,-4399.1474,-3333.3701,-6351.5773,-3768.1093,4299.7984,-3013.4585,4836.2768,0.0000,-3894.1129,4492.6457,4684.1527,6045.8702,-5138.0366,914.0862,5133.8378,-1753.4648,-3102.4488,3681.5231,-5922.1022,5204.5227,-228882.4474,-205268.6438,-219302.1847,-221766.9705,-213535.6868,-216101.9856,-219907.5758,-218837.2662,-82729000.1907,-82697916.0620,-82743885.5546,-82720315.9373,-219773.2401,-82731396.7355,-2157.9951,-4257.8566,1176.4656,-4870.4363,-3464.1679,-716.5561,-1758.3974,1406.9741,-3083.7900,-3031.3955,1880.1240,-1675.1049,266.2677,-1105.9531,4653.7262,-3124.5991,4983.8543,4386.4524,0.0000,-1012.3949,-377.7299,5373.9540,3466.8149,-2025.5474,5492.5331,-4287.6510,1521.7113,-6858.8499,4138.1467,-2321.4962,31.9600,-4656.2594,4588.4833,-5741.1179,-3568.6771,-3875.6952,-3466.4677,35.3801,4998.0348,-2474.9474,-4876.1787,-6251.8933,-4721.0861,-4176.9501,4183.5114,3663.1600,-4042.7080,1921.9000,3234.2322,1770.0843,4097.5815,-4117.8282,2018.5683,-4268.6244,3122.7957,-4092.9674,5527.3546,-4551.1112,-2355.3220,4360.5374,4477.2678,1612.4644,-6326.1979,-4696.6488,3332.3853,702.5837,4014.4778,-4669.9808,4176.9794,-3812.9710,-1787.8905,5134.4842,4235.1081,-500.4948,308.0420,-5354.5825,2228.8797,-4490.1603,-540.3385,-1473.9564,4238.2459,-4972.4037,1775.8992,5213.8631,4097.1160,5425.3524,2459.5533,0.0000,-5528.6052,-4867.8017,-4954.4712,3287.0962,21.6322,3610.7429,4620.4459,-3824.5535,-5384.7578,-5052.0791,-603.2418,2430.2038,129967.1150,126841.0899,127058.1663,131777.7871,132477.1201,122115.6537,119843.6829,128780.6721,44499526.4068,44474445.3134,44480251.4443,44492087.5322,127390.2776,44490425.9979,
3600.000,6747.2959,-4180.0784,-1346.2617,1860.6997,4117.2256,5215.2887,2284.6800,-4498.8865,2976.7794,3787.1287,3617.4687,2200.0558,-178.0940,1789.8335,-2661.8143,4118.1497,2117.6589,4182.2347,0.0000,-3394.1391,324.5974,-4313.8463,-578.8035,-4396.0957,1223.4265,798.2197,-3801.4753,-866.4033,-3947.5762,-3404.3312,-5669.1384,-1858.9479,-4198.0535,-325.3105,5433.5979,-3489.1019,3974.6212,5298.3452,-2650.9663,-3187.9272,-3138.1466,-3835.0745,-5585.2547,-6144.2260,5398.8108,906.1951,3719.7171,-2282.7704,-5854.2923,-3120.3745,6707.7279,6313.6139,6473.6142,-1617.1597,-3786.4245,-2748.1701,-5806.1921,-904.5943,-6792.7917,855.5530,5238.5465,-6017.4492,2353.4321,2965.5033,-1497.8847,5382.6051,-3613.9141,1488.2080,-1299.8215,-5178.4573,2437.9844,6300.3512,6430.3526,5612.2961,-5320.8536,-6695.5427,4083.4947,3878.4571,4637.5557,5430.0239,5648.9322,1348.4973,958.6282,2426.1167,1216.1605,6165.5805,-1499.7516,0.0000,2332.4542,-133.7997,-2949.9332,-1146.6668,5428.5635,-2555.5443,-4114.8289,-2544.3343,6212.5848,-5156.6086,4275.8923,-5100.0161,312070.7743,292149.0191,314129.0863,312552.2684,310835.4214,311071.4204,305002.7189,307938.7653,-133759002.2058,-133777382.3704,-133733523.8937,-133748001.7365,308113.7302,-133739823.7288,698.6605,468.1899,-6329.5136,6487.5032,-771.3723,569.1394,-5968.8297,1943.6181,-4112.6226,1959.1608,5629.6149,4932.3741,6145.0454,-5869.1623,-5609.6009,-1001.4095,-6265.7187,762.1462,0.0000,3760.1084,-5716.8260,-3639.3169,-4104.2955,-896.8749,-5913.8316,5291.1552,3906.1686,5242.7447,5557.6674,2924.0512,-1142.5157,-5851.1542,-1011.5471,3021.8142,-4108.6781,-3783.7846,-1317.3772,-1464.2788,-6032.1213,-2840.5582,5989.5025,373.1056,2707.6962,-2752.4023,235.5612,-5024.1924,-5751.9182,-4104.2807,-3677.5938,-4938.9439,1569.1900,-2602.0212,-1811.1025,-5087.9218,-3268.9712,3159.1312,-1031.5974,-6798.9805,-234.9938,-6658.0621,1714.9345,-1776.0881,1323.0167,-3218.3477,-6334.6298,-3287.1045,-2286.4324,-6195.4451,-3993.5888,-4406.0274,4783.0515,-1922.2857,-1959.0203,-1671.8160,213.8469,1459.2005,-1957.5746,-3917.6040,3502.5040,3715.4578,3876.7999,4547.2967,6357.0339,-672.9335,-6691.6038,662.9785,-3661.6349,0.0000,5338.8158,-6761.2468,-3472.3956,-6737.5037,2670.9186,1001.4390,-4022.7915,4453.9540,1292.7629,1017.0344,4075.0187,-4193.6685,-157564.6626,-136273.5385,-148163.9549,-149492.7610,-140775.2363,-143319.2043,-147196.2373,-148080.7401,-121530252.6465,-121508386.1704,-121545396.6886,-121527263.1983,-147267.3192,-121532362.2030,-1490.6080,5487.1452,2466.2880,1237.1503,5504.4617,4486.4874,-2636.7096,-4875.3487,4713.4661,5432.3326,1796.0305,4332.6867,3192.8300,-3195.4667,-2866.6427,5451.0592,-981.8520,-5464.1071,0.0000,4322.8816,-3835.6216,-3773.5505,-5513.8365,5177.0687,-3379.4192,4376.6956,-4282.8273,4448.3187,-1249.5894,5244.8078,3606.0265,2972.5277,-5406.7685,6223.6443,-146.2896,4606.8707,5504.2342,-4142.2895,-939.0082,5330.0810,1393.3464,5773.6822,3078.2290,-429.0694,-4138.2767,-4697.0011,1033.0721,-5086.5485,254.0923,3280.9826,-40.5936,1193.1564,1665.0820,4388.9733,-4643.2742,5415.1237,-3621.3318,792.5804,-1336.5328,-1755.2854,-4220.5890,2826.7223,6391.3485,5335.5759,1666.2903,2861.4671,-5178.5536,2709.2528,-5484.4834,-644.0026,4376.5674,-1833.8682,-1157.1687,-3680.2922,-4344.0578,1115.0645,-5224.5926,4199.5433,3753.4782,-2199.8458,-114.7276,4911.6853,2253.5088,-6500.9486,-1010.3222,-2952.4576,-5270.8265,0.0000,3721.4643,1345.2772,5207.3261,994.9228,3371.2623,-6402.2463,-3840.3857,4657.1606,2747.9920,4116.7439,-3600.0882,1987.3054,131553.2360,127768.0761,129370.2766,130746.7824,134697.1098,126202.6856,119669.1289,126940.5589,44468333.7770,44443516.5172,44457264.5181,44458340.1137,128509.6881,44461616.9055,
7200.000,-5137.0259,4232.7597,3717.9140,-3229.1937,-2830.3968,-2911.8808,908.3036,829.0341,500.2095,-4812.6078,-4749.1601,-5030.5539,-3067.2154,1529.2988,5125.7632,-2247.5916,578.1063,-5481.6677,0.0000,-1663.6478,2909.8472,6338.7742,4729.1720,3371.8960,407.0194,-4153.4319,-69.8250,3610.5688,1755.4868,-569.2620,4010.6820,4520.5045,5883.4223,-1799.0206,-2395.6094,6306.4894,-2170.1832,-1601.8757,4040.2947,5092.7353,1425.9001,6365.3141,4771.0087,4873.9941,-5862.1853,2778.7528,-1470.3541,4676.2692,5839.3095,4061.7985,-5541.2267,-4849.6644,-3836.9502,4941.7362,6278.3491,34.9399,6863.6950,2343.4106,4989.9832,1363.6248,-6707.5009,3991.0118,-3228.8983,-1086.0728,3393.1673,-1906.2914,6466.0351,765.2884,5172.7358,4835.7760,-5150.5585,-5178.2187,-4661.6641,-2044.1216,2295.5162,5677.5817,-699.0300,-2088.2630,-5093.1639,-5240.7326,-5307.1471,-4661.4399,-3792.0430,-3217.6041,1305.0329,-6583.4188,6095.1159,0.0000,-4394.3959,1701.0814,6113.5027,2655.7669,-4924.5927,-708.2881,6490.3038,-564.2432,-6729.0077,5324.4167,-4147.0258,4527.3535,342978.2359,316967.4508,339899.5844,336430.4393,336948.9655,336144.5026,332082.5536,334365.3240,-97657613.5998,-97678705.0521,-97626510.1051,-97641753.9984,334490.4026,-97637602.9928,1959.3196,-4343.9669,3592.6670,-5114.4315,4744.4773,3135.3509,4276.4656,-4418.9009,5963.8970,2229.7101,-2488.7975,-1930.3502,-4042.9636,3926.9120,4400.8848,4872.2303,5344.5586,2823.4185,0.0000,-5490.6255,2948.4006,2234.8702,3083.9676,-3659.3949,6854.0613,-5251.3287,-5338.6861,-5888.7222,-6250.8978,-4878.1455,-3135.5202,5031.0191,-2274.9806,-5980.0712,5167.4640,1431.3139,5087.2157,3871.4012,3368.4993,-1448.0150,-6070.5250,-1976.2664,-5013.4406,-304.4308,3341.8450,5662.3377,6253.5033,423.0045,902.3801,-35.1396,508.4892,4313.6608,3797.5538,4504.3351,-211.1509,-6198.1274,-666.2927,5497.4971,-2340.2702,6522.4379,1056.1718,-1516.9992,-5501.8746,6308.4436,2600.3792,4731.2684,-794.2005,6826.7367,3193.4216,1414.3447,-1692.4464,3455.9990,4110.1564,3601.2285,-3590.0013,-1414.2739,4811.4330,6467.7820,546.4138,-272.3175,-1381.5524,-4832.1554,-3326.5575,4613.1034,6151.0363,1139.5801,1189.2210,0.0000,-5326.9924,5952.5969,2320.7348,4350.8655,1225.2151,-4163.5484,2298.4582,-6368.6321,239.4328,-3971.2520,-57.2037,853.3284,-75130.2429,-58708.6066,-68031.3517,-68120.1805,-59191.6555,-63490.6877,-65053.1568,-65070.5621,-152004656.0694,-151992627.4793,-152015408.1633,-152008814.0324,-65762.4826,-152005982.4038,4232.8958,-3337.1493,-4617.3176,3230.4705,-4178.0951,-5427.7640,5344.1825,5238.5241,-3509.7847,-4438.0896,-4396.5580,-4364.3478,-4726.8598,5474.6824,-1045.2951,-4361.2855,-3978.8611,3134.0703,0.0000,-3399.0275,5494.7432,-917.7906,3950.0487,-4723.0724,-859.6161,-1753.6497,4405.2785,595.2872,-2424.8248,-4864.2676,-4545.4902,909.3484,2828.7231,-3032.8221,3729.2863,-2453.5606,-4168.2832,5448.5262,-4081.4633,-4332.2365,2958.7514,-1989.2556,413.4085,4643.2278,852.2811,2868.5702,2588.1643,5074.1878,-3604.2502,-5338.4356,-4068.3020,2433.0422,-4346.1716,-1781.5766,2646.0146,-2925.6480,-562.6688,3449.2954,4184.4439,-1930.0046,1411.9780,-5404.7403,-2752.9060,-2601.1113,-5190.2507,-4695.7038,1605.9091,893.8444,3266.4518,4600.5681,-4327.4975,-2831.9148,-2816.1379,5528.0042,5377.7446,3734.0062,4903.3907,-1397.2706,-4663.6511,4524.9893,-4114.7394,-1283.0986,-4591.0213,4096.6026,-2785.6654,-1589.8319,2187.5901,0.0000,386.7892,3030.2893,-2284.5312,-4666.2994,-4725.0418,5520.6620,626.8313,-2694.8331,1581.0753,719.2000,5524.1256,-5138.4466,132994.1891,128687.8348,131438.0418,128934.8296,136423.6565,130989.6321,120167.0068,131282.4867,44436721.7592,44412693.7100,44434955.0198,44426599.4304,129615.3890,44432823.4241,
