sl_20_86400_20260828 Coordinates.csv
2026/08/28 07:47:00.0000 UTC

Generated: Tue Oct  8 17:00:24 2024,
Start: 2026/08/28 07:47:00.00, Stop: 2026/08/29 07:47:00.00,
TIME_UNITS,STARLINK-4397 - X-Coordinate,STARLINK-3356 - X-Coordinate,STARLINK-6283 - X-Coordinate,STARLINK-4334 - X-Coordinate,STARLINK-11246 [DTC] - X-Coordinate,STARLINK-4709 - X-Coordinate,STARLINK-3457 - X-Coordinate,STARLINK-3501 - X-Coordinate,STARLINK-3653 - X-Coordinate,STARLINK-1019 - X-Coordinate,STARLINK-31033 - X-Coordinate,STARLINK-4707 - X-Coordinate,STARLINK-4720 - X-Coordinate,STARLINK-4750 - X-Coordinate,STARLINK-32270 - X-Coordinate,STARLINK-1610 - X-Coordinate,STARLINK-30320 - X-Coordinate,STARLINK-11111 [DTC] - X-Coordinate,STARLINK-3109 - X-Coordinate,STARLINK-3887 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4397 - Y-Coordinate,STARLINK-3356 - Y-Coordinate,STARLINK-6283 - Y-Coordinate,STARLINK-4334 - Y-Coordinate,STARLINK-11246 [DTC] - Y-Coordinate,STARLINK-4709 - Y-Coordinate,STARLINK-3457 - Y-Coordinate,STARLINK-3501 - Y-Coordinate,STARLINK-3653 - Y-Coordinate,STARLINK-1019 - Y-Coordinate,STARLINK-31033 - Y-Coordinate,STARLINK-4707 - Y-Coordinate,STARLINK-4720 - Y-Coordinate,STARLINK-4750 - Y-Coordinate,STARLINK-32270 - Y-Coordinate,STARLINK-1610 - Y-Coordinate,STARLINK-30320 - Y-Coordinate,STARLINK-11111 [DTC] - Y-Coordinate,STARLINK-3109 - Y-Coordinate,STARLINK-3887 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4397 - Z-Coordinate,STARLINK-3356 - Z-Coordinate,STARLINK-6283 - Z-Coordinate,STARLINK-4334 - Z-Coordinate,STARLINK-11246 [DTC] - Z-Coordinate,STARLINK-4709 - Z-Coordinate,STARLINK-3457 - Z-Coordinate,STARLINK-3501 - Z-Coordinate,STARLINK-3653 - Z-Coordinate,STARLINK-1019 - Z-Coordinate,STARLINK-31033 - Z-Coordinate,STARLINK-4707 - Z-Coordinate,STARLINK-4720 - Z-Coordinate,STARLINK-4750 - Z-Coordinate,STARLINK-32270 - Z-Coordinate,STARLINK-1610 - Z-Coordinate,STARLINK-30320 - Z-Coordinate,STARLINK-11111 [DTC] - Z-Coordinate,STARLINK-3109 - Z-Coordinate,STARLINK-3887 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
32400.000,-567.6286,-2428.9244,-1299.6103,-1937.8872,-4523.5417,1938.3382,5139.6589,6062.3413,-1441.6156,4144.7383,2365.3978,-4557.9319,-6009.6623,6857.9647,-693.3427,4574.5628,3822.3539,-5341.6515,4463.4607,-5201.4591,174822.2395,139807.7092,151545.3068,158127.9323,154150.8575,154396.4681,156534.0470,156435.6228,151946257.9299,151884325.1605,151903645.4510,151926918.1433,156580.6618,151927650.7896,-1297.2982,-3819.8312,6581.5447,3319.8930,-4910.2230,4088.3979,1389.5193,-3220.5207,-6283.6922,431.0774,4074.3714,-4734.4516,-3269.0966,-795.6445,-4989.0239,-1456.9332,-5507.9593,-1027.4018,244.3363,-3407.1000,354141.4829,355395.9256,355767.4553,359685.1180,352443.0214,354400.2281,350624.2951,351428.1586,-206496729.0519,-206508545.9823,-206494599.7890,-206496122.5943,353056.9850,-206503558.1356,6782.7661,-5209.6473,-1750.6446,-5790.0773,-847.4392,5221.0456,4400.6600,-830.3356,-2478.9499,-5533.9282,5064.8480,-2150.7029,-993.7330,387.5095,-4615.0460,-4940.6231,1270.4026,3956.7095,-5323.0761,-3006.0831,-38947.6435,-43386.9602,-44391.4378,-35104.7516,-43622.7224,-51603.0594,-40557.9699,-42821.4691,111143065.8901,111156838.1330,111142790.3221,111157703.4258,-42149.2005,111148017.5077,
36000.000,-2477.3814,5810.7721,-936.1919,-37.7754,4970.9799,-5331.2335,-6869.4970,-3457.5836,3117.8371,-4589.2025,-5529.3351,5533.8694,5908.4550,-5366.8875,3623.0609,-1156.0461,-519.4342,6537.7894,-806.9137,4228.3603,79529.7788,46953.5681,58789.8314,64179.3434,57884.9689,60383.9773,62608.4335,62436.4608,200229256.2215,200168604.1557,200186048.9800,200202421.3211,62802.9017,200210557.0304,5082.7224,3029.0534,-6590.4212,1693.5144,2232.9343,-3773.9998,495.4056,3886.0911,3121.9445,3589.0106,-3705.2929,3482.1203,1424.9540,2228.1704,5752.7236,4470.9645,4683.8571,-1393.0190,2476.6315,-299.1128,387550.9115,380055.9191,385197.0525,387521.2990,382522.5431,383390.5691,376387.0926,382575.6559,-160078151.6154,-160102360.6753,-160085102.3444,-160080183.8208,381111.5558,-160086146.7348,-4021.0527,2146.9255,-1943.5735,6729.3892,-3953.0215,-2277.9128,-596.2734,4541.4927,5299.5830,3730.1776,-1912.6392,-2256.7139,-3301.2857,3735.9739,609.7588,5097.0133,-4942.2112,794.0142,6432.8588,5437.7149,-37498.0700,-41833.9591,-42674.6065,-33668.6858,-39443.8927,-49283.5499,-42653.1022,-39426.6841,111125579.1442,111133990.6912,111118781.8930,111136235.4601,-40453.5568,111127528.2182,
39600.000,5067.2839,-6329.4203,3286.6649,4021.6772,-3273.4201,6129.7508,5547.0409,-881.1258,-4929.6563,4084.5252,6083.2598,-4519.3555,-3760.7712,1604.1446,-4409.1492,-1607.2785,-3903.1127,-3389.6334,-1701.7101,-2909.8133,-21452.7239,-49165.2848,-37856.6006,-33686.7498,-40967.7690,-38091.2155,-34752.4994,-34320.0685,234837041.9449,234781376.5304,234796922.5738,234806518.6738,-35023.4866,234818787.5041,-4596.3578,-1502.6781,4179.6467,-4226.4426,2657.9319,2410.9312,-2006.3315,-4208.6358,925.2953,-5577.0941,2236.1432,-218.4247,1839.6677,-3822.4841,-3535.3439,-6424.5909,-2675.5623,3191.7342,-5554.0125,4454.0301,395609.0256,380882.5312,389892.4184,390768.7013,386827.4346,387639.3870,379909.1029,383575.5509,-102743468.5735,-102779467.7340,-102758820.1275,-102752210.1371,384683.9908,-102752566.0610,-1168.8781,2282.2843,4438.8507,-3783.3265,5234.5923,-2119.1866,-3613.3265,-5418.1439,-4749.1567,349.0626,-2445.3375,5216.5976,5490.1911,-5539.3153,3821.1254,-1888.8702,4907.2758,-4866.6297,-3816.2275,-4403.4165,-36076.3126,-40255.5585,-40359.0027,-32745.5841,-35482.6835,-46289.0183,-44023.1365,-39929.4896,111108193.5044,111111079.7301,111095023.4915,111112690.2551,-38754.3765,111107013.8086,
43200.000,-3850.0016,4259.9105,-5435.3083,-6175.8459,1168.7133,-4559.9128,-1881.6253,4615.4775,5687.5815,-1687.4880,-4409.2444,2915.5251,1283.3827,2266.9465,3995.2858,3101.1817,6668.7047,-1739.4242,2229.4780,1589.1128,-121434.4019,-142511.9106,-132169.7686,-129146.5220,-137078.3288,-134459.4749,-130109.5338,-131514.8365,253410564.3658,253363232.5290,253376570.5064,253382011.0385,-130610.2252,253393189.9497,1231.1555,-1363.6968,-681.0605,2858.2880,-6348.0100,531.5456,3692.1119,4272.7675,-3745.1743,5208.9686,784.0031,-3888.5909,-5304.8429,5273.9759,-1052.7334,5572.3742,771.1211,-4551.4749,6496.7026,-6697.8796,377566.3241,357862.9639,369456.1094,369131.4672,365781.9460,366684.8509,359497.8057,364209.9422,-38408289.6178,-38454287.3204,-38429833.6274,-38424287.2015,363541.2677,-38418168.8816,5628.4629,-5256.5636,-4253.0844,-1396.3793,-1907.8755,5162.1769,5522.9838,2860.6766,1132.4423,-4243.1376,5270.6413,-4922.0297,-4247.6323,3845.5755,-5440.6997,-2602.5103,-1239.5364,4635.6053,-1056.5451,517.6435,-34682.2595,-38643.4557,-37609.9746,-32412.8949,-32085.3409,-42548.4825,-44462.7808,-35609.1731,111090706.3606,111088120.7384,111071632.3465,111087857.5958,-37051.8078,111086474.2949,
46800.000,-1003.2784,-1331.1776,6342.2922,3925.2936,1066.5883,2197.6461,-1963.6526,-5919.1675,-4081.7063,-2194.2292,2083.2941,-1456.7664,588.3865,-4401.7574,-3173.8372,-3891.9668,-5814.9595,5072.6942,-1964.8074,277.8197,-213703.8098,-227245.8548,-218017.2415,-216020.6770,-224518.1181,-221998.0610,-217547.8775,-216969.4992,254685702.5382,254649304.8587,254659620.1680,254664203.0318,-217812.2729,254669428.0552,1177.2016,4761.5048,-2378.9403,-6.7092,5863.7298,-4246.7083,-5301.0286,-3247.2649,4561.4868,-3582.3477,-4458.2108,6586.5365,6881.4440,-5325.3946,5240.7177,-1914.9847,1173.9593,4413.5100,-4053.2577,5831.6449,334426.6306,312506.3828,325145.8712,323724.6835,321095.1652,321744.7112,315894.9019,318838.5369,28534872.1347,28481653.0069,28510462.8341,28515276.5644,319040.1219,28524704.7036,-6765.4382,4800.2628,1469.1928,5727.0898,-3129.9151,-5002.1657,-3984.8523,1470.6382,3182.5913,5491.5989,-4876.1450,1510.0261,304.7320,236.1955,3001.3421,5336.8852,-3380.3529,-344.4975,5282.0250,3672.5605,-33316.0255,-36984.1128,-34708.1197,-32807.0817,-29208.1003,-37947.0401,-44115.4384,-36877.6498,111072920.0507,111065127.7354,111048735.0412,111062691.2130,-35345.9996,111065909.6927,
50400.000,5754.0565,-918.3354,-5058.4520,1413.4716,-3640.2497,-229.7167,4205.2623,4862.8181,179.7025,5719.5087,-188.2242,-166.4903,-2075.6234,4649.0518,1624.1742,4510.6936,2065.2972,-5002.2455,2546.8713,-3060.8954,-291983.0279,-298089.6600,-289796.3485,-288843.7614,-297766.6879,-293725.4794,-291429.3032,-291682.2254,238579271.0525,238555381.9597,238561245.2956,238566310.8262,-291023.3736,238564043.6466,-370.4361,-6720.7369,4199.0306,-822.2784,-1739.3014,6701.0940,5487.8876,390.0070,-4198.5079,1961.7978,6765.2549,-6303.5068,-5380.2921,2936.8953,-6423.2414,-2535.4038,-3529.5425,-1444.1835,-460.9694,-2786.5818,268910.2980,247763.0302,259824.2109,256506.1359,255816.9645,255627.0631,251586.4887,253865.9081,93516526.1333,93459521.4868,93493056.7809,93500618.7906,254039.9221,93506607.9128,3853.1927,-1254.9254,2189.7870,-6757.0971,5375.9158,1691.4837,-86.8619,-4904.3518,-5483.1056,-3376.6724,1458.2849,2823.4590,3801.1446,-4198.6469,1641.0308,-4547.2695,5453.3742,-4271.8332,-6451.0621,-5529.5527,-31977.8715,-35252.8067,-31974.1250,-34027.9088,-26811.6202,-32557.6301,-43072.8443,-31939.4113,111054654.6622,111042113.6336,111026472.6405,111038915.4867,-33637.1013,111045320.0180,
54000.000,-6475.0519,2394.5914,1663.4494,-5627.8240,5475.7856,-1302.7923,-4558.6129,-2816.0506,4099.9180,-6855.3988,-1324.7175,2558.8860,3804.9332,-3983.7381,1316.9438,-4306.7008,1931.0627,2834.4520,-3997.2547,5729.0155,-350859.8688,-350640.7790,-342846.6278,-344913.1778,-352171.7647,-343102.9945,-346871.0827,-345291.5903,206194396.8050,206183428.0917,206182843.9565,206184241.6161,-345536.9524,206179904.9406,-2100.0980,5663.3638,-4976.9568,-1347.9205,-2642.3649,-6249.7025,-3213.1240,3526.9674,3565.1150,-474.0202,-6174.1187,3474.0799,1640.8993,1252.9770,4359.8977,5323.8697,5544.1356,-3333.1025,4185.9041,-438.8453,185301.9233,167888.4195,177764.8244,170290.5353,174237.8067,172682.4287,170528.5987,173124.8915,152102121.3966,152045030.0724,152083102.7198,152096405.6873,172718.7490,152092892.8157,1322.3661,-3133.4568,-4534.9388,3834.3793,-2888.9874,2649.2158,4074.1579,5225.6876,4250.8519,-852.0961,2830.3281,-5407.6880,-5538.6954,5500.2937,-5091.4365,711.7055,-3487.3425,5106.5564,3837.1729,3817.3946,-30668.0195,-33395.6450,-29682.8641,-33398.2126,-24881.0154,-30334.8464,-41378.9947,-33622.1504,111035759.6852,111019090.5378,111005005.3021,111019892.0208,-31925.2633,111024705.2864,
57600.000,2857.1153,-3707.1336,2433.8210,5591.4434,-4406.4731,3083.2890,4049.4989,1018.9021,-6375.9677,5026.2606,3132.4314,-5177.7739,-5369.8265,3225.9258,-4798.7091,2252.7566,-4098.1189,-481.7693,4587.8348,-6438.5238,-386167.5439,-381475.2017,-373779.5928,-379239.2333,-384264.8392,-373123.6555,-380117.8835,-377730.9892,159744930.5215,159746148.1031,159736798.1756,159728640.6359,-377849.0897,159730685.8602,2654.4404,-1971.6800,5015.6048,3921.0906,4599.2948,3109.4930,-968.7463,-6446.4320,-2627.3349,-1447.7489,3001.9520,12.2597,2163.7637,-5103.4081,-1004.5123,-5432.3574,-5345.5615,6554.1995,-5121.9708,2465.2993,89193.3470,78359.8268,84333.9186,75380.2605,81653.6626,80130.5157,77875.4767,79848.6610,200294661.1737,200241041.8874,200282529.8281,200293947.2709,80304.5224,200286350.4045,-5742.3004,5461.9590,4112.0583,1291.2973,-2176.7958,-5359.2904,-5524.3769,-2282.5602,-319.8705,4523.8319,-5401.7706,4572.0650,3768.9351,-3374.8888,4740.4141,3570.7967,-1104.8732,-1467.5414,989.6379,320.2071,-29386.1685,-31250.8706,-27989.7715,-29200.1774,-23426.1470,-32411.0622,-39040.3375,-28447.0544,111016123.7605,110996069.9992,110984514.4896,111006221.1348,-30210.6361,111004065.5140,
61200.000,1645.2137,4954.5539,-5380.4183,-2006.7183,36.5527,-5000.5617,-3390.9057,569.5643,5712.2791,-1576.7783,-5069.6247,6413.9385,5437.5977,-2026.3161,6577.0656,1610.8456,4325.6715,-1700.6695,-2599.8424,4156.3410,-395283.3507,-386329.6744,-380686.9095,-388002.1076,-391974.6045,-381110.4840,-388826.2675,-386461.8406,102404082.0796,102415759.8748,102395464.3593,102382921.9908,-385884.0423,102389547.6910,420.1498,-2196.0589,-4202.1502,-3433.8394,-4141.8854,820.3387,4912.3893,6555.3568,555.4786,4003.1837,853.7260,-2423.0251,-4252.2009,6551.5976,-1603.7895,3818.8008,2071.8471,-5505.0239,3715.8943,-3480.4519,-12855.6458,-14959.1189,-14407.4482,-23215.0009,-15950.7235,-16969.8998,-20342.3188,-17002.6621,234807368.3944,234760287.4523,234802841.6715,234801716.5381,-17261.4999,234799931.6726,6717.9806,-4272.1734,-1207.0862,-5699.4252,5293.5997,4697.7085,3479.4427,-2129.1113,-3844.5846,-5429.1035,4629.2744,-887.8464,348.0160,-897.3401,-895.7315,-5502.9146,4845.2660,-3486.1334,-5267.8302,-4280.2186,-28130.0416,-28212.5291,-26889.2275,-25221.0727,-22485.1349,-33762.7568,-36027.5503,-30144.3358,110995681.8926,110973063.2383,110965197.5235,110991172.6678,-28493.3713,110983400.7164,
64800.000,-3225.2487,-5037.4123,6155.5480,-1379.0854,4875.3101,5854.5345,2288.7584,-2519.6583,-3115.6734,-1526.2803,5911.7134,-4890.8195,-2989.2713,-307.9107,-4880.9863,-5430.4458,-3750.9982,3940.0131,-1606.8065,113.3275,-377320.8482,-365011.0485,-363219.2059,-371340.8281,-374724.2969,-365086.6835,-372254.6376,-368326.8115,38087635.2398,38107309.2228,38074708.0261,38067703.3463,-369127.7723,38072366.5468,-4884.1582,4703.8444,2049.0617,-731.6431,2736.3534,-3506.9745,-6480.8985,-3820.4472,2715.1080,-6064.2728,-3454.8116,3532.5445,4542.8486,-5163.9951,3092.4287,-1930.3094,2752.5991,1041.8794,-2002.9559,4198.3611,-113694.8421,-110664.2127,-112123.7821,-120184.8110,-112267.3558,-113189.1607,-117570.2385,-113681.9159,253287809.2661,253249582.5937,253289530.4718,253275068.0104,-113707.1633,253280942.4799,-3725.7052,285.8628,-2450.0845,6761.3798,-3750.0853,-1124.2862,727.2313,5169.5427,5520.0835,2961.3239,-1032.1666,-3384.2477,-4274.6355,4576.7161,-3641.9559,3757.9284,-4999.1593,5348.5427,6447.6660,5468.1506,-26890.1367,-25537.6323,-26216.1043,-21806.7612,-22135.4325,-34184.9973,-32269.6454,-25141.9093,110974419.6598,110950081.3467,110947241.7372,110972403.7319,-26773.6207,110962710.9095,
68400.000,1384.7879,2860.0152,-5002.7564,1648.9272,-6584.7693,-4302.0317,66.6427,4799.5405,432.3928,3200.5098,-4347.2028,986.3759,-1250.7318,3621.7700,467.4026,6862.2092,2755.3213,-5292.2057,5573.5759,-3985.1967,-333196.8998,-321828.7577,-322556.0731,-330687.3261,-333352.9329,-325516.9385,-331347.1467,-329612.4755,-28813446.2513,-28788672.3912,-28833269.1183,-28828026.8614,-328660.8798,-28829684.7321,6629.2329,-4943.0343,1332.3638,5501.6155,-809.0120,4388.0603,5249.0886,35.0267,-5826.2290,5995.1150,4320.7965,-4054.6450,-4003.2127,2345.5207,-4071.4774,300.8746,-6081.5533,3312.2965,1446.0748,-4663.2676,-205869.8375,-198921.3865,-202603.5790,-209547.7312,-201061.5872,-202555.4402,-207030.5728,-203371.4634,254478202.3198,254450254.1916,254482861.0275,254461436.0064,-202833.1437,254471420.8311,-1519.2914,3857.8838,4601.0058,-3919.7550,-1133.1472,-3182.0078,-4505.4936,-4980.1748,-3683.6532,1306.6508,-3228.8759,5501.6023,5484.7617,-5407.9922,5449.5968,461.6871,1404.2456,-2524.7925,-3892.4383,-3170.8863,-25623.2661,-23510.4140,-25690.0610,-18913.4521,-22513.5014,-33821.1875,-27651.7212,-26453.1998,110952374.1497,110927135.4792,110930752.8799,110950678.1015,-25051.5370,110941996.1092,
72000.000,877.4703,1245.3443,2965.3690,592.9591,4026.5121,469.8957,-3443.5752,-6096.6488,1435.9917,-3872.8187,535.7116,3229.2936,5084.4402,-6304.5896,3856.3097,-5039.4614,-728.4199,3815.4557,-6718.5900,5609.7681,-265967.3518,-258653.7174,-261299.7888,-268837.1490,-269563.4972,-264633.6353,-268663.9363,-266259.5941,-93732765.3822,-93705912.3116,-93759705.4743,-93741414.2809,-267088.8242,-93749938.0982,-3648.1091,3946.8879,-4849.5692,-6810.4580,-2015.5674,-4191.1738,-2527.6511,2818.3666,6732.8205,-3158.4791,-4190.1370,4459.9085,3360.7873,214.0425,4615.4754,1640.9634,5973.0739,-4930.5491,-1491.8478,3846.4121,-280932.3193,-273260.2440,-280115.7280,-285662.8494,-276742.9358,-279307.6093,-281620.0476,-277989.0842,238300998.2208,238283836.3611,238304137.2826,238284908.6795,-278911.9385,238293763.9982,5825.5150,-5523.3385,-3972.5192,-1234.8564,4991.0344,5470.9596,5425.2837,1630.0846,-539.8532,-4797.2779,5476.1123,-4185.7663,-3267.0697,2823.6368,-3238.2061,-4400.7839,3211.4172,-2544.4754,-963.2296,-1189.8443,-23980.7120,-21688.5253,-24990.7147,-16501.8042,-23718.9611,-32763.0537,-22246.9186,-22012.5953,110929631.5577,110904237.0424,110915608.0303,110926886.0239,-23327.2731,110921256.3312,
75600.000,-408.4309,-5198.5528,-759.2295,-1988.8131,325.9743,3787.9478,6250.3277,4955.6396,-2784.7062,4281.2421,3690.9885,-5592.7665,-6481.8285,6487.2773,-5636.3088,1298.8915,-2622.7632,658.7001,4544.4555,-4887.7183,-188358.4229,-179358.6565,-183317.2311,-189864.7624,-185947.3632,-186177.8775,-188347.9309,-188901.8960,-152240137.2405,-152214080.0753,-152271514.9591,-152245692.3576,-188373.9464,-152257946.6936,-1792.7017,-2762.5860,6829.1600,3536.8602,5036.4519,3805.7449,45.6136,-3971.9378,-4533.6861,-1170.1030,3899.1298,-4060.0201,-2173.9130,-1847.9711,-3589.5193,-4067.8393,-3157.4598,4019.0314,475.5182,-1010.8100,-333148.0399,-329035.7613,-339726.5402,-343697.7753,-336422.8203,-338381.3947,-334621.2216,-338455.4023,205863914.2348,205857201.8252,205861513.0342,205852321.3327,-337056.4036,205855776.9820,-6691.8657,3586.1502,915.3604,5634.2925,-4455.5533,-4364.2411,-2958.9292,2717.5643,4388.8965,5302.2424,-4377.3548,212.4256,-1036.1403,1506.4667,-1403.8574,5390.9632,-5458.0523,5350.7877,5226.1092,4757.9956,-20784.1730,-19964.5892,-23843.5436,-14556.9359,-23073.3592,-31054.5866,-20011.3797,-22583.2725,110906321.6061,110881397.8894,110901267.3701,110901816.4494,-21600.9827,110900491.5914,
79200.000,-2692.3055,6714.5815,-1476.2405,98.8856,-3381.5089,-6198.1489,-6572.4270,-1298.1563,4224.1139,-4415.6475,-6115.7341,5394.7186,5092.2924,-3717.7595,4654.5315,2060.4786,5780.9651,-5320.6902,-996.7003,3176.8309,-102489.8929,-89029.6749,-93534.4772,-98901.9479,-92649.6330,-95141.0116,-97426.5950,-97476.2735,-200343874.1643,-200321135.2875,-200374912.4596,-200351557.4100,-97580.1356,-200361838.6499,5313.3991,1430.5075,-6216.4937,1501.7247,-5817.8365,-3028.2402,1635.9764,4148.9699,418.7258,4679.5223,-3198.4800,1915.1266,-251.6772,3139.7793,300.0897,5935.6253,-103.7125,-2239.7692,2350.3172,-3092.7932,-368931.2282,-362843.2308,-377587.5199,-379955.7279,-374903.3597,-375792.6176,-368807.7718,-371953.3664,159384099.3136,159386792.7573,159374434.0221,159377890.1771,-373534.0882,159374814.6061,3552.3291,652.2513,2679.9444,-6787.2952,-42.3174,503.0507,-1398.0583,-5380.7819,-5449.9682,-2560.7715,560.1933,3865.4794,4657.3896,-4918.4163,4975.4372,-2821.2226,3615.7272,-3468.9781,-6465.1268,-5296.0040,-17999.6541,-18297.8622,-22093.4995,-13088.7130,-18861.5669,-28702.2297,-22074.1269,-19026.7841,110882609.1443,110858630.5274,110886762.3412,110876428.2882,-19872.8201,110879701.9057,
82800.000,5031.2622,-5178.1849,3841.9004,3898.4414,4190.6968,5773.8166,3912.6352,-3080.8227,-5280.7453,3294.5946,5784.7359,-3703.7461,-2355.7646,-480.4736,-2529.4023,-3775.0249,-6378.5560,6563.9039,-1459.4288,-1549.2958,-9318.4756,6506.0829,2328.3258,-1831.4090,5415.9926,2547.2337,-858.8250,-80.2956,-234763094.6478,-234745706.4276,-234789037.6430,-234778192.5931,-546.6186,-234780674.2714,-4469.1792,784.8798,3405.3073,-4151.0333,2749.2539,1067.4673,-2983.1070,-4090.7532,3277.0306,-5821.8305,1277.9116,1862.1734,3666.8982,-4496.7818,4057.5928,-5518.5323,2253.3470,172.6580,-5547.9560,6276.5002,-383790.6317,-372686.9273,-391192.8744,-392103.4237,-388099.7676,-388936.1169,-381234.9809,-387688.7489,102036618.0878,102047136.8527,102021144.8491,102032042.4052,-386007.1205,102026211.5580,1671.4981,-4495.1019,-4663.3166,3969.8910,4480.7387,3643.8920,4845.5769,4633.5661,2998.9864,-1792.2546,3574.1113,-5538.2807,-5371.0210,5220.2883,-4879.4397,-1651.0509,897.3780,-1488.8662,3913.1019,2413.2550,-15588.0431,-16668.3245,-19746.6012,-12135.2596,-14870.0357,-25676.6561,-23412.9509,-18588.7992,110858683.4733,110835948.3490,110871081.6766,110852464.7234,-18142.9399,110858887.2898,
86400.000,-3470.7630,1956.2545,-5790.5929,-6208.1552,-3757.4406,-3482.1329,232.3770,5808.2372,4673.9528,-344.1988,-3628.4798,1876.3706,-99.9723,3795.1497,534.2841,4140.2886,3425.9993,-3585.5578,1978.4519,-19.3134,85665.8619,101095.7729,98095.2765,95072.1983,102975.1564,100364.9107,95952.7800,95553.8908,-253151486.2446,-253140916.0324,-253169635.2540,-253173837.9047,96488.0826,-253168224.1887,978.8155,-3808.0519,131.6525,2914.3117,2538.7304,2260.0676,4473.8975,3613.9556,-4895.7141,4755.5050,2055.1146,-5518.5596,-6367.5084,5316.7164,-6708.2225,2275.9737,-3486.9594,2494.6482,6598.9486,-6605.6935,-375481.4576,-358101.1912,-379584.3998,-379284.9522,-375867.5973,-376792.2913,-369643.5631,-372188.0933,37737600.2943,37754000.9967,37720129.1238,37726802.8940,-373682.2048,37726361.0434,-5931.0355,5398.1419,3801.0176,1129.1576,-4976.2924,-5537.3969,-5270.8128,-994.9374,1347.9388,5007.9885,-5532.8772,3709.5192,2681.7713,-2270.9570,1138.8563,4998.2009,-4768.1653,5113.2146,896.2199,1992.5259,-13377.0880,-15064.5411,-16968.3632,-11774.0337,-11444.2453,-21906.8719,-23823.2773,-16133.4645,110834746.0878,110813365.8954,110853650.6932,110833307.9320,-16411.4973,110838047.7596,
