sl_100_5400_20260910 Coordinates.csv
2026/09/10 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:45 2024,
Start: 2026/09/10 07:47:00.00, Stop: 2026/09/10 09:17:00.00,
TIME_UNITS,STARLINK-3605 - X-Coordinate,STARLINK-30104 - X-Coordinate,STARLINK-1713 - X-Coordinate,STARLINK-6178 - X-Coordinate,STARLINK-2145 - X-Coordinate,STARLINK-4310 - X-Coordinate,STARLINK-31075 - X-Coordinate,STARLINK-6078 - X-Coordinate,STARLINK-3541 - X-Coordinate,STARLINK-1283 - X-Coordinate,STARLINK-5522 - X-Coordinate,STARLINK-4076 - X-Coordinate,STARLINK-5744 - X-Coordinate,STARLINK-2184 - X-Coordinate,STARLINK-31049 - X-Coordinate,STARLINK-30229 - X-Coordinate,STARLINK-30519 - X-Coordinate,STARLINK-31491 - X-Coordinate,STARLINK-31343 - X-Coordinate,STARLINK-32083 - X-Coordinate,STARLINK-5682 - X-Coordinate,STARLINK-31636 - X-Coordinate,STARLINK-4127 - X-Coordinate,STARLINK-11115 [DTC] - X-Coordinate,STARLINK-1329 - X-Coordinate,STARLINK-31976 - X-Coordinate,STARLINK-30257 - X-Coordinate,STARLINK-2541 - X-Coordinate,STARLINK-6284 - X-Coordinate,STARLINK-1137 - X-Coordinate,STARLINK-31122 - X-Coordinate,STARLINK-1924 - X-Coordinate,STARLINK-3729 - X-Coordinate,STARLINK-32315 - X-Coordinate,STARLINK-4212 - X-Coordinate,STARLINK-5399 - X-Coordinate,STARLINK-5365 - X-Coordinate,STARLINK-11204 [DTC] - X-Coordinate,STARLINK-4206 - X-Coordinate,STARLINK-3568 - X-Coordinate,STARLINK-2453 - X-Coordinate,STARLINK-31567 - X-Coordinate,STARLINK-4058 - X-Coordinate,STARLINK-4093 - X-Coordinate,STARLINK-30200 - X-Coordinate,STARLINK-5459 - X-Coordinate,STARLINK-31594 - X-Coordinate,STARLINK-3053 - X-Coordinate,STARLINK-5963 - X-Coordinate,STARLINK-4351 - X-Coordinate,STARLINK-31195 - X-Coordinate,STARLINK-6309 - X-Coordinate,STARLINK-31865 - X-Coordinate,STARLINK-4552 - X-Coordinate,STARLINK-30995 - X-Coordinate,STARLINK-3120 - X-Coordinate,STARLINK-30849 - X-Coordinate,STARLINK-3565 - X-Coordinate,STARLINK-4162 - X-Coordinate,STARLINK-4478 - X-Coordinate,STARLINK-2153 - X-Coordinate,STARLINK-4118 - X-Coordinate,STARLINK-2751 - X-Coordinate,STARLINK-1219 - X-Coordinate,STARLINK-5500 - X-Coordinate,STARLINK-4143 - X-Coordinate,STARLINK-3633 - X-Coordinate,STARLINK-31676 - X-Coordinate,STARLINK-5317 - X-Coordinate,STARLINK-5587 - X-Coordinate,STARLINK-5396 - X-Coordinate,STARLINK-4484 - X-Coordinate,STARLINK-32270 - X-Coordinate,STARLINK-30397 - X-Coordinate,STARLINK-3744 - X-Coordinate,STARLINK-3368 - X-Coordinate,STARLINK-3704 - X-Coordinate,STARLINK-5032 - X-Coordinate,STARLINK-30355 - X-Coordinate,STARLINK-5534 - X-Coordinate,STARLINK-6263 - X-Coordinate,STARLINK-5212 - X-Coordinate,STARLINK-5757 - X-Coordinate,STARLINK-30919 - X-Coordinate,STARLINK-5190 - X-Coordinate,STARLINK-5174 - X-Coordinate,STARLINK-4205 - X-Coordinate,STARLINK-4712 - X-Coordinate,STARLINK-4357 - X-Coordinate,STARLINK-31175 - X-Coordinate,STARLINK-5298 - X-Coordinate,STARLINK-30553 - X-Coordinate,STARLINK-30562 - X-Coordinate,STARLINK-5336 - X-Coordinate,STARLINK-3124 - X-Coordinate,STARLINK-30481 - X-Coordinate,STARLINK-6183 - X-Coordinate,STARLINK-30614 - X-Coordinate,STARLINK-4280 - X-Coordinate,STARLINK-31409 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3605 - Y-Coordinate,STARLINK-30104 - Y-Coordinate,STARLINK-1713 - Y-Coordinate,STARLINK-6178 - Y-Coordinate,STARLINK-2145 - Y-Coordinate,STARLINK-4310 - Y-Coordinate,STARLINK-31075 - Y-Coordinate,STARLINK-6078 - Y-Coordinate,STARLINK-3541 - Y-Coordinate,STARLINK-1283 - Y-Coordinate,STARLINK-5522 - Y-Coordinate,STARLINK-4076 - Y-Coordinate,STARLINK-5744 - Y-Coordinate,STARLINK-2184 - Y-Coordinate,STARLINK-31049 - Y-Coordinate,STARLINK-30229 - Y-Coordinate,STARLINK-30519 - Y-Coordinate,STARLINK-31491 - Y-Coordinate,STARLINK-31343 - Y-Coordinate,STARLINK-32083 - Y-Coordinate,STARLINK-5682 - Y-Coordinate,STARLINK-31636 - Y-Coordinate,STARLINK-4127 - Y-Coordinate,STARLINK-11115 [DTC] - Y-Coordinate,STARLINK-1329 - Y-Coordinate,STARLINK-31976 - Y-Coordinate,STARLINK-30257 - Y-Coordinate,STARLINK-2541 - Y-Coordinate,STARLINK-6284 - Y-Coordinate,STARLINK-1137 - Y-Coordinate,STARLINK-31122 - Y-Coordinate,STARLINK-1924 - Y-Coordinate,STARLINK-3729 - Y-Coordinate,STARLINK-32315 - Y-Coordinate,STARLINK-4212 - Y-Coordinate,STARLINK-5399 - Y-Coordinate,STARLINK-5365 - Y-Coordinate,STARLINK-11204 [DTC] - Y-Coordinate,STARLINK-4206 - Y-Coordinate,STARLINK-3568 - Y-Coordinate,STARLINK-2453 - Y-Coordinate,STARLINK-31567 - Y-Coordinate,STARLINK-4058 - Y-Coordinate,STARLINK-4093 - Y-Coordinate,STARLINK-30200 - Y-Coordinate,STARLINK-5459 - Y-Coordinate,STARLINK-31594 - Y-Coordinate,STARLINK-3053 - Y-Coordinate,STARLINK-5963 - Y-Coordinate,STARLINK-4351 - Y-Coordinate,STARLINK-31195 - Y-Coordinate,STARLINK-6309 - Y-Coordinate,STARLINK-31865 - Y-Coordinate,STARLINK-4552 - Y-Coordinate,STARLINK-30995 - Y-Coordinate,STARLINK-3120 - Y-Coordinate,STARLINK-30849 - Y-Coordinate,STARLINK-3565 - Y-Coordinate,STARLINK-4162 - Y-Coordinate,STARLINK-4478 - Y-Coordinate,STARLINK-2153 - Y-Coordinate,STARLINK-4118 - Y-Coordinate,STARLINK-2751 - Y-Coordinate,STARLINK-1219 - Y-Coordinate,STARLINK-5500 - Y-Coordinate,STARLINK-4143 - Y-Coordinate,STARLINK-3633 - Y-Coordinate,STARLINK-31676 - Y-Coordinate,STARLINK-5317 - Y-Coordinate,STARLINK-5587 - Y-Coordinate,STARLINK-5396 - Y-Coordinate,STARLINK-4484 - Y-Coordinate,STARLINK-32270 - Y-Coordinate,STARLINK-30397 - Y-Coordinate,STARLINK-3744 - Y-Coordinate,STARLINK-3368 - Y-Coordinate,STARLINK-3704 - Y-Coordinate,STARLINK-5032 - Y-Coordinate,STARLINK-30355 - Y-Coordinate,STARLINK-5534 - Y-Coordinate,STARLINK-6263 - Y-Coordinate,STARLINK-5212 - Y-Coordinate,STARLINK-5757 - Y-Coordinate,STARLINK-30919 - Y-Coordinate,STARLINK-5190 - Y-Coordinate,STARLINK-5174 - Y-Coordinate,STARLINK-4205 - Y-Coordinate,STARLINK-4712 - Y-Coordinate,STARLINK-4357 - Y-Coordinate,STARLINK-31175 - Y-Coordinate,STARLINK-5298 - Y-Coordinate,STARLINK-30553 - Y-Coordinate,STARLINK-30562 - Y-Coordinate,STARLINK-5336 - Y-Coordinate,STARLINK-3124 - Y-Coordinate,STARLINK-30481 - Y-Coordinate,STARLINK-6183 - Y-Coordinate,STARLINK-30614 - Y-Coordinate,STARLINK-4280 - Y-Coordinate,STARLINK-31409 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3605 - Z-Coordinate,STARLINK-30104 - Z-Coordinate,STARLINK-1713 - Z-Coordinate,STARLINK-6178 - Z-Coordinate,STARLINK-2145 - Z-Coordinate,STARLINK-4310 - Z-Coordinate,STARLINK-31075 - Z-Coordinate,STARLINK-6078 - Z-Coordinate,STARLINK-3541 - Z-Coordinate,STARLINK-1283 - Z-Coordinate,STARLINK-5522 - Z-Coordinate,STARLINK-4076 - Z-Coordinate,STARLINK-5744 - Z-Coordinate,STARLINK-2184 - Z-Coordinate,STARLINK-31049 - Z-Coordinate,STARLINK-30229 - Z-Coordinate,STARLINK-30519 - Z-Coordinate,STARLINK-31491 - Z-Coordinate,STARLINK-31343 - Z-Coordinate,STARLINK-32083 - Z-Coordinate,STARLINK-5682 - Z-Coordinate,STARLINK-31636 - Z-Coordinate,STARLINK-4127 - Z-Coordinate,STARLINK-11115 [DTC] - Z-Coordinate,STARLINK-1329 - Z-Coordinate,STARLINK-31976 - Z-Coordinate,STARLINK-30257 - Z-Coordinate,STARLINK-2541 - Z-Coordinate,STARLINK-6284 - Z-Coordinate,STARLINK-1137 - Z-Coordinate,STARLINK-31122 - Z-Coordinate,STARLINK-1924 - Z-Coordinate,STARLINK-3729 - Z-Coordinate,STARLINK-32315 - Z-Coordinate,STARLINK-4212 - Z-Coordinate,STARLINK-5399 - Z-Coordinate,STARLINK-5365 - Z-Coordinate,STARLINK-11204 [DTC] - Z-Coordinate,STARLINK-4206 - Z-Coordinate,STARLINK-3568 - Z-Coordinate,STARLINK-2453 - Z-Coordinate,STARLINK-31567 - Z-Coordinate,STARLINK-4058 - Z-Coordinate,STARLINK-4093 - Z-Coordinate,STARLINK-30200 - Z-Coordinate,STARLINK-5459 - Z-Coordinate,STARLINK-31594 - Z-Coordinate,STARLINK-3053 - Z-Coordinate,STARLINK-5963 - Z-Coordinate,STARLINK-4351 - Z-Coordinate,STARLINK-31195 - Z-Coordinate,STARLINK-6309 - Z-Coordinate,STARLINK-31865 - Z-Coordinate,STARLINK-4552 - Z-Coordinate,STARLINK-30995 - Z-Coordinate,STARLINK-3120 - Z-Coordinate,STARLINK-30849 - Z-Coordinate,STARLINK-3565 - Z-Coordinate,STARLINK-4162 - Z-Coordinate,STARLINK-4478 - Z-Coordinate,STARLINK-2153 - Z-Coordinate,STARLINK-4118 - Z-Coordinate,STARLINK-2751 - Z-Coordinate,STARLINK-1219 - Z-Coordinate,STARLINK-5500 - Z-Coordinate,STARLINK-4143 - Z-Coordinate,STARLINK-3633 - Z-Coordinate,STARLINK-31676 - Z-Coordinate,STARLINK-5317 - Z-Coordinate,STARLINK-5587 - Z-Coordinate,STARLINK-5396 - Z-Coordinate,STARLINK-4484 - Z-Coordinate,STARLINK-32270 - Z-Coordinate,STARLINK-30397 - Z-Coordinate,STARLINK-3744 - Z-Coordinate,STARLINK-3368 - Z-Coordinate,STARLINK-3704 - Z-Coordinate,STARLINK-5032 - Z-Coordinate,STARLINK-30355 - Z-Coordinate,STARLINK-5534 - Z-Coordinate,STARLINK-6263 - Z-Coordinate,STARLINK-5212 - Z-Coordinate,STARLINK-5757 - Z-Coordinate,STARLINK-30919 - Z-Coordinate,STARLINK-5190 - Z-Coordinate,STARLINK-5174 - Z-Coordinate,STARLINK-4205 - Z-Coordinate,STARLINK-4712 - Z-Coordinate,STARLINK-4357 - Z-Coordinate,STARLINK-31175 - Z-Coordinate,STARLINK-5298 - Z-Coordinate,STARLINK-30553 - Z-Coordinate,STARLINK-30562 - Z-Coordinate,STARLINK-5336 - Z-Coordinate,STARLINK-3124 - Z-Coordinate,STARLINK-30481 - Z-Coordinate,STARLINK-6183 - Z-Coordinate,STARLINK-30614 - Z-Coordinate,STARLINK-4280 - Z-Coordinate,STARLINK-31409 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-842.5832,6296.6814,5274.9334,-4857.0799,-691.0482,-3285.7293,-5613.5753,1967.6078,-2012.8625,-2348.0028,-1271.9374,-3946.5828,-1124.8166,6750.8833,-5267.2380,-3766.4704,-1184.2613,5355.3033,-5314.4357,5802.2637,-1578.5196,5501.1176,6208.1783,-4250.0723,-6091.7110,2084.1078,-6249.1138,2535.9812,6439.5085,-6775.0734,6007.8360,-3225.1983,5089.7647,-4167.2430,4610.6384,-5169.3716,-358.5112,-1631.4825,6770.5103,-6316.0030,-1799.0725,1516.0698,6195.2080,-4834.6770,-5830.0678,1556.2634,3062.0402,2580.2277,4681.5646,4442.2719,-2824.6288,-3966.5885,-4472.2926,3118.9703,-1634.8416,-775.2761,-5064.4967,5270.6441,-2091.4229,3333.1674,4096.8460,5265.3383,3662.7322,3012.5857,5947.2670,-4629.6036,-4344.8742,3764.8203,-2362.6540,-1558.0184,-5328.7950,3560.5588,3092.4200,6426.4508,5885.2377,-4073.2825,665.9591,1009.2213,5193.0599,-2377.3870,-3513.0383,-431.9294,5784.6093,-2148.4630,0.0000,392.7832,3045.8495,1245.2948,-6118.3165,0.0000,-3054.6851,6902.0707,6884.8941,-5645.7076,3386.7252,4811.3363,6056.1044,-322.6291,-774.7437,-5496.0629,-224994.6543,-229133.3234,-222683.2202,-225636.1497,-218580.8639,-220945.8810,-226724.8317,-226141.6838,-247132546.5080,-247094762.0171,-247121131.4865,-247123915.4272,-225381.3870,-247118006.3163,-6806.0471,-1464.6800,-4139.9086,3034.9499,-6623.4979,-2853.4430,115.7258,-5018.9160,3643.8106,6022.5126,-3301.2983,-4787.2969,-5598.8103,649.2469,2453.8586,-5817.8413,6305.9958,2099.3353,3580.8293,-2904.4228,6022.5245,-951.8333,107.6120,4135.8110,473.8354,5067.4256,-386.6524,3335.5100,433.9145,753.0600,-3175.5667,5928.1130,-3855.8429,-2934.7034,3324.9424,2007.8316,6202.6962,-5365.8085,1351.4802,-2766.2925,-4018.0347,-5030.5550,1033.4119,-969.3070,3158.6345,-1821.2770,-5815.5555,-1694.9089,4536.3450,-1552.2437,-5676.9810,4381.2719,-2670.6966,3525.0220,-6045.2707,-4289.6246,3552.6299,4369.9987,3606.3927,2745.2471,-761.5258,-3872.8939,2518.5330,4597.1870,-557.9800,4849.0735,914.7127,4776.3009,-1930.8219,-5225.1816,3386.3210,2313.0878,2965.2410,-551.6398,-1704.2537,-863.1374,4262.4598,6740.9121,4330.4456,-337.9481,4619.0332,-6196.8098,1330.0301,5416.0673,0.0000,5777.9869,5810.8802,4789.8862,3271.1994,0.0000,-1717.1538,-189.4436,734.3156,3488.7913,3583.8101,-1888.8005,-3270.2744,6809.5234,5232.2247,-2744.8965,282856.5424,298723.6072,287727.8037,287443.0051,292384.1991,290968.1448,297057.8385,294341.8489,20865319.8900,20899567.6436,20863596.3441,20853763.8270,293220.6486,20857883.7180,789.3144,2477.3840,-654.9427,-3917.9879,1783.8423,5394.5422,-4063.3471,4357.3299,-5523.9126,2370.5296,5976.1022,3021.3519,-3936.2300,1347.8602,-3637.7135,-154.8423,2507.8248,-3719.4648,2431.3871,2203.1722,3030.3762,3930.5376,-3058.1631,-3210.9336,3096.6695,4040.0813,2956.8067,-5504.8535,2525.9305,-1093.2932,1320.1051,-1237.9713,2604.4593,4483.9777,-3944.0609,-4132.0694,3054.1224,-3505.5255,-241.9843,509.7314,-5278.1411,-4354.2848,-2885.7618,4829.6942,-2036.5989,-6526.4481,1876.5133,6212.7727,2386.8807,5095.5228,-2611.0339,-3627.1880,-4421.6124,-5076.4239,2543.6939,-5406.6369,3113.9897,903.8029,5498.2765,-5397.5359,5511.8883,2231.3997,-5307.4545,-4194.2754,-3557.6349,-1704.5433,-5304.8794,3050.5678,6227.1233,-4290.0461,-2798.6684,-5459.8821,5305.2848,2523.3941,-3178.8474,-5533.1630,-5407.1771,-1175.9007,-1491.5399,6510.3646,-3800.1864,3014.7149,-3595.2922,3754.8794,0.0000,-3780.3974,2164.5723,4823.9664,186.7289,0.0000,5985.2024,-640.9169,189.5290,2009.7695,4838.6551,-4620.3705,842.0987,566.8564,4434.1479,-3009.6562,54191.3155,55278.3225,53308.9151,58440.0108,58815.4982,48367.9894,46405.1330,55020.0574,103879566.7944,103858116.4587,103848212.1475,103865472.9235,53835.8191,103867292.1563,
300.000,-2019.0850,5139.8972,4094.2836,-3147.5204,-1868.0996,-1472.5883,-4755.1563,210.3462,28.9599,-1247.2129,-2063.8081,-4350.3616,-3003.6881,6878.4599,-3617.6066,-4852.0461,367.5370,6419.4762,-4563.1851,4424.0946,-26.0803,5486.7749,5196.3664,-2461.4383,-6430.5881,3973.3644,-5494.7807,4001.3906,5737.1796,-6580.1124,4834.1440,-2137.9013,3518.3990,-4216.2365,5970.7759,-3527.6155,1303.3990,-3203.8675,6725.7172,-6604.6618,-3786.2519,-358.6921,5424.0374,-4127.2830,-4427.8133,22.3161,1710.8897,2651.0987,4412.1098,2840.8553,-3935.2168,-2040.8541,-4966.1627,3880.0847,-3273.1972,-2666.9597,-4328.6480,5601.2564,-277.8861,4870.3110,3665.9242,3785.6329,5123.8732,4658.7109,4535.6357,-3197.1870,-3140.6461,5276.4339,-4283.6871,-3504.0330,-4648.1956,4230.2467,4747.0798,5475.3221,5947.1094,-4196.9088,2738.9348,2200.9263,6163.4742,-2296.9350,-1523.7070,-1803.5013,5335.6447,-121.1164,0.0000,1888.3960,4267.7575,2702.8411,-5937.5717,0.0000,-4847.1068,6388.4133,6721.5167,-4911.8291,5095.3577,4106.4805,5214.1007,893.2690,732.8596,-5479.0903,-230818.0340,-235385.0661,-228943.6147,-231826.5021,-224714.0485,-227054.0157,-232867.5173,-232600.1916,-247526643.2840,-247489809.4928,-247515727.1261,-247517829.4294,-231541.3931,-247512147.7920,-6523.0708,-2867.3375,-4778.3720,4174.4781,-5707.6316,-1976.9162,2010.8489,-5960.7207,4376.3892,6744.7322,-1304.7200,-3109.4495,-5547.0621,-566.5873,3324.5914,-4752.9888,6796.0938,942.7018,5020.1651,-3668.3677,6714.6371,-2861.5578,-1289.2315,4399.8462,1875.2120,4608.4096,1354.2541,1733.6601,-1249.7038,1953.7164,-3948.8724,6491.8429,-4334.4175,-870.8038,2466.0518,3058.6137,6578.5405,-5456.0121,122.7831,-1585.8852,-3563.6763,-5804.0310,-472.7345,1001.7424,4196.1798,-3348.8586,-6609.0011,-3685.0968,3309.4926,-462.3805,-4192.5576,4946.4995,-568.8112,1537.1980,-5810.7695,-3232.7632,5100.4675,3065.9054,4721.8405,1364.5441,-2859.9216,-4389.6735,1112.4448,4268.2218,-1215.9005,5161.5258,2711.9210,3939.3391,-1374.9911,-4914.8490,4905.2896,243.0073,1713.6364,-2109.0751,-3144.2468,1300.2017,4220.2728,6523.6787,3151.6941,1859.8534,5050.7653,-6529.8806,-619.0195,5286.9872,0.0000,6253.4776,5421.3464,3291.7000,2676.0017,0.0000,-1108.6530,-1676.3437,-485.6049,4869.7742,2833.7022,-3843.9092,-4519.3768,6667.0784,6113.0836,-819.0184,278242.0137,294135.6182,282872.2965,282693.7368,287599.3256,286192.9813,292186.2180,289631.3537,15464652.3274,15499295.4205,15462524.1476,15452388.7083,288421.8403,15457152.6478,-1028.7167,3642.3526,-2412.1575,-4563.2686,3380.6542,6475.2272,-4624.3417,3534.8732,-5355.8623,624.5296,6500.2511,4358.7146,-2881.0574,-459.1926,-4782.2570,1377.6953,1078.7558,-2192.5727,988.4431,3727.1723,1698.5975,2888.9366,-4387.8221,-4479.5606,1445.1121,3056.2302,3986.8808,-5370.4368,3678.9726,720.4778,2987.4205,578.9395,4044.5399,5246.8372,-2473.7812,-5102.3987,1727.3979,-1922.1094,1562.6304,-1302.5053,-4494.2271,-3569.7220,-4259.6877,5439.4748,-3303.7249,-6092.7602,367.5059,5247.7056,4212.0366,6307.8435,-3737.8928,-4411.1451,-4657.8818,-5523.3274,1111.4238,-5537.8794,1801.0358,2624.0232,5025.2216,-4710.7154,5112.6409,3750.8785,-4519.9193,-2804.5234,-5127.8565,-3317.8372,-5535.1402,1720.3081,5278.5655,-3419.1167,-1418.6837,-5466.4639,4587.4476,3676.8867,-1539.2137,-5352.0572,-4746.7818,639.0825,36.3575,6278.3645,-4504.5093,1348.9474,-4394.3369,4479.5887,0.0000,-2267.2942,398.0916,5441.5211,2388.9274,0.0000,4837.2348,-2117.4243,-1609.2898,522.7151,3709.9193,-4052.0943,-703.2776,-1254.7188,3124.7301,-4013.7540,54011.4141,55160.2055,53267.4512,58154.3667,58791.1891,48435.2299,46124.0279,54482.1915,103877306.0013,103855646.3731,103846048.1654,103863812.1455,53695.4557,103865017.1411,
600.000,-3005.0101,3490.6790,2457.5051,-1146.9903,-2895.7187,451.8668,-3471.2540,-1540.1989,2043.8765,-27.8138,-2728.1046,-4366.2937,-4577.1112,6321.3842,-1603.2994,-5477.9046,1872.7369,6828.0300,-3361.9144,2585.1672,1513.0451,4939.5066,3689.9872,-391.5807,-6118.1868,5446.9771,-4228.5959,5112.9916,4496.3643,-5724.1852,3169.9583,-826.0641,1579.6328,-3881.8872,6734.3483,-1549.7800,2823.6516,-4393.3763,6011.7558,-6241.1991,-5387.8133,-2171.9911,4138.0942,-3061.3767,-2593.3277,-1453.3432,190.0200,2520.3351,3737.6408,891.8964,-4688.4295,86.0585,-5003.0165,4318.3819,-4559.8628,-4329.5639,-3188.2721,5393.2430,1526.0594,5948.5531,2928.4063,1912.9070,6101.9635,5828.4834,2674.9080,-1426.2018,-1675.1681,6240.2331,-5777.1747,-5101.8054,-3523.1083,4539.2674,5930.6439,4005.0787,5423.5930,-3965.9258,4529.2561,3180.4082,6533.6190,-2066.1641,617.8342,-2980.7211,4406.7899,1935.0801,0.0000,3174.1545,5060.2196,3943.2205,-5095.0689,0.0000,-6154.1710,5258.3604,5894.7275,-3706.2725,6295.8348,3043.1662,3863.3473,2031.6463,2136.0849,-4943.4933,-236547.5814,-241540.6620,-235103.1529,-237916.7282,-230747.2548,-233064.1303,-238904.5618,-238877.6544,-247802726.2485,-247766849.6243,-247792290.3894,-247793650.5067,-237599.2442,-247788272.2488,-5585.3107,-4025.4383,-4926.1157,4953.6337,-4222.9354,-809.1390,3739.4090,-6346.3641,4730.7409,6786.0443,797.3454,-1105.9766,-4981.9367,-1731.1602,3911.1236,-3219.5717,6617.0600,-285.6046,5950.1170,-4098.9948,6758.3216,-4465.5221,-2603.8030,4241.5868,3069.5396,3706.3759,2994.9950,3.3467,-2842.9365,2966.7203,-4362.3972,6395.1566,-4421.9470,1297.6507,1389.7967,3862.0711,6322.1931,-4938.8027,-1135.7185,-233.9166,-2799.8738,-6011.8713,-1973.3432,2904.0182,4859.7139,-4590.7981,-6732.2530,-5287.0302,1711.8137,598.7158,-2289.1262,5076.0280,1584.4650,-587.9369,-4974.3037,-1912.9809,6145.8509,1434.5123,5409.0130,-104.9258,-4677.8324,-4507.9800,-358.7634,3543.3840,-1817.6805,4992.5130,4278.3947,2713.8522,-748.3543,-4161.0240,5935.7764,-1831.5642,333.3086,-3494.7364,-4255.2914,3327.5903,3811.9925,5654.5012,1665.5340,3868.2042,5038.0336,-6216.5617,-2532.7657,4685.8431,0.0000,6119.8061,4493.7214,1500.3911,1819.2635,0.0000,-450.6389,-3021.2473,-1675.4888,5775.9624,1843.4779,-5429.5911,-5336.3485,5838.7571,6400.1890,1209.4428,273511.9187,289409.5254,277890.8156,277817.4861,282686.2988,281292.0336,287185.1194,284688.1453,10056720.0671,10091735.3158,10054165.6288,10043799.3689,283493.5678,10049154.7963,-2735.2992,4415.9522,-3888.7100,-4722.4777,4609.4461,6865.0249,-4691.0200,2334.4584,-4612.3224,-1189.7131,6335.3194,5223.5241,-1517.8969,-2216.7571,-5399.0351,2762.5270,-467.9647,-422.3224,-563.9685,4838.1637,184.4049,1524.0521,-5246.5618,-5228.8031,-366.6741,1727.4319,4588.9203,-4659.3246,4438.0054,2456.0116,4333.3537,2331.8132,5045.0340,5413.3577,-737.0126,-5524.1891,215.0957,-101.9164,3197.9485,-2974.2822,-3217.6556,-2384.9334,-5174.5514,5461.0029,-4218.1800,-5015.1448,-1182.5576,3724.0659,5588.4521,6848.3510,-4452.0472,-4724.2036,-4374.6196,-5378.4702,-449.0963,-5081.3855,294.8162,4059.8612,4008.3852,-3516.2513,4162.4769,4864.3927,-3247.4254,-1112.1122,-6155.5026,-4574.1567,-5171.1152,195.4006,3767.4322,-2183.1959,115.0269,-4885.7172,3355.2209,4435.8015,267.4817,-4597.8236,-3576.0150,2385.0442,1560.3221,5379.2821,-4728.4833,-462.8963,-4725.2963,4725.2951,0.0000,-509.6242,-1411.4607,5472.8812,4335.8722,0.0000,3173.7122,-3367.5578,-3235.4997,-1020.2654,2180.7128,-3050.6407,-2173.4443,-2936.6129,1476.9236,-4571.5017,53831.3446,55040.1975,53226.7651,57863.5532,58763.2562,48508.4873,45848.2142,53884.2374,103875039.5161,103853176.4664,103843893.1351,103862162.2023,53555.0550,103862741.9903,
