TIME_UNITS,STARLINK-31232 - X-Coordinate,STARLINK-31576 - X-Coordinate,STARLINK-6273 - X-Coordinate,STARLINK-30916 - X-Coordinate,STARLINK-3053 - X-Coordinate,STARLINK-30495 - X-Coordinate,STARLINK-11110 [DTC] - X-Coordinate,STARLINK-4342 - X-Coordinate,STARLINK-1644 - X-Coordinate,STARLINK-6376 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31232 - Y-Coordinate,STARLINK-31576 - Y-Coordinate,STARLINK-6273 - Y-Coordinate,STARLINK-30916 - Y-Coordinate,STARLINK-3053 - Y-Coordinate,STARLINK-30495 - Y-Coordinate,STARLINK-11110 [DTC] - Y-Coordinate,STARLINK-4342 - Y-Coordinate,STARLINK-1644 - Y-Coordinate,STARLINK-6376 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31232 - Z-Coordinate,STARLINK-31576 - Z-Coordinate,STARLINK-6273 - Z-Coordinate,STARLINK-30916 - Z-Coordinate,STARLINK-3053 - Z-Coordinate,STARLINK-30495 - Z-Coordinate,STARLINK-11110 [DTC] - Z-Coordinate,STARLINK-4342 - Z-Coordinate,STARLINK-1644 - Z-Coordinate,STARLINK-6376 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
32400.000,-5940.2700,-1132.3600,-2526.9880,-2284.3616,6129.5436,-986.4962,3141.3818,6014.8582,-6165.6505,5775.8169,-343587.4599,-369355.8541,-362543.9724,-360936.2038,-358461.8542,-359589.9453,-355155.5118,-357591.3072,176841836.7159,176843080.0069,176842423.3058,176859204.8736,-357065.8998,176858002.0739,-2769.2544,6095.1373,-5910.8398,4202.1584,-882.6989,6243.1415,5298.5461,-1015.0230,-674.5257,1659.4919,-17899.0037,-37797.0006,-31816.6445,-24580.6806,-32504.4695,-30936.2914,-32041.8636,-29130.9795,-130523424.7697,-130553328.7770,-130529418.6477,-130520788.9043,-30219.0655,-130528169.0216,1938.6831,-2856.1075,2581.6969,-4889.1606,3138.4741,2826.5651,-2748.1643,3293.6779,3034.4292,-3456.1431,-184045.7746,-189440.3823,-190138.5964,-180863.6913,-189221.8695,-197294.5299,-186437.2058,-189198.9000,74954922.4589,74987439.5597,74981883.4993,74973576.8155,-187865.3741,74966479.0088,
36000.000,4417.9880,-2194.2552,4652.1932,164.3350,-2516.0038,-1336.0488,-3984.5191,-1874.5712,3635.7946,-6889.5810,-329031.1650,-347892.3557,-344007.2320,-342101.4015,-342689.8963,-341649.6275,-334840.2859,-337363.3448,204589449.1682,204595630.8095,204587656.9456,204599053.5019,-338266.9983,204604902.6390,-596.1383,-3519.5575,5028.9315,-6727.9565,1599.8327,-6754.0347,-762.3951,-932.1767,-2211.6793,743.3931,-102613.8355,-127272.6231,-118520.4006,-113247.1902,-121329.1431,-118912.0693,-121919.4936,-119568.0277,-80224171.8664,-80260581.9225,-80237898.9985,-80225248.1480,-118614.7073,-80229520.8891,-5187.1650,5409.3127,1039.0674,1197.5127,-6275.3929,755.9184,5373.6561,-6620.0397,-5446.1527,72.5676,-183960.9326,-189322.0181,-189849.9130,-180958.3422,-186503.8447,-196439.3659,-190035.8392,-186456.5045,74918057.9284,74949622.8849,74943307.7682,74940140.3035,-187665.9028,74930303.6938,
39600.000,-1890.8919,5565.4408,-5240.5063,1636.4015,-1708.8757,3361.5151,4132.2555,-3507.4811,-598.2380,5373.2162,-293942.8647,-304999.8107,-303648.2637,-301571.4503,-303550.6334,-302249.7737,-294217.9903,-299360.0404,218353332.3234,218367057.4627,218353072.4069,218359684.0441,-297943.8385,218368534.2249,4646.0978,311.2821,-2064.1928,5727.9634,-3565.4786,4645.1931,-4126.8529,-185.4723,5301.9291,-2820.9506,-181416.8322,-208218.0606,-197823.5827,-194416.5043,-202497.0967,-199885.9480,-202492.2223,-198828.3425,-24462295.2107,-24503749.5773,-24484214.1993,-24471200.9765,-199529.4708,-24468528.7149,4636.7061,-3939.2791,-4042.5123,3346.8746,5698.5431,-3891.7161,-3373.5022,5971.6595,4377.6219,3337.9030,-183896.4503,-189140.4783,-188961.0427,-181553.1597,-184065.8119,-194896.3438,-192841.0216,-188336.0614,74881985.9551,74911605.3173,74904147.7557,74903714.4649,-187451.5540,74894127.8738,
43200.000,-225.3424,-6519.5956,4804.8259,-3660.0128,3992.7657,-5063.9094,-2694.3159,5849.1253,-1552.2722,-1929.6368,-240279.6354,-243564.4579,-243936.9287,-241812.9978,-244663.1287,-243576.5391,-235335.7562,-237036.4266,217198129.8908,217221430.3347,217203044.7196,217206959.3311,-238642.9272,217213618.6918,-6795.1855,1954.1131,-2004.0756,-1861.1796,5393.6371,-939.5563,5978.9657,3264.6785,-6710.4052,4690.9541,-249403.2915,-275488.2049,-264729.0169,-262956.9474,-271093.5845,-268639.6396,-270130.4510,-268082.7170,32951782.6294,32907693.2667,32922971.1815,32935242.5677,-267814.0384,32944649.8827,-724.9696,-495.5698,4565.8570,-5470.1562,-1800.8943,4623.5128,-1573.0596,-1811.5641,-548.9580,-4726.2657,-183850.6774,-188867.6693,-187652.7730,-182725.7189,-182183.8108,-192592.4646,-194711.1319,-186518.1363,74846699.8349,74873427.3858,74864592.2281,74865029.9110,-187222.3450,74857951.5699,
46800.000,2009.3833,3880.1086,-3726.9636,5352.2497,-3783.6210,5905.5814,-911.8876,-3803.4291,2861.7942,-1765.8694,-171157.9166,-167644.9497,-168569.3930,-166361.9172,-170166.4392,-168889.4907,-161645.9633,-165886.3386,201207838.1593,201241842.2812,201220597.5495,201223314.5193,-164118.8129,201224089.1177,5363.4133,-3290.2381,5365.2111,-2268.9743,-4872.3169,-2592.9216,-4263.4228,-4650.4621,5118.7592,-5873.4681,-302251.6426,-324725.7788,-314953.3411,-314660.3017,-322692.7870,-320464.4926,-321037.5748,-319397.3677,88096083.3056,88052470.7717,88063106.5739,88075852.4642,-319117.2022,88088305.4630,-3737.6485,4538.5646,-2318.7319,3590.3716,-3191.0083,-2532.3964,5131.2554,-3477.5787,-3655.3127,3218.3398,-183822.3984,-188440.4904,-186214.3079,-184611.2660,-180808.6675,-189412.1687,-195788.5196,-187312.0820,74812141.9388,74835122.2314,74824799.1010,74824768.6317,-186978.2943,74821774.8036,
50400.000,-3907.9876,831.0473,1789.8633,-5118.5535,2622.7664,-4951.9623,5085.5853,44.7812,-3975.6952,4249.3183,-90690.2487,-82029.3537,-82285.3654,-79337.9246,-84974.0389,-81917.3758,-77576.5061,-77509.6721,171479713.2238,171524422.8796,171501527.9184,171502333.8436,-79096.7707,171497013.5906,-1274.8975,4333.9725,-6556.7584,4443.0976,1383.4646,4711.4925,1172.4075,1942.0182,-1198.1664,5468.7804,-336495.7289,-352352.8526,-345214.5784,-347013.4462,-353955.6746,-351042.4371,-352149.0582,-349396.9220,137205023.4685,137165342.9584,137171465.2785,137187289.3839,-350162.9759,137197057.0657,5453.9510,-5207.8579,-1360.1256,888.0036,6270.6050,-1130.8574,-4273.0410,6648.2419,5510.9778,238.6500,-183810.7610,-187657.3459,-184965.7670,-187278.1805,-179900.4492,-185470.1657,-196162.3815,-186606.0655,74778207.4465,74796717.4085,74784904.5822,74783774.6374,-186719.4213,74785597.5959,
54000.000,5366.7713,-4601.3724,1121.4858,1990.6510,-2267.4060,1944.3959,-6597.7797,1618.8564,4950.1109,-5175.7929,-3758.2397,10718.1564,9406.9794,13318.1038,5404.4083,12841.7389,11754.4248,9718.1590,130048952.8073,130103167.1210,130079371.7367,130074068.8360,11026.3856,130067326.3003,-2763.9109,-4635.6829,5397.1958,-4511.5896,3272.7288,-5241.5172,1355.7071,3273.4975,-2856.4741,-2923.3221,-349752.8782,-356367.3694,-353488.1316,-360346.9931,-362854.1215,-357040.8600,-361481.0365,-360209.3055,176926581.0728,176894205.8371,176896176.9164,176917012.7342,-358959.7396,176918965.4748,-3214.2580,1967.9446,4191.5961,-4739.5644,-5695.4792,4081.6499,-308.6551,-5904.3421,-3887.0287,-3567.2788,-183815.2227,-185929.5792,-184172.3989,-187801.6135,-179444.2807,-185018.4358,-195874.7640,-186190.9431,74744751.1360,74758236.2102,74745030.9358,74743657.3989,-186445.7461,74749419.9682,
57600.000,-4775.1359,5503.5110,-4409.7202,2711.1277,2721.2639,2146.9256,3831.7551,-68.6378,-4709.0688,4971.7539,84266.4388,104162.2450,100595.8367,103257.8811,95173.1720,103814.4702,100836.4888,101348.5422,79749329.5391,79810733.0883,79786344.7555,79768411.4345,100524.4512,79768529.8821,4692.3986,2967.3814,-2923.0459,3620.9453,-6141.6745,4773.5594,-3087.5146,-6747.0282,5048.0958,-1050.0168,-340892.7094,-340734.0699,-339187.4186,-349339.6739,-348785.4484,-341486.9664,-348309.7684,-343451.5522,204551106.6357,204528898.4088,204527026.9519,204549416.1068,-344928.0674,204544322.7670,-1390.8896,2723.7487,-4480.7848,5117.8240,1745.9802,-4542.0470,4597.2594,1606.3724,-231.4073,4703.4315,-183835.5057,-184841.8864,-183973.5015,-184994.4451,-179450.1267,-188528.0954,-194930.4508,-186648.6754,74711596.7903,74719698.6573,74705293.0112,74707906.5462,-186157.2900,74713241.9415,
61200.000,1401.8836,-4072.1164,6619.0724,-6116.7258,-2380.1548,-5472.4092,1247.5639,-2117.4720,2306.2482,-4092.8213,167837.5500,189531.2300,185388.2870,186696.8812,178607.6972,186651.8446,184080.5501,183386.7875,24019329.0501,24084734.9478,24059765.6390,24031215.1216,183705.2781,24038904.2691,-4482.8115,936.9549,301.0767,-2481.8707,5684.1868,-3627.4273,4431.1418,5532.0160,-4989.1946,4732.7857,-310134.6609,-303122.5516,-303227.6786,-314533.1986,-312588.5716,-305200.5234,-313243.6958,-310546.0392,218196157.4262,218186097.6074,218180401.0295,218192926.5799,-308939.0303,218190501.8156,4959.2597,-5398.0173,2023.8505,-1785.0373,3197.4930,2201.2359,-4930.7157,3600.3994,4176.2048,-2984.0847,-183871.5430,-184282.6262,-184345.0952,-182467.7420,-179956.2508,-191244.1563,-193298.3913,-185039.0971,74678548.6103,74681122.2486,74665803.9433,74678156.4511,-185854.0752,74677063.5372,
64800.000,3279.9695,1979.8666,-6450.4269,6180.0915,-122.9669,6559.8110,-4927.6287,1575.1476,1803.7015,2389.2132,241567.7758,262024.4315,258336.1632,258577.7134,250428.9092,257574.5966,256119.6383,255096.8635,-33332934.7039,-33267222.5452,-33292810.7805,-33319508.2893,255272.4821,-33313524.0780,3420.8607,-5138.2428,1914.6857,576.3868,-2940.2338,1660.1605,-4495.9052,-855.4613,3792.6847,-6480.4322,-259066.1273,-245278.8310,-247953.9967,-259266.6159,-256451.3096,-249943.5182,-258190.5606,-251847.6919,216934748.5267,216937686.0608,216927750.6742,216925794.1090,-253260.4301,216930255.6747,-4931.5744,4021.8266,1651.9334,-2871.4546,-6293.7028,1474.7020,973.2885,-6707.8303,-5489.6694,-572.9719,-183923.3896,-183892.4173,-185106.3561,-180497.2140,-181040.2343,-193025.3040,-190905.5828,-186570.9384,74645403.8972,74642522.5401,74626680.4398,74648044.9428,-185536.1247,74640884.7763,
