TIME_UNITS,STARLINK-11112 [DTC] - X-Coordinate,STARLINK-30845 - X-Coordinate,STARLINK-5744 - X-Coordinate,STARLINK-31573 - X-Coordinate,STARLINK-31500 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11112 [DTC] - Y-Coordinate,STARLINK-30845 - Y-Coordinate,STARLINK-5744 - Y-Coordinate,STARLINK-31573 - Y-Coordinate,STARLINK-31500 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11112 [DTC] - Z-Coordinate,STARLINK-30845 - Z-Coordinate,STARLINK-5744 - Z-Coordinate,STARLINK-31573 - Z-Coordinate,STARLINK-31500 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
32400.000,2759.8047,4949.0784,1071.6094,5033.9224,-1827.8399,183158.3890,176690.7684,168748.8773,167902.7808,172825.7664,171293.7092,175928.9552,171815.0043,178167627.0771,178153326.8678,178149354.4417,178141450.2810,173447.8922,178150755.6476,5700.5036,-3967.6682,4959.5754,-1250.3806,5224.2790,-330349.7709,-356909.8121,-347462.6108,-340204.5016,-346911.9228,-345762.8073,-345352.8039,-343507.1611,-91664019.1515,-91651408.0697,-91676431.4567,-91673710.0946,-344236.4933,-91665755.4648,1766.4897,-2772.7109,-4729.1566,-4420.7923,3969.5729,-16735.5004,-19082.2550,-22960.6558,-13691.4490,-21978.8344,-30092.4483,-19310.4061,-20284.7443,57918740.4384,57895678.9084,57887847.2463,57911834.3194,-20671.4413,57907350.9409,
36000.000,-3907.1053,-1308.1739,-4782.4986,-4275.0165,-1234.7812,259586.9344,260534.3291,248953.2307,249015.4989,251153.1158,251336.2989,258795.0744,256063.6965,195794168.9624,195777530.2922,195781738.0608,195774261.4255,254439.5393,195777804.0466,-795.2517,4924.7269,-3819.7723,5057.8854,-6678.1536,-272837.7615,-302840.9102,-291329.7902,-285836.8603,-293677.8650,-291053.8526,-291577.0472,-289809.3739,-42352373.7250,-42337085.4271,-42359780.4154,-42364400.9955,-289623.3570,-42353318.9110,-5236.0063,4671.3466,3245.4611,1597.3283,-581.0846,-18446.7359,-20883.7442,-24547.9417,-15702.5700,-21157.0968,-31128.9565,-24812.6634,-23027.6261,57885393.1041,57867940.5143,57853682.5322,57872903.3074,-22375.9425,57873199.7975,
39600.000,3597.9489,-2746.5157,6607.2331,1780.3902,3543.4366,318886.7108,328388.2931,313144.8473,313961.6636,314802.6110,315159.6761,323606.7401,317561.3938,200037750.0268,200017869.9556,200027847.5685,200024429.2915,319105.5697,200021368.3897,-4755.1685,-5182.3472,2085.1398,-6105.6801,4824.2453,-198374.1860,-229189.0870,-216564.7880,-212780.0844,-221070.5593,-218196.3967,-217916.0231,-216696.0455,9831231.9897,9846995.0403,9831013.8797,9823584.4305,-216391.4669,9831205.8691,2767.0380,-3677.6067,191.3372,2433.0952,-3266.3674,-20199.0246,-22714.0247,-25551.2182,-18226.0508,-20653.1695,-31489.6957,-29515.2160,-23147.1196,57851265.1150,57840762.8327,57820707.8633,57834226.9310,-24078.5247,57839057.6643,
43200.000,-1156.4159,5415.6895,-5945.7262,2146.0291,-4977.3739,357520.5573,375761.5443,357285.1582,358665.4440,358699.7118,358919.2131,367166.1365,364426.5501,190614273.7868,190591718.1809,190602855.3197,190601506.3368,363285.5306,190597357.5843,5828.4656,4290.8664,515.7648,4531.2533,-547.3242,-111838.5136,-140603.5144,-127986.4032,-125726.1559,-134351.8514,-131702.5107,-130307.1777,-128578.6129,61320495.2939,61334207.4535,61327723.7558,61323133.4759,-129243.8564,61321239.9967,2811.2619,373.8520,-3533.9263,-4617.0092,4615.2867,-21988.6860,-24564.1728,-26157.7455,-21339.5116,-20718.2034,-31100.6037,-33298.5851,-26946.6708,57816355.5755,57813371.6512,57789118.8228,57798891.2844,-25779.0360,57804924.5615,
46800.000,-3218.6167,-5886.1905,3528.3368,-5720.8457,5190.7514,373285.1744,399484.1321,378604.9555,380543.9122,379621.5571,380117.3381,387096.9133,383345.6914,168173424.9423,168149992.9969,168156810.0900,168152656.8869,384135.7727,168155597.6933,-2366.0724,-1816.6166,-3650.9859,-1735.8279,-3663.7826,-18782.9754,-42722.7499,-31235.6036,-30335.7562,-39176.3732,-36659.4217,-34760.8037,-34685.3267,108598075.6771,108608069.4256,108610747.4089,108606384.9611,-33779.6220,108599205.6397,-5230.2058,3141.7421,4709.1112,3261.4415,-2472.7788,-23812.8787,-26428.1879,-26660.5572,-25177.7680,-21301.3343,-29845.5671,-36304.2639,-26105.1025,57780714.7893,57784980.0011,57759039.5378,57770056.4610,-27477.3248,57770800.5092,
50400.000,6107.7420,4693.9967,-713.8689,6706.1728,-3389.1575,365420.2310,397916.0998,375740.5105,379098.6112,376029.8537,378007.7728,382404.6633,380569.8729,134253903.2822,134231772.6329,134230110.9289,134227366.1561,380312.7254,134235028.7933,-1726.7332,-1908.0830,6191.3341,-1045.5837,5704.7590,74918.4779,58187.4483,67555.1695,66722.2068,58318.6708,62141.7059,62493.7917,64702.3383,148435839.6289,148441931.4300,148449978.7931,148438960.9411,63866.2925,148436833.0220,1716.7355,-4718.3551,-3040.6253,573.1641,-1566.3324,-25669.4001,-28301.7519,-27379.8873,-29795.7388,-22362.5077,-27857.6347,-38620.2089,-30711.8220,57744441.0037,57755199.3036,57730381.2310,57742591.0446,-29173.2404,57736685.5276,
54000.000,-3949.1532,-2764.3765,-1689.1914,-4298.1916,-405.9539,334627.9848,371058.6423,348814.7684,354738.3326,348051.1533,353165.7044,353595.2362,352129.8770,91177956.5540,91158887.7541,91147823.2859,91153019.2145,352059.5786,91158174.8708,3710.0428,5387.2506,-6705.9257,3480.1279,-5183.9600,163433.0442,155640.2113,162103.9540,156806.3166,151855.5082,159904.5987,155269.9308,156682.0282,178115261.5402,178118583.7471,178126131.0921,178110607.1413,157417.8811,178115597.0383,3718.9961,3340.2306,-497.1667,-3984.0413,4397.5566,-27556.5513,-30181.5744,-28577.3080,-32173.3783,-23886.8639,-29506.4702,-40287.4974,-29207.8417,57707674.0477,57724051.1875,57702649.7712,57712106.2303,-30866.6323,57702579.6369,
57600.000,-1973.6483,632.7469,3547.0791,-56.9456,4611.7093,283004.3903,320559.0070,299462.4169,305259.5108,297427.3330,303125.6430,302634.8596,300831.3272,41892432.1654,41877343.2555,41859646.1902,41873786.0184,301190.7746,41872123.1295,-3836.2027,-6889.4175,4650.1875,-5247.3123,3161.9343,241321.5626,243350.3284,246341.5230,237592.6367,235421.6764,245226.0719,237764.6139,241141.0066,195612937.8336,195615423.2780,195617040.5023,195603868.3099,240861.9878,195612231.2543,-4969.8188,100.3284,3710.3062,4337.5377,-3902.4881,-29473.0449,-32065.0173,-30385.5886,-31337.7222,-25884.3817,-34994.9356,-41310.0586,-34277.9739,57670586.2776,57691745.1676,57674905.3341,57678539.3014,-32557.3509,57668482.8572,
61200.000,6069.9622,1800.4737,-5029.4523,3815.4654,-6775.9246,213887.9805,249607.9429,230778.0420,235672.8147,227385.8228,232480.3809,232797.5543,231392.9693,-10232783.3688,-10243952.4337,-10263245.9933,-10244458.2762,230975.3029,-10253099.4070,2463.6747,5695.7053,-920.3123,5470.5379,-603.1673,303859.6887,315645.6770,314795.4169,304552.2996,303675.8570,313342.9011,304897.0276,308836.5964,199738554.5876,199742417.2768,199735306.7687,199730124.0326,308835.3102,199736659.5909,581.5661,-3499.6506,-4686.9099,-1390.2263,426.4201,-31417.9385,-33949.8627,-32773.0734,-30819.3064,-28393.3481,-39682.5465,-41655.9399,-32488.7935,57633371.4167,57658517.1471,57646117.7141,57642541.4021,-34245.2467,57634395.2086,
64800.000,-4765.3376,-4353.6815,5714.3470,-5402.8608,5536.4804,131637.5322,162735.7841,147159.5812,151053.8699,142428.3556,146972.9598,148404.0902,145676.5436,-61635159.7831,-61643412.3759,-61659256.9110,-61642740.0264,145926.3182,-61654958.0754,841.1348,-2597.0209,-2742.1437,-3212.5423,-2115.3402,347309.2580,367840.0778,362974.9864,352405.5470,352334.3793,360854.4990,352613.8633,356445.5253,190215895.9676,190223195.5690,190207719.3883,190212109.2552,356969.5537,190212942.4260,4444.9534,4699.6603,2798.7575,-2635.1570,3356.9573,-33390.5837,-35834.1582,-35552.1258,-30868.9689,-31491.3870,-43450.1085,-41251.0733,-37624.9678,57596232.0101,57624569.5226,57615661.0053,57604744.5971,-35930.1713,57600316.7112,
68400.000,224.5558,6194.9974,-4824.3707,4874.6499,-1796.5952,41353.4169,65520.0725,54032.3336,56926.6317,48082.2265,52479.2592,54407.8259,51517.0652,-108803006.6052,-108810141.7400,-108819032.7866,-108811637.0256,51510.6451,-108821895.2692,-4827.3830,-775.1819,4915.4707,-1059.4201,4698.3915,369124.7709,396542.8317,387713.4315,377681.2853,378566.0927,385137.6470,378166.7538,382873.8951,167701371.3599,167713660.7361,167692390.6005,167703157.9732,382172.4906,167697731.3417,-4466.9072,-2989.7255,770.5357,4631.8841,-4604.2688,-35390.5795,-37716.1048,-38429.3740,-31435.8239,-35313.3091,-46439.1126,-39979.3481,-35961.3232,57559366.3090,57590061.5146,57583433.1080,57565886.4408,-37611.9765,57566247.3852,
72000.000,3255.0649,-6077.6962,1957.9286,-3152.9225,-2171.1768,-51439.6207,-35776.4323,-42532.6561,-40637.2022,-49053.3859,-44839.3097,-44469.2970,-45694.4160,-148515403.9528,-148523777.6955,-148524184.5034,-148530143.2820,-46203.1006,-148533226.4150,5686.2954,3254.8259,-5396.2078,5183.0894,-6019.9516,368084.0685,399884.3034,387413.6780,378567.5548,381601.3410,384924.5754,380530.0055,381911.0888,133738808.4497,133756863.4452,133733256.8817,133742537.1054,382826.8199,133734998.7318,-582.8952,-603.2488,-3893.1308,-3103.0296,2339.3114,-37417.7103,-39593.9690,-41084.2950,-32479.8179,-39913.8474,-48737.5068,-37974.0664,-40758.5681,57522955.4326,57555115.2234,57549644.8823,57527309.1151,-39290.5149,57532187.2506,
75600.000,-4058.1024,3525.4067,2040.1839,697.0519,4549.3781,-141128.8858,-134613.8046,-136262.0351,-135355.5572,-140334.1055,-138793.4143,-143427.4217,-141792.7907,-178062182.6111,-178074395.2337,-178066497.0347,-178083395.2547,-140935.0916,-178079058.3822,-1468.9575,-4576.5302,4727.5691,-6730.2502,4783.3332,344336.7388,377642.3965,362157.4746,354909.2386,361576.0605,360438.9996,359989.9364,359679.0897,90653616.2627,90677261.5926,90654640.7901,90651606.7462,358894.0236,90650162.9211,4953.2198,3798.7736,4630.8784,-812.1722,1687.8909,-39471.8325,-41466.0026,-43255.0736,-33986.0951,-42271.7384,-50386.3628,-39606.3508,-39615.6945,57487151.6402,57519824.2045,57514604.1412,57492133.6765,-40965.6397,57498136.3274,
79200.000,3166.3063,542.7342,-5428.2753,2315.6747,-5086.8002,-222349.7227,-224602.3685,-221125.7171,-221141.9068,-223346.1743,-223506.9434,-230970.9429,-225234.6646,-195428920.4163,-195447455.2701,-195432609.4831,-195448104.2132,-226598.3913,-195445213.5128,-4387.3212,5104.8493,-3463.7092,4923.5381,-918.1069,299368.0927,331261.2664,313666.8025,308176.2306,315999.4398,313374.1978,313832.5565,311381.6617,41393568.2262,41421620.2174,41402577.9966,41383633.0738,311916.5473,41390868.7913,-3745.3470,-4645.6053,-2572.6438,4091.4262,-4448.0911,-41552.6106,-43330.3622,-44808.7297,-35964.6388,-41416.7930,-51389.6059,-45075.6531,-43707.8002,57452068.4714,57484260.8396,57478608.2675,57463454.0537,-42637.2045,57464094.6357,
82800.000,-892.9955,-4242.0335,6681.0927,-5185.2351,4285.1248,-290302.7938,-299921.3917,-291731.1448,-292515.6324,-293427.5558,-293759.9440,-302204.4666,-299219.6722,-199434316.6013,-199461169.8745,-199441342.3399,-199446524.3312,-297690.5396,-199450539.8888,6287.1954,-4813.8917,1514.4754,-1197.5152,-3672.0474,235879.6656,263760.7183,245139.3887,241350.6791,249634.0360,246757.7310,246403.7628,245032.3801,-10672893.8664,-10642551.4576,-10656392.4247,-10681524.5413,244918.1901,-10674674.5643,-1719.4836,2582.5660,-1071.2857,-4257.3482,3814.2839,-43658.8111,-45185.0156,-45776.7169,-38453.7406,-40878.5386,-51715.2792,-49742.9721,-43418.2983,57417773.3945,57448481.9269,57441911.5311,57436041.8380,-44305.0639,57430062.1955,
86400.000,-2756.4461,5999.5142,-5485.8155,6301.6350,-2427.8942,-341038.1697,-355701.4418,-343637.0002,-344997.2178,-345105.2845,-345302.4161,-353536.6087,-347963.8075,-189810566.5334,-189846916.9333,-189824182.9617,-189820067.3216,-349647.3957,-189827247.0605,-2884.8859,3273.8941,1239.9977,-2316.7687,6361.8355,157586.1687,179541.9747,161000.0997,158730.9921,167356.1674,164705.9957,163239.0964,162639.8374,-61987029.5161,-61957234.7240,-61965205.5053,-61987996.4077,162209.1521,-61988002.5151,5218.4764,1070.2688,4041.4756,1157.0641,-297.2662,-45786.1226,-47027.6212,-46346.4544,-41531.0286,-40907.5007,-51289.3090,-53489.3980,-46519.8566,57384283.4383,57412532.7523,57404723.8421,57405593.8281,-45969.0729,57396039.0268,
