sl_100_5400_20260221 Coordinates.csv
2026/02/21 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:54 2024,
Start: 2026/02/21 07:47:00.00, Stop: 2026/02/21 09:17:00.00,
TIME_UNITS,STARLINK-3389 - X-Coordinate,STARLINK-31934 - X-Coordinate,STARLINK-4551 - X-Coordinate,STARLINK-2470 - X-Coordinate,STARLINK-30894 - X-Coordinate,STARLINK-32004 - X-Coordinate,STARLINK-31866 - X-Coordinate,STARLINK-30707 - X-Coordinate,STARLINK-3079 - X-Coordinate,STARLINK-5575 - X-Coordinate,STARLINK-4177 - X-Coordinate,STARLINK-30798 - X-Coordinate,STARLINK-11237 [DTC] - X-Coordinate,STARLINK-3576 - X-Coordinate,STARLINK-2465 - X-Coordinate,STARLINK-31055 - X-Coordinate,STARLINK-31387 - X-Coordinate,STARLINK-4556 - X-Coordinate,STARLINK-6115 - X-Coordinate,STARLINK-1292 - X-Coordinate,STARLINK-1309 - X-Coordinate,STARLINK-30876 - X-Coordinate,STARLINK-2446 - X-Coordinate,STARLINK-1138 - X-Coordinate,STARLINK-2711 - X-Coordinate,STARLINK-5222 - X-Coordinate,STARLINK-1730 - X-Coordinate,STARLINK-30532 - X-Coordinate,STARLINK-32026 - X-Coordinate,STARLINK-2117 - X-Coordinate,STARLINK-31517 - X-Coordinate,STARLINK-4526 - X-Coordinate,STARLINK-31829 - X-Coordinate,STARLINK-4045 - X-Coordinate,STARLINK-3665 - X-Coordinate,STARLINK-1905 - X-Coordinate,STARLINK-5040 - X-Coordinate,STARLINK-32183 - X-Coordinate,STARLINK-2063 - X-Coordinate,STARLINK-5178 - X-Coordinate,STARLINK-3198 - X-Coordinate,STARLINK-1361 - X-Coordinate,STARLINK-3853 - X-Coordinate,STARLINK-3250 - X-Coordinate,STARLINK-1580 - X-Coordinate,STARLINK-31562 - X-Coordinate,STARLINK-3729 - X-Coordinate,STARLINK-2317 - X-Coordinate,STARLINK-30608 - X-Coordinate,STARLINK-31760 - X-Coordinate,STARLINK-31520 - X-Coordinate,STARLINK-4369 - X-Coordinate,STARLINK-5465 - X-Coordinate,STARLINK-5967 - X-Coordinate,STARLINK-32105 - X-Coordinate,STARLINK-4112 - X-Coordinate,STARLINK-30154 - X-Coordinate,STARLINK-4255 - X-Coordinate,STARLINK-3726 - X-Coordinate,STARLINK-4589 - X-Coordinate,STARLINK-1028 - X-Coordinate,STARLINK-5026 - X-Coordinate,STARLINK-31462 - X-Coordinate,STARLINK-3788 - X-Coordinate,STARLINK-5210 - X-Coordinate,STARLINK-1571 - X-Coordinate,STARLINK-5500 - X-Coordinate,STARLINK-1177 - X-Coordinate,STARLINK-1153 - X-Coordinate,STARLINK-31560 - X-Coordinate,STARLINK-4749 - X-Coordinate,STARLINK-5032 - X-Coordinate,STARLINK-1861 - X-Coordinate,STARLINK-1491 - X-Coordinate,STARLINK-2603 - X-Coordinate,STARLINK-3727 - X-Coordinate,STARLINK-31621 - X-Coordinate,STARLINK-4287 - X-Coordinate,STARLINK-31326 - X-Coordinate,STARLINK-31329 - X-Coordinate,STARLINK-30211 - X-Coordinate,STARLINK-3781 - X-Coordinate,STARLINK-30503 - X-Coordinate,STARLINK-3558 - X-Coordinate,STARLINK-31970 - X-Coordinate,STARLINK-31671 - X-Coordinate,STARLINK-30287 - X-Coordinate,STARLINK-6146 - X-Coordinate,STARLINK-30215 - X-Coordinate,STARLINK-2702 - X-Coordinate,STARLINK-30221 - X-Coordinate,STARLINK-31500 - X-Coordinate,STARLINK-3793 - X-Coordinate,STARLINK-30322 - X-Coordinate,STARLINK-31457 - X-Coordinate,STARLINK-11125 [DTC] - X-Coordinate,STARLINK-3244 - X-Coordinate,STARLINK-5088 - X-Coordinate,STARLINK-31606 - X-Coordinate,STARLINK-30436 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3389 - Y-Coordinate,STARLINK-31934 - Y-Coordinate,STARLINK-4551 - Y-Coordinate,STARLINK-2470 - Y-Coordinate,STARLINK-30894 - Y-Coordinate,STARLINK-32004 - Y-Coordinate,STARLINK-31866 - Y-Coordinate,STARLINK-30707 - Y-Coordinate,STARLINK-3079 - Y-Coordinate,STARLINK-5575 - Y-Coordinate,STARLINK-4177 - Y-Coordinate,STARLINK-30798 - Y-Coordinate,STARLINK-11237 [DTC] - Y-Coordinate,STARLINK-3576 - Y-Coordinate,STARLINK-2465 - Y-Coordinate,STARLINK-31055 - Y-Coordinate,STARLINK-31387 - Y-Coordinate,STARLINK-4556 - Y-Coordinate,STARLINK-6115 - Y-Coordinate,STARLINK-1292 - Y-Coordinate,STARLINK-1309 - Y-Coordinate,STARLINK-30876 - Y-Coordinate,STARLINK-2446 - Y-Coordinate,STARLINK-1138 - Y-Coordinate,STARLINK-2711 - Y-Coordinate,STARLINK-5222 - Y-Coordinate,STARLINK-1730 - Y-Coordinate,STARLINK-30532 - Y-Coordinate,STARLINK-32026 - Y-Coordinate,STARLINK-2117 - Y-Coordinate,STARLINK-31517 - Y-Coordinate,STARLINK-4526 - Y-Coordinate,STARLINK-31829 - Y-Coordinate,STARLINK-4045 - Y-Coordinate,STARLINK-3665 - Y-Coordinate,STARLINK-1905 - Y-Coordinate,STARLINK-5040 - Y-Coordinate,STARLINK-32183 - Y-Coordinate,STARLINK-2063 - Y-Coordinate,STARLINK-5178 - Y-Coordinate,STARLINK-3198 - Y-Coordinate,STARLINK-1361 - Y-Coordinate,STARLINK-3853 - Y-Coordinate,STARLINK-3250 - Y-Coordinate,STARLINK-1580 - Y-Coordinate,STARLINK-31562 - Y-Coordinate,STARLINK-3729 - Y-Coordinate,STARLINK-2317 - Y-Coordinate,STARLINK-30608 - Y-Coordinate,STARLINK-31760 - Y-Coordinate,STARLINK-31520 - Y-Coordinate,STARLINK-4369 - Y-Coordinate,STARLINK-5465 - Y-Coordinate,STARLINK-5967 - Y-Coordinate,STARLINK-32105 - Y-Coordinate,STARLINK-4112 - Y-Coordinate,STARLINK-30154 - Y-Coordinate,STARLINK-4255 - Y-Coordinate,STARLINK-3726 - Y-Coordinate,STARLINK-4589 - Y-Coordinate,STARLINK-1028 - Y-Coordinate,STARLINK-5026 - Y-Coordinate,STARLINK-31462 - Y-Coordinate,STARLINK-3788 - Y-Coordinate,STARLINK-5210 - Y-Coordinate,STARLINK-1571 - Y-Coordinate,STARLINK-5500 - Y-Coordinate,STARLINK-1177 - Y-Coordinate,STARLINK-1153 - Y-Coordinate,STARLINK-31560 - Y-Coordinate,STARLINK-4749 - Y-Coordinate,STARLINK-5032 - Y-Coordinate,STARLINK-1861 - Y-Coordinate,STARLINK-1491 - Y-Coordinate,STARLINK-2603 - Y-Coordinate,STARLINK-3727 - Y-Coordinate,STARLINK-31621 - Y-Coordinate,STARLINK-4287 - Y-Coordinate,STARLINK-31326 - Y-Coordinate,STARLINK-31329 - Y-Coordinate,STARLINK-30211 - Y-Coordinate,STARLINK-3781 - Y-Coordinate,STARLINK-30503 - Y-Coordinate,STARLINK-3558 - Y-Coordinate,STARLINK-31970 - Y-Coordinate,STARLINK-31671 - Y-Coordinate,STARLINK-30287 - Y-Coordinate,STARLINK-6146 - Y-Coordinate,STARLINK-30215 - Y-Coordinate,STARLINK-2702 - Y-Coordinate,STARLINK-30221 - Y-Coordinate,STARLINK-31500 - Y-Coordinate,STARLINK-3793 - Y-Coordinate,STARLINK-30322 - Y-Coordinate,STARLINK-31457 - Y-Coordinate,STARLINK-11125 [DTC] - Y-Coordinate,STARLINK-3244 - Y-Coordinate,STARLINK-5088 - Y-Coordinate,STARLINK-31606 - Y-Coordinate,STARLINK-30436 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3389 - Z-Coordinate,STARLINK-31934 - Z-Coordinate,STARLINK-4551 - Z-Coordinate,STARLINK-2470 - Z-Coordinate,STARLINK-30894 - Z-Coordinate,STARLINK-32004 - Z-Coordinate,STARLINK-31866 - Z-Coordinate,STARLINK-30707 - Z-Coordinate,STARLINK-3079 - Z-Coordinate,STARLINK-5575 - Z-Coordinate,STARLINK-4177 - Z-Coordinate,STARLINK-30798 - Z-Coordinate,STARLINK-11237 [DTC] - Z-Coordinate,STARLINK-3576 - Z-Coordinate,STARLINK-2465 - Z-Coordinate,STARLINK-31055 - Z-Coordinate,STARLINK-31387 - Z-Coordinate,STARLINK-4556 - Z-Coordinate,STARLINK-6115 - Z-Coordinate,STARLINK-1292 - Z-Coordinate,STARLINK-1309 - Z-Coordinate,STARLINK-30876 - Z-Coordinate,STARLINK-2446 - Z-Coordinate,STARLINK-1138 - Z-Coordinate,STARLINK-2711 - Z-Coordinate,STARLINK-5222 - Z-Coordinate,STARLINK-1730 - Z-Coordinate,STARLINK-30532 - Z-Coordinate,STARLINK-32026 - Z-Coordinate,STARLINK-2117 - Z-Coordinate,STARLINK-31517 - Z-Coordinate,STARLINK-4526 - Z-Coordinate,STARLINK-31829 - Z-Coordinate,STARLINK-4045 - Z-Coordinate,STARLINK-3665 - Z-Coordinate,STARLINK-1905 - Z-Coordinate,STARLINK-5040 - Z-Coordinate,STARLINK-32183 - Z-Coordinate,STARLINK-2063 - Z-Coordinate,STARLINK-5178 - Z-Coordinate,STARLINK-3198 - Z-Coordinate,STARLINK-1361 - Z-Coordinate,STARLINK-3853 - Z-Coordinate,STARLINK-3250 - Z-Coordinate,STARLINK-1580 - Z-Coordinate,STARLINK-31562 - Z-Coordinate,STARLINK-3729 - Z-Coordinate,STARLINK-2317 - Z-Coordinate,STARLINK-30608 - Z-Coordinate,STARLINK-31760 - Z-Coordinate,STARLINK-31520 - Z-Coordinate,STARLINK-4369 - Z-Coordinate,STARLINK-5465 - Z-Coordinate,STARLINK-5967 - Z-Coordinate,STARLINK-32105 - Z-Coordinate,STARLINK-4112 - Z-Coordinate,STARLINK-30154 - Z-Coordinate,STARLINK-4255 - Z-Coordinate,STARLINK-3726 - Z-Coordinate,STARLINK-4589 - Z-Coordinate,STARLINK-1028 - Z-Coordinate,STARLINK-5026 - Z-Coordinate,STARLINK-31462 - Z-Coordinate,STARLINK-3788 - Z-Coordinate,STARLINK-5210 - Z-Coordinate,STARLINK-1571 - Z-Coordinate,STARLINK-5500 - Z-Coordinate,STARLINK-1177 - Z-Coordinate,STARLINK-1153 - Z-Coordinate,STARLINK-31560 - Z-Coordinate,STARLINK-4749 - Z-Coordinate,STARLINK-5032 - Z-Coordinate,STARLINK-1861 - Z-Coordinate,STARLINK-1491 - Z-Coordinate,STARLINK-2603 - Z-Coordinate,STARLINK-3727 - Z-Coordinate,STARLINK-31621 - Z-Coordinate,STARLINK-4287 - Z-Coordinate,STARLINK-31326 - Z-Coordinate,STARLINK-31329 - Z-Coordinate,STARLINK-30211 - Z-Coordinate,STARLINK-3781 - Z-Coordinate,STARLINK-30503 - Z-Coordinate,STARLINK-3558 - Z-Coordinate,STARLINK-31970 - Z-Coordinate,STARLINK-31671 - Z-Coordinate,STARLINK-30287 - Z-Coordinate,STARLINK-6146 - Z-Coordinate,STARLINK-30215 - Z-Coordinate,STARLINK-2702 - Z-Coordinate,STARLINK-30221 - Z-Coordinate,STARLINK-31500 - Z-Coordinate,STARLINK-3793 - Z-Coordinate,STARLINK-30322 - Z-Coordinate,STARLINK-31457 - Z-Coordinate,STARLINK-11125 [DTC] - Z-Coordinate,STARLINK-3244 - Z-Coordinate,STARLINK-5088 - Z-Coordinate,STARLINK-31606 - Z-Coordinate,STARLINK-30436 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-793.2485,3848.6250,-1687.9002,-937.2791,0.0000,2873.3957,6272.1660,-6082.2525,-4814.2177,-1638.9922,3106.5097,4192.3593,260.0314,-3883.1209,-1999.8455,-5391.0004,5918.5418,6148.3875,-6152.8550,776.7923,-4345.7570,4413.0673,-4159.7992,-5437.1413,-4333.2632,-2934.8189,4623.5525,1288.6456,4074.8583,2788.2004,-1868.0536,-3790.2480,-3063.5558,-2284.9191,-4142.7492,443.8436,1401.5567,5690.9747,-5004.6812,2654.5119,-4642.6748,4618.2699,431.3013,-4707.5764,-868.4432,-3867.7809,-3424.0612,1177.5599,-5144.8714,4377.1137,-2204.0163,-2290.5837,-5858.2428,3072.7301,-6528.4254,1757.8569,-6224.5764,-2740.1226,-4977.3069,-3986.3610,5829.6529,-6431.0883,6796.6727,-1404.7855,3390.1890,3951.6617,-5997.8167,-4221.5295,-1659.8044,5756.6901,0.0000,1852.5725,-4213.7454,-6881.4072,1384.9784,-3393.4158,-1460.0193,183.0722,2864.7380,-2140.8359,5700.7947,4331.6046,-3252.6610,4646.2359,64.1292,4129.6376,-4917.2996,1176.3566,3907.9761,6605.9225,4570.8080,-6644.5562,6643.8770,5102.9454,5654.5058,2585.3163,5304.7149,5068.9395,-6333.1514,-680.0762,122638.3556,110376.2363,122274.8813,126319.9596,118221.4194,121203.4291,124636.0157,124380.2712,-183029148.3444,-183066408.7431,-183017706.4708,-183031484.6990,124489.8444,-183031432.7143,6831.0744,-5594.8009,5103.5521,-5610.3678,0.0000,5225.5238,-1981.4669,2612.8792,3517.9820,5322.0685,2893.4421,-2868.6563,-5060.0247,-4188.5398,3871.1359,3658.7773,1850.8121,-1907.9962,-946.7409,5792.8377,-4182.0268,2528.8545,5051.1146,4027.5213,2307.2623,-5259.6635,4665.5134,4971.1829,-4656.0224,-3790.2942,3820.4796,-1960.1483,-3068.3066,-5105.4356,-541.0528,6561.6782,-5072.2700,2847.8012,-3463.6700,-3228.5455,-102.3778,-3179.0046,-4144.3348,-5015.7925,6551.8238,-4710.1995,-2365.5149,-6071.1831,775.0646,2379.7946,4498.1188,199.1508,-160.3900,2862.7030,893.8032,3913.8473,-966.4468,6140.9945,231.1171,5219.0654,3394.7812,2534.0875,251.4788,-6497.8463,5828.6852,1376.2180,-1135.1260,-725.6081,-4823.2052,-163.8324,0.0000,5986.1487,2871.1587,-193.6218,-4052.6768,-2386.0693,-4836.4266,-5806.9080,5920.2696,5332.1957,849.8280,-2324.8919,3980.2714,-679.6966,-6445.2623,4718.5982,1403.7959,-6643.1629,-5098.3583,1013.3303,2182.8050,1451.7537,670.7361,-3006.8216,2121.0355,3309.6089,4421.8752,2441.7468,584.0730,6650.2455,343204.3083,332436.0891,349756.1063,349490.8636,346784.8795,347656.3256,339902.9795,345774.3552,286423939.5802,286410945.6805,286441614.1100,286446686.4884,344119.8283,286441027.3712,-268.5459,541.6975,-4348.6466,3881.5254,0.0000,3300.5343,1792.4539,-1780.4849,3489.4176,-4123.3828,-5454.5980,-4695.7889,4405.2806,3892.6119,5331.7619,2109.6420,-2835.1302,-2523.2381,3031.9643,3688.2403,3360.6538,-4717.4389,2140.2166,-1447.6366,4815.7168,3376.9124,-2066.6765,-4662.9160,2954.3702,5057.0813,5373.1333,5418.4370,5314.2895,-4073.3938,5501.9472,1760.0829,4468.3786,2103.5677,3315.0579,5481.5124,5117.8144,-4061.2366,-5522.8891,651.0013,1952.9918,-3070.2615,5500.7365,-3062.4510,4577.8355,4641.2742,4623.9307,-6555.1634,3659.4217,5521.9629,1749.8355,-5424.8434,2907.6670,1594.7478,4745.6664,-2175.0389,1453.7291,-569.7142,492.5534,1885.0428,-1481.5392,-5470.1187,3321.4597,-5427.8596,-4674.4644,3648.4437,0.0000,-2936.4055,-4637.0917,640.1072,5400.4984,5516.0766,4589.4140,3717.5097,-1927.5071,3743.6939,3836.0253,-4821.0809,-4653.5295,-5083.2654,2201.2561,2681.5994,4672.5539,1608.9127,2597.9338,-1776.7560,4716.9174,-482.2728,-1804.2139,-3390.9921,-3177.2181,5259.8112,-493.7237,4008.5090,-2497.2298,-1827.1678,73296.5627,73021.9882,72742.5360,78935.6512,78427.6269,67805.3408,66678.5022,73166.1500,-90907960.7874,-90933717.3669,-90926726.0235,-90912067.6860,73769.8561,-90918922.9781,
300.000,430.0942,2478.7288,220.5027,-2259.8913,0.0000,3603.6650,5108.4631,-4854.2335,-3068.5453,94.9241,4120.4481,2698.6804,-1381.5169,-5377.2455,-359.4131,-4850.5846,6651.3271,6059.4778,-5555.8246,2289.2298,-4556.5562,5363.1324,-2608.6198,-4133.5659,-4049.7112,-4398.6099,4939.8263,3211.0243,2355.1199,680.2199,-122.4826,-4194.6277,-4751.0577,-3925.1816,-4485.6159,1662.3608,3.5000,5473.3610,-4929.5542,1077.6580,-3725.8600,4259.6089,-1734.3153,-5235.6997,354.8835,-5360.6347,-4666.0742,-384.0041,-4938.3990,5176.3502,-947.1597,-310.0894,-6456.2081,1263.3352,-6362.7675,3747.3460,-6734.5332,-1648.9793,-5534.3707,-3117.4536,6480.3733,-5455.8336,6392.9469,-2470.1782,4469.1963,4721.5170,-4871.7804,-4807.3459,-2940.9165,6027.8959,0.0000,3245.3916,-3788.1972,-6405.7162,-490.3710,-4601.4601,-3483.3691,-1342.0903,4063.8816,-565.1738,6293.1084,4052.0068,-1328.2289,4933.3640,-1531.7096,4827.1944,-3924.9186,-329.2179,2751.1284,6027.1431,5324.8658,-6087.6511,5988.0808,3415.0276,6530.9367,4402.0793,5714.3711,6276.6194,-5361.1941,852.5931,115690.5693,103333.6080,115081.2531,119038.6891,110888.9413,113839.3984,117351.8906,116880.2121,-189238370.1604,-189274903.7789,-189226774.3657,-189241438.0879,117190.1923,-189240632.7091,6691.7131,-6265.7635,4525.3734,-4230.4669,0.0000,3571.0823,-3269.7146,3463.9280,4034.5887,6166.2036,967.4227,-4420.4880,-5790.6281,-3617.1607,5112.5590,4825.6604,331.2590,-3231.9962,867.3258,6155.6020,-2396.8158,630.4806,5202.7921,4607.4513,4159.3260,-5021.1042,3156.3759,4000.7524,-4785.8172,-4121.8069,4968.6548,182.6864,-1888.0966,-5048.8705,1556.4968,5677.9795,-6133.8124,1266.7838,-1684.5241,-4649.3841,1832.5400,-4781.0337,-4009.4050,-3815.3445,6882.2830,-3844.2997,-632.0978,-5315.9845,2829.5185,367.2384,5828.8990,-879.7787,1263.7857,1915.4593,2444.4627,3318.1518,630.6803,6710.4022,1990.8276,6160.5956,2352.0139,3760.3231,-1276.6089,-5439.0870,5249.4545,-604.0877,-144.6003,1275.4014,-3210.9084,-1989.4636,0.0000,5979.4289,4631.5550,1031.3109,-4964.5693,-617.1746,-4222.0563,-4722.5919,5515.3179,6314.4280,-914.2577,-4169.9535,4947.4032,-2599.3137,-6599.1440,2975.5922,3318.3179,-6928.8338,-6250.1410,-352.2216,183.2668,2872.7590,-660.3137,-3694.8873,611.9258,2258.3803,3199.2613,1347.6388,2147.3457,6868.7095,345180.4821,334740.1415,352330.5271,351961.3293,349295.7520,350180.3664,342494.7380,348366.2015,282361015.7783,282347418.1742,282379275.4373,282383732.4865,346638.0363,282378183.5770,1540.0457,-1015.1841,-5223.6475,4938.7979,0.0000,4548.7493,3108.7385,-3382.7931,4690.9356,-3158.6070,-5464.9101,-4586.1179,3109.5129,2409.2919,4599.8040,332.7405,-1458.2009,-791.7836,4038.0362,2158.5554,4596.9829,-4354.8229,3673.2237,-3095.6452,3689.7302,1774.8362,-3614.7557,-4669.1918,4305.1512,5499.8783,4718.9122,5471.2138,4573.7263,-2640.3325,5018.9678,3363.9423,3171.8290,3652.1204,4567.8390,4974.7000,5522.8613,-2630.0376,-5365.0530,2396.2041,172.0138,-1744.3017,5041.1388,-4384.9291,3955.3586,4409.3380,3409.3075,-6884.1307,2117.9324,6544.9538,228.4213,-4773.3885,1550.3598,-208.0615,3574.8725,-409.9338,-351.8166,-2053.0717,1992.4593,3468.3327,326.7492,-4977.4273,4949.5913,-4803.4461,-5377.5101,2492.4661,0.0000,-1259.2353,-3419.6595,2381.9966,4757.4157,5107.5999,4079.0664,4841.5650,-137.3711,2619.7009,2741.7233,-3687.6735,-4673.1593,-4097.7700,724.4177,3785.0321,4643.8661,89.4852,1185.3468,-3374.6774,4418.5213,1072.9912,-3401.6116,-4612.3766,-1877.0649,4565.6096,-2251.6962,2557.3817,-3653.3237,-322.7984,73546.5130,73143.2042,72968.8445,78936.9626,78693.0939,68135.0759,66659.7192,73770.8979,-90902603.6424,-90928421.5835,-90920761.3029,-90906306.3265,73905.3282,-90913444.6816,
600.000,1627.5073,846.6435,2139.4383,-3407.0987,0.0000,4012.0700,3423.4398,-3123.5047,-1008.6613,1794.4724,4779.7132,976.0278,-2843.0606,-6327.4440,1276.0975,-3815.5203,6707.2523,5371.2034,-4444.7172,3553.4525,-4361.3666,5829.0587,-770.2478,-2404.5725,-3397.5808,-5410.5421,4794.5200,4843.4202,372.8252,-1493.7426,1596.5414,-4240.7715,-5973.2089,-5158.6065,-4436.0557,2745.8476,-1361.5721,4682.4859,-4412.5954,-562.6076,-2491.8106,3505.6804,-3728.2775,-5262.3702,1540.5070,-6301.7542,-5482.3749,-1948.3843,-4291.0320,5484.7410,370.1416,1746.2390,-6420.4513,-631.8685,-5548.5501,5368.6843,-6598.5554,-391.1897,-5562.8929,-1942.3420,6483.6414,-3947.6200,5338.8288,-3328.5553,5103.2904,5065.5457,-3277.2256,-4963.5590,-3985.5455,5701.1469,0.0000,4304.0474,-3019.7785,-5294.8044,-2282.8659,-5393.2156,-5154.9190,-2779.8041,4845.3755,1043.1334,6289.1806,3404.5405,704.2617,4771.8522,-2963.9281,5069.1342,-2592.3556,-1802.0220,1338.4982,4863.4321,5598.7330,-4905.6218,4749.8856,1370.5401,6745.9373,5759.4650,5575.4064,6860.8635,-3859.3245,2299.4179,108781.7748,96243.7822,107837.4519,111707.7485,103507.8000,106426.2468,110013.6668,109354.0560,-195357438.6084,-195393234.7412,-195345721.8327,-195361231.8586,109839.7445,-195359682.9258,5877.2778,-6300.7058,3547.5799,-2446.6374,0.0000,1542.7198,-4254.7911,3999.4001,4201.6828,6429.2293,-1025.3761,-5570.7503,-5912.9049,-2711.6443,5872.4707,5494.9580,-1208.0403,-4226.2271,2626.3206,5919.1241,-354.3201,-1303.6554,4864.0289,4761.7114,5579.7452,-4296.8590,1309.0605,2684.4785,-4471.3331,-4105.4117,5647.3097,2295.9941,-564.8727,-4515.3363,3480.8988,4207.4901,-6596.4405,-485.7983,286.6142,-5639.3667,3618.4435,-5896.9442,-3538.0489,-2216.9903,6520.7880,-2602.9739,1124.2757,-4057.5441,4602.0443,-1662.1740,6565.5380,-1777.9669,2540.0431,684.8242,3743.4695,2447.1171,2152.7430,6611.2679,3521.6838,6486.8703,1070.0811,4641.8255,-2693.8438,-3838.4446,4141.7903,-2494.6644,920.7059,3123.8115,-1307.2671,-3594.1876,0.0000,5386.5666,5917.3112,2180.3295,-5421.2463,1174.2276,-3219.2563,-3194.1760,4546.1142,6673.6125,-2567.9744,-5583.2855,5476.6200,-4238.7173,-6079.8251,921.0604,4930.8463,-6543.9527,-6792.8308,-1718.2731,-1813.3035,4010.3845,-1962.2804,-4054.1106,-941.5101,1015.1957,1641.3089,148.1131,3526.7629,6420.4403,347084.7753,336895.8272,354746.6279,354274.8647,351649.6338,352544.8369,344933.4066,350657.1590,278163515.8122,278149333.3127,278182366.5052,278186144.9642,349001.3868,278180764.9481,3179.9155,-2457.6293,-5536.8323,5457.7291,0.0000,5285.4868,4075.1287,-4611.1469,5385.7644,-1855.3576,-4887.0218,-3983.4112,1448.1747,665.9920,3366.7038,-1481.1205,82.8743,1025.1726,4610.6482,395.8228,5335.7918,-3527.7781,4804.8597,-4410.8029,2159.9202,-19.3955,-4768.6517,-4177.5896,5180.1548,5349.3236,3543.2168,4931.1651,3329.0144,-923.0246,3994.6949,4587.7517,1531.9543,4766.7359,5331.7844,3927.8579,5332.8630,-916.1389,-4631.2470,3882.0897,-1627.7279,-222.5186,4035.3564,-5232.6554,2909.7470,3680.5679,1811.6355,-6484.8469,347.5883,6871.7728,-1318.7139,-3608.6112,27.4885,-1988.4235,2013.4891,1399.3600,-2119.2194,-3317.0339,3268.0409,4676.6579,2099.5429,-3942.8261,6052.3888,-3662.0572,-5503.4349,1056.2938,0.0000,553.5703,-1830.0013,3866.5836,3597.6550,4146.7702,3112.2166,5440.2550,1667.9763,1206.3359,1353.0401,-2151.8397,-4193.8978,-2671.9168,-834.1663,4463.1599,4117.9141,-1439.5261,-354.3060,-4609.1637,3645.8273,2507.3683,-4632.9680,-5317.7963,-366.1533,3339.3360,-3767.8853,829.8858,-4401.6930,1216.1881,73812.8368,73264.4230,73196.8837,78933.0717,78954.8771,68470.6640,66646.3793,74386.3481,-90897251.2154,-90923125.1077,-90914789.1266,-90900581.5320,74040.7479,-90907966.2011,
