sl_20_5400_20260403 Coordinates.csv
2026/04/03 07:47:00.0000 UTC

Generated: Tue Oct  8 14:47:27 2024,
Start: 2026/04/03 07:47:00.00, Stop: 2026/04/03 09:17:00.00,
TIME_UNITS,STARLINK-3964 - X-Coordinate,STARLINK-2499 - X-Coordinate,STARLINK-30586 - X-Coordinate,STARLINK-31515 - X-Coordinate,STARLINK-3672 - X-Coordinate,STARLINK-30066 - X-Coordinate,STARLINK-2092 - X-Coordinate,STARLINK-4055 - X-Coordinate,STARLINK-4258 - X-Coordinate,STARLINK-3548 - X-Coordinate,STARLINK-32287 - X-Coordinate,STARLINK-1664 - X-Coordinate,STARLINK-5618 - X-Coordinate,STARLINK-5656 - X-Coordinate,STARLINK-11228 [DTC] - X-Coordinate,STARLINK-31320 - X-Coordinate,STARLINK-1567 - X-Coordinate,STARLINK-11237 [DTC] - X-Coordinate,STARLINK-1332 - X-Coordinate,STARLINK-4268 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3964 - Y-Coordinate,STARLINK-2499 - Y-Coordinate,STARLINK-30586 - Y-Coordinate,STARLINK-31515 - Y-Coordinate,STARLINK-3672 - Y-Coordinate,STARLINK-30066 - Y-Coordinate,STARLINK-2092 - Y-Coordinate,STARLINK-4055 - Y-Coordinate,STARLINK-4258 - Y-Coordinate,STARLINK-3548 - Y-Coordinate,STARLINK-32287 - Y-Coordinate,STARLINK-1664 - Y-Coordinate,STARLINK-5618 - Y-Coordinate,STARLINK-5656 - Y-Coordinate,STARLINK-11228 [DTC] - Y-Coordinate,STARLINK-31320 - Y-Coordinate,STARLINK-1567 - Y-Coordinate,STARLINK-11237 [DTC] - Y-Coordinate,STARLINK-1332 - Y-Coordinate,STARLINK-4268 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3964 - Z-Coordinate,STARLINK-2499 - Z-Coordinate,STARLINK-30586 - Z-Coordinate,STARLINK-31515 - Z-Coordinate,STARLINK-3672 - Z-Coordinate,STARLINK-30066 - Z-Coordinate,STARLINK-2092 - Z-Coordinate,STARLINK-4055 - Z-Coordinate,STARLINK-4258 - Z-Coordinate,STARLINK-3548 - Z-Coordinate,STARLINK-32287 - Z-Coordinate,STARLINK-1664 - Z-Coordinate,STARLINK-5618 - Z-Coordinate,STARLINK-5656 - Z-Coordinate,STARLINK-11228 [DTC] - Z-Coordinate,STARLINK-31320 - Z-Coordinate,STARLINK-1567 - Z-Coordinate,STARLINK-11237 [DTC] - Z-Coordinate,STARLINK-1332 - Z-Coordinate,STARLINK-4268 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4448.0580,3843.6860,-6677.1958,-1303.1375,-3492.8924,-6916.0464,6551.0561,3614.2863,-4239.7218,-4315.4202,6047.6127,-2835.2850,-2146.7857,2202.3028,-3333.1672,4704.5002,1059.6998,3038.8998,4070.1567,3783.1281,94288.0552,100027.1070,88674.9136,91831.4395,87351.4946,89045.4004,96683.4319,92562.1239,-231880177.8013,-231901778.5195,-231885719.5291,-231897241.4117,93877.1387,-231895033.6852,-475.7514,1639.3706,-1423.1315,6697.2896,-5003.0330,282.0444,2124.6258,-2453.6717,2531.8906,878.7274,-927.7568,-3479.2834,6454.6130,-6203.0444,-2911.6294,-4153.1547,4155.4669,-5994.2457,-2308.0151,-5669.4899,-356865.8465,-387270.1377,-370514.2434,-368325.1279,-375617.1174,-373103.6008,-376753.1790,-372551.0778,251822483.2811,251783345.3128,251834951.1336,251817677.9423,-373645.4232,251829809.8007,5265.7095,-5438.6996,-1259.3342,218.4159,-3273.2450,301.5394,314.2806,5348.6043,-4878.6294,5321.9323,-3014.4144,-5234.0715,1329.3765,2123.5325,-5093.1448,-2717.6581,5343.3594,-8.0671,-5105.7406,1124.3823,-95840.9959,-96829.8521,-99284.0218,-93302.0992,-93624.9568,-104220.1388,-105519.4878,-98768.3141,-17685140.5446,-17709679.6999,-17710670.1151,-17700523.3321,-98355.7733,-17697099.0310,
300.000,4688.4426,4249.7526,-6934.7363,229.4576,-4898.1491,-6587.4949,6672.3756,2785.4400,-3874.1192,-3145.1192,6263.5010,-3840.0200,-1295.8322,447.9361,-4982.7172,4095.8391,2907.5430,1786.0315,2295.8156,2749.6525,101731.1087,108176.2014,96609.9223,99761.0362,95216.0588,96879.8076,104530.6047,100296.5290,-237322310.2975,-237342927.1247,-237327885.1779,-237338801.5786,101761.7143,-237337178.8367,-2475.7047,-506.6985,68.7332,6693.4302,-4603.5266,1760.8376,899.3648,-4328.4380,4360.9316,2706.1491,-2337.6705,-1564.8380,5944.0181,-6020.1613,-1750.5165,-5381.4280,2986.1849,-6219.3987,-3494.3319,-6301.1478,-354831.5910,-385174.9982,-368315.5789,-366260.5170,-373551.9889,-371050.7859,-374597.0645,-370578.4122,246699499.9951,246660366.0959,246712595.8819,246694883.6894,-371554.4214,246706904.6138,4432.8512,-5359.2134,276.8591,-1327.6011,-1656.5149,-1237.0055,-1490.7755,4605.9749,-3761.9749,5522.7229,-1342.8355,-5508.3789,3313.4958,3371.6322,-4198.8031,-1003.7874,5437.9832,1806.2369,-5520.7659,-691.9988,-95991.2539,-96961.0675,-99314.3800,-93561.7992,-93620.9237,-104146.3056,-105794.0579,-98412.2820,-17678660.5810,-17703323.8921,-17703765.1566,-17694308.9840,-98478.9062,-17690555.0643,
600.000,4508.3997,4283.3410,-6522.2017,1751.5503,-5807.4228,-5618.6764,6128.5946,1730.6631,-3169.1117,-1712.8999,5835.5658,-4517.8883,-271.6238,-1374.7839,-6112.7544,3074.4960,4493.0511,319.8147,323.0596,1434.6771,109130.4246,116280.7295,104501.1273,107646.4577,103037.0267,104672.2275,112327.7164,108108.0635,-242651295.4060,-242670931.9625,-242656933.9212,-242667221.6641,109599.8012,-242666180.4009,-4209.1799,-2587.6835,1556.6816,6011.2372,-3763.0609,3080.5424,-432.3618,-5780.1955,5751.9636,4300.7284,-3490.9628,481.2984,4841.6242,-5271.0703,-448.8406,-6048.6063,1564.3698,-5777.6067,-4391.2687,-6307.1856,-352643.7494,-382906.6561,-365952.8967,-364030.5283,-371320.7671,-368833.9853,-372275.4799,-368520.9632,241458936.7817,241419829.4091,241472657.1359,241454551.4562,-369297.0498,241466419.0581,3121.9468,-4689.3293,1783.4724,-2724.8319,138.3095,-2642.9357,-3133.6550,3365.9399,-2244.5545,5127.9888,479.7775,-5185.3675,4942.3844,4256.2769,-2818.0646,822.1110,4931.8162,3408.1359,-5344.9431,-2433.5447,-96141.6821,-97092.4195,-99343.0907,-93826.5917,-93620.4601,-104066.4808,-106063.1107,-98061.4928,-17672186.0021,-17696967.6618,-17696850.0686,-17688087.5788,-98601.9823,-17684011.1041,
900.000,3911.6467,3932.7760,-5480.0142,3122.0039,-6140.8231,-4104.0725,4981.5825,541.2177,-2176.6361,-158.3527,4797.4314,-4796.8493,839.9934,-3093.8106,-6595.3563,1727.5501,5650.0745,-1216.4230,-1653.0867,-47.4913,116482.8808,124336.9918,112345.0461,115484.3193,110810.7459,112419.5417,120071.3777,115997.5353,-247864593.3514,-247883253.7928,-247870325.9278,-247879964.4943,117387.8890,-247879498.5799,-5508.6277,-4392.1122,2911.3268,4723.8696,-2547.5036,4127.0143,-1754.4743,-6660.7946,6570.5527,5499.9947,-4285.7784,2454.5929,3270.6965,-4035.3565,869.2425,-6096.2300,30.8724,-4726.7746,-4907.7234,-5697.6331,-350303.2695,-380466.0948,-363427.2605,-361636.3582,-368924.4018,-366454.0273,-369789.6992,-366357.8869,236103292.0488,236064233.4705,236117631.7148,236099179.6307,-366874.3404,236110851.3775,1474.2028,-3502.2808,3099.5713,-3817.0083,1918.2215,-3765.8657,-4436.1069,1762.2116,-487.6504,4180.1643,2248.3232,-4299.7038,6041.6285,4682.2372,-1110.2875,2556.1121,3880.6270,4609.3389,-4596.8758,-3912.1861,-96292.2808,-97223.9030,-99370.3334,-94096.5855,-93623.5392,-103980.5823,-106326.7153,-97753.5446,-17665716.7764,-17690611.0025,-17689924.9298,-17681858.3137,-98725.0014,-17677467.1502,
1200.000,2940.4019,3219.6506,-3910.2847,4212.3651,-5876.6395,-2191.4295,3352.9365,-682.2707,-974.8482,1372.0881,3247.9487,-4638.6475,1937.5669,-4543.8072,-6371.6301,177.4810,6252.9805,-2667.3180,-3440.2371,-1563.2138,123785.3763,132341.3109,120138.2168,123271.2701,118533.5938,120118.6745,127758.2261,123954.2682,-252959719.5137,-252977408.5228,-252965576.4449,-252974548.0917,125122.4904,-252974648.7242,-6252.0589,-5737.8590,4014.2952,2965.6408,-1061.0269,4810.2181,-2948.3516,-6879.2652,6739.9827,6177.3219,-4657.5978,4160.2945,1400.1991,-2437.1971,2081.2352,-5530.4803,-1467.4970,-3189.5632,-4984.0881,-4543.2527,-347811.1619,-377854.3763,-360739.8039,-359079.2972,-366363.9205,-363911.7931,-367141.0565,-364063.8888,230635119.0512,230596131.3318,230650071.2711,230631321.3072,-364287.3991,230642754.6643,-332.6295,-1928.3546,4084.5724,-4482.3293,3491.5673,-4486.0886,-5257.3728,-31.9794,1321.3280,2781.2416,3763.5377,-2946.8364,6493.7456,4603.7020,726.5335,4004.4052,2400.3684,5268.8902,-3356.0743,-4968.8188,-96443.0500,-97355.5131,-99396.2905,-94371.8943,-93630.1348,-103888.5275,-106584.9380,-97521.8167,-17659252.8703,-17684253.9077,-17682989.8360,-17675620.3510,-98847.9636,-17670923.2026,
1500.000,1673.1444,2198.6032,-1966.4694,4918.5189,-5052.2629,-66.9465,1410.5015,-1838.0242,337.4644,2738.8686,1341.6230,-4044.1324,2913.1909,-5582.0302,-5459.5846,-1428.9747,6230.7575,-3881.1395,-4867.2534,-2971.4884,131034.8324,140290.0335,127877.1988,131003.9966,126201.9788,127766.5970,135384.9279,131957.0404,-257934245.6129,-257950968.3906,-257940256.9794,-257948546.8556,132800.1423,-257949202.5172,-6374.8183,-6490.8762,4768.4010,917.5692,562.7131,5071.4768,-3903.1381,-6411.7010,6248.9013,6255.7022,-4583.9854,5432.6425,-573.8462,-632.6887,3077.4456,-4420.1170,-2791.9548,-1338.5013,-4599.3391,-2966.7861,-345168.4989,-375072.6401,-357891.7293,-356360.7317,-363640.4278,-361208.2150,-364330.9460,-361612.1325,225057024.6732,225018129.6618,225072581.0768,225053583.0615,-361537.4055,225064735.6417,-2103.6132,-141.0716,4633.3452,-4646.7624,4689.0568,-4727.0790,-5509.0077,-1822.7396,2989.0471,1082.0413,4854.8460,-1273.2197,6250.4042,4029.1004,2478.7638,5005.3191,654.6128,5309.5215,-1754.9612,-5490.1895,-96593.9897,-97487.2452,-99421.1466,-94652.6358,-93640.2218,-103790.2340,-106837.8423,-97392.7444,-17652794.2476,-17677896.3708,-17676044.9005,-17669372.8144,-98970.8687,-17664379.2615,
1800.000,218.5987,954.0372,161.9848,5170.2431,-3758.8803,2062.9345,-649.1360,-2831.2820,1648.7157,3822.0588,-727.2516,-3055.2899,3663.0690,-6102.4550,-3953.1294,-2934.8192,5575.7918,-4725.5328,-5800.8611,-4136.8172,138228.1941,148179.5314,135558.5745,138679.2246,133812.3412,135360.3318,142948.1791,139976.0246,-262785800.8654,-262801563.1224,-262791996.4539,-262799592.7151,140417.4076,-262800789.1321,-5875.1120,-6579.1659,5105.9720,-1211.3563,2172.6943,4888.0539,-4525.6480,-5303.9529,5151.9453,5716.9298,-4084.8538,6151.3432,-2449.0594,1205.4269,3770.6844,-2887.7057,-3824.6079,623.6941,-3775.0419,-1129.4758,-342376.4145,-372122.1038,-354884.3079,-353482.1468,-360755.1043,-358344.2736,-361360.8223,-358977.0567,219371668.1856,219332887.5033,219387818.7850,219368623.7007,-358625.6120,219379453.4208,-3648.0121,1661.8128,4687.3603,-4291.9755,5382.1132,-4463.3029,-5163.9339,-3416.8247,4337.2940,-733.9974,5399.6582,539.1799,5337.3869,3020.2233,3942.3948,5447.3959,-1163.5523,4726.4359,34.8495,-5420.5625,-96745.1002,-97619.0946,-99445.0883,-94938.9319,-93653.7761,-103685.6209,-107085.4883,-97383.9877,-17646340.8696,-17671538.3853,-17669090.2556,-17663114.7867,-99093.7167,-17657835.3268,
2100.000,-1293.5230,-406.3017,2268.3021,4938.0400,-2130.9289,3991.3966,-2620.3504,-3581.6495,2843.8545,4531.8455,-2744.7415,-1753.2598,4098.6492,-6046.8595,-2012.1008,-4188.1336,4345.8983,-5101.9546,-6158.5197,-4941.9365,145362.4310,156006.2034,143178.9507,146293.7219,141361.1538,142896.9572,150444.7067,147975.3718,-267512073.1149,-267526881.0620,-267518482.3347,-267525376.2547,147970.8769,-267527096.3621,-4812.7088,-6000.0906,4994.7382,-3205.2973,3614.6289,4274.9448,-4749.2303,-3666.7295,3563.3132,4604.7879,-3218.6532,6253.4262,-4037.5112,2904.2952,4103.4464,-1095.6004,-4478.8600,2486.3449,-2575.3872,785.4580,-339436.1034,-369004.0613,-351718.8789,-350445.1291,-357709.2070,-355320.9956,-358232.2001,-356136.7740,213581759.9780,213543115.0059,213598493.1661,213579152.9865,-355553.3437,213589618.2337,-4800.0410,3280.4688,4240.8237,-3457.3049,5496.5110,-3722.7769,-4259.1804,-4642.7585,5222.2485,-2470.8709,5336.9226,2292.7135,3852.0442,1685.7104,4947.1782,5281.5553,-2853.2045,3587.8669,1820.8839,-4767.3333,-96896.3816,-97751.0570,-99468.3038,-95230.9085,-93670.7744,-103574.6099,-107327.9336,-97503.5551,-17639892.6955,-17665179.9444,-17662126.0532,-17656845.3061,-99216.5074,-17651291.3985,
2400.000,-2724.0198,-1760.4182,4148.5481,4236.7304,-331.8047,5531.1289,-4308.7307,-4028.9957,3814.2863,4815.6516,-4499.4909,-252.1306,4157.2718,-5411.6361,155.2805,-5057.3392,2659.1034,-4957.4447,-5915.9454,-5299.5003,152434.5391,163766.4774,150734.9597,153844.3013,148844.9240,150373.6130,157871.2702,155916.0751,-272110809.9333,-272124670.2722,-272117461.7323,-272123647.8107,155457.1696,-272125871.7223,-3301.3083,-4819.9417,4440.9164,-4863.2400,4745.6959,3283.8429,-4540.9789,-1663.8914,1644.3154,3021.5691,-2075.3329,5738.9085,-5184.8369,4307.2916,4051.9668,771.4836,-4706.2304,4053.4645,-1102.7920,2590.8335,-336348.8209,-365719.8834,-348396.8493,-347251.3709,-354504.0673,-352139.4508,-354946.6541,-353074.8559,207690060.2659,207651572.1339,207707362.8201,207687930.3335,-352321.9972,207697990.1410,-5436.5038,4535.5518,3341.2952,-2235.6214,5020.0699,-2584.2311,-2892.1780,-5369.1891,5549.7422,-3941.5251,4673.7302,3795.9742,1953.3176,169.4293,5376.4591,4526.3289,-4228.1415,2027.3667,3410.8020,-3600.3068,-97047.8340,-97883.1282,-99490.9827,-95528.6945,-93691.1948,-103457.1275,-107565.2329,-97749.7895,-17633449.6820,-17658821.0417,-17655152.4654,-17650563.3629,-99339.2410,-17644747.4767,
