sl_100_5400_20260519 Coordinates.csv
2026/05/19 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:41 2024,
Start: 2026/05/19 07:47:00.00, Stop: 2026/05/19 09:17:00.00,
TIME_UNITS,STARLINK-3180 - X-Coordinate,STARLINK-4730 - X-Coordinate,STARLINK-31235 - X-Coordinate,STARLINK-6045 - X-Coordinate,STARLINK-4395 - X-Coordinate,STARLINK-30855 - X-Coordinate,STARLINK-4068 - X-Coordinate,STARLINK-4028 - X-Coordinate,STARLINK-4739 - X-Coordinate,STARLINK-30080 - X-Coordinate,STARLINK-3293 - X-Coordinate,STARLINK-6053 - X-Coordinate,STARLINK-31735 - X-Coordinate,STARLINK-4001 - X-Coordinate,STARLINK-30262 - X-Coordinate,STARLINK-30456 - X-Coordinate,STARLINK-6193 - X-Coordinate,STARLINK-1729 - X-Coordinate,STARLINK-4147 - X-Coordinate,STARLINK-3988 - X-Coordinate,STARLINK-2211 - X-Coordinate,STARLINK-11150 [DTC] - X-Coordinate,STARLINK-2232 - X-Coordinate,STARLINK-31856 - X-Coordinate,STARLINK-5463 - X-Coordinate,STARLINK-4792 - X-Coordinate,STARLINK-30184 - X-Coordinate,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-31001 - X-Coordinate,STARLINK-11289 [DTC] - X-Coordinate,STARLINK-5615 - X-Coordinate,STARLINK-4751 - X-Coordinate,STARLINK-3361 - X-Coordinate,STARLINK-3178 - X-Coordinate,STARLINK-31434 - X-Coordinate,STARLINK-1357 - X-Coordinate,STARLINK-5764 - X-Coordinate,STARLINK-30111 - X-Coordinate,STARLINK-3703 - X-Coordinate,STARLINK-30755 - X-Coordinate,STARLINK-3958 - X-Coordinate,STARLINK-5314 - X-Coordinate,STARLINK-2028 - X-Coordinate,STARLINK-31539 - X-Coordinate,STARLINK-5732 - X-Coordinate,STARLINK-31961 - X-Coordinate,STARLINK-4088 - X-Coordinate,STARLINK-6162 - X-Coordinate,STARLINK-6242 - X-Coordinate,STARLINK-4309 - X-Coordinate,STARLINK-2104 - X-Coordinate,STARLINK-4553 - X-Coordinate,STARLINK-31628 - X-Coordinate,STARLINK-5333 - X-Coordinate,STARLINK-2407 - X-Coordinate,STARLINK-30256 - X-Coordinate,STARLINK-5336 - X-Coordinate,STARLINK-5150 - X-Coordinate,STARLINK-3588 - X-Coordinate,STARLINK-31422 - X-Coordinate,STARLINK-5892 - X-Coordinate,STARLINK-4483 - X-Coordinate,STARLINK-4079 - X-Coordinate,STARLINK-5612 - X-Coordinate,STARLINK-5238 - X-Coordinate,STARLINK-3245 - X-Coordinate,STARLINK-2635 - X-Coordinate,STARLINK-31585 - X-Coordinate,STARLINK-32231 - X-Coordinate,STARLINK-3743 - X-Coordinate,STARLINK-3917 - X-Coordinate,STARLINK-31033 - X-Coordinate,STARLINK-3721 - X-Coordinate,STARLINK-6078 - X-Coordinate,STARLINK-31492 - X-Coordinate,STARLINK-11264 [DTC] - X-Coordinate,STARLINK-5986 - X-Coordinate,STARLINK-4788 - X-Coordinate,STARLINK-5865 - X-Coordinate,STARLINK-1626 - X-Coordinate,STARLINK-31311 - X-Coordinate,STARLINK-4281 - X-Coordinate,STARLINK-1177 - X-Coordinate,STARLINK-4760 - X-Coordinate,STARLINK-1697 - X-Coordinate,STARLINK-6260 - X-Coordinate,STARLINK-5617 - X-Coordinate,STARLINK-5966 - X-Coordinate,STARLINK-3446 - X-Coordinate,STARLINK-30104 - X-Coordinate,STARLINK-2448 - X-Coordinate,STARLINK-11244 [DTC] - X-Coordinate,STARLINK-5971 - X-Coordinate,STARLINK-31400 - X-Coordinate,STARLINK-5913 - X-Coordinate,STARLINK-2175 - X-Coordinate,STARLINK-11255 [DTC] - X-Coordinate,STARLINK-6238 - X-Coordinate,STARLINK-5192 - X-Coordinate,STARLINK-3836 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3180 - Y-Coordinate,STARLINK-4730 - Y-Coordinate,STARLINK-31235 - Y-Coordinate,STARLINK-6045 - Y-Coordinate,STARLINK-4395 - Y-Coordinate,STARLINK-30855 - Y-Coordinate,STARLINK-4068 - Y-Coordinate,STARLINK-4028 - Y-Coordinate,STARLINK-4739 - Y-Coordinate,STARLINK-30080 - Y-Coordinate,STARLINK-3293 - Y-Coordinate,STARLINK-6053 - Y-Coordinate,STARLINK-31735 - Y-Coordinate,STARLINK-4001 - Y-Coordinate,STARLINK-30262 - Y-Coordinate,STARLINK-30456 - Y-Coordinate,STARLINK-6193 - Y-Coordinate,STARLINK-1729 - Y-Coordinate,STARLINK-4147 - Y-Coordinate,STARLINK-3988 - Y-Coordinate,STARLINK-2211 - Y-Coordinate,STARLINK-11150 [DTC] - Y-Coordinate,STARLINK-2232 - Y-Coordinate,STARLINK-31856 - Y-Coordinate,STARLINK-5463 - Y-Coordinate,STARLINK-4792 - Y-Coordinate,STARLINK-30184 - Y-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-31001 - Y-Coordinate,STARLINK-11289 [DTC] - Y-Coordinate,STARLINK-5615 - Y-Coordinate,STARLINK-4751 - Y-Coordinate,STARLINK-3361 - Y-Coordinate,STARLINK-3178 - Y-Coordinate,STARLINK-31434 - Y-Coordinate,STARLINK-1357 - Y-Coordinate,STARLINK-5764 - Y-Coordinate,STARLINK-30111 - Y-Coordinate,STARLINK-3703 - Y-Coordinate,STARLINK-30755 - Y-Coordinate,STARLINK-3958 - Y-Coordinate,STARLINK-5314 - Y-Coordinate,STARLINK-2028 - Y-Coordinate,STARLINK-31539 - Y-Coordinate,STARLINK-5732 - Y-Coordinate,STARLINK-31961 - Y-Coordinate,STARLINK-4088 - Y-Coordinate,STARLINK-6162 - Y-Coordinate,STARLINK-6242 - Y-Coordinate,STARLINK-4309 - Y-Coordinate,STARLINK-2104 - Y-Coordinate,STARLINK-4553 - Y-Coordinate,STARLINK-31628 - Y-Coordinate,STARLINK-5333 - Y-Coordinate,STARLINK-2407 - Y-Coordinate,STARLINK-30256 - Y-Coordinate,STARLINK-5336 - Y-Coordinate,STARLINK-5150 - Y-Coordinate,STARLINK-3588 - Y-Coordinate,STARLINK-31422 - Y-Coordinate,STARLINK-5892 - Y-Coordinate,STARLINK-4483 - Y-Coordinate,STARLINK-4079 - Y-Coordinate,STARLINK-5612 - Y-Coordinate,STARLINK-5238 - Y-Coordinate,STARLINK-3245 - Y-Coordinate,STARLINK-2635 - Y-Coordinate,STARLINK-31585 - Y-Coordinate,STARLINK-32231 - Y-Coordinate,STARLINK-3743 - Y-Coordinate,STARLINK-3917 - Y-Coordinate,STARLINK-31033 - Y-Coordinate,STARLINK-3721 - Y-Coordinate,STARLINK-6078 - Y-Coordinate,STARLINK-31492 - Y-Coordinate,STARLINK-11264 [DTC] - Y-Coordinate,STARLINK-5986 - Y-Coordinate,STARLINK-4788 - Y-Coordinate,STARLINK-5865 - Y-Coordinate,STARLINK-1626 - Y-Coordinate,STARLINK-31311 - Y-Coordinate,STARLINK-4281 - Y-Coordinate,STARLINK-1177 - Y-Coordinate,STARLINK-4760 - Y-Coordinate,STARLINK-1697 - Y-Coordinate,STARLINK-6260 - Y-Coordinate,STARLINK-5617 - Y-Coordinate,STARLINK-5966 - Y-Coordinate,STARLINK-3446 - Y-Coordinate,STARLINK-30104 - Y-Coordinate,STARLINK-2448 - Y-Coordinate,STARLINK-11244 [DTC] - Y-Coordinate,STARLINK-5971 - Y-Coordinate,STARLINK-31400 - Y-Coordinate,STARLINK-5913 - Y-Coordinate,STARLINK-2175 - Y-Coordinate,STARLINK-11255 [DTC] - Y-Coordinate,STARLINK-6238 - Y-Coordinate,STARLINK-5192 - Y-Coordinate,STARLINK-3836 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3180 - Z-Coordinate,STARLINK-4730 - Z-Coordinate,STARLINK-31235 - Z-Coordinate,STARLINK-6045 - Z-Coordinate,STARLINK-4395 - Z-Coordinate,STARLINK-30855 - Z-Coordinate,STARLINK-4068 - Z-Coordinate,STARLINK-4028 - Z-Coordinate,STARLINK-4739 - Z-Coordinate,STARLINK-30080 - Z-Coordinate,STARLINK-3293 - Z-Coordinate,STARLINK-6053 - Z-Coordinate,STARLINK-31735 - Z-Coordinate,STARLINK-4001 - Z-Coordinate,STARLINK-30262 - Z-Coordinate,STARLINK-30456 - Z-Coordinate,STARLINK-6193 - Z-Coordinate,STARLINK-1729 - Z-Coordinate,STARLINK-4147 - Z-Coordinate,STARLINK-3988 - Z-Coordinate,STARLINK-2211 - Z-Coordinate,STARLINK-11150 [DTC] - Z-Coordinate,STARLINK-2232 - Z-Coordinate,STARLINK-31856 - Z-Coordinate,STARLINK-5463 - Z-Coordinate,STARLINK-4792 - Z-Coordinate,STARLINK-30184 - Z-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-31001 - Z-Coordinate,STARLINK-11289 [DTC] - Z-Coordinate,STARLINK-5615 - Z-Coordinate,STARLINK-4751 - Z-Coordinate,STARLINK-3361 - Z-Coordinate,STARLINK-3178 - Z-Coordinate,STARLINK-31434 - Z-Coordinate,STARLINK-1357 - Z-Coordinate,STARLINK-5764 - Z-Coordinate,STARLINK-30111 - Z-Coordinate,STARLINK-3703 - Z-Coordinate,STARLINK-30755 - Z-Coordinate,STARLINK-3958 - Z-Coordinate,STARLINK-5314 - Z-Coordinate,STARLINK-2028 - Z-Coordinate,STARLINK-31539 - Z-Coordinate,STARLINK-5732 - Z-Coordinate,STARLINK-31961 - Z-Coordinate,STARLINK-4088 - Z-Coordinate,STARLINK-6162 - Z-Coordinate,STARLINK-6242 - Z-Coordinate,STARLINK-4309 - Z-Coordinate,STARLINK-2104 - Z-Coordinate,STARLINK-4553 - Z-Coordinate,STARLINK-31628 - Z-Coordinate,STARLINK-5333 - Z-Coordinate,STARLINK-2407 - Z-Coordinate,STARLINK-30256 - Z-Coordinate,STARLINK-5336 - Z-Coordinate,STARLINK-5150 - Z-Coordinate,STARLINK-3588 - Z-Coordinate,STARLINK-31422 - Z-Coordinate,STARLINK-5892 - Z-Coordinate,STARLINK-4483 - Z-Coordinate,STARLINK-4079 - Z-Coordinate,STARLINK-5612 - Z-Coordinate,STARLINK-5238 - Z-Coordinate,STARLINK-3245 - Z-Coordinate,STARLINK-2635 - Z-Coordinate,STARLINK-31585 - Z-Coordinate,STARLINK-32231 - Z-Coordinate,STARLINK-3743 - Z-Coordinate,STARLINK-3917 - Z-Coordinate,STARLINK-31033 - Z-Coordinate,STARLINK-3721 - Z-Coordinate,STARLINK-6078 - Z-Coordinate,STARLINK-31492 - Z-Coordinate,STARLINK-11264 [DTC] - Z-Coordinate,STARLINK-5986 - Z-Coordinate,STARLINK-4788 - Z-Coordinate,STARLINK-5865 - Z-Coordinate,STARLINK-1626 - Z-Coordinate,STARLINK-31311 - Z-Coordinate,STARLINK-4281 - Z-Coordinate,STARLINK-1177 - Z-Coordinate,STARLINK-4760 - Z-Coordinate,STARLINK-1697 - Z-Coordinate,STARLINK-6260 - Z-Coordinate,STARLINK-5617 - Z-Coordinate,STARLINK-5966 - Z-Coordinate,STARLINK-3446 - Z-Coordinate,STARLINK-30104 - Z-Coordinate,STARLINK-2448 - Z-Coordinate,STARLINK-11244 [DTC] - Z-Coordinate,STARLINK-5971 - Z-Coordinate,STARLINK-31400 - Z-Coordinate,STARLINK-5913 - Z-Coordinate,STARLINK-2175 - Z-Coordinate,STARLINK-11255 [DTC] - Z-Coordinate,STARLINK-6238 - Z-Coordinate,STARLINK-5192 - Z-Coordinate,STARLINK-3836 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5619.7878,3297.0296,-3745.9380,1638.1377,-6135.0725,-3653.4557,6261.5631,-6396.5805,-5692.1904,-3688.9159,4668.9525,-1177.6816,-2162.5401,-5304.7518,-5118.0464,-671.3074,5976.2698,5648.1789,990.0959,4049.5236,2197.0414,3895.0425,4211.7662,5046.2434,-1303.7181,3.7652,5965.0623,2314.1754,-3391.1542,780.1535,-2369.3232,-5663.2081,-4199.3593,61.3693,-5830.8933,-5328.2941,6939.5329,6889.6724,-1505.4090,-5770.4282,-3453.2980,6319.9402,5232.7477,2548.7511,-3762.4498,2958.2720,-4876.9271,-5180.1487,3936.9514,3327.4281,-4292.9531,4121.8744,-2008.5015,-4227.4379,127.3380,4382.2190,-5016.0465,-4866.0013,-3166.6347,4243.4631,1890.8418,-3870.8165,-6634.4766,3009.4781,-5216.9026,-4493.2339,-5393.3102,-4463.9343,5512.5048,4923.8909,-5854.8997,-1672.5115,3991.4949,-3972.3970,-5093.3062,3887.5461,6273.2459,4948.6972,-4375.7743,-3641.7997,1855.9897,-3395.1731,-3602.3144,6505.3924,5220.9823,3662.9933,1755.3584,5712.8110,-225.7187,-5163.6051,-5342.1253,-3667.6781,-769.9830,-4921.4611,1227.8026,2280.3691,-4500.0765,-2268.0383,6245.3588,-5863.6480,47827.4651,62426.7306,52138.7059,52871.8891,54883.8733,54332.3249,62255.6079,58495.0308,-266997650.1014,-267007359.4304,-266990126.9481,-266995245.9003,58107.4180,-266998397.1210,3587.0505,5337.5134,-4646.3159,-2154.9235,3240.1619,-4655.6796,732.0248,-550.1581,-3801.4821,-3517.9205,1365.7215,-3095.3048,4531.8322,-4295.7559,-1138.8940,5670.3987,-787.6639,-1529.2054,-6191.8571,-1387.4326,4405.3984,-2814.8559,4365.4215,-2240.0486,-2515.0294,5030.8434,-2369.6589,6293.3491,-5085.1908,-5796.2684,-595.0587,1609.6294,-303.7614,-4718.3623,-2941.1348,-3025.2169,-150.7694,-670.4160,4211.0333,-1742.6975,3045.2297,-159.9432,-977.7471,5309.5611,3822.2826,4014.9403,4321.7308,3547.2728,5124.4916,2944.2732,391.6714,-426.5872,4688.0490,3092.7971,6317.4507,4635.8307,4142.2510,4583.5063,5881.4054,4276.4275,-3214.2247,1489.4385,624.4476,-4940.2220,-27.3724,-4562.3972,-2.1558,-5023.9912,266.3770,1481.6446,-3364.8321,-5220.6731,5401.9588,3238.3387,583.1472,3578.0221,2882.8415,-1284.0379,-3399.2625,1754.0106,4356.3039,-5920.0351,-5887.7695,2268.2061,356.4534,5253.2827,2159.1913,-3732.9938,4147.1185,3541.2945,-1224.3982,1967.8315,5944.3221,-4621.3782,-2793.5523,4363.8799,211.3829,-5562.5228,-1133.0033,-2388.7719,319016.8946,301048.1633,312735.9531,316252.4341,307914.5060,310819.4810,313750.5626,313508.8649,184997299.0457,184985747.6024,184969059.3206,184965958.3762,313934.3351,184978798.7982,1791.5742,2905.9764,-3376.1606,-6407.5565,248.9311,3588.7524,-2859.1910,2569.4606,969.0150,4682.8372,-4920.3062,-6119.3421,-4672.1130,-1095.3418,-4363.4461,3759.8260,3410.5318,-3709.5552,2906.8644,-5422.0563,-4853.2166,4665.7862,-3269.0219,3988.2678,-6353.0481,4696.7195,2612.9663,75.6628,-3292.9679,3179.7686,6488.3699,3611.8104,5349.0094,-5056.1295,-1919.7715,-3210.6616,667.1060,-419.7375,-5274.4116,-3436.6396,-5143.2576,-2895.8691,4405.9326,-3437.9089,4384.7637,4619.6283,2408.9736,2944.6909,-2528.1667,-5338.3798,-5420.2094,5525.0995,-4571.8208,-4544.3190,-2499.0761,2697.7778,2399.1818,1834.0991,1750.8852,-3187.3906,5859.8868,-5529.7862,1824.7603,3844.1219,-4545.8936,2607.3703,-4319.3737,-1184.8704,-3903.9938,4603.8607,1436.9901,-4237.6238,1640.9146,-4682.4396,-4494.8506,4097.7704,-824.4872,-4665.8028,-4179.2953,5321.7696,4939.7982,1071.5941,-272.5177,459.9272,-4523.6766,-2668.0433,6357.4581,1196.6667,5514.6663,-2971.9592,4204.2020,5244.9622,3466.9554,-952.5984,6237.9265,-4854.7319,-5002.8893,3454.3500,2732.5347,2757.8138,168854.7340,166680.5711,167332.2771,173076.8793,172952.0940,162394.9163,160906.6137,169879.9889,62442050.6433,62415806.8949,62414043.4038,62436364.3582,168149.2442,62433415.6345,
300.000,6393.7070,4640.7326,-5302.1615,670.9718,-6080.7875,-5252.4567,6799.7151,-6829.0234,-5874.7683,-4862.5337,4170.9895,-3016.8432,-890.6369,-6019.0583,-4888.9456,967.9360,6061.8708,5809.8429,-515.5999,2776.8308,3335.9491,3360.1883,5541.0823,4985.8304,-3349.5144,1717.7588,4591.8466,3326.2267,-4354.2516,-805.3455,-2324.7053,-4184.9943,-3721.9847,-1778.1388,-5664.8296,-5102.5807,6724.0469,6501.5548,192.5948,-5441.9048,-1473.7923,5125.8366,5569.1447,3782.1619,-1834.2873,4612.0659,-4241.6248,-4459.2406,5331.4868,1543.3054,-4372.3119,3626.1089,-101.1242,-2527.9464,1447.4005,5723.9049,-4135.3686,-3853.1363,-1689.9878,5673.2000,1410.7049,-2841.3207,-6653.0894,2787.8787,-5874.6730,-4765.4458,-6031.0316,-5551.1983,6187.7352,4336.2808,-6493.6553,-3351.1101,4547.9602,-2308.2801,-3763.7183,4122.5067,5995.0233,3435.3179,-4943.9428,-2703.4212,3772.7640,-4412.9926,-4482.7305,6689.2266,5975.5843,5121.1819,2467.4380,4827.3112,1936.1662,-3499.8162,-6306.7591,-2082.7029,1106.6322,-5863.5108,176.4654,3385.8593,-3446.1848,-4007.1694,6367.1751,-6700.9360,41250.6733,56018.6796,45548.6435,46367.7942,48331.5063,47770.8455,55626.0455,52388.5056,-270970653.9185,-270980635.4989,-270962938.8575,-270967669.8625,51551.0715,-270971377.0235,2610.1341,4980.4249,-3789.2278,-3991.4346,2710.5462,-3814.8448,-537.4049,713.0251,-2460.5472,-1708.4169,-677.2286,-3702.2898,5846.9994,-3318.8155,1003.9059,4710.4639,-2554.6829,-3075.2483,-5403.5433,-3152.7638,2647.6807,-4622.4781,3746.7243,-3889.7698,-2573.6855,5672.8545,-3592.2040,5506.0996,-3392.4608,-4884.1577,1611.9224,2716.3817,1840.5042,-5312.9282,-1420.2177,-1279.5955,-1636.3909,-2130.7771,5292.6247,202.9280,3871.6064,-856.5726,-2685.0493,3727.1621,4730.3850,2648.0507,5464.5964,5068.5635,4299.6232,2059.8335,2465.5367,-2537.5497,5553.9978,4403.5904,5332.1302,3680.4282,5485.1250,5755.3474,5790.1356,3268.9577,-4987.9604,3394.3214,1872.5237,-6060.4635,1616.6871,-2946.3856,1588.5165,-3950.1396,-1227.9082,-483.7108,-2322.4496,-5347.9714,4053.7999,4603.0449,2149.7791,1573.5093,2061.1512,-2673.4849,-1381.6788,3709.1735,4180.4453,-5265.3335,-5024.8549,1063.9246,-1243.7189,4503.6986,68.9388,-4960.8426,3926.2791,4450.7087,157.4274,3516.3623,5298.9282,-3423.4690,-4495.1593,2585.2625,2114.5581,-5197.8015,-2489.0607,-1309.2588,319793.2069,302396.7959,314012.2089,317428.3631,309046.3504,311921.7850,314931.0662,314841.5297,179123071.2328,179111665.9214,179095468.7576,179091906.3161,315097.8682,179104657.1892,-1.8569,1224.5414,-2130.0332,-5656.1631,-1976.0123,2405.7840,-1170.6030,843.9533,2681.3922,4620.8691,-5479.1678,-5058.9312,-3472.0355,720.9745,-4650.0404,4856.5863,2173.3597,-2184.6568,4274.6228,-5483.7920,-5445.5814,3497.4329,-1649.6263,2535.7219,-5525.5974,3502.4014,3743.1989,1886.6749,-4212.1614,4448.0774,6330.3848,4773.4687,5393.6639,-4053.8504,-3499.2634,-4493.4761,-873.6500,1121.5306,-4445.4966,-4300.7852,-5522.0506,-4622.1300,3091.2976,-4279.0226,4716.4014,4235.3097,669.2356,1595.1403,-1104.7174,-6451.5576,-4770.8790,5302.6163,-4006.1279,-4722.8036,-3957.1726,1301.6638,957.5648,330.8001,3356.7532,-1889.8017,4627.3520,-5308.8359,33.8560,1945.8930,-3277.7050,4047.1414,-2972.3586,366.7208,-2427.3634,5345.9288,-372.6187,-2857.3539,3263.9040,-4655.4060,-5263.5720,5021.4765,-2861.2491,-5381.8684,-4671.1579,4858.6708,3890.8941,-745.4756,1529.5037,-1352.2148,-3253.1235,-1266.7864,6485.9912,-342.8423,5338.7120,-3998.4379,2818.7579,5303.7632,4315.7458,604.7501,5293.0400,-5446.9345,-5382.9805,2229.6244,1026.8039,1054.8111,168799.6818,166657.4576,167411.4098,172921.9755,173060.2562,162579.0986,160742.3943,169738.0727,62447376.0703,62421351.8435,62419100.6410,62441154.4421,168133.4072,62438556.7343,
600.000,6527.9875,5513.6471,-6321.0242,-294.4166,-5354.1572,-6335.2144,6664.9148,-6583.8538,-5491.5601,-5600.2634,3317.0359,-4519.7718,434.1502,-6137.2076,-4207.4503,2551.9758,5573.2197,5412.9095,-2011.7717,1278.0266,4200.5987,2498.1400,6304.8971,4430.1862,-5045.3485,3229.3081,2776.7802,3995.1087,-4938.5344,-2345.5949,-2127.2145,-2301.2874,-2918.1270,-3412.1822,-4934.1878,-4412.0019,5867.9438,5481.6178,1833.4051,-4622.7084,634.8126,3423.0303,5376.9879,4671.3875,258.2269,5812.0699,-3196.5907,-3320.6098,6205.0951,-357.9780,-4071.5749,2828.8456,1791.0066,-609.4265,2659.5390,6505.0338,-2862.4030,-2469.5927,-15.3803,6518.9637,848.5754,-1584.5818,-6007.9506,2307.2667,-5972.3927,-4604.7811,-6086.8044,-6074.9237,6215.6007,3368.3710,-6484.5178,-4678.2461,4685.0612,-451.0557,-2079.7971,3962.2166,5127.1010,1612.3854,-5080.6205,-1522.8337,5289.5810,-4997.1012,-4929.6850,6208.9819,6157.5708,6077.6145,3010.3677,3470.9636,3907.2341,-1495.4768,-6654.0013,-313.3311,2904.1811,-6209.6908,-828.3654,4212.8225,-2072.9749,-5346.6429,5859.6262,-6867.8431,34665.7212,49580.5313,38938.9152,39842.9420,41758.0205,41190.9765,48971.4832,46190.7961,-274814442.4797,-274824702.8980,-274806562.1388,-274810891.1083,44971.4375,-274815145.4720,1372.1580,4138.4135,-2572.0700,-5451.4448,1911.2646,-2625.4789,-1740.5141,1895.7870,-851.2118,241.3062,-2677.6112,-3993.9772,6577.6026,-2003.7434,3054.8938,3299.9245,-4058.3539,-4298.6419,-4101.6559,-4641.1573,650.9002,-5917.1515,2767.8595,-5117.4836,-2444.1756,5770.3396,-4502.3583,4108.4184,-1375.1568,-3455.2541,3653.7324,3605.1745,3806.8712,-5415.3159,279.5886,622.7215,-2974.5523,-3395.3282,5881.3104,2152.2241,4372.0443,-1526.6232,-4101.4053,1775.7914,5223.5617,1045.7699,6067.1849,6092.4556,3068.0321,878.0850,4281.8575,-4404.8885,5891.6779,5326.8433,3801.6783,2379.2794,6292.4149,6367.6739,5144.8240,1945.4429,-6259.0023,4986.3003,2933.2999,-6556.1621,3071.3810,-1017.1997,2993.4218,-2470.7961,-2566.0041,-2431.1398,-1043.9346,-4971.5335,2286.2432,5558.4377,3543.0079,-615.2726,997.4196,-3851.3459,766.5576,5272.7668,3618.6758,-4080.1234,-3650.2343,-261.3035,-2690.2920,3328.7029,-2001.1223,-5709.4663,3374.6681,4967.6804,1493.6495,4725.0827,4169.3048,-1870.7156,-5768.1895,572.8981,3826.3777,-4347.5501,-3586.5537,-110.9855,320432.9545,303611.1184,315151.7890,318468.4141,310043.1331,312889.0401,315971.5429,316073.8600,173163545.2833,173152273.8924,173136585.8578,173132594.4592,316124.5738,173145217.9208,-1795.1189,-588.9760,-648.2281,-4307.2613,-3990.5295,964.2211,643.9781,-972.5600,4104.0656,4063.0714,-5450.0885,-3464.1065,-1888.5277,2459.3144,-4415.5032,5412.3621,703.0234,-425.3454,5180.9656,-4954.2749,-5452.0635,1915.1035,149.7124,797.3457,-4114.3457,1925.6954,4472.4299,3474.4257,-4683.2458,5179.9084,5498.2697,5419.2641,4830.7359,-2615.0575,-4683.8416,-5293.3143,-2322.5329,2542.6798,-3137.9382,-4706.6176,-5304.2368,-5859.4103,1443.0337,-4639.9653,4543.1170,3371.3592,-1141.6917,75.0511,436.7788,-6881.4360,-3610.3890,4507.9818,-2996.4066,-4397.2447,-4966.6242,-234.1348,-586.5049,-1207.9386,4598.9445,-379.2873,2903.9144,-4516.3375,-1760.7410,-159.2531,-1656.8220,5050.3916,-1304.0607,1877.0997,-670.6404,5509.6074,-2141.8941,-1170.7249,4534.5716,-4133.0359,-5442.1925,5347.9925,-4594.8467,-5521.0022,-4665.7474,3818.1380,2409.9308,-2481.9589,3165.7691,-3017.9615,-1632.1710,269.9055,5925.8110,-1845.6109,4586.0395,-4597.2751,1128.6913,4735.1243,4701.4696,2093.9595,3786.6449,-5453.5381,-5136.5104,766.0737,-789.8643,-762.3706,168744.2986,166634.4768,167491.7877,172761.7936,173164.6747,162769.1229,160583.4671,169480.8436,62452697.3168,62426904.0145,62424163.7590,62445940.2946,168117.4407,62443697.6414,
