sl_100_5400_20260605 Coordinates.csv
2026/06/05 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:37 2024,
Start: 2026/06/05 07:47:00.00, Stop: 2026/06/05 09:17:00.00,
TIME_UNITS,STARLINK-31810 - X-Coordinate,STARLINK-32021 - X-Coordinate,STARLINK-32016 - X-Coordinate,STARLINK-3729 - X-Coordinate,STARLINK-1458 - X-Coordinate,STARLINK-2185 - X-Coordinate,STARLINK-1701 - X-Coordinate,STARLINK-30400 - X-Coordinate,STARLINK-30380 - X-Coordinate,STARLINK-3374 - X-Coordinate,STARLINK-5479 - X-Coordinate,STARLINK-31771 - X-Coordinate,STARLINK-30612 - X-Coordinate,STARLINK-31091 - X-Coordinate,STARLINK-4637 - X-Coordinate,STARLINK-3532 - X-Coordinate,STARLINK-11092 [DTC] - X-Coordinate,STARLINK-31491 - X-Coordinate,STARLINK-3107 - X-Coordinate,STARLINK-3149 - X-Coordinate,STARLINK-31846 - X-Coordinate,STARLINK-5980 - X-Coordinate,STARLINK-3253 - X-Coordinate,STARLINK-4312 - X-Coordinate,STARLINK-2707 - X-Coordinate,STARLINK-30382 - X-Coordinate,STARLINK-3343 - X-Coordinate,STARLINK-6284 - X-Coordinate,STARLINK-31165 - X-Coordinate,STARLINK-2714 - X-Coordinate,STARLINK-3830 - X-Coordinate,STARLINK-2459 - X-Coordinate,STARLINK-5137 - X-Coordinate,STARLINK-31012 - X-Coordinate,STARLINK-2090 - X-Coordinate,STARLINK-2417 - X-Coordinate,STARLINK-5300 - X-Coordinate,STARLINK-1917 - X-Coordinate,STARLINK-3044 - X-Coordinate,STARLINK-1957 - X-Coordinate,STARLINK-4470 - X-Coordinate,STARLINK-3968 - X-Coordinate,STARLINK-2056 - X-Coordinate,STARLINK-31723 - X-Coordinate,STARLINK-1686 - X-Coordinate,STARLINK-4331 - X-Coordinate,STARLINK-11210 [DTC] - X-Coordinate,STARLINK-5762 - X-Coordinate,STARLINK-1850 - X-Coordinate,STARLINK-30959 - X-Coordinate,STARLINK-6229 - X-Coordinate,STARLINK-32125 - X-Coordinate,STARLINK-5040 - X-Coordinate,STARLINK-30262 - X-Coordinate,STARLINK-2430 - X-Coordinate,STARLINK-1820 - X-Coordinate,STARLINK-1479 - X-Coordinate,STARLINK-1096 - X-Coordinate,STARLINK-1665 - X-Coordinate,STARLINK-4414 - X-Coordinate,STARLINK-3554 - X-Coordinate,STARLINK-6110 - X-Coordinate,STARLINK-30809 - X-Coordinate,STARLINK-11249 [DTC] - X-Coordinate,STARLINK-5726 - X-Coordinate,STARLINK-3560 - X-Coordinate,STARLINK-30403 - X-Coordinate,STARLINK-32089 - X-Coordinate,STARLINK-31222 - X-Coordinate,STARLINK-5627 - X-Coordinate,STARLINK-5460 - X-Coordinate,STARLINK-31914 - X-Coordinate,STARLINK-3899 - X-Coordinate,STARLINK-4098 - X-Coordinate,STARLINK-30315 - X-Coordinate,STARLINK-6297 - X-Coordinate,STARLINK-30469 - X-Coordinate,STARLINK-30191 - X-Coordinate,STARLINK-6265 - X-Coordinate,STARLINK-31642 - X-Coordinate,STARLINK-6193 - X-Coordinate,STARLINK-11234 [DTC] - X-Coordinate,STARLINK-31532 - X-Coordinate,STARLINK-3591 - X-Coordinate,STARLINK-31146 - X-Coordinate,STARLINK-6082 - X-Coordinate,STARLINK-30166 - X-Coordinate,STARLINK-5608 - X-Coordinate,STARLINK-6262 - X-Coordinate,STARLINK-2061 - X-Coordinate,STARLINK-30580 - X-Coordinate,STARLINK-2713 - X-Coordinate,STARLINK-31327 - X-Coordinate,STARLINK-3705 - X-Coordinate,STARLINK-1270 - X-Coordinate,STARLINK-3519 - X-Coordinate,STARLINK-6278 - X-Coordinate,STARLINK-32177 - X-Coordinate,STARLINK-3069 - X-Coordinate,STARLINK-2151 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31810 - Y-Coordinate,STARLINK-32021 - Y-Coordinate,STARLINK-32016 - Y-Coordinate,STARLINK-3729 - Y-Coordinate,STARLINK-1458 - Y-Coordinate,STARLINK-2185 - Y-Coordinate,STARLINK-1701 - Y-Coordinate,STARLINK-30400 - Y-Coordinate,STARLINK-30380 - Y-Coordinate,STARLINK-3374 - Y-Coordinate,STARLINK-5479 - Y-Coordinate,STARLINK-31771 - Y-Coordinate,STARLINK-30612 - Y-Coordinate,STARLINK-31091 - Y-Coordinate,STARLINK-4637 - Y-Coordinate,STARLINK-3532 - Y-Coordinate,STARLINK-11092 [DTC] - Y-Coordinate,STARLINK-31491 - Y-Coordinate,STARLINK-3107 - Y-Coordinate,STARLINK-3149 - Y-Coordinate,STARLINK-31846 - Y-Coordinate,STARLINK-5980 - Y-Coordinate,STARLINK-3253 - Y-Coordinate,STARLINK-4312 - Y-Coordinate,STARLINK-2707 - Y-Coordinate,STARLINK-30382 - Y-Coordinate,STARLINK-3343 - Y-Coordinate,STARLINK-6284 - Y-Coordinate,STARLINK-31165 - Y-Coordinate,STARLINK-2714 - Y-Coordinate,STARLINK-3830 - Y-Coordinate,STARLINK-2459 - Y-Coordinate,STARLINK-5137 - Y-Coordinate,STARLINK-31012 - Y-Coordinate,STARLINK-2090 - Y-Coordinate,STARLINK-2417 - Y-Coordinate,STARLINK-5300 - Y-Coordinate,STARLINK-1917 - Y-Coordinate,STARLINK-3044 - Y-Coordinate,STARLINK-1957 - Y-Coordinate,STARLINK-4470 - Y-Coordinate,STARLINK-3968 - Y-Coordinate,STARLINK-2056 - Y-Coordinate,STARLINK-31723 - Y-Coordinate,STARLINK-1686 - Y-Coordinate,STARLINK-4331 - Y-Coordinate,STARLINK-11210 [DTC] - Y-Coordinate,STARLINK-5762 - Y-Coordinate,STARLINK-1850 - Y-Coordinate,STARLINK-30959 - Y-Coordinate,STARLINK-6229 - Y-Coordinate,STARLINK-32125 - Y-Coordinate,STARLINK-5040 - Y-Coordinate,STARLINK-30262 - Y-Coordinate,STARLINK-2430 - Y-Coordinate,STARLINK-1820 - Y-Coordinate,STARLINK-1479 - Y-Coordinate,STARLINK-1096 - Y-Coordinate,STARLINK-1665 - Y-Coordinate,STARLINK-4414 - Y-Coordinate,STARLINK-3554 - Y-Coordinate,STARLINK-6110 - Y-Coordinate,STARLINK-30809 - Y-Coordinate,STARLINK-11249 [DTC] - Y-Coordinate,STARLINK-5726 - Y-Coordinate,STARLINK-3560 - Y-Coordinate,STARLINK-30403 - Y-Coordinate,STARLINK-32089 - Y-Coordinate,STARLINK-31222 - Y-Coordinate,STARLINK-5627 - Y-Coordinate,STARLINK-5460 - Y-Coordinate,STARLINK-31914 - Y-Coordinate,STARLINK-3899 - Y-Coordinate,STARLINK-4098 - Y-Coordinate,STARLINK-30315 - Y-Coordinate,STARLINK-6297 - Y-Coordinate,STARLINK-30469 - Y-Coordinate,STARLINK-30191 - Y-Coordinate,STARLINK-6265 - Y-Coordinate,STARLINK-31642 - Y-Coordinate,STARLINK-6193 - Y-Coordinate,STARLINK-11234 [DTC] - Y-Coordinate,STARLINK-31532 - Y-Coordinate,STARLINK-3591 - Y-Coordinate,STARLINK-31146 - Y-Coordinate,STARLINK-6082 - Y-Coordinate,STARLINK-30166 - Y-Coordinate,STARLINK-5608 - Y-Coordinate,STARLINK-6262 - Y-Coordinate,STARLINK-2061 - Y-Coordinate,STARLINK-30580 - Y-Coordinate,STARLINK-2713 - Y-Coordinate,STARLINK-31327 - Y-Coordinate,STARLINK-3705 - Y-Coordinate,STARLINK-1270 - Y-Coordinate,STARLINK-3519 - Y-Coordinate,STARLINK-6278 - Y-Coordinate,STARLINK-32177 - Y-Coordinate,STARLINK-3069 - Y-Coordinate,STARLINK-2151 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31810 - Z-Coordinate,STARLINK-32021 - Z-Coordinate,STARLINK-32016 - Z-Coordinate,STARLINK-3729 - Z-Coordinate,STARLINK-1458 - Z-Coordinate,STARLINK-2185 - Z-Coordinate,STARLINK-1701 - Z-Coordinate,STARLINK-30400 - Z-Coordinate,STARLINK-30380 - Z-Coordinate,STARLINK-3374 - Z-Coordinate,STARLINK-5479 - Z-Coordinate,STARLINK-31771 - Z-Coordinate,STARLINK-30612 - Z-Coordinate,STARLINK-31091 - Z-Coordinate,STARLINK-4637 - Z-Coordinate,STARLINK-3532 - Z-Coordinate,STARLINK-11092 [DTC] - Z-Coordinate,STARLINK-31491 - Z-Coordinate,STARLINK-3107 - Z-Coordinate,STARLINK-3149 - Z-Coordinate,STARLINK-31846 - Z-Coordinate,STARLINK-5980 - Z-Coordinate,STARLINK-3253 - Z-Coordinate,STARLINK-4312 - Z-Coordinate,STARLINK-2707 - Z-Coordinate,STARLINK-30382 - Z-Coordinate,STARLINK-3343 - Z-Coordinate,STARLINK-6284 - Z-Coordinate,STARLINK-31165 - Z-Coordinate,STARLINK-2714 - Z-Coordinate,STARLINK-3830 - Z-Coordinate,STARLINK-2459 - Z-Coordinate,STARLINK-5137 - Z-Coordinate,STARLINK-31012 - Z-Coordinate,STARLINK-2090 - Z-Coordinate,STARLINK-2417 - Z-Coordinate,STARLINK-5300 - Z-Coordinate,STARLINK-1917 - Z-Coordinate,STARLINK-3044 - Z-Coordinate,STARLINK-1957 - Z-Coordinate,STARLINK-4470 - Z-Coordinate,STARLINK-3968 - Z-Coordinate,STARLINK-2056 - Z-Coordinate,STARLINK-31723 - Z-Coordinate,STARLINK-1686 - Z-Coordinate,STARLINK-4331 - Z-Coordinate,STARLINK-11210 [DTC] - Z-Coordinate,STARLINK-5762 - Z-Coordinate,STARLINK-1850 - Z-Coordinate,STARLINK-30959 - Z-Coordinate,STARLINK-6229 - Z-Coordinate,STARLINK-32125 - Z-Coordinate,STARLINK-5040 - Z-Coordinate,STARLINK-30262 - Z-Coordinate,STARLINK-2430 - Z-Coordinate,STARLINK-1820 - Z-Coordinate,STARLINK-1479 - Z-Coordinate,STARLINK-1096 - Z-Coordinate,STARLINK-1665 - Z-Coordinate,STARLINK-4414 - Z-Coordinate,STARLINK-3554 - Z-Coordinate,STARLINK-6110 - Z-Coordinate,STARLINK-30809 - Z-Coordinate,STARLINK-11249 [DTC] - Z-Coordinate,STARLINK-5726 - Z-Coordinate,STARLINK-3560 - Z-Coordinate,STARLINK-30403 - Z-Coordinate,STARLINK-32089 - Z-Coordinate,STARLINK-31222 - Z-Coordinate,STARLINK-5627 - Z-Coordinate,STARLINK-5460 - Z-Coordinate,STARLINK-31914 - Z-Coordinate,STARLINK-3899 - Z-Coordinate,STARLINK-4098 - Z-Coordinate,STARLINK-30315 - Z-Coordinate,STARLINK-6297 - Z-Coordinate,STARLINK-30469 - Z-Coordinate,STARLINK-30191 - Z-Coordinate,STARLINK-6265 - Z-Coordinate,STARLINK-31642 - Z-Coordinate,STARLINK-6193 - Z-Coordinate,STARLINK-11234 [DTC] - Z-Coordinate,STARLINK-31532 - Z-Coordinate,STARLINK-3591 - Z-Coordinate,STARLINK-31146 - Z-Coordinate,STARLINK-6082 - Z-Coordinate,STARLINK-30166 - Z-Coordinate,STARLINK-5608 - Z-Coordinate,STARLINK-6262 - Z-Coordinate,STARLINK-2061 - Z-Coordinate,STARLINK-30580 - Z-Coordinate,STARLINK-2713 - Z-Coordinate,STARLINK-31327 - Z-Coordinate,STARLINK-3705 - Z-Coordinate,STARLINK-1270 - Z-Coordinate,STARLINK-3519 - Z-Coordinate,STARLINK-6278 - Z-Coordinate,STARLINK-32177 - Z-Coordinate,STARLINK-3069 - Z-Coordinate,STARLINK-2151 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1919.7535,4367.3100,4594.1802,437.1720,530.4643,-318.6251,3204.9385,-6120.3290,2866.5687,-2624.9185,2135.7180,5728.3017,-3305.4333,2445.0155,-5783.3644,-4270.1718,4662.0157,3093.1197,-3067.8731,4228.3312,3334.7466,5166.9929,1975.5267,-4878.4882,-1901.8476,2126.7641,4746.2586,3605.4656,218.0492,-2210.6677,-3508.9266,-1693.0962,3758.9412,2733.3156,2808.2276,4310.9059,251.1215,482.7110,-6746.3680,1978.7251,-2028.5339,-1870.5444,1480.1002,-5220.7560,-4439.1837,-3011.0189,1095.9611,-5586.5801,2784.4721,-1217.9776,-5768.6117,4044.8843,2507.7878,-5590.8588,3943.3732,6753.4461,924.9065,1388.5988,3197.9979,-3824.8570,5344.8513,-4101.4509,-6849.2908,-6011.5129,-3464.6760,4129.1774,-3331.2700,68.1656,4694.8769,-4077.2675,-2325.6272,-2697.5917,-5891.1988,-4641.0914,5193.4813,5166.9205,-2917.1099,-3723.8584,346.6922,5252.7921,1809.2574,4408.6335,3038.4132,-5206.1133,-2464.6742,-1586.8505,5917.1529,6348.9024,-3275.4480,-678.3581,-1515.8193,5170.4487,1145.4151,-3958.3126,-5641.0394,0.0000,2732.9207,-2119.9409,-3239.6853,3883.7509,-195936.6209,-184438.6638,-202071.3051,-202332.9925,-198011.5121,-199350.4900,-192628.8961,-195088.6426,-271354860.4296,-271324431.2934,-271347224.9384,-271349559.7186,-196642.8858,-271351195.7866,-5016.1001,-4535.3938,3826.6425,4133.1593,4156.3733,4221.9136,-2649.4665,-1461.3699,-6310.2802,6398.3040,-1060.1670,2268.6744,-3298.8998,-5866.5511,583.6746,-1021.9194,-2829.9922,3187.8012,6237.1321,3192.7821,5647.4812,2679.8494,5153.2923,-3492.3286,-4362.0713,5492.0979,268.2330,3612.0240,6387.3337,5986.4315,-4503.0126,6659.9563,-3161.4638,-6331.9666,3573.9724,106.7432,6945.1780,6555.6176,293.7329,6011.4265,2234.0257,5028.5401,-4095.0246,-4328.8705,-2912.5401,-909.1144,-4329.4896,118.0868,3233.8547,-6707.6241,-3837.4462,-193.8017,4888.2240,2342.0569,4761.7214,-1294.5452,-4104.8962,-3750.6971,5233.3367,2835.9306,355.2919,-5448.7424,1000.2374,1476.9731,-3699.1293,5221.1159,-5805.2641,5553.0800,4945.2288,-4486.4358,605.7474,-6195.1393,3351.9015,-3155.3028,-2774.0806,910.6170,-5023.9901,-5612.2364,-6912.8899,-935.8854,6594.2281,3605.9280,-6079.0727,-38.9755,4167.0477,-4838.7639,681.8861,2503.7511,3867.3092,4806.4757,-6675.2477,-4402.8506,-5075.0423,-2124.7029,-1324.2386,0.0000,-6144.4442,6332.2267,-946.4363,-3519.0015,-313184.3322,-332147.0494,-323022.6442,-319526.2301,-326942.7594,-324351.6100,-319246.8933,-319381.1046,157853634.7566,157855770.1541,157852165.0747,157874979.6651,-320254.1724,157870089.7096,-4216.5139,2561.1946,3357.1783,5500.5675,5494.9026,-5479.5849,5520.0688,2717.4166,-63.4228,-262.6401,-6535.3369,-2920.4042,-4996.5440,2278.0511,3728.4343,5330.8036,-3966.9855,5201.1161,-173.5947,-4450.1388,-1884.9047,-3789.9521,-4183.4490,3471.1520,-5025.3456,3656.8367,5016.3918,4685.5813,2591.0064,2622.5688,3907.7340,-128.1402,4858.8750,-389.7377,5173.2785,5372.7075,-21.2246,-2006.1809,-1561.7375,2723.3435,-6226.4048,-4369.4307,-5390.5016,-628.0478,4377.1724,-6191.9290,5029.7058,4093.1153,-5317.1119,1236.0594,289.5708,-5368.1196,-4194.0369,3111.9597,3115.5707,-836.0263,5467.2001,-5245.9295,3183.7308,5038.6899,-4371.2854,1228.8460,-312.1824,-2666.9300,4722.6740,1853.6167,-1804.3542,-3962.6990,-587.4333,3352.7864,6512.1596,891.8483,1356.9505,-4036.1278,-3659.0703,4517.7622,3728.8683,-1601.7474,349.4289,4251.6783,1115.1017,3555.8320,-562.5852,4534.4307,4940.9748,-4706.6228,-3559.7772,-1239.7441,4719.2162,4899.3323,255.6117,-938.6266,-4484.0455,-5265.5370,3774.1018,0.0000,-1678.4097,-1755.0343,-6086.8740,4481.7569,-134526.1083,-137625.5176,-137284.4359,-131633.2649,-131674.8878,-142220.3931,-143783.6827,-136155.2877,85116278.6570,85148403.2511,85141213.1540,85121844.8045,-136511.8393,85127819.2584,
300.000,-213.0919,2723.3552,5878.4647,2529.5440,2598.7754,1766.3991,1747.8425,-5468.1579,1365.1677,-1361.4482,1197.5866,6587.2695,-3935.1813,622.5738,-6205.7711,-3993.7188,4383.2665,4822.9858,-2379.5955,5720.7580,4017.4552,5719.9665,3043.1496,-3451.5085,-3218.5429,3503.4289,3839.4788,4820.3040,1835.3971,-622.3498,-5049.0561,-447.0840,1777.7045,1452.6895,4631.2617,3688.4065,856.7504,1701.9534,-5965.4015,3345.1719,-3778.1908,61.1091,-689.2680,-5814.2599,-4388.2590,-4435.5457,-656.9143,-5849.0376,4538.6654,-2612.0848,-6261.5785,3911.9818,3397.3681,-4099.5289,4348.8150,6401.3725,-1254.6662,-646.7190,4609.4876,-5231.0676,4308.9885,-4960.7422,-6367.4491,-6031.5356,-4883.3019,5192.3529,-4337.1185,1976.3402,5434.1218,-5566.3824,-1398.9455,-3878.3697,-4684.1094,-4564.8520,3569.6324,4917.2568,-4648.6203,-4645.7565,-1155.4527,5602.8757,3241.4215,5763.0393,1473.9987,-4080.9907,-354.8692,-3491.6227,5252.8770,6844.7636,-1479.3072,1280.9182,-2627.8172,3926.4761,-822.8779,-5285.9982,-4884.4954,0.0000,1038.8240,-678.9632,-4838.8351,3258.7945,-189448.4602,-177489.2340,-195331.5051,-195483.8193,-191196.9240,-192534.7404,-185901.6084,-188359.4127,-274734578.1479,-274703586.2397,-274726302.7595,-274729970.2534,-189840.8754,-274730875.0505,-5013.2850,-4764.3509,3070.5821,3532.5237,3482.6598,4520.5743,-4232.4326,83.6124,-6609.5771,6474.2072,-3020.0709,800.4608,-1251.9479,-5746.2740,2087.0653,1132.0936,-4467.3442,2142.3261,6237.5861,2291.9641,4289.5141,3531.4682,3513.4539,-3016.5330,-2697.5730,4021.1167,-1653.0931,1831.1672,5503.7086,5544.8708,-4062.3464,6649.2410,-3849.6586,-6401.1421,2766.7091,-1982.7006,6566.0078,5625.2599,1502.4953,5939.0950,2990.7033,4523.8508,-4145.4030,-2851.0542,-898.0830,-2135.6694,-5299.9507,2022.9663,2111.9535,-5845.9173,-2372.2686,-2356.5188,3138.1883,3602.8794,3067.6766,-2454.6728,-4106.8062,-4522.5039,4912.1259,3172.7117,-1353.9494,-4054.4020,2436.5024,2855.4855,-2098.7647,4562.2031,-4420.5206,4689.0501,3970.0947,-3553.3406,2600.6519,-5085.5453,4083.9734,-1226.5413,-3963.8018,-1223.0176,-4396.8119,-4201.5791,-6730.6197,-2618.9919,6110.3758,2819.6768,-6334.4316,1659.1706,4203.1765,-3839.3769,-1198.5086,1073.3420,5043.3935,4022.6125,-6133.6297,-4955.0310,-5663.4078,-619.5105,397.5224,0.0000,-6155.6082,5994.9823,119.5193,-5170.6002,-317060.7489,-335984.3093,-327028.9360,-323605.4533,-331077.4066,-328516.4038,-323358.4992,-323326.1292,151891161.5202,151893654.5810,151889474.5880,151912801.5946,-324359.9491,151907545.8157,-4631.0866,4007.2285,1750.6119,5352.9638,5372.8420,-4939.2783,5176.4819,4127.9060,-1585.1295,-2038.3612,-6150.7078,-1560.7724,-5452.2487,3485.9717,2203.3988,5518.8529,-2509.7108,4352.9017,1932.3917,-3144.0451,-3470.0736,-1741.8522,-5134.8005,5195.0674,-5501.7360,4426.5180,5502.0801,4627.2026,3725.0203,4054.1365,2428.3565,1671.8268,5452.9583,-2156.4537,4282.3387,5469.8905,-2117.5871,-3565.6084,-3196.5028,1018.7472,-4965.5353,-5236.1739,-5510.2520,-2115.5415,5221.3178,-4898.4519,4092.2251,3113.3164,-4628.0785,2641.7101,1795.7888,-4935.2300,-5137.4358,4076.9124,4424.4222,975.5352,5399.5342,-4757.8635,1550.9421,3266.1670,-5235.4743,2635.3509,1226.5463,-937.1690,4443.2892,64.4991,-3117.3879,-4544.5984,1234.1327,2099.0811,6283.1141,2349.4544,3021.1996,-5045.3193,-4428.5685,4717.3450,2595.4580,-2951.2029,-1190.3685,2884.5231,-426.8452,1987.8466,-2055.8994,5313.7838,5481.1328,-4599.3870,-4373.9302,297.8596,4509.2110,5452.1361,-1555.3575,-2655.7585,-3797.0638,-4424.8033,4875.7514,0.0000,-3014.2889,-3360.3039,-4999.8774,3197.8027,-134363.1058,-137539.5278,-137090.1893,-131674.5912,-131453.2605,-141920.4282,-143832.0043,-136525.5279,85120288.5176,85152367.4564,85145089.4984,85126283.4246,-136413.0094,85131917.0387,
600.000,-2332.5558,772.5065,6556.9406,4382.1235,4424.7916,3658.9952,164.6057,-4283.2493,-282.2331,57.9720,213.7585,6775.1610,-4223.0553,-1289.3948,-6022.1520,-3381.2825,3659.2582,6069.8704,-1426.5917,6645.2337,4322.5005,5638.3738,3866.3306,-1687.3520,-4270.5848,4580.6348,2603.1790,5604.0707,3304.8336,1063.8948,-6077.1796,862.8948,-370.8517,5.2448,5993.5797,2755.1859,1403.2564,2788.8789,-4601.0429,4365.5925,-5149.4989,2017.0630,-2790.8875,-5827.8028,-3951.9625,-5342.2699,-2302.9015,-5567.4456,5839.6328,-3777.9413,-6158.0796,3413.8723,4006.9192,-2197.7326,4371.5867,5411.7590,-3306.8922,-2579.0770,5550.9142,-6088.4863,2885.6400,-5361.4913,-5264.6347,-5406.6156,-5856.4909,5737.0091,-4952.3850,3712.1056,5624.0354,-6510.7725,-407.0912,-4685.0205,-2998.2452,-4088.2078,1611.6316,4234.8686,-5916.4497,-5143.0818,-2556.9466,5396.1300,4362.5639,6484.5988,-257.7041,-2589.4037,1798.9902,-5077.2369,4113.2695,6678.0148,432.7756,3144.2451,-3487.9273,2264.9578,-2687.2229,-6116.3224,-3680.9554,0.0000,-777.8663,862.5103,-5975.7188,2343.2199,-182884.4122,-170461.0456,-188502.5106,-188546.6702,-184295.0379,-185629.0956,-179089.2297,-181658.4964,-277983302.7380,-277951753.0803,-277974377.7068,-277979405.9102,-182953.1198,-277979558.0443,-4547.1477,-4535.1170,2020.3816,2637.6596,2521.5403,4425.3059,-5429.1375,1659.6160,-6274.8366,5917.4455,-4705.5257,-734.3331,913.0277,-5046.9424,3360.9823,3184.2213,-5610.7549,925.4825,5615.6661,1199.0596,2475.7467,4019.7114,1541.4585,-2150.5829,-797.7004,2176.8533,-3444.4605,-100.5670,4093.5573,4577.2845,-3243.7600,5968.1436,-4215.9266,-5842.2990,1729.8256,-3892.1115,5519.6917,4132.6208,2598.6104,5276.0567,3360.1242,3622.1209,-3849.5093,-1067.0873,1224.4373,-3187.9022,-5729.7544,3712.8832,821.4884,-4417.2252,-663.3274,-4259.4149,1085.3689,4535.0563,1055.8504,-3382.1574,-3759.8019,-4825.8419,4115.3987,3123.3061,-2972.4081,-2255.7645,3647.6498,3916.5914,-327.6014,3448.7777,-2601.6454,3382.9916,2576.0952,-2295.1568,4363.5165,-3450.0974,4441.1380,845.4731,-4811.3969,-3246.7886,-3362.3136,-2373.8517,-5895.7449,-4007.2552,5031.5776,1749.3413,-5954.8743,3236.4528,3884.1510,-2509.3970,-2991.6188,-463.9348,5763.8171,2889.3304,-4959.5094,-5026.7086,-5717.2398,904.4721,2119.6713,0.0000,-5589.3951,5078.2638,1113.0331,-6298.2892,-320810.5362,-339675.3385,-330889.6175,-327538.5718,-335065.3349,-332533.5277,-327329.1887,-327208.3449,145856371.7417,145859241.8387,145854493.4146,145878235.8541,-328321.2737,145872687.5636,-4528.1659,4998.6506,-49.4642,4624.6876,4671.9140,-3869.7998,4275.2760,5081.5640,-2937.1099,-3594.9426,-5117.0663,-25.4137,-5302.4326,4290.3413,439.9635,5111.3084,-760.7339,3020.8196,3833.0044,-1499.5615,-4666.4653,491.7769,-5536.5013,6363.4815,-5388.2975,4722.8941,5395.0375,4073.6064,4454.1738,5045.6867,687.6670,3287.9074,5458.9688,-3689.9277,2924.8923,4972.4092,-3989.1703,-4734.0311,-4489.3326,-796.9127,-3171.4710,-5541.0214,-5041.4014,-3364.4523,5495.3071,-3084.6853,2676.6663,1799.7540,-3419.6032,3763.8704,3109.6861,-3925.5301,-5527.7008,4582.8331,5258.1632,2682.2335,4747.3415,-3681.8560,-249.4049,1144.6648,-5536.5239,3759.1835,2633.5769,901.7867,3688.1857,-1731.6198,-4096.9940,-4617.3378,2918.2174,620.3188,5387.4167,3542.2315,4359.0209,-5511.4626,-4724.9576,4411.0147,1180.9241,-3983.7556,-2602.6578,1193.9004,-1923.0374,185.9913,-3318.1979,5518.6854,5432.4129,-4001.1987,-4722.1341,1803.5634,3815.9151,5413.8994,-3193.8662,-4079.3163,-2692.6269,-3109.0119,5452.3572,0.0000,-4027.6118,-4601.7505,-3385.0931,1566.6019,-134202.0946,-137453.3596,-136894.5763,-131720.9856,-131235.1715,-141614.4064,-143874.8410,-136887.2916,85124303.4045,85156329.8508,85148961.3420,85130768.2338,-136314.1025,85136014.5870,
