sl_5_86400_20261017 Coordinates.csv
2026/10/17 07:47:00.0000 UTC

Generated: Tue Oct  8 16:59:25 2024,
Start: 2026/10/17 07:47:00.00, Stop: 2026/10/18 07:47:00.00,
TIME_UNITS,STARLINK-6129 - X-Coordinate,STARLINK-6111 - X-Coordinate,STARLINK-4389 - X-Coordinate,STARLINK-5946 - X-Coordinate,STARLINK-11244 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6129 - Y-Coordinate,STARLINK-6111 - Y-Coordinate,STARLINK-4389 - Y-Coordinate,STARLINK-5946 - Y-Coordinate,STARLINK-11244 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6129 - Z-Coordinate,STARLINK-6111 - Z-Coordinate,STARLINK-4389 - Z-Coordinate,STARLINK-5946 - Z-Coordinate,STARLINK-11244 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,6361.8229,-3284.1253,437.2608,-1490.8852,567.6427,268680.8506,259749.2570,272585.0324,270478.2944,273256.4534,272191.8099,263938.3079,267503.5485,-216661580.0722,-216651301.6277,-216652986.1268,-216649145.4094,267265.4031,-216645680.1220,2234.5066,4448.1193,-6753.0200,4988.2231,5344.7864,243910.2571,258686.0732,239093.6342,237305.2744,245466.8555,243004.6139,244421.4496,241703.7018,-33676741.7754,-33635584.1007,-33686239.5106,-33676174.9909,242134.4421,-33682197.1204,1573.9134,4169.2998,1543.4659,-4583.0471,-4003.7969,-183959.5711,-182343.4186,-183749.4606,-178825.2699,-178280.9220,-188689.0746,-190809.9633,-185031.7462,74435416.7374,74411160.1222,74407800.1739,74418010.7058,-183320.3810,74423805.9078,
3600.000,-6593.3083,-756.3368,-1816.4807,-1815.3777,-3375.3074,194540.4219,186965.1783,202750.4667,200547.5721,204281.4061,203023.6069,195776.2212,197749.3472,-200500832.5065,-200501142.9788,-200489281.9428,-200487674.8151,198265.4710,-200484238.2580,-1.8353,-5222.7773,3256.8858,-6262.0781,-5718.5164,300115.3971,316539.0327,297349.8097,297039.5682,305104.9369,302866.4371,303375.1120,301790.1025,-88647412.6680,-88610608.8628,-88663835.6330,-88657381.5218,301476.3524,-88653558.5292,2112.1153,-4495.8345,-5859.0703,2350.9397,-892.3050,-182049.7105,-182102.8220,-182134.8008,-180534.8333,-176729.8836,-185332.0578,-191710.6141,-181199.6673,74397835.0361,74372747.3993,74375581.3090,74382347.8930,-182900.0046,74387625.2429,
7200.000,4469.8449,4201.5132,-89.4495,3945.2506,4077.8393,113856.8975,101861.4729,119793.8779,116832.1870,122408.3212,119375.4493,115027.0413,117492.1381,-170653365.2508,-170662338.4551,-170635616.0249,-170631916.1519,116564.5055,-170635757.8925,-2765.8730,5106.3613,1842.3823,5551.5267,1951.6150,335473.1821,354250.5037,336765.8998,338541.5361,345531.6928,342591.1719,343660.7789,341743.4684,-137544899.9903,-137514816.4080,-137565244.5746,-137558406.4657,341687.5114,-137551301.4706,-4514.2287,2065.8498,6681.2962,1291.2462,4933.1435,-180573.2596,-181855.3229,-180710.6959,-183025.6482,-175646.0676,-181214.1070,-191908.0802,-183997.9012,74359591.9390,74334406.9377,74344785.2485,74352640.9656,-182465.1105,74351444.3902,
10800.000,-1291.4874,-5752.3165,3996.9970,-4901.8580,-3666.9149,28182.4696,9910.6525,29012.5762,25043.4459,32935.8545,25548.2717,26597.7229,26373.3159,-129162176.2662,-129177440.7931,-129137337.6099,-129136103.5305,27348.0766,-129143493.9900,5405.0211,-3509.8726,-4396.5775,-2592.0864,3477.5673,351134.5301,369376.3480,354727.0300,361554.2113,364128.7380,358248.7351,362700.7531,359777.2103,-177031775.0670,-177010053.1268,-177051341.6014,-177038846.4784,360185.0480,-177037895.9852,4124.6791,1609.6829,-3596.7562,-4166.6416,-4402.5809,-179452.3651,-181598.7200,-179742.2835,-183370.2987,-175014.6072,-180590.1838,-191444.4028,-180567.8294,74320821.0223,74296150.5639,74314947.4864,74322485.2010,-182015.7300,74315263.3709,
14400.000,-1544.3669,5416.8302,-6051.7406,5047.1314,2220.3153,-58406.9877,-82984.3222,-63737.0573,-66485.6123,-58395.6419,-66972.4872,-64055.5287,-62747.6670,-78864797.2363,-78883779.8586,-78835074.7823,-78841160.1830,-63713.1304,-78845251.6884,-6642.8240,268.1470,2973.1294,-1499.6266,-6315.6978,346121.1145,360929.7831,350023.2794,360152.5269,359668.9804,352294.0156,359144.3255,356738.5347,-204414367.6875,-204401891.2217,-204428589.9184,-204413694.4176,355764.5459,-204419711.0346,-1211.4911,-4318.3895,-1652.6609,4502.4898,-251.5141,-178517.1586,-181331.1429,-179368.6952,-180387.3411,-174845.4775,-183924.4961,-190324.3631,-182724.6549,74281690.0346,74257990.7489,74285150.4267,74288952.2784,-181551.8955,74279082.2059,
18000.000,3518.9010,-3979.6312,3670.7530,-4445.6737,847.6974,-141155.4552,-170870.6219,-152458.9526,-153864.2822,-145757.8008,-153736.4707,-151237.5512,-151496.7783,-23199278.2647,-23219416.1394,-23169126.7255,-23182213.6509,-150823.3958,-23179299.3306,5434.3181,3597.7714,-38.7065,4880.6419,4739.1852,320567.5551,329440.1995,322953.2353,334246.3421,332373.1296,324914.3490,332980.5797,327387.0200,-217826527.4819,-217823458.6926,-217833088.1470,-217821924.7130,328678.6510,-217830765.6142,-2465.6527,4378.3565,5882.0817,-2123.1738,4647.7724,-177699.5186,-181050.9248,-179565.7784,-177685.9558,-175176.9528,-186464.9858,-188516.9079,-180049.3812,74242390.0338,74219940.8376,74254353.0758,74252452.7333,-181073.6403,74242900.9164,
21600.000,-4744.5054,2137.8155,1721.5967,2646.7821,-4668.8549,-215300.7954,-248128.0237,-231449.9273,-231788.5371,-223615.0972,-230703.1891,-229322.2596,-228189.4960,34030786.7142,34011876.9238,34056713.2401,34041084.6124,-228430.5631,34050663.3175,-2035.8155,-6348.3634,-840.3744,-6216.7885,-824.5217,275814.5443,276914.2695,275291.2457,286599.9376,283856.7096,277286.4197,285545.8591,282290.2621,-216356829.9241,-216362688.2876,-216356559.4348,-216353404.1045,280623.1285,-216359890.3719,4607.5326,-1780.4076,-6676.8657,-1560.4842,-4737.8099,-176964.7721,-180756.5052,-180152.5783,-175541.1632,-176086.6233,-188070.9732,-185949.0305,-181257.5131,74203123.0152,74182015.3105,74221895.1955,74213713.2473,-180580.9985,74206719.5232,
25200.000,5340.0364,83.5317,-5846.9024,456.1938,6253.7133,-276450.8997,-309828.6067,-295688.1224,-295233.9546,-287152.8435,-293467.8708,-292990.4816,-291326.9018,88916142.5927,88900536.9265,88934788.2638,88922957.9057,-291579.7313,88935415.4609,-2013.4022,6659.3915,-1289.0012,5428.2656,-2368.0546,214357.9680,206702.2549,210129.5788,220631.5563,216932.0320,212133.9328,219383.0026,212944.9115,-200110549.5254,-200124311.1391,-200106711.6004,-200112106.5976,214631.1001,-200112633.9293,-3928.6131,-1921.5321,3501.7099,4280.7179,392.8642,-176292.5268,-180446.3486,-180839.8422,-173903.7155,-177709.7214,-188884.8156,-182505.1915,-179596.7948,74164088.8317,74144230.0913,74187647.2926,74173414.4528,-180074.0051,74170538.0474,
28800.000,-4804.4348,-2725.5454,5584.9227,-4065.2533,-3508.0516,-320885.3307,-352050.6115,-341138.0441,-340098.6197,-333085.3641,-338196.4182,-337144.8738,-337047.6364,137708911.1305,137698281.5959,137719571.3883,137717667.1615,-336229.5245,137727244.3222,4919.9221,-4567.7478,3752.5449,-3470.5190,3746.2439,139725.3972,123278.5209,131633.0245,140709.4974,135162.5173,133336.2528,137688.1901,136508.5561,-170202176.6822,-170222380.5457,-170199029.4672,-170209202.1257,134882.0255,-170203707.8945,816.5855,4433.4989,1703.1581,-4420.1478,4295.0834,-175669.6381,-180118.8660,-181307.5482,-172733.6826,-180114.0821,-188995.6932,-178300.8377,-179655.6870,74125472.2517,74106602.9155,74151809.8065,74132410.0423,-179552.6963,74134356.5099,
