sl_20_5400_20260228 Coordinates.csv
2026/02/28 07:47:00.0000 UTC

Generated: Tue Oct  8 14:47:27 2024,
Start: 2026/02/28 07:47:00.00, Stop: 2026/02/28 09:17:00.00,
TIME_UNITS,STARLINK-3791 - X-Coordinate,STARLINK-4463 - X-Coordinate,STARLINK-6104 - X-Coordinate,STARLINK-3936 - X-Coordinate,STARLINK-31015 - X-Coordinate,STARLINK-11124 [DTC] - X-Coordinate,STARLINK-4627 - X-Coordinate,STARLINK-5169 - X-Coordinate,STARLINK-31533 - X-Coordinate,STARLINK-5031 - X-Coordinate,STARLINK-3254 - X-Coordinate,STARLINK-31093 - X-Coordinate,STARLINK-3361 - X-Coordinate,STARLINK-4715 - X-Coordinate,STARLINK-31578 - X-Coordinate,STARLINK-11254 [DTC] - X-Coordinate,STARLINK-31225 - X-Coordinate,STARLINK-4287 - X-Coordinate,STARLINK-30419 - X-Coordinate,STARLINK-3101 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3791 - Y-Coordinate,STARLINK-4463 - Y-Coordinate,STARLINK-6104 - Y-Coordinate,STARLINK-3936 - Y-Coordinate,STARLINK-31015 - Y-Coordinate,STARLINK-11124 [DTC] - Y-Coordinate,STARLINK-4627 - Y-Coordinate,STARLINK-5169 - Y-Coordinate,STARLINK-31533 - Y-Coordinate,STARLINK-5031 - Y-Coordinate,STARLINK-3254 - Y-Coordinate,STARLINK-31093 - Y-Coordinate,STARLINK-3361 - Y-Coordinate,STARLINK-4715 - Y-Coordinate,STARLINK-31578 - Y-Coordinate,STARLINK-11254 [DTC] - Y-Coordinate,STARLINK-31225 - Y-Coordinate,STARLINK-4287 - Y-Coordinate,STARLINK-30419 - Y-Coordinate,STARLINK-3101 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3791 - Z-Coordinate,STARLINK-4463 - Z-Coordinate,STARLINK-6104 - Z-Coordinate,STARLINK-3936 - Z-Coordinate,STARLINK-31015 - Z-Coordinate,STARLINK-11124 [DTC] - Z-Coordinate,STARLINK-4627 - Z-Coordinate,STARLINK-5169 - Z-Coordinate,STARLINK-31533 - Z-Coordinate,STARLINK-5031 - Z-Coordinate,STARLINK-3254 - Z-Coordinate,STARLINK-31093 - Z-Coordinate,STARLINK-3361 - Z-Coordinate,STARLINK-4715 - Z-Coordinate,STARLINK-31578 - Z-Coordinate,STARLINK-11254 [DTC] - Z-Coordinate,STARLINK-31225 - Z-Coordinate,STARLINK-4287 - Z-Coordinate,STARLINK-30419 - Z-Coordinate,STARLINK-3101 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,-5954.9611,608.4926,3239.7912,3787.3752,2479.6805,4378.7111,6315.9592,-313.4520,-2910.0772,-1284.5735,6848.7049,-1183.4164,1503.4829,-912.3643,3978.9288,-5278.5867,-5909.7117,-2876.4722,-2030.6558,-1594.3215,340675.6835,322529.4003,325913.9404,329260.2153,321062.3964,323661.5698,328382.8572,327134.2615,-242894271.3685,-242905174.6607,-242909995.9133,-242905796.6008,327808.4296,-242911438.8620,3308.2374,-1142.5177,-5507.0092,-3732.0074,4625.3358,-2854.4802,1502.2525,-5988.2702,-4748.0772,6761.4951,887.4874,4909.6570,-4077.4008,4315.9043,5053.3382,3806.4567,-3144.3187,4094.8385,-3579.9317,2545.6493,-90096.3373,-118787.2734,-93896.7086,-94685.0511,-97980.2834,-96800.5817,-103201.5714,-98193.4308,239693213.4524,239707502.6201,239686530.5824,239692849.2779,-99737.9202,239693356.3022,1109.1274,6801.5268,-2695.4689,-4415.8706,-4541.9029,-4218.3931,2374.7839,-3450.9919,-3941.0487,637.7467,-298.5698,4737.8423,-5272.2032,5309.4998,-2292.3912,1692.5357,-1442.4317,-4756.8202,-5473.8088,6247.4346,151977.0300,148542.7925,147822.8051,151706.4862,153670.2287,143988.4914,139669.2496,147448.8011,-79458932.1615,-79478779.2240,-79489820.6335,-79475972.5416,147965.0559,-79470006.3357,
3000.000,-5321.3033,2742.7684,1949.4887,3117.9182,4009.1830,2489.7731,6878.7916,-1692.1785,-4099.7373,-4.3743,6586.4392,778.8957,-679.1778,1227.9866,4761.2839,-4622.4427,-6064.9477,-802.2284,-3866.7847,591.1328,342531.9479,324940.3061,328084.3974,331358.5709,323111.4822,325697.6386,330419.4361,328994.5061,-248069076.7953,-248080082.6465,-248084242.4509,-248080339.0137,329870.4449,-248086171.5719,4340.9886,-1632.5427,-6526.0108,-5333.5786,3121.7477,-3601.2222,321.4256,-4820.0952,-3028.4029,6485.4446,-355.7495,4249.0793,-4052.2720,3957.9161,3422.7739,4885.2355,-1472.5429,4210.2514,-2452.9048,2312.8898,-82820.7817,-112012.6108,-86969.5519,-87865.9780,-91111.7065,-89952.8593,-96232.1344,-91320.4034,234334045.8188,234348604.3984,234327680.0448,234334464.4110,-92846.4018,234334226.8380,-708.4853,6145.2449,-1298.6972,-3097.6864,-4727.8549,-5094.3091,627.8901,-4666.9623,-4535.7819,2383.8028,-2072.6592,5410.3048,-5459.3608,5519.7970,-3500.3504,-127.5409,-2820.5969,-5413.4852,-5092.4547,6506.7533,151903.5668,148447.1904,147842.5794,151440.6247,153687.2854,144158.6450,139481.8893,147842.6492,-79453001.9299,-79472423.4340,-79483929.5153,-79469756.4144,147884.3811,-79464187.4749,
3300.000,-4150.2637,4601.4994,482.6743,2172.4705,5186.6131,336.3188,6756.4124,-2951.5317,-4914.9797,1302.3739,5672.3225,2695.2933,-2795.5581,3259.4907,5093.8921,-3463.7821,-5628.6857,1360.8733,-5331.4406,2727.4763,344231.5384,327209.2521,330111.0849,333313.4449,325017.5078,327596.2701,332307.7260,330783.5005,-253125673.3854,-253136795.2149,-253140294.8921,-253136747.4642,331787.6248,-253142697.6352,4945.6511,-1861.8354,-6911.4812,-6398.4766,1347.4069,-4017.0906,-884.2335,-3195.3966,-1015.6624,5569.6892,-1586.6330,3221.3407,-3672.9515,3266.3982,1436.3375,5435.0154,367.7005,3966.8790,-1128.4750,1929.8813,-75507.9656,-105188.0179,-80003.3211,-81009.0192,-84201.1660,-83067.1575,-89220.8235,-84533.7677,228863184.9434,228878004.9635,228857160.0397,228864394.5090,-85912.1994,228863407.2709,-2449.2879,4831.8434,237.0904,-1445.0383,-4410.5377,-5373.0197,-1186.8013,-5381.6055,-4622.4335,3872.1416,-3623.0888,5503.1816,-5038.4552,5133.5101,-4316.8224,-1932.7050,-3885.8267,-5485.5678,-4147.4208,6072.5240,151829.6153,148351.4528,147862.3298,151168.3788,153700.8131,144335.2743,139299.3857,148239.7333,-79447076.6033,-79466061.7219,-79478029.8966,-79463499.3333,147803.6028,-79458368.4614,
3600.000,-2548.9104,5975.2802,-1033.2782,1026.2834,5895.3824,-1846.2299,5961.4829,-3973.8674,-5273.5329,2521.2908,4202.5144,4375.6886,-4626.1198,4977.1222,4951.6492,-1913.9062,-4653.2877,3396.0073,-6268.6958,4594.2126,345773.7469,329335.1825,331993.1200,335123.9102,326779.5353,329357.3992,334046.8915,332515.8702,-258061650.9117,-258072901.8195,-258075744.0264,-258072615.1955,333559.0847,-258078606.9583,5079.0155,-1822.5079,-6626.8103,-6821.8985,-528.1306,-4060.2815,-2015.2837,-1280.1207,1084.3549,4111.3774,-2699.9477,1929.5973,-2973.5057,2306.1864,-705.3353,5412.1964,2198.4079,3390.0660,267.5802,1430.0569,-68161.2889,-98316.4654,-73001.0581,-74117.7499,-77251.6045,-76146.5157,-82170.8815,-77821.1853,223283237.6353,223298310.2707,223277576.7725,223285237.4753,-78938.3559,223283504.3122,-3924.8506,3001.3025,1747.4600,363.8517,-3623.5189,-5022.1199,-2873.5302,-5518.8191,-4191.4045,4941.9859,-4783.1814,5006.4954,-4056.1048,4192.1680,-4651.0395,-3511.7068,-4520.4792,-4965.4174,-2742.7145,4990.6030,151755.1799,148255.5808,147881.8652,150889.6138,153710.8291,144518.4122,139121.6935,148601.7188,-79441156.2299,-79459694.3490,-79472121.6679,-79457202.3531,147722.7213,-79452549.2951,
3900.000,-669.3836,6706.6354,-2465.7360,-226.5987,6060.4729,-3820.1667,4574.7898,-4658.8973,-5134.3214,3542.1214,2327.7526,5649.9397,-5980.3298,6205.9779,4352.6638,-128.7122,-3242.2033,5098.1511,-6574.5724,5997.4058,347157.9390,331317.1032,333729.6819,336789.0845,328396.6917,330981.1000,335636.1690,334197.9257,-262874656.6228,-262886049.3428,-262888238.0997,-262885591.9998,335184.0035,-262891546.9188,4743.1915,-1543.3023,-5701.3533,-6564.3579,-2328.5964,-3721.5239,-2978.5789,734.1458,3058.8510,2260.9824,-3598.0593,497.1372,-2014.2823,1162.6601,-2785.0138,4834.2549,3839.6309,2531.3184,1606.8863,850.1574,-60784.1634,-91400.9466,-65965.8180,-67195.8311,-70265.9874,-69193.9885,-75085.5621,-71160.3826,217596862.7019,217612178.2872,217591588.4007,217599642.4893,-71927.9327,217597176.6663,-4976.0917,849.3550,3070.5457,2133.3274,-2450.2343,-4082.3457,-4250.8506,-5064.0686,-3290.6930,5477.9505,-5428.7781,3973.2143,-2621.2520,2797.2560,-4465.9263,-4680.4598,-4654.6586,-3908.8184,-1033.5459,3375.8339,151680.2646,148159.5754,147900.9943,150604.1996,153717.3499,144708.0682,138948.7700,148893.4249,-79435240.8553,-79453321.5986,-79466204.7200,-79450867.2481,147641.7365,-79446729.9762,
4200.000,1305.9265,6708.8631,-3688.3248,-1480.6276,5656.6827,-5371.0403,2736.3923,-4933.3299,-4502.3146,4268.4879,237.3895,6385.3032,-6716.7506,6819.5212,3355.8689,1707.2594,-1538.7738,6294.6317,-6209.2374,6790.3637,348383.5546,333154.0833,335320.0121,338308.1256,329868.1696,332467.5960,337074.8664,335826.8301,-267562396.3642,-267573943.2181,-267575483.9333,-267573385.1312,336661.6247,-267579223.4865,3983.2287,-1083.9760,-4227.2977,-5655.6690,-3887.4229,-3025.7865,-3694.4816,2649.1323,4709.3197,206.3145,-4199.0194,-944.2840,-877.3088,-65.5425,-4590.6446,3775.4557,5126.8879,1464.0517,2770.0315,228.0885,-53380.0117,-84444.4763,-58900.6678,-60247.0178,-63247.3010,-62212.6451,-67968.1289,-64521.9733,211806769.6821,211822317.7291,211801903.7670,211810308.9066,-64884.0080,211807133.7631,-5490.1882,-1393.5548,4064.6151,3671.7648,-1015.4442,-2663.1731,-5171.2211,-4065.8057,-2020.8014,5422.2822,-5491.0631,2513.8132,-893.5648,1099.5285,-3782.0035,-5303.3028,-4273.5923,-2429.3519,790.4960,1400.2914,151604.8734,148063.4375,147919.5265,150312.0153,153720.3906,144904.2211,138780.5747,149085.9947,-79429330.5231,-79446943.7760,-79460278.9445,-79444496.5837,147560.6485,-79440910.5046,
4500.000,3182.1390,5976.6760,-4591.9314,-2627.3841,4712.4815,-6331.0962,630.8476,-4758.8045,-3429.4506,4626.8336,-1859.7852,6500.7413,-6758.4407,6753.2049,2055.4138,3399.8554,288.2099,6862.9765,-5202.6038,6889.7846,349450.1077,334845.2544,336763.4147,339680.2237,331193.2276,333817.2734,338362.3636,337390.8432,-272122635.6722,-272134348.5232,-272135248.0162,-272133760.2035,337991.2562,-272139402.3173,2880.9326,-525.5459,-2350.1056,-4191.3786,-5063.2068,-2031.3790,-4102.8531,4279.1436,5871.5273,-1846.7370,-4443.6539,-2266.4642,340.0884,-1274.7323,-5936.7316,2356.8796,5927.4022,277.8764,3657.0805,-398.6720,-45952.2652,-77450.0893,-51808.6852,-53275.1695,-56198.5517,-55205.5699,-60821.8541,-57872.9250,205915717.5552,205931486.7741,205911281.1090,205919985.2007,-57809.6759,205916134.4679,-5412.1863,-3487.5869,4623.3236,4812.6578,527.8283,-930.6912,-5536.4832,-2630.6079,-523.8913,4780.8933,-4963.4652,784.6849,934.0497,-717.2468,-2675.2359,-5308.1687,-3419.1800,-686.6685,2526.5674,-724.9547,151529.0102,147967.1682,147937.2723,150012.9542,153719.9653,145106.8080,138617.0695,149159.2507,-79423425.2743,-79440561.2088,-79454344.2340,-79438093.7581,147479.4573,-79435090.8804,
4800.000,4770.8626,4586.9446,-5094.2160,-3564.7150,3308.6931,-6598.0906,-1531.5575,-4137.2749,-2011.1296,4573.9183,-3756.1319,5976.3335,-6101.5770,6011.6392,572.2172,4765.4750,2060.9314,6744.0979,-3652.2164,6285.0953,350357.1866,336389.8121,338059.2566,340904.5931,332371.1899,335030.6949,339498.1119,338870.5253,-276553200.8386,-276565091.0466,-276565357.5681,-276564542.0939,339172.2711,-276569909.8179,1545.9184,42.1272,-253.7771,-2322.2182,-5752.7058,-826.0393,-4167.5499,5469.0870,6432.1862,-3694.8636,-4301.2707,-3356.1254,1533.1344,-2364.6696,-6683.4873,732.4269,6153.8418,-928.3840,4195.9338,-994.2150,-38504.3628,-70420.8390,-44692.9575,-46284.2624,-49122.7638,-48175.8628,-53650.0173,-51180.1496,199926513.4258,199942491.7505,199922526.7443,199931467.9423,-50708.0447,199926985.7660,-4750.4988,-5209.8341,4686.9884,5432.7256,2014.6480,911.4343,-5307.8352,-912.2778,1031.9257,3622.7833,-3902.2845,-1028.6465,2657.1113,-2456.4620,-1268.9512,-4694.4311,-2185.6162,1130.4915,3981.5085,-2772.8114,151452.6788,147870.7685,147954.0435,149706.9325,153716.0869,145315.7106,138458.2186,149103.0188,-79417525.1477,-79434174.2465,-79448400.4820,-79431663.0018,147398.1630,-79429271.1035,
5100.000,5908.8709,2689.6235,-5146.9198,-4205.5657,1571.8086,-6146.9012,-3535.6346,-3112.9261,-378.2004,4102.1800,-5265.5184,4856.3678,-4815.9226,4668.2189,-956.8321,5650.6678,3609.6478,5948.9857,-1713.5076,5039.4919,351104.4541,337787.0158,339206.9672,341980.4597,333401.4474,336108.6170,340481.6346,340240.6468,-280851979.9477,-280864058.3244,-280863701.5735,-280863615.8741,340204.1075,-280868634.1817,104.8821,533.4531,1857.3872,-238.0929,-5899.9550,480.1097,-3879.3517,6109.5673,6340.3684,-5157.5992,-3773.5670,-4124.5218,2598.2812,-3246.5631,-6751.8195,-927.6016,5774.2198,-2054.5199,4347.6658,-1524.9923,-31039.7493,-63359.7966,-37556.5801,-39278.4031,-42022.9780,-41126.6408,-46455.9039,-44413.7539,193842011.1862,193858185.8036,193838493.7333,193847600.8050,-43582.2358,193842541.4261,-3576.0351,-6378.1750,4248.8227,5465.0521,3286.0059,2646.0235,-4509.6717,904.3550,2471.5482,2072.8652,-2421.0303,-2731.7503,4082.8163,-3930.3441,279.5882,-3533.0011,-709.3623,2824.8824,4993.6469,-4525.0745,151375.8829,147774.2393,147969.6532,149393.8994,153708.7671,145530.7369,138303.9881,148917.4059,-79411630.1796,-79427783.2602,-79442447.5836,-79425209.3248,147316.7657,-79423451.1739,
5400.000,6474.9717,490.5895,-4740.4816,-4485.8677,-337.4995,-5032.0669,-5182.4401,-1769.9329,1314.9701,3242.2045,-6241.7550,3245.5065,-3037.0258,2857.2870,-2391.2477,5949.5046,4788.9734,4557.8011,416.2844,3282.5848,351691.6474,339036.1892,340206.0388,342907.0457,334283.4572,337052.0079,341312.5267,341472.4997,-285016923.8825,-285029200.6482,-285028231.7866,-285028927.7900,341086.2692,-285033526.3957,-1310.0820,878.9679,3778.7453,1851.4478,-5500.5338,1764.2701,-3257.2442,6147.3129,5612.1919,-6095.3104,-2896.1805,-4514.2870,3441.8533,-3849.8028,-6132.2773,-2453.9603,4816.6419,-3006.9354,4108.4885,-1960.3874,-23561.8735,-56270.0491,-30402.6553,-32261.8451,-34902.2506,-34061.0392,-39242.8039,-37549.6353,187665110.1567,187681467.5399,187662080.5200,187671273.5748,-36435.3821,187665700.6397,-2015.0137,-6869.9104,3355.6358,4906.0948,4206.0250,4068.4563,-3227.1278,2623.4129,3632.8439,298.6782,-678.7574,-4142.5079,5051.8687,-4980.3978,1796.7212,-1958.6545,845.7382,4212.5215,5450.7511,-5796.0123,151298.6262,147677.5817,147983.9170,149073.8532,153698.0166,145751.5963,138154.3467,148612.1832,-79405740.4040,-79421388.6422,-79436485.4352,-79418738.4089,147235.2655,-79417631.0918,
