sl_100_5400_20260824 Coordinates.csv
2026/08/24 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:31 2024,
Start: 2026/08/24 07:47:00.00, Stop: 2026/08/24 09:17:00.00,
TIME_UNITS,STARLINK-1665 - X-Coordinate,STARLINK-2355 - X-Coordinate,STARLINK-1977 - X-Coordinate,STARLINK-1467 - X-Coordinate,STARLINK-3525 - X-Coordinate,STARLINK-31601 - X-Coordinate,STARLINK-5085 - X-Coordinate,STARLINK-2647 - X-Coordinate,STARLINK-4300 - X-Coordinate,STARLINK-11166 [DTC] - X-Coordinate,STARLINK-30549 - X-Coordinate,STARLINK-4259 - X-Coordinate,STARLINK-32254 - X-Coordinate,STARLINK-30989 - X-Coordinate,STARLINK-2505 - X-Coordinate,STARLINK-30211 - X-Coordinate,STARLINK-1940 - X-Coordinate,STARLINK-2126 - X-Coordinate,STARLINK-30900 - X-Coordinate,STARLINK-5594 - X-Coordinate,STARLINK-31682 - X-Coordinate,STARLINK-5245 - X-Coordinate,STARLINK-31755 - X-Coordinate,STARLINK-3717 - X-Coordinate,STARLINK-5515 - X-Coordinate,STARLINK-5058 - X-Coordinate,STARLINK-3088 - X-Coordinate,STARLINK-5010 - X-Coordinate,STARLINK-2680 - X-Coordinate,STARLINK-3365 - X-Coordinate,STARLINK-5762 - X-Coordinate,STARLINK-6037 - X-Coordinate,STARLINK-6341 - X-Coordinate,STARLINK-3665 - X-Coordinate,STARLINK-3642 - X-Coordinate,STARLINK-5503 - X-Coordinate,STARLINK-5834 - X-Coordinate,STARLINK-4127 - X-Coordinate,STARLINK-31560 - X-Coordinate,STARLINK-3796 - X-Coordinate,STARLINK-31741 - X-Coordinate,STARLINK-3198 - X-Coordinate,STARLINK-2685 - X-Coordinate,STARLINK-1059 - X-Coordinate,STARLINK-3619 - X-Coordinate,STARLINK-4444 - X-Coordinate,STARLINK-5782 - X-Coordinate,STARLINK-4738 - X-Coordinate,STARLINK-2570 - X-Coordinate,STARLINK-5048 - X-Coordinate,STARLINK-30765 - X-Coordinate,STARLINK-1513 - X-Coordinate,STARLINK-2106 - X-Coordinate,STARLINK-30572 - X-Coordinate,STARLINK-3613 - X-Coordinate,STARLINK-1762 - X-Coordinate,STARLINK-30160 - X-Coordinate,STARLINK-2299 - X-Coordinate,STARLINK-31555 - X-Coordinate,STARLINK-3057 - X-Coordinate,STARLINK-5639 - X-Coordinate,STARLINK-30303 - X-Coordinate,STARLINK-1877 - X-Coordinate,STARLINK-2271 - X-Coordinate,STARLINK-31096 - X-Coordinate,STARLINK-6096 - X-Coordinate,STARLINK-31693 - X-Coordinate,STARLINK-31933 - X-Coordinate,STARLINK-1541 - X-Coordinate,STARLINK-31503 - X-Coordinate,STARLINK-3530 - X-Coordinate,STARLINK-1559 - X-Coordinate,STARLINK-1887 - X-Coordinate,STARLINK-4397 - X-Coordinate,STARLINK-3528 - X-Coordinate,STARLINK-31046 - X-Coordinate,STARLINK-1142 - X-Coordinate,STARLINK-4283 - X-Coordinate,STARLINK-5610 - X-Coordinate,STARLINK-3078 - X-Coordinate,STARLINK-11283 [DTC] - X-Coordinate,STARLINK-31193 - X-Coordinate,STARLINK-4453 - X-Coordinate,STARLINK-30436 - X-Coordinate,STARLINK-5746 - X-Coordinate,STARLINK-6051 - X-Coordinate,STARLINK-2493 - X-Coordinate,STARLINK-5214 - X-Coordinate,STARLINK-30267 - X-Coordinate,STARLINK-11086 [DTC] - X-Coordinate,STARLINK-3728 - X-Coordinate,STARLINK-5543 - X-Coordinate,STARLINK-1738 - X-Coordinate,STARLINK-30486 - X-Coordinate,STARLINK-4600 - X-Coordinate,STARLINK-1708 - X-Coordinate,STARLINK-30560 - X-Coordinate,STARLINK-3826 - X-Coordinate,STARLINK-30240 - X-Coordinate,STARLINK-4662 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1665 - Y-Coordinate,STARLINK-2355 - Y-Coordinate,STARLINK-1977 - Y-Coordinate,STARLINK-1467 - Y-Coordinate,STARLINK-3525 - Y-Coordinate,STARLINK-31601 - Y-Coordinate,STARLINK-5085 - Y-Coordinate,STARLINK-2647 - Y-Coordinate,STARLINK-4300 - Y-Coordinate,STARLINK-11166 [DTC] - Y-Coordinate,STARLINK-30549 - Y-Coordinate,STARLINK-4259 - Y-Coordinate,STARLINK-32254 - Y-Coordinate,STARLINK-30989 - Y-Coordinate,STARLINK-2505 - Y-Coordinate,STARLINK-30211 - Y-Coordinate,STARLINK-1940 - Y-Coordinate,STARLINK-2126 - Y-Coordinate,STARLINK-30900 - Y-Coordinate,STARLINK-5594 - Y-Coordinate,STARLINK-31682 - Y-Coordinate,STARLINK-5245 - Y-Coordinate,STARLINK-31755 - Y-Coordinate,STARLINK-3717 - Y-Coordinate,STARLINK-5515 - Y-Coordinate,STARLINK-5058 - Y-Coordinate,STARLINK-3088 - Y-Coordinate,STARLINK-5010 - Y-Coordinate,STARLINK-2680 - Y-Coordinate,STARLINK-3365 - Y-Coordinate,STARLINK-5762 - Y-Coordinate,STARLINK-6037 - Y-Coordinate,STARLINK-6341 - Y-Coordinate,STARLINK-3665 - Y-Coordinate,STARLINK-3642 - Y-Coordinate,STARLINK-5503 - Y-Coordinate,STARLINK-5834 - Y-Coordinate,STARLINK-4127 - Y-Coordinate,STARLINK-31560 - Y-Coordinate,STARLINK-3796 - Y-Coordinate,STARLINK-31741 - Y-Coordinate,STARLINK-3198 - Y-Coordinate,STARLINK-2685 - Y-Coordinate,STARLINK-1059 - Y-Coordinate,STARLINK-3619 - Y-Coordinate,STARLINK-4444 - Y-Coordinate,STARLINK-5782 - Y-Coordinate,STARLINK-4738 - Y-Coordinate,STARLINK-2570 - Y-Coordinate,STARLINK-5048 - Y-Coordinate,STARLINK-30765 - Y-Coordinate,STARLINK-1513 - Y-Coordinate,STARLINK-2106 - Y-Coordinate,STARLINK-30572 - Y-Coordinate,STARLINK-3613 - Y-Coordinate,STARLINK-1762 - Y-Coordinate,STARLINK-30160 - Y-Coordinate,STARLINK-2299 - Y-Coordinate,STARLINK-31555 - Y-Coordinate,STARLINK-3057 - Y-Coordinate,STARLINK-5639 - Y-Coordinate,STARLINK-30303 - Y-Coordinate,STARLINK-1877 - Y-Coordinate,STARLINK-2271 - Y-Coordinate,STARLINK-31096 - Y-Coordinate,STARLINK-6096 - Y-Coordinate,STARLINK-31693 - Y-Coordinate,STARLINK-31933 - Y-Coordinate,STARLINK-1541 - Y-Coordinate,STARLINK-31503 - Y-Coordinate,STARLINK-3530 - Y-Coordinate,STARLINK-1559 - Y-Coordinate,STARLINK-1887 - Y-Coordinate,STARLINK-4397 - Y-Coordinate,STARLINK-3528 - Y-Coordinate,STARLINK-31046 - Y-Coordinate,STARLINK-1142 - Y-Coordinate,STARLINK-4283 - Y-Coordinate,STARLINK-5610 - Y-Coordinate,STARLINK-3078 - Y-Coordinate,STARLINK-11283 [DTC] - Y-Coordinate,STARLINK-31193 - Y-Coordinate,STARLINK-4453 - Y-Coordinate,STARLINK-30436 - Y-Coordinate,STARLINK-5746 - Y-Coordinate,STARLINK-6051 - Y-Coordinate,STARLINK-2493 - Y-Coordinate,STARLINK-5214 - Y-Coordinate,STARLINK-30267 - Y-Coordinate,STARLINK-11086 [DTC] - Y-Coordinate,STARLINK-3728 - Y-Coordinate,STARLINK-5543 - Y-Coordinate,STARLINK-1738 - Y-Coordinate,STARLINK-30486 - Y-Coordinate,STARLINK-4600 - Y-Coordinate,STARLINK-1708 - Y-Coordinate,STARLINK-30560 - Y-Coordinate,STARLINK-3826 - Y-Coordinate,STARLINK-30240 - Y-Coordinate,STARLINK-4662 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1665 - Z-Coordinate,STARLINK-2355 - Z-Coordinate,STARLINK-1977 - Z-Coordinate,STARLINK-1467 - Z-Coordinate,STARLINK-3525 - Z-Coordinate,STARLINK-31601 - Z-Coordinate,STARLINK-5085 - Z-Coordinate,STARLINK-2647 - Z-Coordinate,STARLINK-4300 - Z-Coordinate,STARLINK-11166 [DTC] - Z-Coordinate,STARLINK-30549 - Z-Coordinate,STARLINK-4259 - Z-Coordinate,STARLINK-32254 - Z-Coordinate,STARLINK-30989 - Z-Coordinate,STARLINK-2505 - Z-Coordinate,STARLINK-30211 - Z-Coordinate,STARLINK-1940 - Z-Coordinate,STARLINK-2126 - Z-Coordinate,STARLINK-30900 - Z-Coordinate,STARLINK-5594 - Z-Coordinate,STARLINK-31682 - Z-Coordinate,STARLINK-5245 - Z-Coordinate,STARLINK-31755 - Z-Coordinate,STARLINK-3717 - Z-Coordinate,STARLINK-5515 - Z-Coordinate,STARLINK-5058 - Z-Coordinate,STARLINK-3088 - Z-Coordinate,STARLINK-5010 - Z-Coordinate,STARLINK-2680 - Z-Coordinate,STARLINK-3365 - Z-Coordinate,STARLINK-5762 - Z-Coordinate,STARLINK-6037 - Z-Coordinate,STARLINK-6341 - Z-Coordinate,STARLINK-3665 - Z-Coordinate,STARLINK-3642 - Z-Coordinate,STARLINK-5503 - Z-Coordinate,STARLINK-5834 - Z-Coordinate,STARLINK-4127 - Z-Coordinate,STARLINK-31560 - Z-Coordinate,STARLINK-3796 - Z-Coordinate,STARLINK-31741 - Z-Coordinate,STARLINK-3198 - Z-Coordinate,STARLINK-2685 - Z-Coordinate,STARLINK-1059 - Z-Coordinate,STARLINK-3619 - Z-Coordinate,STARLINK-4444 - Z-Coordinate,STARLINK-5782 - Z-Coordinate,STARLINK-4738 - Z-Coordinate,STARLINK-2570 - Z-Coordinate,STARLINK-5048 - Z-Coordinate,STARLINK-30765 - Z-Coordinate,STARLINK-1513 - Z-Coordinate,STARLINK-2106 - Z-Coordinate,STARLINK-30572 - Z-Coordinate,STARLINK-3613 - Z-Coordinate,STARLINK-1762 - Z-Coordinate,STARLINK-30160 - Z-Coordinate,STARLINK-2299 - Z-Coordinate,STARLINK-31555 - Z-Coordinate,STARLINK-3057 - Z-Coordinate,STARLINK-5639 - Z-Coordinate,STARLINK-30303 - Z-Coordinate,STARLINK-1877 - Z-Coordinate,STARLINK-2271 - Z-Coordinate,STARLINK-31096 - Z-Coordinate,STARLINK-6096 - Z-Coordinate,STARLINK-31693 - Z-Coordinate,STARLINK-31933 - Z-Coordinate,STARLINK-1541 - Z-Coordinate,STARLINK-31503 - Z-Coordinate,STARLINK-3530 - Z-Coordinate,STARLINK-1559 - Z-Coordinate,STARLINK-1887 - Z-Coordinate,STARLINK-4397 - Z-Coordinate,STARLINK-3528 - Z-Coordinate,STARLINK-31046 - Z-Coordinate,STARLINK-1142 - Z-Coordinate,STARLINK-4283 - Z-Coordinate,STARLINK-5610 - Z-Coordinate,STARLINK-3078 - Z-Coordinate,STARLINK-11283 [DTC] - Z-Coordinate,STARLINK-31193 - Z-Coordinate,STARLINK-4453 - Z-Coordinate,STARLINK-30436 - Z-Coordinate,STARLINK-5746 - Z-Coordinate,STARLINK-6051 - Z-Coordinate,STARLINK-2493 - Z-Coordinate,STARLINK-5214 - Z-Coordinate,STARLINK-30267 - Z-Coordinate,STARLINK-11086 [DTC] - Z-Coordinate,STARLINK-3728 - Z-Coordinate,STARLINK-5543 - Z-Coordinate,STARLINK-1738 - Z-Coordinate,STARLINK-30486 - Z-Coordinate,STARLINK-4600 - Z-Coordinate,STARLINK-1708 - Z-Coordinate,STARLINK-30560 - Z-Coordinate,STARLINK-3826 - Z-Coordinate,STARLINK-30240 - Z-Coordinate,STARLINK-4662 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3993.1796,-3798.9907,2389.6908,0.0000,-6844.0831,6045.0171,-2643.4283,-4105.1718,6283.7759,-4419.8789,676.2180,-5361.6551,-4101.6885,-3320.7041,1622.8275,-5327.7287,-4829.8526,0.0000,-2397.3799,1322.8746,0.0000,-4129.5204,-2362.4992,-1354.9640,2840.6078,2596.2547,-1341.5976,-5267.5526,-2812.2296,-6089.5152,-4101.3625,-6853.6667,4025.0524,2566.2697,-955.2226,2850.5213,-3543.6224,-4221.8810,5360.9590,4797.4102,-4024.1495,-4101.5328,-4592.5914,0.0000,-5991.8867,-897.0526,-5531.0897,1262.5247,-4889.7670,6883.6779,6609.2064,4483.2507,3264.4552,6011.7040,-4580.8292,-5300.9049,2467.5685,-5832.1981,5076.5255,2858.0233,-6175.9769,4218.3557,-6755.8290,3699.3374,-3374.4981,5658.8981,3439.5441,-546.1564,3145.8467,4845.5901,2014.6120,4884.4916,6881.0912,-6004.5925,-57.6107,-3611.9255,1991.4343,5565.4106,2025.8280,-730.8400,-3990.7970,5883.0160,-847.4900,-6838.3985,-5471.9950,841.3383,-6473.4474,65.6346,-6069.4751,4455.0207,3446.8487,-5948.2000,5894.0470,-6191.6710,-3907.4546,-5863.0463,2703.5946,-1678.1519,-4207.6175,2652.9735,329482.3395,342844.8294,341681.4401,338665.0989,346832.4862,344146.9931,340378.6057,341284.3529,-255320777.4656,-255320596.8003,-255323260.7042,-255325722.2651,340560.1535,-255337632.8984,-1240.8320,1646.1135,-6022.1205,0.0000,-659.6384,-1210.3468,6127.9511,1825.0600,-2586.0584,746.7763,6810.5710,860.3832,-5475.7765,4672.5211,-6157.0210,-1174.3686,2503.2389,0.0000,-6197.6810,-4992.0364,0.0000,5520.5194,-4445.3410,4292.7257,-4271.9753,-5877.0994,-5266.1598,-3427.4137,3483.8788,-1691.1914,4816.8368,-711.4135,-1397.1023,-3257.7492,6740.2486,-4655.9949,-4575.1775,4298.7061,-2481.0930,-2794.0959,2933.2895,4045.2111,4117.7366,0.0000,1667.8584,3091.0622,-1875.3813,-4073.0777,-3499.2908,171.2591,-2052.8240,-3516.8768,-4909.2520,-1582.4144,-1849.1810,1307.2153,-4491.6279,635.0802,1341.2129,2494.4775,3146.5743,1483.6790,-1144.4952,4126.3705,-4015.1866,-478.8319,-4964.1111,-6734.1200,-2868.1434,1201.0222,-4039.8606,4874.1007,712.3127,2988.1688,4395.2054,3239.6825,3523.0311,3157.4234,6300.8815,2407.6201,5296.3394,-2316.5499,-2154.3494,-1029.8726,-4252.3610,-2273.1613,1612.0151,-6878.1235,688.4652,-1945.4526,-5548.4585,-3360.0276,-2264.6237,-2821.3604,1382.9720,433.8496,-6144.8012,-5171.2904,-5318.2865,-3179.7984,-136480.4989,-110730.0030,-129258.6382,-128703.5732,-125982.3644,-126683.4660,-119172.8507,-123669.4580,44604873.6871,44630831.5112,44607591.3390,44613845.3361,-123246.3549,44609031.2622,5495.0587,-5473.4094,-2398.3049,0.0000,479.8850,-3004.9236,1942.1887,5187.7012,-1298.9457,4929.7065,96.0769,4259.2669,-917.8531,-3916.9004,2210.2599,4257.0857,4266.9411,0.0000,1967.4692,4649.4821,0.0000,504.1080,-4594.1869,5238.8709,4659.6600,-2609.0588,4321.4658,2839.1336,5203.3016,2800.5625,-2838.4607,890.0667,5480.3554,-5539.3267,1181.7285,4305.0539,3817.6254,-3403.4185,-3421.4994,4114.9545,4629.2854,3816.6432,-3142.9104,0.0000,2993.6423,-6149.3100,-3741.9336,5436.7480,3243.6155,383.9113,-163.4875,3917.4924,-3628.8123,-2820.3444,4831.9669,4194.0671,-4641.6082,-3521.4159,-4336.9475,5822.4572,-165.9255,5168.4175,-885.3648,4094.7234,4519.3775,-3981.2889,3130.1731,949.8022,-5422.6702,4640.2420,5209.7147,119.2578,71.9010,-1788.2902,-5344.1697,4823.4476,5376.5158,-2609.9684,2041.5532,-6482.7553,1051.3726,2549.1637,-6538.3331,-362.4315,250.3773,-6514.0985,-1852.5722,-640.5807,-3060.3302,4658.0007,2263.2450,1177.5657,-2807.7679,-1338.1075,-5541.1250,-3651.8984,-1152.3685,-4276.6434,-1433.6257,5533.2517,-172982.6029,-173961.8057,-176150.6760,-170929.7984,-170619.8950,-181088.4605,-182985.0746,-173954.9254,113145687.4593,113178155.7836,113172347.8398,113158533.8011,-175581.2526,113156457.3025,
300.000,-4656.1911,-2912.2039,1295.3659,0.0000,-6741.2439,4753.6490,-2150.2524,-2501.1252,5198.1792,-3121.1352,1843.2152,-3966.1524,-4730.0911,-1305.2359,430.5731,-5008.3693,-4669.2166,0.0000,-3883.5662,737.2502,0.0000,-3044.4906,-4222.7522,361.7615,833.3710,763.5325,-2393.8182,-6315.6201,-722.6291,-6806.5186,-3006.9785,-6301.6419,2063.8932,737.5798,249.4329,1319.0642,-5186.6971,-3581.4267,4903.0327,4567.1741,-2510.6368,-2233.3460,-4016.8059,0.0000,-6038.9931,-957.4893,-5298.7204,-915.7660,-6091.1435,6465.9917,5877.8450,4030.7477,2370.2334,4682.5338,-5821.1466,-5538.5398,637.5812,-4563.7417,5788.5225,2520.1643,-5231.4563,5315.7332,-6399.5032,4106.4541,-4555.4030,5816.2844,2566.0196,-2022.8179,1299.6616,5211.0091,-143.6703,5512.1686,6641.7845,-5362.5185,1980.4869,-2882.6789,3791.2036,5387.4872,3304.9483,1050.9343,-2608.1831,4497.6288,-588.4004,-6805.2601,-6165.7440,-1338.5551,-6305.5929,-1135.4859,-6349.9406,4328.2676,2498.5461,-5730.6951,5767.4868,-6266.7873,-3039.1485,-6305.5642,1563.3807,-2854.3850,-5388.4693,866.8780,332404.3095,345232.7042,344109.8038,341190.5861,349402.7632,346744.5964,342914.1476,343627.5343,-256231686.2810,-256231691.4705,-256233713.6930,-256236797.5472,343100.6881,-256248459.2388,785.1219,3600.7937,-6752.3852,0.0000,554.9059,-2364.6243,6609.6794,3282.1219,-3468.4568,2506.7059,6368.9224,2268.3074,-4284.2357,5066.7352,-6714.5550,916.5750,4196.1663,0.0000,-5722.2524,-6259.4855,0.0000,6068.6744,-3429.0308,5328.7189,-5058.8728,-5789.2880,-6012.7380,-2527.3389,4064.1564,-521.1157,6072.3004,-18.2014,-1973.9564,-4407.7442,6877.9069,-5897.6024,-3716.3901,5637.1875,-4214.4584,-4434.3409,4490.6488,4319.0537,5432.4194,0.0000,3075.0271,910.3587,137.3483,-4113.8004,-2644.1921,-1042.0508,-3387.1674,-5061.3305,-6159.7292,-2646.3319,-458.8014,2979.2870,-5511.7012,1976.9992,-556.9282,405.8392,4337.3831,-201.4183,151.9858,2214.7165,-2220.5976,-2363.1698,-6126.7254,-6055.8059,-4025.9898,-917.0658,-4127.0713,3802.5849,-520.1029,2183.8610,3657.6370,4979.1443,2277.4502,1529.8524,5107.8741,3563.0115,5530.2502,-3550.8873,-4174.5335,483.7828,-2904.6669,-2565.4017,2853.7419,-6709.9753,2093.7431,-3811.3304,-6428.2430,-3755.9045,-3635.9638,-1174.2819,3353.8975,1911.8233,-6593.0806,-3580.4027,-4356.6523,-4397.7016,-129522.4825,-103363.3521,-122085.7934,-121447.2323,-118775.4859,-119475.4741,-112046.2637,-116031.9003,39019365.6731,39045903.8750,39022571.9112,39028850.3331,-116045.2080,39023533.9108,5039.7533,-5064.4101,-656.9316,0.0000,-1334.2701,-4343.0028,-163.0794,5482.9574,-2971.0929,5325.3477,-1708.2908,5170.6565,-2635.8682,-4563.6736,433.1653,4685.5757,2902.5163,0.0000,475.7299,2931.4738,0.0000,-1308.1074,-4106.2449,4382.6270,4663.3102,-3741.1825,2520.9229,1146.5948,5484.1296,1104.1726,-1467.1568,2921.0116,6325.6448,-5282.4522,-633.3695,3440.0135,2715.1875,-1806.3993,-2189.3948,2695.5784,4445.3211,4908.0135,-1502.8717,0.0000,1324.5937,-6813.7268,-4474.2959,5475.7671,1617.3134,2153.2167,1370.3355,2446.2875,-2084.9035,-4204.9914,3699.3761,2807.1653,-4125.3926,-4699.7577,-3544.1422,6462.3765,1367.0389,4293.4291,-2603.5476,5068.3257,4716.8243,-2946.4221,1477.9462,2399.6728,-5443.1729,4296.8175,5519.2460,-1676.8840,1856.2134,-3829.9169,-5529.7057,3705.9028,5072.5307,-4049.7232,3307.3721,-5878.4487,2768.6647,3689.6095,-5507.8470,1178.3330,-1285.5861,-6319.3993,-68.2778,1175.3307,-1397.4075,3477.3456,505.8827,-1067.1902,-1115.4700,-2729.0454,-5233.9971,-2113.1733,675.0518,-5184.9671,96.5170,5261.8193,-172952.3668,-173911.1808,-175997.0786,-171018.8816,-170447.2369,-180826.5664,-183071.4170,-173774.7796,113144084.2650,113176559.0855,113170715.3238,113156672.8918,-175525.8126,113154978.0362,
600.000,-4906.3104,-1785.1360,78.8871,0.0000,-5961.6769,2987.8656,-1436.6618,-681.4978,3588.8133,-1522.0235,2840.4682,-2202.1058,-4911.4647,840.5853,-802.8637,-4244.6442,-4073.5005,0.0000,-4989.3703,115.5164,0.0000,-1643.9813,-5662.6900,2005.2488,-1237.7005,-1165.7014,-3173.3334,-6726.5752,1428.1081,-6846.0809,-1634.8450,-5114.9533,-92.2562,-1127.8806,1436.3232,-308.9638,-6323.8038,-2603.9817,3965.3855,3909.1878,-773.5671,-129.6404,-3057.2951,0.0000,-5490.6472,-819.5667,-4593.2902,-3001.8840,-6659.5806,5400.7003,4569.5967,3203.2671,1264.0901,2874.7785,-6498.9182,-5242.0209,-1227.0813,-2847.4464,5933.4642,2010.2473,-3773.4610,5897.3823,-5413.4453,4158.6319,-5333.9621,5433.3286,1440.7395,-3316.8871,-643.5319,5085.1235,-2290.3290,5601.6803,5744.3346,-4114.0315,3846.4941,-1900.2357,5210.9611,4707.6041,4294.8306,2678.3771,-917.8524,2656.6504,-188.6510,-6110.8292,-6269.9157,-3368.9489,-5511.8255,-2236.4797,-5980.9012,3772.6119,1306.8652,-4895.9805,5072.8870,-5751.6396,-1926.3000,-6133.9276,252.3149,-3803.0558,-6046.7340,-967.1544,335180.2192,347461.7736,346385.6621,343562.6343,351819.0768,349187.1644,345300.7945,345762.0989,-257020427.6850,-257020638.0173,-257022020.1122,-257025743.1928,345488.9984,-257037119.1579,2706.8984,5206.0639,-6806.8087,0.0000,1728.7832,-3326.8276,6420.6262,4455.6714,-4039.1788,4031.0896,5271.6036,3501.5589,-2649.4474,5016.8212,-6549.3832,2933.4509,5456.5633,0.0000,-4694.5801,-6893.4703,0.0000,6020.6179,-2102.0270,5867.0223,-5397.9316,-5169.6776,-6163.7666,-1386.3505,4293.7292,688.2684,6735.9763,714.9864,-2432.7554,-5168.7219,6329.4781,-6587.5519,-2523.7439,6407.9315,-5509.0096,-5618.7009,5614.3152,4217.1051,6200.0566,0.0000,4162.1803,-1364.5741,2156.0729,-3807.6927,-1534.3828,-2175.1686,-4404.0499,-6092.1810,-6795.8452,-3484.9503,938.7458,4329.7373,-6022.8931,3166.2749,-2373.8980,-1744.0023,5119.2492,-1827.4758,1461.5715,73.8444,-232.4052,-4001.5390,-6644.2218,-4762.3076,-4832.9979,-2927.5355,-3863.7655,2337.1687,-1721.6796,1189.9673,2615.7904,6206.5702,838.7540,-280.4365,3420.0443,4419.1141,5184.1592,-4459.1304,-5738.6174,1961.6874,-1265.8669,-2680.3828,3811.4337,-5870.2489,3268.1491,-5250.7523,-6665.8311,-3729.5469,-4634.4367,607.1255,5010.6486,3179.4021,-6355.0162,-1653.9766,-2971.2401,-5224.6150,-122500.6036,-95947.6691,-114856.8937,-114135.6494,-111514.3604,-112210.4209,-104868.3831,-108352.8268,33415348.5156,33442467.4003,33419062.8492,33425331.2509,-108791.7037,33419531.1132,4040.2884,-4098.2453,1155.5647,0.0000,-3003.1820,-5202.1274,-2251.0550,5175.3068,-4323.5526,5081.6359,-3322.8502,5522.3912,-4068.3862,-4725.0199,-1394.3376,4610.7611,1225.3000,0.0000,-1067.0020,902.2811,0.0000,-2979.1490,-3156.6107,3053.3235,4168.4163,-4473.6931,452.0313,-670.5947,5162.3862,-711.3997,61.2298,4641.1634,6499.2349,-4458.5800,-2380.0314,2210.3409,1322.3731,-14.8181,-711.8387,985.2523,3758.2215,5469.9309,298.8660,0.0000,-488.0352,-6755.2695,-4729.3996,4924.8421,-189.7027,3688.1534,2756.6445,711.4822,-316.7402,-5119.3446,2167.7648,1113.9052,-3164.7239,-5356.3703,-2351.6758,6418.5188,2753.5268,2940.1214,-4040.4426,5490.6079,4408.4534,-1596.6171,-341.6027,3579.9107,-4873.1697,3470.5030,5229.9157,-3291.2081,3440.3162,-5463.7989,-5121.9466,2176.5792,4177.6074,-5052.6312,4218.1963,-4653.0131,4159.7421,4415.0418,-3890.6518,2592.3762,-2684.0647,-5456.4699,1723.3347,2863.8918,421.8902,1891.2867,-1306.1038,-3197.7774,697.5115,-3828.2691,-4365.0908,-346.9704,2426.1672,-5536.2319,1616.2916,4423.8750,-172922.2485,-173860.7854,-175842.4862,-171113.0007,-170278.0770,-180558.5370,-183152.3191,-173720.1109,113142485.8103,113174960.3127,113169076.5928,113154808.7761,-175470.2748,113153498.5838,
