sl_20_86400_20260306 Coordinates.csv
2026/03/06 07:47:00.0000 UTC

Generated: Tue Oct  8 17:00:08 2024,
Start: 2026/03/06 07:47:00.00, Stop: 2026/03/07 07:47:00.00,
TIME_UNITS,STARLINK-2392 - X-Coordinate,STARLINK-11228 [DTC] - X-Coordinate,STARLINK-6364 - X-Coordinate,STARLINK-2342 - X-Coordinate,STARLINK-4169 - X-Coordinate,STARLINK-3189 - X-Coordinate,STARLINK-2495 - X-Coordinate,STARLINK-5017 - X-Coordinate,STARLINK-5757 - X-Coordinate,STARLINK-1656 - X-Coordinate,STARLINK-11075 [DTC] - X-Coordinate,STARLINK-6241 - X-Coordinate,STARLINK-1636 - X-Coordinate,STARLINK-4058 - X-Coordinate,STARLINK-5472 - X-Coordinate,STARLINK-3848 - X-Coordinate,STARLINK-4436 - X-Coordinate,STARLINK-4264 - X-Coordinate,STARLINK-4198 - X-Coordinate,STARLINK-11080 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2392 - Y-Coordinate,STARLINK-11228 [DTC] - Y-Coordinate,STARLINK-6364 - Y-Coordinate,STARLINK-2342 - Y-Coordinate,STARLINK-4169 - Y-Coordinate,STARLINK-3189 - Y-Coordinate,STARLINK-2495 - Y-Coordinate,STARLINK-5017 - Y-Coordinate,STARLINK-5757 - Y-Coordinate,STARLINK-1656 - Y-Coordinate,STARLINK-11075 [DTC] - Y-Coordinate,STARLINK-6241 - Y-Coordinate,STARLINK-1636 - Y-Coordinate,STARLINK-4058 - Y-Coordinate,STARLINK-5472 - Y-Coordinate,STARLINK-3848 - Y-Coordinate,STARLINK-4436 - Y-Coordinate,STARLINK-4264 - Y-Coordinate,STARLINK-4198 - Y-Coordinate,STARLINK-11080 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2392 - Z-Coordinate,STARLINK-11228 [DTC] - Z-Coordinate,STARLINK-6364 - Z-Coordinate,STARLINK-2342 - Z-Coordinate,STARLINK-4169 - Z-Coordinate,STARLINK-3189 - Z-Coordinate,STARLINK-2495 - Z-Coordinate,STARLINK-5017 - Z-Coordinate,STARLINK-5757 - Z-Coordinate,STARLINK-1656 - Z-Coordinate,STARLINK-11075 [DTC] - Z-Coordinate,STARLINK-6241 - Z-Coordinate,STARLINK-1636 - Z-Coordinate,STARLINK-4058 - Z-Coordinate,STARLINK-5472 - Z-Coordinate,STARLINK-3848 - Z-Coordinate,STARLINK-4436 - Z-Coordinate,STARLINK-4264 - Z-Coordinate,STARLINK-4198 - Z-Coordinate,STARLINK-11080 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5944.1364,-6085.2033,-206.4997,6106.2312,-3737.3591,5727.0628,5975.3813,-690.8782,-3557.3926,-1364.9733,363.8948,-4186.3429,6408.1143,-1742.7579,5346.6013,4132.8343,-273.3065,-4998.6143,4004.6568,3377.3857,-29891.9559,-43656.0040,-43106.7531,-39160.9054,-46483.4531,-43783.3574,-38727.1863,-39006.1690,-198763533.1425,-198779237.9302,-198792076.8761,-198772292.9286,-39785.6027,-198775514.8174,-2692.0271,-1465.0762,-6280.1880,-991.0087,-1913.0850,1794.4929,-2065.5158,5321.7935,5690.7818,-6717.8538,4059.3963,-4585.6750,2062.0102,-6686.2684,1031.2720,-419.0853,-6097.0920,-3205.9861,-1174.9789,-4836.4537,-370663.3941,-402911.6954,-380297.8587,-379719.7308,-384124.3463,-382640.6133,-389441.9501,-387019.6797,278531264.6641,278516166.7756,278501347.0001,278510209.2159,-385368.1321,278514719.9715,2291.7090,2500.2802,-2929.4929,-3018.4756,5485.9108,3415.6975,2750.4932,4352.0638,-1755.4124,946.9580,5346.3673,3082.1619,-770.8155,177.5593,4248.4684,-5532.7479,-3301.8096,3488.5211,5504.6861,3245.2892,-71038.3629,-72884.2488,-75039.5009,-68913.6812,-69361.4457,-79976.0858,-81158.3669,-74158.6219,-69254621.3662,-69281862.5450,-69268413.4365,-69261823.4503,-74043.8278,-69254316.1089,
3600.000,4510.3976,6224.3374,2623.7765,-2792.9401,5970.8735,-6855.6116,-2501.4257,-2945.8174,1488.3646,2677.6328,-5143.3323,5008.7520,-4736.6141,2978.6766,-3223.7063,-3365.6535,-2155.4213,6552.6355,-2256.9646,1386.9424,63139.4846,58368.6068,56262.3249,59457.9766,51473.1259,53918.1099,59189.8058,57208.0522,-264118082.3721,-264131256.0773,-264138628.3306,-264123463.0742,58385.4202,-264128988.4174,-428.9277,-659.3131,6384.1678,3154.4094,-1256.3509,-271.7706,3517.1423,-3030.0114,-6496.9117,5475.7840,-2592.3429,877.5567,845.3973,4644.1901,2689.6186,4522.7759,6282.5762,1977.5168,5029.3725,3807.6523,-366360.2216,-401510.0678,-377090.3658,-377897.7179,-381854.5839,-380508.1526,-386016.7092,-381609.5746,217552819.0294,217540099.6792,217519967.8536,217539688.1771,-382851.5243,217535773.4994,-5231.6932,2496.7254,-640.0883,5431.9758,-3261.2301,823.4460,-5384.2497,-5476.2933,-1927.2956,3272.4047,-3487.8938,-4721.9901,4760.9697,-4166.4725,-5494.5121,3995.4746,-2004.8462,803.8349,-4180.7820,-5388.6213,-72927.3458,-74639.2838,-75468.0268,-72498.2651,-69645.6749,-78825.9246,-84249.6619,-75229.1554,-69178783.5689,-69206605.1130,-69198232.4482,-69184743.1222,-75642.9469,-69181592.2434,
7200.000,-2378.4114,-2527.9968,-4174.9967,-1068.6639,-6110.5346,4921.9222,-1690.4970,6096.5511,1546.1131,-3826.5433,6541.7916,-5141.2284,1217.0798,-4132.0384,1126.2375,2332.7788,2388.5806,-5123.6847,741.8321,-5749.1623,152159.4967,156890.5024,152004.9895,154474.1948,145851.5992,149337.5592,152832.6501,154219.3266,-311451059.0678,-311463374.1018,-311463407.8900,-311461889.0566,152730.4614,-311460806.2780,4261.0721,3227.2721,-4011.2005,-5326.5116,3070.5824,-1648.1172,-4932.0038,825.2384,5100.2954,-1786.7830,609.7798,3058.1810,-4528.4895,-561.0517,-5987.0094,-6510.6688,-2321.6455,436.4141,-6870.9264,-2089.7716,-339303.9408,-374483.4176,-349772.9312,-352465.0023,-355040.1241,-354291.8004,-358198.4588,-356547.7262,141727539.9099,141718193.1670,141695507.3127,141717063.8926,-355732.4878,141710527.6581,4894.6177,-5358.5718,3800.9743,-4228.2510,-1028.6904,-4566.0915,4506.6402,3146.5386,4429.8955,-5487.7362,-1471.0310,3503.2784,-4895.3749,5502.2527,3254.6245,24.1066,6074.6692,-4593.2062,215.8671,2817.3740,-74842.7122,-76397.6203,-75936.9032,-76984.7590,-70413.8403,-76796.6860,-86629.2716,-77912.1689,-69103109.3671,-69130489.9808,-69127433.1905,-69104481.4360,-77235.5384,-69108850.0774,
10800.000,610.1820,-1975.0712,5132.3167,3531.5376,3429.0472,-1311.6396,4383.0089,-6772.0543,-4795.2993,4906.8066,-3748.9201,4198.2098,1722.6918,5057.3973,486.4850,-229.4577,924.1533,2145.2478,1015.3695,6370.0183,231776.8822,245536.4790,238019.5286,238452.7967,230497.6955,238749.2211,236328.2289,235724.9855,-337531740.2053,-337545124.7102,-337537387.0011,-337546536.0990,237186.8074,-337540520.1293,-6721.4578,-5362.3827,84.2676,5902.9713,-3790.7651,4097.1625,5277.7160,800.5026,-2619.0696,-2309.1985,2248.1108,-5517.5924,6470.6672,-3281.9091,6818.2055,5601.3518,-2087.3919,-3767.0837,5641.9403,13.7864,-291210.9818,-323526.2537,-300053.3640,-307224.5515,-305325.9690,-305443.7449,-307984.6399,-305538.4241,56229181.0883,56223258.9093,56201458.2059,56212223.7458,-305774.6273,56212707.2459,-1527.4757,3570.3309,-4661.8880,172.9915,4649.8228,5398.3171,-724.4821,1139.1639,-4276.9018,4292.3105,5107.9228,-188.8618,1022.7421,-3385.5952,1018.6977,-4052.9621,-6553.9654,5348.2159,3860.0462,2184.9324,-76784.6078,-78156.8316,-76747.1553,-80605.9610,-71650.4448,-76738.5004,-88347.6421,-77860.2808,-69027788.6722,-69053385.1818,-69055871.3755,-69027992.3761,-78821.4746,-69036089.6374,
14400.000,986.3845,4363.1726,-5287.1928,-4233.1564,912.4461,-1865.6827,-4898.1387,4416.8730,6763.1644,-4997.0441,-607.4000,-1696.3200,-3283.5071,-4569.8727,-2215.6064,-2968.1617,-5246.4928,511.4169,-3448.5483,-3051.5136,297203.6769,318568.7992,308769.4045,305790.3519,299923.5073,310896.3835,304515.1986,307716.9520,-340579562.8162,-340595648.0708,-340581452.0230,-340591851.2648,306333.1717,-340587791.4101,6243.5926,4975.5569,3593.9748,-3682.7288,4253.9244,-6021.9665,-3316.0175,-2437.9284,98.8738,4768.4286,-5177.2399,5887.3787,-4653.8818,5107.6586,-4589.2858,-2904.1022,3309.3943,6358.0013,-2301.2778,2825.5796,-225026.7820,-251896.2125,-231058.2405,-240993.7088,-235878.0689,-235891.7593,-238681.6152,-235986.4885,-33108156.3678,-33111673.3924,-33129092.3933,-33132261.5368,-236209.0651,-33123747.8219,-2815.2848,1280.5326,2669.7243,3975.9337,-5379.7170,-2837.0539,-3552.0463,-4731.5757,1531.0176,-461.0823,-4263.0600,-3257.7380,3660.8961,-892.2027,-4672.8355,5520.4649,3095.5957,-2617.0926,-5538.7860,-5307.1237,-78753.3646,-79914.8711,-78106.5378,-79946.8303,-73364.1795,-81972.1939,-89416.5282,-81563.4022,-68952987.3180,-68975204.1273,-68983384.0322,-68955784.1213,-80400.6287,-68963310.9496,
18000.000,-2966.7357,-4331.5918,4042.3064,4109.8040,-4556.0677,3523.3604,4090.4575,-483.4433,-6273.5517,2978.6954,3522.0694,-1958.1096,4118.2746,1859.4746,4294.4992,5933.4141,6466.5526,-2196.0032,5713.3052,-1332.2045,344526.6323,371261.6836,359644.9716,354538.8040,349664.1824,360516.6390,353230.5282,354805.6860,-320385719.3732,-320405182.4287,-320387664.6284,-320391760.3519,355737.9638,-320393927.8433,-3164.8792,-1129.4957,-5550.5121,-674.1045,-4426.5600,5741.4341,-699.2082,4361.6001,2052.5218,-5052.8464,5725.2367,-4676.7746,-103.4595,-4821.3081,732.7881,220.6212,-1238.7965,-6264.9003,-1091.2384,-5406.4679,-144730.4231,-164201.8954,-147182.5187,-157627.3205,-151151.6847,-150687.4675,-154688.9419,-152112.8709,-120188145.4922,-120191167.0937,-120201448.1716,-120215028.8157,-151525.0952,-120202761.6649,5380.2613,-5048.0197,932.2836,-5481.7183,2723.9089,-1543.9102,5500.2787,5334.1228,2120.7111,-3678.9286,-364.6454,4724.3380,-5383.4920,4581.3288,5355.9083,-3551.2025,2174.9508,-1855.8905,3730.5254,3785.4360,-80749.2939,-81669.9358,-80073.8230,-79132.0240,-75591.6868,-86790.3652,-89812.0494,-80583.1028,-68878836.3232,-68896020.8790,-68909790.2963,-68885994.4313,-81972.8748,-68890514.0405,
21600.000,5124.9117,3159.0178,-1066.9398,-3717.7737,5802.6835,-4011.7983,-3055.2547,-2823.0148,3441.5144,909.2019,-4201.3022,5369.8114,-4260.1221,2347.2684,-5838.1484,-6696.5287,-3013.3221,3398.4986,-6167.4103,3892.5146,370921.5952,400211.7442,387300.4187,381028.3178,376592.2924,386312.5085,379533.3103,382844.7266,-278327481.2215,-278349556.4894,-278333297.6197,-278327607.2005,382243.4700,-278336176.6643,-596.3479,-3969.1244,5574.0070,4751.7855,3394.7945,-2710.3677,4803.3164,-5750.8122,-3996.1092,4062.5240,-2442.2307,2832.4502,4516.5201,3626.7214,2558.2023,1591.9400,-917.0598,3161.2254,3103.6908,5403.7532,-55076.0660,-66101.7938,-53838.4633,-63883.1852,-56579.4806,-56104.1680,-61189.8438,-56393.7526,-199068279.6538,-199072973.8820,-199075070.1069,-199092584.2888,-57180.0467,-199082102.8674,-4613.2427,4432.6215,-3984.1290,3300.9782,1617.0637,4922.0515,-3899.9914,-2607.5002,-4510.1378,5520.8623,4646.9112,-3358.8974,2702.8580,-5399.3189,-2679.1121,-665.5488,-6184.0367,5085.6114,394.5092,1010.3563,-82772.0685,-83420.3676,-82543.0163,-78855.2575,-78408.6232,-90653.0699,-89469.7365,-85055.6226,-68805423.4075,-68816240.9871,-68834903.9551,-68817289.1533,-83538.0878,-68817698.9364,
25200.000,-6065.6432,-1504.8462,-2822.2244,2561.3778,-4793.4008,4209.4815,1792.1669,4307.5601,345.6959,-4869.5514,3700.8570,-6895.6344,2690.2682,-5842.2035,5290.9390,4447.4361,-2458.7520,-4590.3039,3806.6927,-4248.9289,374796.5398,403561.7935,389920.2469,383200.2726,379209.4001,387329.2822,381843.8619,384138.2666,-217274263.1401,-217296904.4078,-217286712.7358,-217272279.4628,384167.7124,-217283795.5032,3184.2295,6571.9023,-4346.0474,-6295.5135,-454.1555,-1720.1545,-6655.4622,5108.4207,5527.6488,-2914.2989,-2846.4748,-753.6949,-5828.7397,-2406.7118,-4104.5834,-2872.7426,175.7574,1209.6187,-3860.4724,-1703.9972,38722.8958,36065.9866,42899.1590,33836.3591,41804.2482,41570.6576,36275.4195,40070.9109,-264365440.9069,-264373257.1685,-264368717.2431,-264383393.5371,40752.8612,-264378880.7011,952.5429,-10.2525,4593.7201,1071.0521,-4967.6815,-5208.1356,-253.2523,-1779.2597,4167.2338,-3967.8277,-4853.1019,-47.9197,2158.7920,2790.9372,-1713.8040,4440.4667,6473.7032,-5001.4199,-4296.5018,-4950.1985,-84818.6461,-85164.5718,-85271.7290,-79098.6275,-81952.3187,-93703.1073,-88278.3040,-83447.2853,-68732787.3130,-68736634.4364,-68758574.6293,-68748651.1778,-85096.1435,-68744865.6637,
28800.000,4495.6328,-1139.2636,5943.1241,139.4526,2898.3063,-4074.6364,354.5985,-4327.0968,-3411.4984,6715.4718,-2434.3788,5820.8700,1081.1910,6661.0076,-2142.0802,-353.1831,5551.3317,5043.2078,444.2513,3493.2679,355842.5239,381123.1865,367367.5559,360748.0258,358136.7863,363876.6070,359985.3205,361153.7739,-141391836.6522,-141412669.2641,-141411583.5776,-141393525.8055,361411.0814,-141402306.8812,-4104.5592,-4945.6725,2622.9499,4983.4355,-3522.5269,5133.2586,5439.3925,-1936.0664,-5892.0046,1673.8926,6228.8570,-1597.9303,4107.3633,978.0547,4254.6269,4241.2140,2952.3791,-4406.7622,4176.0908,-3515.0100,131384.1795,135698.8735,136725.3192,129094.1102,137705.7290,136088.4311,132577.4651,136515.7994,-311623300.5291,-311634265.6588,-311627267.4332,-311634539.5823,135975.9154,-311636886.1146,3279.4688,-4445.4040,-2420.6710,-4747.1557,5188.3722,2180.7331,4218.2145,5025.0388,-1327.5766,-60.8606,757.5790,3407.5670,-5283.0427,1558.1402,4999.0040,-5454.9370,-2935.0486,1616.9261,5484.5716,4555.7957,-86874.6265,-86900.9445,-87946.1048,-79825.1736,-86397.0934,-96040.7260,-86207.1262,-88345.1803,-68660915.2964,-68657993.4778,-68680786.3685,-68678981.1895,-86646.9188,-68672014.2488,
