sl_100_86400_20260511 Coordinates.csv
2026/05/11 07:47:00.0000 UTC

Generated: Tue Oct  8 16:24:57 2024,
Start: 2026/05/11 07:47:00.00, Stop: 2026/05/12 07:47:00.00,
TIME_UNITS,STARLINK-1812 - X-Coordinate,STARLINK-30815 - X-Coordinate,STARLINK-1449 - X-Coordinate,STARLINK-4364 - X-Coordinate,STARLINK-5689 - X-Coordinate,STARLINK-6134 - X-Coordinate,STARLINK-31572 - X-Coordinate,STARLINK-2661 - X-Coordinate,STARLINK-31022 - X-Coordinate,STARLINK-30082 - X-Coordinate,STARLINK-3595 - X-Coordinate,STARLINK-1749 - X-Coordinate,STARLINK-2009 - X-Coordinate,STARLINK-4695 - X-Coordinate,STARLINK-30349 - X-Coordinate,STARLINK-5907 - X-Coordinate,STARLINK-1010 - X-Coordinate,STARLINK-32270 - X-Coordinate,STARLINK-6037 - X-Coordinate,STARLINK-11099 [DTC] - X-Coordinate,STARLINK-31366 - X-Coordinate,STARLINK-3167 - X-Coordinate,STARLINK-1719 - X-Coordinate,STARLINK-30823 - X-Coordinate,STARLINK-1488 - X-Coordinate,STARLINK-31064 - X-Coordinate,STARLINK-1278 - X-Coordinate,STARLINK-11227 [DTC] - X-Coordinate,STARLINK-4471 - X-Coordinate,STARLINK-32209 - X-Coordinate,STARLINK-3301 - X-Coordinate,STARLINK-1132 - X-Coordinate,STARLINK-1398 - X-Coordinate,STARLINK-11102 [DTC] - X-Coordinate,STARLINK-5299 - X-Coordinate,STARLINK-5321 - X-Coordinate,STARLINK-30373 - X-Coordinate,STARLINK-31039 - X-Coordinate,STARLINK-4132 - X-Coordinate,STARLINK-30241 - X-Coordinate,STARLINK-1480 - X-Coordinate,STARLINK-31312 - X-Coordinate,STARLINK-3829 - X-Coordinate,STARLINK-5118 - X-Coordinate,STARLINK-31237 - X-Coordinate,STARLINK-6060 - X-Coordinate,STARLINK-6314 - X-Coordinate,STARLINK-3915 - X-Coordinate,STARLINK-31175 - X-Coordinate,STARLINK-3805 - X-Coordinate,STARLINK-11179 [DTC] - X-Coordinate,STARLINK-1352 - X-Coordinate,STARLINK-1678 - X-Coordinate,STARLINK-1533 - X-Coordinate,STARLINK-11229 [DTC] - X-Coordinate,STARLINK-31698 - X-Coordinate,STARLINK-3990 - X-Coordinate,STARLINK-4480 - X-Coordinate,STARLINK-31148 - X-Coordinate,STARLINK-2429 - X-Coordinate,STARLINK-3240 - X-Coordinate,STARLINK-1190 - X-Coordinate,STARLINK-5624 - X-Coordinate,STARLINK-2266 - X-Coordinate,STARLINK-5846 - X-Coordinate,STARLINK-30826 - X-Coordinate,STARLINK-11105 [DTC] - X-Coordinate,STARLINK-3050 - X-Coordinate,STARLINK-3184 - X-Coordinate,STARLINK-31779 - X-Coordinate,STARLINK-31480 - X-Coordinate,STARLINK-3305 - X-Coordinate,STARLINK-30502 - X-Coordinate,STARLINK-4297 - X-Coordinate,STARLINK-4792 - X-Coordinate,STARLINK-3993 - X-Coordinate,STARLINK-3744 - X-Coordinate,STARLINK-6091 - X-Coordinate,STARLINK-2129 - X-Coordinate,STARLINK-2244 - X-Coordinate,STARLINK-5225 - X-Coordinate,STARLINK-1628 - X-Coordinate,STARLINK-3752 - X-Coordinate,STARLINK-30572 - X-Coordinate,STARLINK-6322 - X-Coordinate,STARLINK-4542 - X-Coordinate,STARLINK-5329 - X-Coordinate,STARLINK-3793 - X-Coordinate,STARLINK-3296 - X-Coordinate,STARLINK-1015 - X-Coordinate,STARLINK-3500 - X-Coordinate,STARLINK-30070 - X-Coordinate,STARLINK-5440 - X-Coordinate,STARLINK-4706 - X-Coordinate,STARLINK-1258 - X-Coordinate,STARLINK-32042 - X-Coordinate,STARLINK-4360 - X-Coordinate,STARLINK-4142 - X-Coordinate,STARLINK-11186 [DTC] - X-Coordinate,STARLINK-32123 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1812 - Y-Coordinate,STARLINK-30815 - Y-Coordinate,STARLINK-1449 - Y-Coordinate,STARLINK-4364 - Y-Coordinate,STARLINK-5689 - Y-Coordinate,STARLINK-6134 - Y-Coordinate,STARLINK-31572 - Y-Coordinate,STARLINK-2661 - Y-Coordinate,STARLINK-31022 - Y-Coordinate,STARLINK-30082 - Y-Coordinate,STARLINK-3595 - Y-Coordinate,STARLINK-1749 - Y-Coordinate,STARLINK-2009 - Y-Coordinate,STARLINK-4695 - Y-Coordinate,STARLINK-30349 - Y-Coordinate,STARLINK-5907 - Y-Coordinate,STARLINK-1010 - Y-Coordinate,STARLINK-32270 - Y-Coordinate,STARLINK-6037 - Y-Coordinate,STARLINK-11099 [DTC] - Y-Coordinate,STARLINK-31366 - Y-Coordinate,STARLINK-3167 - Y-Coordinate,STARLINK-1719 - Y-Coordinate,STARLINK-30823 - Y-Coordinate,STARLINK-1488 - Y-Coordinate,STARLINK-31064 - Y-Coordinate,STARLINK-1278 - Y-Coordinate,STARLINK-11227 [DTC] - Y-Coordinate,STARLINK-4471 - Y-Coordinate,STARLINK-32209 - Y-Coordinate,STARLINK-3301 - Y-Coordinate,STARLINK-1132 - Y-Coordinate,STARLINK-1398 - Y-Coordinate,STARLINK-11102 [DTC] - Y-Coordinate,STARLINK-5299 - Y-Coordinate,STARLINK-5321 - Y-Coordinate,STARLINK-30373 - Y-Coordinate,STARLINK-31039 - Y-Coordinate,STARLINK-4132 - Y-Coordinate,STARLINK-30241 - Y-Coordinate,STARLINK-1480 - Y-Coordinate,STARLINK-31312 - Y-Coordinate,STARLINK-3829 - Y-Coordinate,STARLINK-5118 - Y-Coordinate,STARLINK-31237 - Y-Coordinate,STARLINK-6060 - Y-Coordinate,STARLINK-6314 - Y-Coordinate,STARLINK-3915 - Y-Coordinate,STARLINK-31175 - Y-Coordinate,STARLINK-3805 - Y-Coordinate,STARLINK-11179 [DTC] - Y-Coordinate,STARLINK-1352 - Y-Coordinate,STARLINK-1678 - Y-Coordinate,STARLINK-1533 - Y-Coordinate,STARLINK-11229 [DTC] - Y-Coordinate,STARLINK-31698 - Y-Coordinate,STARLINK-3990 - Y-Coordinate,STARLINK-4480 - Y-Coordinate,STARLINK-31148 - Y-Coordinate,STARLINK-2429 - Y-Coordinate,STARLINK-3240 - Y-Coordinate,STARLINK-1190 - Y-Coordinate,STARLINK-5624 - Y-Coordinate,STARLINK-2266 - Y-Coordinate,STARLINK-5846 - Y-Coordinate,STARLINK-30826 - Y-Coordinate,STARLINK-11105 [DTC] - Y-Coordinate,STARLINK-3050 - Y-Coordinate,STARLINK-3184 - Y-Coordinate,STARLINK-31779 - Y-Coordinate,STARLINK-31480 - Y-Coordinate,STARLINK-3305 - Y-Coordinate,STARLINK-30502 - Y-Coordinate,STARLINK-4297 - Y-Coordinate,STARLINK-4792 - Y-Coordinate,STARLINK-3993 - Y-Coordinate,STARLINK-3744 - Y-Coordinate,STARLINK-6091 - Y-Coordinate,STARLINK-2129 - Y-Coordinate,STARLINK-2244 - Y-Coordinate,STARLINK-5225 - Y-Coordinate,STARLINK-1628 - Y-Coordinate,STARLINK-3752 - Y-Coordinate,STARLINK-30572 - Y-Coordinate,STARLINK-6322 - Y-Coordinate,STARLINK-4542 - Y-Coordinate,STARLINK-5329 - Y-Coordinate,STARLINK-3793 - Y-Coordinate,STARLINK-3296 - Y-Coordinate,STARLINK-1015 - Y-Coordinate,STARLINK-3500 - Y-Coordinate,STARLINK-30070 - Y-Coordinate,STARLINK-5440 - Y-Coordinate,STARLINK-4706 - Y-Coordinate,STARLINK-1258 - Y-Coordinate,STARLINK-32042 - Y-Coordinate,STARLINK-4360 - Y-Coordinate,STARLINK-4142 - Y-Coordinate,STARLINK-11186 [DTC] - Y-Coordinate,STARLINK-32123 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1812 - Z-Coordinate,STARLINK-30815 - Z-Coordinate,STARLINK-1449 - Z-Coordinate,STARLINK-4364 - Z-Coordinate,STARLINK-5689 - Z-Coordinate,STARLINK-6134 - Z-Coordinate,STARLINK-31572 - Z-Coordinate,STARLINK-2661 - Z-Coordinate,STARLINK-31022 - Z-Coordinate,STARLINK-30082 - Z-Coordinate,STARLINK-3595 - Z-Coordinate,STARLINK-1749 - Z-Coordinate,STARLINK-2009 - Z-Coordinate,STARLINK-4695 - Z-Coordinate,STARLINK-30349 - Z-Coordinate,STARLINK-5907 - Z-Coordinate,STARLINK-1010 - Z-Coordinate,STARLINK-32270 - Z-Coordinate,STARLINK-6037 - Z-Coordinate,STARLINK-11099 [DTC] - Z-Coordinate,STARLINK-31366 - Z-Coordinate,STARLINK-3167 - Z-Coordinate,STARLINK-1719 - Z-Coordinate,STARLINK-30823 - Z-Coordinate,STARLINK-1488 - Z-Coordinate,STARLINK-31064 - Z-Coordinate,STARLINK-1278 - Z-Coordinate,STARLINK-11227 [DTC] - Z-Coordinate,STARLINK-4471 - Z-Coordinate,STARLINK-32209 - Z-Coordinate,STARLINK-3301 - Z-Coordinate,STARLINK-1132 - Z-Coordinate,STARLINK-1398 - Z-Coordinate,STARLINK-11102 [DTC] - Z-Coordinate,STARLINK-5299 - Z-Coordinate,STARLINK-5321 - Z-Coordinate,STARLINK-30373 - Z-Coordinate,STARLINK-31039 - Z-Coordinate,STARLINK-4132 - Z-Coordinate,STARLINK-30241 - Z-Coordinate,STARLINK-1480 - Z-Coordinate,STARLINK-31312 - Z-Coordinate,STARLINK-3829 - Z-Coordinate,STARLINK-5118 - Z-Coordinate,STARLINK-31237 - Z-Coordinate,STARLINK-6060 - Z-Coordinate,STARLINK-6314 - Z-Coordinate,STARLINK-3915 - Z-Coordinate,STARLINK-31175 - Z-Coordinate,STARLINK-3805 - Z-Coordinate,STARLINK-11179 [DTC] - Z-Coordinate,STARLINK-1352 - Z-Coordinate,STARLINK-1678 - Z-Coordinate,STARLINK-1533 - Z-Coordinate,STARLINK-11229 [DTC] - Z-Coordinate,STARLINK-31698 - Z-Coordinate,STARLINK-3990 - Z-Coordinate,STARLINK-4480 - Z-Coordinate,STARLINK-31148 - Z-Coordinate,STARLINK-2429 - Z-Coordinate,STARLINK-3240 - Z-Coordinate,STARLINK-1190 - Z-Coordinate,STARLINK-5624 - Z-Coordinate,STARLINK-2266 - Z-Coordinate,STARLINK-5846 - Z-Coordinate,STARLINK-30826 - Z-Coordinate,STARLINK-11105 [DTC] - Z-Coordinate,STARLINK-3050 - Z-Coordinate,STARLINK-3184 - Z-Coordinate,STARLINK-31779 - Z-Coordinate,STARLINK-31480 - Z-Coordinate,STARLINK-3305 - Z-Coordinate,STARLINK-30502 - Z-Coordinate,STARLINK-4297 - Z-Coordinate,STARLINK-4792 - Z-Coordinate,STARLINK-3993 - Z-Coordinate,STARLINK-3744 - Z-Coordinate,STARLINK-6091 - Z-Coordinate,STARLINK-2129 - Z-Coordinate,STARLINK-2244 - Z-Coordinate,STARLINK-5225 - Z-Coordinate,STARLINK-1628 - Z-Coordinate,STARLINK-3752 - Z-Coordinate,STARLINK-30572 - Z-Coordinate,STARLINK-6322 - Z-Coordinate,STARLINK-4542 - Z-Coordinate,STARLINK-5329 - Z-Coordinate,STARLINK-3793 - Z-Coordinate,STARLINK-3296 - Z-Coordinate,STARLINK-1015 - Z-Coordinate,STARLINK-3500 - Z-Coordinate,STARLINK-30070 - Z-Coordinate,STARLINK-5440 - Z-Coordinate,STARLINK-4706 - Z-Coordinate,STARLINK-1258 - Z-Coordinate,STARLINK-32042 - Z-Coordinate,STARLINK-4360 - Z-Coordinate,STARLINK-4142 - Z-Coordinate,STARLINK-11186 [DTC] - Z-Coordinate,STARLINK-32123 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-2339.9390,-1781.0140,-6065.2386,-6131.5710,5826.2699,685.8678,-6279.2395,-3374.8247,2202.7031,1183.8817,-3540.6997,758.9137,-4437.5619,-4455.3471,6348.0359,-5039.7034,-873.9442,-339.6117,-6948.8477,5339.9425,6632.5512,-6845.1850,876.0271,972.4777,0.0000,-701.3853,1446.4060,-2668.0133,3354.9592,5171.4611,4735.7206,5808.0781,5097.2070,-4713.8700,1957.9845,-3348.4970,1853.4652,5809.3489,4271.1069,-3146.4689,-4011.5637,-5953.7277,-3808.1608,-4608.0202,-5027.6129,4773.2046,2777.7866,-6344.5062,0.0000,3580.5209,5292.8907,-5604.2831,2860.6675,6098.1042,5153.8827,4282.7347,4236.5257,2951.2305,2765.8650,1282.8935,-3446.4863,2301.5343,3638.8678,850.8435,-4925.4239,3073.4675,886.4885,3275.5248,5481.6171,6134.0544,-4989.6300,2661.7097,-6854.3223,1608.3093,-1805.6872,-3745.4689,3577.3677,-6750.8798,-3524.7073,601.7708,-1566.6053,-6051.1473,-6391.3404,2914.9926,4691.1625,34.6504,-1424.3621,3113.8049,4030.7960,3769.5553,-4335.3321,3798.1309,-1063.5939,-5638.4694,3755.5131,-4628.4891,-494.7172,-2407.9464,-3547.0135,4007.8493,-388549.4286,-364442.2738,-384496.1009,-383295.9693,-382429.7425,-382590.0783,-374336.6088,-380185.3537,-263336005.7911,-263357170.8357,-263350259.2437,-263359083.6167,-378426.0421,-263353207.9633,3288.7623,4634.4457,-2033.0508,3200.4954,-3108.9241,6543.4302,-2619.4507,-3617.3979,-6269.8719,5157.8253,-3315.4535,-6420.8686,2308.9196,2311.6656,2595.8809,-743.3056,6709.5901,4083.3254,0.6485,633.6620,-1526.8863,-580.1679,-6810.1503,6205.3965,0.0000,6820.7979,5489.2148,-5281.8571,-706.4848,-1361.9359,-2045.5162,-1812.8456,2901.9662,4713.2187,-5632.1078,5928.0415,-6014.3888,3731.5263,2716.1457,-4465.7514,-5146.6053,3328.9530,1660.5829,-1178.1459,1102.5946,-1899.4751,4335.2398,1452.7809,0.0000,4606.1442,-2776.6948,3044.4359,4230.7382,3092.1655,1677.9875,-216.8749,3321.0282,3220.2005,-6337.0159,-3968.5564,5925.0489,4424.4319,2327.2440,-4187.0855,-4697.1441,4887.2456,5622.6973,5250.9160,-4025.8122,2974.6674,-2874.1450,-3431.5832,974.8362,-3890.6014,-4014.2540,5784.2945,-3207.1622,-1259.3501,4809.8716,6943.7357,-4702.2859,-2685.3656,-1944.0574,-5918.2564,3687.7599,4169.8075,-5590.3532,-4616.2825,-2526.7413,3928.9465,-1128.9975,5764.5887,-5957.6292,-1997.2063,1976.8875,-240.5840,-5287.7821,-6431.4979,-2500.9808,-868.9031,-31008.8178,-54553.6477,-44648.4990,-41212.6634,-49742.9998,-46783.8928,-44968.6354,-44401.9665,197707349.7347,197719036.3621,197721289.0387,197710708.9697,-44217.3400,197708868.1773,5331.3445,4697.0367,1712.9148,-536.5596,-2117.1175,2145.9709,-207.0713,4794.7121,1686.3164,4451.1595,-4931.8316,2463.5797,-4791.8940,4741.8623,996.2228,-4710.9427,1418.7219,5450.3377,13.8850,4044.8791,285.3261,-643.9315,-345.8041,2907.4870,0.0000,-109.6234,-3960.3742,2875.5121,-6052.7490,-4215.4665,-4617.8109,-3299.6086,3654.6637,568.0718,-3593.5153,1449.8849,2887.7418,484.3182,-4717.2143,4251.4660,-2304.1378,87.4836,5512.8781,5008.5455,4516.1606,4676.8407,-4649.8433,2323.6388,0.0000,-3720.4905,-3131.2940,-2673.0655,-4665.9149,-640.9088,3824.9481,-5303.6615,4330.9148,-5356.5686,-506.6848,-5524.3436,863.4684,4693.1345,-5450.9717,-5366.4008,-1416.6565,-3825.1295,-3551.6687,-3182.6573,-1167.0750,254.4020,3616.0410,-5397.0685,267.7732,5453.1353,-5305.5527,-584.5515,4945.6544,973.0007,-3511.6216,-410.4434,-4800.3799,-1343.7106,1751.3503,1754.8660,-3546.3302,-5512.7940,3832.9820,-4107.9215,-5026.5766,-4284.0396,-5269.9612,-572.0990,-3343.6201,-3482.1730,-5457.6755,-5060.4115,-4462.0994,814.2968,5156.1136,5463.1658,-55117.2086,-56301.5920,-58369.3348,-52585.4053,-52739.5224,-63305.4188,-64763.4388,-57499.0502,50110310.1710,50113111.4635,50089410.7983,50106432.4190,-57534.1308,50099394.1198,
3600.000,-1599.9902,-407.4783,3572.4767,4527.5766,-2692.5341,-2897.4057,5623.8403,4428.2772,293.9460,-4676.0404,4420.1382,1834.0268,622.7457,574.2011,-5644.9372,5500.1693,-731.1397,-4178.9648,5169.8978,-6425.3587,-4521.3515,5763.1292,1192.0991,-3375.7700,0.0000,-1953.7966,-3654.3291,4764.9877,1698.4146,-1179.0096,-978.9973,-2322.6402,-4042.5652,1707.2079,-2079.2138,2898.3874,1718.2143,-5243.7335,-4052.6470,5250.7540,5189.3590,3133.6655,2479.6252,3441.7406,4381.8587,-477.0009,-5578.8933,5906.9730,0.0000,-4099.0971,-4353.7018,2071.6158,-4367.1998,-5707.0117,-2642.0770,-2472.1726,-6507.5638,-6196.7738,-319.7829,2500.0368,1570.6752,-5318.6235,-1899.0843,3739.9939,4451.6837,-5756.4770,-3852.3394,-3674.3501,-2560.0758,-5668.0073,6798.7861,1399.5653,5088.1939,1706.6994,5417.4543,1268.8994,691.5703,6340.7727,-395.5521,-1967.5700,4310.9234,5766.6561,6377.9941,435.9649,-5076.8944,-4252.5866,4328.1120,-1948.6697,-145.2954,-4202.0904,6241.2154,-4877.5620,3218.1463,6860.7436,-6074.7501,2626.2308,-2001.2134,3417.1023,4578.3496,-2722.6896,-368222.5071,-338587.3365,-361233.2573,-359175.5223,-359054.7231,-359125.1369,-352016.0385,-353514.6287,-305536328.6088,-305557097.4384,-305557426.0023,-305558373.3133,-355173.7419,-305554521.3422,-5976.1057,-6776.8823,-1979.6927,-335.0528,4523.5049,-6091.5055,-592.5809,-740.2434,6483.7442,-2903.1312,-1016.0854,4080.2560,-4389.6412,-4373.0658,316.1805,-3000.6510,-6235.0917,-4008.9536,-347.9736,1905.3602,3733.7186,-1159.6434,5197.9766,-6008.1439,0.0000,-5568.3303,-1987.4038,3656.7975,-1224.4156,4083.2730,4206.2003,3509.9538,1006.4550,-4905.9848,6516.0502,-5344.4219,4798.0107,-1307.2314,1657.0387,914.1503,4079.6267,-4804.0373,-5424.5683,-3077.6224,-4869.4139,2333.8075,-1418.8743,-2949.3143,0.0000,-576.2777,4812.1622,-3851.0323,-127.7900,-923.3995,3365.1945,4671.5850,-2286.9087,-1550.4826,6230.8600,5343.8735,-5809.4902,-4227.7601,1916.9044,3781.9321,4026.3607,-3793.5061,-1399.5971,-5639.0599,4283.6319,236.8728,263.3118,4929.1056,-3048.6197,5930.8209,3500.0252,-5179.3389,4528.2129,-991.1341,-4153.2774,-5282.6750,1147.3533,320.0550,328.4793,4490.3664,226.0398,-3556.6514,2775.9590,6635.3122,4613.4185,260.5901,-1802.3938,-3146.0006,2660.7981,510.6450,1105.7630,-4002.0603,6608.2264,3943.3132,-2562.5550,5131.0137,-128994.1583,-145341.0319,-136931.6255,-134784.4796,-143690.6068,-140982.8631,-138512.9060,-137173.0257,122740312.0962,122748039.7638,122756370.0928,122735776.8279,-137874.2878,122742051.3178,-2565.5650,-864.0283,-5224.1729,5238.1738,4500.3928,1545.9359,3779.0591,-5240.6362,2209.7943,-4202.0632,5206.0709,-5289.1935,5304.8132,-5328.5927,-4017.6108,2964.6844,2888.5660,-3622.8618,-4638.8701,655.0557,3460.5332,-3618.9161,4328.1754,661.1497,0.0000,-3497.8409,5516.1056,2684.9558,6622.2286,5305.5687,5394.7163,5479.0990,-5527.0636,4208.1300,-1289.6537,3380.6603,-4699.0955,-4334.1793,5340.6098,-4431.8003,-2078.3288,-3695.9516,-3498.5149,-5153.5318,-2026.4086,-6540.2335,3856.5741,2041.7673,0.0000,5528.7863,-1843.6565,5342.3112,5347.0103,-3710.9510,-5080.7275,4293.2900,-491.1544,2619.5014,-3029.7300,3600.3570,3383.9753,-917.2448,6391.2392,4313.6246,-3513.7548,625.6832,5299.0495,-1766.4486,4752.7121,-3792.8180,72.3357,4644.6350,-3588.4945,-3086.7258,2415.3895,4391.0610,-5170.3442,2619.9043,5505.1741,4105.7129,5247.4734,-3507.5248,2622.3836,-5131.7768,4713.3605,4110.6808,-4654.4208,102.9191,5140.0754,5485.6969,2353.4000,3768.9308,5495.2507,-746.1399,3088.5820,4900.1639,-631.2897,-4548.2742,-4245.8858,-3618.6967,-53790.5250,-54782.3050,-55511.0083,-52942.7449,-49805.6464,-58828.2768,-64532.2326,-56097.3019,50175170.9631,50184240.3333,50161931.8869,50174869.2931,-55861.3501,50166039.6909,
7200.000,3673.8985,2133.0483,422.1264,648.5889,-1311.9298,4398.8449,-2787.1180,-4946.6638,-3252.6443,6773.5008,-4853.8020,-4860.9202,2555.1067,2696.5990,3534.2919,-4552.9300,2893.9867,6120.1556,-1201.9794,3243.7065,118.4969,-2325.5306,-3938.6302,4652.3118,0.0000,4593.0158,5683.2828,-3589.2240,-6063.1975,-2419.2405,-2277.1145,-1557.4947,2786.9986,3354.8997,781.2416,-120.6143,-5197.0075,3389.0039,3676.8139,-6249.0282,-4548.0493,1463.8026,-1082.5342,-2278.7953,-2214.3544,-3560.9715,6793.9610,-2676.0290,0.0000,4491.2691,265.3897,2243.0769,5424.2316,3198.4369,-264.1094,706.8858,5844.2184,6677.2261,-2871.4786,-4486.0427,1830.7703,5489.0140,1355.2321,-6233.8819,-2708.1048,6106.3321,5721.1535,2759.0646,-1900.1796,3125.6914,-5108.8506,-4092.3692,-1527.7028,-3501.7800,-6241.1389,2618.9338,-4017.6242,-3748.4383,4497.9520,3763.3349,-6245.1435,-2461.2920,-3766.9558,-4546.5631,4784.8490,6394.5019,-6405.4423,-26.4813,-2879.2920,4468.2926,-5733.3567,5043.7122,-5404.5146,-5074.4711,6166.7945,-811.4050,2881.7788,-4276.3441,-4012.6421,1152.5060,-323327.6087,-290690.0801,-314654.4333,-311172.5479,-312737.0140,-311721.7319,-306879.7388,-310368.5701,-326877708.3457,-326896165.4286,-326905280.4166,-326894197.7925,-309131.5509,-326896936.5997,4950.5036,5402.8672,5750.9828,-901.2563,-5386.9268,3184.2597,4341.2160,4237.4826,-3949.1427,498.6807,4391.4454,-947.2762,5901.8427,5834.0812,-3806.6213,5199.0675,3193.6369,2882.6841,2047.7483,-3437.9904,-5050.8217,3415.4539,-1627.9851,3405.7578,0.0000,2106.5689,-1488.9457,1707.7588,-3.6767,-5923.9048,-5885.3337,-5219.8040,-4960.2080,2870.2826,-4320.9827,2891.8589,-2798.1934,-2501.4240,-5230.5928,2319.4617,-837.2641,4896.7769,6786.1971,6197.7677,6198.6155,-3788.9001,-1168.3917,3761.0602,0.0000,-3532.8309,-4264.1896,4580.4160,-3341.4779,-2606.4917,-6541.2076,-6779.8884,349.0294,6.7602,-4189.8619,-5235.6803,3749.8180,2104.0933,-5760.4597,-2839.8084,-638.0256,1387.2481,-2728.4972,2947.6242,-4009.6591,-4090.6874,2526.8806,-5484.0800,4848.9335,-5798.3869,-2076.0426,3333.0155,-5221.5009,3532.5300,3313.1194,1869.4181,1809.5493,3261.0222,2213.9477,-1967.7004,-3983.4476,2608.6818,241.1894,-5679.5201,-5941.4244,-4109.7454,3285.1744,-911.6933,992.3088,1398.4112,-2864.5938,6680.3475,-3387.6969,295.8957,5412.9648,-6683.8043,-218737.1645,-226527.4823,-220410.7763,-219762.0165,-228600.9337,-225024.8998,-223694.1247,-223796.1311,39407064.4158,39411503.6183,39420375.6999,39398181.2914,-222679.5850,39408486.7399,-2617.9349,-3621.2868,3254.2475,-6851.0069,-4166.3141,-4299.5814,-4445.6516,2259.3004,-4573.5156,1327.9538,-2229.2592,4826.4498,-2569.4120,2536.2622,4580.9778,554.5298,-5414.2568,-919.9883,6518.3663,-4800.9729,-4574.9549,5514.4695,-5400.0040,-3841.5800,0.0000,4625.3305,-3658.6177,-5252.1159,-3415.2934,-2328.1105,-2842.7919,-4270.9766,3922.3455,-5031.8296,5385.3442,-6339.1130,3619.6522,5483.1153,-2638.6090,1883.0809,5134.0335,4509.4888,-752.5608,2044.6959,-1917.3906,4607.6966,-745.4862,-5153.9903,0.0000,-3901.0784,5210.5624,-4672.2829,-2691.1063,5477.6063,1095.2101,-55.2187,-3687.7496,1757.3971,4708.5780,543.7195,-5512.8102,-3534.1993,-3649.7166,-247.8493,6357.0280,2941.5026,-2197.9332,5652.1675,-5288.4149,4468.7608,-3721.8344,-1050.9594,4698.9030,-1311.6629,2040.1949,-5468.6640,2053.3359,-4651.2110,-4084.0186,-5581.6184,-2302.5858,5367.0484,-5356.7666,4689.7084,-3065.6327,-119.8955,2631.0577,3935.2807,-2065.5583,-3336.8069,2017.6368,-4663.2811,-4196.0260,4479.0739,1212.8613,-1333.2958,5311.2566,5418.1756,-329.6999,-876.7730,-52491.2634,-53269.2252,-52741.3755,-54180.0600,-47354.7751,-53499.0134,-63595.6795,-53560.2137,50239416.5745,50253963.1703,50235044.1048,50240027.0603,-54183.3723,50232661.4423,
