sl_100_5400_20260411 Coordinates.csv
2026/04/11 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:32 2024,
Start: 2026/04/11 07:47:00.00, Stop: 2026/04/11 09:17:00.00,
TIME_UNITS,STARLINK-4683 - X-Coordinate,STARLINK-31239 - X-Coordinate,STARLINK-30305 - X-Coordinate,STARLINK-30341 - X-Coordinate,STARLINK-1788 - X-Coordinate,STARLINK-32265 - X-Coordinate,STARLINK-3344 - X-Coordinate,STARLINK-31508 - X-Coordinate,STARLINK-5647 - X-Coordinate,STARLINK-31062 - X-Coordinate,STARLINK-4707 - X-Coordinate,STARLINK-5881 - X-Coordinate,STARLINK-30495 - X-Coordinate,STARLINK-32029 - X-Coordinate,STARLINK-31551 - X-Coordinate,STARLINK-11155 [DTC] - X-Coordinate,STARLINK-11266 [DTC] - X-Coordinate,STARLINK-30785 - X-Coordinate,STARLINK-5330 - X-Coordinate,STARLINK-5366 - X-Coordinate,STARLINK-32160 - X-Coordinate,STARLINK-6115 - X-Coordinate,STARLINK-3368 - X-Coordinate,STARLINK-3557 - X-Coordinate,STARLINK-6155 - X-Coordinate,STARLINK-6068 - X-Coordinate,STARLINK-2661 - X-Coordinate,STARLINK-30892 - X-Coordinate,STARLINK-31614 - X-Coordinate,STARLINK-3151 - X-Coordinate,STARLINK-4186 - X-Coordinate,STARLINK-1822 - X-Coordinate,STARLINK-31316 - X-Coordinate,STARLINK-30506 - X-Coordinate,STARLINK-3750 - X-Coordinate,STARLINK-4544 - X-Coordinate,STARLINK-6250 - X-Coordinate,STARLINK-30804 - X-Coordinate,STARLINK-1958 - X-Coordinate,STARLINK-31186 - X-Coordinate,STARLINK-2235 - X-Coordinate,STARLINK-32127 - X-Coordinate,STARLINK-6041 - X-Coordinate,STARLINK-5020 - X-Coordinate,STARLINK-5794 - X-Coordinate,STARLINK-5579 - X-Coordinate,STARLINK-1588 - X-Coordinate,STARLINK-30289 - X-Coordinate,STARLINK-4004 - X-Coordinate,STARLINK-32186 - X-Coordinate,STARLINK-2298 - X-Coordinate,STARLINK-4381 - X-Coordinate,STARLINK-2104 - X-Coordinate,STARLINK-30313 - X-Coordinate,STARLINK-4515 - X-Coordinate,STARLINK-6371 - X-Coordinate,STARLINK-31210 - X-Coordinate,STARLINK-4397 - X-Coordinate,STARLINK-1226 - X-Coordinate,STARLINK-3705 - X-Coordinate,STARLINK-30069 - X-Coordinate,STARLINK-5106 - X-Coordinate,STARLINK-11130 [DTC] - X-Coordinate,STARLINK-1708 - X-Coordinate,STARLINK-1167 - X-Coordinate,STARLINK-1255 - X-Coordinate,STARLINK-5687 - X-Coordinate,STARLINK-2012 - X-Coordinate,STARLINK-31923 - X-Coordinate,STARLINK-1767 - X-Coordinate,STARLINK-30188 - X-Coordinate,STARLINK-2253 - X-Coordinate,STARLINK-4630 - X-Coordinate,STARLINK-30875 - X-Coordinate,STARLINK-3863 - X-Coordinate,STARLINK-32105 - X-Coordinate,STARLINK-11264 [DTC] - X-Coordinate,STARLINK-2090 - X-Coordinate,STARLINK-3309 - X-Coordinate,STARLINK-2066 - X-Coordinate,STARLINK-1732 - X-Coordinate,STARLINK-31531 - X-Coordinate,STARLINK-2734 - X-Coordinate,STARLINK-30809 - X-Coordinate,STARLINK-5540 - X-Coordinate,STARLINK-1298 - X-Coordinate,STARLINK-1725 - X-Coordinate,STARLINK-5095 - X-Coordinate,STARLINK-5778 - X-Coordinate,STARLINK-31488 - X-Coordinate,STARLINK-6369 - X-Coordinate,STARLINK-31726 - X-Coordinate,STARLINK-1213 - X-Coordinate,STARLINK-6029 - X-Coordinate,STARLINK-1785 - X-Coordinate,STARLINK-2605 - X-Coordinate,STARLINK-2131 - X-Coordinate,STARLINK-4594 - X-Coordinate,STARLINK-4348 - X-Coordinate,STARLINK-5623 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4683 - Y-Coordinate,STARLINK-31239 - Y-Coordinate,STARLINK-30305 - Y-Coordinate,STARLINK-30341 - Y-Coordinate,STARLINK-1788 - Y-Coordinate,STARLINK-32265 - Y-Coordinate,STARLINK-3344 - Y-Coordinate,STARLINK-31508 - Y-Coordinate,STARLINK-5647 - Y-Coordinate,STARLINK-31062 - Y-Coordinate,STARLINK-4707 - Y-Coordinate,STARLINK-5881 - Y-Coordinate,STARLINK-30495 - Y-Coordinate,STARLINK-32029 - Y-Coordinate,STARLINK-31551 - Y-Coordinate,STARLINK-11155 [DTC] - Y-Coordinate,STARLINK-11266 [DTC] - Y-Coordinate,STARLINK-30785 - Y-Coordinate,STARLINK-5330 - Y-Coordinate,STARLINK-5366 - Y-Coordinate,STARLINK-32160 - Y-Coordinate,STARLINK-6115 - Y-Coordinate,STARLINK-3368 - Y-Coordinate,STARLINK-3557 - Y-Coordinate,STARLINK-6155 - Y-Coordinate,STARLINK-6068 - Y-Coordinate,STARLINK-2661 - Y-Coordinate,STARLINK-30892 - Y-Coordinate,STARLINK-31614 - Y-Coordinate,STARLINK-3151 - Y-Coordinate,STARLINK-4186 - Y-Coordinate,STARLINK-1822 - Y-Coordinate,STARLINK-31316 - Y-Coordinate,STARLINK-30506 - Y-Coordinate,STARLINK-3750 - Y-Coordinate,STARLINK-4544 - Y-Coordinate,STARLINK-6250 - Y-Coordinate,STARLINK-30804 - Y-Coordinate,STARLINK-1958 - Y-Coordinate,STARLINK-31186 - Y-Coordinate,STARLINK-2235 - Y-Coordinate,STARLINK-32127 - Y-Coordinate,STARLINK-6041 - Y-Coordinate,STARLINK-5020 - Y-Coordinate,STARLINK-5794 - Y-Coordinate,STARLINK-5579 - Y-Coordinate,STARLINK-1588 - Y-Coordinate,STARLINK-30289 - Y-Coordinate,STARLINK-4004 - Y-Coordinate,STARLINK-32186 - Y-Coordinate,STARLINK-2298 - Y-Coordinate,STARLINK-4381 - Y-Coordinate,STARLINK-2104 - Y-Coordinate,STARLINK-30313 - Y-Coordinate,STARLINK-4515 - Y-Coordinate,STARLINK-6371 - Y-Coordinate,STARLINK-31210 - Y-Coordinate,STARLINK-4397 - Y-Coordinate,STARLINK-1226 - Y-Coordinate,STARLINK-3705 - Y-Coordinate,STARLINK-30069 - Y-Coordinate,STARLINK-5106 - Y-Coordinate,STARLINK-11130 [DTC] - Y-Coordinate,STARLINK-1708 - Y-Coordinate,STARLINK-1167 - Y-Coordinate,STARLINK-1255 - Y-Coordinate,STARLINK-5687 - Y-Coordinate,STARLINK-2012 - Y-Coordinate,STARLINK-31923 - Y-Coordinate,STARLINK-1767 - Y-Coordinate,STARLINK-30188 - Y-Coordinate,STARLINK-2253 - Y-Coordinate,STARLINK-4630 - Y-Coordinate,STARLINK-30875 - Y-Coordinate,STARLINK-3863 - Y-Coordinate,STARLINK-32105 - Y-Coordinate,STARLINK-11264 [DTC] - Y-Coordinate,STARLINK-2090 - Y-Coordinate,STARLINK-3309 - Y-Coordinate,STARLINK-2066 - Y-Coordinate,STARLINK-1732 - Y-Coordinate,STARLINK-31531 - Y-Coordinate,STARLINK-2734 - Y-Coordinate,STARLINK-30809 - Y-Coordinate,STARLINK-5540 - Y-Coordinate,STARLINK-1298 - Y-Coordinate,STARLINK-1725 - Y-Coordinate,STARLINK-5095 - Y-Coordinate,STARLINK-5778 - Y-Coordinate,STARLINK-31488 - Y-Coordinate,STARLINK-6369 - Y-Coordinate,STARLINK-31726 - Y-Coordinate,STARLINK-1213 - Y-Coordinate,STARLINK-6029 - Y-Coordinate,STARLINK-1785 - Y-Coordinate,STARLINK-2605 - Y-Coordinate,STARLINK-2131 - Y-Coordinate,STARLINK-4594 - Y-Coordinate,STARLINK-4348 - Y-Coordinate,STARLINK-5623 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4683 - Z-Coordinate,STARLINK-31239 - Z-Coordinate,STARLINK-30305 - Z-Coordinate,STARLINK-30341 - Z-Coordinate,STARLINK-1788 - Z-Coordinate,STARLINK-32265 - Z-Coordinate,STARLINK-3344 - Z-Coordinate,STARLINK-31508 - Z-Coordinate,STARLINK-5647 - Z-Coordinate,STARLINK-31062 - Z-Coordinate,STARLINK-4707 - Z-Coordinate,STARLINK-5881 - Z-Coordinate,STARLINK-30495 - Z-Coordinate,STARLINK-32029 - Z-Coordinate,STARLINK-31551 - Z-Coordinate,STARLINK-11155 [DTC] - Z-Coordinate,STARLINK-11266 [DTC] - Z-Coordinate,STARLINK-30785 - Z-Coordinate,STARLINK-5330 - Z-Coordinate,STARLINK-5366 - Z-Coordinate,STARLINK-32160 - Z-Coordinate,STARLINK-6115 - Z-Coordinate,STARLINK-3368 - Z-Coordinate,STARLINK-3557 - Z-Coordinate,STARLINK-6155 - Z-Coordinate,STARLINK-6068 - Z-Coordinate,STARLINK-2661 - Z-Coordinate,STARLINK-30892 - Z-Coordinate,STARLINK-31614 - Z-Coordinate,STARLINK-3151 - Z-Coordinate,STARLINK-4186 - Z-Coordinate,STARLINK-1822 - Z-Coordinate,STARLINK-31316 - Z-Coordinate,STARLINK-30506 - Z-Coordinate,STARLINK-3750 - Z-Coordinate,STARLINK-4544 - Z-Coordinate,STARLINK-6250 - Z-Coordinate,STARLINK-30804 - Z-Coordinate,STARLINK-1958 - Z-Coordinate,STARLINK-31186 - Z-Coordinate,STARLINK-2235 - Z-Coordinate,STARLINK-32127 - Z-Coordinate,STARLINK-6041 - Z-Coordinate,STARLINK-5020 - Z-Coordinate,STARLINK-5794 - Z-Coordinate,STARLINK-5579 - Z-Coordinate,STARLINK-1588 - Z-Coordinate,STARLINK-30289 - Z-Coordinate,STARLINK-4004 - Z-Coordinate,STARLINK-32186 - Z-Coordinate,STARLINK-2298 - Z-Coordinate,STARLINK-4381 - Z-Coordinate,STARLINK-2104 - Z-Coordinate,STARLINK-30313 - Z-Coordinate,STARLINK-4515 - Z-Coordinate,STARLINK-6371 - Z-Coordinate,STARLINK-31210 - Z-Coordinate,STARLINK-4397 - Z-Coordinate,STARLINK-1226 - Z-Coordinate,STARLINK-3705 - Z-Coordinate,STARLINK-30069 - Z-Coordinate,STARLINK-5106 - Z-Coordinate,STARLINK-11130 [DTC] - Z-Coordinate,STARLINK-1708 - Z-Coordinate,STARLINK-1167 - Z-Coordinate,STARLINK-1255 - Z-Coordinate,STARLINK-5687 - Z-Coordinate,STARLINK-2012 - Z-Coordinate,STARLINK-31923 - Z-Coordinate,STARLINK-1767 - Z-Coordinate,STARLINK-30188 - Z-Coordinate,STARLINK-2253 - Z-Coordinate,STARLINK-4630 - Z-Coordinate,STARLINK-30875 - Z-Coordinate,STARLINK-3863 - Z-Coordinate,STARLINK-32105 - Z-Coordinate,STARLINK-11264 [DTC] - Z-Coordinate,STARLINK-2090 - Z-Coordinate,STARLINK-3309 - Z-Coordinate,STARLINK-2066 - Z-Coordinate,STARLINK-1732 - Z-Coordinate,STARLINK-31531 - Z-Coordinate,STARLINK-2734 - Z-Coordinate,STARLINK-30809 - Z-Coordinate,STARLINK-5540 - Z-Coordinate,STARLINK-1298 - Z-Coordinate,STARLINK-1725 - Z-Coordinate,STARLINK-5095 - Z-Coordinate,STARLINK-5778 - Z-Coordinate,STARLINK-31488 - Z-Coordinate,STARLINK-6369 - Z-Coordinate,STARLINK-31726 - Z-Coordinate,STARLINK-1213 - Z-Coordinate,STARLINK-6029 - Z-Coordinate,STARLINK-1785 - Z-Coordinate,STARLINK-2605 - Z-Coordinate,STARLINK-2131 - Z-Coordinate,STARLINK-4594 - Z-Coordinate,STARLINK-4348 - Z-Coordinate,STARLINK-5623 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4070.8647,-4457.9476,5837.3723,-984.6342,-2808.6699,5723.5710,5245.9989,1940.5360,-4004.0143,2207.2493,-3270.5799,-3054.5647,-6758.9890,2827.2359,-4863.6274,-4139.6909,-6230.7709,-6885.8271,-4659.3830,5436.0329,838.5472,-1079.5472,-2527.5592,-4387.1736,-1557.0390,-2045.5206,2715.4312,1750.7998,-919.5377,1735.5674,-4116.7719,4840.5746,5006.5658,-697.5966,6353.6089,-6753.3048,-1302.8475,168.1148,-4187.0014,-4613.1558,-6491.7960,-4364.7490,539.6073,-3708.5180,1076.0041,6181.1692,5516.2403,-5727.7795,1854.8228,5302.9460,-530.0511,2718.4934,-2005.6750,-1178.2808,-5811.6659,-5212.8965,-4693.6063,-6107.7455,-4067.2104,-5226.6058,-5400.2233,-1761.4529,-5276.2362,-2417.8386,5970.1600,3333.3118,-4582.0599,-2125.2138,-5445.3447,3396.2786,-5555.4782,-4789.4687,2472.3558,5902.0877,-2853.2014,505.5859,-4899.7409,-309.7513,5141.0172,-812.4044,3300.5853,-694.9628,-6681.4463,-4951.6482,5620.2465,-3812.2169,-3198.2843,-2112.9256,177.3935,4958.6074,4670.2572,1067.4414,0.0000,2531.6362,-5177.3023,4653.9700,-3293.3469,3634.4954,-2744.6187,2984.7548,-366731.4349,-364518.7071,-367425.5375,-364620.0845,-368046.2042,-366723.7577,-358650.8526,-362216.0535,-240241945.0867,-240249324.4866,-240251891.5322,-240248743.7614,-361856.1908,-240250747.0122,1971.9785,-3525.3365,-2484.3741,-5478.3449,3131.3210,1329.3794,-3706.4345,-4607.0885,-4801.7696,4574.0037,2750.1805,4061.9033,859.2094,-3412.5189,1931.6895,1333.6567,2586.0148,648.4999,1997.1681,-3911.4298,6544.6627,-4979.7165,4400.6943,4998.2287,5119.5984,-6572.0396,3875.7456,4848.0369,-4907.8914,-4307.1201,825.8329,1756.5670,-207.0598,-6516.3531,2633.5397,982.0540,-6197.7446,6561.8671,-388.2184,-2029.0851,-2029.5030,-3430.1598,6323.4801,-5684.3147,6849.4726,-2250.7267,-3552.4470,-1262.4873,3940.7448,1504.3055,4148.7425,-2336.5144,5034.2110,6711.7445,3342.7996,1127.7107,-1799.9855,3289.4189,-853.9454,1132.7149,-4237.3162,4858.6874,-2102.5982,-3584.1677,-178.6419,-4324.9780,4914.6898,-3595.3539,1012.2577,3073.6985,-3277.9939,2724.8058,-338.7963,-1286.6364,-6242.2409,5778.1666,1058.0718,-5317.9383,1767.3818,5415.0840,2782.2018,-5007.4850,-1566.9877,3761.8574,3785.1644,4868.2430,6016.5182,-6380.6399,6871.7841,4701.8370,-3302.0164,-4873.8853,0.0000,-455.4875,-3442.5634,-4932.4701,4550.4815,5853.1683,-702.7160,1063.2173,-47916.9597,-74915.9289,-56243.0007,-53678.1983,-61524.6397,-58817.0049,-61353.5616,-59068.4274,241845836.5612,241780928.9996,241813214.4703,241835542.3058,-58669.3078,241828501.9513,-5241.3457,3827.2632,2755.1257,-4117.3225,-5496.7553,3534.3718,2607.8820,4632.3295,2981.4275,4705.8558,-5440.6785,4706.0874,1252.8962,5161.2809,4371.2198,-5127.4325,-573.2513,354.6454,4735.3725,1779.6385,-1744.6559,-4697.6385,-4709.4203,1875.4777,4393.5508,-1070.2595,5009.8566,-4643.4005,-4650.4004,5115.9611,5487.0705,4620.9582,4631.8115,2264.8773,-555.7804,1037.4460,2816.7045,-1941.2035,5485.4376,4662.6701,-1290.2475,3948.9523,2824.2413,-0.8216,-12.5262,-2267.7079,2129.7812,3691.5147,5361.3688,4054.5175,-5406.2043,-5948.9871,4296.7763,465.4354,1686.6974,-4412.7428,4657.6013,174.1214,5522.1056,4377.1672,-1004.9419,4614.2231,-3622.4215,-5407.9644,3473.0775,-4220.6707,-1218.1456,5424.7238,-3984.9098,-5170.1116,-2546.8100,4029.0559,-6478.6928,3367.5428,-792.9925,-3594.8153,4426.8668,-4386.3085,4175.7886,4202.0937,5347.0921,4567.2019,32.5959,3048.2193,1497.8666,3097.5322,1208.0847,-1709.6198,-936.0399,-8.8744,3900.7504,-4648.4123,0.0000,-6458.3488,2865.6971,1217.1568,-4023.7091,582.2292,-6337.5061,6173.1369,-147738.2653,-149694.3911,-149465.1364,-143525.9549,-143810.4698,-154400.7440,-155734.9000,-146833.7673,-2662579.2524,-2669610.3748,-2687338.3057,-2669146.4522,-148557.1227,-2668857.6262,
300.000,-2426.5117,-4503.4988,5412.2548,-2912.5991,-933.7174,4965.1683,3700.5749,-169.6930,-5458.6345,3977.9790,-1459.4873,-1150.6652,-6510.7865,732.2963,-4292.1806,-2706.5779,-5572.6353,-6331.2283,-2809.1496,3956.4870,1996.1270,-3129.1742,-467.2018,-3550.2449,288.7227,-2630.4857,3680.8124,3556.7023,-2990.7035,194.2877,-3820.1391,4375.2084,4820.4047,-2208.7691,6365.1068,-5973.1567,-2762.3040,1429.6686,-4474.0332,-5149.2166,-6847.5968,-5784.6285,1160.3844,-4780.9641,2495.8199,6280.5708,4090.8576,-5267.9834,3396.3616,4616.9028,1645.8041,4413.6141,-770.2774,99.3718,-4525.5088,-4991.8905,-5348.5364,-6036.9573,-4325.8879,-3755.6951,-6238.0526,382.0265,-4767.1083,-3769.0368,4827.9750,1360.2740,-3413.5567,-4011.1716,-4019.7086,4029.3778,-5685.5203,-2999.5888,522.3375,5837.2676,-3888.4678,2249.7613,-3398.7889,-1956.9195,4563.7290,640.0827,4860.8737,-2728.8131,-6606.1319,-3230.1033,4673.2023,-2072.2601,-2111.7160,-3584.6840,1674.8438,5532.4997,3866.6588,-1083.4431,0.0000,1309.2818,-6249.0551,3305.8114,-2420.2283,4396.5375,-4241.3986,4629.5694,-365699.4181,-362928.7744,-366090.0058,-363272.3756,-366762.9712,-365468.0615,-357397.8836,-360463.5453,-245463676.6335,-245469956.1332,-245473011.2966,-245471010.8078,-360556.7888,-245472392.4071,3363.0667,-1616.9169,-4086.2871,-5433.0776,4228.8599,-353.5281,-4236.8165,-5122.2870,-3939.4949,3349.0736,3955.0234,5067.4276,2354.6326,-4015.0393,3886.6153,2997.0823,3629.2119,2098.0431,2259.5579,-4769.2451,5600.3409,-4460.3752,4305.8169,5929.8573,5908.0974,-6360.2848,1976.0898,3676.3673,-4320.3008,-5515.9805,2920.2872,-241.1902,-2336.5448,-5572.4713,1333.6290,2101.7569,-5025.7244,6690.4528,1712.2938,67.5087,-863.2739,-2609.0585,5101.7025,-4566.8908,6285.1820,-2984.0427,-4169.9039,705.6242,2407.5876,-331.0652,3908.6173,-2882.7032,6213.5929,6451.5143,4047.0669,3127.3657,233.8677,2748.7282,1289.8740,2492.6000,-2983.6612,5082.0742,-274.0779,-1882.9072,-1595.1717,-4396.1415,5901.0260,-2617.1696,2339.9972,1019.4993,-1458.1139,3525.3988,772.2698,-3048.3796,-5616.0418,4735.7458,2506.8639,-5863.7960,-126.3395,6271.2505,1420.8019,-4231.2770,-309.6063,4594.5973,3671.1864,4904.1139,6564.5844,-5932.2850,6703.0930,3583.2538,-4997.4679,-5085.2620,0.0000,-2292.8470,-2542.6188,-5302.3901,5933.5059,4796.5734,-1941.7062,-27.1879,-55828.5803,-82500.3375,-63758.0065,-61326.4793,-69180.9042,-66490.0078,-68922.7143,-66910.2835,236542589.8462,236477724.8308,236510266.3688,236532522.2523,-66297.3852,236525294.1406,-5543.4881,4902.1541,1368.4957,-3150.5990,-5398.9338,4713.3648,4048.2637,4493.3844,1638.9485,4571.4958,-5484.9704,4579.7828,-285.0831,5442.0164,3603.5632,-5375.9348,1257.4388,1856.7188,5923.4126,3096.8129,-3354.0273,-4282.9767,-5401.4207,87.7586,3600.5029,1053.6018,5480.0656,-4687.1041,-4352.1801,4158.9556,4963.1190,5353.1562,4228.9012,3481.6081,-2310.6055,2742.9631,3889.7971,-150.7756,4983.9148,4541.6623,517.6784,2485.0949,4564.2661,-1539.8584,-1536.8452,-181.2567,3665.1073,4445.0534,5512.0133,5037.4557,-5360.1647,-4521.0282,2942.3795,2233.6400,3302.7035,-3635.1364,4279.2315,-2048.0275,5234.3956,5236.9734,538.3406,4692.7811,-4753.0949,-5493.9604,4675.4094,-5143.6856,332.7207,4893.3591,-4992.8653,-5516.7800,-3695.3885,5014.8675,-6879.7361,2118.4297,1024.6083,-4368.0537,5183.3722,-3064.3403,5111.5605,2816.6568,4647.4839,4590.2722,1825.4265,4049.0037,3578.1253,4410.9526,-601.4105,-196.7063,608.2802,-1808.9202,2832.8741,-4411.8586,0.0000,-6431.2368,1177.2055,2897.7696,-2581.6687,2333.2729,-5140.0967,5170.7926,-147685.3629,-149614.8241,-149280.3317,-143571.2859,-143592.1217,-154111.5111,-155794.0239,-146760.7453,-2655868.5593,-2663325.2170,-2680983.1466,-2661996.1506,-148465.3812,-2662370.4381,
600.000,-578.7544,-4141.7973,4469.0956,-4542.7420,1000.6333,3735.9809,1776.9948,-2248.9393,-6377.4397,5384.9885,461.9164,841.5335,-5629.4018,-1426.1775,-3318.9300,-1026.0446,-4315.1424,-5160.0462,-669.8582,2083.6534,2985.6288,-4877.6507,1655.0530,-2360.0133,2081.2323,-2962.6996,4336.1826,5044.4006,-4763.4085,-1326.3554,-3199.8407,3530.7443,4186.1260,-3538.1830,5751.0985,-4594.4588,-3989.8015,2542.5034,-4370.4980,-5214.4314,-6524.3387,-6598.6481,1723.3106,-5371.7094,3688.5434,5743.8443,2242.8967,-4333.4783,4645.5784,3502.0441,3657.6897,5658.7015,509.2045,1391.8331,-2776.9482,-4318.9641,-5504.2386,-5297.2611,-4212.7291,-1938.0252,-6474.4056,2484.9050,-3788.9404,-4797.0186,3227.6746,-764.1790,-1894.6907,-5503.3076,-2201.2431,4322.7462,-5295.8024,-904.8261,-1527.5814,5218.0758,-4545.3431,3799.3116,-1555.1841,-3381.5902,3569.2070,1999.6574,5953.9498,-4500.3219,-5862.2760,-1191.8942,3245.3908,-102.4923,-809.2154,-4707.4487,3015.9525,5550.0363,2714.2035,-3114.6821,0.0000,25.9281,-6676.2423,1604.5538,-1334.7276,4744.0468,-5239.2505,5831.6053,-364495.0300,-361180.9941,-364590.6908,-361761.4114,-365316.0591,-364046.7445,-355987.5029,-358549.0281,-250568373.0199,-250573554.2133,-250577109.8245,-250576263.5063,-359096.5875,-250577004.6457,4472.8028,476.0954,-5280.8246,-4886.0289,4959.4320,-2041.1741,-4392.9774,-5157.5428,-2709.4096,1837.0523,4819.8284,5619.2286,3623.9277,-4260.5590,5441.9413,4380.8240,4299.5570,3361.3490,2370.1818,-5192.5534,4079.9753,-3550.3478,3844.3837,6269.3109,6146.6390,-5500.8197,-101.2618,2187.6949,-3336.0574,-6200.8891,4722.1911,-2241.9027,-4224.1629,-4098.7065,-123.2001,3042.2345,-3378.2083,6131.0278,3625.6887,2143.5729,394.5254,-1544.9712,3367.0402,-2968.9285,5110.2424,-3412.5917,-4409.1539,2629.2572,677.6623,-2169.3459,3328.1308,-3060.3042,6783.5687,5529.7533,4383.8651,4812.8918,2224.2949,1934.6883,3292.5743,3657.6577,-1436.5290,4858.2326,1618.6908,-33.4432,-2900.6892,-4084.7220,6288.4467,-1424.9729,3478.6766,-1123.6209,522.1162,4019.3892,1714.5401,-4498.8749,-4422.8837,3238.6782,3732.9489,-5844.8626,-2040.6119,6514.3406,-37.1224,-3065.6645,999.6599,5020.0261,3116.0692,4496.5888,6463.3539,-4909.9389,5884.3906,2080.0724,-6202.7925,-4821.3397,0.0000,-3944.4787,-1394.9690,-5164.5471,6722.0965,3249.8524,-3030.1612,-1052.4159,-63720.8453,-90049.5511,-71246.3014,-68946.7602,-76808.3613,-74136.0227,-76464.5906,-74658.8856,231126619.9799,231061824.0768,231094618.1603,231116688.6512,-73896.7775,231109366.4482,-5251.7903,5434.7272,-165.6195,-1845.4223,-4722.1940,5371.8871,5055.5542,3849.5646,120.6221,3946.9351,-4940.3463,3962.9702,-1792.4998,5108.5420,2431.3218,-4996.3251,2943.4308,3159.1746,6480.3752,4081.9166,-4587.7808,-3410.1779,-5514.7728,-1709.4706,2421.1149,3066.0384,5355.0548,-4231.2859,-3566.3106,2753.2942,3904.1929,5510.4974,3352.5151,4325.8612,-3814.7848,4150.8738,4546.4790,1656.4089,3945.7636,3921.4023,2269.8533,741.3330,5818.9071,-2903.4596,-2896.7658,1924.3734,4802.3195,4722.8846,5068.2521,5460.9969,-4717.6342,-2612.6506,1271.1602,3751.6338,4562.1801,-2467.0213,3427.7492,-4051.8779,4383.0710,5532.3343,2024.0130,4269.0843,-5331.2367,-4991.4920,5372.9562,-5510.3185,1846.2102,3819.9409,-5442.0938,-5268.4404,-4449.3745,5439.8171,-6551.6122,641.0394,2731.2375,-4652.1463,5323.9445,-1409.8494,5482.8371,1126.1266,3438.7083,4097.0503,3416.6213,4615.3321,5276.4425,5249.2786,-2346.2167,1337.2476,2087.5113,-3406.9684,1460.8015,-3680.1773,0.0000,-5724.6907,-642.0587,4262.2551,-860.4759,3832.3522,-3396.0787,3618.4141,-147632.5880,-149535.0546,-149093.8875,-143621.6776,-143377.3125,-153816.2511,-155847.6061,-146812.8669,-2649160.8493,-2657040.0684,-2674622.7963,-2654849.4690,-148373.5519,-2655883.2933,
