sl_100_5400_20260304 Coordinates.csv
2026/03/04 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:59 2024,
Start: 2026/03/04 07:47:00.00, Stop: 2026/03/04 09:17:00.00,
TIME_UNITS,STARLINK-5160 - X-Coordinate,STARLINK-30108 - X-Coordinate,STARLINK-31924 - X-Coordinate,STARLINK-5799 - X-Coordinate,STARLINK-31935 - X-Coordinate,STARLINK-30560 - X-Coordinate,STARLINK-3519 - X-Coordinate,STARLINK-2639 - X-Coordinate,STARLINK-5982 - X-Coordinate,STARLINK-4508 - X-Coordinate,STARLINK-3803 - X-Coordinate,STARLINK-2609 - X-Coordinate,STARLINK-1459 - X-Coordinate,STARLINK-31113 - X-Coordinate,STARLINK-6123 - X-Coordinate,STARLINK-1308 - X-Coordinate,STARLINK-2517 - X-Coordinate,STARLINK-4633 - X-Coordinate,STARLINK-4303 - X-Coordinate,STARLINK-2567 - X-Coordinate,STARLINK-32360 - X-Coordinate,STARLINK-3607 - X-Coordinate,STARLINK-1759 - X-Coordinate,STARLINK-2440 - X-Coordinate,STARLINK-3551 - X-Coordinate,STARLINK-3660 - X-Coordinate,STARLINK-5307 - X-Coordinate,STARLINK-30226 - X-Coordinate,STARLINK-32189 - X-Coordinate,STARLINK-5314 - X-Coordinate,STARLINK-4465 - X-Coordinate,STARLINK-1775 - X-Coordinate,STARLINK-30712 - X-Coordinate,STARLINK-30110 - X-Coordinate,STARLINK-5636 - X-Coordinate,STARLINK-2221 - X-Coordinate,STARLINK-4197 - X-Coordinate,STARLINK-5777 - X-Coordinate,STARLINK-30292 - X-Coordinate,STARLINK-30922 - X-Coordinate,STARLINK-11273 [DTC] - X-Coordinate,STARLINK-31390 - X-Coordinate,STARLINK-4474 - X-Coordinate,STARLINK-3292 - X-Coordinate,STARLINK-32246 - X-Coordinate,STARLINK-2648 - X-Coordinate,STARLINK-5898 - X-Coordinate,STARLINK-3865 - X-Coordinate,STARLINK-5633 - X-Coordinate,STARLINK-3860 - X-Coordinate,STARLINK-31392 - X-Coordinate,STARLINK-5962 - X-Coordinate,STARLINK-31041 - X-Coordinate,STARLINK-11120 [DTC] - X-Coordinate,STARLINK-30263 - X-Coordinate,STARLINK-31718 - X-Coordinate,STARLINK-4351 - X-Coordinate,STARLINK-2056 - X-Coordinate,STARLINK-6316 - X-Coordinate,STARLINK-4781 - X-Coordinate,STARLINK-4659 - X-Coordinate,STARLINK-1374 - X-Coordinate,STARLINK-1297 - X-Coordinate,STARLINK-4005 - X-Coordinate,STARLINK-31271 - X-Coordinate,STARLINK-4024 - X-Coordinate,STARLINK-31458 - X-Coordinate,STARLINK-5096 - X-Coordinate,STARLINK-2530 - X-Coordinate,STARLINK-31344 - X-Coordinate,STARLINK-3829 - X-Coordinate,STARLINK-31876 - X-Coordinate,STARLINK-5022 - X-Coordinate,STARLINK-31662 - X-Coordinate,STARLINK-5074 - X-Coordinate,STARLINK-1738 - X-Coordinate,STARLINK-5239 - X-Coordinate,STARLINK-1701 - X-Coordinate,STARLINK-30893 - X-Coordinate,STARLINK-5821 - X-Coordinate,STARLINK-31015 - X-Coordinate,STARLINK-2338 - X-Coordinate,STARLINK-32202 - X-Coordinate,STARLINK-4772 - X-Coordinate,STARLINK-5674 - X-Coordinate,STARLINK-1453 - X-Coordinate,STARLINK-2757 - X-Coordinate,STARLINK-1557 - X-Coordinate,STARLINK-5903 - X-Coordinate,STARLINK-3572 - X-Coordinate,STARLINK-3346 - X-Coordinate,STARLINK-2084 - X-Coordinate,STARLINK-4572 - X-Coordinate,STARLINK-6272 - X-Coordinate,STARLINK-11271 [DTC] - X-Coordinate,STARLINK-5907 - X-Coordinate,STARLINK-5342 - X-Coordinate,STARLINK-31351 - X-Coordinate,STARLINK-3452 - X-Coordinate,STARLINK-5052 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5160 - Y-Coordinate,STARLINK-30108 - Y-Coordinate,STARLINK-31924 - Y-Coordinate,STARLINK-5799 - Y-Coordinate,STARLINK-31935 - Y-Coordinate,STARLINK-30560 - Y-Coordinate,STARLINK-3519 - Y-Coordinate,STARLINK-2639 - Y-Coordinate,STARLINK-5982 - Y-Coordinate,STARLINK-4508 - Y-Coordinate,STARLINK-3803 - Y-Coordinate,STARLINK-2609 - Y-Coordinate,STARLINK-1459 - Y-Coordinate,STARLINK-31113 - Y-Coordinate,STARLINK-6123 - Y-Coordinate,STARLINK-1308 - Y-Coordinate,STARLINK-2517 - Y-Coordinate,STARLINK-4633 - Y-Coordinate,STARLINK-4303 - Y-Coordinate,STARLINK-2567 - Y-Coordinate,STARLINK-32360 - Y-Coordinate,STARLINK-3607 - Y-Coordinate,STARLINK-1759 - Y-Coordinate,STARLINK-2440 - Y-Coordinate,STARLINK-3551 - Y-Coordinate,STARLINK-3660 - Y-Coordinate,STARLINK-5307 - Y-Coordinate,STARLINK-30226 - Y-Coordinate,STARLINK-32189 - Y-Coordinate,STARLINK-5314 - Y-Coordinate,STARLINK-4465 - Y-Coordinate,STARLINK-1775 - Y-Coordinate,STARLINK-30712 - Y-Coordinate,STARLINK-30110 - Y-Coordinate,STARLINK-5636 - Y-Coordinate,STARLINK-2221 - Y-Coordinate,STARLINK-4197 - Y-Coordinate,STARLINK-5777 - Y-Coordinate,STARLINK-30292 - Y-Coordinate,STARLINK-30922 - Y-Coordinate,STARLINK-11273 [DTC] - Y-Coordinate,STARLINK-31390 - Y-Coordinate,STARLINK-4474 - Y-Coordinate,STARLINK-3292 - Y-Coordinate,STARLINK-32246 - Y-Coordinate,STARLINK-2648 - Y-Coordinate,STARLINK-5898 - Y-Coordinate,STARLINK-3865 - Y-Coordinate,STARLINK-5633 - Y-Coordinate,STARLINK-3860 - Y-Coordinate,STARLINK-31392 - Y-Coordinate,STARLINK-5962 - Y-Coordinate,STARLINK-31041 - Y-Coordinate,STARLINK-11120 [DTC] - Y-Coordinate,STARLINK-30263 - Y-Coordinate,STARLINK-31718 - Y-Coordinate,STARLINK-4351 - Y-Coordinate,STARLINK-2056 - Y-Coordinate,STARLINK-6316 - Y-Coordinate,STARLINK-4781 - Y-Coordinate,STARLINK-4659 - Y-Coordinate,STARLINK-1374 - Y-Coordinate,STARLINK-1297 - Y-Coordinate,STARLINK-4005 - Y-Coordinate,STARLINK-31271 - Y-Coordinate,STARLINK-4024 - Y-Coordinate,STARLINK-31458 - Y-Coordinate,STARLINK-5096 - Y-Coordinate,STARLINK-2530 - Y-Coordinate,STARLINK-31344 - Y-Coordinate,STARLINK-3829 - Y-Coordinate,STARLINK-31876 - Y-Coordinate,STARLINK-5022 - Y-Coordinate,STARLINK-31662 - Y-Coordinate,STARLINK-5074 - Y-Coordinate,STARLINK-1738 - Y-Coordinate,STARLINK-5239 - Y-Coordinate,STARLINK-1701 - Y-Coordinate,STARLINK-30893 - Y-Coordinate,STARLINK-5821 - Y-Coordinate,STARLINK-31015 - Y-Coordinate,STARLINK-2338 - Y-Coordinate,STARLINK-32202 - Y-Coordinate,STARLINK-4772 - Y-Coordinate,STARLINK-5674 - Y-Coordinate,STARLINK-1453 - Y-Coordinate,STARLINK-2757 - Y-Coordinate,STARLINK-1557 - Y-Coordinate,STARLINK-5903 - Y-Coordinate,STARLINK-3572 - Y-Coordinate,STARLINK-3346 - Y-Coordinate,STARLINK-2084 - Y-Coordinate,STARLINK-4572 - Y-Coordinate,STARLINK-6272 - Y-Coordinate,STARLINK-11271 [DTC] - Y-Coordinate,STARLINK-5907 - Y-Coordinate,STARLINK-5342 - Y-Coordinate,STARLINK-31351 - Y-Coordinate,STARLINK-3452 - Y-Coordinate,STARLINK-5052 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5160 - Z-Coordinate,STARLINK-30108 - Z-Coordinate,STARLINK-31924 - Z-Coordinate,STARLINK-5799 - Z-Coordinate,STARLINK-31935 - Z-Coordinate,STARLINK-30560 - Z-Coordinate,STARLINK-3519 - Z-Coordinate,STARLINK-2639 - Z-Coordinate,STARLINK-5982 - Z-Coordinate,STARLINK-4508 - Z-Coordinate,STARLINK-3803 - Z-Coordinate,STARLINK-2609 - Z-Coordinate,STARLINK-1459 - Z-Coordinate,STARLINK-31113 - Z-Coordinate,STARLINK-6123 - Z-Coordinate,STARLINK-1308 - Z-Coordinate,STARLINK-2517 - Z-Coordinate,STARLINK-4633 - Z-Coordinate,STARLINK-4303 - Z-Coordinate,STARLINK-2567 - Z-Coordinate,STARLINK-32360 - Z-Coordinate,STARLINK-3607 - Z-Coordinate,STARLINK-1759 - Z-Coordinate,STARLINK-2440 - Z-Coordinate,STARLINK-3551 - Z-Coordinate,STARLINK-3660 - Z-Coordinate,STARLINK-5307 - Z-Coordinate,STARLINK-30226 - Z-Coordinate,STARLINK-32189 - Z-Coordinate,STARLINK-5314 - Z-Coordinate,STARLINK-4465 - Z-Coordinate,STARLINK-1775 - Z-Coordinate,STARLINK-30712 - Z-Coordinate,STARLINK-30110 - Z-Coordinate,STARLINK-5636 - Z-Coordinate,STARLINK-2221 - Z-Coordinate,STARLINK-4197 - Z-Coordinate,STARLINK-5777 - Z-Coordinate,STARLINK-30292 - Z-Coordinate,STARLINK-30922 - Z-Coordinate,STARLINK-11273 [DTC] - Z-Coordinate,STARLINK-31390 - Z-Coordinate,STARLINK-4474 - Z-Coordinate,STARLINK-3292 - Z-Coordinate,STARLINK-32246 - Z-Coordinate,STARLINK-2648 - Z-Coordinate,STARLINK-5898 - Z-Coordinate,STARLINK-3865 - Z-Coordinate,STARLINK-5633 - Z-Coordinate,STARLINK-3860 - Z-Coordinate,STARLINK-31392 - Z-Coordinate,STARLINK-5962 - Z-Coordinate,STARLINK-31041 - Z-Coordinate,STARLINK-11120 [DTC] - Z-Coordinate,STARLINK-30263 - Z-Coordinate,STARLINK-31718 - Z-Coordinate,STARLINK-4351 - Z-Coordinate,STARLINK-2056 - Z-Coordinate,STARLINK-6316 - Z-Coordinate,STARLINK-4781 - Z-Coordinate,STARLINK-4659 - Z-Coordinate,STARLINK-1374 - Z-Coordinate,STARLINK-1297 - Z-Coordinate,STARLINK-4005 - Z-Coordinate,STARLINK-31271 - Z-Coordinate,STARLINK-4024 - Z-Coordinate,STARLINK-31458 - Z-Coordinate,STARLINK-5096 - Z-Coordinate,STARLINK-2530 - Z-Coordinate,STARLINK-31344 - Z-Coordinate,STARLINK-3829 - Z-Coordinate,STARLINK-31876 - Z-Coordinate,STARLINK-5022 - Z-Coordinate,STARLINK-31662 - Z-Coordinate,STARLINK-5074 - Z-Coordinate,STARLINK-1738 - Z-Coordinate,STARLINK-5239 - Z-Coordinate,STARLINK-1701 - Z-Coordinate,STARLINK-30893 - Z-Coordinate,STARLINK-5821 - Z-Coordinate,STARLINK-31015 - Z-Coordinate,STARLINK-2338 - Z-Coordinate,STARLINK-32202 - Z-Coordinate,STARLINK-4772 - Z-Coordinate,STARLINK-5674 - Z-Coordinate,STARLINK-1453 - Z-Coordinate,STARLINK-2757 - Z-Coordinate,STARLINK-1557 - Z-Coordinate,STARLINK-5903 - Z-Coordinate,STARLINK-3572 - Z-Coordinate,STARLINK-3346 - Z-Coordinate,STARLINK-2084 - Z-Coordinate,STARLINK-4572 - Z-Coordinate,STARLINK-6272 - Z-Coordinate,STARLINK-11271 [DTC] - Z-Coordinate,STARLINK-5907 - Z-Coordinate,STARLINK-5342 - Z-Coordinate,STARLINK-31351 - Z-Coordinate,STARLINK-3452 - Z-Coordinate,STARLINK-5052 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,2720.5161,-5186.3206,-6706.9825,4918.8175,-2380.3711,4671.1718,0.0000,-1775.5094,-2393.5236,12.7451,3138.1139,-3542.4537,0.0000,6681.6376,-4583.8105,4140.9721,-6291.8828,3432.3014,6216.0603,-5088.2429,0.0000,4109.4516,776.3982,-3222.3679,742.2968,4659.7543,2279.0250,4548.0356,4636.6315,-2329.5417,809.6785,6854.5227,-2565.2962,-4402.7127,5313.6809,-2166.7905,3781.0061,3178.8129,-641.5158,-426.5609,1136.1430,2596.0155,197.7589,2008.6347,-2271.0147,5212.1165,-2864.3360,-1763.3787,-4045.3272,-5840.3239,-5190.9693,-314.7084,-6694.9872,-3463.1612,2346.0440,5403.9931,-5651.9439,-1572.6578,-4544.3181,-3272.5429,-3354.2820,2868.5509,4654.3400,1427.3636,-3796.3416,772.1858,1470.0106,4094.3420,-4280.3187,-2094.6914,-4339.0643,2787.2352,-2934.7598,-3836.4357,364.4970,-290.2196,2864.9565,3907.0031,4770.1263,-340.3844,-6272.1654,-6174.5724,5869.0444,-1877.1250,-873.1294,75.6199,-2590.6431,-5751.0817,6287.4852,-1239.6496,4139.5829,5132.0282,5924.4286,-5055.3271,2865.0273,-3081.5017,5459.6625,-6102.3361,4589.9723,-3486.0070,102546.0742,87674.8580,96248.1187,100219.4226,92752.2462,95507.1153,100325.9866,98731.4411,-196308823.4049,-196324996.3323,-196337741.1286,-196335740.1751,99405.0300,-196324798.6006,-5828.7485,-2113.7194,1099.6674,4182.5328,4463.8153,-2084.8997,0.0000,-6617.7939,5540.1553,-4260.7843,-2957.7576,5110.6059,0.0000,-370.6678,-4028.5390,396.8090,-1526.2456,-2427.3307,2928.1960,138.9212,0.0000,-3021.3205,-5385.5063,-4719.8963,-6311.6194,4379.6607,-796.5784,5081.7671,-3733.4974,5728.0395,-6765.9152,640.4448,3286.8186,4796.0309,-1844.1574,6446.1486,-1784.7379,-4000.7438,4105.3802,-5962.0348,-4346.0684,-5987.4256,4269.6872,-3735.1403,-3485.8723,-3759.2586,-619.7761,-4465.2087,1748.3629,-3666.6156,-2144.5653,5115.8314,-960.2086,-3315.0525,4511.1014,304.8743,3292.0228,3880.1558,-3971.6835,3671.4898,6052.2471,-5037.1547,-223.6887,5047.0071,1800.5839,-4449.2811,-6074.7094,-1651.0214,4044.1187,6059.0384,492.5537,-5805.5043,-3291.5673,4886.1893,-2404.9291,-6902.9620,6230.6436,3493.2876,2741.2924,-5184.5938,726.0215,-2814.1350,-2965.0567,5185.4414,6792.8153,-4983.5893,-3660.7435,-624.3010,2833.9497,6710.9950,-792.7591,-1416.1712,-2859.9388,414.2435,-4728.6708,-5407.8174,-995.8125,2185.6338,-324.7392,5875.1987,-361204.1375,-387100.2642,-367748.3108,-367298.8466,-371451.3154,-370057.7896,-377030.2589,-372584.2867,279918432.8316,279911795.2232,279894115.9928,279898234.7607,-372921.3832,279906204.1219,2530.1674,4031.1703,517.7769,-2538.1234,4555.0394,4499.9011,0.0000,925.9426,-3455.8856,5426.7912,-5414.3719,-2967.9236,0.0000,-1529.4297,-3290.9534,-5519.2571,2378.8658,-5475.1498,-653.8070,-4665.3920,0.0000,4654.1733,4266.8598,3624.1006,2718.5457,2613.1860,-6523.2949,1213.2980,-3341.5514,3159.1091,1418.9116,-571.5356,-5445.7724,-2342.5614,4037.3950,-1289.5591,5496.7192,4682.4377,5400.4878,3398.6930,4955.6233,-2087.6473,-5436.5636,-5465.9031,-5498.5475,2486.0207,-6309.5704,4969.4415,-5370.5158,482.5776,-3871.8388,-4676.9454,-1089.2287,-4719.3763,-4720.6265,4139.7942,2317.0541,-5520.6617,-3419.0370,4775.4928,-398.5354,3782.9710,-5096.4030,-4507.6695,5404.7290,-5237.1489,-2702.4851,-5329.5117,-3646.5803,-2479.5135,5349.4132,-2253.9385,-5331.8329,-2831.2081,6497.6216,205.3869,923.4968,-4522.4890,4153.4090,4584.3560,2867.7793,1302.3305,-1813.0792,4146.6984,1073.8764,4786.0848,5262.7357,3685.5593,-704.5052,-907.7339,-5477.4059,4396.5738,-2205.8808,4718.2613,3795.7231,3051.9451,-4160.2681,2047.9417,5150.6229,-1078.8562,8628.6125,6949.6503,6687.9257,12825.0774,12366.1554,1751.0072,578.1983,9303.6012,-72719474.2320,-72747276.0912,-72740237.6395,-72722303.1461,7689.0803,-72723028.4341,
300.000,1681.3850,-5142.2940,-6237.0485,6112.2171,-274.0214,2927.8159,0.0000,-2803.1686,-2006.2692,-2060.6196,1948.3508,-2670.1391,0.0000,6592.9730,-5944.5886,4251.6507,-6861.8527,1801.3282,6568.0211,-3931.4990,0.0000,3630.2807,-693.3460,-4751.4375,-517.8232,4868.8283,1827.0407,5287.9195,2877.5239,-1910.1142,1143.6871,6479.4056,-959.4286,-3339.2099,4988.9287,-785.7313,2477.2079,1265.7312,1546.6366,-2194.5914,-999.6469,1069.5605,2274.9682,-106.8745,-3866.0043,3675.5976,-4267.7269,-3668.4109,-2069.2218,-6293.1866,-6194.8726,1781.9638,-6247.6625,-5145.0687,4166.8611,5787.8812,-6219.5394,402.5731,-5925.0626,-1207.7843,-1842.1898,1003.4493,5104.4171,2730.5294,-2382.1879,-1319.2883,-360.2007,2613.4766,-2457.9788,-281.6881,-3367.5227,983.5455,-3925.5842,-2676.8500,-1674.8551,-1477.7395,3725.5589,4188.0438,6087.8814,-2379.2629,-6333.8432,-6074.5770,4574.8724,4.5673,703.8569,-1657.6551,-3735.9448,-6468.7282,6736.8240,-32.6587,3894.7116,3589.1850,5159.2599,-4594.5956,927.6177,-4677.7796,4330.1955,-4848.9941,4980.8882,-2414.9059,110036.0594,95847.5504,104222.2102,108125.5721,100600.9805,103322.6809,108206.5183,106768.7274,-202372512.4388,-202388490.6366,-202400776.9593,-202399004.4451,107284.4684,-202388398.3804,-6658.7197,-28.4716,2550.7639,3084.0882,5016.8947,-3181.9319,0.0000,-5740.4970,6487.8652,-4511.6623,-4650.7666,6216.7284,0.0000,-1905.5786,-2939.2197,-1747.4433,-340.4642,-3870.3591,1767.4077,1845.9336,0.0000,-4766.3833,-6239.8629,-4351.3000,-6820.2378,2752.0086,-2904.4813,3622.1269,-4166.6513,6577.8306,-5899.0066,-609.8424,4676.0425,5992.4633,-3725.8056,6209.1687,-3528.4147,-4993.7149,3935.5069,-6150.2824,-3891.2974,-5709.9873,4423.6019,-4243.0659,-2005.7436,-4283.6238,839.7427,-4357.1653,2139.5092,-2537.5013,-536.7650,5228.6800,346.4808,-2451.7439,3415.9334,-1626.9140,3081.8916,4680.7966,-2868.9634,4047.9298,6408.1414,-4799.7731,-2127.0489,3496.4221,3472.6316,-3927.5168,-5640.0655,-3231.3037,4352.5185,5823.4263,2436.8913,-5792.5754,-1365.1538,6108.4819,-3090.3243,-6563.1606,5196.3132,1484.0869,1711.1217,-4493.5479,2395.7761,-1410.1350,-3738.1167,4637.8315,6425.2164,-5638.6444,-1826.6601,768.0979,1395.5152,6821.8647,-2885.0939,-2706.5867,-2008.1784,2513.0433,-4531.2015,-4819.0032,-2759.7340,3112.1951,-2257.8835,6437.0079,-359075.4521,-385093.1075,-365503.1590,-365170.9038,-369292.5448,-367892.6943,-374783.2063,-370885.6672,275566609.3696,275560189.5323,275542048.7667,275545920.8825,-370749.4900,275554339.5484,799.7489,4599.9267,-1038.4152,-1116.1074,4592.5996,5263.2265,0.0000,2639.0046,-1493.7117,4797.4439,-4741.9789,-1297.7827,0.0000,2.6374,-2020.4376,-5161.3531,634.9211,-5424.8095,1162.9339,-5368.1174,0.0000,3435.5053,2901.9309,2077.1789,1010.9492,4051.4507,-6051.0824,2622.3364,-4579.0383,1155.5241,3506.7748,-2320.4918,-4924.6130,-891.7682,3031.0365,-2958.9520,5395.1801,4636.7868,5343.5162,2159.0880,5346.7138,-3634.7982,-4804.3943,-5463.5691,-5345.1327,3948.2357,-5430.0364,3914.2109,-6278.3154,-1329.3381,-2804.1254,-4198.3036,-2791.4735,-3572.5185,-4370.7614,3210.2422,109.8508,-5092.6932,-2183.3185,5397.5397,-1896.8897,4882.8650,-4135.7768,-5306.1020,5397.7030,-5537.0580,-3799.9540,-5534.0778,-4795.4601,-3642.4698,5513.6561,-3471.0221,-5532.2649,-1454.1714,5982.0064,-1593.4562,2640.2040,-5308.7790,2748.8300,4707.2891,1502.8205,2970.2388,-3410.8430,5106.1549,2501.2917,3637.1089,5523.2223,2154.5154,841.3071,913.1740,-4927.1460,5238.7521,-4185.1230,4535.4066,4854.0585,1724.7662,-4662.7786,3603.0113,4220.4054,737.1424,8444.3615,6789.7420,6633.7539,12544.7128,12349.8282,1800.4294,279.1279,9253.2120,-72713240.8118,-72741027.0587,-72734427.1096,-72716678.5487,7543.5143,-72717044.6149,
600.000,483.7110,-4636.5462,-5127.7618,6710.9034,1849.0798,899.5202,0.0000,-3581.2220,-1434.5074,-3910.1471,615.4647,-1543.0813,0.0000,5844.3352,-6726.6797,3997.3685,-6743.8141,32.7538,6266.4799,-2424.8162,0.0000,2826.9374,-2064.7481,-5764.0608,-1714.9939,4632.8385,1269.6800,5535.8096,809.5013,-1311.1593,1305.7758,5462.4319,700.2893,-1957.7086,4206.5584,702.7130,977.2950,-747.9676,3577.2917,-3728.5371,-3045.5196,-598.8754,4110.8253,-2196.6324,-5112.1505,1755.7862,-5284.4146,-5193.6417,110.2525,-6126.6461,-6578.7434,3695.1861,-5169.7282,-6271.7331,5600.7785,5605.2959,-6111.5901,2308.9992,-6730.5218,980.5637,-136.3341,-988.3890,5084.3957,3817.1808,-772.2761,-3300.0256,-2181.2212,917.4724,-379.5083,1584.4626,-2115.3964,-942.5888,-4584.8679,-1258.9127,-3512.5911,-2536.0242,4244.3621,4114.6537,6796.2965,-4204.2280,-5790.7272,-5387.1509,2796.9654,1918.8451,2235.5245,-3196.2677,-4565.8177,-6535.7579,6535.0927,1188.0819,3318.3101,1712.8158,3807.3342,-3732.0709,-1136.7977,-5812.5260,2814.1263,-3083.4402,4916.6774,-1095.5202,117481.4713,103975.2413,112150.1367,115985.8232,108404.7783,111093.4259,116036.0840,114818.0672,-208339769.9049,-208355563.5461,-208367374.2672,-208365805.3581,115116.5093,-208355565.2918,-6823.5975,2071.8755,3751.2499,1697.3701,5100.5762,-4006.1527,0.0000,-4287.1049,6772.6232,-4363.2473,-5903.3769,6692.8171,0.0000,-3249.8247,-1584.2609,-3707.8893,872.1810,-4972.4250,417.0925,3413.3111,0.0000,-6027.4990,-6488.6685,-3541.7446,-6651.3168,828.2652,-4730.0708,1797.8649,-4220.8794,6754.3546,-4401.3358,-1825.1386,5624.7254,6600.7944,-5234.5112,5372.3829,-4955.2650,-5542.5269,3418.9933,-5741.2203,-3069.2296,-4874.7236,4190.5601,-4390.6972,-371.4587,-4420.0873,2158.2222,-3857.2969,2396.6970,-1142.5977,1100.4977,4875.6781,1648.4493,-1365.0375,2030.3491,-3372.4383,2535.1586,5069.3113,-1509.4757,4073.7355,6152.8948,-4135.0564,-3792.5159,1624.9470,4828.8811,-3075.7032,-4653.7958,-4537.0222,4283.5407,5034.1422,4168.6241,-5216.3622,670.5970,6706.6307,-3534.1845,-5568.7132,3636.2455,-678.5487,540.4909,-3409.6966,3821.6847,162.5875,-4161.8048,3674.2592,5442.0823,-5761.0524,159.2946,2059.1005,-186.0483,6244.3541,-4686.6489,-3781.2963,-990.2562,4373.6403,-3890.5940,-3777.7338,-4289.2384,3754.0534,-3941.6686,6360.9496,-356794.5917,-382912.3789,-363094.7882,-362878.3060,-366968.9368,-365565.3844,-372368.5379,-369002.0764,271083449.9979,271077257.2073,271058671.3328,271062299.0714,-368411.0670,271071142.6757,-1017.0413,4670.2945,-2477.7411,425.2345,4112.2167,5434.7459,0.0000,4067.0985,626.9697,3648.6567,-3560.7905,513.9470,0.0000,1534.3907,-533.5970,-4247.5190,-1178.0326,-4788.2610,2853.3546,-5491.2183,0.0000,1845.2469,1224.3183,291.6085,-805.8132,5051.6869,-4940.3283,3749.8082,-5304.5809,-971.1188,5223.5551,-3818.5732,-3860.5543,655.1396,1699.3270,-4310.4360,4711.3760,4095.5005,4686.4552,682.8053,5103.1665,-4779.6477,-3655.3971,-4874.7493,-4611.2669,4980.2562,-3977.2130,2436.6488,-6521.5428,-2997.7961,-1421.5034,-3272.0561,-4184.3915,-2007.7729,-3554.9169,1919.4125,-2109.1182,-4120.1592,-714.1785,5423.8796,-3192.1139,5458.5451,-2727.9308,-5534.2938,4792.8706,-5241.9092,-4469.0548,-5145.2385,-5430.9668,-4406.0377,5082.6724,-4299.0463,-5139.1581,85.9472,4830.2362,-3220.2830,4072.4913,-5526.1299,1045.3250,4326.6682,-22.8276,4316.8565,-4625.8997,5512.3839,3660.7500,2095.6790,5189.6907,385.5905,2296.9264,2634.1224,-3846.0059,5514.6824,-5718.5964,3867.0425,5340.0521,212.9788,-4667.9411,4749.2341,2834.3529,2473.5386,8259.8778,6629.8831,6581.3099,12259.1938,12329.8670,1855.7610,-14.4608,9072.4167,-72707008.9757,-72734771.7450,-72728611.9582,-72711054.3826,7397.9439,-72711060.6599,
