TIME_UNITS,STARLINK-5095 - X-Coordinate,STARLINK-31333 - X-Coordinate,STARLINK-5113 - X-Coordinate,STARLINK-31681 - X-Coordinate,STARLINK-30236 - X-Coordinate,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-6104 - X-Coordinate,STARLINK-31416 - X-Coordinate,STARLINK-5500 - X-Coordinate,STARLINK-3552 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5095 - Y-Coordinate,STARLINK-31333 - Y-Coordinate,STARLINK-5113 - Y-Coordinate,STARLINK-31681 - Y-Coordinate,STARLINK-30236 - Y-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-6104 - Y-Coordinate,STARLINK-31416 - Y-Coordinate,STARLINK-5500 - Y-Coordinate,STARLINK-3552 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5095 - Z-Coordinate,STARLINK-31333 - Z-Coordinate,STARLINK-5113 - Z-Coordinate,STARLINK-31681 - Z-Coordinate,STARLINK-30236 - Z-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-6104 - Z-Coordinate,STARLINK-31416 - Z-Coordinate,STARLINK-5500 - Z-Coordinate,STARLINK-3552 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
32400.000,-4644.6454,-5668.7552,3855.5195,-2560.2502,4385.0848,4489.8671,2938.5049,-3486.5186,3163.2765,4128.3723,312989.5320,287838.5737,297767.2721,301246.1116,301590.8499,300874.9300,304794.1328,303357.8560,171129953.5459,171073159.6193,171095095.4599,171100923.9251,303473.0296,171110861.4933,-5071.8369,-1385.9219,4773.3689,4317.8976,3977.8298,-2225.9759,4195.5681,4931.3305,4126.4447,-5177.7302,140044.0117,134214.6203,141346.9350,147982.4529,139700.4822,141504.3238,139316.7382,140778.0854,-158440375.3867,-158470441.8154,-158449663.0590,-158438517.6708,141525.2807,-158441539.8294,854.4471,-3570.6576,3172.4484,-4632.8319,-3602.1753,-4455.5882,-4674.7329,-3149.4946,-4619.7009,1961.2706,159620.1405,155672.5838,154640.2572,163921.5298,155510.9224,147468.6711,158391.2403,158549.1371,88612773.3392,88604807.0074,88588762.5956,88614207.4262,156907.7673,88605595.7232,
36000.000,5636.8948,3338.8502,-4117.6393,-1182.0144,-5084.4342,-3954.4348,-6001.8479,-1026.0817,-4576.0955,-865.9580,269559.4265,245433.2802,252907.2505,256173.9320,253470.8710,255127.4674,260834.4820,258066.3813,206306869.2562,206259419.9635,206279559.4716,206277083.5761,258435.3625,206288820.1677,2962.6330,-2378.1670,-905.6273,-6225.6578,-38.8107,5411.0508,-2115.9144,-4883.3589,-5230.2484,4554.8279,215071.2323,202535.6417,213841.2185,218499.4910,210884.1789,212941.1220,208214.5751,213331.1287,-108683451.3142,-108722631.9004,-108695789.0234,-108688467.6491,212315.6904,-108684863.2127,2730.9628,5464.7896,-5482.7567,2531.5014,4695.0755,-143.3338,2735.4251,4621.3274,9.6349,-5127.7636,160798.9039,156269.1569,155451.7627,164384.1123,158761.3704,148857.9121,155338.9987,156225.4054,88580766.8326,88568086.1155,88552693.8318,88576634.7346,157652.1764,88571300.1797,
39600.000,-5076.2601,-733.0444,4193.0655,3752.2868,5048.3496,636.3238,6877.8824,5141.2198,3674.6123,-3399.0129,207978.3023,187260.6977,192202.0011,195159.7298,191096.1598,193070.5071,200080.5434,198032.9419,227388760.0517,227352720.6232,227369286.4739,227363386.2732,197286.5196,227371673.3603,695.9626,5883.7485,-3391.4137,5516.5144,-3740.3290,-4835.8519,-50.3091,3668.5832,3719.8691,-3302.7043,277011.3086,258325.1247,272694.5884,275497.2117,268253.6924,270441.7663,265748.9389,268667.5727,-51519978.7424,-51565184.8830,-51531529.0079,-51530267.1398,269613.3529,-51521104.7147,-4674.0445,-3415.0089,4312.2577,1437.0875,-2924.5560,4587.0279,852.4266,-2548.8903,4574.0368,5015.8482,161840.2425,156869.7339,156836.6035,164314.8797,161724.9417,150903.4351,153030.8078,159711.1765,88548137.9690,88531372.0615,88517415.2895,88537840.6058,158380.2152,88536995.3601,
43200.000,3706.7158,-1230.2816,-3685.6546,-4886.2470,-3744.4009,4128.2866,-5156.1847,-6518.0390,-2352.1002,6347.7570,132246.3314,116869.0896,119560.6032,122148.3123,117225.1565,118943.6764,126477.5373,122618.9859,232940268.4646,232916624.8921,232927123.1991,232922496.8167,123902.0560,232923810.3158,-4482.4239,-6631.1422,5831.0762,-1956.5961,5791.1912,2195.1525,2441.7435,-1270.4076,373.3149,2102.0322,321478.2841,298079.9913,314179.4782,315380.7613,308307.0713,310413.2753,306734.3911,310613.8638,9144968.7757,9097226.9663,9137804.1146,9134795.0139,309860.1012,9144551.8620,3760.5731,-1137.4199,-447.1277,-4354.1836,-659.1511,-4807.0684,-3940.8007,-1508.2514,-6533.8131,-1746.3627,162773.9390,157481.6711,158618.6781,163636.1801,164102.9933,153677.6438,151628.4440,158076.0290,88514778.2309,88494676.4080,88483107.6545,88498873.3010,159091.8039,88502681.2853,
46800.000,-1912.8913,2888.5322,1614.1159,4825.2265,888.5741,-6666.4759,1859.1906,4741.8096,2058.2743,-6361.3945,47355.6903,38552.9675,39654.2117,41938.4228,36132.1295,37948.0828,44796.6234,44430.2911,222586782.9091,222575417.3153,222576893.4471,222574771.8979,42913.3383,222570453.9143,6638.9788,3863.5919,-5593.9773,-2674.5386,-5705.6000,417.8444,-4818.9855,-2138.2499,-4694.6119,-454.1696,345321.1813,319285.9675,335731.6135,335477.3538,328741.7941,330580.0640,328066.0312,330211.3149,69168403.1294,69121634.6064,69168131.4615,69165875.0716,330575.7656,69168897.2585,-577.3667,4839.0101,-3730.9011,4011.6390,3817.9830,557.0505,4611.6768,4382.4617,4685.0458,-2662.6624,163618.0017,158116.5479,160511.0210,162212.1125,165942.7005,157296.0658,150989.3056,160650.8004,88480625.8342,88458010.3809,88449969.2180,88461910.1657,159786.8642,88468357.9763,
50400.000,-489.0958,-4575.8574,1970.9166,-3531.1676,2905.4100,4578.1813,1409.6567,-1364.5390,-2355.8639,3801.8223,-41062.2189,-42917.3025,-42431.6551,-40001.5059,-47255.5767,-43597.6670,-39638.1318,-42322.9194,197039690.3678,197039487.9357,197029062.6826,197024752.1733,-40584.5512,197022956.7398,-6243.0002,617.1639,3636.6943,5801.3021,4237.8732,-2520.2571,6315.7727,5418.2865,6540.2833,-2128.0697,346814.8913,320584.1754,336107.8160,333659.7957,328420.4676,330413.7374,328204.9667,330342.0921,124452328.1077,124409716.7003,124459618.0859,124459948.1817,330510.1837,124453661.1761,-2977.3847,-5050.2732,5526.4257,-699.1969,-4651.7568,4186.6392,-2490.5005,-3896.2959,-145.6591,5350.9237,164384.2483,158794.5071,162192.6868,159962.7120,167283.6573,161658.8201,151023.4191,159979.0912,88445669.7314,88421385.0721,88418193.1356,88430722.6104,160465.3197,88434025.4542,
54000.000,3368.0858,5291.5533,-5530.1375,663.7061,-6001.6312,486.7437,-3647.5069,-1816.0755,1496.3493,-532.3061,-127128.0567,-122602.2557,-121554.0692,-119520.0650,-127800.7387,-119149.1598,-121320.9661,-119733.8590,158047495.2813,158056549.8026,158032267.6516,158024620.7760,-121352.9627,158029928.9843,3808.4427,-4031.7069,-1527.4870,-6021.7510,-2251.2380,4354.6545,-5777.4118,-6549.4561,-5075.2683,5070.1539,325765.1773,301891.5725,315422.7756,307842.3082,307463.3717,311048.8558,307119.5109,310377.3703,171223485.3662,171187625.3861,171236723.6209,171231297.7367,309717.8296,171225330.0760,4702.2454,1576.3187,-3861.5891,-3154.6005,2617.3811,-5076.6205,-1167.1382,388.8868,-4510.3233,-4669.2778,165080.8782,159556.2387,163394.7434,159730.8612,168140.6466,162609.7249,151688.1341,161420.4155,88409950.3279,88384811.6313,88387901.8740,88403526.3682,161127.0961,88399683.7399,
57600.000,-5891.1473,-3608.1824,6904.8650,3181.5713,6852.6111,-4511.9271,4751.3210,3940.8555,1379.2130,-1855.5234,-205119.8587,-195707.4440,-192834.3263,-192885.0558,-200512.0820,-190246.9706,-194948.9726,-195723.0093,108276164.4544,108292038.6519,108253960.4849,108250716.9072,-194337.7922,108257555.6405,-735.8948,4959.3248,-148.1163,3855.4862,94.8397,-4795.8762,2938.8702,4382.1055,1945.0448,-6577.7208,283512.9823,264550.2570,275084.9038,264591.9635,267262.8152,271967.6077,266239.7114,268371.3841,206290853.5250,206263587.1389,206306296.8112,206291353.2666,269550.6675,206292713.1587,-3584.9681,3019.2363,-267.4281,4639.4201,1005.0530,1247.8483,4093.1577,3398.9866,6520.4309,998.5832,165713.8044,160507.8199,163972.3242,162882.1038,168503.6644,159458.0703,152978.1550,161871.2534,88373556.8669,88348301.4547,88359007.6370,88373941.4597,161772.1206,88365332.8546,
61200.000,6670.4345,-517.9301,-5176.7212,-6214.8080,-5111.1875,5096.6359,-5111.8686,-5038.2261,-5034.6108,3092.3438,-269865.1412,-257301.6670,-251924.1820,-253598.9311,-260859.9567,-251132.8315,-255795.1402,-254045.8851,51126882.2400,51146878.4567,51098042.9130,51105069.8243,-254985.0505,51107294.5034,-1862.2200,-4111.5654,1810.0365,-892.2092,2379.9457,2252.8214,1147.7089,87.4757,444.3886,5231.8410,222835.2918,212031.4007,217666.9132,206385.3472,210417.9793,215380.5680,208350.0511,214030.8577,227263337.3456,227245694.6195,227276197.7988,227257065.5566,212569.9562,227264675.9427,270.3080,-5445.0469,4197.0032,-2687.0931,-4030.2956,3714.5757,-4543.3790,-4584.1985,-4778.1759,3276.4343,166287.4047,162081.3920,163943.4334,165745.6449,168334.4218,157050.2978,154924.0124,162087.3379,88336621.6512,88311866.3795,88331020.9104,88340914.3666,162400.3227,88330972.8192,
64800.000,-4942.4143,4879.4471,1469.1602,6453.7597,1845.1935,-3209.3364,4665.7217,4822.6166,6853.4139,-3952.9959,-317093.0498,-299059.2713,-295222.3563,-297942.7099,-305037.4481,-296409.7378,-300055.7804,-299951.7337,-9496334.0404,-9474928.5850,-9528507.9544,-9511572.0736,-299524.2358,-9516580.0703,3661.2368,2770.1876,-3920.8009,-1823.4264,-4862.4628,2647.5981,-4618.5805,-4257.3580,-1125.7521,-1388.8968,147748.6757,146396.0548,146741.6390,135712.5269,140605.3980,144971.5103,137421.8555,140738.2428,232712802.6598,232705027.8357,232719225.5840,232704050.4924,142382.7763,232713185.4801,3188.7023,3900.5764,-5505.0987,-1286.8446,4566.2677,-5259.7138,2211.6343,2219.8664,237.9339,-5499.0050,166804.9734,164046.7436,163484.1014,168023.2045,167555.2775,155547.8773,157598.1307,163685.0808,88299311.4761,88275518.8904,88303006.0814,88305186.2644,163011.6334,88296603.6549,
