sl_100_5400_20260228 Coordinates.csv
2026/02/28 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:04 2024,
Start: 2026/02/28 07:47:00.00, Stop: 2026/02/28 09:17:00.00,
TIME_UNITS,STARLINK-6108 - X-Coordinate,STARLINK-3937 - X-Coordinate,STARLINK-1692 - X-Coordinate,STARLINK-30041 - X-Coordinate,STARLINK-1131 - X-Coordinate,STARLINK-30962 - X-Coordinate,STARLINK-5704 - X-Coordinate,STARLINK-5021 - X-Coordinate,STARLINK-1975 - X-Coordinate,STARLINK-2337 - X-Coordinate,STARLINK-6360 - X-Coordinate,STARLINK-31076 - X-Coordinate,STARLINK-31618 - X-Coordinate,STARLINK-5829 - X-Coordinate,STARLINK-30792 - X-Coordinate,STARLINK-11148 [DTC] - X-Coordinate,STARLINK-5584 - X-Coordinate,STARLINK-1240 - X-Coordinate,STARLINK-31038 - X-Coordinate,STARLINK-5045 - X-Coordinate,STARLINK-30761 - X-Coordinate,STARLINK-2400 - X-Coordinate,STARLINK-4781 - X-Coordinate,STARLINK-3148 - X-Coordinate,STARLINK-31925 - X-Coordinate,STARLINK-6185 - X-Coordinate,STARLINK-30929 - X-Coordinate,STARLINK-31203 - X-Coordinate,STARLINK-2557 - X-Coordinate,STARLINK-5970 - X-Coordinate,STARLINK-31957 - X-Coordinate,STARLINK-2700 - X-Coordinate,STARLINK-5008 - X-Coordinate,STARLINK-5963 - X-Coordinate,STARLINK-1053 - X-Coordinate,STARLINK-3196 - X-Coordinate,STARLINK-5267 - X-Coordinate,STARLINK-31708 - X-Coordinate,STARLINK-30438 - X-Coordinate,STARLINK-3962 - X-Coordinate,STARLINK-30471 - X-Coordinate,STARLINK-31645 - X-Coordinate,STARLINK-30236 - X-Coordinate,STARLINK-30462 - X-Coordinate,STARLINK-4633 - X-Coordinate,STARLINK-32164 - X-Coordinate,STARLINK-6066 - X-Coordinate,STARLINK-2052 - X-Coordinate,STARLINK-1917 - X-Coordinate,STARLINK-2141 - X-Coordinate,STARLINK-31508 - X-Coordinate,STARLINK-2122 - X-Coordinate,STARLINK-1657 - X-Coordinate,STARLINK-1734 - X-Coordinate,STARLINK-2580 - X-Coordinate,STARLINK-30489 - X-Coordinate,STARLINK-3080 - X-Coordinate,STARLINK-5618 - X-Coordinate,STARLINK-3147 - X-Coordinate,STARLINK-30981 - X-Coordinate,STARLINK-5044 - X-Coordinate,STARLINK-6161 - X-Coordinate,STARLINK-5559 - X-Coordinate,STARLINK-4534 - X-Coordinate,STARLINK-6362 - X-Coordinate,STARLINK-30756 - X-Coordinate,STARLINK-31710 - X-Coordinate,STARLINK-4492 - X-Coordinate,STARLINK-3587 - X-Coordinate,STARLINK-31709 - X-Coordinate,STARLINK-31191 - X-Coordinate,STARLINK-3306 - X-Coordinate,STARLINK-3346 - X-Coordinate,STARLINK-5178 - X-Coordinate,STARLINK-31164 - X-Coordinate,STARLINK-32017 - X-Coordinate,STARLINK-11076 [DTC] - X-Coordinate,STARLINK-31982 - X-Coordinate,STARLINK-1303 - X-Coordinate,STARLINK-2686 - X-Coordinate,STARLINK-1351 - X-Coordinate,STARLINK-31291 - X-Coordinate,STARLINK-31449 - X-Coordinate,STARLINK-4125 - X-Coordinate,STARLINK-2164 - X-Coordinate,STARLINK-31143 - X-Coordinate,STARLINK-11210 [DTC] - X-Coordinate,STARLINK-31196 - X-Coordinate,STARLINK-2598 - X-Coordinate,STARLINK-5246 - X-Coordinate,STARLINK-6224 - X-Coordinate,STARLINK-30449 - X-Coordinate,STARLINK-2725 - X-Coordinate,STARLINK-3593 - X-Coordinate,STARLINK-5117 - X-Coordinate,STARLINK-3640 - X-Coordinate,STARLINK-6253 - X-Coordinate,STARLINK-5599 - X-Coordinate,STARLINK-4551 - X-Coordinate,STARLINK-31126 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6108 - Y-Coordinate,STARLINK-3937 - Y-Coordinate,STARLINK-1692 - Y-Coordinate,STARLINK-30041 - Y-Coordinate,STARLINK-1131 - Y-Coordinate,STARLINK-30962 - Y-Coordinate,STARLINK-5704 - Y-Coordinate,STARLINK-5021 - Y-Coordinate,STARLINK-1975 - Y-Coordinate,STARLINK-2337 - Y-Coordinate,STARLINK-6360 - Y-Coordinate,STARLINK-31076 - Y-Coordinate,STARLINK-31618 - Y-Coordinate,STARLINK-5829 - Y-Coordinate,STARLINK-30792 - Y-Coordinate,STARLINK-11148 [DTC] - Y-Coordinate,STARLINK-5584 - Y-Coordinate,STARLINK-1240 - Y-Coordinate,STARLINK-31038 - Y-Coordinate,STARLINK-5045 - Y-Coordinate,STARLINK-30761 - Y-Coordinate,STARLINK-2400 - Y-Coordinate,STARLINK-4781 - Y-Coordinate,STARLINK-3148 - Y-Coordinate,STARLINK-31925 - Y-Coordinate,STARLINK-6185 - Y-Coordinate,STARLINK-30929 - Y-Coordinate,STARLINK-31203 - Y-Coordinate,STARLINK-2557 - Y-Coordinate,STARLINK-5970 - Y-Coordinate,STARLINK-31957 - Y-Coordinate,STARLINK-2700 - Y-Coordinate,STARLINK-5008 - Y-Coordinate,STARLINK-5963 - Y-Coordinate,STARLINK-1053 - Y-Coordinate,STARLINK-3196 - Y-Coordinate,STARLINK-5267 - Y-Coordinate,STARLINK-31708 - Y-Coordinate,STARLINK-30438 - Y-Coordinate,STARLINK-3962 - Y-Coordinate,STARLINK-30471 - Y-Coordinate,STARLINK-31645 - Y-Coordinate,STARLINK-30236 - Y-Coordinate,STARLINK-30462 - Y-Coordinate,STARLINK-4633 - Y-Coordinate,STARLINK-32164 - Y-Coordinate,STARLINK-6066 - Y-Coordinate,STARLINK-2052 - Y-Coordinate,STARLINK-1917 - Y-Coordinate,STARLINK-2141 - Y-Coordinate,STARLINK-31508 - Y-Coordinate,STARLINK-2122 - Y-Coordinate,STARLINK-1657 - Y-Coordinate,STARLINK-1734 - Y-Coordinate,STARLINK-2580 - Y-Coordinate,STARLINK-30489 - Y-Coordinate,STARLINK-3080 - Y-Coordinate,STARLINK-5618 - Y-Coordinate,STARLINK-3147 - Y-Coordinate,STARLINK-30981 - Y-Coordinate,STARLINK-5044 - Y-Coordinate,STARLINK-6161 - Y-Coordinate,STARLINK-5559 - Y-Coordinate,STARLINK-4534 - Y-Coordinate,STARLINK-6362 - Y-Coordinate,STARLINK-30756 - Y-Coordinate,STARLINK-31710 - Y-Coordinate,STARLINK-4492 - Y-Coordinate,STARLINK-3587 - Y-Coordinate,STARLINK-31709 - Y-Coordinate,STARLINK-31191 - Y-Coordinate,STARLINK-3306 - Y-Coordinate,STARLINK-3346 - Y-Coordinate,STARLINK-5178 - Y-Coordinate,STARLINK-31164 - Y-Coordinate,STARLINK-32017 - Y-Coordinate,STARLINK-11076 [DTC] - Y-Coordinate,STARLINK-31982 - Y-Coordinate,STARLINK-1303 - Y-Coordinate,STARLINK-2686 - Y-Coordinate,STARLINK-1351 - Y-Coordinate,STARLINK-31291 - Y-Coordinate,STARLINK-31449 - Y-Coordinate,STARLINK-4125 - Y-Coordinate,STARLINK-2164 - Y-Coordinate,STARLINK-31143 - Y-Coordinate,STARLINK-11210 [DTC] - Y-Coordinate,STARLINK-31196 - Y-Coordinate,STARLINK-2598 - Y-Coordinate,STARLINK-5246 - Y-Coordinate,STARLINK-6224 - Y-Coordinate,STARLINK-30449 - Y-Coordinate,STARLINK-2725 - Y-Coordinate,STARLINK-3593 - Y-Coordinate,STARLINK-5117 - Y-Coordinate,STARLINK-3640 - Y-Coordinate,STARLINK-6253 - Y-Coordinate,STARLINK-5599 - Y-Coordinate,STARLINK-4551 - Y-Coordinate,STARLINK-31126 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6108 - Z-Coordinate,STARLINK-3937 - Z-Coordinate,STARLINK-1692 - Z-Coordinate,STARLINK-30041 - Z-Coordinate,STARLINK-1131 - Z-Coordinate,STARLINK-30962 - Z-Coordinate,STARLINK-5704 - Z-Coordinate,STARLINK-5021 - Z-Coordinate,STARLINK-1975 - Z-Coordinate,STARLINK-2337 - Z-Coordinate,STARLINK-6360 - Z-Coordinate,STARLINK-31076 - Z-Coordinate,STARLINK-31618 - Z-Coordinate,STARLINK-5829 - Z-Coordinate,STARLINK-30792 - Z-Coordinate,STARLINK-11148 [DTC] - Z-Coordinate,STARLINK-5584 - Z-Coordinate,STARLINK-1240 - Z-Coordinate,STARLINK-31038 - Z-Coordinate,STARLINK-5045 - Z-Coordinate,STARLINK-30761 - Z-Coordinate,STARLINK-2400 - Z-Coordinate,STARLINK-4781 - Z-Coordinate,STARLINK-3148 - Z-Coordinate,STARLINK-31925 - Z-Coordinate,STARLINK-6185 - Z-Coordinate,STARLINK-30929 - Z-Coordinate,STARLINK-31203 - Z-Coordinate,STARLINK-2557 - Z-Coordinate,STARLINK-5970 - Z-Coordinate,STARLINK-31957 - Z-Coordinate,STARLINK-2700 - Z-Coordinate,STARLINK-5008 - Z-Coordinate,STARLINK-5963 - Z-Coordinate,STARLINK-1053 - Z-Coordinate,STARLINK-3196 - Z-Coordinate,STARLINK-5267 - Z-Coordinate,STARLINK-31708 - Z-Coordinate,STARLINK-30438 - Z-Coordinate,STARLINK-3962 - Z-Coordinate,STARLINK-30471 - Z-Coordinate,STARLINK-31645 - Z-Coordinate,STARLINK-30236 - Z-Coordinate,STARLINK-30462 - Z-Coordinate,STARLINK-4633 - Z-Coordinate,STARLINK-32164 - Z-Coordinate,STARLINK-6066 - Z-Coordinate,STARLINK-2052 - Z-Coordinate,STARLINK-1917 - Z-Coordinate,STARLINK-2141 - Z-Coordinate,STARLINK-31508 - Z-Coordinate,STARLINK-2122 - Z-Coordinate,STARLINK-1657 - Z-Coordinate,STARLINK-1734 - Z-Coordinate,STARLINK-2580 - Z-Coordinate,STARLINK-30489 - Z-Coordinate,STARLINK-3080 - Z-Coordinate,STARLINK-5618 - Z-Coordinate,STARLINK-3147 - Z-Coordinate,STARLINK-30981 - Z-Coordinate,STARLINK-5044 - Z-Coordinate,STARLINK-6161 - Z-Coordinate,STARLINK-5559 - Z-Coordinate,STARLINK-4534 - Z-Coordinate,STARLINK-6362 - Z-Coordinate,STARLINK-30756 - Z-Coordinate,STARLINK-31710 - Z-Coordinate,STARLINK-4492 - Z-Coordinate,STARLINK-3587 - Z-Coordinate,STARLINK-31709 - Z-Coordinate,STARLINK-31191 - Z-Coordinate,STARLINK-3306 - Z-Coordinate,STARLINK-3346 - Z-Coordinate,STARLINK-5178 - Z-Coordinate,STARLINK-31164 - Z-Coordinate,STARLINK-32017 - Z-Coordinate,STARLINK-11076 [DTC] - Z-Coordinate,STARLINK-31982 - Z-Coordinate,STARLINK-1303 - Z-Coordinate,STARLINK-2686 - Z-Coordinate,STARLINK-1351 - Z-Coordinate,STARLINK-31291 - Z-Coordinate,STARLINK-31449 - Z-Coordinate,STARLINK-4125 - Z-Coordinate,STARLINK-2164 - Z-Coordinate,STARLINK-31143 - Z-Coordinate,STARLINK-11210 [DTC] - Z-Coordinate,STARLINK-31196 - Z-Coordinate,STARLINK-2598 - Z-Coordinate,STARLINK-5246 - Z-Coordinate,STARLINK-6224 - Z-Coordinate,STARLINK-30449 - Z-Coordinate,STARLINK-2725 - Z-Coordinate,STARLINK-3593 - Z-Coordinate,STARLINK-5117 - Z-Coordinate,STARLINK-3640 - Z-Coordinate,STARLINK-6253 - Z-Coordinate,STARLINK-5599 - Z-Coordinate,STARLINK-4551 - Z-Coordinate,STARLINK-31126 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4668.6733,4177.3103,1131.9707,586.7595,-5842.0717,-6142.1044,-1076.7699,-567.8123,1098.2279,4035.0553,-6267.5328,-3350.6395,-3399.7387,-752.2657,4841.2483,5097.0814,-6344.4195,3015.1010,5511.8083,-2009.5189,-106.1346,1917.9049,-5845.7590,2108.3390,6789.1839,4592.3115,-5304.4078,-6758.8606,-4086.1341,-1300.4586,-4912.2050,-2776.2672,7.8298,-940.3134,-5059.6033,-1805.4060,-2295.7422,-2297.1107,1768.4052,-4390.7135,-4917.1426,6.2467,-3713.0634,4716.7145,-6212.8738,2793.2347,-3737.1128,6879.8575,-4159.7692,-4378.8216,519.1666,-2514.3836,-3816.6747,2787.3208,4813.6783,1407.2354,3787.8941,-6770.6487,-1697.9078,-6738.1200,3912.7587,-6123.0853,4295.1478,-4338.2686,-6879.5657,-2903.5071,2818.5294,-4340.6249,-2769.8334,-5802.1995,2467.7117,-311.4318,-3989.5993,3314.7488,-2968.3115,4963.0406,-3951.2270,-1455.8520,3816.8413,5077.7508,2597.2198,282.3943,1593.5082,6238.3011,6006.1019,6016.5849,-6643.7076,-4754.6535,3087.5005,-4548.0786,5455.3124,4800.1120,1373.6776,-5069.9750,-5211.0793,-3957.7602,6012.2732,-3931.7870,-6872.0283,-6161.9297,317072.0584,294647.3510,300086.4337,304097.3331,296369.7168,299221.4812,303553.8132,303609.6481,-191426238.8253,-191436853.2661,-191447481.8844,-191442698.9756,302909.7652,-191444135.5076,-2577.2507,705.4620,6777.8443,-5660.1268,3612.4672,-2665.2367,-6717.6731,-4529.7992,5592.0623,-3536.8201,-2845.8343,4174.7580,-3752.5901,-1551.7923,-2485.7781,-4247.6258,-2781.6759,-3272.7259,1457.1470,-5438.3839,-6931.9859,-4371.8027,3443.1163,6153.3373,-82.8877,2626.0589,-1614.8893,410.9857,-2642.8918,-4291.8481,-1089.3851,-5203.4004,-4058.7127,6333.1956,-3627.9194,-5719.0286,1089.1296,-3493.7213,-3627.1507,1055.4664,-4404.1681,-5572.8407,4083.1437,2181.9298,153.9603,-3111.1135,-5710.2417,-220.3457,-129.2027,-4977.3215,-6801.1113,3317.4511,1965.3665,5899.7581,4782.1255,-6002.0847,-740.2050,372.9683,-4136.0301,1092.4707,-2482.4154,-3244.2086,5276.0473,65.3291,391.5555,5922.4415,-3207.1527,-622.1459,3345.2597,1548.8616,6271.6953,4199.9215,1104.1622,-4023.6682,4558.5722,2673.1692,-2072.8608,-3888.3700,3000.3825,2074.1029,4511.6232,-6841.6728,-5711.7981,1889.6626,3101.5349,2034.5170,-701.0065,4441.8956,5836.7309,-3261.6378,-296.8863,-2944.8748,-4652.3550,-2142.9247,-3337.6189,2631.9701,-2175.6157,391.1572,-676.9095,2361.2345,-153346.7240,-177035.0847,-153989.0309,-153796.8141,-157436.8365,-156227.6872,-163514.1652,-160929.5009,282496696.1983,282508345.1356,282488305.9624,282490705.1693,-159349.5122,282496649.8739,-4436.4133,-5448.7910,-197.5142,3958.0124,-559.7891,1782.9126,1329.5603,-5198.9855,-3924.6553,-4208.7778,831.7144,4387.0697,-4579.4198,-6730.7387,-4303.3767,-1150.3491,627.0244,5277.7212,-3937.2985,-3750.6246,248.5321,-5013.0376,1025.7403,-2349.4784,578.2063,-4490.5271,-4035.8395,-1042.8979,4888.5068,5331.6575,-4607.0549,3599.1922,-5260.1602,-2702.7216,-3011.9853,3431.3288,6459.0336,-5393.7036,5379.7041,5215.1892,-2206.5084,-3975.6634,4182.7895,4577.6951,2990.5868,5396.1772,1225.1016,753.6517,-5484.9761,-1920.5451,117.6864,-5520.0580,-5421.8794,2326.8188,-1312.3977,3162.8017,5772.9261,1423.7126,-5282.6173,1215.1736,5123.2439,233.2996,-1605.2020,5375.3769,-794.3889,2122.7015,-5303.2123,5334.4072,-5373.6660,3234.4325,1293.3286,5486.2681,5520.7615,4511.9730,4300.9034,-3857.9520,-5013.4275,5426.0038,-4940.0500,-4185.8755,-4568.9580,-370.9074,-3413.5690,-2308.9844,-1472.7068,-2772.6519,831.9434,2152.0433,2001.1006,-4044.9570,-4278.3761,4027.3599,4924.0952,-4186.4566,-3078.4235,-5022.1170,-2686.0208,5712.6963,262.6854,1849.4663,152615.4743,149396.9451,147674.9733,153833.7826,153354.5017,142737.6500,141582.8059,148088.2317,-79512515.9250,-79535681.9679,-79542476.3330,-79530138.9684,148686.4660,-79522369.2079,
300.000,-5812.8128,4726.0092,2256.9597,-1375.7124,-5036.3413,-6807.3175,-2568.7665,-2389.5343,2679.1100,2091.0671,-6750.4897,-1340.1206,-4645.2589,1166.3860,3274.3200,3789.7159,-6098.9427,986.9428,5176.8151,-3019.4436,-1591.8562,-195.1221,-4694.5244,3046.2272,6555.5047,5745.5098,-4656.2324,-6555.6643,-5569.0643,-1894.7824,-5331.5953,-3550.1603,-2129.5420,-340.7514,-6187.0315,-2845.4781,-2016.9852,-4153.5863,-294.3235,-4406.9531,-5412.1200,-1512.5404,-1740.4663,5080.7317,-5145.7647,848.4382,-4686.4709,6304.5038,-4226.9282,-5421.5357,-1005.1566,-753.5751,-2312.2907,3581.7822,5672.4254,-178.1008,4809.7846,-6821.3507,-3684.0516,-6431.1109,3359.1524,-6478.3131,4030.0841,-4644.2966,-6633.4552,-1547.5213,794.4667,-5005.2463,-1423.0210,-4383.9788,3868.6001,1839.4144,-3153.8648,2457.7810,-900.4037,6194.6123,-5303.0023,-3484.3820,4134.1598,4618.8294,4356.5750,-1238.1111,-99.4337,5756.6718,5947.0076,6784.7662,-6190.3265,-3092.5043,3828.5846,-4521.2929,4594.1774,4081.4901,-680.4384,-4628.1756,-5080.4414,-2083.6185,5667.6663,-2163.9195,-6715.9690,-5666.7302,320294.4644,298278.3974,303500.9195,307436.5276,299653.4759,302472.4674,306875.6293,307004.8103,-197547569.6042,-197558158.8720,-197568169.0921,-197563316.5431,306225.1596,-197565380.4467,-919.5428,-1317.8314,6186.4515,-5017.4223,4531.2579,-1270.4768,-6436.9145,-3389.7420,5887.8895,-3996.6931,-1418.8158,4887.5637,-1972.6686,-327.7504,-3906.9187,-4781.1697,-1990.2336,-4036.5496,-576.2977,-3860.4210,-6517.6522,-4200.7731,4186.4017,4875.6115,-1589.4748,954.9044,222.4956,1918.1822,-1471.2319,-2380.6977,991.5902,-3527.7420,-4217.9907,6909.3306,-2777.6447,-4240.2497,3190.1174,-2482.7842,-4373.5020,3054.9512,-2709.6819,-6182.6239,4811.3775,59.8139,1503.2833,-4124.8315,-4377.2035,-1415.4947,2007.4274,-4266.3304,-6597.3677,4543.6721,3536.3507,4529.6663,3913.6547,-6673.5004,-2225.8907,1007.5492,-3800.2206,2574.7172,-4364.5986,-1743.6270,5674.0699,2102.6855,1877.6272,6724.6442,-4048.0033,1310.6650,4900.2814,2645.8908,5665.1772,3861.6559,3105.5193,-5573.2289,5014.2315,1635.5147,-596.4432,-3239.7822,918.3666,160.5435,4241.8176,-6479.7771,-5037.2974,387.4412,1671.5613,906.3353,588.4762,5086.0259,4499.0970,-1327.2294,-2224.7273,-4711.3829,-4171.4745,-232.6364,-1610.6907,3627.3728,-3781.7378,1514.1612,540.2166,3842.6687,-146556.7095,-170839.1023,-147547.6209,-147468.2360,-151073.8275,-149855.7636,-157065.1009,-154282.3920,278250900.1400,278262851.2423,278242593.5173,278245356.3895,-152975.3988,278250860.3547,-3671.7603,-4854.4114,-1978.9028,4579.1079,1252.6703,275.0300,-204.8669,-5538.6725,-2454.8623,-5115.1785,-713.8492,4712.8097,-4598.2209,-6842.1155,-4706.5640,-2853.5804,2680.5729,5511.7983,-4569.0484,-4865.2564,1757.7617,-5499.2598,2735.6311,-3846.0849,-979.1243,-3771.4698,-5030.6840,509.2162,3797.5385,6264.9656,-4138.8519,4760.4454,-4671.3630,-650.0650,-1350.5994,4651.4346,5825.6062,-4812.0045,5100.7116,4342.0053,-3437.3263,-2517.8145,4665.3848,4705.7780,4335.6642,5373.0935,2632.1411,2483.7789,-5050.8919,-138.3439,-1424.4191,-5156.2603,-5475.1267,3822.7768,496.2520,1860.9951,4489.7537,-702.4246,-4458.7676,-323.3788,4171.7495,1743.8214,627.3005,4662.8089,751.0344,646.5947,-5416.4329,4574.7018,-4658.4783,4503.4223,-249.9502,5434.7302,5293.7437,3233.9848,4703.9441,-2367.0702,-4069.1791,4904.7130,-5481.3357,-5123.9092,-3316.2579,-1877.8583,-4630.2706,-3813.6855,-3117.1750,-1074.7621,2573.9083,3392.9151,3560.0051,-5048.7884,-4700.9305,3016.3206,5467.9837,-5133.9465,-4402.0441,-5506.3001,-1287.6186,6422.2243,-1542.5091,339.7789,152546.6149,149302.6091,147686.4962,153619.5185,153404.2800,142852.6359,141349.2619,147599.4403,-79506544.0813,-79529387.8634,-79536656.7708,-79524265.0600,148606.7245,-79516551.7223,
600.000,-6414.5263,4851.9933,3175.7163,-3230.0891,-3715.3404,-6811.2508,-3813.5486,-4012.8059,3972.9167,-73.3109,-6581.5701,791.4997,-5456.7301,2906.5024,1415.6790,2056.0158,-5250.6388,-1121.1933,4379.9045,-3782.7544,-2940.4314,-2302.6488,-3052.0685,3725.0595,5650.8205,6364.7090,-3579.0205,-5691.2750,-6505.7034,-2379.9066,-5245.7803,-4024.4223,-4013.2543,284.9801,-6694.3063,-3654.2185,-1610.3621,-5597.0995,-2299.3952,-4029.3824,-5419.1806,-2851.1530,394.7913,4997.0646,-3580.3770,-1154.2278,-5205.3643,5105.8614,-3925.6156,-5919.7678,-2441.0316,1042.9937,-623.1765,4064.6628,5968.2576,-1729.1371,5383.4152,-6171.5866,-5299.0764,-5500.0197,2518.2189,-6214.0223,3341.5203,-4536.7765,-5743.5394,-47.5555,-1289.5502,-5213.9566,18.3230,-2520.3431,4884.5787,3815.8029,-2060.4351,1391.1780,1252.6232,6786.1979,-6099.7289,-5161.6642,4105.4603,3748.1674,5671.9931,-2652.7285,-1821.4966,4726.8120,5319.2400,6881.1160,-5073.7277,-1107.8126,4225.4448,-4097.6463,3327.3744,2994.9136,-2690.6539,-3777.0020,-4485.7353,-24.0111,4782.6733,-215.6996,-5891.6820,-4604.3777,323369.8478,301779.6905,306782.3458,310643.0185,302805.5158,305591.6361,310059.8824,310195.9770,-203574771.8074,-203585350.1983,-203594732.7604,-203589834.4453,309406.4814,-203592497.6480,797.4128,-3184.7114,4965.6863,-3925.5343,5005.5527,244.9573,-5531.4716,-1963.8858,5617.0014,-4101.6746,152.1538,5169.9244,-18.7514,1010.7456,-4989.5837,-4827.4624,-965.1700,-4457.7058,-2573.2897,-1907.0931,-5473.1078,-3675.1610,4531.5289,3112.0257,-2943.1382,-778.5614,2073.3177,3237.1621,-194.0567,-244.6874,2954.8090,-1501.1370,-3958.5006,6782.1403,-1665.4782,-2347.2333,4969.5333,-1268.1546,-4701.5584,4733.5349,-741.7351,-6172.2429,5117.2951,-2062.5300,2748.0725,-4767.3668,-2610.8825,-2498.3316,3931.9503,-3128.7887,-5722.7062,5362.1541,4799.8170,2705.0635,2649.8948,-6703.1974,-3441.8444,1547.9953,-3137.9226,3810.4129,-5809.3497,-59.5376,5460.6478,3910.3531,3188.9877,6873.3179,-4526.1440,3083.7283,5991.2578,3519.9008,4490.7702,3201.6171,4815.3569,-6563.4681,5030.7159,456.0158,902.6525,-2313.6779,-1254.9026,-1799.4052,3587.4177,-5470.7151,-3881.9964,-1189.3353,47.8908,-299.4698,1843.9772,5250.4138,2701.2130,759.4073,-3963.8407,-6015.0901,-3333.4460,1730.8229,304.5544,4321.6428,-5012.7356,2559.0861,1720.8561,4935.4205,-139699.6451,-164567.6833,-141040.5638,-141072.5836,-144643.6521,-143419.2963,-150545.6680,-147470.6494,273872485.8147,273884738.8603,273864289.9268,273867440.5202,-146532.2584,273872456.3054,-2515.1362,-3734.7878,-3543.2295,4710.6426,2928.4336,-1262.3606,-1717.3720,-5284.0897,-720.7726,-5448.4328,-2183.0331,4532.5919,-4102.9836,-6230.0928,-4608.2033,-4224.0935,4449.7235,5150.2705,-4711.8821,-5454.3563,3078.9973,-5396.3078,4143.3326,-4928.7291,-2426.1714,-2650.2140,-5471.0181,2004.7641,2294.6948,6539.8059,-3206.6122,5407.7375,-3517.7005,1471.7218,456.5017,5369.3035,4573.3242,-3691.8512,4226.0971,2998.2807,-4304.8430,-780.0832,4647.8498,4329.6965,5209.8489,4749.8871,3757.3695,3946.8669,-4066.5380,1658.8574,-2806.6345,-4237.5972,-4940.0027,4908.7430,2251.1837,359.7163,2729.6832,-2753.3122,-3156.0851,-1827.3391,2769.9020,3067.5285,2794.0227,3447.1055,2216.0679,-898.8509,-4919.8973,3320.7860,-3440.7161,5267.1423,-1765.6768,4799.1953,4493.9132,1604.6077,4604.8524,-611.3498,-2645.9189,3836.7877,-5436.3182,-5507.3420,-1707.8423,-3177.2619,-5332.8582,-4907.7724,-4426.2712,738.4020,4014.9420,4257.9435,4732.3760,-5507.4515,-4622.8058,1681.4631,5423.0721,-5529.4980,-5251.2626,-5398.5888,248.5881,6450.9652,-3181.0696,-1207.5693,152477.2237,149208.1281,147699.6672,153400.0000,153450.3256,142973.4296,141121.1033,147183.2393,-79500576.6100,-79523086.3845,-79530829.6955,-79518358.4253,148526.8792,-79510734.0838,
