sl_100_86400_20261017 Coordinates.csv
2026/10/17 07:47:00.0000 UTC

Generated: Tue Oct  8 16:24:00 2024,
Start: 2026/10/17 07:47:00.00, Stop: 2026/10/18 07:47:00.00,
TIME_UNITS,STARLINK-1228 - X-Coordinate,STARLINK-5951 - X-Coordinate,STARLINK-6139 - X-Coordinate,STARLINK-4727 - X-Coordinate,STARLINK-2630 - X-Coordinate,STARLINK-4728 - X-Coordinate,STARLINK-2546 - X-Coordinate,STARLINK-5434 - X-Coordinate,STARLINK-5258 - X-Coordinate,STARLINK-4211 - X-Coordinate,STARLINK-2436 - X-Coordinate,STARLINK-3992 - X-Coordinate,STARLINK-31366 - X-Coordinate,STARLINK-4660 - X-Coordinate,STARLINK-1366 - X-Coordinate,STARLINK-30244 - X-Coordinate,STARLINK-1909 - X-Coordinate,STARLINK-30381 - X-Coordinate,STARLINK-31885 - X-Coordinate,STARLINK-30848 - X-Coordinate,STARLINK-30303 - X-Coordinate,STARLINK-31289 - X-Coordinate,STARLINK-4041 - X-Coordinate,STARLINK-32126 - X-Coordinate,STARLINK-31131 - X-Coordinate,STARLINK-1216 - X-Coordinate,STARLINK-6330 - X-Coordinate,STARLINK-31795 - X-Coordinate,STARLINK-30441 - X-Coordinate,STARLINK-31088 - X-Coordinate,STARLINK-5120 - X-Coordinate,STARLINK-3930 - X-Coordinate,STARLINK-2618 - X-Coordinate,STARLINK-3078 - X-Coordinate,STARLINK-4478 - X-Coordinate,STARLINK-3628 - X-Coordinate,STARLINK-1395 - X-Coordinate,STARLINK-11129 [DTC] - X-Coordinate,STARLINK-1523 - X-Coordinate,STARLINK-32043 - X-Coordinate,STARLINK-5685 - X-Coordinate,STARLINK-31290 - X-Coordinate,STARLINK-31959 - X-Coordinate,STARLINK-3299 - X-Coordinate,STARLINK-32230 - X-Coordinate,STARLINK-4276 - X-Coordinate,STARLINK-30212 - X-Coordinate,STARLINK-32270 - X-Coordinate,STARLINK-4256 - X-Coordinate,STARLINK-5699 - X-Coordinate,STARLINK-30996 - X-Coordinate,STARLINK-3534 - X-Coordinate,STARLINK-5368 - X-Coordinate,STARLINK-30394 - X-Coordinate,STARLINK-5988 - X-Coordinate,STARLINK-31293 - X-Coordinate,STARLINK-30706 - X-Coordinate,STARLINK-32158 - X-Coordinate,STARLINK-30216 - X-Coordinate,STARLINK-3980 - X-Coordinate,STARLINK-4034 - X-Coordinate,STARLINK-31565 - X-Coordinate,STARLINK-30967 - X-Coordinate,STARLINK-3625 - X-Coordinate,STARLINK-30056 - X-Coordinate,STARLINK-11106 [DTC] - X-Coordinate,STARLINK-2265 - X-Coordinate,STARLINK-30594 - X-Coordinate,STARLINK-4597 - X-Coordinate,STARLINK-11244 [DTC] - X-Coordinate,STARLINK-3275 - X-Coordinate,STARLINK-4797 - X-Coordinate,STARLINK-1921 - X-Coordinate,STARLINK-5529 - X-Coordinate,STARLINK-5824 - X-Coordinate,STARLINK-30166 - X-Coordinate,STARLINK-4052 - X-Coordinate,STARLINK-4586 - X-Coordinate,STARLINK-5648 - X-Coordinate,STARLINK-1066 - X-Coordinate,STARLINK-3748 - X-Coordinate,STARLINK-4414 - X-Coordinate,STARLINK-6140 - X-Coordinate,STARLINK-31337 - X-Coordinate,STARLINK-3647 - X-Coordinate,STARLINK-1420 - X-Coordinate,STARLINK-3230 - X-Coordinate,STARLINK-4064 - X-Coordinate,STARLINK-32211 - X-Coordinate,STARLINK-5624 - X-Coordinate,STARLINK-3856 - X-Coordinate,STARLINK-6298 - X-Coordinate,STARLINK-2071 - X-Coordinate,STARLINK-2503 - X-Coordinate,STARLINK-2416 - X-Coordinate,STARLINK-31473 - X-Coordinate,STARLINK-31970 - X-Coordinate,STARLINK-4295 - X-Coordinate,STARLINK-3984 - X-Coordinate,STARLINK-32149 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1228 - Y-Coordinate,STARLINK-5951 - Y-Coordinate,STARLINK-6139 - Y-Coordinate,STARLINK-4727 - Y-Coordinate,STARLINK-2630 - Y-Coordinate,STARLINK-4728 - Y-Coordinate,STARLINK-2546 - Y-Coordinate,STARLINK-5434 - Y-Coordinate,STARLINK-5258 - Y-Coordinate,STARLINK-4211 - Y-Coordinate,STARLINK-2436 - Y-Coordinate,STARLINK-3992 - Y-Coordinate,STARLINK-31366 - Y-Coordinate,STARLINK-4660 - Y-Coordinate,STARLINK-1366 - Y-Coordinate,STARLINK-30244 - Y-Coordinate,STARLINK-1909 - Y-Coordinate,STARLINK-30381 - Y-Coordinate,STARLINK-31885 - Y-Coordinate,STARLINK-30848 - Y-Coordinate,STARLINK-30303 - Y-Coordinate,STARLINK-31289 - Y-Coordinate,STARLINK-4041 - Y-Coordinate,STARLINK-32126 - Y-Coordinate,STARLINK-31131 - Y-Coordinate,STARLINK-1216 - Y-Coordinate,STARLINK-6330 - Y-Coordinate,STARLINK-31795 - Y-Coordinate,STARLINK-30441 - Y-Coordinate,STARLINK-31088 - Y-Coordinate,STARLINK-5120 - Y-Coordinate,STARLINK-3930 - Y-Coordinate,STARLINK-2618 - Y-Coordinate,STARLINK-3078 - Y-Coordinate,STARLINK-4478 - Y-Coordinate,STARLINK-3628 - Y-Coordinate,STARLINK-1395 - Y-Coordinate,STARLINK-11129 [DTC] - Y-Coordinate,STARLINK-1523 - Y-Coordinate,STARLINK-32043 - Y-Coordinate,STARLINK-5685 - Y-Coordinate,STARLINK-31290 - Y-Coordinate,STARLINK-31959 - Y-Coordinate,STARLINK-3299 - Y-Coordinate,STARLINK-32230 - Y-Coordinate,STARLINK-4276 - Y-Coordinate,STARLINK-30212 - Y-Coordinate,STARLINK-32270 - Y-Coordinate,STARLINK-4256 - Y-Coordinate,STARLINK-5699 - Y-Coordinate,STARLINK-30996 - Y-Coordinate,STARLINK-3534 - Y-Coordinate,STARLINK-5368 - Y-Coordinate,STARLINK-30394 - Y-Coordinate,STARLINK-5988 - Y-Coordinate,STARLINK-31293 - Y-Coordinate,STARLINK-30706 - Y-Coordinate,STARLINK-32158 - Y-Coordinate,STARLINK-30216 - Y-Coordinate,STARLINK-3980 - Y-Coordinate,STARLINK-4034 - Y-Coordinate,STARLINK-31565 - Y-Coordinate,STARLINK-30967 - Y-Coordinate,STARLINK-3625 - Y-Coordinate,STARLINK-30056 - Y-Coordinate,STARLINK-11106 [DTC] - Y-Coordinate,STARLINK-2265 - Y-Coordinate,STARLINK-30594 - Y-Coordinate,STARLINK-4597 - Y-Coordinate,STARLINK-11244 [DTC] - Y-Coordinate,STARLINK-3275 - Y-Coordinate,STARLINK-4797 - Y-Coordinate,STARLINK-1921 - Y-Coordinate,STARLINK-5529 - Y-Coordinate,STARLINK-5824 - Y-Coordinate,STARLINK-30166 - Y-Coordinate,STARLINK-4052 - Y-Coordinate,STARLINK-4586 - Y-Coordinate,STARLINK-5648 - Y-Coordinate,STARLINK-1066 - Y-Coordinate,STARLINK-3748 - Y-Coordinate,STARLINK-4414 - Y-Coordinate,STARLINK-6140 - Y-Coordinate,STARLINK-31337 - Y-Coordinate,STARLINK-3647 - Y-Coordinate,STARLINK-1420 - Y-Coordinate,STARLINK-3230 - Y-Coordinate,STARLINK-4064 - Y-Coordinate,STARLINK-32211 - Y-Coordinate,STARLINK-5624 - Y-Coordinate,STARLINK-3856 - Y-Coordinate,STARLINK-6298 - Y-Coordinate,STARLINK-2071 - Y-Coordinate,STARLINK-2503 - Y-Coordinate,STARLINK-2416 - Y-Coordinate,STARLINK-31473 - Y-Coordinate,STARLINK-31970 - Y-Coordinate,STARLINK-4295 - Y-Coordinate,STARLINK-3984 - Y-Coordinate,STARLINK-32149 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1228 - Z-Coordinate,STARLINK-5951 - Z-Coordinate,STARLINK-6139 - Z-Coordinate,STARLINK-4727 - Z-Coordinate,STARLINK-2630 - Z-Coordinate,STARLINK-4728 - Z-Coordinate,STARLINK-2546 - Z-Coordinate,STARLINK-5434 - Z-Coordinate,STARLINK-5258 - Z-Coordinate,STARLINK-4211 - Z-Coordinate,STARLINK-2436 - Z-Coordinate,STARLINK-3992 - Z-Coordinate,STARLINK-31366 - Z-Coordinate,STARLINK-4660 - Z-Coordinate,STARLINK-1366 - Z-Coordinate,STARLINK-30244 - Z-Coordinate,STARLINK-1909 - Z-Coordinate,STARLINK-30381 - Z-Coordinate,STARLINK-31885 - Z-Coordinate,STARLINK-30848 - Z-Coordinate,STARLINK-30303 - Z-Coordinate,STARLINK-31289 - Z-Coordinate,STARLINK-4041 - Z-Coordinate,STARLINK-32126 - Z-Coordinate,STARLINK-31131 - Z-Coordinate,STARLINK-1216 - Z-Coordinate,STARLINK-6330 - Z-Coordinate,STARLINK-31795 - Z-Coordinate,STARLINK-30441 - Z-Coordinate,STARLINK-31088 - Z-Coordinate,STARLINK-5120 - Z-Coordinate,STARLINK-3930 - Z-Coordinate,STARLINK-2618 - Z-Coordinate,STARLINK-3078 - Z-Coordinate,STARLINK-4478 - Z-Coordinate,STARLINK-3628 - Z-Coordinate,STARLINK-1395 - Z-Coordinate,STARLINK-11129 [DTC] - Z-Coordinate,STARLINK-1523 - Z-Coordinate,STARLINK-32043 - Z-Coordinate,STARLINK-5685 - Z-Coordinate,STARLINK-31290 - Z-Coordinate,STARLINK-31959 - Z-Coordinate,STARLINK-3299 - Z-Coordinate,STARLINK-32230 - Z-Coordinate,STARLINK-4276 - Z-Coordinate,STARLINK-30212 - Z-Coordinate,STARLINK-32270 - Z-Coordinate,STARLINK-4256 - Z-Coordinate,STARLINK-5699 - Z-Coordinate,STARLINK-30996 - Z-Coordinate,STARLINK-3534 - Z-Coordinate,STARLINK-5368 - Z-Coordinate,STARLINK-30394 - Z-Coordinate,STARLINK-5988 - Z-Coordinate,STARLINK-31293 - Z-Coordinate,STARLINK-30706 - Z-Coordinate,STARLINK-32158 - Z-Coordinate,STARLINK-30216 - Z-Coordinate,STARLINK-3980 - Z-Coordinate,STARLINK-4034 - Z-Coordinate,STARLINK-31565 - Z-Coordinate,STARLINK-30967 - Z-Coordinate,STARLINK-3625 - Z-Coordinate,STARLINK-30056 - Z-Coordinate,STARLINK-11106 [DTC] - Z-Coordinate,STARLINK-2265 - Z-Coordinate,STARLINK-30594 - Z-Coordinate,STARLINK-4597 - Z-Coordinate,STARLINK-11244 [DTC] - Z-Coordinate,STARLINK-3275 - Z-Coordinate,STARLINK-4797 - Z-Coordinate,STARLINK-1921 - Z-Coordinate,STARLINK-5529 - Z-Coordinate,STARLINK-5824 - Z-Coordinate,STARLINK-30166 - Z-Coordinate,STARLINK-4052 - Z-Coordinate,STARLINK-4586 - Z-Coordinate,STARLINK-5648 - Z-Coordinate,STARLINK-1066 - Z-Coordinate,STARLINK-3748 - Z-Coordinate,STARLINK-4414 - Z-Coordinate,STARLINK-6140 - Z-Coordinate,STARLINK-31337 - Z-Coordinate,STARLINK-3647 - Z-Coordinate,STARLINK-1420 - Z-Coordinate,STARLINK-3230 - Z-Coordinate,STARLINK-4064 - Z-Coordinate,STARLINK-32211 - Z-Coordinate,STARLINK-5624 - Z-Coordinate,STARLINK-3856 - Z-Coordinate,STARLINK-6298 - Z-Coordinate,STARLINK-2071 - Z-Coordinate,STARLINK-2503 - Z-Coordinate,STARLINK-2416 - Z-Coordinate,STARLINK-31473 - Z-Coordinate,STARLINK-31970 - Z-Coordinate,STARLINK-4295 - Z-Coordinate,STARLINK-3984 - Z-Coordinate,STARLINK-32149 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4003.9977,-479.2612,2427.0533,6744.7361,3510.7387,-6308.6569,-3264.4557,-2130.6844,1641.9507,-4815.7247,2358.0635,6362.7193,-4022.9483,-5678.0759,6696.0799,-2257.5910,171.4400,-3963.8404,1734.4743,2972.1651,4125.2359,4467.6021,-270.4131,2254.3017,-621.8023,5650.8044,-5084.9418,3844.0895,1077.8787,4348.7147,6172.4077,5045.5501,-731.9130,-663.7032,741.6951,-3961.2171,4473.5100,268.6322,-642.8086,2669.1861,-5497.1586,1777.1083,0.0000,2843.2101,3795.5143,-5033.3262,3999.5713,4386.7726,-3062.4934,-5179.5510,-1722.1466,6682.1166,-2343.8006,-6101.9553,-5843.0277,5437.1795,-1105.7562,4027.1884,-3836.3306,6660.7937,3244.7861,-6028.8544,-5212.2907,3104.3662,-3355.4774,-4728.8894,806.6369,-3299.2794,-4918.9046,567.6427,4943.0109,-4035.8728,6034.8726,4068.6949,978.8498,-5281.6550,1990.4543,-2172.8516,-5882.4704,-4479.2874,4530.3967,-4216.4655,22.6380,4582.5325,5416.7216,3420.1466,985.5876,3804.9513,-3955.3411,-767.9629,-5903.2235,5014.1745,-3866.7133,947.1355,5390.0187,3400.0904,5059.1654,-1671.6527,-5710.1300,-888.6429,268680.8506,259749.2570,272585.0324,270478.2944,273256.4534,272191.8099,263938.3079,267503.5485,-216661580.0722,-216651301.6277,-216652986.1268,-216649145.4094,267265.4031,-216645680.1220,5365.3470,-5311.5698,-4764.6379,-1428.4199,2143.2868,1943.0583,4026.9937,5999.1858,-5051.4294,-3642.8759,5058.4198,-729.4593,-3494.6517,1902.9705,997.7720,-4568.9809,6217.6434,-4441.5483,5033.6340,-5089.9929,876.9868,2745.0542,-6639.9237,5293.0930,-6429.9098,-1570.6913,966.2973,4596.1040,-5197.5237,-4664.3758,1804.7689,-1780.9172,4643.4107,-3771.0322,-4183.9467,2206.1852,3373.7793,-6658.0641,6027.2114,-3145.3533,4166.3598,-6436.9825,0.0000,6069.0761,3929.0675,2654.8798,5074.7605,-2823.6753,-2939.3601,4525.7964,5482.1582,-420.1684,6037.0145,-570.7680,-3603.1438,-4014.0510,-6717.1471,-5305.7256,3914.9340,-1663.7582,-5872.9613,2499.1596,1896.1847,-4548.7899,4342.1332,4773.0059,4087.8947,-2781.0504,-3890.4959,5344.7864,-3921.3040,5481.5552,-2833.4243,4373.1680,4977.4811,2981.0098,-6397.8934,6167.0076,3545.1711,2828.8902,4445.3515,3023.3247,5106.9812,-62.0825,3755.2982,-2609.9665,6722.6474,3421.0204,-4169.4778,-6690.5137,-2415.7231,2914.8411,-5246.3062,5785.2743,3194.6326,5332.7672,-762.3438,4777.3919,3785.5138,4125.4168,243910.2571,258686.0732,239093.6342,237305.2744,245466.8555,243004.6139,244421.4496,241703.7018,-33676741.7754,-33635584.1007,-33686239.5106,-33676174.9909,242134.4421,-33682197.1204,-1718.4666,4424.2440,-4414.7596,556.9886,-5451.5757,2041.9397,4559.3268,-2756.8660,-4430.4875,3324.8416,4047.0347,-2605.9759,-4245.8058,-3451.7892,-1107.7154,4736.7576,3008.9830,3520.2640,4206.5947,-3661.1742,5378.9445,4262.3318,-1882.3783,3722.0425,2288.9227,-3686.6785,-4617.1032,3235.2327,-4462.6114,-2716.9081,2515.5177,4368.9833,5083.6712,-5807.1767,-5450.6977,5195.0020,4057.1297,855.2532,3322.4713,5377.9005,-732.4448,242.6659,0.0000,1680.7634,-4089.0464,-3928.5394,2500.5838,4394.9738,-5460.7018,-829.5799,3642.1590,1702.9051,-2491.9355,3225.2619,1043.9201,1087.3146,604.7165,1111.7974,4237.5990,290.8448,1571.8488,-2010.9409,-4168.2827,-4174.0912,-4252.0068,388.6472,-5508.9036,-5328.9062,2901.4016,-4003.7969,2602.1045,-1208.9244,1345.9545,3538.5220,-4726.4889,-3370.5985,-1657.8724,-1620.9011,-941.9146,4457.7109,-1923.6860,4595.3724,4657.9272,-5172.7218,-2071.9469,-5413.5064,-1215.1730,4647.0822,3665.8109,1693.2676,-2674.6571,-3804.5352,-2311.3180,3627.4380,-2845.2444,-2485.0763,-4499.4029,4691.2222,-942.8860,5419.4438,-183959.5711,-182343.4186,-183749.4606,-178825.2699,-178280.9220,-188689.0746,-190809.9633,-185031.7462,74435416.7374,74411160.1222,74407800.1739,74418010.7058,-183320.3810,74423805.9078,
3600.000,-4224.3291,3814.1398,1668.0060,-4567.6691,-5788.5885,5588.8787,-1111.3279,-1382.7738,197.1810,4152.9360,-4027.5790,-6245.8611,6652.7752,2076.8632,-4706.2661,5500.9604,-1863.1402,5049.0141,-5323.6153,999.1241,-3881.5115,-5084.1149,2286.2268,-4464.2204,3085.9388,-2182.0128,3322.4082,-5005.4395,2990.3390,-2677.7320,-4232.8276,-5397.7304,-3378.6455,2501.3569,3596.4615,3419.8395,-6509.3710,1946.4864,-2344.1063,1579.6098,3425.4389,1893.5323,0.0000,-3695.2360,-6162.4307,4904.8257,-4919.3773,146.5861,6154.8812,3036.6357,-2783.1226,-6082.2766,-1081.9691,4212.3546,3357.0991,-2260.0140,2770.3647,-419.6240,-18.7490,-4397.0065,-1552.0502,2573.7028,2285.6644,-1906.2920,-605.9498,1339.7812,-4815.4487,4982.8591,6167.6707,-3375.3074,-3718.7050,1224.3949,-2612.4410,-2623.3706,-4717.6417,1815.3048,695.4069,-148.5660,4024.7943,4284.3847,-4019.5983,6739.7935,-3762.9353,-2605.1398,-4561.3510,47.5072,-2441.6919,-4251.8167,4087.9388,822.4817,6630.4415,-5004.4003,5080.7623,-3369.2535,-6445.7231,-5565.3083,-2941.8608,-2572.0763,3009.3967,-2777.2126,194540.4219,186965.1783,202750.4667,200547.5721,204281.4061,203023.6069,195776.2212,197749.3472,-200500832.5065,-200501142.9788,-200489281.9428,-200487674.8151,198265.4710,-200484238.2580,-2214.7469,5469.9886,5182.1701,2773.0731,1596.3389,-3332.3119,-4185.8969,-4929.6257,6882.0297,-326.3653,-1103.8126,2353.9520,915.5440,-3602.7777,1387.6562,2810.9226,-6531.5094,564.0345,-4096.0033,4997.5918,3753.7798,2155.6213,4071.7446,-5165.0115,5905.2076,3547.6127,-4626.1466,-212.5399,4605.0491,6328.2037,1225.8623,4288.8814,-3245.2021,6165.7463,3904.7819,-5593.6673,-2359.6458,5068.0337,-3490.4195,5404.1978,-5321.9804,4999.4995,0.0000,-3017.5546,-2912.0196,-4864.2509,-1581.5795,4322.5518,700.4835,-5571.5616,-4279.5883,1917.3631,-5061.1259,-2824.9997,4518.0180,4306.0923,4237.7065,4563.5981,-5315.8353,3018.0740,6085.5936,-4413.4701,-4742.9790,6634.3769,-5276.9915,-4655.3266,-3491.5127,-1546.4525,2784.1595,-5718.5164,5325.6126,-4864.2730,3814.9775,-770.1051,-3827.2282,-4735.0158,4710.3476,-5842.3136,-4969.2501,-5395.5834,307.7836,-1602.3603,-5147.1720,4041.8554,-515.6327,5233.9009,-5630.5892,908.5174,-406.9357,6093.5749,951.5027,1108.1035,4197.4063,-2425.4215,-1749.5488,-3539.4607,4914.2297,-3552.2055,-4186.0058,-5579.1391,300115.3971,316539.0327,297349.8097,297039.5682,305104.9369,302866.4371,303375.1120,301790.1025,-88647412.6680,-88610608.8628,-88663835.6330,-88657381.5218,301476.3524,-88653558.5292,4992.1185,-1909.7892,4281.8735,-4396.1725,3235.6221,2328.3542,-5388.1642,4670.0380,599.5415,-5501.6865,-5494.8762,-1795.7489,1120.1560,5507.8560,4784.5130,-3214.6415,1289.9473,-4703.5845,-1008.5462,4696.1356,-4207.6086,-3910.5522,5078.1962,633.8962,1607.3361,5523.2447,3945.3716,-4620.5668,4221.7814,-904.3855,-5324.5263,-545.2715,-5111.6813,1998.7168,4408.5703,-2170.1706,-110.9377,3948.2050,-5494.8518,-3791.4434,-2841.8346,-4014.8534,0.0000,-5004.9210,-284.7043,-175.4944,-4623.6125,-5286.5385,3056.2868,-2785.2993,-4509.9744,2656.9132,4610.7002,-4726.2066,4052.3154,-4822.6699,-4595.4315,-4968.1738,-4456.2165,-4337.7645,2836.4704,4523.1637,4506.6748,167.0345,4457.7460,-4680.0106,3493.9082,4436.2366,1418.1492,-892.3050,2086.1402,4748.5204,-4996.0812,-6387.8332,3328.3437,4724.3303,4986.7066,-3352.3878,-2680.4132,-764.7110,5253.8003,382.2131,-2690.9628,4953.5515,5152.3703,4503.2059,-3158.1833,-5386.6802,-5449.3521,3230.5273,-1713.7977,4660.5840,-2088.4930,-5512.9558,-1649.4352,-1628.6528,3674.4989,-5342.4003,4599.8837,-2905.4825,-182049.7105,-182102.8220,-182134.8008,-180534.8333,-176729.8836,-185332.0578,-191710.6141,-181199.6673,74397835.0361,74372747.3993,74375581.3090,74382347.8930,-182900.0046,74387625.2429,
7200.000,4066.8350,-5426.6135,-4843.1071,527.1214,5610.2223,-2162.1210,4821.1657,4936.1681,-1739.1748,-3207.9755,5381.3088,3241.2045,-5916.8948,1820.6153,1130.2832,-6909.3798,3135.1927,-5337.8457,5967.1329,-4649.8265,2926.4461,3913.2346,-4698.1164,4584.2117,-4596.4995,-1450.0884,-1309.2013,4905.8998,-5890.5546,-197.6870,1594.9993,3428.2332,6335.3068,-2460.0612,-6088.6154,-1927.2390,5694.2306,-4223.1746,5446.4652,-4036.5392,270.6892,-5321.9321,0.0000,4399.6454,5180.6656,-2550.2281,5143.9205,-3973.0640,-6733.9924,655.4367,6186.7703,2747.1166,4685.6700,-1699.0633,334.6286,-2464.1809,-4414.5702,-4304.3340,3379.2746,51.1236,-1621.1392,1875.8408,615.3106,-83.6809,3959.8287,3677.0909,6438.0975,-5323.6847,-4908.2601,4077.8393,19.6316,2896.9147,-2322.3471,1976.8548,6606.9973,1864.6045,-4205.2573,3415.9722,-363.4400,-2415.5372,2193.1730,-4559.2210,5719.3819,907.9884,3071.0811,-2438.7725,3724.4707,4417.8339,-3756.9405,-1596.7725,-4556.6526,4315.0253,-4515.0618,5637.1627,4603.3501,5121.8969,363.3445,5974.7706,1346.5032,4476.5259,113856.8975,101861.4729,119793.8779,116832.1870,122408.3212,119375.4493,115027.0413,117492.1381,-170653365.2508,-170662338.4551,-170635616.0249,-170631916.1519,116564.5055,-170635757.8925,-2216.6386,-3937.8831,-4709.5070,-4195.4586,-3637.4462,3937.5334,4085.9101,3080.2089,-5645.7297,4527.8407,-2689.0691,-3437.5218,1789.8825,5261.1025,-4402.0368,-848.6480,3866.3105,3265.0985,1221.7902,-4245.0344,-6184.7514,-5508.9262,-314.8937,2276.8293,-2579.6173,-5475.7708,6750.0875,-4030.3910,-3365.3368,-5680.5494,-4767.1143,-4772.5556,1947.9132,-5798.8226,-3212.0650,6227.7584,321.8523,-349.4298,595.3887,-5388.1028,5099.0733,-902.3011,0.0000,-1356.8265,233.6996,4903.5197,-2480.6160,-5078.2302,927.5658,5061.8672,2116.6618,-3390.4157,3231.7361,5831.6233,-1352.5183,-3854.1189,242.3473,-2412.5786,5725.2326,-4237.0559,-3951.3841,5433.3592,6570.1315,-5680.3898,5335.1029,2901.2623,2379.0435,4295.6577,-46.4636,1951.6150,-4374.7941,3330.7426,-4268.2115,-3792.5695,2091.3938,5842.3862,-1919.4249,2171.2213,5114.8050,5524.8872,-5394.7108,-791.6286,3770.1237,-6660.6785,-3678.0488,-6422.1805,1937.1880,-4551.4711,4752.2882,-2461.6169,1407.3871,-4706.4174,-906.1183,-1114.8094,-982.7479,-418.1045,-6800.5677,2309.4784,4111.9920,4968.4611,335473.1821,354250.5037,336765.8998,338541.5361,345531.6928,342591.1719,343660.7789,341743.4684,-137544899.9903,-137514816.4080,-137565244.5746,-137558406.4657,341687.5114,-137551301.4706,-5134.6965,-1776.2649,-1557.4413,5462.9913,1366.4284,-5259.6922,2782.5291,-3779.1691,3581.5757,4085.3702,3365.8975,5034.5182,2849.6666,-4099.8401,-5142.9053,-156.5449,-4802.4519,2947.8544,-3009.6376,-2915.0088,-20.1408,278.2970,-5057.8007,-4566.6514,-4392.1393,-3990.3758,-895.6277,2458.1326,-1428.4611,3955.5657,4727.5910,-3648.6160,2012.8108,2935.8718,-584.0360,-2274.8968,-3929.3942,-5219.1066,4210.6310,-854.3873,4685.0993,3929.8627,0.0000,5143.2390,4421.9720,4140.0049,3919.9840,2237.7249,1249.9560,4675.1533,1887.9003,-5364.5158,-3969.7234,3326.4085,-6808.1826,5084.3612,5202.8489,4603.9110,1961.6742,5398.8681,-5416.6195,-3693.4968,-2139.4579,3918.2820,-2009.0537,4824.7539,739.7851,-431.2546,-4875.1885,4933.1435,-5245.5951,-5326.1618,4750.8938,5460.8577,83.9168,-3245.0027,-5130.8209,5372.4633,4655.5699,-3420.2272,-3175.6627,-5173.0424,-975.0013,-1602.1292,-4981.9061,-771.2570,5466.3903,2750.7519,3127.6774,-6301.6125,4995.4738,-2708.0310,5145.9729,3806.0690,5006.0547,4432.7898,-41.7588,2573.9242,-5399.9578,-1599.5246,-180573.2596,-181855.3229,-180710.6959,-183025.6482,-175646.0676,-181214.1070,-191908.0802,-183997.9012,74359591.9390,74334406.9377,74344785.2485,74352640.9656,-182465.1105,74351444.3902,
