sl_100_86400_20261012 Coordinates.csv
2026/10/12 07:47:00.0000 UTC

Generated: Tue Oct  8 16:23:42 2024,
Start: 2026/10/12 07:47:00.00, Stop: 2026/10/13 07:47:00.00,
TIME_UNITS,STARLINK-31292 - X-Coordinate,STARLINK-31736 - X-Coordinate,STARLINK-1152 - X-Coordinate,STARLINK-3835 - X-Coordinate,STARLINK-6183 - X-Coordinate,STARLINK-31362 - X-Coordinate,STARLINK-5288 - X-Coordinate,STARLINK-5060 - X-Coordinate,STARLINK-2498 - X-Coordinate,STARLINK-5600 - X-Coordinate,STARLINK-11104 [DTC] - X-Coordinate,STARLINK-31446 - X-Coordinate,STARLINK-2469 - X-Coordinate,STARLINK-1998 - X-Coordinate,STARLINK-3227 - X-Coordinate,STARLINK-31249 - X-Coordinate,STARLINK-3315 - X-Coordinate,STARLINK-6039 - X-Coordinate,STARLINK-31655 - X-Coordinate,STARLINK-31271 - X-Coordinate,STARLINK-5601 - X-Coordinate,STARLINK-2726 - X-Coordinate,STARLINK-2403 - X-Coordinate,STARLINK-3874 - X-Coordinate,STARLINK-4130 - X-Coordinate,STARLINK-32195 - X-Coordinate,STARLINK-2434 - X-Coordinate,STARLINK-31473 - X-Coordinate,STARLINK-2333 - X-Coordinate,STARLINK-2404 - X-Coordinate,STARLINK-3976 - X-Coordinate,STARLINK-30435 - X-Coordinate,STARLINK-2399 - X-Coordinate,STARLINK-4416 - X-Coordinate,STARLINK-3884 - X-Coordinate,STARLINK-3644 - X-Coordinate,STARLINK-6235 - X-Coordinate,STARLINK-30795 - X-Coordinate,STARLINK-30701 - X-Coordinate,STARLINK-5167 - X-Coordinate,STARLINK-5145 - X-Coordinate,STARLINK-4063 - X-Coordinate,STARLINK-3748 - X-Coordinate,STARLINK-4174 - X-Coordinate,STARLINK-1643 - X-Coordinate,STARLINK-1602 - X-Coordinate,STARLINK-31741 - X-Coordinate,STARLINK-3116 - X-Coordinate,STARLINK-31996 - X-Coordinate,STARLINK-30238 - X-Coordinate,STARLINK-3147 - X-Coordinate,STARLINK-30756 - X-Coordinate,STARLINK-3792 - X-Coordinate,STARLINK-4536 - X-Coordinate,STARLINK-6194 - X-Coordinate,STARLINK-1737 - X-Coordinate,STARLINK-30218 - X-Coordinate,STARLINK-30770 - X-Coordinate,STARLINK-3350 - X-Coordinate,STARLINK-3319 - X-Coordinate,STARLINK-30920 - X-Coordinate,STARLINK-4794 - X-Coordinate,STARLINK-5009 - X-Coordinate,STARLINK-3750 - X-Coordinate,STARLINK-31471 - X-Coordinate,STARLINK-2015 - X-Coordinate,STARLINK-2441 - X-Coordinate,STARLINK-30702 - X-Coordinate,STARLINK-4689 - X-Coordinate,STARLINK-3804 - X-Coordinate,STARLINK-3577 - X-Coordinate,STARLINK-6242 - X-Coordinate,STARLINK-31420 - X-Coordinate,STARLINK-5431 - X-Coordinate,STARLINK-4273 - X-Coordinate,STARLINK-5899 - X-Coordinate,STARLINK-2648 - X-Coordinate,STARLINK-1464 - X-Coordinate,STARLINK-4140 - X-Coordinate,STARLINK-30518 - X-Coordinate,STARLINK-5340 - X-Coordinate,STARLINK-11132 [DTC] - X-Coordinate,STARLINK-5317 - X-Coordinate,STARLINK-2581 - X-Coordinate,STARLINK-3150 - X-Coordinate,STARLINK-3204 - X-Coordinate,STARLINK-6373 - X-Coordinate,STARLINK-3924 - X-Coordinate,STARLINK-31013 - X-Coordinate,STARLINK-30459 - X-Coordinate,STARLINK-3080 - X-Coordinate,STARLINK-4171 - X-Coordinate,STARLINK-3922 - X-Coordinate,STARLINK-1513 - X-Coordinate,STARLINK-3245 - X-Coordinate,STARLINK-11197 [DTC] - X-Coordinate,STARLINK-30934 - X-Coordinate,STARLINK-31079 - X-Coordinate,STARLINK-2188 - X-Coordinate,STARLINK-2717 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31292 - Y-Coordinate,STARLINK-31736 - Y-Coordinate,STARLINK-1152 - Y-Coordinate,STARLINK-3835 - Y-Coordinate,STARLINK-6183 - Y-Coordinate,STARLINK-31362 - Y-Coordinate,STARLINK-5288 - Y-Coordinate,STARLINK-5060 - Y-Coordinate,STARLINK-2498 - Y-Coordinate,STARLINK-5600 - Y-Coordinate,STARLINK-11104 [DTC] - Y-Coordinate,STARLINK-31446 - Y-Coordinate,STARLINK-2469 - Y-Coordinate,STARLINK-1998 - Y-Coordinate,STARLINK-3227 - Y-Coordinate,STARLINK-31249 - Y-Coordinate,STARLINK-3315 - Y-Coordinate,STARLINK-6039 - Y-Coordinate,STARLINK-31655 - Y-Coordinate,STARLINK-31271 - Y-Coordinate,STARLINK-5601 - Y-Coordinate,STARLINK-2726 - Y-Coordinate,STARLINK-2403 - Y-Coordinate,STARLINK-3874 - Y-Coordinate,STARLINK-4130 - Y-Coordinate,STARLINK-32195 - Y-Coordinate,STARLINK-2434 - Y-Coordinate,STARLINK-31473 - Y-Coordinate,STARLINK-2333 - Y-Coordinate,STARLINK-2404 - Y-Coordinate,STARLINK-3976 - Y-Coordinate,STARLINK-30435 - Y-Coordinate,STARLINK-2399 - Y-Coordinate,STARLINK-4416 - Y-Coordinate,STARLINK-3884 - Y-Coordinate,STARLINK-3644 - Y-Coordinate,STARLINK-6235 - Y-Coordinate,STARLINK-30795 - Y-Coordinate,STARLINK-30701 - Y-Coordinate,STARLINK-5167 - Y-Coordinate,STARLINK-5145 - Y-Coordinate,STARLINK-4063 - Y-Coordinate,STARLINK-3748 - Y-Coordinate,STARLINK-4174 - Y-Coordinate,STARLINK-1643 - Y-Coordinate,STARLINK-1602 - Y-Coordinate,STARLINK-31741 - Y-Coordinate,STARLINK-3116 - Y-Coordinate,STARLINK-31996 - Y-Coordinate,STARLINK-30238 - Y-Coordinate,STARLINK-3147 - Y-Coordinate,STARLINK-30756 - Y-Coordinate,STARLINK-3792 - Y-Coordinate,STARLINK-4536 - Y-Coordinate,STARLINK-6194 - Y-Coordinate,STARLINK-1737 - Y-Coordinate,STARLINK-30218 - Y-Coordinate,STARLINK-30770 - Y-Coordinate,STARLINK-3350 - Y-Coordinate,STARLINK-3319 - Y-Coordinate,STARLINK-30920 - Y-Coordinate,STARLINK-4794 - Y-Coordinate,STARLINK-5009 - Y-Coordinate,STARLINK-3750 - Y-Coordinate,STARLINK-31471 - Y-Coordinate,STARLINK-2015 - Y-Coordinate,STARLINK-2441 - Y-Coordinate,STARLINK-30702 - Y-Coordinate,STARLINK-4689 - Y-Coordinate,STARLINK-3804 - Y-Coordinate,STARLINK-3577 - Y-Coordinate,STARLINK-6242 - Y-Coordinate,STARLINK-31420 - Y-Coordinate,STARLINK-5431 - Y-Coordinate,STARLINK-4273 - Y-Coordinate,STARLINK-5899 - Y-Coordinate,STARLINK-2648 - Y-Coordinate,STARLINK-1464 - Y-Coordinate,STARLINK-4140 - Y-Coordinate,STARLINK-30518 - Y-Coordinate,STARLINK-5340 - Y-Coordinate,STARLINK-11132 [DTC] - Y-Coordinate,STARLINK-5317 - Y-Coordinate,STARLINK-2581 - Y-Coordinate,STARLINK-3150 - Y-Coordinate,STARLINK-3204 - Y-Coordinate,STARLINK-6373 - Y-Coordinate,STARLINK-3924 - Y-Coordinate,STARLINK-31013 - Y-Coordinate,STARLINK-30459 - Y-Coordinate,STARLINK-3080 - Y-Coordinate,STARLINK-4171 - Y-Coordinate,STARLINK-3922 - Y-Coordinate,STARLINK-1513 - Y-Coordinate,STARLINK-3245 - Y-Coordinate,STARLINK-11197 [DTC] - Y-Coordinate,STARLINK-30934 - Y-Coordinate,STARLINK-31079 - Y-Coordinate,STARLINK-2188 - Y-Coordinate,STARLINK-2717 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31292 - Z-Coordinate,STARLINK-31736 - Z-Coordinate,STARLINK-1152 - Z-Coordinate,STARLINK-3835 - Z-Coordinate,STARLINK-6183 - Z-Coordinate,STARLINK-31362 - Z-Coordinate,STARLINK-5288 - Z-Coordinate,STARLINK-5060 - Z-Coordinate,STARLINK-2498 - Z-Coordinate,STARLINK-5600 - Z-Coordinate,STARLINK-11104 [DTC] - Z-Coordinate,STARLINK-31446 - Z-Coordinate,STARLINK-2469 - Z-Coordinate,STARLINK-1998 - Z-Coordinate,STARLINK-3227 - Z-Coordinate,STARLINK-31249 - Z-Coordinate,STARLINK-3315 - Z-Coordinate,STARLINK-6039 - Z-Coordinate,STARLINK-31655 - Z-Coordinate,STARLINK-31271 - Z-Coordinate,STARLINK-5601 - Z-Coordinate,STARLINK-2726 - Z-Coordinate,STARLINK-2403 - Z-Coordinate,STARLINK-3874 - Z-Coordinate,STARLINK-4130 - Z-Coordinate,STARLINK-32195 - Z-Coordinate,STARLINK-2434 - Z-Coordinate,STARLINK-31473 - Z-Coordinate,STARLINK-2333 - Z-Coordinate,STARLINK-2404 - Z-Coordinate,STARLINK-3976 - Z-Coordinate,STARLINK-30435 - Z-Coordinate,STARLINK-2399 - Z-Coordinate,STARLINK-4416 - Z-Coordinate,STARLINK-3884 - Z-Coordinate,STARLINK-3644 - Z-Coordinate,STARLINK-6235 - Z-Coordinate,STARLINK-30795 - Z-Coordinate,STARLINK-30701 - Z-Coordinate,STARLINK-5167 - Z-Coordinate,STARLINK-5145 - Z-Coordinate,STARLINK-4063 - Z-Coordinate,STARLINK-3748 - Z-Coordinate,STARLINK-4174 - Z-Coordinate,STARLINK-1643 - Z-Coordinate,STARLINK-1602 - Z-Coordinate,STARLINK-31741 - Z-Coordinate,STARLINK-3116 - Z-Coordinate,STARLINK-31996 - Z-Coordinate,STARLINK-30238 - Z-Coordinate,STARLINK-3147 - Z-Coordinate,STARLINK-30756 - Z-Coordinate,STARLINK-3792 - Z-Coordinate,STARLINK-4536 - Z-Coordinate,STARLINK-6194 - Z-Coordinate,STARLINK-1737 - Z-Coordinate,STARLINK-30218 - Z-Coordinate,STARLINK-30770 - Z-Coordinate,STARLINK-3350 - Z-Coordinate,STARLINK-3319 - Z-Coordinate,STARLINK-30920 - Z-Coordinate,STARLINK-4794 - Z-Coordinate,STARLINK-5009 - Z-Coordinate,STARLINK-3750 - Z-Coordinate,STARLINK-31471 - Z-Coordinate,STARLINK-2015 - Z-Coordinate,STARLINK-2441 - Z-Coordinate,STARLINK-30702 - Z-Coordinate,STARLINK-4689 - Z-Coordinate,STARLINK-3804 - Z-Coordinate,STARLINK-3577 - Z-Coordinate,STARLINK-6242 - Z-Coordinate,STARLINK-31420 - Z-Coordinate,STARLINK-5431 - Z-Coordinate,STARLINK-4273 - Z-Coordinate,STARLINK-5899 - Z-Coordinate,STARLINK-2648 - Z-Coordinate,STARLINK-1464 - Z-Coordinate,STARLINK-4140 - Z-Coordinate,STARLINK-30518 - Z-Coordinate,STARLINK-5340 - Z-Coordinate,STARLINK-11132 [DTC] - Z-Coordinate,STARLINK-5317 - Z-Coordinate,STARLINK-2581 - Z-Coordinate,STARLINK-3150 - Z-Coordinate,STARLINK-3204 - Z-Coordinate,STARLINK-6373 - Z-Coordinate,STARLINK-3924 - Z-Coordinate,STARLINK-31013 - Z-Coordinate,STARLINK-30459 - Z-Coordinate,STARLINK-3080 - Z-Coordinate,STARLINK-4171 - Z-Coordinate,STARLINK-3922 - Z-Coordinate,STARLINK-1513 - Z-Coordinate,STARLINK-3245 - Z-Coordinate,STARLINK-11197 [DTC] - Z-Coordinate,STARLINK-30934 - Z-Coordinate,STARLINK-31079 - Z-Coordinate,STARLINK-2188 - Z-Coordinate,STARLINK-2717 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5495.3400,-6739.7157,5718.9207,-5351.7429,4682.1561,-1673.9769,5469.1038,3588.5940,-4983.4972,5311.0168,-2456.0593,568.4016,5036.7282,39.5336,-3696.4483,-4729.4012,-808.9377,5480.1514,3607.1586,-5846.7161,2725.5310,-3872.8427,-6761.4049,-6466.3182,322.0320,-481.0044,-1004.5413,-1628.5225,2700.3454,5131.2055,1178.4668,-1560.9480,-5023.4689,4746.3725,5366.4983,-6245.1058,5248.5969,1228.9847,5754.9713,-2256.8670,4452.2825,-6340.5441,-2892.3894,6039.3114,-6599.6294,-3421.9618,-4768.5210,3605.4685,-1144.3439,5933.3702,-4560.6444,-4516.0761,-1426.9628,1795.3108,92.5800,-3065.9631,2718.0763,3322.2742,2737.0665,5638.4061,4106.4778,519.1412,3192.9989,5552.9822,-2480.0583,1989.3651,1717.9741,-4268.3706,5455.9618,-3260.2055,2707.0575,-3862.2144,5233.4907,-6279.5370,0.0000,632.2952,-4815.1942,2380.2429,1075.1713,-1501.1979,4580.2461,-937.1777,-2483.0428,3442.8604,-1741.4076,-2738.7235,-2924.5082,4298.2858,-481.2521,-4787.7421,-6231.7438,4242.7186,2824.0440,5929.3328,-24.9891,66.8898,-2713.3010,-1428.6011,5572.8698,-5027.9794,-84069.9213,-90919.7053,-78596.6919,-80865.9164,-77393.8957,-78671.4711,-86772.3991,-85355.4282,-222115704.0180,-222111889.8754,-222114885.6500,-222101229.2545,-83650.3462,-222108830.8994,954.7594,-597.8038,-3417.8077,-2048.7121,-4127.6794,-5271.7186,-3429.9280,5734.5394,3008.4927,3428.7203,-4652.1224,-6653.2184,-1360.0467,4195.4081,-3986.7065,-541.9410,4419.9165,3064.4441,4271.1968,-3286.4613,3700.1915,-1644.4145,1168.5466,-2234.1876,4504.6443,6129.6923,-4908.9408,-4799.6858,-5533.4676,2140.4860,6581.9555,-3857.1079,-2624.3294,-1814.4620,-3000.3063,1317.5250,1709.7257,-6740.1829,1761.0817,-6152.1589,3691.3259,154.3478,2871.2981,2064.5730,1318.4519,-3617.1517,-4403.3615,1174.8023,-6159.1812,-1371.5114,-2325.8556,-2318.4527,3946.1880,4332.0202,5608.4423,-5457.9965,5172.1287,-6043.6014,-5946.1355,1989.8420,10.1799,-5618.5899,-4333.1696,-4074.2493,4573.1380,-6462.2332,-5496.8365,-5272.1612,-4029.6481,5914.7110,5395.7974,3444.0146,434.1998,-1268.2220,0.0000,4943.2897,-362.7354,-3824.7581,4681.2739,3953.3231,5180.7584,6608.5180,207.6183,-4638.5244,4078.3691,-6092.5568,-4399.8999,-1307.4423,6244.3596,-1498.5060,-2685.8413,4300.9614,4401.8800,3272.1057,4741.0470,4019.5443,4974.8641,6056.5384,-1397.5414,-1739.1326,344662.4875,377143.3435,359738.0668,358116.0100,366006.5675,363632.5069,365767.4676,363534.8316,-26258278.7152,-26277074.2722,-26290228.9517,-26268499.0385,363201.2514,-26276792.1602,4002.2578,819.0680,1810.9588,-3864.6682,3013.6290,4057.3300,2561.6141,1567.8038,-3735.6809,2838.3023,-4220.8713,1410.2223,4516.9609,5500.3274,-4262.4980,-4912.9387,-5255.3013,-2972.7640,3953.3184,-1432.8205,-5220.8724,-5462.4616,289.5901,-1003.9440,-5233.3642,2536.3449,4781.7550,4512.4906,3111.0314,4107.4463,1576.0881,5407.5194,3875.9313,4718.5239,-3147.2564,2617.4904,-4204.3965,1039.3358,-3282.8330,-2196.8653,-3798.9695,-2819.1738,5224.6763,2631.4693,-265.7490,4505.6584,-2050.0191,-5821.2902,-2671.7492,-3306.8462,4639.3548,4706.8739,-5497.1884,-5084.6391,-4087.5194,-2881.5288,-3640.2923,-660.1221,-2258.9713,3440.0153,-5470.3117,3923.8277,-4350.1206,213.4559,4202.1166,-1139.1972,-3783.6537,-1039.1213,1328.4310,-1469.3602,3352.0444,4610.7708,4338.4969,-2601.0650,0.0000,4825.9329,-4899.8349,5238.4229,-4970.3143,5367.2627,458.9343,885.3382,-6482.6034,3638.3841,-5308.9359,-1781.9395,-4495.5691,5233.4478,-2998.8177,4664.1883,1517.6999,3351.1105,4509.7199,-1429.8876,-5042.7069,5348.1777,3817.0964,3044.9043,3678.3484,-4210.5165,-124324.2880,-126453.7559,-128285.0537,-123331.8357,-122813.0671,-133225.8261,-135323.8858,-127504.1164,78763008.2534,78779303.9146,78758390.3809,78765336.5989,-127842.3260,78757774.4054,
3600.000,-6493.9705,4885.4800,-2504.4626,6883.6582,-993.7754,3929.9787,-5475.4778,-2739.1913,4670.7046,-6721.9157,4329.0950,2552.3611,-5579.1596,-4180.5485,4182.9077,2713.2381,-2233.8136,-4153.8233,-4146.5867,4733.7746,-2403.1683,5870.3821,4968.3344,5116.2332,-3661.8853,-3051.6690,4025.6576,5519.7210,941.6821,-3760.5335,-2873.2582,5571.5456,6766.3475,-358.8912,-1590.7820,3035.4892,-6713.4495,1494.3996,-3652.6655,3678.0066,-6341.0371,3628.9486,-1954.6306,-4218.4361,3850.1703,6338.5900,6158.6793,-1244.2113,3048.8192,-3064.3328,6806.3178,5791.4662,-2783.5568,-4592.5763,-3676.7727,3905.1068,-5471.4531,-898.9565,-1263.5867,-3826.7804,-3747.6396,2921.1372,-2063.2027,-3354.8141,-1100.0799,-7.3053,2061.1354,4926.4267,-2486.4567,1559.7952,-4548.9397,1672.6221,-6501.3280,6665.6281,0.0000,-1422.6883,6267.7832,1961.0443,-4155.0978,-3138.8762,-5494.1401,-1849.2414,3925.9227,1024.3903,-2653.3057,3629.8786,5974.6099,-4436.6112,-2705.0653,5422.2370,4054.1754,-5905.0888,-4277.2006,-6080.1949,-3822.6179,-5004.4376,1165.5839,-874.6465,-5703.1845,6762.5691,-166775.2024,-182558.5412,-167798.1665,-170040.4249,-165627.9255,-167069.9211,-174255.6385,-170124.2515,-207689648.4079,-207686475.8499,-207681545.0553,-207679371.2886,-171933.9893,-207681617.0411,2091.8828,-2402.5856,3984.2041,499.8068,4990.8182,1399.9878,3547.0595,-3050.4008,-5078.5379,-1535.3141,-192.0524,4609.7953,3999.4890,-3572.0598,-291.9504,-3807.2541,-6113.7131,-5057.7839,211.9234,184.4851,781.1927,-1782.8442,-2648.4902,-185.1217,-5407.5324,-2580.3153,1848.6363,3467.0555,4121.5606,1837.8480,-3723.5452,2750.2305,1148.5775,-866.6277,3894.8908,-3123.2147,1057.2378,5431.3183,1908.3843,5408.1090,-2737.6784,-2433.5596,-5381.2378,1110.9261,-3081.7196,2236.1845,2045.2920,2860.5285,5711.3948,4030.5480,707.0689,-1445.7451,-4686.5635,-906.9899,-3709.4711,1708.5375,-4168.0093,6218.0699,6467.7996,1622.7756,4439.9755,2935.6558,6582.0562,4556.1207,-6562.2733,5980.2161,3589.0059,3333.5807,4274.4622,-6071.8905,-5123.0996,-6256.3398,2047.0770,-313.7549,0.0000,-6791.6734,-2471.7027,4505.9903,-5278.8649,-4365.4491,-2916.6074,-4239.7368,-4058.5748,3989.4431,-4218.1904,3038.6209,2837.1465,4777.7144,-4316.0255,-2714.4470,1024.4120,-3484.8872,-295.8384,-1591.0693,-2609.0545,-3234.8210,-6711.8437,-6860.1274,3666.5469,-444.2173,312676.2810,343392.9252,325901.0092,325761.0894,333479.0167,331345.9710,332482.2345,330603.3674,-82897328.4515,-82912123.8948,-82929134.3080,-82903688.6411,330379.4711,-82915977.7001,-814.5163,-4105.2431,-5058.7412,-277.4692,-4714.6300,-5454.7901,2393.7141,-5606.7216,-420.6225,721.9133,5152.7687,-4345.3035,-779.5416,-4216.7772,5475.4501,4980.8734,2307.7480,-2328.2001,-5454.2058,4949.3532,6467.6834,3127.5569,3926.5272,4638.0334,2240.7030,-5325.6210,-5337.6201,-1920.0954,-5460.6146,-5511.9707,-5013.9375,-2843.2823,350.1151,-6881.4385,5464.3532,-5358.5990,1377.2934,-4042.0565,5467.1145,-2229.8063,-337.8932,5380.2420,-3357.5895,-5359.8479,4577.0269,-83.6443,-2050.8339,6194.8027,-2112.0537,4718.7179,-1015.5428,-3523.2800,4238.7186,5076.4514,4558.5989,5403.2149,190.7608,-2922.4322,-2119.9242,-5515.8370,3595.5399,-5496.7568,481.8145,3925.9730,-734.2334,-3356.5730,5496.1647,-3423.3499,-4835.1930,-2910.0189,900.7394,-2491.2336,-129.2331,-1802.5758,0.0000,-320.1381,1356.9725,-4872.3923,1594.8856,-4234.0698,3050.2058,-4900.5197,4025.6865,-5455.0767,4780.1978,5026.9354,2073.8691,-2284.4690,4708.0631,-3208.8025,-5558.7384,887.3111,-5427.0665,-2899.4081,5130.5906,-3066.8449,580.1475,464.6978,798.9038,-239.1650,-125777.8906,-127859.5678,-128350.1814,-126719.2739,-122939.1489,-131554.1917,-137910.3124,-129061.6700,78724028.1018,78745075.2033,78728690.6244,78725457.1597,-129103.4588,78721773.4969,
7200.000,4709.5571,-1120.2644,-1941.7500,-5301.6252,-2960.5287,-5699.3402,2346.8095,2389.1125,-2198.1032,5647.7983,-5043.8584,-5421.1113,3729.5186,6389.9126,-4450.4021,-818.2950,3670.5166,611.8116,4282.8074,-2508.4431,3116.7611,-5739.7887,-794.4119,-2410.6823,4872.3052,5783.7463,-6355.4453,-6371.9388,-4886.6703,2305.6312,4664.8227,-6491.8293,-5213.0420,-4836.4097,-2663.9005,970.6586,5786.3605,-4484.8333,1154.3098,-4056.6803,5438.5259,-273.4600,4422.7398,1772.5037,1249.5387,-5014.6310,-4727.9874,240.5699,-3892.9743,-224.4322,-6021.8594,-5563.7280,5212.4893,6408.3507,6371.1197,-4595.7033,5822.4330,-2445.0461,-1320.6087,1725.5330,2558.6833,-6001.7478,184.4375,-901.9572,3770.8320,-2927.1696,-5678.2053,-4034.9192,-1910.7212,1553.0302,4580.4805,535.9590,4180.2843,-4137.9747,0.0000,1393.2119,-4894.8370,-4973.8514,5006.1393,5708.6922,5007.0325,4904.8559,-4594.7692,-5242.4513,5553.4970,-4450.4717,-6706.5018,3152.3745,5664.7555,-4336.8208,-1161.0590,5096.2600,5327.1280,4049.1412,6564.2036,6245.7125,1204.2888,2986.6928,2615.3906,-4476.6829,-238975.2873,-262920.4704,-246283.7991,-249098.9509,-242954.2299,-246208.9418,-250470.9654,-250697.8724,-179085234.9575,-179084744.6248,-179071184.6703,-179080257.5244,-249105.7389,-179076085.9476,-4043.5320,5198.9390,-4273.5030,1332.9270,-5162.0088,2283.2798,-2634.7780,-1578.5203,4952.0436,-1137.9407,4161.3440,-970.6603,-4660.4260,2647.2980,4194.9345,6634.4522,5471.7846,3023.9294,-4371.4086,3954.6926,-4756.0951,3605.0908,4081.4668,3616.4789,4396.7503,-1754.3294,791.4295,-814.9261,-2316.9239,-5522.5077,-545.7118,-1066.5069,1024.5855,503.8414,-4696.4645,5017.6721,-3077.3129,-2643.2314,-5582.3994,-2003.0646,497.1466,5054.7727,4532.7112,-4778.4939,4437.0927,634.5457,1801.1554,-6283.1447,-1885.3971,-6116.0438,943.6960,4124.8950,4528.5223,-1776.7054,1500.7695,2670.8706,1429.7626,-4459.2724,-4413.0869,-5325.9909,-6277.7782,-180.2559,-5860.8914,-4043.1603,4333.5395,-2907.6991,-1512.6711,816.7109,-4028.7522,3986.3083,2355.8632,6821.2125,-3376.3623,2272.3834,0.0000,5185.0301,3711.5090,-4581.5161,3866.0196,3766.9496,-870.1231,-83.3039,5145.1291,-2938.8546,3920.4459,1316.6076,-751.2321,-5756.4495,1726.7799,5287.3590,2528.3914,864.4796,-3304.3788,-1488.5573,791.0247,1230.4799,4938.6162,5040.1977,-4202.4941,2420.9101,261397.1937,287578.4151,271340.1871,273337.1483,279838.1299,277171.6459,278599.2073,275801.0050,-133856234.3435,-133867871.0179,-133883092.0807,-133863694.5189,276508.5820,-133874480.3884,-2954.3323,4251.7474,5054.8018,4214.0063,3551.4415,3060.8870,-5991.1372,6315.7829,4285.3991,-3861.0764,-1639.3364,4022.9462,-3480.1542,322.0078,-3213.9041,-1445.5365,2074.9993,6208.9351,3072.5500,-5012.4633,-4009.0363,1239.6630,-5472.2424,-5381.9730,2149.3889,2775.3663,2642.9060,-2213.2967,4277.6087,3458.9849,5004.6917,-1841.4310,-4363.5477,4940.2429,-4310.3836,4627.0189,2264.2860,4566.4691,-3809.3767,5210.9743,4233.5209,-4752.6020,-1982.9069,4650.2090,-4915.6510,-4436.0174,4539.9778,-2956.7551,5247.9821,-3250.7333,-3272.9971,168.3446,-329.4087,-1898.6158,-2306.9693,-4390.3694,3367.8760,4694.9439,5155.7376,4026.7751,879.8856,3343.5948,3659.3980,-5512.8530,-3441.3764,5464.8708,-3601.8032,5479.9000,5271.1252,5415.1143,-4611.7705,-1145.5283,-4199.8331,5037.4561,0.0000,-4406.6664,3079.7270,1438.3545,2768.3418,12.7128,-4717.4453,4606.7396,786.0153,3237.6388,-1269.3265,-5128.2355,1587.6663,-2153.1378,-3627.5400,-524.4194,6362.5995,-4596.8177,2899.8801,5400.2799,-2044.1131,-2095.0753,-4576.6330,-3708.8176,-4706.2373,4472.7454,-127252.6329,-129271.0461,-128606.1700,-130895.8448,-123535.9596,-129120.2851,-139796.6839,-130623.1439,78684899.1130,78709917.7751,78697861.3084,78684692.5877,-130353.5760,78685769.7644,
