sl_20_86400_20261107 Coordinates.csv
2026/11/07 07:47:00.0000 UTC

Generated: Tue Oct  8 17:00:31 2024,
Start: 2026/11/07 07:47:00.00, Stop: 2026/11/08 07:47:00.00,
TIME_UNITS,STARLINK-11129 [DTC] - X-Coordinate,STARLINK-31962 - X-Coordinate,STARLINK-31389 - X-Coordinate,STARLINK-1793 - X-Coordinate,STARLINK-32004 - X-Coordinate,STARLINK-5776 - X-Coordinate,STARLINK-32083 - X-Coordinate,STARLINK-4418 - X-Coordinate,STARLINK-11083 [DTC] - X-Coordinate,STARLINK-1209 - X-Coordinate,STARLINK-1938 - X-Coordinate,STARLINK-5849 - X-Coordinate,STARLINK-1873 - X-Coordinate,STARLINK-6146 - X-Coordinate,STARLINK-2298 - X-Coordinate,STARLINK-31899 - X-Coordinate,STARLINK-4616 - X-Coordinate,STARLINK-31893 - X-Coordinate,STARLINK-30380 - X-Coordinate,STARLINK-5169 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11129 [DTC] - Y-Coordinate,STARLINK-31962 - Y-Coordinate,STARLINK-31389 - Y-Coordinate,STARLINK-1793 - Y-Coordinate,STARLINK-32004 - Y-Coordinate,STARLINK-5776 - Y-Coordinate,STARLINK-32083 - Y-Coordinate,STARLINK-4418 - Y-Coordinate,STARLINK-11083 [DTC] - Y-Coordinate,STARLINK-1209 - Y-Coordinate,STARLINK-1938 - Y-Coordinate,STARLINK-5849 - Y-Coordinate,STARLINK-1873 - Y-Coordinate,STARLINK-6146 - Y-Coordinate,STARLINK-2298 - Y-Coordinate,STARLINK-31899 - Y-Coordinate,STARLINK-4616 - Y-Coordinate,STARLINK-31893 - Y-Coordinate,STARLINK-30380 - Y-Coordinate,STARLINK-5169 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11129 [DTC] - Z-Coordinate,STARLINK-31962 - Z-Coordinate,STARLINK-31389 - Z-Coordinate,STARLINK-1793 - Z-Coordinate,STARLINK-32004 - Z-Coordinate,STARLINK-5776 - Z-Coordinate,STARLINK-32083 - Z-Coordinate,STARLINK-4418 - Z-Coordinate,STARLINK-11083 [DTC] - Z-Coordinate,STARLINK-1209 - Z-Coordinate,STARLINK-1938 - Z-Coordinate,STARLINK-5849 - Z-Coordinate,STARLINK-1873 - Z-Coordinate,STARLINK-6146 - Z-Coordinate,STARLINK-2298 - Z-Coordinate,STARLINK-31899 - Z-Coordinate,STARLINK-4616 - Z-Coordinate,STARLINK-31893 - Z-Coordinate,STARLINK-30380 - Z-Coordinate,STARLINK-5169 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,341.2515,-6126.6334,-2260.6815,-5494.8794,5180.2221,-2525.2804,5635.3555,-4251.0592,-2412.9079,46.7412,6436.2899,-4659.8076,3705.0295,-19.6840,-3769.3913,5167.6998,-4501.0756,2644.2723,6424.8437,-306.9520,-300561.7314,-321711.3392,-304861.5976,-306182.9942,-306434.3282,-306587.3791,-314794.9123,-312101.0191,-188255880.3612,-188279921.7310,-188268301.6025,-188275578.6200,-310890.3300,-188271691.5110,-4325.9467,948.7310,5441.4606,1010.6753,-3456.8363,-4395.7525,-2836.6609,3202.7918,-5043.8809,-4151.9072,43.5116,5022.3307,-4453.5340,6039.0648,-1729.4009,201.4548,4531.1758,4353.5168,1941.9923,4789.2880,212623.5513,239465.9969,221452.7690,219166.2390,227788.4888,225139.2424,223534.1147,221864.8480,-63308969.1368,-63290045.8649,-63292105.3211,-63315825.6264,222567.7520,-63313330.7926,-5134.2858,-2833.7834,-3495.4990,-4090.2553,2763.3405,4717.2521,-2685.7559,-4434.9347,3684.8905,5515.6107,-2527.3329,-1090.2334,-3396.8121,-3423.7390,-5354.8910,4439.8964,-2609.8875,4535.2957,1715.8686,-4983.6424,-82966.2894,-84419.3080,-84760.1735,-79950.8805,-79321.3156,-89702.4445,-91907.5921,-85455.8269,56570135.6422,56551048.5432,56593041.9266,56576414.5210,-84385.6383,56582316.1213,
3600.000,3577.9066,2982.5492,-1737.8325,6115.5857,-4120.9259,5668.6138,-4836.4091,6664.5111,4915.4701,4083.8516,-6469.0779,2576.3435,1309.7776,-3235.3501,4689.1823,-3754.7508,3348.6283,-5689.5208,-5265.2709,-2456.9840,-344812.2959,-370928.0686,-351056.9250,-352969.5434,-352268.2840,-352703.2369,-359629.7437,-355789.2066,-165375972.6111,-165404124.0984,-165396517.1058,-165389067.6888,-356645.9003,-165392529.4314,5490.8876,-3988.7856,-3717.9550,-3238.4019,5062.4561,2047.4450,4466.0186,-1756.2917,4367.5608,4054.3214,1578.8580,-3618.0079,3854.7765,-3907.1371,-3085.0059,4200.5144,-5741.5065,-961.8717,1149.7866,-6246.7063,131926.2774,151313.9409,134853.4763,133913.3231,142773.1545,140247.6177,138174.6864,138232.0242,-109916709.8536,-109902460.3543,-109897086.1167,-109927584.2330,137265.8986,-109920498.2621,1468.1149,4640.3385,5472.4414,116.0977,1950.5691,-3430.4718,-1919.3002,-710.5462,1287.7977,-3831.7467,-1860.7948,5320.9385,5328.1366,4722.8227,3775.4649,-3851.4618,-1844.6769,-3651.5496,-4363.8802,1653.4896,-84903.2934,-86141.7746,-85088.2202,-83614.7612,-79730.2546,-88270.7405,-94736.3594,-84618.4652,56537177.7640,56516822.1711,56555953.0166,56548201.4961,-85908.3737,56548531.1879,
7200.000,-4679.2971,883.5546,5605.2688,-4078.7716,370.0351,-6927.2190,1275.6211,-4292.7704,-4353.1453,-6090.7734,3594.0255,1752.2700,-5725.9451,6017.9884,-3920.3436,1542.7959,-236.2605,6506.8281,2920.5080,3678.8555,-368156.7566,-396395.3468,-374832.6848,-378209.4417,-375346.7301,-377233.3811,-381615.8814,-379809.9680,-131205825.6175,-131236178.5014,-131235162.6760,-131215639.3367,-379489.9014,-131223371.3972,-3306.6982,6094.0225,1673.7087,3993.4461,-4386.6629,263.5600,-4331.6159,-682.1746,-330.9037,-3252.4333,-3040.9099,1983.2703,-2504.9125,1297.2723,5445.0923,-6636.7892,4654.4779,-2067.5677,-4541.8485,5197.6226,42572.0180,53701.6738,39677.0751,40435.2023,48909.5434,45035.1056,44579.9824,42337.1177,-148993040.0560,-148984079.9333,-148974428.1470,-148998367.5522,43257.1912,-148996736.0836,3498.1046,-2921.9001,-3563.4066,3906.1728,-5208.7636,37.9888,5148.4342,5381.0219,-5090.4635,-295.0517,5053.1670,-6419.3200,-2456.6389,-3206.0354,889.8875,353.7470,5074.9825,29.2440,4334.4547,2690.1317,-86861.5966,-87855.0348,-85628.7058,-88051.8469,-80612.2803,-86102.8244,-96870.5205,-88899.7570,56504964.9432,56482920.0618,56518604.6220,56520954.0198,-87423.7490,56514756.0395,
10800.000,3724.6986,-3683.6417,-6787.2337,-31.0260,4242.4446,5548.9281,3360.7645,-1121.4758,2380.4835,5393.2566,523.4763,-5689.1898,6158.0455,-6852.4868,521.2243,1312.3322,-3845.9817,-4142.0948,-481.0752,-4065.0352,-369143.5135,-396503.7351,-374630.6745,-380682.0750,-374115.4706,-379029.9993,-379575.3446,-378012.7675,-88085298.9543,-88115861.0339,-88122401.5787,-88098990.8968,-377984.4155,-88103806.8622,-1693.4514,-5638.1203,131.3971,-4165.8094,2849.8359,-2435.5403,3599.9196,656.9255,-4680.1484,929.1593,4659.1527,-1496.3698,289.7019,1062.8200,-4703.9565,5765.6916,-2743.3739,4053.1778,6707.7024,-1581.3708,-50277.3850,-47064.3464,-58029.0318,-52870.6295,-47759.4325,-55939.5368,-51307.8676,-52582.3878,-177871416.4494,-177867658.3717,-177857468.1116,-177870211.0736,-53420.0630,-177875558.7687,-5333.9347,-1044.2271,-913.1723,-5531.2497,4501.1027,3355.3148,-4772.6874,-6806.9797,4154.4787,4212.0492,-5083.9885,3665.3455,-2662.1704,-256.4902,-4844.8863,3392.6362,-5029.6668,3597.6508,-1680.9682,-5370.2815,-88835.7969,-89557.3112,-86642.7746,-90234.1683,-81952.5363,-87577.0816,-98351.1382,-87318.8958,56473396.0194,56449389.7848,56481136.3541,56490626.7654,-88931.6403,56480990.6958,
14400.000,-2067.8475,4875.2468,4472.5403,4073.1352,-6692.4687,-2253.9941,-6282.5237,5129.1866,-221.3535,-3196.1163,-3666.4271,6653.0014,-2746.0317,5113.6311,4085.3118,-4395.6983,6602.1240,-293.2827,-1745.7113,4266.8036,-347565.4625,-371294.7344,-350398.3428,-356406.0414,-348627.9000,-354078.9167,-353779.9114,-351916.9629,-38964734.6123,-38993690.9867,-39007115.0039,-38986060.1429,-352255.2115,-38983914.4826,5944.1733,2231.1085,-2139.3366,4175.8125,-1224.2151,4547.1811,-2545.8168,2268.0942,6670.0620,2734.9619,-5542.4491,1534.1272,2970.9421,-3060.3947,2463.4455,-2460.8322,1031.6306,-5078.0321,-6398.4320,-2779.7968,-141430.1369,-144475.4289,-152002.4133,-143396.5505,-141031.0525,-150976.4666,-143501.0772,-146959.3809,-194583350.0297,-194583982.5784,-194576898.1161,-194580021.8898,-146564.0910,-194588393.8675,2340.9765,4195.2216,4713.9145,3716.7542,-405.1442,-4727.8313,1015.8229,4057.4356,607.7965,-5487.1007,1895.9259,1236.0234,5347.5062,3542.0317,4793.4989,-4605.3165,1697.1661,-4557.3218,-2019.7818,4669.5496,-90805.4941,-91246.6724,-88262.6468,-89206.5848,-83761.0145,-92875.1192,-99182.1351,-92132.1338,56442328.7672,56416289.0578,56443672.5918,56457255.9311,-90431.9247,56447235.1760,
18000.000,-143.3999,-4801.0169,-369.2106,-5989.1927,5420.7113,-1336.5901,5904.2636,-4769.4613,-2331.6544,1012.1088,4748.6934,-4295.3295,-1393.5511,-1600.3911,-6714.1276,6284.1257,-6307.2878,4317.1445,3798.8371,-3970.0829,-304224.8417,-322458.3924,-303643.4238,-308785.0727,-300521.2248,-305372.3443,-305906.2561,-304407.8300,12796944.8238,12770954.4936,12752739.5787,12768571.4693,-303981.5055,12777570.6925,-6128.5377,2471.5855,4480.7578,-3448.1485,-971.3074,-5991.6195,527.2618,-4889.6421,-4024.6007,-5994.3964,4373.4009,-339.6379,-5730.8074,4832.3541,-288.0240,-1236.7915,611.8922,4848.5002,3681.0229,5563.0306,-226318.8278,-232246.2539,-236162.5427,-226044.0960,-224959.4435,-234750.8455,-226314.9928,-230090.9162,-197992576.3228,-197996149.9669,-197995103.3489,-197992563.9056,-230207.8145,-197998774.0740,2739.3865,-4160.4077,-5169.0471,377.8352,-4022.5596,3210.4617,3434.0372,1127.4019,-4830.7418,3278.8196,2464.6255,-5442.4014,-3212.0221,-4720.7733,-819.2528,2344.6418,2715.2093,2105.6878,4467.2196,-1064.3641,-92662.2762,-92920.9242,-90456.1510,-88493.7767,-86076.0159,-97365.7086,-99331.5540,-90172.1234,56411589.1081,56383688.4360,56406329.1938,56421490.2133,-91924.4799,56413489.4997,
21600.000,3194.1867,3457.4103,-2983.8533,5347.0112,-1657.3931,3829.9099,-3089.5367,1336.8764,4838.2835,636.2170,-4367.9631,730.9631,3712.3714,-2031.6090,5268.2154,-5442.8023,3270.1162,-5934.1959,-5509.9799,2167.6216,-237217.2438,-253222.8875,-237376.7041,-241525.7645,-232904.6251,-237235.6118,-238876.3593,-236002.9627,63661950.1487,63639586.3189,63619671.4042,63630666.4099,-236286.0255,63642922.0463,2473.5738,-5795.8155,-5857.1553,1089.4108,3829.9132,5771.9722,2720.3682,3763.1679,-815.4125,6810.3580,-848.6018,-2620.7047,5278.4453,-5886.9946,-1808.1223,3757.6009,-2813.0030,-2780.7294,57.3926,-5718.8754,-301235.1696,-304725.8226,-305034.5630,-294567.6359,-294279.4180,-302909.8502,-294709.5156,-298589.9131,-187872281.6861,-187876916.0993,-187883642.4378,-187879272.9465,-299001.3451,-187879616.6836,-5373.1279,935.0486,1914.8587,-4262.0849,5379.4883,239.0851,-5485.6796,-5664.7410,4554.8386,981.5107,-5294.1788,6370.7331,-1854.7968,3049.7072,-3852.6123,1661.5953,-5385.6278,1899.8824,-4209.3450,-3232.0595,-93401.8294,-94577.4592,-93035.3134,-88344.4928,-88975.1674,-100931.5263,-98725.3248,-95127.6135,56380982.3853,56351674.3693,56369219.3162,56383957.4106,-93409.1848,56379753.6863,
25200.000,-5646.5220,-635.4167,4295.8387,-3304.1200,-1910.9438,-4943.4420,-44.7183,1240.3387,-5287.7303,-2320.2977,3580.8109,1578.9238,-4090.2556,4385.9983,-896.8929,1754.7689,493.5963,5025.5315,6002.8274,1290.8515,-148914.9758,-168143.4281,-155922.4652,-159058.5128,-150195.8326,-154428.7320,-156531.3694,-153597.4437,110155434.6602,110136502.2695,110118409.6929,110127302.4027,-153532.6039,110137214.1141,1819.7227,6086.3537,4601.5123,2603.5469,-5968.8114,-3309.6153,-5792.9605,1085.2899,4117.3758,-4566.3112,-3477.9429,5760.6169,-997.8672,5357.2000,4060.6999,-4882.6183,5160.9724,-1049.1272,-3179.5824,4002.9067,-351219.4232,-357266.6507,-354152.8469,-344200.1441,-344863.7786,-351541.8319,-344624.7550,-349158.2620,-164920144.6197,-164923850.0999,-164938589.5078,-164934131.8432,-348554.2795,-164928335.4154,3142.8713,2986.8908,2685.0576,5487.2531,-2683.5356,-3565.4319,3657.1017,6717.0417,-82.2275,-4643.7541,4773.2733,-3539.9391,5219.1759,431.6214,5331.8126,-4435.4328,4538.8157,-4504.6268,1367.3216,5480.3318,-93481.3776,-96213.0341,-95706.7019,-88707.6385,-92593.1961,-103714.1014,-97247.4149,-93196.3481,56350305.9715,56320351.8530,56332458.7539,56345408.7384,-94885.9191,56346027.7552,
28800.000,5021.9459,-3190.7318,-4189.0923,1305.5664,3732.4996,5038.5100,2110.2127,-556.6118,2046.0857,4310.1277,-2666.2270,-1993.2017,3525.3390,-5212.2574,-3171.1635,2882.2631,-3045.0716,-2717.3911,-4445.7013,-5040.5787,-53173.4558,-72804.5257,-64605.7942,-66714.4820,-58228.3509,-62358.3846,-62831.3502,-61483.0834,149102868.2916,149086309.3599,149073346.6700,149083201.4552,-61044.4473,149085717.3568,-4034.8270,-3836.3859,-600.3532,-5924.6083,5317.2714,-657.1486,6480.4250,-5821.6380,-4539.9114,666.1224,6252.1932,-6487.3189,-4199.6251,-2740.5674,-5460.0815,4821.9009,-6142.2722,5019.0358,4794.4814,-1954.8403,-375012.6994,-386527.7730,-380387.3074,-371596.7683,-374424.2194,-377847.4777,-373467.7162,-374876.0327,-130710205.5119,-130711286.1075,-130732704.3180,-130726232.6740,-375715.8861,-130718779.5485,1897.7501,-4644.8931,-5388.1001,-3336.9579,-2071.1029,4704.7384,726.5208,-3713.3797,-4491.1044,5352.0853,-1266.7189,-1439.9314,-3878.1117,-3676.4790,-2445.8779,3863.1895,-763.9910,3737.4110,2287.3093,-4317.0924,-94113.6205,-97823.4129,-98150.0327,-89543.1311,-96983.4944,-105801.3580,-95032.7973,-97886.8609,56319362.3928,56289844.1338,56296171.1551,56307249.5552,-96354.5636,56312311.7258,
