sl_20_86400_20260121 Coordinates.csv
2026/01/21 07:47:00.0000 UTC

Generated: Tue Oct  8 17:00:29 2024,
Start: 2026/01/21 07:47:00.00, Stop: 2026/01/22 07:47:00.00,
TIME_UNITS,STARLINK-1316 - X-Coordinate,STARLINK-1542 - X-Coordinate,STARLINK-30363 - X-Coordinate,STARLINK-3138 - X-Coordinate,STARLINK-5039 - X-Coordinate,STARLINK-1422 - X-Coordinate,STARLINK-30107 - X-Coordinate,STARLINK-1883 - X-Coordinate,STARLINK-11125 [DTC] - X-Coordinate,STARLINK-11079 [DTC] - X-Coordinate,STARLINK-30975 - X-Coordinate,STARLINK-5431 - X-Coordinate,STARLINK-4104 - X-Coordinate,STARLINK-31576 - X-Coordinate,STARLINK-1162 - X-Coordinate,STARLINK-5683 - X-Coordinate,STARLINK-30596 - X-Coordinate,STARLINK-30615 - X-Coordinate,STARLINK-4694 - X-Coordinate,STARLINK-30267 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1316 - Y-Coordinate,STARLINK-1542 - Y-Coordinate,STARLINK-30363 - Y-Coordinate,STARLINK-3138 - Y-Coordinate,STARLINK-5039 - Y-Coordinate,STARLINK-1422 - Y-Coordinate,STARLINK-30107 - Y-Coordinate,STARLINK-1883 - Y-Coordinate,STARLINK-11125 [DTC] - Y-Coordinate,STARLINK-11079 [DTC] - Y-Coordinate,STARLINK-30975 - Y-Coordinate,STARLINK-5431 - Y-Coordinate,STARLINK-4104 - Y-Coordinate,STARLINK-31576 - Y-Coordinate,STARLINK-1162 - Y-Coordinate,STARLINK-5683 - Y-Coordinate,STARLINK-30596 - Y-Coordinate,STARLINK-30615 - Y-Coordinate,STARLINK-4694 - Y-Coordinate,STARLINK-30267 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1316 - Z-Coordinate,STARLINK-1542 - Z-Coordinate,STARLINK-30363 - Z-Coordinate,STARLINK-3138 - Z-Coordinate,STARLINK-5039 - Z-Coordinate,STARLINK-1422 - Z-Coordinate,STARLINK-30107 - Z-Coordinate,STARLINK-1883 - Z-Coordinate,STARLINK-11125 [DTC] - Z-Coordinate,STARLINK-11079 [DTC] - Z-Coordinate,STARLINK-30975 - Z-Coordinate,STARLINK-5431 - Z-Coordinate,STARLINK-4104 - Z-Coordinate,STARLINK-31576 - Z-Coordinate,STARLINK-1162 - Z-Coordinate,STARLINK-5683 - Z-Coordinate,STARLINK-30596 - Z-Coordinate,STARLINK-30615 - Z-Coordinate,STARLINK-4694 - Z-Coordinate,STARLINK-30267 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1359.3857,610.5699,6845.7028,-6434.3966,6213.5593,-2864.4842,-4466.1131,-920.9477,-3751.2446,-3682.0851,-4597.2123,-6309.4831,3470.5328,4126.7408,-1375.1155,716.4340,1794.2518,-4186.5000,-6570.3498,-1432.5090,50402.1287,20604.6498,36528.6376,40065.4698,31724.8803,34789.1496,33764.1875,35143.5758,-149642570.8925,-149706704.7609,-149670822.1380,-149669518.2024,35791.3815,-149659874.3144,-6305.6639,-5963.6573,172.9180,565.3233,-2849.4415,4522.7289,-2518.9768,-5583.6334,-2540.1030,-2769.9228,-2188.4227,-410.4551,5579.7789,3648.8363,-4194.8501,-5074.0076,5033.5837,3485.3331,2118.9273,-4176.4531,372800.0648,366696.9339,382918.2978,380622.8038,382375.3449,381618.6958,373192.4978,375227.5662,297399055.9568,297396531.0962,297403187.3005,297411556.6799,376920.1036,297406618.2639,2410.7135,-3424.8403,1007.1509,2457.3360,1162.3119,4349.1068,4658.5070,3809.0386,4978.6253,4901.9722,-4705.0545,-2804.1481,-2156.2702,4020.1136,5205.9757,-4669.1130,-4302.1587,-4297.9496,332.9765,5204.6935,-76809.7890,-79607.4184,-81817.1647,-75470.0613,-76112.6844,-86755.1639,-87754.3824,-80949.2400,-130858462.9977,-130868809.8442,-130886163.1816,-130860259.2140,-80718.4388,-130866259.3862,
3600.000,274.0199,2457.8478,-5119.1425,6294.2824,-4669.5424,-1454.6987,6360.2968,3677.1023,6643.4049,4245.5471,6141.9713,6622.3036,-4688.0871,-4047.6434,4976.6613,2945.4897,-4445.0517,2541.5431,4790.3876,5167.1223,-43925.3345,-73078.7417,-57918.6660,-55874.8046,-64428.0411,-61648.6919,-61596.2100,-59931.4479,-221553843.3457,-221613165.1341,-221575233.7926,-221583416.1112,-60028.3472,-221570267.7814,6574.9621,3364.0469,2338.4504,-2129.8115,4493.5010,-3993.1968,-605.4599,1901.7349,135.5663,-2493.4062,-1274.9228,-1225.2697,-4557.8971,1041.2307,1068.2556,5655.5974,-5211.9917,-6256.5390,-3233.5282,3989.2585,374807.4330,360309.3707,379792.3162,376936.5887,379440.8167,378809.7935,371123.0653,375719.7751,248510330.2538,248495646.8760,248510871.4382,248516233.3150,374023.8669,248517308.9018,2033.4496,5490.5576,-4038.2662,1901.8914,2458.3730,-5446.9316,-2702.0281,-5434.0026,-1126.4111,-4600.0665,2933.5637,-1571.4691,-2253.4743,-5400.2629,-4565.7894,2701.2790,170.5799,1571.8511,3781.0155,-2028.5665,-75097.0534,-78169.2149,-79065.7229,-75830.0742,-73167.0596,-82447.5462,-87685.1139,-78659.2884,-130816507.7720,-130831411.6432,-130846595.5046,-130824176.5679,-79123.3017,-130826453.4723,
7200.000,-2426.9769,-5577.6514,1853.7869,-3269.2976,1136.9051,5248.6741,-6215.6649,-5863.8393,-5251.5759,-3557.1230,-5847.9837,-3970.9061,4375.5929,3519.0415,-6671.5440,-5052.5909,4766.6797,-364.5386,-756.8238,-5879.1217,-136324.7648,-162086.6341,-148794.9161,-148537.7043,-156682.2295,-153632.8740,-153676.1323,-151660.2560,-278354923.5208,-278406330.5715,-278368696.7906,-278381511.4173,-152099.5221,-278370361.2183,-3866.2502,-460.9057,-4865.0630,3347.7200,-5057.5090,3294.6545,2940.1550,1768.6071,1988.3855,5711.9216,3662.5154,2764.3059,1159.2966,-5163.6732,1368.8708,-4652.2042,2792.6290,6601.3489,4074.0471,-2249.3726,353185.1863,330491.6729,352177.6295,348438.2969,352301.5093,350621.7940,345236.6655,345546.1199,182666680.1806,182641858.8759,182667453.7135,182666273.0472,347140.5302,182673603.6765,-5166.6819,-4044.5556,4553.4091,-5096.7053,-4612.9601,3033.2164,-909.5060,3006.6530,-3727.9590,244.0746,614.0480,4927.9309,5214.4037,2731.9472,555.2896,900.5144,4048.2547,2082.2132,-5538.3372,-2663.3117,-73433.2862,-76732.9605,-76322.7149,-77103.3688,-70706.3867,-77247.4252,-86900.2797,-78304.0911,-130775154.7764,-130793947.1890,-130805894.5602,-130788598.3715,-77521.1674,-130786605.6834,
10800.000,4858.0970,6717.8518,1340.0046,-972.0898,2918.8830,-6467.3713,3660.7087,5502.5150,653.5441,631.3410,3227.1726,-68.7438,-3661.0319,-1959.6702,4862.6179,5421.7589,-3836.4688,-2467.7367,-3309.4803,3989.9176,-220886.7466,-240695.1971,-230181.5563,-234353.4750,-239113.7912,-233301.1045,-236594.5381,-235329.5287,-316170310.8457,-316211537.4477,-316177674.9980,-316189833.8378,-234510.8656,-316184929.8411,47.4424,-1577.6699,6404.0822,-4589.9677,4876.9488,-2033.6026,-4360.1713,-3694.7923,-4078.2590,-5134.0135,-4811.4377,-4546.1291,3195.9046,6237.3674,-2875.9856,1698.5111,1651.0017,-4671.7204,-4737.3158,-1338.1780,308960.9635,279198.2979,301829.9306,296167.0813,302811.6261,297323.9577,296927.2881,299162.1375,104358638.8756,104326476.4175,104363422.6060,104355846.6652,297968.1624,104366019.3123,4874.6090,-35.1497,-2269.1552,5067.8773,3963.7728,1296.5649,3949.0425,1627.7924,5314.6392,4303.3323,-3806.9571,-5214.6852,-4923.5634,1951.3217,3834.9491,-3972.1019,-5442.2887,-4498.9941,3781.9696,5373.4673,-71812.2729,-75296.7042,-73894.0289,-77741.6038,-68715.3831,-73735.7169,-85452.3374,-74911.3352,-130734501.5075,-130756405.2390,-130763877.2274,-130752516.5830,-75912.1729,-130746716.0357,
14400.000,-6152.0792,-4773.8859,-3547.7849,4134.3960,-5673.6404,4914.2674,313.3288,-1944.4488,3604.4635,3771.9565,815.9070,3293.2197,2794.0797,-1242.8429,-462.9054,-4631.8224,2643.0064,5263.1071,5371.8926,-1408.5381,-292088.1910,-303861.2981,-296793.2059,-305533.5623,-306432.2032,-298468.3578,-304920.8580,-300882.9576,-332419403.6390,-332449184.6533,-332423415.5889,-332431310.5295,-301964.2204,-332433603.4916,2774.1275,2873.2374,-5770.0815,5214.5168,-3876.8358,-542.7779,5168.3959,4133.0949,5213.8050,2274.0216,5060.1793,5662.8011,-6138.0933,-4243.2206,4118.2088,2312.6869,-5573.8462,1682.7189,4336.4623,5236.8453,244648.9224,209748.9800,232027.9778,226535.5622,234199.8591,226764.9608,229087.3572,228851.8059,18927289.9030,18891018.3113,18938764.8595,18928213.4799,229637.6682,18935488.6287,-1398.6941,4061.8186,-1440.2901,-1884.8179,-937.9285,-4824.9562,-4618.6099,-5079.4123,-2292.7143,-5099.4472,4651.9406,2201.4209,1511.5662,-5203.1654,-5439.3701,4594.4377,2973.4839,4180.8580,331.7499,-4163.7906,-70229.4617,-73858.8063,-71999.4780,-73983.4206,-67202.7599,-75706.3319,-83354.7354,-75544.3476,-130694597.4351,-130718774.6929,-130720397.7921,-130714771.6193,-74296.4558,-130706784.5454,
18000.000,4769.5222,679.4788,4705.3627,-5104.3820,6196.0763,-2083.7288,-3903.1897,-2888.1495,-5022.8558,-6561.6379,-4458.2062,-4543.2286,-1149.5362,4941.8773,-3721.6254,3259.3092,-1077.4600,-6719.5620,-5105.1743,-672.4465,-345167.9915,-347540.5645,-344351.1592,-355118.5611,-354300.0200,-346053.3277,-354057.2006,-351143.1654,-325992638.2214,-326010738.4923,-325997507.7369,-326001404.9567,-350115.6389,-326006945.0724,-3948.0673,-4123.8222,2783.8380,-3933.6034,1605.0220,3972.3872,-5163.6673,-3962.6249,-3555.9165,539.0204,-4587.2064,-4735.5285,6201.5935,1152.4693,-4854.9530,-5616.0239,6585.8163,1055.8229,-1886.9611,-6798.1997,164118.5847,126612.8164,147324.2574,142868.2448,150881.0236,143835.5636,145955.3438,146753.5876,-67800047.2430,-67837114.4057,-67781324.4605,-67790085.4007,146513.4793,-67790914.4483,-3028.8578,-5497.4612,4237.0933,-2513.4124,-2677.3293,5237.2214,2479.3852,4740.0280,-2747.6130,1405.2047,-2668.2984,2166.3533,2820.9136,4552.4175,3036.6283,-2422.8603,1563.0356,-1356.2938,-4267.2372,-125.9533,-68681.4711,-72417.8229,-70713.9276,-69946.0716,-66205.0657,-77373.7077,-80585.2974,-71261.4348,-130655440.7999,-130681044.3995,-130675446.8753,-130673631.6559,-72674.1547,-130666811.2286,
21600.000,-863.7961,3222.3895,-5151.9356,4399.3341,-4817.5182,-340.9946,5694.9305,5960.4939,3941.3541,5175.0087,6179.1437,4358.5529,-1782.2085,-6689.9967,5406.0890,-1232.7741,-1544.0119,5760.4178,3617.6141,2409.6699,-376460.3968,-368940.6869,-369854.3788,-381293.4274,-379576.6360,-372119.4718,-380549.9804,-374946.5072,-297327273.6187,-297334398.5543,-297337009.1537,-297341345.3994,-375855.5959,-297342202.0750,4135.1116,5081.2675,1346.4588,469.6202,1769.5626,-6496.1738,3785.8382,3204.6145,-948.0424,-2503.3286,2984.0963,1345.5323,-3929.3925,1248.9059,3871.7810,6703.6255,-4400.9028,-3100.6470,-2117.7516,4726.9136,72369.5012,35120.2086,53201.5595,49824.8843,58173.0452,51903.6543,52891.9142,54066.0787,-149907335.7806,-149942119.8761,-149883535.5824,-149890192.0556,53914.6924,-149897429.1698,5432.2099,3368.9252,-4430.0504,5302.3735,4653.4019,-2320.5272,1139.6296,-907.2386,5373.2696,3499.6073,-969.2535,-5201.6860,-5407.9842,-528.4774,1566.7174,-1253.3216,-5029.1488,-2311.0183,5484.7872,4297.0760,-67165.7819,-70972.4174,-69947.2688,-66439.1932,-65797.7024,-78081.8056,-77081.5351,-72619.0452,-130616978.7279,-130643202.9678,-130629322.5846,-130627474.7407,-71045.4093,-130626796.1015,
25200.000,-3535.5040,-5066.3733,4703.6913,-3269.8489,2634.7941,1960.7273,-5554.7877,-5707.4353,-2066.1274,-422.5351,-5655.6473,-3750.2006,5066.0012,4825.6724,-4590.5390,-1541.5879,4674.3577,-2569.2147,-2118.0887,-4256.1797,-383662.7973,-366694.2049,-371733.3122,-382908.3463,-380440.6430,-374602.9225,-382288.9990,-377960.6745,-248377640.8568,-248375260.5136,-248394316.8629,-248398697.1083,-377510.2143,-248393558.8969,-4082.9486,-4596.4995,-4721.7696,3772.7912,-5146.3013,6275.5910,-745.3800,-963.1756,5478.9129,4065.1377,-52.6731,3029.1270,1064.2552,-2825.7320,-450.5538,-5329.0857,887.6804,4538.8990,5712.9356,-379.7650,-24775.4659,-58878.6812,-44311.9264,-46648.3008,-38084.4642,-43780.9359,-43866.7093,-42685.6577,-221793417.9654,-221823318.9570,-221768986.6328,-221780636.4789,-42225.5210,-221783131.9464,-4284.9936,904.0649,1865.6833,-4789.9456,-3835.5420,-2113.6756,-4090.2001,-3626.2865,-3339.4321,-5357.1037,3991.8032,4945.1050,4571.6825,-3916.1243,-5047.9660,4140.3042,4921.0412,4559.8729,-3271.1144,-5337.5416,-65680.5382,-69521.2860,-69468.6050,-63453.8595,-66117.9817,-77972.4302,-72733.7973,-67761.1103,-130579110.6561,-130605238.5717,-130582775.6180,-130580632.3942,-69410.3600,-130586739.1804,
28800.000,5991.0448,4806.0412,-2876.5175,2117.5074,-369.5283,-3306.3497,4204.1256,3083.1509,-15.5170,-4076.4183,3765.9335,2998.6427,-6778.2341,-374.9230,2750.3960,4595.1813,-6456.6661,-1397.5787,641.1860,5380.9465,-366018.2956,-340940.2076,-349900.1987,-360091.8913,-356262.9761,-353040.0066,-358424.4621,-354828.3946,-182481881.4169,-182472008.2195,-182504501.1189,-182502262.5522,-354950.4504,-182498913.7232,3388.8309,1789.0427,6021.4062,-6461.4577,6891.1093,-3157.3096,-3101.7908,-2713.8022,-6540.2783,-4736.7926,-3579.4723,-6020.6485,1037.8100,4124.0300,-3991.0138,2567.2804,1861.5171,-5440.8909,-6805.1573,-3424.8361,-121039.5740,-149387.0403,-139024.6733,-140345.0976,-132184.5120,-137309.0201,-137288.5301,-135180.1764,-278554145.1226,-278577196.0554,-278533989.4371,-278550206.9261,-135740.4102,-278544005.0138,289.7841,-4623.9542,1833.3270,1245.0464,680.6251,5162.6469,4549.7523,5442.6463,-1623.9643,2499.2894,-4589.6267,-1608.0233,-887.8000,5414.0287,4806.9310,-4511.1941,-1371.1914,-4072.7931,-1035.0215,2440.4456,-64224.4157,-68063.0853,-68968.1691,-60954.3055,-67352.3137,-77148.3433,-67494.4593,-69491.5324,-130541694.8462,-130567138.7423,-130536859.6591,-130538734.4417,-67769.1480,-130546640.4815,
