sl_20_5400_20260329 Coordinates.csv
2026/03/29 07:47:00.0000 UTC

Generated: Tue Oct  8 14:47:27 2024,
Start: 2026/03/29 07:47:00.00, Stop: 2026/03/29 09:17:00.00,
TIME_UNITS,STARLINK-4535 - X-Coordinate,STARLINK-2131 - X-Coordinate,STARLINK-30932 - X-Coordinate,STARLINK-31913 - X-Coordinate,STARLINK-5961 - X-Coordinate,STARLINK-11163 [DTC] - X-Coordinate,STARLINK-1280 - X-Coordinate,STARLINK-30862 - X-Coordinate,STARLINK-3234 - X-Coordinate,STARLINK-31212 - X-Coordinate,STARLINK-4766 - X-Coordinate,STARLINK-3088 - X-Coordinate,STARLINK-4716 - X-Coordinate,STARLINK-2374 - X-Coordinate,STARLINK-3355 - X-Coordinate,STARLINK-5632 - X-Coordinate,STARLINK-11093 [DTC] - X-Coordinate,STARLINK-4216 - X-Coordinate,STARLINK-6277 - X-Coordinate,STARLINK-31438 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4535 - Y-Coordinate,STARLINK-2131 - Y-Coordinate,STARLINK-30932 - Y-Coordinate,STARLINK-31913 - Y-Coordinate,STARLINK-5961 - Y-Coordinate,STARLINK-11163 [DTC] - Y-Coordinate,STARLINK-1280 - Y-Coordinate,STARLINK-30862 - Y-Coordinate,STARLINK-3234 - Y-Coordinate,STARLINK-31212 - Y-Coordinate,STARLINK-4766 - Y-Coordinate,STARLINK-3088 - Y-Coordinate,STARLINK-4716 - Y-Coordinate,STARLINK-2374 - Y-Coordinate,STARLINK-3355 - Y-Coordinate,STARLINK-5632 - Y-Coordinate,STARLINK-11093 [DTC] - Y-Coordinate,STARLINK-4216 - Y-Coordinate,STARLINK-6277 - Y-Coordinate,STARLINK-31438 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4535 - Z-Coordinate,STARLINK-2131 - Z-Coordinate,STARLINK-30932 - Z-Coordinate,STARLINK-31913 - Z-Coordinate,STARLINK-5961 - Z-Coordinate,STARLINK-11163 [DTC] - Z-Coordinate,STARLINK-1280 - Z-Coordinate,STARLINK-30862 - Z-Coordinate,STARLINK-3234 - Z-Coordinate,STARLINK-31212 - Z-Coordinate,STARLINK-4766 - Z-Coordinate,STARLINK-3088 - Z-Coordinate,STARLINK-4716 - Z-Coordinate,STARLINK-2374 - Z-Coordinate,STARLINK-3355 - Z-Coordinate,STARLINK-5632 - Z-Coordinate,STARLINK-11093 [DTC] - Z-Coordinate,STARLINK-4216 - Z-Coordinate,STARLINK-6277 - Z-Coordinate,STARLINK-31438 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3262.0820,5617.9137,-3363.0761,4257.2006,5433.3002,4733.4317,-4708.9544,6261.0767,-5646.4323,4200.0977,-2448.5749,-1678.0116,-2226.8662,-4422.4229,-4926.9303,1185.0571,5054.7523,-2510.0785,3183.3363,3470.8888,348841.4745,345268.1620,334378.6908,337722.7647,332643.5281,334553.7018,341852.1256,340336.9760,-226324353.2251,-226325204.8342,-226320317.3345,-226336362.1261,339313.8657,-226328116.0924,-4555.6409,-935.5047,6015.5466,-2616.7430,2473.3449,1014.3626,-160.5302,2781.9253,-1965.2653,3631.9610,6169.5020,2956.2977,5050.8843,-983.0213,-4421.3055,-6279.8430,-2587.3134,5742.7243,-3974.6929,3617.9230,-132325.7333,-151498.5098,-139017.6614,-137081.7632,-143966.7152,-141594.0928,-145886.9272,-142851.6205,257560545.8187,257578272.7233,257591095.4090,257576510.5516,-142551.2352,257579606.2883,4037.0791,3899.7085,773.8154,-4644.1343,3515.4106,-4669.1071,-5057.2255,-413.0839,-3481.5076,-4028.6725,1940.6998,6048.1655,-4175.8339,5172.0723,-2007.2450,-2729.4985,3615.3889,2899.5929,4699.5418,4631.9080,102300.3370,100243.8198,97662.2877,103672.3843,103322.4318,92725.3870,91449.3546,97147.3662,-27112933.9840,-27097273.2694,-27114352.0989,-27111182.0580,98604.0855,-27119252.2035,
300.000,2388.2210,4240.6773,-1803.4175,3005.7514,6456.1823,5715.7532,-3792.3434,6476.1553,-5083.0383,5671.2109,-1350.3656,-1025.2703,-314.4559,-5318.4584,-5157.8590,272.2708,4882.3493,-854.9297,1481.7441,4760.4655,351591.2855,348430.8213,337411.3375,340739.4041,335595.2465,337473.9348,344794.5859,343006.3056,-231893346.6191,-231894295.0968,-231889897.9122,-231905484.1087,342287.8000,-231897184.1053,-5940.1970,-2259.2316,6309.7754,-4360.6491,1004.5881,-581.9519,1762.7911,1231.1744,-241.4625,2391.8312,6782.5147,4760.7040,4637.0873,802.2528,-2918.5563,-5298.7002,-4154.4765,5357.8345,-5235.4327,1870.5999,-124805.5699,-144390.2709,-131735.9233,-129933.4235,-136812.7331,-134449.4589,-138640.3729,-135318.4681,252557931.5509,252575341.0874,252588663.4696,252573287.5958,-135372.9812,252577050.5805,2594.3921,4953.3422,2236.3303,-4299.4779,2309.0769,-3495.2843,-5503.2222,-1916.0902,-4687.7601,-3028.5067,157.8173,4944.1299,-5129.2820,4285.5918,-3569.3979,-4490.5420,2062.1847,4268.9777,4292.1673,4520.8039,102197.7395,100125.5264,97634.4502,103415.6712,103329.4374,92801.5113,91177.0105,96838.6872,-27106622.8274,-27090561.3350,-27107299.9977,-27104781.9159,98483.5681,-27112715.1980,
600.000,1305.3716,2461.7499,-51.8413,1486.6698,6857.8092,6101.1034,-2551.4310,6053.0054,-4054.0324,6579.2314,-119.5781,-332.7583,1658.5354,-5712.0505,-4910.1901,-723.4502,4202.2654,919.9002,-332.5607,5601.2087,354177.5413,351445.4539,340294.6055,343606.3945,338397.9830,340246.5665,347581.5353,345454.6875,-237351795.0361,-237352826.1230,-237348946.1326,-237364020.4726,345109.8757,-237355709.7435,-6729.4282,-3409.2017,6005.7228,-5679.6126,-539.9276,-2080.6053,3544.8961,-458.9823,1542.9917,941.4951,6720.1455,6091.2907,3814.4375,2472.0999,-1103.4990,-3801.4923,-5258.5650,4472.2878,-6016.9373,-37.9074,-117229.8190,-137212.9392,-124394.6434,-122724.1423,-129597.1681,-127245.5017,-131332.2919,-127742.2247,247434938.5644,247452027.0774,247465818.9279,247449688.1028,-128132.6237,247454113.3362,871.0662,5470.8766,3459.4580,-3472.8096,855.2494,-1912.3045,-5356.8504,-3207.8656,-5390.3576,-1693.9526,-1642.1052,3313.8323,-5532.6413,2930.1147,-4747.4822,-5775.6338,268.2388,5176.4787,3425.6477,3904.0424,102094.5457,100006.6282,97608.1642,103153.7426,103332.7535,92883.5038,90910.0659,96654.4396,-27100314.4095,-27083856.9758,-27100254.3957,-27098399.0820,98362.9854,-27106178.1766,
900.000,102.1004,462.4579,1730.8333,-152.7171,6595.9591,5835.8757,-1108.7012,5041.4678,-2668.5427,6829.9506,1141.3017,350.1612,3498.0578,-5551.5967,-4221.0225,-1716.5358,3070.9656,2643.5526,-2089.6008,5902.4835,356599.1845,354310.5720,343027.2222,346322.5474,341050.3040,342870.7055,350211.7752,347709.9680,-242697096.9929,-242698196.2589,-242694858.6090,-242709370.4472,347778.7944,-242701091.3999,-6845.7805,-4275.5822,5140.6609,-6434.5286,-2023.9459,-3334.1846,5006.6559,-2130.3838,3215.8299,-586.8360,5993.3387,6807.6081,2669.2029,3868.0221,849.8519,-1948.5089,-5792.8296,3183.0427,-6237.2288,-1917.2050,-109602.0548,-129969.6992,-116997.0693,-115457.3059,-122323.1384,-119985.2657,-123966.1497,-120154.2192,242194009.0039,242210773.3973,242225003.4088,242208156.8041,-120833.3753,242213236.5906,-946.4966,5396.5602,4312.3176,-2256.3753,-690.2362,-105.0842,-4633.6935,-4146.4456,-5514.3815,-172.1341,-3265.1641,1330.5443,-5342.9902,1253.8200,-5415.4629,-6449.9344,-1557.0389,5524.2581,2192.5795,2850.5251,101990.7645,99887.1476,97583.2503,102886.4891,103332.4069,92971.4466,90648.4513,96601.4860,-27094008.6271,-27077160.0515,-27093215.8759,-27092032.6796,98242.3377,-27099641.1391,
1200.000,-1121.9822,-1556.7230,3377.7639,-1756.1409,5693.5667,4936.7470,399.0217,3548.5342,-1065.8058,6395.4570,2324.9477,979.8273,5019.8211,-4839.7193,-3166.2045,-2614.2911,1594.1097,4145.7883,-3627.8660,5625.3196,358855.2350,357024.7539,345607.9807,348886.7519,343550.8505,345345.5501,352684.1803,349805.1894,-247926704.9451,-247927857.8126,-247925085.8653,-247938987.3319,350293.3259,-247930781.4020,-6280.3770,-4770.5490,3804.3917,-6542.1201,-3318.2682,-4224.2508,5996.9737,-3623.9397,4611.3248,-2054.6575,4679.7621,6832.5025,1313.3280,4862.3997,2750.7845,67.4588,-5713.6435,1622.6975,-5866.7915,-3582.8880,-101925.8696,-122663.7628,-109546.4709,-108136.3484,-114993.7938,-112671.8033,-116545.4253,-112581.5292,236837641.2200,236854078.9584,236868714.8646,236851194.5286,-113478.4759,236856918.5901,-2661.7846,4738.4385,4703.7487,-786.3717,-2161.8477,1714.4432,-3411.0577,-4629.0305,-5046.6111,1368.7134,-4537.0342,-794.4997,-4580.4606,-559.7771,-5502.0985,-6443.1171,-3200.9218,5274.9065,724.8740,1478.0241,101886.4044,99767.1056,97559.5262,102613.7972,103328.4234,93065.4225,90392.1005,96676.4974,-27087705.3755,-27070470.4226,-27086185.0008,-27085681.8636,98121.6250,-27093104.0857,
1500.000,-2264.1672,-3396.2855,4731.7211,-3173.1177,4236.5850,3490.6748,1833.2347,1726.6109,598.6969,5317.5947,3328.0153,1520.1147,6067.5866,-3634.7085,-1851.7981,-3325.2580,-83.3851,5273.7634,-4809.2775,4787.6254,360944.7900,359586.6457,348035.7403,351297.9762,345898.3382,347670.3913,354997.6991,351775.6782,-253038126.5009,-253039318.2671,-253037133.5587,-253050379.6996,352652.3084,-253042287.2253,-5093.4718,-4837.2213,2129.5980,-5984.6737,-4311.8676,-4672.5632,6408.6031,-4794.5388,5586.4667,-3329.5879,2914.8714,6160.9349,-126.2893,5370.2837,4410.3235,2041.1390,-5043.3430,-54.2987,-4932.5830,-4874.7387,-94204.8725,-115298.3680,-102046.1391,-100764.7528,-107612.3136,-105308.1722,-109073.6106,-105044.6485,231368388.5787,231384497.6873,231399506.3837,231381357.0122,-106071.1912,231387712.6020,-4089.7865,3567.5053,4591.9501,772.0906,-3402.3127,3332.4989,-1820.1569,-4602.9227,-4036.8478,2757.9806,-5321.6484,-2835.0507,-3326.2496,-2312.1475,-4998.1320,-5756.0560,-4472.5349,4455.3020,-820.3943,-59.8893,101781.4733,99646.5218,97536.8073,102335.5488,103320.8281,93165.5142,90140.9499,96865.6375,-27081404.5492,-27063787.9509,-27079162.3096,-27079345.8190,98000.8473,-27086567.0163,
1800.000,-3226.9248,-4877.4845,5660.0840,-4273.0656,2365.3738,1646.5017,3066.2921,-242.1318,2168.0382,3703.9352,4059.7472,1943.2431,6529.4204,-2045.9452,-403.5151,-3768.3565,-1791.7628,5907.6749,-5531.6382,3463.7058,362867.0246,361994.9608,350309.4268,353555.2688,348091.5574,349844.6162,357151.3541,353655.5687,-258028925.6091,-258030141.4681,-258028563.6767,-258041112.5756,354854.6491,-258033172.6819,-3407.4551,-4456.3793,278.4811,-4813.0321,-4921.0722,-4647.6010,6190.3105,-5524.8486,6035.6654,-4297.2053,877.3798,4860.6013,-1519.3442,5356.3994,5659.7643,3775.2987,-3865.5407,-1686.8946,-3516.4191,-5672.2918,-86442.6874,-107876.7784,-94499.3845,-93346.0529,-100181.9054,-97897.4321,-101554.2090,-97555.6948,225788858.2438,225804637.3080,225819984.9732,225801253.6814,-98614.8110,225808225.6972,-5077.0590,2010.2768,3988.8499,2243.6066,-4279.4872,4559.0483,-32.4542,-4071.0169,-2592.9386,3841.8170,-5535.3634,-4574.5642,-1714.4284,-3811.8559,-3957.2269,-4460.6755,-5224.9382,3153.8162,-2277.9992,-1591.1214,101675.9793,99525.4148,97514.9071,102051.6216,103309.6451,93271.8029,89894.9392,97145.2735,-27075106.0412,-27057112.4991,-27072148.3172,-27073023.7599,97880.0048,-27080029.9309,
2100.000,-3925.7757,-5859.9989,6067.9220,-4957.3141,260.7610,-400.8047,3992.7320,-2163.7770,3498.4719,1716.7175,4449.7797,2229.6929,6350.2172,-223.7407,1045.0031,-3882.1222,-3353.5548,5973.8260,-5737.2654,1777.8193,364621.1918,364248.4814,352428.0327,355657.7598,350129.3734,351867.7118,359144.2420,355474.1667,-262896723.7201,-262897948.7842,-262896995.7060,-262908808.5901,356899.3251,-262901059.0813,-1393.5837,-3650.0835,-1572.9855,-3142.1357,-5096.0722,-4165.7648,5353.7033,-5736.9522,5902.5862,-4871.1035,-1229.0024,3064.3293,-2743.6901,4836.6825,6367.8500,5100.2230,-2314.1282,-3122.8698,-1747.7271,-5906.0402,-78642.9515,-100402.2813,-86909.5358,-85883.8355,-92705.8034,-90442.6419,-93990.7351,-90117.4698,220101709.9337,220117158.0986,220132810.3152,220113546.4113,-91112.6481,220121117.5075,-5517.9371,235.3038,2958.8654,3462.4804,-4700.2395,5250.3198,1758.7374,-3091.4799,-869.7344,4500.3008,-5155.4270,-5829.4601,81.9828,-4895.6531,-2490.6008,-2692.9971,-5371.5683,1511.0385,-3492.4458,-2944.5391,101569.9299,99403.8021,97493.6373,101761.8893,103294.8974,93384.3672,89654.0107,97483.7873,-27068809.7437,-27050443.9317,-27065143.5123,-27066714.9270,97759.0976,-27073492.8297,
2400.000,-4296.2211,-6255.5795,5907.9592,-5167.7120,-1873.5774,-2431.1642,4538.2250,-3851.5366,4472.6505,-443.8415,4454.7240,2367.5364,5538.7848,1655.1388,2364.2431,-3633.0535,-4601.6569,5453.5754,-5417.0202,-107.6225,366206.6230,366346.0590,354390.6174,357604.6623,352010.7257,353739.2697,360975.5341,357252.6700,-267639200.9188,-267640420.2402,-267640107.7747,-267651149.1040,358785.3832,-267643626.3644,745.7378,-2481.4162,-3251.8086,-1139.5037,-4824.4344,-3287.5806,3973.4659,-5400.8406,5187.6045,-5000.2765,-3195.7291,955.6004,-3695.9541,3874.5558,6454.9974,5890.5712,-557.8064,-4233.1136,208.5439,-5563.0734,-70809.3136,-92878.1871,-79279.9389,-78381.7433,-85187.2668,-82946.8558,-86386.7132,-82723.5837,214309654.6541,214324771.6229,214340693.4969,214320948.2580,-83568.0365,214329098.9576,-5365.3644,-1565.1702,1612.1446,4291.5956,-4620.0083,5325.4696,3359.4448,-1771.6515,947.2588,4660.6486,-4222.2503,-6468.1410,1869.5325,-5446.0289,-755.6160,-639.5926,-4895.6159,-295.2927,-4334.5961,-3969.2453,101463.3325,99281.7003,97472.8082,101466.2225,103276.6071,93503.2814,89418.1096,97844.3607,-27062515.5478,-27043782.1144,-27058148.3557,-27060418.5866,97638.1257,-27066955.7126,
