sl_100_5400_20261006 Coordinates.csv
2026/10/06 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:41 2024,
Start: 2026/10/06 07:47:00.00, Stop: 2026/10/06 09:17:00.00,
TIME_UNITS,STARLINK-30172 - X-Coordinate,STARLINK-31550 - X-Coordinate,STARLINK-11263 [DTC] - X-Coordinate,STARLINK-31665 - X-Coordinate,STARLINK-1048 - X-Coordinate,STARLINK-4273 - X-Coordinate,STARLINK-5965 - X-Coordinate,STARLINK-5933 - X-Coordinate,STARLINK-31924 - X-Coordinate,STARLINK-31975 - X-Coordinate,STARLINK-1547 - X-Coordinate,STARLINK-4552 - X-Coordinate,STARLINK-4767 - X-Coordinate,STARLINK-31780 - X-Coordinate,STARLINK-30581 - X-Coordinate,STARLINK-32026 - X-Coordinate,STARLINK-2590 - X-Coordinate,STARLINK-1350 - X-Coordinate,STARLINK-30984 - X-Coordinate,STARLINK-11155 [DTC] - X-Coordinate,STARLINK-5555 - X-Coordinate,STARLINK-31164 - X-Coordinate,STARLINK-3246 - X-Coordinate,STARLINK-4350 - X-Coordinate,STARLINK-5499 - X-Coordinate,STARLINK-1826 - X-Coordinate,STARLINK-5913 - X-Coordinate,STARLINK-31392 - X-Coordinate,STARLINK-4304 - X-Coordinate,STARLINK-5232 - X-Coordinate,STARLINK-31099 - X-Coordinate,STARLINK-3300 - X-Coordinate,STARLINK-4371 - X-Coordinate,STARLINK-31980 - X-Coordinate,STARLINK-31794 - X-Coordinate,STARLINK-2006 - X-Coordinate,STARLINK-31043 - X-Coordinate,STARLINK-31408 - X-Coordinate,STARLINK-3507 - X-Coordinate,STARLINK-31721 - X-Coordinate,STARLINK-3802 - X-Coordinate,STARLINK-3609 - X-Coordinate,STARLINK-30294 - X-Coordinate,STARLINK-5838 - X-Coordinate,STARLINK-5836 - X-Coordinate,STARLINK-4772 - X-Coordinate,STARLINK-31701 - X-Coordinate,STARLINK-5525 - X-Coordinate,STARLINK-11136 [DTC] - X-Coordinate,STARLINK-2513 - X-Coordinate,STARLINK-4797 - X-Coordinate,STARLINK-4749 - X-Coordinate,STARLINK-31949 - X-Coordinate,STARLINK-3626 - X-Coordinate,STARLINK-3763 - X-Coordinate,STARLINK-4424 - X-Coordinate,STARLINK-1304 - X-Coordinate,STARLINK-11130 [DTC] - X-Coordinate,STARLINK-2481 - X-Coordinate,STARLINK-2145 - X-Coordinate,STARLINK-30879 - X-Coordinate,STARLINK-30469 - X-Coordinate,STARLINK-5420 - X-Coordinate,STARLINK-6031 - X-Coordinate,STARLINK-31451 - X-Coordinate,STARLINK-1975 - X-Coordinate,STARLINK-2521 - X-Coordinate,STARLINK-30452 - X-Coordinate,STARLINK-3682 - X-Coordinate,STARLINK-31300 - X-Coordinate,STARLINK-32155 - X-Coordinate,STARLINK-11246 [DTC] - X-Coordinate,STARLINK-5988 - X-Coordinate,STARLINK-30501 - X-Coordinate,STARLINK-4795 - X-Coordinate,STARLINK-4072 - X-Coordinate,STARLINK-30777 - X-Coordinate,STARLINK-31973 - X-Coordinate,STARLINK-30311 - X-Coordinate,STARLINK-5646 - X-Coordinate,STARLINK-2561 - X-Coordinate,STARLINK-1066 - X-Coordinate,STARLINK-4355 - X-Coordinate,STARLINK-30140 - X-Coordinate,STARLINK-2038 - X-Coordinate,STARLINK-1372 - X-Coordinate,STARLINK-6162 - X-Coordinate,STARLINK-3668 - X-Coordinate,STARLINK-3919 - X-Coordinate,STARLINK-32114 - X-Coordinate,STARLINK-6230 - X-Coordinate,STARLINK-1295 - X-Coordinate,STARLINK-2024 - X-Coordinate,STARLINK-4265 - X-Coordinate,STARLINK-3138 - X-Coordinate,STARLINK-6137 - X-Coordinate,STARLINK-30205 - X-Coordinate,STARLINK-3928 - X-Coordinate,STARLINK-5894 - X-Coordinate,STARLINK-5466 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30172 - Y-Coordinate,STARLINK-31550 - Y-Coordinate,STARLINK-11263 [DTC] - Y-Coordinate,STARLINK-31665 - Y-Coordinate,STARLINK-1048 - Y-Coordinate,STARLINK-4273 - Y-Coordinate,STARLINK-5965 - Y-Coordinate,STARLINK-5933 - Y-Coordinate,STARLINK-31924 - Y-Coordinate,STARLINK-31975 - Y-Coordinate,STARLINK-1547 - Y-Coordinate,STARLINK-4552 - Y-Coordinate,STARLINK-4767 - Y-Coordinate,STARLINK-31780 - Y-Coordinate,STARLINK-30581 - Y-Coordinate,STARLINK-32026 - Y-Coordinate,STARLINK-2590 - Y-Coordinate,STARLINK-1350 - Y-Coordinate,STARLINK-30984 - Y-Coordinate,STARLINK-11155 [DTC] - Y-Coordinate,STARLINK-5555 - Y-Coordinate,STARLINK-31164 - Y-Coordinate,STARLINK-3246 - Y-Coordinate,STARLINK-4350 - Y-Coordinate,STARLINK-5499 - Y-Coordinate,STARLINK-1826 - Y-Coordinate,STARLINK-5913 - Y-Coordinate,STARLINK-31392 - Y-Coordinate,STARLINK-4304 - Y-Coordinate,STARLINK-5232 - Y-Coordinate,STARLINK-31099 - Y-Coordinate,STARLINK-3300 - Y-Coordinate,STARLINK-4371 - Y-Coordinate,STARLINK-31980 - Y-Coordinate,STARLINK-31794 - Y-Coordinate,STARLINK-2006 - Y-Coordinate,STARLINK-31043 - Y-Coordinate,STARLINK-31408 - Y-Coordinate,STARLINK-3507 - Y-Coordinate,STARLINK-31721 - Y-Coordinate,STARLINK-3802 - Y-Coordinate,STARLINK-3609 - Y-Coordinate,STARLINK-30294 - Y-Coordinate,STARLINK-5838 - Y-Coordinate,STARLINK-5836 - Y-Coordinate,STARLINK-4772 - Y-Coordinate,STARLINK-31701 - Y-Coordinate,STARLINK-5525 - Y-Coordinate,STARLINK-11136 [DTC] - Y-Coordinate,STARLINK-2513 - Y-Coordinate,STARLINK-4797 - Y-Coordinate,STARLINK-4749 - Y-Coordinate,STARLINK-31949 - Y-Coordinate,STARLINK-3626 - Y-Coordinate,STARLINK-3763 - Y-Coordinate,STARLINK-4424 - Y-Coordinate,STARLINK-1304 - Y-Coordinate,STARLINK-11130 [DTC] - Y-Coordinate,STARLINK-2481 - Y-Coordinate,STARLINK-2145 - Y-Coordinate,STARLINK-30879 - Y-Coordinate,STARLINK-30469 - Y-Coordinate,STARLINK-5420 - Y-Coordinate,STARLINK-6031 - Y-Coordinate,STARLINK-31451 - Y-Coordinate,STARLINK-1975 - Y-Coordinate,STARLINK-2521 - Y-Coordinate,STARLINK-30452 - Y-Coordinate,STARLINK-3682 - Y-Coordinate,STARLINK-31300 - Y-Coordinate,STARLINK-32155 - Y-Coordinate,STARLINK-11246 [DTC] - Y-Coordinate,STARLINK-5988 - Y-Coordinate,STARLINK-30501 - Y-Coordinate,STARLINK-4795 - Y-Coordinate,STARLINK-4072 - Y-Coordinate,STARLINK-30777 - Y-Coordinate,STARLINK-31973 - Y-Coordinate,STARLINK-30311 - Y-Coordinate,STARLINK-5646 - Y-Coordinate,STARLINK-2561 - Y-Coordinate,STARLINK-1066 - Y-Coordinate,STARLINK-4355 - Y-Coordinate,STARLINK-30140 - Y-Coordinate,STARLINK-2038 - Y-Coordinate,STARLINK-1372 - Y-Coordinate,STARLINK-6162 - Y-Coordinate,STARLINK-3668 - Y-Coordinate,STARLINK-3919 - Y-Coordinate,STARLINK-32114 - Y-Coordinate,STARLINK-6230 - Y-Coordinate,STARLINK-1295 - Y-Coordinate,STARLINK-2024 - Y-Coordinate,STARLINK-4265 - Y-Coordinate,STARLINK-3138 - Y-Coordinate,STARLINK-6137 - Y-Coordinate,STARLINK-30205 - Y-Coordinate,STARLINK-3928 - Y-Coordinate,STARLINK-5894 - Y-Coordinate,STARLINK-5466 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30172 - Z-Coordinate,STARLINK-31550 - Z-Coordinate,STARLINK-11263 [DTC] - Z-Coordinate,STARLINK-31665 - Z-Coordinate,STARLINK-1048 - Z-Coordinate,STARLINK-4273 - Z-Coordinate,STARLINK-5965 - Z-Coordinate,STARLINK-5933 - Z-Coordinate,STARLINK-31924 - Z-Coordinate,STARLINK-31975 - Z-Coordinate,STARLINK-1547 - Z-Coordinate,STARLINK-4552 - Z-Coordinate,STARLINK-4767 - Z-Coordinate,STARLINK-31780 - Z-Coordinate,STARLINK-30581 - Z-Coordinate,STARLINK-32026 - Z-Coordinate,STARLINK-2590 - Z-Coordinate,STARLINK-1350 - Z-Coordinate,STARLINK-30984 - Z-Coordinate,STARLINK-11155 [DTC] - Z-Coordinate,STARLINK-5555 - Z-Coordinate,STARLINK-31164 - Z-Coordinate,STARLINK-3246 - Z-Coordinate,STARLINK-4350 - Z-Coordinate,STARLINK-5499 - Z-Coordinate,STARLINK-1826 - Z-Coordinate,STARLINK-5913 - Z-Coordinate,STARLINK-31392 - Z-Coordinate,STARLINK-4304 - Z-Coordinate,STARLINK-5232 - Z-Coordinate,STARLINK-31099 - Z-Coordinate,STARLINK-3300 - Z-Coordinate,STARLINK-4371 - Z-Coordinate,STARLINK-31980 - Z-Coordinate,STARLINK-31794 - Z-Coordinate,STARLINK-2006 - Z-Coordinate,STARLINK-31043 - Z-Coordinate,STARLINK-31408 - Z-Coordinate,STARLINK-3507 - Z-Coordinate,STARLINK-31721 - Z-Coordinate,STARLINK-3802 - Z-Coordinate,STARLINK-3609 - Z-Coordinate,STARLINK-30294 - Z-Coordinate,STARLINK-5838 - Z-Coordinate,STARLINK-5836 - Z-Coordinate,STARLINK-4772 - Z-Coordinate,STARLINK-31701 - Z-Coordinate,STARLINK-5525 - Z-Coordinate,STARLINK-11136 [DTC] - Z-Coordinate,STARLINK-2513 - Z-Coordinate,STARLINK-4797 - Z-Coordinate,STARLINK-4749 - Z-Coordinate,STARLINK-31949 - Z-Coordinate,STARLINK-3626 - Z-Coordinate,STARLINK-3763 - Z-Coordinate,STARLINK-4424 - Z-Coordinate,STARLINK-1304 - Z-Coordinate,STARLINK-11130 [DTC] - Z-Coordinate,STARLINK-2481 - Z-Coordinate,STARLINK-2145 - Z-Coordinate,STARLINK-30879 - Z-Coordinate,STARLINK-30469 - Z-Coordinate,STARLINK-5420 - Z-Coordinate,STARLINK-6031 - Z-Coordinate,STARLINK-31451 - Z-Coordinate,STARLINK-1975 - Z-Coordinate,STARLINK-2521 - Z-Coordinate,STARLINK-30452 - Z-Coordinate,STARLINK-3682 - Z-Coordinate,STARLINK-31300 - Z-Coordinate,STARLINK-32155 - Z-Coordinate,STARLINK-11246 [DTC] - Z-Coordinate,STARLINK-5988 - Z-Coordinate,STARLINK-30501 - Z-Coordinate,STARLINK-4795 - Z-Coordinate,STARLINK-4072 - Z-Coordinate,STARLINK-30777 - Z-Coordinate,STARLINK-31973 - Z-Coordinate,STARLINK-30311 - Z-Coordinate,STARLINK-5646 - Z-Coordinate,STARLINK-2561 - Z-Coordinate,STARLINK-1066 - Z-Coordinate,STARLINK-4355 - Z-Coordinate,STARLINK-30140 - Z-Coordinate,STARLINK-2038 - Z-Coordinate,STARLINK-1372 - Z-Coordinate,STARLINK-6162 - Z-Coordinate,STARLINK-3668 - Z-Coordinate,STARLINK-3919 - Z-Coordinate,STARLINK-32114 - Z-Coordinate,STARLINK-6230 - Z-Coordinate,STARLINK-1295 - Z-Coordinate,STARLINK-2024 - Z-Coordinate,STARLINK-4265 - Z-Coordinate,STARLINK-3138 - Z-Coordinate,STARLINK-6137 - Z-Coordinate,STARLINK-30205 - Z-Coordinate,STARLINK-3928 - Z-Coordinate,STARLINK-5894 - Z-Coordinate,STARLINK-5466 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3131.2801,0.0000,1010.2550,4510.0427,-4213.1608,0.0000,3677.6839,-2604.1955,-1554.2076,5765.5759,3381.1184,3267.7799,-1586.7083,-6678.9279,-126.4694,4413.2989,-4236.6484,-2987.3857,-5164.6337,-3350.5588,-4829.7190,3063.0142,3118.0721,-4628.3852,-2295.0182,359.5138,-3671.9747,6726.5001,-773.7780,1665.6870,-1338.5138,6883.2676,5794.2045,4980.0965,2251.0419,6651.6946,681.2072,6326.3846,1472.7087,-3458.0212,4123.8663,-176.6868,5589.3507,-2966.5696,5499.4739,-2233.9708,0.0000,3971.6089,-6496.1669,-970.7000,-3565.5358,0.0000,-787.9531,-625.6093,6148.4799,-1612.1700,6278.0464,6290.8624,-6553.6083,-4156.9273,4004.1904,1259.5572,-4319.0548,-1541.9130,-4557.2735,6900.8807,-3899.6509,5751.4686,-2241.2195,-4049.0668,-3992.2255,5576.0138,-5185.1953,5086.5993,-4090.3934,-5231.1363,897.4309,3856.7729,-2908.4329,5884.0921,3683.9008,4391.3860,5566.7114,5038.3340,4491.6110,-2194.0172,1646.4018,-183.8066,-4888.3720,2221.8442,-1905.9164,1415.0627,282.2633,4324.1034,-164.7708,-5417.6331,-1241.1902,3399.1645,-287.7374,-131.1009,-361869.7553,-358683.2258,-349726.3553,-352169.3056,-347918.9363,-349436.4509,-357279.7029,-356136.6057,-228035522.7218,-228048229.5888,-228040093.9071,-228036822.4885,-354427.0371,-228045398.0530,-6059.9335,0.0000,-4593.6889,-2559.0257,-3107.7238,0.0000,-5806.8109,938.5387,-4956.5323,-2131.4197,5854.1447,-2667.0954,-6526.5356,-1101.0533,6301.0747,-3809.6934,915.7965,-5524.4534,4393.2108,2667.2821,1591.1485,4077.7229,-2924.0136,-2133.1318,637.2113,-4718.5618,1143.4259,528.4732,-6671.4911,-4107.3280,-4755.4053,538.5469,-2559.9514,1036.3635,-6163.9126,1220.3784,5574.4166,1057.9491,-5002.3447,-3664.8613,-288.1785,4515.3553,-2310.3080,6215.5599,3448.1672,4694.1699,0.0000,3825.6920,880.6163,6794.1492,2310.5818,0.0000,4991.1898,-4478.9628,779.9759,-154.1135,2215.8311,2023.9848,43.2570,-5379.6010,-5413.1317,-6762.9415,3976.7737,3865.8536,-3639.3367,55.1324,5004.8566,1076.5530,-3840.5807,1043.5193,-305.5950,-2045.8575,-2754.4531,3127.3382,-1076.0388,-4511.6204,-6653.8087,-5234.6939,-5006.8763,2614.3610,4491.5594,-1029.8011,3001.7896,4731.2125,-895.7880,-5415.4783,-6652.7675,-4251.9949,-4845.7156,-4946.0002,5021.2045,6596.5714,4142.5877,-1106.9455,-4957.7892,-40.8443,5800.7111,4974.0347,2691.6411,4810.9879,54163.6963,80438.6394,58752.2489,57342.8385,64841.6741,62593.8694,65548.8754,63083.8661,-17322746.9599,-17320962.2771,-17342018.4163,-17332964.2185,62679.3191,-17339576.9116,-1267.1441,0.0000,-4834.3054,4428.3093,4516.1636,0.0000,921.5311,6369.8209,4401.9098,2928.0369,-1189.1427,5472.1903,-1663.9048,274.0215,-2894.7185,-3622.6781,5127.5094,-2893.6685,1474.9681,-5173.3586,-4702.2362,4698.3209,5414.7824,-4716.6700,6518.5479,5038.0689,5787.3370,953.2344,1601.8594,5349.3169,-4859.9738,-408.2137,2835.2977,4578.9096,-1900.5997,-1354.2100,4052.4632,-2333.9140,-4520.2459,-4600.0412,5525.2031,5205.6237,-3395.4303,765.6371,2414.8857,4523.1124,0.0000,-4211.3019,1558.0593,760.4051,5442.7592,0.0000,-4595.3145,-5219.9024,-2337.0899,6735.5055,1809.7629,1272.1338,-2216.0256,-1152.8614,1201.6460,546.8853,3638.6055,5553.0077,3466.5904,361.6668,-2548.2461,3714.7651,-5284.1386,5405.2146,5318.5054,-3169.9673,3695.7614,3483.0705,5440.4533,-135.0829,-1655.8230,-2093.8297,3809.3709,2581.7100,3749.9720,-5266.6894,2844.5318,477.0740,5179.1161,-3660.9597,-1085.7974,-5457.8193,-638.6686,-4211.8321,-4387.7804,749.6344,5517.4866,5259.6108,4803.1628,-4329.8351,3561.4938,-3404.0830,6396.2796,4942.5103,106096.8316,103936.8283,102521.1403,107509.1643,107997.2486,97579.0403,95508.3546,102808.9651,83894471.4240,83924506.8412,83917522.9385,83908663.4078,102980.2562,83900522.1373,
300.000,1500.3462,0.0000,-1037.6512,3634.4890,-5711.5039,0.0000,2115.7886,-879.8721,-3554.4647,4349.6192,4126.5554,2065.5106,-2803.4835,-6595.8978,1569.2227,2593.9666,-4224.8484,-3708.9495,-4169.8652,-1448.3475,-4076.7156,4712.3971,1228.6289,-5498.8675,-1790.3332,-1594.3323,-1714.4251,6715.9187,-2004.1304,-11.8680,-2776.2323,6737.1031,4826.2835,5956.6334,804.2191,6202.7549,2592.4343,6749.3112,77.5559,-4981.2595,3819.8055,1740.9559,5215.3594,-1543.5281,6500.1852,-1022.8159,0.0000,5511.3799,-5566.3797,309.0047,-2618.9235,0.0000,1380.5928,-2610.4577,5361.5843,398.5208,5951.3000,6010.2418,-5670.4906,-4742.0198,2408.1783,-251.8635,-2495.4583,206.4977,-4986.5745,6661.9206,-3059.5439,5231.8046,-3555.8137,-3682.8031,-4097.9736,5532.8173,-5707.7269,5269.3411,-4077.9807,-5727.1392,-732.1653,2111.9835,-4074.7133,5799.9339,5176.0618,3118.5534,5836.2886,5740.9924,4608.1475,-3149.9121,38.7120,-2253.3038,-5377.9350,279.3134,221.1849,2499.6252,2417.9702,4271.9584,-1909.9181,-5677.9027,701.2572,3965.9604,1489.2276,1737.3780,-362970.0808,-360300.1736,-351078.5533,-353501.5340,-349183.6695,-350684.8211,-358514.6031,-357333.8509,-227599724.9413,-227612737.8108,-227603888.1547,-227601148.3909,-355709.9506,-227609510.3590,-6227.1754,0.0000,-3962.2401,-4418.7916,-2164.6792,0.0000,-6163.3504,2316.8829,-4505.4940,-3431.4900,4673.4239,-4397.2924,-6322.7590,141.9808,5484.4948,-4195.8886,2966.3064,-3989.3351,5548.0973,3778.8441,3572.5835,2755.2462,-4011.8383,-3132.2189,2752.2880,-3871.5123,1928.1900,-995.8311,-6606.6812,-2995.3472,-3239.8031,-672.4787,-1654.5120,-485.0027,-6771.1379,-122.5460,5651.3694,-500.9554,-6089.7768,-2191.9700,-2424.7228,5077.6113,-4032.5905,6711.8972,2188.0398,5992.0062,0.0000,2630.9733,2034.3503,6429.9337,4178.2776,0.0000,4869.2280,-4689.4000,-673.4402,-1236.5895,757.0496,616.9005,1332.3358,-4124.0726,-5839.5131,-6825.0348,4300.5279,2773.4051,-1662.6053,-1148.2574,6058.2348,-880.3986,-2121.6862,3128.2025,1875.3815,-3519.3225,-3596.7156,1145.4714,1106.3133,-3358.0167,-6190.4809,-5568.6172,-3332.2668,784.8980,4006.1340,-2769.0528,3689.1718,3337.0514,-2876.7730,-3819.6259,-6469.4730,-3583.2819,-3632.9936,-4551.2122,5075.3247,5795.3170,3836.0880,-3123.2588,-3810.6152,1924.7627,5316.4251,3269.0426,3769.7285,3818.7451,46348.6933,72939.6720,51184.5739,49899.7090,57389.4144,55161.8933,58015.5424,55426.5447,-22298540.2787,-22296430.0969,-22317266.4036,-22308170.1381,55203.2769,-22315339.8224,-2668.3673,0.0000,-5358.7011,3712.2066,3243.9071,0.0000,2367.4144,6487.2409,3666.3138,3954.7349,-2875.5313,4913.7864,134.8639,-1546.7640,-3945.5603,-4773.6767,4295.3878,-4261.5086,-52.0073,-5359.6711,-4311.1021,4276.8822,5475.7706,-2855.0985,6114.4478,5498.1635,6450.1167,-604.4558,-201.3698,6265.6482,-5461.5415,1401.1154,4699.5988,3338.9777,-392.7895,-3016.5634,3052.6848,-874.7689,-3244.0614,-4114.4791,5210.7785,4327.1229,-2153.2679,-780.4221,974.6607,3250.1021,0.0000,-3292.8939,3201.5428,2491.6182,4834.3640,0.0000,-4586.7971,-4346.3272,-3832.2246,6804.2240,3401.9078,2958.8631,-3734.9956,-2841.5283,2616.4644,-1000.4463,4791.2748,6355.8366,4287.4445,-1443.2395,-816.1710,4457.8047,-5527.5621,4833.4497,4900.6865,-1519.7597,1633.4367,4322.9856,5443.5060,-1920.3835,-2996.0659,-3348.2552,4507.0472,3720.6139,2235.2545,-5540.3544,677.7094,1968.9623,4278.7667,-4800.3566,-2511.7118,-5475.9976,-2385.1533,-5133.6537,-4721.6779,2492.5533,5208.1795,4427.2752,5430.4239,-3486.1202,4370.0819,-4634.7804,5641.1721,5474.8808,106010.3215,103804.5100,102503.1304,107244.9298,107993.8880,97670.7876,95251.7423,102218.7154,83891299.6007,83921512.0308,83914673.8891,83905479.3822,102862.6624,83897576.6622,
600.000,-295.1536,0.0000,-3001.9353,2425.3371,-6643.8703,0.0000,331.8795,880.3783,-5185.6638,2496.0684,4482.9513,708.7346,-3742.7492,-5816.3847,3145.4942,500.0186,-3802.9765,-4110.0730,-2771.7682,581.6217,-2969.1428,5925.0097,-752.8847,-5750.4576,-1183.5218,-3421.9975,391.5088,6018.3658,-3036.2088,-1742.1097,-3992.1185,5920.4791,3305.0770,6340.9469,-720.5195,5144.1206,4235.5789,6486.5130,-1291.3478,-6018.4733,3193.5698,3456.4381,4354.0823,36.3242,6867.4831,255.0444,0.0000,6524.2164,-4038.7465,1585.3016,-1464.2845,0.0000,3411.1817,-4315.1097,3987.1368,2409.5503,5048.7465,5094.8224,-4236.2038,-4879.7176,551.5197,-1748.1084,-409.9699,1985.6374,-4941.7033,5758.7136,-1912.3978,4240.6324,-4568.5153,-2993.2462,-3804.5672,4902.8354,-5596.8192,4977.2464,-3718.7556,-5666.6382,-2316.6854,135.6879,-4888.2345,5182.8062,6143.5163,1586.6492,5464.8827,5899.8661,4312.0135,-3844.5185,-1594.5898,-4118.6024,-5352.6587,-1719.9798,2332.2301,3349.5255,4314.8657,3841.1894,-3507.6991,-5417.2958,2600.5983,4191.7774,3069.2469,3469.6736,-363899.5705,-361760.1216,-352275.6990,-354679.0568,-350293.1746,-351780.9236,-359588.7123,-358235.7932,-227055372.7468,-227068707.0672,-227059153.4492,-227056954.4565,-356835.1608,-227065069.9155,-5809.3007,0.0000,-2962.9818,-5831.5128,-1043.2039,0.0000,-5938.0107,3527.6471,-3629.3220,-4418.4092,3005.5542,-5712.6415,-5489.1422,1387.7596,4158.0925,-4209.4449,4680.5620,-2052.3246,6167.0931,4536.3762,5214.4888,1203.2650,-4753.0193,-3824.3908,4601.3023,-2693.1901,2599.1590,-2424.2192,-5880.6305,-1642.6312,-1438.6616,-1832.4596,-628.3439,-1923.0845,-6690.1608,-1485.2901,5204.0513,-2000.4573,-6581.6439,-531.1024,-4321.0803,5171.6850,-5353.5916,6559.4589,724.5610,6696.7709,0.0000,1213.3215,3006.3758,5429.2798,5643.6723,0.0000,4299.2300,-4477.2584,-2092.4728,-2100.0416,-810.3067,-888.0623,2529.8879,-2439.2529,-5694.4721,-6217.4414,4248.2731,1465.3545,493.9768,-2253.4768,6483.0187,-2776.8812,-226.3959,4889.8647,3836.3196,-4598.6939,-4066.9221,-961.4680,3177.4521,-1853.4964,-5135.0094,-5366.1303,-1346.9976,-1143.1713,3145.6263,-4276.5626,3982.7260,1605.9088,-4554.0743,-1848.3219,-5671.5608,-2619.1551,-2041.1291,-3746.2099,4684.5353,4379.8968,3206.4898,-4814.0007,-2327.7391,3686.1177,4348.4292,1232.7897,4524.2989,2494.5446,38513.7616,65406.9920,43593.2369,42431.7229,49911.1153,47705.0375,50457.4610,47731.8978,-27263569.6325,-27261141.5985,-27281733.2426,-27272626.3589,47700.9331,-27280335.3136,-3784.7902,0.0000,-5262.7327,2579.3920,1622.1367,0.0000,3559.9127,5917.1932,2517.2946,4535.0401,-4245.2536,3825.5925,1919.0620,-3190.3030,-4575.2333,-5399.7078,2959.2794,-5170.7092,-1573.4485,-4917.5949,-3457.9550,3398.7964,4943.9241,-689.3834,5060.7896,5366.1872,6430.0447,-2094.0694,-1982.8192,6517.8203,-5479.8505,3059.1598,6062.8374,1728.2568,1158.9844,-4351.4144,1725.4374,682.5620,-1616.0257,-3167.7084,4332.5840,2978.6620,-680.8499,-2242.8499,-570.2114,1623.4372,0.0000,-2023.1008,4471.9270,3952.6727,3703.7145,0.0000,-4066.1707,-3003.0424,-4859.5015,6146.9457,4624.5152,4299.3953,-4852.3704,-4221.4631,3739.4028,-2439.2455,5426.1551,6482.9859,4619.5339,-3092.2701,1007.0256,4723.9389,-5174.6198,3723.2427,3893.2840,308.1142,-603.1811,4696.7196,4855.2988,-3498.1904,-4013.4871,-4228.6677,4722.6066,4462.1222,479.5617,-5223.4353,-1561.5855,3249.4309,2917.7381,-5418.9970,-3669.6455,-4907.0581,-3874.3524,-5491.6181,-4551.8867,3951.2000,4336.5185,3115.1797,5470.9895,-2269.9582,4708.7103,-5367.8857,4287.8959,5414.2760,105922.9101,103672.0525,102485.7332,106975.4974,107986.8768,97768.5358,95000.3664,101680.0429,83888130.5722,83918513.9800,83911813.6859,83902283.0968,102744.9969,83894631.1435,
