sl_100_86400_20250122 Coordinates.csv
2025/01/22 07:47:00.0000 UTC

Generated: Tue Oct  8 16:21:43 2024,
Start: 2025/01/22 07:47:00.00, Stop: 2025/01/23 07:47:00.00,
TIME_UNITS,STARLINK-2147 - X-Coordinate,STARLINK-2461 - X-Coordinate,STARLINK-31601 - X-Coordinate,STARLINK-11187 [DTC] - X-Coordinate,STARLINK-1978 - X-Coordinate,STARLINK-5876 - X-Coordinate,STARLINK-3909 - X-Coordinate,STARLINK-5268 - X-Coordinate,STARLINK-2334 - X-Coordinate,STARLINK-30567 - X-Coordinate,STARLINK-30056 - X-Coordinate,STARLINK-4759 - X-Coordinate,STARLINK-2236 - X-Coordinate,STARLINK-1446 - X-Coordinate,STARLINK-30864 - X-Coordinate,STARLINK-30440 - X-Coordinate,STARLINK-3095 - X-Coordinate,STARLINK-3452 - X-Coordinate,STARLINK-3721 - X-Coordinate,STARLINK-30560 - X-Coordinate,STARLINK-2731 - X-Coordinate,STARLINK-31401 - X-Coordinate,STARLINK-5217 - X-Coordinate,STARLINK-6144 - X-Coordinate,STARLINK-6159 - X-Coordinate,STARLINK-2324 - X-Coordinate,STARLINK-31148 - X-Coordinate,STARLINK-6049 - X-Coordinate,STARLINK-30203 - X-Coordinate,STARLINK-30361 - X-Coordinate,STARLINK-4462 - X-Coordinate,STARLINK-11196 [DTC] - X-Coordinate,STARLINK-5218 - X-Coordinate,STARLINK-3182 - X-Coordinate,STARLINK-2635 - X-Coordinate,STARLINK-31774 - X-Coordinate,STARLINK-6204 - X-Coordinate,STARLINK-3976 - X-Coordinate,STARLINK-4414 - X-Coordinate,STARLINK-30879 - X-Coordinate,STARLINK-32164 - X-Coordinate,STARLINK-2636 - X-Coordinate,STARLINK-4724 - X-Coordinate,STARLINK-1700 - X-Coordinate,STARLINK-4489 - X-Coordinate,STARLINK-1286 - X-Coordinate,STARLINK-3234 - X-Coordinate,STARLINK-1307 - X-Coordinate,STARLINK-6093 - X-Coordinate,STARLINK-4091 - X-Coordinate,STARLINK-30900 - X-Coordinate,STARLINK-3239 - X-Coordinate,STARLINK-11205 [DTC] - X-Coordinate,STARLINK-31617 - X-Coordinate,STARLINK-31056 - X-Coordinate,STARLINK-2704 - X-Coordinate,STARLINK-4109 - X-Coordinate,STARLINK-3158 - X-Coordinate,STARLINK-6260 - X-Coordinate,STARLINK-31058 - X-Coordinate,STARLINK-4758 - X-Coordinate,STARLINK-3207 - X-Coordinate,STARLINK-31300 - X-Coordinate,STARLINK-6167 - X-Coordinate,STARLINK-3451 - X-Coordinate,STARLINK-4689 - X-Coordinate,STARLINK-1917 - X-Coordinate,STARLINK-4116 - X-Coordinate,STARLINK-2143 - X-Coordinate,STARLINK-6217 - X-Coordinate,STARLINK-4280 - X-Coordinate,STARLINK-5521 - X-Coordinate,STARLINK-3318 - X-Coordinate,STARLINK-30712 - X-Coordinate,STARLINK-3868 - X-Coordinate,STARLINK-30355 - X-Coordinate,STARLINK-31732 - X-Coordinate,STARLINK-30408 - X-Coordinate,STARLINK-1846 - X-Coordinate,STARLINK-1057 - X-Coordinate,STARLINK-4771 - X-Coordinate,STARLINK-1289 - X-Coordinate,STARLINK-1980 - X-Coordinate,STARLINK-31538 - X-Coordinate,STARLINK-32236 - X-Coordinate,STARLINK-31318 - X-Coordinate,STARLINK-5799 - X-Coordinate,STARLINK-5564 - X-Coordinate,STARLINK-32183 - X-Coordinate,STARLINK-5616 - X-Coordinate,STARLINK-32043 - X-Coordinate,STARLINK-3814 - X-Coordinate,STARLINK-31435 - X-Coordinate,STARLINK-4444 - X-Coordinate,STARLINK-3276 - X-Coordinate,STARLINK-31270 - X-Coordinate,STARLINK-6331 - X-Coordinate,STARLINK-1918 - X-Coordinate,STARLINK-30336 - X-Coordinate,STARLINK-5850 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2147 - Y-Coordinate,STARLINK-2461 - Y-Coordinate,STARLINK-31601 - Y-Coordinate,STARLINK-11187 [DTC] - Y-Coordinate,STARLINK-1978 - Y-Coordinate,STARLINK-5876 - Y-Coordinate,STARLINK-3909 - Y-Coordinate,STARLINK-5268 - Y-Coordinate,STARLINK-2334 - Y-Coordinate,STARLINK-30567 - Y-Coordinate,STARLINK-30056 - Y-Coordinate,STARLINK-4759 - Y-Coordinate,STARLINK-2236 - Y-Coordinate,STARLINK-1446 - Y-Coordinate,STARLINK-30864 - Y-Coordinate,STARLINK-30440 - Y-Coordinate,STARLINK-3095 - Y-Coordinate,STARLINK-3452 - Y-Coordinate,STARLINK-3721 - Y-Coordinate,STARLINK-30560 - Y-Coordinate,STARLINK-2731 - Y-Coordinate,STARLINK-31401 - Y-Coordinate,STARLINK-5217 - Y-Coordinate,STARLINK-6144 - Y-Coordinate,STARLINK-6159 - Y-Coordinate,STARLINK-2324 - Y-Coordinate,STARLINK-31148 - Y-Coordinate,STARLINK-6049 - Y-Coordinate,STARLINK-30203 - Y-Coordinate,STARLINK-30361 - Y-Coordinate,STARLINK-4462 - Y-Coordinate,STARLINK-11196 [DTC] - Y-Coordinate,STARLINK-5218 - Y-Coordinate,STARLINK-3182 - Y-Coordinate,STARLINK-2635 - Y-Coordinate,STARLINK-31774 - Y-Coordinate,STARLINK-6204 - Y-Coordinate,STARLINK-3976 - Y-Coordinate,STARLINK-4414 - Y-Coordinate,STARLINK-30879 - Y-Coordinate,STARLINK-32164 - Y-Coordinate,STARLINK-2636 - Y-Coordinate,STARLINK-4724 - Y-Coordinate,STARLINK-1700 - Y-Coordinate,STARLINK-4489 - Y-Coordinate,STARLINK-1286 - Y-Coordinate,STARLINK-3234 - Y-Coordinate,STARLINK-1307 - Y-Coordinate,STARLINK-6093 - Y-Coordinate,STARLINK-4091 - Y-Coordinate,STARLINK-30900 - Y-Coordinate,STARLINK-3239 - Y-Coordinate,STARLINK-11205 [DTC] - Y-Coordinate,STARLINK-31617 - Y-Coordinate,STARLINK-31056 - Y-Coordinate,STARLINK-2704 - Y-Coordinate,STARLINK-4109 - Y-Coordinate,STARLINK-3158 - Y-Coordinate,STARLINK-6260 - Y-Coordinate,STARLINK-31058 - Y-Coordinate,STARLINK-4758 - Y-Coordinate,STARLINK-3207 - Y-Coordinate,STARLINK-31300 - Y-Coordinate,STARLINK-6167 - Y-Coordinate,STARLINK-3451 - Y-Coordinate,STARLINK-4689 - Y-Coordinate,STARLINK-1917 - Y-Coordinate,STARLINK-4116 - Y-Coordinate,STARLINK-2143 - Y-Coordinate,STARLINK-6217 - Y-Coordinate,STARLINK-4280 - Y-Coordinate,STARLINK-5521 - Y-Coordinate,STARLINK-3318 - Y-Coordinate,STARLINK-30712 - Y-Coordinate,STARLINK-3868 - Y-Coordinate,STARLINK-30355 - Y-Coordinate,STARLINK-31732 - Y-Coordinate,STARLINK-30408 - Y-Coordinate,STARLINK-1846 - Y-Coordinate,STARLINK-1057 - Y-Coordinate,STARLINK-4771 - Y-Coordinate,STARLINK-1289 - Y-Coordinate,STARLINK-1980 - Y-Coordinate,STARLINK-31538 - Y-Coordinate,STARLINK-32236 - Y-Coordinate,STARLINK-31318 - Y-Coordinate,STARLINK-5799 - Y-Coordinate,STARLINK-5564 - Y-Coordinate,STARLINK-32183 - Y-Coordinate,STARLINK-5616 - Y-Coordinate,STARLINK-32043 - Y-Coordinate,STARLINK-3814 - Y-Coordinate,STARLINK-31435 - Y-Coordinate,STARLINK-4444 - Y-Coordinate,STARLINK-3276 - Y-Coordinate,STARLINK-31270 - Y-Coordinate,STARLINK-6331 - Y-Coordinate,STARLINK-1918 - Y-Coordinate,STARLINK-30336 - Y-Coordinate,STARLINK-5850 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2147 - Z-Coordinate,STARLINK-2461 - Z-Coordinate,STARLINK-31601 - Z-Coordinate,STARLINK-11187 [DTC] - Z-Coordinate,STARLINK-1978 - Z-Coordinate,STARLINK-5876 - Z-Coordinate,STARLINK-3909 - Z-Coordinate,STARLINK-5268 - Z-Coordinate,STARLINK-2334 - Z-Coordinate,STARLINK-30567 - Z-Coordinate,STARLINK-30056 - Z-Coordinate,STARLINK-4759 - Z-Coordinate,STARLINK-2236 - Z-Coordinate,STARLINK-1446 - Z-Coordinate,STARLINK-30864 - Z-Coordinate,STARLINK-30440 - Z-Coordinate,STARLINK-3095 - Z-Coordinate,STARLINK-3452 - Z-Coordinate,STARLINK-3721 - Z-Coordinate,STARLINK-30560 - Z-Coordinate,STARLINK-2731 - Z-Coordinate,STARLINK-31401 - Z-Coordinate,STARLINK-5217 - Z-Coordinate,STARLINK-6144 - Z-Coordinate,STARLINK-6159 - Z-Coordinate,STARLINK-2324 - Z-Coordinate,STARLINK-31148 - Z-Coordinate,STARLINK-6049 - Z-Coordinate,STARLINK-30203 - Z-Coordinate,STARLINK-30361 - Z-Coordinate,STARLINK-4462 - Z-Coordinate,STARLINK-11196 [DTC] - Z-Coordinate,STARLINK-5218 - Z-Coordinate,STARLINK-3182 - Z-Coordinate,STARLINK-2635 - Z-Coordinate,STARLINK-31774 - Z-Coordinate,STARLINK-6204 - Z-Coordinate,STARLINK-3976 - Z-Coordinate,STARLINK-4414 - Z-Coordinate,STARLINK-30879 - Z-Coordinate,STARLINK-32164 - Z-Coordinate,STARLINK-2636 - Z-Coordinate,STARLINK-4724 - Z-Coordinate,STARLINK-1700 - Z-Coordinate,STARLINK-4489 - Z-Coordinate,STARLINK-1286 - Z-Coordinate,STARLINK-3234 - Z-Coordinate,STARLINK-1307 - Z-Coordinate,STARLINK-6093 - Z-Coordinate,STARLINK-4091 - Z-Coordinate,STARLINK-30900 - Z-Coordinate,STARLINK-3239 - Z-Coordinate,STARLINK-11205 [DTC] - Z-Coordinate,STARLINK-31617 - Z-Coordinate,STARLINK-31056 - Z-Coordinate,STARLINK-2704 - Z-Coordinate,STARLINK-4109 - Z-Coordinate,STARLINK-3158 - Z-Coordinate,STARLINK-6260 - Z-Coordinate,STARLINK-31058 - Z-Coordinate,STARLINK-4758 - Z-Coordinate,STARLINK-3207 - Z-Coordinate,STARLINK-31300 - Z-Coordinate,STARLINK-6167 - Z-Coordinate,STARLINK-3451 - Z-Coordinate,STARLINK-4689 - Z-Coordinate,STARLINK-1917 - Z-Coordinate,STARLINK-4116 - Z-Coordinate,STARLINK-2143 - Z-Coordinate,STARLINK-6217 - Z-Coordinate,STARLINK-4280 - Z-Coordinate,STARLINK-5521 - Z-Coordinate,STARLINK-3318 - Z-Coordinate,STARLINK-30712 - Z-Coordinate,STARLINK-3868 - Z-Coordinate,STARLINK-30355 - Z-Coordinate,STARLINK-31732 - Z-Coordinate,STARLINK-30408 - Z-Coordinate,STARLINK-1846 - Z-Coordinate,STARLINK-1057 - Z-Coordinate,STARLINK-4771 - Z-Coordinate,STARLINK-1289 - Z-Coordinate,STARLINK-1980 - Z-Coordinate,STARLINK-31538 - Z-Coordinate,STARLINK-32236 - Z-Coordinate,STARLINK-31318 - Z-Coordinate,STARLINK-5799 - Z-Coordinate,STARLINK-5564 - Z-Coordinate,STARLINK-32183 - Z-Coordinate,STARLINK-5616 - Z-Coordinate,STARLINK-32043 - Z-Coordinate,STARLINK-3814 - Z-Coordinate,STARLINK-31435 - Z-Coordinate,STARLINK-4444 - Z-Coordinate,STARLINK-3276 - Z-Coordinate,STARLINK-31270 - Z-Coordinate,STARLINK-6331 - Z-Coordinate,STARLINK-1918 - Z-Coordinate,STARLINK-30336 - Z-Coordinate,STARLINK-5850 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4825.8732,-2687.4481,-6412.3546,-2889.5136,5222.6725,5632.0390,4374.6670,1284.3177,-5586.8051,5311.2263,4206.6603,-4316.6041,35.1064,1842.3335,-3498.5183,2455.2961,5251.4111,4693.6420,-1132.9708,-5281.1397,-3020.8969,-5888.9219,-3092.7834,-935.3443,-115.3463,1068.4019,-5660.9179,434.9325,6246.1310,6027.5173,1441.1009,-2559.1576,2135.6017,-4063.3590,6650.0470,-61.8217,5535.7205,-1545.9967,-4901.9925,4216.0736,2135.9449,6773.2571,-2110.1755,6085.4319,4106.0985,6385.9315,6230.2421,5609.8548,-439.8249,-6593.7254,-5262.9156,-4249.2847,-1003.1114,-4224.1493,1220.0476,-4448.1792,6907.9589,1139.5291,1613.5265,6816.4496,-2587.5642,4983.0390,3168.3668,-4062.5553,-5276.6799,-4643.7766,291.7399,-718.8549,6361.9801,4926.8597,-3171.9257,6346.1662,3675.6064,3940.8129,-901.0298,-4829.0945,3969.1171,-4568.0321,-4127.5054,6747.4835,581.0604,0.0000,-231.0985,-2397.0167,-2975.6007,6707.5361,2465.9889,-6431.7611,-2170.2966,-6203.8934,-6365.1996,-6616.6259,5156.0719,-398.3538,4564.6844,5634.6497,-1629.3987,5498.0673,3716.2959,-4957.7983,-332594.5960,-368819.7950,-352960.6479,-347280.2808,-355416.7256,-351739.5136,-353096.6959,-351483.8173,46925712.6338,46937060.0822,46944879.9221,46933094.1430,-351014.3579,46931297.5838,-2494.5960,-4027.8209,770.2758,-5092.4489,3341.2551,3863.7005,611.4945,4470.8688,631.1918,1125.8642,-3414.7373,-4023.3714,6853.8548,4022.5147,-5988.0337,5189.1432,465.2832,4974.8531,-4841.1401,-4112.1563,3416.5207,1540.9063,-5341.1294,-6872.7483,5506.2893,-6583.6846,1984.1870,-4862.7160,-2847.4074,2103.1175,6041.6135,-4124.8381,-1273.2092,-1011.9987,1807.2521,5202.4764,-1699.6960,-5275.6536,1851.9103,-4434.4191,6319.4074,143.7689,5266.8591,2915.5137,-5558.9045,2570.0941,2980.1816,3495.2762,5049.4363,1703.3063,831.7657,-5305.1679,-5541.6100,-5199.1884,6421.5622,-2188.7681,-340.7965,-4721.1969,-5065.1881,-2.0076,3859.6520,4436.7247,3253.2440,-5323.2935,-3365.1083,-280.6642,4849.4640,-4673.0331,-1875.4407,-1565.3949,2893.0934,-2705.4569,4558.9649,1195.3575,6450.6410,4815.2143,1553.2743,-2271.0073,-4430.0379,-1540.5285,6438.7683,0.0000,-4163.6782,6386.6468,-6171.9221,-1342.1158,-6474.5130,-2558.9382,-6192.2485,-2578.4108,-777.2363,442.1051,4148.9931,-5097.6192,-4981.9997,-3886.6519,6676.9065,4200.8309,-3466.0633,-4650.5255,-160473.7451,-166577.7360,-154348.5294,-156011.9440,-154782.1339,-155479.3072,-163893.8797,-160691.8825,-74546940.0343,-74532266.2245,-74534009.1652,-74526607.7631,-159882.3641,-74530779.7625,-4300.1986,-4954.8450,-2234.7901,3202.9231,-3094.4133,1289.2642,-5328.0832,-5126.4569,-4049.4277,-4318.2919,-4336.6622,-3588.5342,-976.6355,-5309.7920,198.9627,-3894.3398,4521.1136,1026.8875,4799.9589,1389.4820,5177.8650,3067.7796,3116.2887,-8.5073,4208.1272,-1855.7133,-3487.2527,-4957.1935,-991.5087,2704.0346,3037.4390,-4681.2141,-6499.5559,-5507.0427,-664.8461,4403.0208,3833.0743,-4197.2696,-4559.9132,3017.7792,-1461.3234,1424.1804,3947.9874,1546.4902,284.9594,-714.6298,395.9899,-2074.8591,4723.4114,1208.6178,4432.6893,-1299.3399,3637.7322,-1291.5322,2049.6922,4798.9215,-152.7474,-4933.8033,-4461.2409,797.2382,-5128.9084,-1825.7127,-5123.9390,-1813.0028,-2951.3940,-5126.2216,-4931.3850,-5056.3423,1982.4566,-4629.8306,5412.4206,-1118.0395,3672.1577,-5485.4518,2318.8256,1249.9907,-5366.8587,-4703.0035,-3353.1873,215.2224,-2469.5810,0.0000,5513.3181,-85.8003,-191.1914,21.8679,-340.6353,-429.6116,-2110.1034,1777.1657,2314.0195,-1973.6768,-1783.3418,-4702.7357,1474.0417,-529.6200,-939.9838,-191.4009,-4725.5898,1376.8002,-114245.6322,-118614.2129,-120211.0315,-112239.7041,-114521.8616,-125232.9381,-124708.1189,-119886.4721,42218950.6098,42226662.1464,42212410.7014,42213512.6116,-118389.5744,42207768.7262,
3600.000,6828.6174,5724.9223,5841.1383,5023.9392,-6481.2651,-2056.7756,-5868.7404,-4550.8760,6342.9414,-6466.8434,-2573.2449,4136.5445,-1844.3139,-4960.0140,4779.9128,-5258.4584,-6948.7193,-4623.2897,4124.8972,4630.9177,1409.3943,2467.7203,4763.7756,2972.8582,-3623.0672,1359.4159,5200.6878,2080.7151,-4604.5043,-6878.3357,-3268.5543,4607.5179,-1693.4994,4432.3421,-5961.2245,-3737.9763,-1569.1784,3917.6576,617.5233,-2211.2106,-3439.0923,-4581.6705,-1754.4611,-6217.3936,-1715.9008,-5287.2552,-5742.5287,-4630.3098,-3430.4683,5437.7339,5194.8921,4972.6006,3547.7936,5597.7992,-2838.7396,3893.8257,-5218.8491,3032.2502,2471.1092,-5696.7864,732.4786,-4545.0864,-6387.4191,4920.0312,4273.0339,6056.6047,-3164.1141,3817.5074,-5656.3766,-2778.9745,-503.3819,-5467.5468,-5617.1625,-4876.2922,-1695.7223,1778.2276,-4341.0496,5691.4015,4165.1649,-5049.9584,-2165.0936,0.0000,4338.3898,-687.4627,3860.7602,-4542.2145,-6.2718,6216.7780,3427.1758,5765.7777,6289.1684,6176.3560,-4510.9745,-2136.2659,-3022.4097,-2707.5112,-670.4456,-5361.9338,-691.1628,5302.2276,-281467.8043,-314601.0875,-299697.5866,-295340.9170,-304004.3940,-300556.8822,-300629.1796,-299177.8983,64684261.1721,64691898.0310,64701011.3593,64682740.4411,-299166.8506,64690388.7424,1054.0755,3530.9324,-2546.5992,3926.8125,-2141.9375,-3427.5530,2624.0272,-4813.4437,-2777.5136,1903.0989,6220.3259,-51.5678,-4827.5412,-874.6110,3847.1375,-4451.5082,-218.7849,-2179.8306,1645.9773,773.9123,-6409.0943,-4345.7757,4880.5601,5278.0537,-3862.4557,4535.0999,-4587.5586,1230.4157,4475.7333,46.8174,-2733.8609,-728.6503,5345.4575,-3228.3187,17.0734,-5479.9111,2069.3148,5689.9492,808.8545,6398.0446,-3116.3154,1859.2826,-3763.3108,-1317.1525,5206.8240,-222.1849,-995.6243,-383.5861,-5047.3293,-2969.3279,-4170.9368,3744.0241,5538.8500,2826.1861,-5695.2667,-2210.2150,1917.9201,3360.3245,4895.4997,2407.7420,-6581.3839,-1277.7374,-1687.8225,2141.3081,-227.8987,-2683.6048,-5947.8876,5472.4803,3239.5488,4989.6733,-5178.8147,2436.5981,-4010.1136,3101.9325,-4175.0355,-5272.0744,3069.6637,-1547.2529,529.9968,2786.6866,-6286.4800,0.0000,3558.1113,-5694.5786,3691.4286,2866.4940,6186.4777,113.3699,2962.8857,2281.0738,-1090.8880,-1968.3855,-704.6051,6599.3605,5532.6789,4982.0652,-6369.9922,-2034.2367,5964.8561,1546.3821,-237740.9398,-252783.6637,-236668.3964,-239523.9482,-237690.8986,-237899.6395,-246012.0828,-242024.1888,-59802620.9824,-59788287.3790,-59783185.6093,-59784218.2675,-242723.4788,-59785617.8364,444.4577,1630.9222,-2471.3193,1977.9475,-1181.4028,-5692.8846,2541.0332,1984.2793,63.4334,1620.6002,1671.6548,5514.9421,4595.1545,4715.6412,3228.7748,784.2878,69.5411,-4668.0330,-5310.8469,-4976.0263,-2165.5120,-4647.4201,1152.5096,-3384.7767,-4483.9813,5037.3201,138.1244,6505.9248,-2626.7695,876.6496,-5456.7208,4853.4804,4099.3645,4200.0914,-3525.7526,-1596.0080,-6454.4757,223.0526,6857.3570,856.9585,4997.8452,-4854.1533,-5539.5698,2740.5670,-4224.8471,4446.7735,3716.8938,5124.0769,-3296.1132,3068.6006,-1934.1654,-3027.2892,1319.8483,-2695.0987,2534.9295,-5265.1044,4105.2800,5221.6950,4239.3957,2965.4455,1984.5981,5041.6417,1769.9973,4385.4190,5422.3160,1983.1758,1558.4812,1816.1713,2330.2931,3928.4642,-4564.3682,-3610.8480,459.3028,3675.1687,-5253.9784,-4144.2662,4306.5884,3641.2655,5487.0206,3821.6757,-1918.7403,0.0000,-4060.2391,3680.6340,4285.6491,-4242.3798,-3143.5786,-3079.1481,5180.5565,3131.6036,2395.3635,-2419.5394,5098.4429,-268.7040,2838.3197,3859.5107,-2668.2213,-3883.1509,3465.3502,-4202.8228,-115698.5372,-120071.8278,-120566.7452,-115212.8236,-114174.7041,-124113.7783,-127811.9715,-117993.4176,42227489.5772,42239807.7805,42228272.1720,42222190.9816,-119681.6613,42217964.5324,
7200.000,-5835.5484,-6070.6187,-2053.2153,-4063.4581,5069.0964,-1372.7604,5277.1011,5444.3366,-4355.4723,5401.3494,419.4383,-3776.5081,4169.3092,6653.9112,-5078.5603,5948.2828,5156.3505,3808.4075,-6358.3412,-2943.4226,205.3088,1471.7199,-4626.6894,-4736.3560,6364.5955,-4437.2103,-2820.8364,-5232.1180,1023.8739,5167.8161,5160.4696,-5151.4902,1837.2091,-4053.1580,3130.6243,5414.2626,-2722.8282,-4449.4331,4629.0449,-1110.6547,4530.4847,1026.6775,5457.4768,4077.4406,-2183.4378,2770.8953,3425.4512,3008.3121,5721.7892,-1752.9019,-3572.3794,-4261.0671,-4099.2335,-4800.0205,3831.7478,-3172.1608,1506.6286,-6188.2724,-5484.2237,2131.9064,817.8112,3535.1567,6220.8673,-5061.7347,-2927.2598,-5159.5233,4234.2943,-4819.7707,2306.2108,561.5210,3017.9634,1813.1796,5169.4470,4371.9925,4774.3367,2271.0629,3813.5640,-5463.1713,-4047.9120,1169.6821,3340.2299,0.0000,-6416.9874,4272.2910,-4152.2794,90.5616,-3115.5280,-4083.0955,-4681.0103,-3013.9915,-2849.3171,-2977.1904,3062.3172,3115.0169,-456.6126,-1699.8725,3340.1236,3777.9035,-1818.3260,-4663.4061,-213028.7520,-240654.9740,-227393.3439,-224501.7030,-233279.6550,-230018.9362,-229520.7096,-227927.8625,78004252.6306,78008880.3181,78014752.9285,78001057.6552,-228241.9215,78010432.9073,683.4635,-1976.7211,3732.1856,565.0359,-281.1034,-689.9958,-4085.1591,3545.4789,3668.4563,-3835.5244,-6632.3276,4244.9436,1191.7734,-1453.9465,-18.9541,2216.3584,-186.4460,-2092.0841,1084.8942,3715.2118,6529.4638,6079.2636,-2027.9439,-1811.9500,1842.6285,-1416.1223,5418.7751,1504.7897,-5040.6609,-2423.7260,-1130.6053,4267.2841,-6674.8393,5594.1532,-2765.9533,3369.5438,-3566.4537,-3606.2327,-486.2339,-5341.1907,-1603.2968,-4355.4972,2148.3573,-1592.0949,-3564.7712,-3256.0366,-2341.0463,-3664.4693,3915.5007,3874.3013,5685.1055,-61.1627,-1525.7240,1375.2626,1916.8770,5661.1212,-3887.4151,-2092.1332,-3982.6179,-4549.4878,6441.4993,-3020.1429,-164.8221,1950.1161,4336.8519,3948.2431,4719.8036,-4265.3246,-3903.2573,-6858.5121,6165.7123,-2204.0732,1548.3122,-5231.8815,1039.1004,4735.8603,-5685.8173,4253.8671,3695.4260,-3999.9200,3286.8771,0.0000,-2593.3658,2810.5365,902.6886,-4229.5324,-4006.5706,3020.7246,1386.6276,100.0279,3167.9103,3330.0685,-3783.8881,-3606.4085,-4294.2004,-4877.6864,3902.7908,-1734.6643,-6692.3138,2481.8204,-299775.6910,-322358.5761,-303698.0073,-307712.8907,-305096.7463,-305622.6022,-312038.7145,-310199.3195,-40948885.3270,-40936684.8010,-40925434.5330,-40936619.6457,-309774.6649,-40930813.1725,3654.2367,2669.5289,5330.6132,-5275.3400,4700.3768,6769.0364,1806.2304,2365.6914,3929.7151,2040.6978,1982.7971,-3926.9080,-5402.1509,-1140.9675,-4730.6778,2783.1627,-4666.5010,5371.2642,2491.0788,4917.6942,-2254.9180,2714.6913,-4733.5254,4724.3745,2045.5518,-5125.3828,3276.0397,-4330.7535,4644.0870,-3944.7845,4456.6255,-835.9882,627.5257,-279.1828,5508.6008,-2429.7555,5296.8530,3859.6677,-5158.0332,-4107.1387,-4857.2030,5273.2258,3658.7957,-5372.3083,5499.9040,-5448.1873,-5542.0969,-5054.7251,-142.1984,-5463.3018,-1747.4723,5439.4170,-5093.5424,4639.2936,-5354.7992,2355.3821,-5526.6463,-2286.9922,-1480.4465,-4680.3332,2371.1854,-5124.8502,2834.2131,-4326.1433,-4529.4140,2366.1791,2754.2682,2526.0367,-5241.4024,-876.6225,840.3689,6369.6944,-4334.4686,700.4635,4885.0743,4519.8350,-202.7760,-396.7443,-4227.0210,-5536.4380,5077.2165,0.0000,67.4126,-4518.1088,-5384.5262,5364.2254,4720.3301,4714.4950,-4869.2961,-6270.3905,-5332.1379,5269.9219,-4828.6214,5040.5315,-5410.8945,-4525.3542,4652.4674,5521.5068,-132.7564,4488.4301,-117179.9148,-121515.8657,-120675.6815,-119128.5166,-114316.9353,-122065.2475,-130166.6820,-122643.6993,42235427.5537,42251839.8546,42242507.6566,42227256.3865,-120964.1711,42228176.2101,
