sl_100_5400_20251227 Coordinates.csv
2025/12/27 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:42 2024,
Start: 2025/12/27 07:47:00.00, Stop: 2025/12/27 09:17:00.00,
TIME_UNITS,STARLINK-3631 - X-Coordinate,STARLINK-30932 - X-Coordinate,STARLINK-31351 - X-Coordinate,STARLINK-30193 - X-Coordinate,STARLINK-32082 - X-Coordinate,STARLINK-3512 - X-Coordinate,STARLINK-31653 - X-Coordinate,STARLINK-30908 - X-Coordinate,STARLINK-5243 - X-Coordinate,STARLINK-5870 - X-Coordinate,STARLINK-11085 [DTC] - X-Coordinate,STARLINK-31711 - X-Coordinate,STARLINK-4212 - X-Coordinate,STARLINK-1558 - X-Coordinate,STARLINK-2193 - X-Coordinate,STARLINK-3610 - X-Coordinate,STARLINK-4060 - X-Coordinate,STARLINK-30260 - X-Coordinate,STARLINK-2310 - X-Coordinate,STARLINK-5352 - X-Coordinate,STARLINK-4111 - X-Coordinate,STARLINK-5860 - X-Coordinate,STARLINK-5779 - X-Coordinate,STARLINK-5521 - X-Coordinate,STARLINK-5247 - X-Coordinate,STARLINK-3322 - X-Coordinate,STARLINK-5954 - X-Coordinate,STARLINK-5625 - X-Coordinate,STARLINK-1635 - X-Coordinate,STARLINK-5778 - X-Coordinate,STARLINK-1770 - X-Coordinate,STARLINK-2433 - X-Coordinate,STARLINK-4085 - X-Coordinate,STARLINK-1978 - X-Coordinate,STARLINK-2225 - X-Coordinate,STARLINK-3315 - X-Coordinate,STARLINK-30574 - X-Coordinate,STARLINK-31626 - X-Coordinate,STARLINK-1091 - X-Coordinate,STARLINK-5050 - X-Coordinate,STARLINK-3613 - X-Coordinate,STARLINK-1861 - X-Coordinate,STARLINK-32246 - X-Coordinate,STARLINK-3706 - X-Coordinate,STARLINK-5987 - X-Coordinate,STARLINK-2377 - X-Coordinate,STARLINK-11153 [DTC] - X-Coordinate,STARLINK-31887 - X-Coordinate,STARLINK-30099 - X-Coordinate,STARLINK-6173 - X-Coordinate,STARLINK-3317 - X-Coordinate,STARLINK-3252 - X-Coordinate,STARLINK-4030 - X-Coordinate,STARLINK-31443 - X-Coordinate,STARLINK-6320 - X-Coordinate,STARLINK-1563 - X-Coordinate,STARLINK-4703 - X-Coordinate,STARLINK-2555 - X-Coordinate,STARLINK-3647 - X-Coordinate,STARLINK-4159 - X-Coordinate,STARLINK-4363 - X-Coordinate,STARLINK-31599 - X-Coordinate,STARLINK-2619 - X-Coordinate,STARLINK-32041 - X-Coordinate,STARLINK-2017 - X-Coordinate,STARLINK-11232 [DTC] - X-Coordinate,STARLINK-5989 - X-Coordinate,STARLINK-31821 - X-Coordinate,STARLINK-5840 - X-Coordinate,STARLINK-2082 - X-Coordinate,STARLINK-5494 - X-Coordinate,STARLINK-32227 - X-Coordinate,STARLINK-1817 - X-Coordinate,STARLINK-30480 - X-Coordinate,STARLINK-31731 - X-Coordinate,STARLINK-1580 - X-Coordinate,STARLINK-4435 - X-Coordinate,STARLINK-31589 - X-Coordinate,STARLINK-3772 - X-Coordinate,STARLINK-1263 - X-Coordinate,STARLINK-31922 - X-Coordinate,STARLINK-5322 - X-Coordinate,STARLINK-4381 - X-Coordinate,STARLINK-30853 - X-Coordinate,STARLINK-31907 - X-Coordinate,STARLINK-31032 - X-Coordinate,STARLINK-1145 - X-Coordinate,STARLINK-1619 - X-Coordinate,STARLINK-1570 - X-Coordinate,STARLINK-30092 - X-Coordinate,STARLINK-31217 - X-Coordinate,STARLINK-30510 - X-Coordinate,STARLINK-31979 - X-Coordinate,STARLINK-1834 - X-Coordinate,STARLINK-31291 - X-Coordinate,STARLINK-5691 - X-Coordinate,STARLINK-31323 - X-Coordinate,STARLINK-4569 - X-Coordinate,STARLINK-1417 - X-Coordinate,STARLINK-30511 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3631 - Y-Coordinate,STARLINK-30932 - Y-Coordinate,STARLINK-31351 - Y-Coordinate,STARLINK-30193 - Y-Coordinate,STARLINK-32082 - Y-Coordinate,STARLINK-3512 - Y-Coordinate,STARLINK-31653 - Y-Coordinate,STARLINK-30908 - Y-Coordinate,STARLINK-5243 - Y-Coordinate,STARLINK-5870 - Y-Coordinate,STARLINK-11085 [DTC] - Y-Coordinate,STARLINK-31711 - Y-Coordinate,STARLINK-4212 - Y-Coordinate,STARLINK-1558 - Y-Coordinate,STARLINK-2193 - Y-Coordinate,STARLINK-3610 - Y-Coordinate,STARLINK-4060 - Y-Coordinate,STARLINK-30260 - Y-Coordinate,STARLINK-2310 - Y-Coordinate,STARLINK-5352 - Y-Coordinate,STARLINK-4111 - Y-Coordinate,STARLINK-5860 - Y-Coordinate,STARLINK-5779 - Y-Coordinate,STARLINK-5521 - Y-Coordinate,STARLINK-5247 - Y-Coordinate,STARLINK-3322 - Y-Coordinate,STARLINK-5954 - Y-Coordinate,STARLINK-5625 - Y-Coordinate,STARLINK-1635 - Y-Coordinate,STARLINK-5778 - Y-Coordinate,STARLINK-1770 - Y-Coordinate,STARLINK-2433 - Y-Coordinate,STARLINK-4085 - Y-Coordinate,STARLINK-1978 - Y-Coordinate,STARLINK-2225 - Y-Coordinate,STARLINK-3315 - Y-Coordinate,STARLINK-30574 - Y-Coordinate,STARLINK-31626 - Y-Coordinate,STARLINK-1091 - Y-Coordinate,STARLINK-5050 - Y-Coordinate,STARLINK-3613 - Y-Coordinate,STARLINK-1861 - Y-Coordinate,STARLINK-32246 - Y-Coordinate,STARLINK-3706 - Y-Coordinate,STARLINK-5987 - Y-Coordinate,STARLINK-2377 - Y-Coordinate,STARLINK-11153 [DTC] - Y-Coordinate,STARLINK-31887 - Y-Coordinate,STARLINK-30099 - Y-Coordinate,STARLINK-6173 - Y-Coordinate,STARLINK-3317 - Y-Coordinate,STARLINK-3252 - Y-Coordinate,STARLINK-4030 - Y-Coordinate,STARLINK-31443 - Y-Coordinate,STARLINK-6320 - Y-Coordinate,STARLINK-1563 - Y-Coordinate,STARLINK-4703 - Y-Coordinate,STARLINK-2555 - Y-Coordinate,STARLINK-3647 - Y-Coordinate,STARLINK-4159 - Y-Coordinate,STARLINK-4363 - Y-Coordinate,STARLINK-31599 - Y-Coordinate,STARLINK-2619 - Y-Coordinate,STARLINK-32041 - Y-Coordinate,STARLINK-2017 - Y-Coordinate,STARLINK-11232 [DTC] - Y-Coordinate,STARLINK-5989 - Y-Coordinate,STARLINK-31821 - Y-Coordinate,STARLINK-5840 - Y-Coordinate,STARLINK-2082 - Y-Coordinate,STARLINK-5494 - Y-Coordinate,STARLINK-32227 - Y-Coordinate,STARLINK-1817 - Y-Coordinate,STARLINK-30480 - Y-Coordinate,STARLINK-31731 - Y-Coordinate,STARLINK-1580 - Y-Coordinate,STARLINK-4435 - Y-Coordinate,STARLINK-31589 - Y-Coordinate,STARLINK-3772 - Y-Coordinate,STARLINK-1263 - Y-Coordinate,STARLINK-31922 - Y-Coordinate,STARLINK-5322 - Y-Coordinate,STARLINK-4381 - Y-Coordinate,STARLINK-30853 - Y-Coordinate,STARLINK-31907 - Y-Coordinate,STARLINK-31032 - Y-Coordinate,STARLINK-1145 - Y-Coordinate,STARLINK-1619 - Y-Coordinate,STARLINK-1570 - Y-Coordinate,STARLINK-30092 - Y-Coordinate,STARLINK-31217 - Y-Coordinate,STARLINK-30510 - Y-Coordinate,STARLINK-31979 - Y-Coordinate,STARLINK-1834 - Y-Coordinate,STARLINK-31291 - Y-Coordinate,STARLINK-5691 - Y-Coordinate,STARLINK-31323 - Y-Coordinate,STARLINK-4569 - Y-Coordinate,STARLINK-1417 - Y-Coordinate,STARLINK-30511 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3631 - Z-Coordinate,STARLINK-30932 - Z-Coordinate,STARLINK-31351 - Z-Coordinate,STARLINK-30193 - Z-Coordinate,STARLINK-32082 - Z-Coordinate,STARLINK-3512 - Z-Coordinate,STARLINK-31653 - Z-Coordinate,STARLINK-30908 - Z-Coordinate,STARLINK-5243 - Z-Coordinate,STARLINK-5870 - Z-Coordinate,STARLINK-11085 [DTC] - Z-Coordinate,STARLINK-31711 - Z-Coordinate,STARLINK-4212 - Z-Coordinate,STARLINK-1558 - Z-Coordinate,STARLINK-2193 - Z-Coordinate,STARLINK-3610 - Z-Coordinate,STARLINK-4060 - Z-Coordinate,STARLINK-30260 - Z-Coordinate,STARLINK-2310 - Z-Coordinate,STARLINK-5352 - Z-Coordinate,STARLINK-4111 - Z-Coordinate,STARLINK-5860 - Z-Coordinate,STARLINK-5779 - Z-Coordinate,STARLINK-5521 - Z-Coordinate,STARLINK-5247 - Z-Coordinate,STARLINK-3322 - Z-Coordinate,STARLINK-5954 - Z-Coordinate,STARLINK-5625 - Z-Coordinate,STARLINK-1635 - Z-Coordinate,STARLINK-5778 - Z-Coordinate,STARLINK-1770 - Z-Coordinate,STARLINK-2433 - Z-Coordinate,STARLINK-4085 - Z-Coordinate,STARLINK-1978 - Z-Coordinate,STARLINK-2225 - Z-Coordinate,STARLINK-3315 - Z-Coordinate,STARLINK-30574 - Z-Coordinate,STARLINK-31626 - Z-Coordinate,STARLINK-1091 - Z-Coordinate,STARLINK-5050 - Z-Coordinate,STARLINK-3613 - Z-Coordinate,STARLINK-1861 - Z-Coordinate,STARLINK-32246 - Z-Coordinate,STARLINK-3706 - Z-Coordinate,STARLINK-5987 - Z-Coordinate,STARLINK-2377 - Z-Coordinate,STARLINK-11153 [DTC] - Z-Coordinate,STARLINK-31887 - Z-Coordinate,STARLINK-30099 - Z-Coordinate,STARLINK-6173 - Z-Coordinate,STARLINK-3317 - Z-Coordinate,STARLINK-3252 - Z-Coordinate,STARLINK-4030 - Z-Coordinate,STARLINK-31443 - Z-Coordinate,STARLINK-6320 - Z-Coordinate,STARLINK-1563 - Z-Coordinate,STARLINK-4703 - Z-Coordinate,STARLINK-2555 - Z-Coordinate,STARLINK-3647 - Z-Coordinate,STARLINK-4159 - Z-Coordinate,STARLINK-4363 - Z-Coordinate,STARLINK-31599 - Z-Coordinate,STARLINK-2619 - Z-Coordinate,STARLINK-32041 - Z-Coordinate,STARLINK-2017 - Z-Coordinate,STARLINK-11232 [DTC] - Z-Coordinate,STARLINK-5989 - Z-Coordinate,STARLINK-31821 - Z-Coordinate,STARLINK-5840 - Z-Coordinate,STARLINK-2082 - Z-Coordinate,STARLINK-5494 - Z-Coordinate,STARLINK-32227 - Z-Coordinate,STARLINK-1817 - Z-Coordinate,STARLINK-30480 - Z-Coordinate,STARLINK-31731 - Z-Coordinate,STARLINK-1580 - Z-Coordinate,STARLINK-4435 - Z-Coordinate,STARLINK-31589 - Z-Coordinate,STARLINK-3772 - Z-Coordinate,STARLINK-1263 - Z-Coordinate,STARLINK-31922 - Z-Coordinate,STARLINK-5322 - Z-Coordinate,STARLINK-4381 - Z-Coordinate,STARLINK-30853 - Z-Coordinate,STARLINK-31907 - Z-Coordinate,STARLINK-31032 - Z-Coordinate,STARLINK-1145 - Z-Coordinate,STARLINK-1619 - Z-Coordinate,STARLINK-1570 - Z-Coordinate,STARLINK-30092 - Z-Coordinate,STARLINK-31217 - Z-Coordinate,STARLINK-30510 - Z-Coordinate,STARLINK-31979 - Z-Coordinate,STARLINK-1834 - Z-Coordinate,STARLINK-31291 - Z-Coordinate,STARLINK-5691 - Z-Coordinate,STARLINK-31323 - Z-Coordinate,STARLINK-4569 - Z-Coordinate,STARLINK-1417 - Z-Coordinate,STARLINK-30511 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3301.5985,3238.4739,-2009.4437,-719.7009,-4895.4430,-1361.2963,-4820.7651,3615.4744,-4895.8354,3187.4347,1676.5934,5344.1073,-5068.2961,2463.1686,1774.5830,-4272.8372,1462.7175,-6895.1501,-465.1484,2440.5147,-3800.2901,5130.0586,-5968.6995,4537.6960,839.8239,-3749.0903,-5758.3589,1216.0427,4387.8350,-477.9370,2693.9424,-4550.4915,4841.9681,-2392.3854,6408.5683,-3628.9661,-3210.0395,4060.4571,5185.6483,-6075.3537,-4109.3201,3796.1408,716.6391,6721.0441,-2384.7523,6430.8192,-4448.9536,2611.9425,-5588.7615,-204.6216,202.8691,-4045.4260,-2817.7347,1921.1318,-4193.8000,3413.6934,5952.1175,-3303.9998,-2354.1798,-4729.3076,-3012.9691,636.9731,-1980.3310,-5164.8431,-740.9835,-761.7706,-3344.2719,-5569.3722,2667.5232,1479.6084,5579.3922,4223.4990,-1636.5555,-734.7513,5773.1666,5679.2170,-204.9006,1606.7864,-6308.0632,2677.0677,-4481.7472,-4316.2664,3405.8912,-3172.5277,-6217.2905,-2926.1195,4658.7602,-4799.8522,-6689.7962,6065.8679,5818.2996,-745.8321,-2366.1249,-2410.5510,4103.6366,-4053.0873,-603.6557,6126.8427,-167.0231,6473.0841,325109.5170,306682.9422,318281.1909,320673.2596,313819.9550,316334.5912,311859.0914,316487.0202,-127929346.0979,-127967294.4907,-127948712.7590,-127945058.1289,315268.1437,-127932555.2623,3647.1677,-4632.1904,-3557.9004,-6220.8497,-3429.3465,-4824.6511,-2673.1504,3582.8356,-2949.3122,3990.0495,-6229.0679,-3055.7028,669.6128,3336.9656,-4020.8792,977.4970,6113.8685,-407.3714,4308.3629,-4557.7897,-3094.7736,-168.7203,82.2081,4908.1297,-6323.9560,3989.1535,-3402.7559,6810.2528,2029.2983,6226.3989,6154.3555,-4235.0806,4562.5607,4108.6796,-2532.2572,-5356.7101,-4894.7434,3835.7842,-4427.7300,1894.5468,2907.5993,2421.5398,-5084.4377,180.5634,-6429.1362,1663.8225,-121.5423,-6282.9972,-2034.0031,5202.5581,4170.1842,-1150.1738,-3912.1198,-3624.5882,5332.6356,-4507.4212,-3286.6176,2933.5078,3599.7350,-3060.5613,2457.5057,-4963.0766,6402.8430,931.7801,-5770.5069,-4603.1413,-5119.4705,-3732.9644,-5463.6231,-3917.8559,3541.0749,1153.5731,-4153.8575,-6724.0472,-1374.3869,-2756.8621,-5973.8230,-5358.5467,1075.0974,-6309.3700,-2269.1713,-969.6253,-2613.6370,4940.9980,2576.6687,-5101.4106,-3076.9278,-2810.3321,-703.9277,3302.6258,2940.7800,5043.9227,3963.8004,6421.7540,-3041.4298,3361.8531,-5905.3725,-3214.6601,4313.4495,-1079.3664,211973.3161,216146.5579,214498.5944,210875.4623,215917.9595,213933.9189,206713.1714,210468.9971,304182036.3098,304170933.4125,304183590.5956,304170304.0631,209272.5508,304166031.1554,-4855.2131,-4025.6065,-5449.3048,-2980.7229,3292.9512,-4774.1014,-3881.5947,-4711.7702,-3881.0132,-4697.1164,1944.1385,-2901.2144,-4665.0242,-5500.6202,-5343.6044,-5353.9220,2871.9039,586.7628,5371.0962,-4621.5760,4865.7254,-4664.6894,3517.6996,-2111.8455,2646.1927,-3683.7460,1857.7809,-469.3294,4870.4310,3011.3559,-1658.7390,-3040.3986,-1900.8877,-5041.1078,279.4306,2424.0513,3717.9139,3903.1016,19.2290,2389.9025,-4749.6538,5209.1863,-4625.6029,-1621.3233,1128.3639,1880.7958,4920.9685,422.7443,-3543.6355,4576.7141,5485.3043,5474.4868,4938.2751,-5450.0450,-1430.4886,3964.3290,1170.8391,-5216.0147,-5416.0278,4003.3274,5740.2475,-4638.9317,-741.4758,-4336.5690,3723.5851,4849.4565,-3310.1697,-1223.5489,3327.9323,5494.2644,-2163.4966,5226.8428,-5305.4959,-1206.3893,3367.1626,-2786.8446,-3537.4911,3904.9152,2606.7812,886.5562,-4615.4695,-5362.4774,-5459.8636,-3679.7908,1126.7802,3428.8709,-4038.7779,3703.5709,51.4505,-637.2918,1975.6743,-4684.3180,-5061.5215,802.9654,4566.0971,-4558.4594,-3400.1001,-504.2671,-5394.8475,2224.0178,9939.6261,8049.8788,8312.9064,14785.4061,14028.3974,3373.2599,2479.7664,9915.2551,-146797755.8266,-146767502.6933,-146779134.7671,-146788230.4679,9470.0982,-146785471.0040,
300.000,-2414.4630,1880.4264,-3794.6494,-2301.3315,-6101.3509,-2760.4676,-5002.9203,4865.4394,-4703.4976,4799.6087,203.3645,3761.5149,-3735.6415,4036.6265,82.3174,-4187.7303,2845.2148,-6778.8756,1661.9892,354.7706,-4110.7577,4607.9403,-6266.6955,5211.0034,-408.2737,-1808.6562,-5722.8571,2643.5847,5692.9410,1280.4390,3860.8211,-5782.9465,5121.4564,-1088.1848,5574.1307,-4194.8188,-4261.1894,5537.0788,4134.8592,-4782.7728,-3639.4766,5239.8674,-1141.0517,6832.3584,-2967.2691,6887.9539,-3519.6332,1124.8026,-6494.8258,1891.7386,2327.5171,-4141.2633,-3698.4913,-132.8442,-2983.6335,1490.7887,5334.5229,-1348.3836,-791.8039,-4604.5275,-4647.2739,-1530.7548,-637.9407,-5508.6384,-2259.5337,-2445.4385,-4313.6021,-6360.1653,709.0478,-662.5867,6192.7176,5152.1578,-3630.5876,-2192.4895,4490.0785,5432.9003,261.2486,-463.0259,-6416.7338,1331.4849,-5082.6386,-5763.3501,4943.7497,-1839.4974,-5081.4983,-3637.9929,2839.1825,-4571.7498,-6471.0466,6608.1808,5865.0084,1349.0837,-222.9814,-1077.2587,2429.8379,-2279.8739,-1931.1624,5856.3627,1872.2726,5448.2816,320337.8677,302222.2665,313879.5350,316133.1583,309280.2519,311790.7729,307415.5642,311701.4122,-134536981.8199,-134575320.4763,-134556984.1260,-134552835.2976,310754.3951,-134540265.0425,5291.0612,-5962.0300,-2315.4056,-5174.3491,-2565.5408,-3292.4507,-576.8070,1833.3090,-1059.5495,2629.1797,-5738.0440,-3741.6586,2233.5299,1845.5839,-5168.2314,3019.5329,6188.7997,1095.9537,3843.8562,-5089.7144,-1018.5266,-2258.0742,1847.0018,4685.9330,-6833.9833,4190.5783,-3915.9718,6318.0516,652.7205,5495.8433,5738.6965,-3536.8288,3088.3795,5527.8318,-3499.1382,-3856.2428,-3164.7817,3150.2130,-5123.3792,2877.7379,4677.8967,1026.3029,-4214.3258,-1045.8911,-6206.0912,490.6665,1866.3974,-6630.2495,-484.2399,4718.6636,4151.5872,1027.3674,-1990.5386,-4362.2777,6256.3273,-4528.1633,-4330.9325,3887.8820,4961.9652,-1137.8167,2950.8097,-4900.2163,6235.7120,2642.8997,-6147.3039,-3261.1837,-5288.5997,-2422.3481,-5441.6526,-4296.5920,3158.5801,-664.5580,-3817.1394,-5962.7157,-2901.9894,-4109.7831,-6785.7168,-5087.8967,2412.2935,-6258.7732,-181.4698,-192.7477,-3028.4075,6184.1781,3767.4716,-3402.5642,-3750.3647,-887.5860,546.9897,1896.5982,1176.4782,5301.1277,4116.5765,6332.4396,-4420.8837,4561.2432,-4661.0234,-2578.1147,4679.8111,-2530.2926,218867.4278,222562.0749,221061.9810,217443.8087,222552.0964,220604.1329,213350.5896,217076.8274,301317630.7596,301305854.7782,301318878.4451,301305355.5349,215883.2898,301301648.9165,-3733.4678,-3010.4739,-5160.2708,-4004.9439,1672.1995,-5427.7733,-4482.7211,-4590.8326,-4948.6405,-4265.5319,3520.1069,-4263.6779,-5381.0192,-5268.2248,-4598.4474,-4605.8268,1185.2354,-957.8786,5485.4328,-4696.7306,5454.2448,-4666.3409,2311.6580,-21.4544,929.2499,-4765.9933,-371.6973,1073.0596,3779.3061,4024.9732,136.3916,-1383.4111,-3481.6765,-4033.0253,2052.6823,3904.2848,4460.4378,2425.8380,-1781.4094,3876.1799,-3571.8515,4350.2067,-5357.7310,180.0036,-997.5406,96.9392,5304.8929,-1131.0240,-2345.4769,4712.3595,4988.2940,5427.5898,5475.4282,-5242.2956,99.4730,4993.6681,-645.8658,-5458.4494,-4751.5900,5024.2164,4219.0763,-4494.4914,-2489.4492,-3001.0882,2202.8530,5353.1125,-1326.7819,327.7569,4231.7708,5369.5982,-69.8611,4418.5261,-4508.6625,-2619.3104,4237.0900,-1090.8289,-1451.2687,4519.5972,885.2404,2604.3944,-4546.3898,-3881.8160,-3823.2361,-2526.4745,2553.5012,4637.5270,-5036.0313,4789.2641,-1761.2881,907.4628,3254.6279,-4244.6174,-5471.2849,2529.9732,4636.0297,-4744.5439,-4621.0093,-2685.4141,-4724.8968,3450.0733,10043.8834,8194.1251,8546.8905,14800.7505,14308.4690,3710.0853,2467.9387,10499.5410,-146796698.6331,-146766592.8777,-146778365.9206,-146787503.5121,9616.3464,-146784403.0359,
600.000,-1329.0684,368.8558,-5214.3428,-3695.4258,-6671.0760,-3939.3600,-4701.7085,5679.8358,-4092.9071,5968.0015,-1328.0078,1779.7804,-2069.7874,5242.3838,-1578.9393,-3738.2911,3932.6728,-6005.3593,3638.0497,-1755.0776,-4073.6750,3684.6215,-5970.6684,5366.6134,-1605.0861,353.7723,-5068.5234,3824.8745,6436.2995,2945.9335,4645.0080,-6434.4552,4925.7492,281.1597,4172.1720,-4384.8016,-4942.5621,6431.2877,2641.5894,-2988.8049,-2848.1657,6178.9421,-2922.8400,6262.4398,-3260.3026,6656.2178,-2248.4369,-487.5899,-6775.7142,3817.5857,4210.0002,-3885.8208,-4270.0843,-2148.3939,-1483.1210,-599.9642,4178.0553,721.8860,805.5963,-4073.7919,-5802.4447,-3540.8467,799.7721,-5302.6255,-3532.1093,-3911.3793,-4832.0947,-6501.2445,-1336.4758,-2725.3213,6176.4383,5584.0809,-5261.4612,-3457.2538,2768.2218,4650.2295,719.1117,-2503.5626,-5889.7742,-172.6599,-5209.2429,-6636.7442,5969.2964,-352.0048,-3423.1781,-4022.9160,735.6284,-3889.5157,-5554.4854,6513.8310,5334.8950,3299.4101,1945.7816,389.4621,540.5342,-312.0219,-3110.1441,4931.9635,3703.9685,3902.3084,315415.8684,297630.2461,309336.9369,311453.5736,304601.4180,307105.2875,302833.1638,306704.2245,-141080531.8310,-141119245.6406,-141101159.6786,-141096489.0569,306102.0323,-141083890.1379,6410.9994,-6722.7403,-884.3607,-3644.4549,-1454.9067,-1466.2584,1588.6429,-65.2279,961.3177,1050.8561,-4648.4192,-4086.2205,3625.1974,215.7114,-5837.2969,4750.9679,5654.1112,2502.2239,3056.3609,-5174.0608,1160.9365,-4139.8576,3415.1736,3998.4582,-6663.0509,3968.4992,-3999.5898,5210.7767,-750.4058,4256.4846,4751.3026,-2501.3342,1286.1906,6417.6436,-4136.6548,-1958.4042,-1137.0191,2164.3595,-5302.7599,3604.2843,5976.2144,-427.8392,-2972.7877,-2170.2049,-5347.1983,-730.3822,3677.1186,-6304.4757,1091.2227,3822.1279,3773.2523,3098.1916,113.0717,-4703.8325,6573.5374,-4150.6664,-4947.1093,4500.8553,5863.1673,921.1343,3070.3441,-4383.6514,5410.2760,4054.3820,-5925.1749,-1610.4549,-4932.5566,-860.7557,-4929.0768,-4307.3711,2455.9208,-2378.8613,-3155.0039,-4610.2354,-4172.2073,-5041.6286,-6859.2220,-4340.7078,3499.7539,-5598.3420,1910.4891,553.6254,-3067.2019,6830.6490,4599.1992,-1345.0922,-4104.8805,1160.1077,1759.2370,298.7898,-730.2272,5082.1069,3911.8334,5622.8321,-5392.6079,5365.3844,-2957.2116,-1694.4702,4629.3843,-3768.1168,225652.7642,228883.6494,227525.4772,223912.8200,229085.7435,227173.1738,219894.4670,223478.6662,298309703.2166,298297238.7329,298310620.1545,298296875.1554,222396.6675,298293740.9997,-2208.8415,-1674.0623,-4290.7237,-4601.6820,-136.0415,-5499.7686,-4563.6900,-3980.1939,-5482.5119,-3379.2525,4685.7719,-5144.9820,-5519.9156,-4462.8918,-3359.0655,-3362.7971,-629.4327,-2399.9667,5006.6173,-4270.6612,5454.0001,-4170.2441,857.8772,2071.1297,-888.2726,-5260.7459,-2561.6018,2500.4842,2272.0437,4608.1112,1916.7884,422.6074,-4688.1239,-2593.1294,3602.4727,4962.5635,4726.5133,675.5335,-3381.8686,4922.8398,-2010.0173,3017.2454,-5512.4775,1961.8666,-3017.4665,-1697.4515,5044.0072,-2557.5841,-895.1406,4344.5225,3949.9584,4794.4127,5420.3900,-4447.4922,1618.7588,5483.2532,-2392.4857,-5093.7581,-3575.9710,5503.3438,2247.6524,-3846.6236,-3948.4537,-1326.5965,443.9651,5232.6079,797.4607,1842.0716,4682.8105,4666.0920,2031.1691,3114.5504,-3230.4317,-3744.4431,4631.9688,723.6905,789.5569,4627.6190,-931.9897,4040.5788,-3967.7788,-1989.5243,-1780.0270,-1102.3242,3693.4578,5321.2129,-5485.9832,5304.4644,-3368.1108,2355.0805,4166.4199,-3349.5766,-5276.3194,3982.7896,4193.1136,-4430.8520,-5328.5744,-4580.0608,-3545.1209,4306.2915,10147.9482,8338.8458,8782.9040,14810.9415,14584.8947,4052.7672,2461.6486,11012.9896,-146795635.5544,-146765683.8469,-146777598.2822,-146786771.3416,9762.5879,-146783334.7422,
