TIME_UNITS,STARLINK-11084 [DTC] - X-Coordinate,STARLINK-11137 [DTC] - X-Coordinate,STARLINK-31798 - X-Coordinate,STARLINK-31538 - X-Coordinate,STARLINK-2686 - X-Coordinate,STARLINK-30933 - X-Coordinate,STARLINK-30768 - X-Coordinate,STARLINK-1413 - X-Coordinate,STARLINK-31462 - X-Coordinate,STARLINK-6126 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11084 [DTC] - Y-Coordinate,STARLINK-11137 [DTC] - Y-Coordinate,STARLINK-31798 - Y-Coordinate,STARLINK-31538 - Y-Coordinate,STARLINK-2686 - Y-Coordinate,STARLINK-30933 - Y-Coordinate,STARLINK-30768 - Y-Coordinate,STARLINK-1413 - Y-Coordinate,STARLINK-31462 - Y-Coordinate,STARLINK-6126 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11084 [DTC] - Z-Coordinate,STARLINK-11137 [DTC] - Z-Coordinate,STARLINK-31798 - Z-Coordinate,STARLINK-31538 - Z-Coordinate,STARLINK-2686 - Z-Coordinate,STARLINK-30933 - Z-Coordinate,STARLINK-30768 - Z-Coordinate,STARLINK-1413 - Z-Coordinate,STARLINK-31462 - Z-Coordinate,STARLINK-6126 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
32400.000,-3032.1698,-4441.9021,-1157.6053,-4888.8380,-26.2874,954.7444,-5461.4895,-5692.6579,-4590.2068,-3203.5928,348306.8520,373180.9951,362293.2180,358926.1182,356180.6691,359290.3158,356705.4897,356003.7464,-103863618.4443,-103869820.5010,-103869209.4655,-103845123.1065,357193.8775,-103856454.4012,-3023.1755,1083.9401,6705.2200,1716.7081,-6911.2931,-5604.3719,3276.4116,-2523.5610,2925.2184,5070.4998,7158.7308,26855.9752,18128.4505,8704.9416,16597.0410,15143.7866,14427.9487,13695.3974,94377312.1980,94358067.2114,94367179.7238,94365314.6829,15051.3695,94362645.5624,5194.3245,-4948.2879,471.3120,-4439.9817,275.8578,-3854.1377,-2729.7647,-3029.9181,-4118.4344,-3489.1469,-180913.8889,-181915.5701,-183547.7681,-174746.7101,-183711.6346,-191644.4669,-179686.2544,-182200.6217,64934816.4329,64931146.5484,64913417.0180,64921555.0110,-182045.3112,64922530.3897,
36000.000,6460.1353,784.0318,-1626.3881,3773.6629,1739.5615,3173.2912,2032.0591,4187.4590,565.0110,-718.9959,337247.3462,354491.8333,347233.3511,343421.7514,345556.1376,344113.3032,340522.2880,342426.9139,-124829395.3727,-124832290.2274,-124837880.6511,-124814782.1971,341690.9073,-124822980.9757,736.4181,-4902.3077,-5729.6672,-5429.7869,5211.5950,4061.4881,-4691.2074,-893.2560,-5293.5773,-5025.5284,94795.1589,118635.8789,105339.1992,97862.5528,104782.5414,102912.0011,107673.6078,105427.8589,64242389.3928,64222272.6519,64226142.4443,64235597.5077,103813.2990,64227187.1401,-1773.9749,4541.9914,3314.0373,1667.6496,-4206.8255,4524.6977,4664.9116,5431.1283,4255.8809,4717.8570,-181922.8288,-182574.3649,-184697.5515,-175113.9297,-183202.7344,-191849.3659,-182777.3033,-182561.5209,64951918.6528,64954219.4135,64936799.3075,64934160.2534,-182533.7531,64939871.7613,
39600.000,-5749.8654,2066.5812,4491.9071,-1247.6628,-3889.8094,-6267.2832,1931.1664,-2298.5446,3000.4519,4450.5127,304471.0602,313567.1891,310239.3741,306051.0131,310430.8145,307720.5894,302613.1311,304351.0615,-137268321.9893,-137267647.1632,-137275009.3872,-137260709.5474,304524.7195,-137262249.6914,1437.7559,6407.0578,2250.5223,6277.5642,-1572.2240,-1887.2282,5497.3658,4735.4053,6005.6941,4314.0933,177970.2972,202675.3004,185604.0503,180182.5409,186410.9995,184183.7941,190312.5537,184018.2621,29688109.8250,29669072.7864,29665495.2377,29681984.3845,185779.1663,29672019.4318,-3212.6116,-172.7228,-4618.0378,2344.3097,5490.2939,-2072.9844,-3750.5403,-4500.7129,-1208.2754,-3117.6197,-182952.9883,-183217.9149,-185252.5512,-175991.0262,-181128.4803,-191381.1409,-186829.0022,-182579.7180,64968233.4513,64975906.6870,64960620.3449,64948142.8326,-183007.3040,64957205.8942,
43200.000,1494.5279,-3524.8905,-6168.6323,-2457.6361,5748.4247,6590.2406,-4725.1101,709.9751,-4836.5950,-6358.9051,251053.2458,253116.7801,253713.7059,249236.5132,254805.0768,252258.7533,245912.1585,247774.1719,-140322437.7637,-140319153.3442,-140323273.0083,-140321012.2785,248107.3735,-140316178.5873,-3756.7329,-3726.8343,1593.2103,-4395.4499,-1870.2608,-595.3742,-5038.2086,-6842.0176,-3939.9577,-2746.2778,251741.7571,273679.7853,253940.3496,250456.2719,256596.0194,253971.0525,259665.8361,257385.0977,-6924052.8366,-6940381.7267,-6950361.0085,-6934703.1809,255763.1428,-6941135.6887,5381.6070,-4367.5452,2428.2820,-4605.4604,-3367.1388,-1836.8992,517.2746,773.1504,-2768.7941,-377.6704,-183961.5237,-183844.5990,-185190.8858,-177448.8575,-179469.8864,-190188.7981,-189905.7191,-184079.9496,64983826.8242,64996239.1709,64983850.3210,64964129.8505,-183465.9104,64974532.7699,
46800.000,2926.1986,4175.8144,5220.4383,5774.8898,-5746.1616,-4058.5377,5590.9727,933.5968,4974.1874,5905.9496,177270.6629,177084.7651,181229.9387,176589.3618,182934.9789,180891.7883,174167.4531,176863.6382,-133775366.6843,-133771189.3955,-133768812.9809,-133775859.2882,176065.8389,-133768408.9664,5340.5479,-1489.1754,-4093.3629,1302.4788,3749.7973,3276.1153,2752.1130,5947.8808,-366.6800,77.0678,311043.6435,327222.0750,306111.1481,304366.4684,310569.1150,307913.7596,312350.1719,308020.6956,-43089950.9029,-43102670.1840,-43115549.1077,-43108500.8612,309353.0567,-43107854.7556,-2889.5311,5060.6336,1574.8484,3379.2434,-881.2001,4452.8148,3016.0363,3409.2496,4643.1749,3628.1728,-184458.0580,-184452.5171,-184651.9341,-179619.0982,-178318.9884,-188174.0821,-192115.0881,-182947.2512,64998811.0182,65015421.4784,65005562.8859,64982648.3011,-183909.5197,64991852.3697,
50400.000,-4813.5542,-3833.0877,-1498.4104,-6628.5913,3083.2847,279.3695,-4976.3758,-3179.0057,-3962.8168,-3864.2930,88627.3450,90388.4420,97338.7528,92611.2770,99699.6896,97376.3962,91884.0796,91976.6111,-118067629.4587,-118064567.2098,-118055096.6897,-118063942.0184,93008.6550,-118059613.0597,-4206.3624,5374.3250,4989.4846,1553.2232,-4184.7965,-5578.1354,1025.6242,-2743.7579,4648.0465,3326.9109,342817.8224,360021.7198,338853.6171,338984.4925,344751.4370,342439.1352,345498.1328,344066.4028,-76333997.9766,-76343068.1178,-76354771.0657,-76359582.6280,343187.9580,-76352320.2976,-2139.4341,-1337.0843,-4407.9922,377.7771,4554.9882,-3995.9572,-4712.6063,-5507.5236,-3041.1205,-4706.2508,-183386.4616,-185039.3205,-183898.9684,-182726.9146,-177651.5688,-185224.0756,-193575.0857,-185462.3605,65013337.2607,65033680.6981,65025356.2290,65004178.4666,-184338.0803,65009164.6749,
54000.000,4169.1145,1377.1242,-3137.8720,4172.6592,1248.9706,2909.1147,3596.9812,5446.2490,1811.8946,1372.4981,-653.1308,-1403.5172,7328.5571,2689.6282,10570.1353,4855.1301,4129.9118,5354.3190,-94267031.4347,-94266999.7111,-94251911.0106,-94255277.8813,4231.0958,-94257842.2388,-67.9349,-5538.9447,-4621.4757,-3767.6001,4136.4744,6172.4585,-4766.4292,-792.2243,-6521.0185,-6129.0054,349979.7719,370149.0380,350081.4125,354149.8149,356927.5061,354682.4459,357264.4242,354773.1812,-104378590.8075,-104384816.1734,-104392171.0675,-104403881.4191,355168.2515,-104396803.2519,5284.1907,-3579.1099,3905.0642,-3868.6022,-5405.4933,749.6427,3502.5897,4191.3155,-868.9852,2936.1845,-182763.8955,-185601.9418,-183248.5842,-186418.3490,-177452.9680,-182392.2709,-194350.6764,-183362.1665,65027585.9644,65051211.5314,65043327.1678,65028237.0878,-184751.5414,65026469.6670,
57600.000,-2567.8415,2891.6125,6072.7773,253.7227,-4948.5944,-4596.2095,-1756.8365,-6211.3492,1438.8184,897.2947,-87124.6372,-92431.6298,-83074.2974,-85608.0242,-78678.8484,-88478.0025,-83731.2627,-85549.9808,-63996110.6233,-64000623.6985,-63982396.9781,-63981928.0410,-84622.2966,-63985910.5643,4899.6803,2898.9776,3068.4689,5175.2732,-3886.5488,-4116.4540,6698.3999,3041.9584,5245.7069,6851.7617,335569.9053,357141.0244,339049.0803,348447.1087,346341.4777,343399.8158,347011.8568,344522.8799,-125300131.7135,-125305048.9932,-125306345.3750,-125315587.7897,344585.3083,-125317718.3584,-3852.3644,5337.8469,-475.9013,4425.6622,2864.6306,2997.9466,-157.0040,-308.0646,4105.2881,588.6131,-182456.2795,-186136.1270,-182985.8394,-185818.0512,-177730.2432,-185394.3729,-194465.2834,-186644.1668,65041755.0425,65068167.6595,65059805.2667,65049895.3526,-185149.8532,65043767.3274,
61200.000,613.3347,-6279.1462,-5955.3414,-4098.0152,6174.1561,5025.0162,-743.3159,4291.5680,-4888.0471,-3001.8833,-166426.0055,-176920.4467,-168068.6292,-168573.4790,-162326.0521,-172441.3565,-166334.6889,-167259.4014,-29321566.0203,-29331492.6492,-29312714.7792,-29313896.9466,-167916.3148,-29310750.7644,-6644.1222,63.0837,-95.0864,-5192.6674,2760.5793,-22.8976,-6046.1247,-3897.3193,-2110.5464,-4988.5101,301051.8135,322022.7383,306447.2456,318066.1825,313712.7479,310231.3621,315365.6823,312550.9796,-137660968.4396,-137666662.1350,-137661569.0715,-137669351.9028,312162.6034,-137677560.7640,-953.1460,-2437.5935,-3330.2382,-1663.2126,1443.6621,-4682.1382,-3303.0921,-3788.5869,-4269.3178,-3775.2251,-182324.3319,-186635.5521,-183287.8469,-183653.4103,-178517.0871,-189355.4198,-193906.4546,-183871.1743,65056047.0902,65084667.4816,65075154.4783,65064962.0435,-185532.9668,65061057.6372,
64800.000,2043.2384,5805.1184,3446.4581,5654.1643,-4913.2402,-4460.0934,3688.9358,-250.2228,6619.6310,4904.3784,-234262.3333,-249541.0133,-242182.4053,-241243.6364,-235079.8523,-244275.0672,-238607.9995,-240553.1187,7386808.9892,7371420.5241,7388616.8362,7387731.3963,-240382.0606,7397713.6142,4130.4381,-2194.3601,-3647.6477,2993.5091,-23.6647,4189.7068,3468.0016,4151.2189,-1122.1790,1466.6116,248797.1606,267233.9984,254392.3380,266700.1747,261157.8555,257794.0797,264165.4462,259491.1911,-140608201.4246,-140617054.9108,-140606249.0069,-140617643.3292,260006.0533,-140623674.6603,4907.1879,-2620.3198,4609.8752,-2373.2218,-4873.0704,3103.2809,4718.2389,5525.6105,1203.7056,4672.0942,-182307.8265,-187089.9708,-184176.2948,-181904.2609,-179884.3671,-192341.1638,-192623.1921,-187578.6081,65070656.2627,65100802.1585,65089693.8398,65077298.4995,-185900.8342,65078340.5780,
