sl_100_5400_20250924 Coordinates.csv
2025/09/24 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:05 2024,
Start: 2025/09/24 07:47:00.00, Stop: 2025/09/24 09:17:00.00,
TIME_UNITS,STARLINK-5952 - X-Coordinate,STARLINK-4588 - X-Coordinate,STARLINK-3830 - X-Coordinate,STARLINK-30113 - X-Coordinate,STARLINK-5535 - X-Coordinate,STARLINK-5493 - X-Coordinate,STARLINK-5446 - X-Coordinate,STARLINK-32235 - X-Coordinate,STARLINK-2094 - X-Coordinate,STARLINK-11121 [DTC] - X-Coordinate,STARLINK-32277 - X-Coordinate,STARLINK-2039 - X-Coordinate,STARLINK-2129 - X-Coordinate,STARLINK-2142 - X-Coordinate,STARLINK-30909 - X-Coordinate,STARLINK-4513 - X-Coordinate,STARLINK-5623 - X-Coordinate,STARLINK-1449 - X-Coordinate,STARLINK-11109 [DTC] - X-Coordinate,STARLINK-3166 - X-Coordinate,STARLINK-3853 - X-Coordinate,STARLINK-1375 - X-Coordinate,STARLINK-4655 - X-Coordinate,STARLINK-1907 - X-Coordinate,STARLINK-3929 - X-Coordinate,STARLINK-3233 - X-Coordinate,STARLINK-3503 - X-Coordinate,STARLINK-2109 - X-Coordinate,STARLINK-2244 - X-Coordinate,STARLINK-5439 - X-Coordinate,STARLINK-32246 - X-Coordinate,STARLINK-3298 - X-Coordinate,STARLINK-3055 - X-Coordinate,STARLINK-1029 - X-Coordinate,STARLINK-30710 - X-Coordinate,STARLINK-32265 - X-Coordinate,STARLINK-5862 - X-Coordinate,STARLINK-3174 - X-Coordinate,STARLINK-31008 - X-Coordinate,STARLINK-32147 - X-Coordinate,STARLINK-4607 - X-Coordinate,STARLINK-30470 - X-Coordinate,STARLINK-31359 - X-Coordinate,STARLINK-11124 [DTC] - X-Coordinate,STARLINK-4784 - X-Coordinate,STARLINK-4380 - X-Coordinate,STARLINK-3955 - X-Coordinate,STARLINK-6278 - X-Coordinate,STARLINK-5101 - X-Coordinate,STARLINK-4800 - X-Coordinate,STARLINK-1880 - X-Coordinate,STARLINK-3942 - X-Coordinate,STARLINK-5998 - X-Coordinate,STARLINK-1608 - X-Coordinate,STARLINK-5384 - X-Coordinate,STARLINK-4003 - X-Coordinate,STARLINK-3663 - X-Coordinate,STARLINK-5777 - X-Coordinate,STARLINK-6318 - X-Coordinate,STARLINK-31931 - X-Coordinate,STARLINK-4609 - X-Coordinate,STARLINK-31185 - X-Coordinate,STARLINK-3368 - X-Coordinate,STARLINK-2055 - X-Coordinate,STARLINK-31588 - X-Coordinate,STARLINK-3582 - X-Coordinate,STARLINK-31281 - X-Coordinate,STARLINK-1463 - X-Coordinate,STARLINK-4454 - X-Coordinate,STARLINK-1293 - X-Coordinate,STARLINK-3728 - X-Coordinate,STARLINK-4337 - X-Coordinate,STARLINK-1007 - X-Coordinate,STARLINK-1236 - X-Coordinate,STARLINK-1262 - X-Coordinate,STARLINK-4528 - X-Coordinate,STARLINK-3259 - X-Coordinate,STARLINK-30217 - X-Coordinate,STARLINK-5301 - X-Coordinate,STARLINK-4213 - X-Coordinate,STARLINK-30455 - X-Coordinate,STARLINK-4756 - X-Coordinate,STARLINK-1882 - X-Coordinate,STARLINK-4372 - X-Coordinate,STARLINK-3058 - X-Coordinate,STARLINK-11182 [DTC] - X-Coordinate,STARLINK-1912 - X-Coordinate,STARLINK-31977 - X-Coordinate,STARLINK-4084 - X-Coordinate,STARLINK-2502 - X-Coordinate,STARLINK-1030 - X-Coordinate,STARLINK-1488 - X-Coordinate,STARLINK-5706 - X-Coordinate,STARLINK-3071 - X-Coordinate,STARLINK-4311 - X-Coordinate,STARLINK-30248 - X-Coordinate,STARLINK-5148 - X-Coordinate,STARLINK-2514 - X-Coordinate,STARLINK-2163 - X-Coordinate,STARLINK-2666 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5952 - Y-Coordinate,STARLINK-4588 - Y-Coordinate,STARLINK-3830 - Y-Coordinate,STARLINK-30113 - Y-Coordinate,STARLINK-5535 - Y-Coordinate,STARLINK-5493 - Y-Coordinate,STARLINK-5446 - Y-Coordinate,STARLINK-32235 - Y-Coordinate,STARLINK-2094 - Y-Coordinate,STARLINK-11121 [DTC] - Y-Coordinate,STARLINK-32277 - Y-Coordinate,STARLINK-2039 - Y-Coordinate,STARLINK-2129 - Y-Coordinate,STARLINK-2142 - Y-Coordinate,STARLINK-30909 - Y-Coordinate,STARLINK-4513 - Y-Coordinate,STARLINK-5623 - Y-Coordinate,STARLINK-1449 - Y-Coordinate,STARLINK-11109 [DTC] - Y-Coordinate,STARLINK-3166 - Y-Coordinate,STARLINK-3853 - Y-Coordinate,STARLINK-1375 - Y-Coordinate,STARLINK-4655 - Y-Coordinate,STARLINK-1907 - Y-Coordinate,STARLINK-3929 - Y-Coordinate,STARLINK-3233 - Y-Coordinate,STARLINK-3503 - Y-Coordinate,STARLINK-2109 - Y-Coordinate,STARLINK-2244 - Y-Coordinate,STARLINK-5439 - Y-Coordinate,STARLINK-32246 - Y-Coordinate,STARLINK-3298 - Y-Coordinate,STARLINK-3055 - Y-Coordinate,STARLINK-1029 - Y-Coordinate,STARLINK-30710 - Y-Coordinate,STARLINK-32265 - Y-Coordinate,STARLINK-5862 - Y-Coordinate,STARLINK-3174 - Y-Coordinate,STARLINK-31008 - Y-Coordinate,STARLINK-32147 - Y-Coordinate,STARLINK-4607 - Y-Coordinate,STARLINK-30470 - Y-Coordinate,STARLINK-31359 - Y-Coordinate,STARLINK-11124 [DTC] - Y-Coordinate,STARLINK-4784 - Y-Coordinate,STARLINK-4380 - Y-Coordinate,STARLINK-3955 - Y-Coordinate,STARLINK-6278 - Y-Coordinate,STARLINK-5101 - Y-Coordinate,STARLINK-4800 - Y-Coordinate,STARLINK-1880 - Y-Coordinate,STARLINK-3942 - Y-Coordinate,STARLINK-5998 - Y-Coordinate,STARLINK-1608 - Y-Coordinate,STARLINK-5384 - Y-Coordinate,STARLINK-4003 - Y-Coordinate,STARLINK-3663 - Y-Coordinate,STARLINK-5777 - Y-Coordinate,STARLINK-6318 - Y-Coordinate,STARLINK-31931 - Y-Coordinate,STARLINK-4609 - Y-Coordinate,STARLINK-31185 - Y-Coordinate,STARLINK-3368 - Y-Coordinate,STARLINK-2055 - Y-Coordinate,STARLINK-31588 - Y-Coordinate,STARLINK-3582 - Y-Coordinate,STARLINK-31281 - Y-Coordinate,STARLINK-1463 - Y-Coordinate,STARLINK-4454 - Y-Coordinate,STARLINK-1293 - Y-Coordinate,STARLINK-3728 - Y-Coordinate,STARLINK-4337 - Y-Coordinate,STARLINK-1007 - Y-Coordinate,STARLINK-1236 - Y-Coordinate,STARLINK-1262 - Y-Coordinate,STARLINK-4528 - Y-Coordinate,STARLINK-3259 - Y-Coordinate,STARLINK-30217 - Y-Coordinate,STARLINK-5301 - Y-Coordinate,STARLINK-4213 - Y-Coordinate,STARLINK-30455 - Y-Coordinate,STARLINK-4756 - Y-Coordinate,STARLINK-1882 - Y-Coordinate,STARLINK-4372 - Y-Coordinate,STARLINK-3058 - Y-Coordinate,STARLINK-11182 [DTC] - Y-Coordinate,STARLINK-1912 - Y-Coordinate,STARLINK-31977 - Y-Coordinate,STARLINK-4084 - Y-Coordinate,STARLINK-2502 - Y-Coordinate,STARLINK-1030 - Y-Coordinate,STARLINK-1488 - Y-Coordinate,STARLINK-5706 - Y-Coordinate,STARLINK-3071 - Y-Coordinate,STARLINK-4311 - Y-Coordinate,STARLINK-30248 - Y-Coordinate,STARLINK-5148 - Y-Coordinate,STARLINK-2514 - Y-Coordinate,STARLINK-2163 - Y-Coordinate,STARLINK-2666 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5952 - Z-Coordinate,STARLINK-4588 - Z-Coordinate,STARLINK-3830 - Z-Coordinate,STARLINK-30113 - Z-Coordinate,STARLINK-5535 - Z-Coordinate,STARLINK-5493 - Z-Coordinate,STARLINK-5446 - Z-Coordinate,STARLINK-32235 - Z-Coordinate,STARLINK-2094 - Z-Coordinate,STARLINK-11121 [DTC] - Z-Coordinate,STARLINK-32277 - Z-Coordinate,STARLINK-2039 - Z-Coordinate,STARLINK-2129 - Z-Coordinate,STARLINK-2142 - Z-Coordinate,STARLINK-30909 - Z-Coordinate,STARLINK-4513 - Z-Coordinate,STARLINK-5623 - Z-Coordinate,STARLINK-1449 - Z-Coordinate,STARLINK-11109 [DTC] - Z-Coordinate,STARLINK-3166 - Z-Coordinate,STARLINK-3853 - Z-Coordinate,STARLINK-1375 - Z-Coordinate,STARLINK-4655 - Z-Coordinate,STARLINK-1907 - Z-Coordinate,STARLINK-3929 - Z-Coordinate,STARLINK-3233 - Z-Coordinate,STARLINK-3503 - Z-Coordinate,STARLINK-2109 - Z-Coordinate,STARLINK-2244 - Z-Coordinate,STARLINK-5439 - Z-Coordinate,STARLINK-32246 - Z-Coordinate,STARLINK-3298 - Z-Coordinate,STARLINK-3055 - Z-Coordinate,STARLINK-1029 - Z-Coordinate,STARLINK-30710 - Z-Coordinate,STARLINK-32265 - Z-Coordinate,STARLINK-5862 - Z-Coordinate,STARLINK-3174 - Z-Coordinate,STARLINK-31008 - Z-Coordinate,STARLINK-32147 - Z-Coordinate,STARLINK-4607 - Z-Coordinate,STARLINK-30470 - Z-Coordinate,STARLINK-31359 - Z-Coordinate,STARLINK-11124 [DTC] - Z-Coordinate,STARLINK-4784 - Z-Coordinate,STARLINK-4380 - Z-Coordinate,STARLINK-3955 - Z-Coordinate,STARLINK-6278 - Z-Coordinate,STARLINK-5101 - Z-Coordinate,STARLINK-4800 - Z-Coordinate,STARLINK-1880 - Z-Coordinate,STARLINK-3942 - Z-Coordinate,STARLINK-5998 - Z-Coordinate,STARLINK-1608 - Z-Coordinate,STARLINK-5384 - Z-Coordinate,STARLINK-4003 - Z-Coordinate,STARLINK-3663 - Z-Coordinate,STARLINK-5777 - Z-Coordinate,STARLINK-6318 - Z-Coordinate,STARLINK-31931 - Z-Coordinate,STARLINK-4609 - Z-Coordinate,STARLINK-31185 - Z-Coordinate,STARLINK-3368 - Z-Coordinate,STARLINK-2055 - Z-Coordinate,STARLINK-31588 - Z-Coordinate,STARLINK-3582 - Z-Coordinate,STARLINK-31281 - Z-Coordinate,STARLINK-1463 - Z-Coordinate,STARLINK-4454 - Z-Coordinate,STARLINK-1293 - Z-Coordinate,STARLINK-3728 - Z-Coordinate,STARLINK-4337 - Z-Coordinate,STARLINK-1007 - Z-Coordinate,STARLINK-1236 - Z-Coordinate,STARLINK-1262 - Z-Coordinate,STARLINK-4528 - Z-Coordinate,STARLINK-3259 - Z-Coordinate,STARLINK-30217 - Z-Coordinate,STARLINK-5301 - Z-Coordinate,STARLINK-4213 - Z-Coordinate,STARLINK-30455 - Z-Coordinate,STARLINK-4756 - Z-Coordinate,STARLINK-1882 - Z-Coordinate,STARLINK-4372 - Z-Coordinate,STARLINK-3058 - Z-Coordinate,STARLINK-11182 [DTC] - Z-Coordinate,STARLINK-1912 - Z-Coordinate,STARLINK-31977 - Z-Coordinate,STARLINK-4084 - Z-Coordinate,STARLINK-2502 - Z-Coordinate,STARLINK-1030 - Z-Coordinate,STARLINK-1488 - Z-Coordinate,STARLINK-5706 - Z-Coordinate,STARLINK-3071 - Z-Coordinate,STARLINK-4311 - Z-Coordinate,STARLINK-30248 - Z-Coordinate,STARLINK-5148 - Z-Coordinate,STARLINK-2514 - Z-Coordinate,STARLINK-2163 - Z-Coordinate,STARLINK-2666 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,89.7955,1872.6871,-4410.0276,1019.4327,4449.4134,4307.7069,3680.2350,-1006.4460,-6204.1057,5406.3447,2306.7500,2228.7118,-2604.4950,518.4653,-4816.4165,-3012.4671,-6091.4462,740.8210,-703.0466,-5991.4337,-7.6856,4172.2195,-5767.7107,-6719.9741,2465.6418,-828.9176,-4078.5850,-4292.3001,5196.5653,4611.4359,6522.3393,6468.2754,-3255.8039,6388.9299,-667.1543,6855.5798,3213.7102,3838.7855,1539.7374,-3766.9873,5135.8953,-2288.9837,-6420.8169,-1054.6004,5934.1168,6129.6350,-106.8280,-3041.6336,4714.2229,4220.1233,-5683.6397,-1002.0840,2391.0074,-5179.2505,6831.4575,3992.4186,-4267.1681,5233.3109,-5241.3535,5866.9597,-524.1401,-4306.7097,6066.1292,3214.0188,3582.0779,1060.6554,-23.6549,-1938.5511,-128.8625,382.5387,336.6195,4789.7592,0.0000,-5239.5057,2956.9587,-3457.2073,6017.1456,94.9616,-4939.1300,3611.9420,1111.4756,5572.2159,-2438.1408,-275.5622,3349.4017,-244.6658,1234.1851,3935.1859,5020.5912,-6363.7022,-3965.2697,0.0000,6137.4162,341.0867,5442.9508,4471.8960,3368.8652,6874.8184,3401.7901,5935.0581,-29583.7173,-28648.9118,-22466.7159,-26425.9813,-21158.8633,-23329.2592,-30266.9441,-26876.9691,-5695491.2019,-5667138.6410,-5681496.8152,-5675284.3014,-27832.9513,-5680327.4521,5940.6480,-3994.7919,-1027.6151,-6837.0830,3474.5103,3862.3665,-2602.6279,-4758.5918,-2065.4251,-2911.0953,3441.3670,4671.8218,4785.9430,-4149.4412,4906.2178,-5000.7222,1496.2514,-5249.6969,5647.1000,2361.9611,-6576.6524,-3379.2831,-3645.8587,-969.9622,3401.0066,5842.8167,789.8389,-4986.3387,-2710.1774,3535.7640,-1828.4561,2372.0864,4242.3508,-2040.0499,5290.0143,178.1601,301.3936,-3627.0532,-4779.1565,4950.2748,3305.3008,5130.2406,1111.5443,5235.3652,690.3821,-3212.7808,4791.2062,-4479.5297,-4324.9314,2830.1007,3186.9332,5091.1475,-40.7143,-1279.7335,-716.7557,2429.7382,-185.1723,1315.9394,3049.3776,-2658.2402,-5044.3839,3972.2794,-3293.4796,6084.0506,-4635.6979,-6534.5866,5846.3979,4165.3351,-6240.6653,4785.9206,6674.8268,2336.3769,0.0000,-3968.9594,3454.9496,4858.5643,3231.7897,-5925.7628,606.6406,4452.6576,-4328.7833,-3891.7126,-3431.8594,1209.3690,-5763.2788,-5793.3654,-4596.5350,3451.5778,-2770.5408,-1225.5235,1290.7409,0.0000,-1252.5855,-2515.3964,2931.1121,-2755.2778,-2403.9176,142.0982,-2815.8659,-2783.0911,374635.4432,387521.8306,386987.1606,384255.7121,390861.2218,388298.2329,393235.0233,388538.9210,342301158.7797,342358162.6902,342320035.1153,342324194.6851,389647.1942,342311955.7512,-3583.8854,5315.3412,-5242.3809,-205.3638,4033.9777,3816.0471,-5240.4350,4729.8090,2265.2870,-2767.0433,-5432.8005,4589.4558,4255.7868,-5408.5051,-904.2606,-3715.9678,2982.8300,4180.5057,-3581.5781,-2530.1687,2129.2205,-4332.4980,-1150.2783,1011.0686,5480.2221,3598.3933,5519.5457,-2150.3469,3749.2635,-3754.1181,1359.1263,-596.7601,-4455.1734,-1673.9839,4276.5663,182.1908,-6131.7005,4455.1068,4664.3581,-2668.2925,-3260.9804,4054.2072,-1377.5993,-4086.8524,-3490.8460,-479.6297,4970.3390,4319.4848,2669.0939,-4700.1076,-2239.2989,4556.3581,6514.8676,4313.2615,-944.8438,5015.2995,5365.3758,4348.3196,3357.0358,-2268.9286,4693.5537,3564.5961,475.7353,-696.8307,-3494.6785,-2006.7388,3580.5455,-5246.6976,-3043.1734,4982.7760,-1790.2816,4439.5069,0.0000,2142.0523,5207.0488,3490.2581,1087.5512,-3603.5742,4854.8474,-3872.3539,-5201.8903,1241.3356,5426.5387,6792.7164,1954.8272,-3439.3344,5003.3821,-4375.9463,3852.7758,-2436.3569,-5531.7227,0.0000,2974.6549,6460.5008,3146.2465,4519.4692,5529.5082,713.5056,5314.7123,-2179.1050,-98934.8381,-100840.5605,-102325.1571,-95403.8257,-96578.7455,-107274.6871,-107777.0369,-99941.6274,-72445234.7218,-72457379.7365,-72474022.0465,-72456144.3590,-100962.5060,-72453652.9561,
300.000,1865.1807,239.1417,-4005.0441,-499.8802,2915.3211,5769.9268,2941.7879,-2865.6453,-5771.2333,5096.9740,3839.8003,4014.2127,-638.5154,-1656.7744,-3649.1708,-4543.2546,-4744.8769,-1048.5929,685.3035,-4633.3599,-1267.8950,2252.0059,-5887.0181,-6814.6714,4251.2000,778.5067,-3652.2989,-5390.0574,5029.4436,4624.1017,5526.0234,6701.6035,-1598.6763,5286.8620,838.6088,6486.8431,4555.2100,1863.9001,-593.1604,-2080.6507,6279.7124,-207.3137,-5483.0876,764.6377,6616.7930,5865.1994,1765.7149,-4274.4565,2986.5719,5700.3822,-4275.6549,881.1869,2522.0548,-6185.9435,6546.9227,5446.1092,-3688.8437,5018.0921,-4640.7480,4475.2238,-2283.6010,-3331.5215,5080.9255,4043.2125,2365.8430,-145.3009,1798.3731,-402.0231,339.0332,2150.9326,1578.5248,5562.1227,0.0000,-5329.5671,3874.7150,-1637.6959,6047.1120,-1674.9603,-3218.8852,4072.3175,-668.9186,4327.8083,-4248.1956,-2254.6773,2303.5885,-1670.4292,-834.7826,5412.8933,4824.9630,-6886.1511,-3058.4685,0.0000,6067.4708,-1803.3834,5800.1910,2868.0282,2008.8915,6743.7929,2427.0209,4599.5174,-37414.3441,-37397.1657,-30756.5617,-34717.4715,-29382.6657,-31513.4582,-38498.2189,-35185.3157,-13168681.6425,-13141397.9071,-13155226.0117,-13149096.6637,-36082.8946,-13153602.7191,6237.0775,-5208.6059,1086.4610,-6766.2025,2853.0352,2722.0406,-4462.8471,-5005.9519,-551.9750,-4273.1425,1880.4304,4535.1614,4547.8216,-3906.6474,5859.5364,-4737.8769,1922.1245,-4319.6545,6376.0793,3243.6832,-6788.4517,-3930.1854,-2275.0831,246.2921,2269.2454,4942.6238,2886.7967,-4322.3808,-4260.4471,1665.7571,-2832.5718,1181.6782,3576.3372,-3006.2988,6126.5380,-1037.0004,-1122.7651,-4050.0208,-5140.3529,4978.5184,2408.3598,5157.9004,2234.9654,4401.9057,-648.2187,-2579.3746,3800.0645,-2751.6402,-4979.0908,1777.9172,3888.7576,4304.7208,-2205.4750,125.3985,-2197.4130,1138.4566,1923.4119,-798.7205,4701.0785,-3807.1004,-5510.7313,5505.3675,-4126.1334,5058.3103,-5975.1654,-6910.3258,4967.5118,5418.0297,-6876.3692,3620.4405,6734.3857,3301.1179,0.0000,-2419.1014,1504.6954,4797.1330,1862.3901,-6278.0938,1396.0307,2614.9053,-5264.7266,-4520.7356,-2342.3500,2166.3395,-5297.6850,-4603.2727,-4108.0849,2052.1566,-4349.2014,-15.1968,3252.1692,0.0000,-2939.2906,-1977.2297,3673.0288,-4182.5461,-4075.7450,-1065.9188,-4606.7078,-3584.8788,373980.9579,386961.6361,386166.9930,383578.5767,390186.0415,387619.6732,392460.5569,388222.1940,342095845.5112,342153100.0678,342114371.1402,342119015.5089,388945.1974,342106612.3636,-2397.6886,4533.3442,-5546.9853,1330.8327,5610.5486,2713.1815,-4381.9956,3575.0844,3773.7099,-1050.9655,-5329.3547,3347.3182,5165.8079,-5360.2325,641.1105,-2187.2605,4689.3792,5079.5546,-2019.1464,-3988.0775,360.1248,-5204.5170,-2841.3770,-808.1015,4946.7386,4765.3584,5105.0691,-387.5577,2234.8952,-4869.7224,3021.9817,1217.3878,-5754.1234,-3288.5563,2917.1403,1968.4570,-5098.2406,5276.4376,4494.1229,-4088.3377,-1637.3125,4619.3249,-3053.3861,-5026.8115,-1911.8627,-2662.5620,5486.2197,4703.9234,3784.1026,-3498.9477,-3753.9270,5325.0742,6078.9904,2969.2106,599.9996,4008.0481,5451.6500,4711.9938,2105.0175,-3482.7058,3492.2951,2376.9235,2235.2130,-2433.5317,-2285.4389,-228.2437,4366.9075,-4371.8439,-896.3824,5489.0543,2.0051,2514.4351,0.0000,3674.5347,5523.2022,4691.8674,2786.0253,-2423.8558,5999.3565,-4945.3178,-4343.3022,2921.1528,4863.1733,6158.2044,3852.0514,-4635.0038,5486.1850,-3610.5037,2358.9570,-700.4739,-5297.0121,0.0000,1631.1577,6405.0505,1010.8913,4721.7123,5202.2793,-1098.8560,4544.6719,-3705.5080,-99088.8341,-100834.5445,-102364.6262,-95650.3362,-96559.7350,-107211.4324,-108062.7334,-99732.8845,-72450402.1283,-72462936.3374,-72479353.8452,-72461856.5616,-101083.6752,-72459009.1911,
600.000,3442.5509,-1377.5543,-3265.3571,-1983.1251,1108.3163,6674.0241,1960.1782,-4400.4480,-4789.7785,4245.4990,5019.4745,5386.0343,1414.8965,-3667.0674,-2123.0893,-5609.4544,-2912.8805,-2767.5459,1976.8247,-2813.3338,-2397.7251,106.4535,-5443.1225,-6216.3591,5634.1311,2352.0150,-2920.4584,-5949.5903,4392.2747,4229.4084,3974.0745,6270.9958,261.4204,3655.1303,2228.3404,5456.9703,5471.5077,-299.6532,-2655.4691,-147.7573,6796.6918,1905.1915,-3934.2238,2541.1238,6648.0742,4945.7954,3499.3932,-5133.6338,960.3322,6621.1119,-2428.5987,2712.6665,2476.7249,-6575.7029,5625.9155,6360.6285,-2795.2269,4361.0823,-3608.9299,2629.0905,-3789.3192,-2045.7909,3579.7107,4495.9789,930.8956,-1334.2752,3471.7251,1132.4547,782.4618,3747.8810,2663.3869,5710.0115,0.0000,-4921.9704,4466.5664,369.5617,5493.6693,-3264.5240,-1193.5263,4184.6820,-2345.9551,2636.6030,-5646.9787,-4027.4657,982.8298,-2966.1599,-2843.2964,6352.6878,4170.8512,-6725.3836,-1906.0806,0.0000,5420.6121,-3783.9442,5518.2659,1013.9099,498.6536,5940.8481,1261.0211,2798.7313,-45230.5163,-46094.2078,-39031.5899,-42993.4127,-37592.5665,-39683.6036,-46708.2366,-43564.1605,-20635614.7608,-20609404.4313,-20622681.8331,-20616661.1833,-44315.5506,-20620618.8738,5945.1987,-5935.3812,3110.2275,-6035.5178,1856.7518,1344.1979,-5882.8346,-4761.0161,1051.4209,-5164.7233,170.7756,3983.2091,3911.3016,-3323.9550,6248.4123,-4025.1667,2214.5470,-2970.6558,6420.6879,3848.8325,-6324.8818,-4147.5285,-654.2019,1446.6400,963.4420,3582.6415,4699.9424,-3232.3307,-5380.6458,-390.3503,-3587.8949,-139.7973,2613.0779,-3710.4543,6347.8984,-2168.8586,-2378.2186,-4129.7148,-5029.0566,4518.7356,1290.4901,4728.8999,3145.5950,3136.3331,-1901.7864,-1698.3908,2480.1337,-776.8323,-5186.1988,588.5110,4241.5504,3137.7178,-4135.7552,1486.2392,-3470.5819,-225.8506,3853.7202,-2847.6528,5888.7476,-4604.0971,-5458.0635,6483.9317,-4571.4378,3519.4100,-6705.7476,-6597.8568,3619.8389,6172.9247,-6763.8505,2142.6657,6123.5054,3936.1420,0.0000,-602.9675,-573.3151,4305.0050,281.9767,-6037.2232,2120.6974,510.7829,-5699.2725,-4728.1639,-1067.7798,2809.3528,-4324.0057,-2942.3048,-3268.3144,477.0674,-5479.7469,1188.8113,4913.1864,0.0000,-4329.5951,-1320.9654,4027.0231,-5241.2106,-5373.6457,-2180.1707,-5951.1715,-4070.7844,373164.8213,386268.5673,385174.3127,382727.4169,389336.8499,386769.8657,391511.1679,387782.4788,341727399.9927,341784879.2619,341745552.8152,341750663.4617,388068.5273,341738133.3374,-955.3821,3262.1814,-5258.4990,2723.3301,6589.7137,1319.9471,-3051.1522,2012.9906,4876.0256,787.8441,-4632.0794,1745.1819,5519.5475,-4715.8656,2117.7857,-423.0489,5897.2079,5391.7500,-219.8857,-5017.4774,-1447.8692,-5513.1151,-4226.9860,-2538.2566,3879.0160,5418.3749,4140.0975,1416.9422,484.0395,-5462.2521,4357.6738,2900.0191,-6446.8241,-4548.5515,1232.4239,3537.0154,-3519.5861,5528.6328,3827.1341,-5039.4601,162.4512,4689.8439,-4361.7225,-5379.5495,-126.9023,-4561.3106,5409.4053,4584.5155,4494.1187,-1921.6995,-4860.0784,5518.4843,4997.5249,1297.7478,2080.5289,2558.2165,4937.2357,4571.7809,627.6568,-4307.1283,1914.2470,926.6790,3753.7134,-3908.1143,-819.4117,1574.8485,4670.6203,-3037.9325,1345.9568,5406.1266,1794.0434,321.0179,0.0000,4810.3845,5245.0363,5386.8371,4183.8970,-984.9657,6509.0678,-5487.2444,-3005.4138,4284.8611,3766.1371,4860.0157,5339.3493,-5293.0362,5376.5676,-2440.1222,610.2359,1110.7628,-4495.7260,0.0000,113.2479,5669.9131,-1232.4529,4418.9069,4313.7407,-2792.6788,3284.6829,-4831.7134,-99243.0268,-100836.3473,-102401.6003,-95901.9255,-96544.3167,-107142.3304,-108342.7453,-99629.8185,-72455573.3526,-72468492.7292,-72484678.0375,-72467564.2331,-101204.7882,-72464365.3521,
