sl_100_86400_20250717 Coordinates.csv
2025/07/17 07:47:00.0000 UTC

Generated: Tue Oct  8 16:21:24 2024,
Start: 2025/07/17 07:47:00.00, Stop: 2025/07/18 07:47:00.00,
TIME_UNITS,STARLINK-3312 - X-Coordinate,STARLINK-30126 - X-Coordinate,STARLINK-31360 - X-Coordinate,STARLINK-2086 - X-Coordinate,STARLINK-5447 - X-Coordinate,STARLINK-31823 - X-Coordinate,STARLINK-5866 - X-Coordinate,STARLINK-2457 - X-Coordinate,STARLINK-3320 - X-Coordinate,STARLINK-2344 - X-Coordinate,STARLINK-2565 - X-Coordinate,STARLINK-1648 - X-Coordinate,STARLINK-31787 - X-Coordinate,STARLINK-31618 - X-Coordinate,STARLINK-1683 - X-Coordinate,STARLINK-31377 - X-Coordinate,STARLINK-5143 - X-Coordinate,STARLINK-5397 - X-Coordinate,STARLINK-3287 - X-Coordinate,STARLINK-2448 - X-Coordinate,STARLINK-30576 - X-Coordinate,STARLINK-11111 [DTC] - X-Coordinate,STARLINK-31866 - X-Coordinate,STARLINK-31952 - X-Coordinate,STARLINK-3295 - X-Coordinate,STARLINK-6144 - X-Coordinate,STARLINK-30312 - X-Coordinate,STARLINK-3771 - X-Coordinate,STARLINK-1471 - X-Coordinate,STARLINK-3238 - X-Coordinate,STARLINK-5779 - X-Coordinate,STARLINK-31708 - X-Coordinate,STARLINK-5101 - X-Coordinate,STARLINK-3657 - X-Coordinate,STARLINK-30268 - X-Coordinate,STARLINK-1422 - X-Coordinate,STARLINK-4044 - X-Coordinate,STARLINK-31485 - X-Coordinate,STARLINK-31161 - X-Coordinate,STARLINK-3859 - X-Coordinate,STARLINK-4424 - X-Coordinate,STARLINK-31349 - X-Coordinate,STARLINK-31197 - X-Coordinate,STARLINK-4607 - X-Coordinate,STARLINK-31033 - X-Coordinate,STARLINK-5199 - X-Coordinate,STARLINK-3111 - X-Coordinate,STARLINK-5057 - X-Coordinate,STARLINK-32129 - X-Coordinate,STARLINK-5201 - X-Coordinate,STARLINK-5623 - X-Coordinate,STARLINK-6301 - X-Coordinate,STARLINK-4102 - X-Coordinate,STARLINK-1060 - X-Coordinate,STARLINK-5711 - X-Coordinate,STARLINK-1323 - X-Coordinate,STARLINK-6050 - X-Coordinate,STARLINK-30362 - X-Coordinate,STARLINK-3166 - X-Coordinate,STARLINK-2499 - X-Coordinate,STARLINK-1982 - X-Coordinate,STARLINK-4386 - X-Coordinate,STARLINK-31863 - X-Coordinate,STARLINK-6299 - X-Coordinate,STARLINK-31498 - X-Coordinate,STARLINK-3448 - X-Coordinate,STARLINK-4630 - X-Coordinate,STARLINK-1545 - X-Coordinate,STARLINK-5328 - X-Coordinate,STARLINK-2055 - X-Coordinate,STARLINK-3865 - X-Coordinate,STARLINK-4476 - X-Coordinate,STARLINK-3955 - X-Coordinate,STARLINK-30818 - X-Coordinate,STARLINK-4587 - X-Coordinate,STARLINK-5353 - X-Coordinate,STARLINK-3881 - X-Coordinate,STARLINK-5600 - X-Coordinate,STARLINK-2282 - X-Coordinate,STARLINK-2748 - X-Coordinate,STARLINK-31994 - X-Coordinate,STARLINK-31225 - X-Coordinate,STARLINK-5807 - X-Coordinate,STARLINK-4357 - X-Coordinate,STARLINK-31910 - X-Coordinate,STARLINK-1707 - X-Coordinate,STARLINK-31136 - X-Coordinate,STARLINK-5125 - X-Coordinate,STARLINK-4283 - X-Coordinate,STARLINK-1357 - X-Coordinate,STARLINK-32270 - X-Coordinate,STARLINK-4017 - X-Coordinate,STARLINK-5874 - X-Coordinate,STARLINK-30321 - X-Coordinate,STARLINK-3565 - X-Coordinate,STARLINK-31752 - X-Coordinate,STARLINK-31303 - X-Coordinate,STARLINK-5449 - X-Coordinate,STARLINK-4330 - X-Coordinate,STARLINK-3675 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3312 - Y-Coordinate,STARLINK-30126 - Y-Coordinate,STARLINK-31360 - Y-Coordinate,STARLINK-2086 - Y-Coordinate,STARLINK-5447 - Y-Coordinate,STARLINK-31823 - Y-Coordinate,STARLINK-5866 - Y-Coordinate,STARLINK-2457 - Y-Coordinate,STARLINK-3320 - Y-Coordinate,STARLINK-2344 - Y-Coordinate,STARLINK-2565 - Y-Coordinate,STARLINK-1648 - Y-Coordinate,STARLINK-31787 - Y-Coordinate,STARLINK-31618 - Y-Coordinate,STARLINK-1683 - Y-Coordinate,STARLINK-31377 - Y-Coordinate,STARLINK-5143 - Y-Coordinate,STARLINK-5397 - Y-Coordinate,STARLINK-3287 - Y-Coordinate,STARLINK-2448 - Y-Coordinate,STARLINK-30576 - Y-Coordinate,STARLINK-11111 [DTC] - Y-Coordinate,STARLINK-31866 - Y-Coordinate,STARLINK-31952 - Y-Coordinate,STARLINK-3295 - Y-Coordinate,STARLINK-6144 - Y-Coordinate,STARLINK-30312 - Y-Coordinate,STARLINK-3771 - Y-Coordinate,STARLINK-1471 - Y-Coordinate,STARLINK-3238 - Y-Coordinate,STARLINK-5779 - Y-Coordinate,STARLINK-31708 - Y-Coordinate,STARLINK-5101 - Y-Coordinate,STARLINK-3657 - Y-Coordinate,STARLINK-30268 - Y-Coordinate,STARLINK-1422 - Y-Coordinate,STARLINK-4044 - Y-Coordinate,STARLINK-31485 - Y-Coordinate,STARLINK-31161 - Y-Coordinate,STARLINK-3859 - Y-Coordinate,STARLINK-4424 - Y-Coordinate,STARLINK-31349 - Y-Coordinate,STARLINK-31197 - Y-Coordinate,STARLINK-4607 - Y-Coordinate,STARLINK-31033 - Y-Coordinate,STARLINK-5199 - Y-Coordinate,STARLINK-3111 - Y-Coordinate,STARLINK-5057 - Y-Coordinate,STARLINK-32129 - Y-Coordinate,STARLINK-5201 - Y-Coordinate,STARLINK-5623 - Y-Coordinate,STARLINK-6301 - Y-Coordinate,STARLINK-4102 - Y-Coordinate,STARLINK-1060 - Y-Coordinate,STARLINK-5711 - Y-Coordinate,STARLINK-1323 - Y-Coordinate,STARLINK-6050 - Y-Coordinate,STARLINK-30362 - Y-Coordinate,STARLINK-3166 - Y-Coordinate,STARLINK-2499 - Y-Coordinate,STARLINK-1982 - Y-Coordinate,STARLINK-4386 - Y-Coordinate,STARLINK-31863 - Y-Coordinate,STARLINK-6299 - Y-Coordinate,STARLINK-31498 - Y-Coordinate,STARLINK-3448 - Y-Coordinate,STARLINK-4630 - Y-Coordinate,STARLINK-1545 - Y-Coordinate,STARLINK-5328 - Y-Coordinate,STARLINK-2055 - Y-Coordinate,STARLINK-3865 - Y-Coordinate,STARLINK-4476 - Y-Coordinate,STARLINK-3955 - Y-Coordinate,STARLINK-30818 - Y-Coordinate,STARLINK-4587 - Y-Coordinate,STARLINK-5353 - Y-Coordinate,STARLINK-3881 - Y-Coordinate,STARLINK-5600 - Y-Coordinate,STARLINK-2282 - Y-Coordinate,STARLINK-2748 - Y-Coordinate,STARLINK-31994 - Y-Coordinate,STARLINK-31225 - Y-Coordinate,STARLINK-5807 - Y-Coordinate,STARLINK-4357 - Y-Coordinate,STARLINK-31910 - Y-Coordinate,STARLINK-1707 - Y-Coordinate,STARLINK-31136 - Y-Coordinate,STARLINK-5125 - Y-Coordinate,STARLINK-4283 - Y-Coordinate,STARLINK-1357 - Y-Coordinate,STARLINK-32270 - Y-Coordinate,STARLINK-4017 - Y-Coordinate,STARLINK-5874 - Y-Coordinate,STARLINK-30321 - Y-Coordinate,STARLINK-3565 - Y-Coordinate,STARLINK-31752 - Y-Coordinate,STARLINK-31303 - Y-Coordinate,STARLINK-5449 - Y-Coordinate,STARLINK-4330 - Y-Coordinate,STARLINK-3675 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3312 - Z-Coordinate,STARLINK-30126 - Z-Coordinate,STARLINK-31360 - Z-Coordinate,STARLINK-2086 - Z-Coordinate,STARLINK-5447 - Z-Coordinate,STARLINK-31823 - Z-Coordinate,STARLINK-5866 - Z-Coordinate,STARLINK-2457 - Z-Coordinate,STARLINK-3320 - Z-Coordinate,STARLINK-2344 - Z-Coordinate,STARLINK-2565 - Z-Coordinate,STARLINK-1648 - Z-Coordinate,STARLINK-31787 - Z-Coordinate,STARLINK-31618 - Z-Coordinate,STARLINK-1683 - Z-Coordinate,STARLINK-31377 - Z-Coordinate,STARLINK-5143 - Z-Coordinate,STARLINK-5397 - Z-Coordinate,STARLINK-3287 - Z-Coordinate,STARLINK-2448 - Z-Coordinate,STARLINK-30576 - Z-Coordinate,STARLINK-11111 [DTC] - Z-Coordinate,STARLINK-31866 - Z-Coordinate,STARLINK-31952 - Z-Coordinate,STARLINK-3295 - Z-Coordinate,STARLINK-6144 - Z-Coordinate,STARLINK-30312 - Z-Coordinate,STARLINK-3771 - Z-Coordinate,STARLINK-1471 - Z-Coordinate,STARLINK-3238 - Z-Coordinate,STARLINK-5779 - Z-Coordinate,STARLINK-31708 - Z-Coordinate,STARLINK-5101 - Z-Coordinate,STARLINK-3657 - Z-Coordinate,STARLINK-30268 - Z-Coordinate,STARLINK-1422 - Z-Coordinate,STARLINK-4044 - Z-Coordinate,STARLINK-31485 - Z-Coordinate,STARLINK-31161 - Z-Coordinate,STARLINK-3859 - Z-Coordinate,STARLINK-4424 - Z-Coordinate,STARLINK-31349 - Z-Coordinate,STARLINK-31197 - Z-Coordinate,STARLINK-4607 - Z-Coordinate,STARLINK-31033 - Z-Coordinate,STARLINK-5199 - Z-Coordinate,STARLINK-3111 - Z-Coordinate,STARLINK-5057 - Z-Coordinate,STARLINK-32129 - Z-Coordinate,STARLINK-5201 - Z-Coordinate,STARLINK-5623 - Z-Coordinate,STARLINK-6301 - Z-Coordinate,STARLINK-4102 - Z-Coordinate,STARLINK-1060 - Z-Coordinate,STARLINK-5711 - Z-Coordinate,STARLINK-1323 - Z-Coordinate,STARLINK-6050 - Z-Coordinate,STARLINK-30362 - Z-Coordinate,STARLINK-3166 - Z-Coordinate,STARLINK-2499 - Z-Coordinate,STARLINK-1982 - Z-Coordinate,STARLINK-4386 - Z-Coordinate,STARLINK-31863 - Z-Coordinate,STARLINK-6299 - Z-Coordinate,STARLINK-31498 - Z-Coordinate,STARLINK-3448 - Z-Coordinate,STARLINK-4630 - Z-Coordinate,STARLINK-1545 - Z-Coordinate,STARLINK-5328 - Z-Coordinate,STARLINK-2055 - Z-Coordinate,STARLINK-3865 - Z-Coordinate,STARLINK-4476 - Z-Coordinate,STARLINK-3955 - Z-Coordinate,STARLINK-30818 - Z-Coordinate,STARLINK-4587 - Z-Coordinate,STARLINK-5353 - Z-Coordinate,STARLINK-3881 - Z-Coordinate,STARLINK-5600 - Z-Coordinate,STARLINK-2282 - Z-Coordinate,STARLINK-2748 - Z-Coordinate,STARLINK-31994 - Z-Coordinate,STARLINK-31225 - Z-Coordinate,STARLINK-5807 - Z-Coordinate,STARLINK-4357 - Z-Coordinate,STARLINK-31910 - Z-Coordinate,STARLINK-1707 - Z-Coordinate,STARLINK-31136 - Z-Coordinate,STARLINK-5125 - Z-Coordinate,STARLINK-4283 - Z-Coordinate,STARLINK-1357 - Z-Coordinate,STARLINK-32270 - Z-Coordinate,STARLINK-4017 - Z-Coordinate,STARLINK-5874 - Z-Coordinate,STARLINK-30321 - Z-Coordinate,STARLINK-3565 - Z-Coordinate,STARLINK-31752 - Z-Coordinate,STARLINK-31303 - Z-Coordinate,STARLINK-5449 - Z-Coordinate,STARLINK-4330 - Z-Coordinate,STARLINK-3675 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4536.0623,5074.6229,-2521.4142,3287.0268,221.2394,-4836.0400,-4435.7767,2495.7476,4053.6583,-6127.4865,6292.4142,-2922.0243,-1110.4658,6046.0379,-4201.5872,-805.0016,4120.9724,1172.3191,-6872.7950,3984.7709,6886.2229,-2243.7262,6144.3102,5069.6579,3308.6454,5771.3599,5472.4385,-6604.0013,-455.8204,4231.8259,-4716.0852,-5425.3417,-31.0317,-2178.3705,2964.2302,3182.9185,3383.9391,5206.8101,-878.0041,6655.2843,5140.7662,4741.6475,-3873.8732,-6846.6284,3348.8809,-4094.3274,2199.8456,-3341.2475,-3582.0352,850.5494,-748.0622,5394.9003,1435.9988,-1216.8115,2492.8362,-2867.8915,-2169.0046,5579.7001,-6571.9707,-4054.2761,2806.0305,-5734.9657,1865.4630,-3323.4878,-3901.4614,-4735.6040,993.3830,-838.0283,-1125.3282,-219.8440,1611.2636,757.9932,2045.6637,125.6152,-2669.0008,2030.7805,-2691.0401,-4070.3725,-5047.9709,4585.1230,-1758.5491,6029.1437,3550.7994,-3847.1206,3182.8390,-4361.6018,-1902.6306,5720.4174,-6826.1289,3871.8643,-2958.1786,624.3342,-448.4035,6594.4126,4163.6811,0.0000,-5098.5474,1840.1317,-5152.4932,2758.8555,-285978.4510,-268811.3475,-287839.3301,-292268.9958,-284200.8809,-287514.2797,-285459.9798,-287426.8181,135334129.2401,135358844.0577,135370169.8066,135350428.3626,-287891.9282,135346753.1109,4524.6747,-4242.1430,4869.9926,-2587.5984,-5063.9432,-2406.1736,-4061.0472,-4675.2166,-835.2966,-456.0542,515.5381,4257.1748,5165.0682,635.7671,-689.3151,-6659.4462,-3408.0834,6681.1834,-760.3499,1424.2736,-223.3723,-3549.8086,-1531.8404,940.5334,-3156.7449,-3400.5659,-3095.0034,1666.4877,4218.8468,-3911.1244,4033.8707,3239.5448,-6865.1273,3898.4254,5487.1941,-3008.0413,-5305.5034,-3752.5786,4962.4570,736.6008,-3197.8836,1751.0711,4729.1404,298.9315,-4258.1373,613.3692,-3517.4139,-2445.7049,-2889.2722,-6816.3878,-3585.6176,4258.8171,6732.9834,4461.4806,-5144.7876,3979.9720,1368.7383,-746.4208,1872.8299,-1069.9830,6168.3774,2560.6321,4649.0941,-3996.6213,-4347.5951,79.4644,521.0912,-4374.2329,2162.0232,5020.0524,-3833.4973,-4969.9831,4012.0408,5205.4009,-5080.3507,-5311.4827,-4551.1189,4863.9848,4032.5660,2800.1482,6607.9641,-12.6578,-3627.3707,1143.6242,-5652.4968,4528.8291,3691.0049,3545.3798,-38.4581,-3843.8836,-3672.2924,5776.3662,810.1934,1628.3346,-256.1410,0.0000,521.0830,5777.4273,-3726.3565,-3253.7656,-227254.2465,-223525.6633,-234663.8300,-232071.0780,-234390.3090,-233328.1933,-225055.7722,-227670.5267,270595177.7205,270605322.1975,270600864.5291,270603002.8638,-228709.4179,270608348.9727,-2612.2583,2074.2427,-3843.9206,-5501.2701,-4705.6863,-4174.0679,3446.3542,-4448.5772,5532.0003,3089.0583,2792.5498,-4606.9968,4303.2027,3085.2426,-5442.6643,1365.5997,-4391.6235,-1464.6445,-174.9447,5467.1611,757.0648,5256.9074,-2541.5253,4444.5127,5176.6667,-1801.9100,-2926.8103,-1196.3306,-5475.6902,3816.1061,-3099.9940,2568.5719,-992.8231,5274.7199,-3035.2743,-5352.8860,2860.5674,2310.6388,4643.0083,-1737.5272,3386.7136,4562.5358,-3122.8031,949.7807,4310.4828,5531.9432,5526.3360,5527.5464,5030.3305,-826.0981,5898.7446,911.2941,674.4950,-5164.9001,3919.7816,4860.1854,6450.3501,-4055.5742,1061.5783,5462.5380,1389.9644,2948.7927,4621.8278,-4594.3573,3515.1785,4986.0972,-6853.7956,5283.4328,6500.5983,4745.6379,-5531.8762,-4749.1526,5237.1029,4575.7253,3854.7081,-3972.5223,-4450.1624,2797.1202,-1883.3338,4339.4608,-133.0270,-3267.7647,-4751.3171,5652.7776,2103.0938,2815.7803,5536.3835,1598.0766,-1105.9977,-4261.5957,4927.0161,3743.8665,6870.0219,797.2897,-5517.9093,0.0000,4380.8652,3315.9248,2780.8394,-5452.3939,53507.2184,53556.7328,52072.8930,59312.7944,57821.3928,47110.8894,46899.9639,52203.4647,30280284.7887,30258603.9713,30280582.0478,30295940.2961,53579.9719,30289479.1659,
3600.000,3462.0986,-3483.9124,-2571.9125,-1083.2997,2268.9006,6721.7447,6486.3543,1733.7188,-3125.5099,6620.4958,-6632.5536,1590.6703,-2426.2856,-3840.2665,5475.0933,2681.2988,-3569.8395,-3310.3450,5440.4863,-4605.2365,-5155.5099,5457.5033,-5251.0562,-4313.4553,-2012.8680,-4327.2877,-4454.4414,5408.9053,-3224.7224,-3567.4904,1026.6580,4367.3938,2189.0775,-156.5707,-5219.1021,686.1828,-2150.3124,-3392.0469,-3438.6535,-4507.0318,-6582.4373,-6114.9780,1854.8170,5818.7302,859.0794,3480.0477,1493.9182,5604.8241,4469.2134,833.4408,3209.0030,-6056.1298,-2782.3593,-1427.1916,-175.0295,-1541.7366,-1229.2712,-3241.8167,5287.4523,4418.4955,-3907.3236,2420.3863,-5584.9871,6214.5739,5065.8166,5944.5750,4192.4665,4541.6039,-3022.7541,-2301.0924,2372.6506,3182.9855,-4850.7705,-3627.4519,4801.9332,1996.1247,5311.7703,377.7823,810.1545,-6735.4838,-580.5294,-6227.7294,589.8781,-1059.2515,812.9880,3265.2840,-1780.4147,-4795.4519,5937.5517,339.2028,4646.6681,-3212.6905,3775.4723,-4899.5952,-3361.3546,0.0000,2807.3608,-3673.7828,1028.0584,-360.6308,-223862.0408,-204008.8241,-222568.1171,-225479.1290,-217103.2630,-220174.6848,-219370.3797,-221258.6027,60597981.6130,60619652.0812,60633947.6701,60621781.8671,-221177.5011,60611013.1194,-5724.1411,5778.2247,-3329.7696,5912.4330,6437.6581,-620.9576,2450.4467,3897.7170,4835.2705,-1316.3412,1121.6931,-6665.1561,-6236.7084,3201.8509,-2924.9219,3903.3475,5897.7489,-4381.1630,-1076.8244,2785.2895,2541.8746,-447.3935,4098.9822,3657.3414,6259.0693,5086.3748,5277.3134,-2968.0397,-5220.9629,5918.9782,-4970.5407,-4786.4627,6038.8268,-6477.4817,-4541.1590,5051.0138,6406.5726,5672.8603,-4857.1247,1552.6052,1214.9390,2098.6919,-6578.2642,-1783.7665,4126.0510,-4643.1807,5435.8654,-1032.1728,-1883.0012,5959.6973,-379.2471,-2043.1883,-4498.8615,-6430.3450,6880.3763,-4243.4318,-4369.4506,4078.7166,-3097.3613,-3260.2213,-4911.2839,351.8026,-2168.0612,1927.6783,-52.5678,-3086.0886,-1663.0088,2041.5215,-3758.2402,-6407.8409,5088.7275,3038.5456,-607.8321,-5421.5882,4975.6715,4776.7797,4371.2572,-5103.8728,-4152.2950,-1471.3486,-5285.3634,2831.9973,2305.8313,1166.4056,5017.2899,-5854.8252,-5429.1729,-605.5589,-1525.7345,4193.5214,-872.3631,-2619.7309,3154.4187,922.3529,4405.2747,0.0000,-4937.0357,-5783.0080,2403.3900,6183.1144,-288699.5218,-284202.1085,-299265.8749,-295949.0994,-298960.6600,-298253.5058,-290366.6265,-294323.3703,296465932.4418,296478958.6316,296480296.2124,296478902.4983,-293299.1723,296480104.9999,-1763.8155,1587.7912,5203.1110,3396.9306,1088.8879,983.7303,-100.6074,5435.9468,-3836.7753,1325.8563,1562.5957,936.9107,-1324.5709,-4648.4268,3021.6484,-4950.0172,556.1988,4231.7352,4126.0162,-4354.7726,-3881.6267,-3927.3366,-1475.3421,-3808.6513,-2145.4494,-1881.3356,-632.6375,-3125.2714,3199.8977,275.6164,4716.2207,2130.5890,-2624.5255,-2430.1474,-493.4170,4661.1269,1464.0564,1687.6221,-3416.8246,5003.1892,1832.6263,-2165.5222,-623.1948,3285.5460,-5502.8364,-3769.1301,-4013.7260,-3918.5709,-4805.5319,-3416.4738,-6160.0898,2679.3294,-4461.8908,2147.1399,-858.8333,-5237.0822,-5271.6251,4568.1478,3201.3353,-4172.1328,2905.3842,-6499.9631,-3271.0259,2391.4050,-4577.1158,-1595.3239,5265.9529,-4805.3661,-5014.8056,-1230.1906,4032.1853,5322.3539,-4892.8016,-2363.4598,214.2091,4603.4372,617.7305,-4685.1426,5221.0181,-498.4138,4291.7793,-449.7016,6519.4435,-6767.4920,-4558.5037,1593.6862,-3922.7523,-4953.4507,-3201.5066,5486.0712,-4928.6103,-5539.8621,-4907.9924,-4687.5690,4127.0210,0.0000,-3650.8760,930.7994,-6436.5224,3078.1722,56637.5711,55091.9936,54850.5004,59206.6564,61033.5780,51377.8162,46937.9403,56767.2316,30232492.5820,30209349.3322,30227126.8440,30242651.0380,55290.6432,30239326.2493,
7200.000,-471.0952,272.5693,6355.5664,-584.5540,-3424.4825,-5354.0062,-6089.5533,-5412.4633,1958.6689,-3905.7141,3964.1547,141.8227,4472.7355,779.6049,-4985.2998,-4675.6991,1601.3011,5249.1582,-2079.5370,4418.9447,1808.4902,-5927.7622,1596.2751,2438.1808,450.8672,1008.6689,1647.2590,-1695.3914,4929.3549,1224.5034,2894.1433,-532.0891,-4172.0813,1736.7297,5571.0765,-3345.7477,-456.7448,-434.6614,5940.8537,1187.5254,3350.7364,4803.0947,1134.9089,-2338.4321,-4694.0284,-2441.6129,-3713.4272,-6144.0992,-4398.1764,-3123.5502,-5691.8804,4928.6802,4227.8060,2861.7599,-2012.4814,5008.1092,2636.1754,696.1825,-1521.7651,-3928.8120,4141.2047,3065.4726,6781.5077,-6816.3223,-4963.1416,-4598.7029,-6912.8097,-6789.4368,4821.0459,3490.9083,-4632.5143,-6292.2871,6467.2755,5451.6362,-4868.2729,-5372.9560,-5398.8523,3595.1930,4300.0863,5839.7875,3818.3243,3536.7437,-4859.7714,5761.4248,-4939.9428,-238.0856,3931.8317,3009.8552,-2543.4608,-4212.8256,-5231.3101,5697.1252,-3197.6134,1472.6529,2333.7743,0.0000,90.3020,4139.6106,2062.7148,-1292.7075,-147651.3373,-126076.5682,-143154.5579,-144342.7262,-136189.3984,-139188.5263,-138868.1000,-140836.1852,-18300395.6721,-18282334.5465,-18267994.5604,-18275945.4110,-140480.2946,-18287479.8607,4731.6762,-5432.8355,1234.3799,-6830.2836,-5083.3185,3042.9829,81.5899,-3048.2665,-6626.7989,2893.0885,-2752.2390,6075.6335,4404.8781,-6211.2783,4598.0148,407.2707,-5677.6264,794.2189,3615.9905,-5299.3414,-4818.5329,3085.2574,-4987.4523,-6358.0370,-6520.9491,-5247.8912,-5559.8537,3873.5070,4752.8104,-5346.0091,5246.7873,4321.7003,-3011.2083,6407.0527,1802.6095,-5957.9077,-4868.9419,-5167.0958,3422.3750,-4451.7829,951.3818,-4452.1804,5513.2912,3493.0426,-3859.4175,6460.9371,-5835.7704,3164.6205,5124.8377,-2769.3412,2807.1608,-1444.4094,450.6525,5929.0307,-6049.6106,4171.4902,6349.4506,-6493.9816,3933.4667,5662.6121,1203.5839,-707.5832,-519.8396,236.9312,4134.3985,4236.6362,-208.9391,-140.6474,4970.1611,5121.6325,-5137.4820,-1280.2297,-1957.2021,4095.0172,-2604.0407,-3629.6093,-2379.7251,4602.4996,3331.8072,-389.5028,1896.7171,-4443.2320,-2049.5797,-263.7008,-3048.2432,4762.7627,5702.5765,-3405.6649,3355.2879,-4369.9628,4202.7042,-670.3133,-6161.1116,-4228.0003,-6506.8469,0.0000,6744.3916,3066.7791,2139.0311,-6692.8534,-335773.9239,-326738.0858,-344534.8271,-340400.8948,-344430.0270,-343079.0610,-337127.2382,-338425.1701,302087709.5002,302101825.8572,302109834.4447,302108586.9560,-339055.5260,302103016.9594,5014.7601,-4304.6286,-1710.7391,846.1576,3190.7618,2923.4382,-3323.6168,-3046.9185,-280.0250,-4875.2640,-4945.8135,3295.4816,-2673.8241,2703.2159,1303.1809,4976.5964,3604.2801,-4470.0826,-5521.7209,522.1704,4636.5314,-857.5960,4360.0768,250.4381,-2256.8791,4412.5442,3792.6365,5461.8100,1024.4863,-4217.2758,-3493.8762,-5257.9090,4642.5096,-1952.0198,3705.1173,-1056.3815,-4894.0162,-4444.1304,-223.1986,-5162.6292,-6008.7978,-1897.3243,3914.9350,-5500.2375,3318.2467,-370.0481,-23.9481,-174.9830,977.4517,5507.7881,2822.3848,-4663.0874,5448.1632,2157.4493,-2737.8436,2291.3551,1003.3150,-2336.1240,-5486.3235,132.0803,-5414.5703,6175.4287,-553.8329,1241.7784,2189.3785,-2883.1836,-600.1363,1308.1054,594.5350,-3076.3344,-37.1317,-2567.2942,1454.9616,-1287.7754,-4172.6475,-2460.3671,3584.9597,3732.9752,-3961.8184,-3680.5802,-5350.3005,3829.1142,-4534.5223,3847.4281,3575.7399,-4980.8965,-109.1642,5207.4130,5475.3972,-3328.7700,1249.7754,3855.1035,18.2270,5162.3861,-165.1690,0.0000,-225.3851,-4616.4730,6261.9110,1187.1772,59234.3788,56623.2938,57740.3681,58145.7998,63743.7242,56555.3736,47694.1915,55349.5427,30185118.9908,30160619.2493,30174034.2608,30187918.1104,56995.6176,30189149.3852,
