sl_100_86400_20251118 Coordinates.csv
2025/11/18 07:47:00.0000 UTC

Generated: Tue Oct  8 16:21:13 2024,
Start: 2025/11/18 07:47:00.00, Stop: 2025/11/19 07:47:00.00,
TIME_UNITS,STARLINK-30471 - X-Coordinate,STARLINK-4011 - X-Coordinate,STARLINK-6188 - X-Coordinate,STARLINK-6029 - X-Coordinate,STARLINK-11264 [DTC] - X-Coordinate,STARLINK-3233 - X-Coordinate,STARLINK-3203 - X-Coordinate,STARLINK-4121 - X-Coordinate,STARLINK-4711 - X-Coordinate,STARLINK-2649 - X-Coordinate,STARLINK-4441 - X-Coordinate,STARLINK-3619 - X-Coordinate,STARLINK-3858 - X-Coordinate,STARLINK-31232 - X-Coordinate,STARLINK-31394 - X-Coordinate,STARLINK-31054 - X-Coordinate,STARLINK-4537 - X-Coordinate,STARLINK-3786 - X-Coordinate,STARLINK-1814 - X-Coordinate,STARLINK-6065 - X-Coordinate,STARLINK-4622 - X-Coordinate,STARLINK-31935 - X-Coordinate,STARLINK-1829 - X-Coordinate,STARLINK-31618 - X-Coordinate,STARLINK-5747 - X-Coordinate,STARLINK-5753 - X-Coordinate,STARLINK-1176 - X-Coordinate,STARLINK-4698 - X-Coordinate,STARLINK-4344 - X-Coordinate,STARLINK-4547 - X-Coordinate,STARLINK-31192 - X-Coordinate,STARLINK-11225 [DTC] - X-Coordinate,STARLINK-4390 - X-Coordinate,STARLINK-5528 - X-Coordinate,STARLINK-31373 - X-Coordinate,STARLINK-3613 - X-Coordinate,STARLINK-4470 - X-Coordinate,STARLINK-2301 - X-Coordinate,STARLINK-4154 - X-Coordinate,STARLINK-1980 - X-Coordinate,STARLINK-3647 - X-Coordinate,STARLINK-3419 - X-Coordinate,STARLINK-30240 - X-Coordinate,STARLINK-31295 - X-Coordinate,STARLINK-30778 - X-Coordinate,STARLINK-30310 - X-Coordinate,STARLINK-2491 - X-Coordinate,STARLINK-30960 - X-Coordinate,STARLINK-5988 - X-Coordinate,STARLINK-5351 - X-Coordinate,STARLINK-1865 - X-Coordinate,STARLINK-2567 - X-Coordinate,STARLINK-2082 - X-Coordinate,STARLINK-2419 - X-Coordinate,STARLINK-3359 - X-Coordinate,STARLINK-31805 - X-Coordinate,STARLINK-31260 - X-Coordinate,STARLINK-30587 - X-Coordinate,STARLINK-30500 - X-Coordinate,STARLINK-1136 - X-Coordinate,STARLINK-3820 - X-Coordinate,STARLINK-5658 - X-Coordinate,STARLINK-30312 - X-Coordinate,STARLINK-30132 - X-Coordinate,STARLINK-3360 - X-Coordinate,STARLINK-3591 - X-Coordinate,STARLINK-6117 - X-Coordinate,STARLINK-31425 - X-Coordinate,STARLINK-5189 - X-Coordinate,STARLINK-6185 - X-Coordinate,STARLINK-2720 - X-Coordinate,STARLINK-1963 - X-Coordinate,STARLINK-31651 - X-Coordinate,STARLINK-1570 - X-Coordinate,STARLINK-4791 - X-Coordinate,STARLINK-4471 - X-Coordinate,STARLINK-5108 - X-Coordinate,STARLINK-31175 - X-Coordinate,STARLINK-3218 - X-Coordinate,STARLINK-31576 - X-Coordinate,STARLINK-1782 - X-Coordinate,STARLINK-5688 - X-Coordinate,STARLINK-5352 - X-Coordinate,STARLINK-5061 - X-Coordinate,STARLINK-1880 - X-Coordinate,STARLINK-11123 [DTC] - X-Coordinate,STARLINK-5949 - X-Coordinate,STARLINK-6149 - X-Coordinate,STARLINK-31152 - X-Coordinate,STARLINK-4511 - X-Coordinate,STARLINK-4172 - X-Coordinate,STARLINK-1645 - X-Coordinate,STARLINK-30604 - X-Coordinate,STARLINK-5600 - X-Coordinate,STARLINK-3526 - X-Coordinate,STARLINK-2434 - X-Coordinate,STARLINK-30069 - X-Coordinate,STARLINK-31615 - X-Coordinate,STARLINK-5266 - X-Coordinate,STARLINK-4609 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30471 - Y-Coordinate,STARLINK-4011 - Y-Coordinate,STARLINK-6188 - Y-Coordinate,STARLINK-6029 - Y-Coordinate,STARLINK-11264 [DTC] - Y-Coordinate,STARLINK-3233 - Y-Coordinate,STARLINK-3203 - Y-Coordinate,STARLINK-4121 - Y-Coordinate,STARLINK-4711 - Y-Coordinate,STARLINK-2649 - Y-Coordinate,STARLINK-4441 - Y-Coordinate,STARLINK-3619 - Y-Coordinate,STARLINK-3858 - Y-Coordinate,STARLINK-31232 - Y-Coordinate,STARLINK-31394 - Y-Coordinate,STARLINK-31054 - Y-Coordinate,STARLINK-4537 - Y-Coordinate,STARLINK-3786 - Y-Coordinate,STARLINK-1814 - Y-Coordinate,STARLINK-6065 - Y-Coordinate,STARLINK-4622 - Y-Coordinate,STARLINK-31935 - Y-Coordinate,STARLINK-1829 - Y-Coordinate,STARLINK-31618 - Y-Coordinate,STARLINK-5747 - Y-Coordinate,STARLINK-5753 - Y-Coordinate,STARLINK-1176 - Y-Coordinate,STARLINK-4698 - Y-Coordinate,STARLINK-4344 - Y-Coordinate,STARLINK-4547 - Y-Coordinate,STARLINK-31192 - Y-Coordinate,STARLINK-11225 [DTC] - Y-Coordinate,STARLINK-4390 - Y-Coordinate,STARLINK-5528 - Y-Coordinate,STARLINK-31373 - Y-Coordinate,STARLINK-3613 - Y-Coordinate,STARLINK-4470 - Y-Coordinate,STARLINK-2301 - Y-Coordinate,STARLINK-4154 - Y-Coordinate,STARLINK-1980 - Y-Coordinate,STARLINK-3647 - Y-Coordinate,STARLINK-3419 - Y-Coordinate,STARLINK-30240 - Y-Coordinate,STARLINK-31295 - Y-Coordinate,STARLINK-30778 - Y-Coordinate,STARLINK-30310 - Y-Coordinate,STARLINK-2491 - Y-Coordinate,STARLINK-30960 - Y-Coordinate,STARLINK-5988 - Y-Coordinate,STARLINK-5351 - Y-Coordinate,STARLINK-1865 - Y-Coordinate,STARLINK-2567 - Y-Coordinate,STARLINK-2082 - Y-Coordinate,STARLINK-2419 - Y-Coordinate,STARLINK-3359 - Y-Coordinate,STARLINK-31805 - Y-Coordinate,STARLINK-31260 - Y-Coordinate,STARLINK-30587 - Y-Coordinate,STARLINK-30500 - Y-Coordinate,STARLINK-1136 - Y-Coordinate,STARLINK-3820 - Y-Coordinate,STARLINK-5658 - Y-Coordinate,STARLINK-30312 - Y-Coordinate,STARLINK-30132 - Y-Coordinate,STARLINK-3360 - Y-Coordinate,STARLINK-3591 - Y-Coordinate,STARLINK-6117 - Y-Coordinate,STARLINK-31425 - Y-Coordinate,STARLINK-5189 - Y-Coordinate,STARLINK-6185 - Y-Coordinate,STARLINK-2720 - Y-Coordinate,STARLINK-1963 - Y-Coordinate,STARLINK-31651 - Y-Coordinate,STARLINK-1570 - Y-Coordinate,STARLINK-4791 - Y-Coordinate,STARLINK-4471 - Y-Coordinate,STARLINK-5108 - Y-Coordinate,STARLINK-31175 - Y-Coordinate,STARLINK-3218 - Y-Coordinate,STARLINK-31576 - Y-Coordinate,STARLINK-1782 - Y-Coordinate,STARLINK-5688 - Y-Coordinate,STARLINK-5352 - Y-Coordinate,STARLINK-5061 - Y-Coordinate,STARLINK-1880 - Y-Coordinate,STARLINK-11123 [DTC] - Y-Coordinate,STARLINK-5949 - Y-Coordinate,STARLINK-6149 - Y-Coordinate,STARLINK-31152 - Y-Coordinate,STARLINK-4511 - Y-Coordinate,STARLINK-4172 - Y-Coordinate,STARLINK-1645 - Y-Coordinate,STARLINK-30604 - Y-Coordinate,STARLINK-5600 - Y-Coordinate,STARLINK-3526 - Y-Coordinate,STARLINK-2434 - Y-Coordinate,STARLINK-30069 - Y-Coordinate,STARLINK-31615 - Y-Coordinate,STARLINK-5266 - Y-Coordinate,STARLINK-4609 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30471 - Z-Coordinate,STARLINK-4011 - Z-Coordinate,STARLINK-6188 - Z-Coordinate,STARLINK-6029 - Z-Coordinate,STARLINK-11264 [DTC] - Z-Coordinate,STARLINK-3233 - Z-Coordinate,STARLINK-3203 - Z-Coordinate,STARLINK-4121 - Z-Coordinate,STARLINK-4711 - Z-Coordinate,STARLINK-2649 - Z-Coordinate,STARLINK-4441 - Z-Coordinate,STARLINK-3619 - Z-Coordinate,STARLINK-3858 - Z-Coordinate,STARLINK-31232 - Z-Coordinate,STARLINK-31394 - Z-Coordinate,STARLINK-31054 - Z-Coordinate,STARLINK-4537 - Z-Coordinate,STARLINK-3786 - Z-Coordinate,STARLINK-1814 - Z-Coordinate,STARLINK-6065 - Z-Coordinate,STARLINK-4622 - Z-Coordinate,STARLINK-31935 - Z-Coordinate,STARLINK-1829 - Z-Coordinate,STARLINK-31618 - Z-Coordinate,STARLINK-5747 - Z-Coordinate,STARLINK-5753 - Z-Coordinate,STARLINK-1176 - Z-Coordinate,STARLINK-4698 - Z-Coordinate,STARLINK-4344 - Z-Coordinate,STARLINK-4547 - Z-Coordinate,STARLINK-31192 - Z-Coordinate,STARLINK-11225 [DTC] - Z-Coordinate,STARLINK-4390 - Z-Coordinate,STARLINK-5528 - Z-Coordinate,STARLINK-31373 - Z-Coordinate,STARLINK-3613 - Z-Coordinate,STARLINK-4470 - Z-Coordinate,STARLINK-2301 - Z-Coordinate,STARLINK-4154 - Z-Coordinate,STARLINK-1980 - Z-Coordinate,STARLINK-3647 - Z-Coordinate,STARLINK-3419 - Z-Coordinate,STARLINK-30240 - Z-Coordinate,STARLINK-31295 - Z-Coordinate,STARLINK-30778 - Z-Coordinate,STARLINK-30310 - Z-Coordinate,STARLINK-2491 - Z-Coordinate,STARLINK-30960 - Z-Coordinate,STARLINK-5988 - Z-Coordinate,STARLINK-5351 - Z-Coordinate,STARLINK-1865 - Z-Coordinate,STARLINK-2567 - Z-Coordinate,STARLINK-2082 - Z-Coordinate,STARLINK-2419 - Z-Coordinate,STARLINK-3359 - Z-Coordinate,STARLINK-31805 - Z-Coordinate,STARLINK-31260 - Z-Coordinate,STARLINK-30587 - Z-Coordinate,STARLINK-30500 - Z-Coordinate,STARLINK-1136 - Z-Coordinate,STARLINK-3820 - Z-Coordinate,STARLINK-5658 - Z-Coordinate,STARLINK-30312 - Z-Coordinate,STARLINK-30132 - Z-Coordinate,STARLINK-3360 - Z-Coordinate,STARLINK-3591 - Z-Coordinate,STARLINK-6117 - Z-Coordinate,STARLINK-31425 - Z-Coordinate,STARLINK-5189 - Z-Coordinate,STARLINK-6185 - Z-Coordinate,STARLINK-2720 - Z-Coordinate,STARLINK-1963 - Z-Coordinate,STARLINK-31651 - Z-Coordinate,STARLINK-1570 - Z-Coordinate,STARLINK-4791 - Z-Coordinate,STARLINK-4471 - Z-Coordinate,STARLINK-5108 - Z-Coordinate,STARLINK-31175 - Z-Coordinate,STARLINK-3218 - Z-Coordinate,STARLINK-31576 - Z-Coordinate,STARLINK-1782 - Z-Coordinate,STARLINK-5688 - Z-Coordinate,STARLINK-5352 - Z-Coordinate,STARLINK-5061 - Z-Coordinate,STARLINK-1880 - Z-Coordinate,STARLINK-11123 [DTC] - Z-Coordinate,STARLINK-5949 - Z-Coordinate,STARLINK-6149 - Z-Coordinate,STARLINK-31152 - Z-Coordinate,STARLINK-4511 - Z-Coordinate,STARLINK-4172 - Z-Coordinate,STARLINK-1645 - Z-Coordinate,STARLINK-30604 - Z-Coordinate,STARLINK-5600 - Z-Coordinate,STARLINK-3526 - Z-Coordinate,STARLINK-2434 - Z-Coordinate,STARLINK-30069 - Z-Coordinate,STARLINK-31615 - Z-Coordinate,STARLINK-5266 - Z-Coordinate,STARLINK-4609 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1530.9428,-2178.7377,1918.3592,-190.2834,-4434.7260,-3830.7371,1716.1004,-5096.7645,4999.4904,-4048.6790,-448.8839,-4996.5847,-3483.1401,6811.8295,3071.1568,-3944.6114,-4365.7826,3689.8143,-5656.5351,939.9290,5707.2194,5521.9419,6058.9900,3510.1283,-5002.8354,-4705.9038,5078.4111,-5673.0399,-941.6512,-5813.9873,987.1798,4433.2941,2521.8637,253.6888,-2877.5897,-239.2598,6052.1102,1019.6062,-4537.8482,-6586.8582,-2586.3684,-729.1604,1771.5450,5972.4378,1476.1694,5391.7679,5295.4574,-4521.0294,-2154.2622,-2217.5989,2275.0891,6878.2047,2681.4214,4346.6726,-346.2138,5185.7698,1906.9481,2594.2064,5131.2607,-258.3047,-5361.6347,4227.2667,2721.1785,-6731.7422,4054.3375,5934.9898,6151.0545,-2498.3121,2957.6533,1462.9523,1183.9196,3765.6603,-1019.2476,3831.6082,1836.9184,-3704.5004,-6889.3049,0.0000,-4439.0817,-1901.2113,2012.8430,5788.7312,-5208.6657,6782.8277,656.0268,-2821.6054,-5276.8786,-3581.4670,-5079.6482,-5339.4739,-3131.1903,5342.6790,5947.9582,-5722.5579,1034.4579,-2180.4195,6919.2114,-1265.6246,-3131.6406,5941.9426,-307737.9406,-307512.0465,-304699.7916,-304978.6448,-307217.5446,-306454.1915,-314482.5289,-311243.6658,-92883440.2552,-92918522.4034,-92896288.6841,-92898029.5998,-310191.5264,-92894790.7648,-6128.7106,-4349.9180,-6604.7331,6924.2777,-4225.9380,1584.7541,6654.1803,2226.3906,-4356.0281,4402.2497,-5445.9275,-359.7206,3709.3727,-488.9610,-3958.5630,-4956.4896,4374.1954,1987.3428,3468.3638,-6065.5431,-2644.6922,-2188.0120,671.6582,-5056.5375,3257.3743,4030.1180,-4380.7620,-1766.1194,496.5555,-1078.6091,5744.3431,756.6813,-2263.8229,-5313.2853,-4397.8211,-6201.2775,-3328.0496,4254.4160,1058.4736,-1030.4568,3407.7172,6129.5828,6010.6729,-1876.7780,-5732.1315,499.6685,4217.4720,2321.6025,-2375.7256,-5783.2717,-5324.0311,84.9761,3314.2948,995.2512,6767.8347,-128.4016,6526.1050,-5553.0042,4512.3229,4667.5971,-4013.4435,-4285.8436,5147.7451,-1502.4528,-1463.9336,3524.4621,-3039.3690,5315.8535,4663.0675,-4912.2837,-6798.9032,-2401.7046,4879.8591,-5048.3542,5283.8091,974.3457,-532.9065,0.0000,-302.7335,4709.8774,-3647.2849,1751.7201,3959.4412,-634.5015,-6450.8512,-4396.5208,-69.0698,-4896.4722,-2701.2070,-218.2555,-5116.6142,-4136.3239,3564.5696,-1267.4708,6483.1568,5848.0523,-30.3352,-6594.6154,-260.9632,755.9418,235734.4258,235247.7950,236202.0305,231670.2005,239854.7964,236679.9874,233874.5456,234225.2434,321554003.8026,321567170.6466,321565795.0272,321554365.2580,233747.6761,321542172.5652,-2917.8587,4906.6883,-841.9312,-514.1464,-2724.2021,-5540.6304,714.3580,-4112.3423,1964.6405,-3482.9707,-4264.1345,4752.6426,-4680.8625,348.3897,4614.2860,2590.1139,-3104.2695,5492.9439,-1929.6809,3383.1949,-2924.7077,-3348.0276,-3248.2297,-2947.3286,-3530.1942,-3119.7654,1706.7164,-2917.6989,-6866.6140,-3586.5975,-3554.3860,4951.1241,6042.9402,4441.7854,4362.2562,-3060.9149,-482.7275,-5310.6916,-5114.2187,1808.4840,5421.2721,-3114.8655,2959.4238,2807.2155,3604.3993,-4318.4500,1411.5218,-4732.0831,-6165.7560,3023.0122,-3761.5220,619.5960,5439.1102,-5314.8758,1402.6501,-4441.4014,708.8954,3238.7833,-1195.2367,-5113.9722,1729.0455,-3443.6209,-3765.9168,675.1728,-5403.8918,374.6059,-1022.2632,-3469.9871,-4169.5761,4664.4355,-293.2151,-5277.6057,4638.0546,-2346.1297,-4047.2788,5787.7503,241.2699,0.0000,-5298.8797,-4562.2041,-5529.5585,3376.6918,2284.4098,1266.1195,2296.0665,4246.1062,-4506.8968,-3364.2821,3847.3483,-4386.6267,3429.1047,-1441.6990,-51.5026,3696.1765,2171.3072,-3016.5602,445.4308,-1022.3006,-6197.7734,-3464.9060,-117674.1141,-117636.0056,-118199.7934,-111539.4038,-112467.2128,-123142.4611,-123874.8595,-115610.9514,-138584240.1321,-138553613.0087,-138565451.2594,-138569376.2960,-116956.3821,-138572051.2714,
3600.000,1839.8897,4484.4668,443.5128,-112.1553,3976.7644,2137.9014,-2989.2839,5195.9781,-1728.9475,3154.3945,-2045.8691,2770.0518,2497.2650,-4661.7943,996.6299,5893.2649,3441.8806,-5052.9018,2415.4727,-1039.9716,-2448.7643,-1751.7223,-6740.1096,847.4283,3926.2679,3313.4311,-1961.6578,2841.7439,4015.7880,6857.4212,-4319.9756,-2591.6813,-6426.1956,3040.7470,4297.0441,1942.1779,-4498.6865,-4817.8315,1666.4190,4495.3190,-1437.8727,-2169.6385,-4123.7939,-5213.6721,2307.6399,-6172.4405,-4762.3961,2544.3404,-2131.5565,4420.1753,-771.1391,-5701.0615,-6011.8895,-6116.6349,-1188.6573,-5278.5906,-3262.8978,-495.6778,-6024.7134,-3724.0678,5888.8527,-370.5069,-5413.8835,5659.6290,-3628.5533,-5612.5893,-4473.8573,-1999.2915,-4125.9745,2007.2713,819.6530,-176.7254,-3277.5014,396.3232,-3856.3405,-1237.9637,5618.9013,0.0000,3098.2186,-227.8893,1704.4612,-6905.5225,3756.3576,-4703.2875,1993.1683,4321.9668,4008.0052,5872.0272,4959.8244,6587.3747,4983.2212,-2310.0499,-5991.3710,4447.4438,-2523.3640,-1098.9485,-5395.6809,3707.3387,652.6578,-6809.0066,-361451.9808,-359067.0093,-352651.5504,-354185.6405,-355905.3175,-355094.6640,-362028.4323,-357381.5988,-172976707.6390,-173020074.2325,-172997987.5535,-172998030.7004,-358683.2451,-172988690.4091,4775.3742,596.9859,6337.1590,-5501.0123,-582.8361,-5333.7249,-4308.4674,-4560.2428,4328.7873,-6115.7010,6557.9291,-3441.2648,-6359.3803,2317.4120,5896.4860,3230.7772,-5871.3086,2040.0453,-3990.6252,6823.5328,-309.4439,4703.7276,1054.8816,4913.4853,-5711.8429,-6080.9422,4386.0779,-2797.9630,3484.3504,-618.2345,-2646.3565,4371.9835,1755.7569,5918.3818,-101.6230,6520.0770,423.4361,-1752.1270,-4405.7306,-1438.3167,-5035.6558,-3628.3741,-5542.5950,4355.1097,4544.2044,2698.5114,-1267.4122,-5598.9007,-1048.7138,2444.6934,6846.1482,1535.3639,-1533.5706,1999.6499,-6171.3381,3980.0434,-4704.1101,6914.9252,-2422.1752,-2889.3876,2519.8376,5056.7296,-4294.4271,-1158.8488,5161.9227,-1470.0321,4622.9275,-4632.0794,-610.5513,6053.6636,5398.6536,4966.0405,-5325.1570,4140.1472,-1536.1192,1176.9872,-1184.9507,0.0000,-3874.5190,-6802.4367,5435.8406,581.0584,-5661.0074,2947.0216,3964.9792,-594.7085,-3815.7045,3689.1543,-1371.6754,-2021.1403,4725.3133,4310.4195,-984.8134,-2517.4558,-6054.3120,-4155.9377,2330.9722,3825.7405,-3722.3452,952.1503,146868.8862,144953.5066,149244.8577,145742.0641,154485.7134,151656.1069,148142.2359,147966.6098,286520204.9565,286528784.8871,286532388.2028,286518704.6193,148089.4278,286509041.2358,4698.3678,-5234.4542,-2771.9323,-4249.6010,5351.5288,3841.9804,-4503.7173,109.3993,-5115.3955,-726.7202,-905.5571,-5319.2128,1034.2115,-4440.4242,-3281.6692,1302.3545,-1222.3631,-4263.3129,5087.3060,1224.5158,6468.4045,4600.8574,-1073.9400,4646.9236,189.9799,-383.3574,-4987.8400,5267.8038,4452.8546,-626.8596,4561.8946,-4365.4306,-1944.5850,-1962.4238,-5319.9381,-1258.2128,5234.8331,4575.7496,5055.2101,-5050.8646,-4516.8472,5459.5711,567.0714,984.4688,-4709.4199,1589.6234,-4857.9438,3208.0069,6512.1487,-4700.1791,-426.1538,3576.7567,-3064.2257,2578.3091,2893.9597,1685.2748,3726.6061,187.8621,-2449.1570,5065.6391,2609.1211,4716.8574,557.3871,-3837.3703,2806.8449,3751.4509,-2600.7555,4578.3613,5508.8525,-2731.8546,4221.3090,4794.4033,-2720.9124,5314.6767,5505.2593,-6745.6169,3844.1500,0.0000,4810.5257,506.7048,3920.8057,12.9916,1365.9135,-4157.8784,-5262.2050,-5140.1642,4172.5511,-48.5754,-4641.6650,523.6582,793.7751,4869.8546,-3358.7398,-4692.8859,2189.6097,5426.1425,-3689.3820,4206.3812,5818.0322,-767.2192,-117951.6859,-117606.0452,-118398.6985,-114778.7253,-112394.6847,-121812.9445,-126779.6244,-119540.6058,-138613552.7232,-138584830.7520,-138598405.3425,-138602973.1047,-118285.9226,-138601339.4053,
7200.000,-5164.2135,-6050.8601,-3270.1928,1767.3274,-2620.6887,-673.5206,4272.3478,-3008.7675,-2650.7635,-697.7613,2784.8260,-756.7175,-712.9283,383.1076,-3937.4627,-5340.9636,-700.7722,5257.8795,2018.3277,269.0682,-3068.1417,-2225.2380,4340.6283,-5000.3116,-1420.5024,-606.1781,-2385.3991,698.1637,-3140.0589,-4825.6501,6420.3824,435.1849,6039.3325,-4861.6129,-5042.8024,-3141.8901,-728.8174,6829.7009,634.6638,-1281.4937,4059.4485,5306.0564,5059.1640,1966.7003,-5625.6352,4817.3070,3422.4255,-455.0090,3206.6928,-5895.2572,-1195.3198,2169.4873,6806.0683,5742.7561,3088.5079,3174.1723,4108.3743,-1863.6259,5086.4004,6515.9425,-4341.2923,-3457.1738,5948.3101,-2976.4283,2410.5624,3577.6366,892.6645,5737.0281,5081.7031,-4256.8288,-3622.3093,-2432.6984,5551.6136,-5046.8720,5607.9233,5837.2449,-2207.0209,0.0000,-1850.4344,2044.9126,-3869.3624,5386.4908,-614.9798,1218.4491,-4999.6781,-4677.2412,-2313.6018,-5930.9125,-4114.0908,-4929.4270,-4801.3220,-2117.1697,4379.4325,-2612.1419,3571.8600,4804.2162,2138.7822,-5394.5153,296.0867,4642.5275,-384489.3668,-387800.7588,-377998.5908,-381122.0258,-381594.0468,-381520.4342,-386481.6375,-385514.2253,-241263227.3467,-241313629.5550,-241292548.0203,-241287697.3997,-384046.4369,-241276124.4020,-2744.8180,2455.6304,-3923.8758,1667.1861,5370.0410,6879.8345,147.7399,4813.9440,-3890.7174,5234.8471,-3156.1272,6391.8589,6056.5359,-4307.0689,-5538.2604,296.0494,4959.2336,-4478.7607,4282.7881,-4652.1684,749.0468,-5992.7449,-2608.4682,-3650.3567,5953.9881,5868.7276,-3923.6444,6246.5252,-6167.4804,2208.0007,-814.5273,-6675.3753,659.2959,-4641.5368,3952.6264,-3892.8250,911.0293,-250.8723,6634.6452,4498.6641,5543.8097,673.8592,2883.6154,-5136.4147,-2767.5527,-4499.6672,-2909.0191,6920.4472,5339.3739,1371.0705,-5243.9879,-3552.0823,-22.0405,-3496.8603,3004.1022,-5578.9772,266.1496,-5681.7085,-1000.6407,1343.2058,706.2924,-5126.1575,1945.0246,4182.2493,-6285.5435,-2090.0205,-5071.8623,2929.6021,-3210.1466,-5410.1296,-2143.6237,-6337.6131,3740.8612,-2354.8140,-2090.0126,-146.2284,3508.9105,0.0000,6530.5444,5203.4952,-5736.0476,-2721.4812,5481.4164,-5118.3145,-549.6926,4598.0398,6400.6049,-1097.0119,4940.8864,3178.1087,-2041.2216,-4002.8272,-2553.2512,5759.1718,2836.0943,2060.0090,-4631.1344,681.7182,6628.3463,-2449.2729,47133.7592,48196.9209,52847.7128,50490.9385,59517.4885,56132.7595,53561.0080,52646.8037,231942106.9212,231943170.8280,231951040.7353,231934495.9095,53080.4294,231931151.6950,-3767.8253,2268.4989,4672.4659,6498.9907,-3038.9645,236.4117,5419.4426,3939.2868,5059.9822,4461.9644,5496.7231,2509.4014,3244.0126,5289.8942,-554.1305,-4280.7270,4757.7225,347.1207,-5035.2566,-5245.4760,-6179.7764,-2373.0780,4685.5804,-2875.5362,3245.1424,3633.7347,5172.0537,-2072.0456,538.6795,4422.6344,-2169.6828,-325.1778,-3353.9772,-1721.2894,2376.9744,4769.4656,-6831.7341,-773.6046,-1852.7349,5077.2998,749.3153,-4382.7922,-3769.6252,-4115.1421,2957.8116,2104.5841,5250.8988,214.6729,-3077.5529,3295.9107,4317.1861,-5516.2164,-1244.1597,1690.8236,-5421.0520,2312.9940,-5461.3217,-3521.6088,4598.9788,-1928.2042,-5344.5869,-3138.8988,2970.3238,4648.4001,1548.7400,-5537.8514,4636.6165,-2246.1792,-3427.0652,-865.8558,-5479.9728,-1300.9765,-1283.2049,-3829.8904,-3443.1454,3761.3808,-5538.1206,0.0000,-1334.0927,3904.0002,100.8973,-3414.8121,-4205.1893,4503.1831,4688.0453,1539.6763,-1340.0578,3411.0733,2569.6561,3647.1633,-4540.9294,-5220.3259,4723.2321,2838.8294,-5204.3369,-4553.6703,4689.2199,-4082.9290,-2049.8138,4496.9901,-118016.0254,-118303.0069,-118558.2523,-118942.4222,-112806.9002,-119574.4568,-128961.6073,-118689.1558,-138642034.0115,-138616145.7055,-138631421.1668,-138636172.1526,-119606.3356,-138630587.1974,
