sl_20_5400_20250215 Coordinates.csv
2025/02/15 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:53 2024,
Start: 2025/02/15 07:47:00.00, Stop: 2025/02/15 09:17:00.00,
TIME_UNITS,STARLINK-5091 - X-Coordinate,STARLINK-6258 - X-Coordinate,STARLINK-31126 - X-Coordinate,STARLINK-1147 - X-Coordinate,STARLINK-30432 - X-Coordinate,STARLINK-11251 [DTC] - X-Coordinate,STARLINK-32155 - X-Coordinate,STARLINK-11078 [DTC] - X-Coordinate,STARLINK-2048 - X-Coordinate,STARLINK-1208 - X-Coordinate,STARLINK-5481 - X-Coordinate,STARLINK-4211 - X-Coordinate,STARLINK-1781 - X-Coordinate,STARLINK-30159 - X-Coordinate,STARLINK-32232 - X-Coordinate,STARLINK-2725 - X-Coordinate,STARLINK-1990 - X-Coordinate,STARLINK-5977 - X-Coordinate,STARLINK-2220 - X-Coordinate,STARLINK-11169 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5091 - Y-Coordinate,STARLINK-6258 - Y-Coordinate,STARLINK-31126 - Y-Coordinate,STARLINK-1147 - Y-Coordinate,STARLINK-30432 - Y-Coordinate,STARLINK-11251 [DTC] - Y-Coordinate,STARLINK-32155 - Y-Coordinate,STARLINK-11078 [DTC] - Y-Coordinate,STARLINK-2048 - Y-Coordinate,STARLINK-1208 - Y-Coordinate,STARLINK-5481 - Y-Coordinate,STARLINK-4211 - Y-Coordinate,STARLINK-1781 - Y-Coordinate,STARLINK-30159 - Y-Coordinate,STARLINK-32232 - Y-Coordinate,STARLINK-2725 - Y-Coordinate,STARLINK-1990 - Y-Coordinate,STARLINK-5977 - Y-Coordinate,STARLINK-2220 - Y-Coordinate,STARLINK-11169 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5091 - Z-Coordinate,STARLINK-6258 - Z-Coordinate,STARLINK-31126 - Z-Coordinate,STARLINK-1147 - Z-Coordinate,STARLINK-30432 - Z-Coordinate,STARLINK-11251 [DTC] - Z-Coordinate,STARLINK-32155 - Z-Coordinate,STARLINK-11078 [DTC] - Z-Coordinate,STARLINK-2048 - Z-Coordinate,STARLINK-1208 - Z-Coordinate,STARLINK-5481 - Z-Coordinate,STARLINK-4211 - Z-Coordinate,STARLINK-1781 - Z-Coordinate,STARLINK-30159 - Z-Coordinate,STARLINK-32232 - Z-Coordinate,STARLINK-2725 - Z-Coordinate,STARLINK-1990 - Z-Coordinate,STARLINK-5977 - Z-Coordinate,STARLINK-2220 - Z-Coordinate,STARLINK-11169 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1150.4339,-1347.4420,4761.0419,-4304.3216,5042.2399,1991.7848,-5744.8388,-5127.8993,2688.5775,3003.8744,-1303.9309,-3921.1114,4312.8436,376.7610,-5510.8083,-3709.7428,-583.7206,-5857.9594,-5972.3853,-780.6500,-42412.5676,-46467.0702,-44639.7841,-38858.4506,-46835.4462,-43218.8949,-41057.4676,-41723.0174,90897572.8415,90888484.3322,90885449.0028,90903249.6461,-40762.0063,90910592.4811,-4945.6061,6099.0794,-4640.1923,-2590.9974,4570.4004,-3822.1890,-1719.2423,-2431.0527,5844.7631,-6224.4162,-5699.8044,5633.7999,4575.5428,6249.9723,-2900.6056,-5798.9439,6781.8678,-3101.5280,1876.7972,-4293.2167,-396248.9443,-414896.5916,-394597.9737,-393964.3401,-396085.4500,-395261.3560,-403508.0638,-400515.3779,-46739039.4743,-46759920.6997,-46750814.2015,-46748473.3040,-399015.3387,-46749302.0533,4711.5393,-3021.6651,1695.9625,4757.2976,1330.7119,5126.9956,-3229.0757,-3630.8050,-2552.9156,-342.2825,-3740.0577,836.7063,-2904.0404,2977.6307,2829.6029,-740.9861,1246.6621,-2096.3617,-2948.0873,-5140.9594,4594.5082,6692.9380,3503.2533,11381.2818,9206.7501,-1507.7781,-1083.2828,5472.8127,50293639.7248,50274925.4492,50307083.9415,50310333.7802,5286.1731,50305579.1146,
300.000,-946.9180,494.8949,3169.9005,-4278.2133,6031.5690,-204.1846,-5113.8790,-4735.9768,3998.6832,1732.6137,-2894.6643,-2606.8876,4615.2884,2057.4343,-5247.5001,-4445.7771,700.3718,-6418.4925,-4592.7073,-2614.5237,-34161.3777,-37737.3234,-36073.5164,-30355.4713,-38400.8132,-34807.3720,-32538.5411,-33079.2737,91901638.2172,91892927.4808,91889417.3794,91906783.2962,-32282.4618,91914582.7931,-5302.7298,5625.1632,-5274.2797,-513.9331,3419.1084,-4021.8320,-41.7154,-572.0851,5586.5490,-6360.8350,-4447.9066,5866.5556,2907.2868,6418.2246,-1217.4730,-4699.1282,6231.5336,-2664.0583,2880.2716,-3092.6217,-397528.4669,-415854.9292,-395284.3084,-394792.0510,-396877.5570,-396011.9179,-404231.7294,-401368.4572,-44739830.6436,-44761046.7003,-44752286.1276,-44749896.4183,-399801.3154,-44750117.7486,4356.0174,-4033.3651,3029.6730,5411.4816,-203.4444,5352.0236,-4499.5195,-4758.4592,-829.8965,-2108.6003,-4474.4486,2563.0204,-4269.8088,1634.6409,4211.6424,-2472.8381,2921.0107,1.7846,-4302.2019,-5392.0705,4442.8458,6543.4312,3426.4783,11128.6862,9220.4022,-1478.7083,-1404.4581,4855.2199,50295004.9143,50276302.5967,50308191.0521,50311435.5695,5145.0914,50307004.6643,
600.000,-2938.3148,2316.9011,1247.7945,-3888.1219,6437.8566,-2375.6917,-3985.5163,-3880.7170,4904.3847,268.6186,-4243.1179,-1010.9548,4506.4532,3525.6017,-4481.0723,-4766.3567,1947.0184,-6326.1584,-2761.8477,-4206.2999,-25843.4932,-28987.2442,-27491.1291,-21836.3467,-29948.3004,-26381.3477,-24007.2950,-24359.0931,92861743.7545,92853416.5532,92849450.1016,92866423.4475,-23787.8996,92874614.7586,-5185.3972,4636.0050,-5406.6631,1627.0525,1935.1300,-3844.9277,1679.0279,1380.2733,4779.3026,-5877.5482,-2790.1554,5533.9490,933.9364,5973.5675,622.8206,-3121.3114,5070.1114,-1955.4628,3646.8143,-1611.1999,-398671.3921,-416628.2059,-395793.0231,-395440.3305,-397492.5318,-396586.6345,-404771.6606,-401912.1254,-42719066.6833,-42740605.7134,-42732207.4322,-42729787.5876,-400407.0511,-42729381.8377,3534.0162,-4615.1670,4028.7403,5484.4931,-1715.8632,4944.5513,-5263.4929,-5333.0945,982.4689,-3648.1260,-4732.5755,4012.6025,-5178.2193,116.7827,5124.8053,-3939.2142,4280.7838,2099.6958,-5194.2688,-5018.6378,4302.3644,6393.7970,3352.9733,10871.0040,9230.4206,-1444.0124,-1719.7991,4260.1651,50296375.5829,50277681.7729,50309297.9331,50312513.7729,5004.0076,50308430.2672,
900.000,-4632.5877,3946.2570,-816.4435,-3173.7418,6230.3784,-4283.9291,-2484.6233,-2660.9178,5330.9673,-1257.5085,-5221.1392,719.3009,4007.7587,4651.5480,-3299.3578,-4655.8333,3047.0764,-5601.1158,-663.7302,-5381.4345,-17448.5294,-20220.7858,-18896.4630,-13304.9484,-21481.8101,-17944.3420,-15467.7306,-15588.6871,93777426.9031,93769488.6787,93765084.7587,93781707.6977,-15282.1520,93790225.9782,-4597.1270,3232.0620,-5033.2983,3618.6481,250.1293,-3305.8727,3269.8756,3218.9036,3489.6114,-4832.8677,-888.5091,4680.9115,-1151.9531,4951.4097,2436.9182,-1215.8027,3417.9700,-1022.3065,4110.9430,-4.8931,-399674.5771,-417215.9931,-396123.9242,-395909.0041,-397929.8599,-396985.3828,-405127.8773,-402147.0466,-40677714.1133,-40699564.1294,-40691543.7367,-40689107.5123,-400832.2623,-40688060.7731,2333.4680,-4705.4569,4582.9070,4968.4316,-3044.9748,3952.6393,-5435.7847,-5288.6002,2688.9161,-4795.9330,-4487.1605,5029.0675,-5532.7611,-1413.5835,5467.6814,-4983.4122,5179.7029,3974.1226,-5529.2702,-4063.6040,4176.3370,6244.0379,3282.6098,10608.1297,9236.8207,-1403.6147,-2029.3886,3723.6027,50297751.7553,50279063.0009,50310404.6618,50313571.5601,4862.9218,50309855.9232,
1200.000,-5869.0720,5225.8339,-2817.6267,-2200.1966,5437.5161,-5719.4419,-769.6310,-1207.9463,5251.2521,-2705.3573,-5731.8563,2419.1569,3172.9108,5339.4949,-1827.8291,-4137.0692,3900.8562,-4328.3873,1492.2620,-6005.6560,-8963.4670,-11441.9101,-10293.3617,-4765.1570,-13005.2457,-9499.8603,-6923.8372,-6797.6152,94648246.3615,94640702.2308,94635880.1562,94652194.3155,-6769.0563,94660975.2980,-3583.9230,1550.0031,-4196.9652,5260.9910,-1483.3095,-2451.6761,4566.1806,4744.8578,1833.9008,-3338.7276,1074.4477,3401.3696,-3144.7588,3443.7300,4039.7868,832.7225,1443.2946,62.5930,4230.6244,1562.5508,-400529.7544,-417617.9468,-396276.8963,-396197.9928,-398189.1193,-397208.1197,-405300.4719,-402085.5561,-38616749.3763,-38638898.2686,-38631270.5814,-38628827.1430,-401076.7465,-38627130.9228,882.9397,-4294.6768,4631.0653,3918.4669,-4049.2105,2493.3220,-4997.2878,-4630.1785,4105.4774,-5429.6245,-3764.1457,5502.9230,-5295.9215,-2792.9987,5202.2094,-5494.3582,5521.2076,5425.7053,-5271.6642,-2637.0049,4068.5723,6094.1564,3215.2530,10339.9522,9239.6185,-1357.4370,-2333.3066,3277.5921,50299133.4540,50280446.3038,50311511.3143,50314611.8876,4721.8341,50311281.6323,
1500.000,-6533.1478,6028.6321,-4554.7058,-1052.3073,4142.6549,-6525.5342,984.0335,328.1721,4686.5625,-3937.4183,-5719.2807,3922.2899,2082.0303,5535.4254,-216.1281,-3267.4775,4426.9247,-2647.4096,3491.9788,-6000.7010,-374.8414,-2654.5857,-1685.6703,3779.1398,-4522.5104,-1051.3892,1620.4085,1983.8084,95473782.2896,95466637.0408,95461416.5287,95477462.5465,1747.5465,95486443.0224,-2231.1345,-250.4700,-2982.1968,6387.9386,-3105.5007,-1358.4592,5428.4788,5788.5464,-32.2019,-1548.1771,2912.7767,1827.5344,-4845.7949,1590.5797,5263.5784,2823.2420,-655.4121,1205.5290,3990.8245,2935.9525,-401220.6122,-417833.8081,-396251.9017,-396307.3148,-398269.9800,-397254.8823,-405289.6103,-401751.0659,-36537158.3698,-36559593.9141,-36552372.9594,-36549927.2280,-401140.3833,-36547578.1041,-662.1625,-3426.2866,4167.8765,2447.1578,-4621.9661,739.0670,-3996.9458,-3433.7500,5079.5802,-5481.9100,-2640.0901,5383.1575,-4492.8751,-3874.5347,4357.7649,-5417.9261,5268.6083,6300.4639,-4448.8889,-903.8785,3982.7934,5944.1549,3150.7628,10066.3547,9238.8307,-1305.3988,-2631.6300,2947.2227,50300520.6988,50281831.7054,50312617.9663,50315637.4940,4580.7445,50312707.3946,
1800.000,-6567.0452,6270.4436,-5851.0363,172.4769,2474.9979,-6615.9863,2601.5370,1793.8265,3702.8155,-4831.8167,-5174.7023,5077.0246,834.1714,5230.6743,1377.1066,-2132.5286,4569.7751,-736.0924,5137.4884,-5354.7342,8326.0539,6137.2133,6922.7665,12324.0478,3962.4937,7397.6061,10161.0435,10727.2919,96253636.5116,96246894.6000,96241295.7424,96257112.8979,10263.8135,96266231.1163,-656.4982,-2001.5043,-1506.6937,6884.3694,-4464.1819,-125.2663,5757.4881,6228.6775,-1928.7506,360.4262,4454.6350,116.0469,-6082.9050,-433.2412,5975.3397,4557.8909,-2669.4061,2299.9068,3405.4125,3984.0113,-401721.1199,-417863.4026,-396048.9803,-396237.0872,-398172.2032,-397125.7879,-405095.5318,-401176.1494,-34439935.9751,-34462645.8400,-34455844.8458,-34453397.8446,-401023.1336,-34450397.1113,-2136.4383,-2192.3916,3244.3588,712.5965,-4702.6100,-1102.6147,-2546.6169,-1837.6999,5506.4659,-4947.3160,-1234.3831,4682.5673,-3208.9620,-4543.3839,3028.0479,-4762.2971,4448.9095,6505.9327,-3148.6138,934.4503,3921.3095,5794.0358,3088.9934,9787.2148,9234.4744,-1247.4174,-2924.4325,2748.0806,50301913.5072,50283219.2296,50313724.6922,50316650.9024,4439.6532,50314133.2099,
2100.000,-5974.6852,5919.0367,-6572.5669,1372.0560,596.5293,-5984.6125,3925.8770,3046.9074,2402.5729,-5294.1668,-4139.0183,5761.7236,-461.2676,4461.2674,2799.8189,-837.4903,4305.7956,1208.4189,6266.6874,-4125.6233,17136.0335,14929.5099,15528.1054,20865.6678,12445.8669,15843.6859,18694.1192,19409.1400,96987432.7079,96981098.2519,96975141.4869,96990767.4020,18775.9020,96999963.3967,1000.0750,-3542.5459,89.9744,6698.5152,-5428.5087,1134.4997,5505.9249,6006.9289,-3668.9638,2200.9556,5558.4233,-1567.6149,-6728.0460,-2434.8104,6091.8659,5861.3676,-4400.5133,3236.1295,2517.1546,4611.9306,-401998.5282,-417706.6415,-395668.2499,-395987.5276,-397895.6409,-396821.0347,-404718.5503,-400399.4718,-32326085.5811,-32349057.3358,-32342688.7234,-32340237.9195,-400725.0401,-32336591.2406,-3382.4248,-724.3042,1962.3928,-1098.6277,-4282.6173,-2814.0847,-809.1154,-27.4298,5340.2426,-3882.6956,303.1705,3476.4643,-1581.0753,-4728.7653,1360.9528,-3597.1175,3150.0540,6020.5409,-1509.8694,2663.8647,3883.3650,5643.8012,3029.7939,9502.4037,9226.5667,-1183.4088,-3211.7847,2684.6660,50303311.8940,50284608.9008,50314831.5659,50317654.4281,4298.5602,50315559.0784,
2400.000,-4820.1491,4998.6912,-6642.1101,2447.9355,-1313.5594,-4705.2389,4833.2228,3970.5399,914.1832,-5267.6405,-2700.3595,5897.9245,-1693.7432,3303.4710,3921.1303,501.9752,3646.9057,2990.1828,6769.7044,-2436.1103,26036.1998,23718.3254,24126.5066,29400.0962,20923.7130,24283.4397,27215.7027,28012.2406,97674816.5965,97668893.3746,97662599.4574,97678069.8590,27279.9706,97687285.7149,2588.9325,-4735.0710,1659.4628,5847.6329,-5901.4694,2303.2150,4685.5272,5136.2338,-5077.6294,3797.3917,6126.0363,-3065.1315,-6711.0955,-4221.3381,5589.8989,6598.7064,-5680.8591,3912.5682,1395.4622,4769.8287,-402022.3492,-417363.5209,-395109.9051,-395558.9565,-397440.2353,-396340.9022,-404159.0544,-399461.9686,-30196618.6039,-30219839.7264,-30213915.1029,-30211454.7398,-400246.2271,-30207171.8096,-4267.4740,821.2328,463.5857,-2791.8401,-3406.4231,-4193.7112,1019.7369,1786.0089,4598.6695,-2401.5319,1808.2819,1894.8297,216.5321,-4411.1027,-457.7995,-2046.5034,1511.7388,4895.7180,291.4178,4082.8214,3864.5161,5493.4536,2973.0083,9211.7863,9215.1244,-1113.2875,-3493.7545,2750.0234,50304715.8717,50286000.7436,50315938.6604,50318650.1894,4157.4655,50316984.9999,
