sl_5_86400_20250618 Coordinates.csv
2025/06/18 07:47:00.0000 UTC

Generated: Tue Oct  8 16:57:59 2024,
Start: 2025/06/18 07:47:00.00, Stop: 2025/06/19 07:47:00.00,
TIME_UNITS,STARLINK-2404 - X-Coordinate,STARLINK-6094 - X-Coordinate,STARLINK-3308 - X-Coordinate,STARLINK-1496 - X-Coordinate,STARLINK-2150 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2404 - Y-Coordinate,STARLINK-6094 - Y-Coordinate,STARLINK-3308 - Y-Coordinate,STARLINK-1496 - Y-Coordinate,STARLINK-2150 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2404 - Z-Coordinate,STARLINK-6094 - Z-Coordinate,STARLINK-3308 - Z-Coordinate,STARLINK-1496 - Z-Coordinate,STARLINK-2150 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4770.4081,-2056.5857,-4149.1129,4098.3454,2744.5610,-318141.1912,-309572.1494,-321475.8247,-324292.7154,-318316.0095,-320755.8052,-314964.6956,-317217.7077,170277526.6114,170295480.6234,170272868.9011,170272604.6094,-318867.9321,170266340.4819,-3397.1289,4920.5207,-173.8104,2824.5067,5991.0090,-190370.7827,-204221.6221,-201711.0390,-197259.7279,-203120.4549,-200576.5399,-194319.3279,-195896.8445,206655365.5722,206654638.3322,206654916.7281,206675216.3285,-196374.0348,206670875.3176,-3699.0704,-4441.7214,5523.6230,-4817.1470,2111.4093,-21852.5818,-24704.6192,-25030.4176,-17663.0871,-19284.3841,-29999.4071,-30089.3418,-23855.4883,58828548.7245,58807909.0015,58849263.8402,58825908.2878,-23466.9726,58835738.9176,
3600.000,-4320.4721,-846.3125,4544.3324,-4184.3181,-4042.8811,-262875.9001,-250660.9687,-263258.3813,-264378.2523,-258436.8419,-260854.8012,-256338.4672,-260761.5973,110927535.5721,110946349.5730,110930528.4561,110915540.6427,-259342.2722,110916699.9875,5391.7339,-6606.3608,-3799.4738,1515.6761,-5163.6969,-262374.3914,-275554.2882,-274780.5118,-270372.0282,-276992.5370,-274896.3262,-268340.6931,-271029.2718,243769274.4881,243775832.4995,243768568.5618,243790626.1188,-270076.5111,243783771.3259,-430.4945,1927.0629,-3582.6941,5293.3258,2213.5671,-19260.4167,-22969.3762,-22198.4559,-17674.2047,-15976.1294,-25683.3556,-30000.9194,-21039.9820,58795039.3079,58775490.8719,58815153.1295,58796461.6697,-21683.1461,58804516.2469,
7200.000,1905.0855,2959.9875,-3913.3491,4054.6259,4209.4096,-191170.2760,-176172.4645,-188086.9347,-187310.2739,-181993.6755,-184043.3845,-180894.8169,-182341.6448,43973346.2222,43991076.4756,43983448.2796,43955851.7753,-183232.4310,43963268.2188,-5100.7802,6028.1839,5672.2589,-5013.6393,1796.3474,-319628.5237,-330221.3618,-330168.6983,-325835.6594,-333228.1740,-330668.1961,-325510.3328,-325263.0413,264239518.4926,264252855.3166,264242203.7260,264256252.8262,-326465.6282,264253356.6031,4267.4369,1728.6564,-613.2150,-2530.4752,-5199.5683,-16899.8535,-21154.6719,-19226.2545,-18633.8899,-13162.6683,-20447.0423,-29183.9024,-20836.0724,58762114.2632,58743257.4338,58780532.8645,58770561.1318,-19897.1816,58773264.2010,
10800.000,2072.7295,-4422.0029,1428.1534,-2843.2101,-4081.8733,-106912.2391,-91067.0523,-100844.7551,-95863.0779,-93981.5048,-95953.0409,-93273.7627,-95867.8487,-26012769.4844,-25997794.4465,-25997609.6543,-26026324.6549,-95420.0371,-26021911.8333,3672.4828,-3093.8861,-5138.1648,6045.8571,2564.0216,-357976.3097,-364868.2467,-364277.8601,-360325.6447,-368378.6022,-362004.8314,-361996.5644,-363285.2237,266660324.9223,266679431.5066,266669387.2553,266670139.1373,-361935.2155,266674013.1521,-5495.4569,-4363.3234,4399.0888,-1819.1800,4959.0950,-14687.5730,-19172.5272,-16431.8953,-19912.7864,-10829.2072,-15711.1704,-27699.6336,-16974.4331,58729881.9383,58711238.2680,58745594.9631,58746340.5373,-18109.2525,58741982.7809,
14400.000,-5655.5453,5317.3008,2502.7816,-24.6813,3680.8785,-15104.2699,-1725.9634,-7211.2371,2620.8982,-79.6530,-2675.1780,958.0429,-1626.7401,-94249439.7970,-94238485.6121,-94232331.6162,-94252445.5285,-1534.9730,-94257743.9160,-2209.6230,-897.3069,3422.9098,-4759.1087,-5619.9355,-374506.6093,-376602.5332,-374940.7823,-373432.3822,-380296.2379,-370172.2558,-375257.9707,-373100.0584,250858828.7609,250882271.3664,250876046.5868,250870051.7692,-374221.6247,250872897.0451,3315.5479,4352.5733,-5472.4213,5019.1913,-1684.4597,-12582.8149,-16645.1569,-14085.2730,-16707.2404,-8983.4812,-16908.6261,-25568.7160,-17692.9912,58698403.9169,58679468.2764,58710497.5062,58717063.6631,-16319.5327,58710671.9876,
18000.000,6818.6978,-5278.9120,-5919.4622,3831.3323,-2119.1047,78573.0722,88731.0353,86754.7227,98416.9414,93684.7282,90577.1020,95678.9507,92831.2954,-156072890.8024,-156066690.8207,-156057386.7786,-156071186.2876,92406.1424,-156080703.9478,804.6981,4154.3375,-1736.9778,2606.6869,6033.6849,-367721.0115,-360839.7898,-361556.4026,-362133.6267,-368278.5397,-357987.7845,-364251.4444,-363470.8281,217907396.5072,217933437.8816,217933033.1916,217926681.0427,-362548.3584,217922256.7660,886.6103,-1737.6734,3121.5817,-5149.6993,-2656.5539,-10562.2362,-13632.5534,-12335.8107,-12394.7424,-7660.2764,-18615.8748,-22776.0035,-13030.2796,58667691.0301,58647989.1209,58675375.2373,58682619.7995,-14528.1969,58679331.8221,
21600.000,-5056.2428,3595.9257,6817.9827,-6556.1518,-980.1958,168166.2513,175132.1149,175038.5852,187130.1634,181294.9924,178314.6751,184597.0545,179781.1653,-207255737.4520,-207254393.5422,-207245156.2976,-207256872.6849,180386.1271,-207263565.5691,1240.4097,-5605.3171,250.5515,-742.6666,-4294.3889,-337644.9087,-323094.2993,-325088.6317,-327094.3303,-333096.2912,-323780.9815,-329544.7568,-327309.7964,170050836.3112,170077609.1658,170083607.8949,170077341.6224,-327675.1417,170066674.2762,-4567.8562,-1945.7818,1147.2150,2086.0102,5331.7373,-8611.0849,-11380.6806,-11172.4617,-8552.3067,-6932.1460,-19358.2903,-19267.3050,-14376.4659,58637702.6548,58616851.0889,58640348.0201,58646591.6722,-12735.4202,58647962.2853,
25200.000,1725.3947,-267.4474,-4753.4382,6501.2060,4645.5978,247858.3851,249527.0997,252053.4478,263685.3152,257090.2651,255024.6866,261599.6374,257389.9171,-244296067.6819,-244299007.1175,-244292864.8237,-244304124.4731,256773.2332,-244304442.6733,-3948.2978,5318.2833,1718.4229,-795.8613,1976.2860,-285849.3693,-265863.4011,-267951.1784,-270913.3578,-276883.0825,-268852.1665,-273339.8295,-271891.3766,110553439.4480,110579169.5771,110590759.2918,110582372.3691,-271848.3347,110570165.7671,5408.7668,4435.1581,-4729.2446,2238.4253,-4743.8608,-6719.4145,-9397.4336,-10426.7168,-5234.0348,-6933.2410,-19259.4548,-14940.8318,-9252.7169,58608349.3452,58586115.4817,58605527.6534,58610843.5512,-10941.3785,58616563.3785,
28800.000,1238.2603,-3633.5049,1188.7662,-3694.5319,-6813.4775,312370.2163,307078.3052,312959.6120,323439.3732,316069.5007,315717.0801,320887.7659,316372.1752,-264657045.0139,-264663064.0882,-264662335.6238,-264671914.4126,316682.1652,-264666385.2027,6149.8024,-4089.7725,-4215.4235,2683.7503,-111.2631,-215372.9406,-192469.1428,-193816.4396,-197388.3497,-202736.1078,-196322.4464,-199448.5476,-199110.1251,43476284.0080,43499543.5986,43514746.1640,43502026.3480,-198655.9311,43493557.4433,-2936.2662,-4270.8716,5345.5431,-5208.7750,1209.3900,-4880.2215,-7532.6445,-9817.8113,-2411.6023,-7883.9392,-18433.0959,-9695.1609,-10858.9440,58579498.6250,58555857.5629,58571023.5791,58576345.6473,-9146.2483,58585135.1024,
