sl_10_86400_20250908 Coordinates.csv
2025/09/08 07:47:00.0000 UTC

Generated: Tue Oct  8 16:58:07 2024,
Start: 2025/09/08 07:47:00.00, Stop: 2025/09/09 07:47:00.00,
TIME_UNITS,STARLINK-3200 - X-Coordinate,STARLINK-30414 - X-Coordinate,STARLINK-2026 - X-Coordinate,STARLINK-11115 [DTC] - X-Coordinate,STARLINK-5975 - X-Coordinate,STARLINK-4810 - X-Coordinate,STARLINK-3640 - X-Coordinate,STARLINK-2005 - X-Coordinate,STARLINK-5192 - X-Coordinate,STARLINK-30325 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3200 - Y-Coordinate,STARLINK-30414 - Y-Coordinate,STARLINK-2026 - Y-Coordinate,STARLINK-11115 [DTC] - Y-Coordinate,STARLINK-5975 - Y-Coordinate,STARLINK-4810 - Y-Coordinate,STARLINK-3640 - Y-Coordinate,STARLINK-2005 - Y-Coordinate,STARLINK-5192 - Y-Coordinate,STARLINK-30325 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3200 - Z-Coordinate,STARLINK-30414 - Z-Coordinate,STARLINK-2026 - Z-Coordinate,STARLINK-11115 [DTC] - Z-Coordinate,STARLINK-5975 - Z-Coordinate,STARLINK-4810 - Z-Coordinate,STARLINK-3640 - Z-Coordinate,STARLINK-2005 - Z-Coordinate,STARLINK-5192 - Z-Coordinate,STARLINK-30325 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-2829.8589,-4739.4799,0.0000,2674.2690,5783.2138,4021.4592,5041.2895,6443.8936,-6284.7329,-355.8821,115786.2917,136757.4996,133517.1995,128918.4670,135750.9850,132947.0662,127609.3727,128460.7252,28444238.7494,28453627.0040,28438298.9427,28428797.3330,128995.5615,28430998.8565,-5408.5323,-1542.5341,0.0000,-4946.9330,-3748.6049,1182.3912,-4450.2892,2144.8245,-2879.8625,-6847.0563,-356819.5295,-340794.2355,-348145.6543,-349789.3738,-344840.9276,-346746.5280,-340109.0626,-342693.1535,338054064.0358,338069264.6190,338036286.3963,338045899.9201,-344230.3873,338038622.0331,3237.0122,4674.2233,0.0000,3693.5533,751.4230,-5500.2652,-1617.3841,1271.6201,-188.6425,-997.9906,-9652.8889,-15090.2068,-15166.6579,-8168.6339,-9419.4277,-20118.6127,-20552.1891,-14515.3377,-47241139.6771,-47264167.0823,-47222193.2637,-47248437.0921,-13768.6050,-47239234.3263,
3600.000,4593.0623,3324.4225,0.0000,2199.9364,-3823.1986,-4529.2838,-1950.8406,-6190.7022,5658.5974,2499.9205,202234.4834,216566.4203,214689.8601,210526.4298,218079.6894,215669.8905,209944.1601,212035.3479,-60109857.0067,-60108470.6629,-60110544.2664,-60128326.7501,211112.6534,-60121957.8621,5061.6359,-3005.5700,0.0000,3501.1667,5048.9944,3064.6233,4403.0403,-429.3921,786.9683,5898.3252,-317030.7819,-298766.7184,-305861.6560,-305907.5676,-301186.5196,-303074.2825,-297683.3277,-302132.7301,333890571.7082,333908106.5293,333878382.4839,333875131.3223,-300877.4725,333874860.9185,1027.4908,-5173.6878,0.0000,-5318.7356,2813.3529,4215.7788,4949.9634,3031.4545,-3905.3641,-2643.2296,-7910.8142,-13082.3235,-12221.8545,-8177.8502,-6112.4801,-15670.7373,-20335.4342,-11030.8123,-47310563.7170,-47332138.5726,-47289372.7550,-47313254.1317,-11920.8818,-47305652.4079,
7200.000,-4576.9460,-1779.6117,0.0000,-6159.2231,104.1578,4225.5732,-2430.0404,3562.2993,-3248.3599,-4345.7683,276126.9279,282422.3192,282078.1840,278377.5765,286610.3600,283608.3582,279254.0794,278608.8419,-144564664.8821,-144571127.4830,-144563620.5833,-144579078.9789,279729.5569,-144575673.9857,-2247.2603,6321.6635,0.0000,-1513.9431,-5111.2610,-5460.3916,-3863.6626,-2340.3870,2566.6213,-2724.9041,-256458.1883,-239214.1981,-243942.1562,-242117.8289,-238308.8428,-239722.3806,-235883.3448,-237638.6186,306925153.5902,306942845.4604,306920381.9732,306902954.1326,-238334.6338,306909712.3350,-4675.5332,1902.5200,0.0000,2247.7850,-4687.9712,-292.7125,-5198.8628,-5446.0157,5529.3066,4648.2376,-6205.5446,-10652.5233,-9195.1844,-9129.8919,-3299.6904,-10310.6005,-19397.9769,-11300.5861,-47379668.7781,-47399943.1495,-47357652.9857,-47373978.3975,-10071.9518,-47372069.5778,
10800.000,3834.6862,-60.9740,0.0000,6093.8583,3843.1427,-2068.8806,5750.3438,-411.8825,775.9065,5676.0960,332491.2243,327751.9140,331324.2745,328879.5283,337090.9796,329957.5932,330970.5601,331629.2295,-219152073.6627,-219165691.6635,-219153153.6546,-219158591.3529,330469.0347,-219162298.0604,-2063.5510,-6271.9972,0.0000,-663.7391,4414.7064,5361.6234,3168.9133,5307.1230,-5781.4314,-1106.4942,-178875.9283,-162681.2691,-166406.8826,-160288.7114,-160337.2143,-161097.3455,-158452.6173,-160877.3080,258997723.5022,259013600.4783,259000359.8583,258978875.7873,-160602.8382,258982995.9363,5359.0157,2719.6875,0.0000,2777.0499,3708.2026,-3845.4425,2159.2577,4397.2009,-3721.4113,-3819.2977,-4535.8201,-7472.6409,-6402.4732,-10086.4903,-966.0121,-5856.5525,-17797.7717,-6897.1098,-47448280.7647,-47467559.0157,-47426729.9186,-47433351.5722,-8222.0092,-47438485.8138,
14400.000,-3030.0094,2730.2714,0.0000,-2251.2921,-6225.8538,-1741.6229,-6318.0839,-1786.5188,1006.9300,-5635.9543,367456.4185,353832.0637,359294.2929,360090.3875,366383.7541,355786.8988,361595.5996,359213.9038,-278777475.2877,-278797084.7770,-278784034.7559,-278783548.1590,360098.0006,-278787401.1460,5599.9513,3202.5131,0.0000,3367.9726,-3011.2702,-3751.3231,-1719.7970,-6649.8892,6829.3126,3977.9279,-89243.1360,-73998.7398,-78300.8759,-68218.2734,-72306.0312,-73175.0714,-70269.8444,-72876.5867,193379965.5042,193392377.3439,193388311.4797,193371548.6603,-72652.0714,193366185.4094,-2699.8911,-5398.3124,0.0000,-5382.6965,-495.4828,5525.8743,2208.6607,-596.0312,-442.6761,635.3569,-2900.8443,-5056.2146,-4096.5752,-6495.3996,880.4268,-7273.9712,-15552.7207,-7938.9941,-47516257.4529,-47534961.0892,-47496354.8233,-47498053.6403,-6371.2486,-47504901.0936,
18000.000,1656.9010,-5401.3760,0.0000,-2167.8602,6210.5926,5451.8313,4407.4568,3037.1751,-2446.9629,3549.5095,378533.3227,357986.5849,364279.1448,367356.3385,372665.8475,361959.9096,368971.4954,367331.6198,-319367773.1538,-319391829.6969,-319382030.0336,-319380370.9809,366733.7560,-319377938.1778,-6499.0080,589.7763,0.0000,-5485.2801,563.5389,2023.8409,-1107.8123,5053.2250,-4823.7486,-5178.3074,6611.3063,18077.6661,14680.7008,25958.2872,20139.4646,18790.4769,22968.4103,20367.5046,114551966.2726,114559694.8034,114563074.2646,114549695.3048,19896.8964,114539095.9853,-1687.2424,4144.5643,0.0000,3236.2289,-3035.6485,-3739.5705,-5216.7279,-3612.8672,4299.0946,2921.4056,-1300.2282,-2982.5801,-2399.6610,-2156.3983,2204.1098,-8844.2457,-12645.0549,-2919.6555,-47583497.7003,-47602120.1613,-47566326.6502,-47567204.0634,-4519.8650,-47571315.3950,
21600.000,899.5465,6125.6951,0.0000,4364.1526,-4299.1918,-6880.2597,-1644.9522,-4001.9744,4114.3371,236.7835,364805.9184,339456.3707,346066.5606,350545.3397,355523.1661,345848.5885,352462.7089,349894.7925,-338149629.2380,-338176328.4392,-338172284.8770,-338169656.4904,349963.7131,-338160481.5844,4695.9638,-3042.8592,0.0000,4822.7823,2706.0720,-494.0155,4553.6990,-1124.5128,893.7464,5085.8960,102369.1384,107759.9557,106594.8129,117890.2469,111078.8741,109728.3472,115094.8833,110556.2831,27896294.2314,27898654.8522,27906590.7805,27893285.5492,111132.2355,27884034.7093,4982.5834,85.5981,0.0000,1733.3339,4709.7310,-438.3742,4925.5316,5509.9226,-5492.6850,-4702.5367,266.0445,-1047.7467,-1270.5287,1681.6253,2931.2830,-9452.1206,-9017.4932,-4395.8516,-47649947.9947,-47669001.8125,-47636480.3653,-47637927.3370,-2668.0538,-47637728.6958,
25200.000,-4230.7323,-3598.5815,0.0000,-4228.4779,1726.0660,5219.0176,-522.5609,4839.3228,-5461.3735,-4148.7634,327019.1652,299412.9668,305901.2330,311150.2684,315903.5816,307682.0456,313047.8958,310584.3452,-333838940.0819,-333866378.3397,-333869088.4543,-333863022.7717,310870.9825,-333850720.7422,-1792.4519,3943.3452,0.0000,-666.0024,-5706.8202,-1364.0084,-6715.0148,-2962.8916,2742.4117,-4223.6110,191643.3429,189504.9008,191631.9249,202197.5012,194664.4772,194047.1596,199796.0014,195686.5117,-60669574.5438,-60672654.1535,-60663589.7500,-60678219.2027,195229.2128,-60681705.1525,-5171.5623,-4282.7761,0.0000,-5201.7548,-3543.6301,4309.1202,-1566.5096,-3951.4224,3229.4422,3590.2900,1797.6380,810.7174,-515.6980,4992.6922,2926.1984,-9230.8495,-4565.0909,863.5805,-47715605.9179,-47735565.0091,-47706676.2363,-47708643.1039,-816.0109,-47704140.9737,
28800.000,6558.9258,-1066.3655,0.0000,3047.7247,680.1338,-1711.0383,2021.2680,-4562.4554,5146.9792,6381.5370,267555.5691,240490.3871,246366.3041,251909.1223,255752.7672,249515.0389,253334.9866,252641.6293,-306728599.9224,-306754975.8997,-306763924.5003,-306751432.5958,251964.2437,-306741279.3988,-627.3812,-4110.6765,0.0000,-4397.4619,6896.5220,3852.8058,5990.1769,5189.6508,-4501.2765,2680.7783,268410.8421,258259.3948,264451.4013,273703.2024,265486.6667,266336.7959,270706.8385,266695.5621,-145097372.1521,-145105319.2512,-145098463.0028,-145113010.7629,266822.5509,-145109912.0297,2085.8960,5351.2146,0.0000,4076.4321,213.3315,-5481.7264,-2807.4478,-132.2084,1026.2485,-292.4757,3293.8819,2620.2385,158.6851,7808.4350,1977.1461,-8290.0681,798.3709,-657.1698,-47780520.3015,-47801760.2851,-47776791.0521,-47778360.0718,1036.0674,-47770552.2064,
