sl_20_5400_20250122 Coordinates.csv
2025/01/22 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:56 2024,
Start: 2025/01/22 07:47:00.00, Stop: 2025/01/22 09:17:00.00,
TIME_UNITS,STARLINK-5199 - X-Coordinate,STARLINK-2641 - X-Coordinate,STARLINK-1244 - X-Coordinate,STARLINK-3166 - X-Coordinate,STARLINK-5086 - X-Coordinate,STARLINK-3267 - X-Coordinate,STARLINK-32012 - X-Coordinate,STARLINK-6310 - X-Coordinate,STARLINK-4058 - X-Coordinate,STARLINK-2734 - X-Coordinate,STARLINK-1595 - X-Coordinate,STARLINK-31984 - X-Coordinate,STARLINK-3842 - X-Coordinate,STARLINK-5743 - X-Coordinate,STARLINK-4065 - X-Coordinate,STARLINK-11134 [DTC] - X-Coordinate,STARLINK-31575 - X-Coordinate,STARLINK-11166 [DTC] - X-Coordinate,STARLINK-31657 - X-Coordinate,STARLINK-5053 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5199 - Y-Coordinate,STARLINK-2641 - Y-Coordinate,STARLINK-1244 - Y-Coordinate,STARLINK-3166 - Y-Coordinate,STARLINK-5086 - Y-Coordinate,STARLINK-3267 - Y-Coordinate,STARLINK-32012 - Y-Coordinate,STARLINK-6310 - Y-Coordinate,STARLINK-4058 - Y-Coordinate,STARLINK-2734 - Y-Coordinate,STARLINK-1595 - Y-Coordinate,STARLINK-31984 - Y-Coordinate,STARLINK-3842 - Y-Coordinate,STARLINK-5743 - Y-Coordinate,STARLINK-4065 - Y-Coordinate,STARLINK-11134 [DTC] - Y-Coordinate,STARLINK-31575 - Y-Coordinate,STARLINK-11166 [DTC] - Y-Coordinate,STARLINK-31657 - Y-Coordinate,STARLINK-5053 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5199 - Z-Coordinate,STARLINK-2641 - Z-Coordinate,STARLINK-1244 - Z-Coordinate,STARLINK-3166 - Z-Coordinate,STARLINK-5086 - Z-Coordinate,STARLINK-3267 - Z-Coordinate,STARLINK-32012 - Z-Coordinate,STARLINK-6310 - Z-Coordinate,STARLINK-4058 - Z-Coordinate,STARLINK-2734 - Z-Coordinate,STARLINK-1595 - Z-Coordinate,STARLINK-31984 - Z-Coordinate,STARLINK-3842 - Z-Coordinate,STARLINK-5743 - Z-Coordinate,STARLINK-4065 - Z-Coordinate,STARLINK-11134 [DTC] - Z-Coordinate,STARLINK-31575 - Z-Coordinate,STARLINK-11166 [DTC] - Z-Coordinate,STARLINK-31657 - Z-Coordinate,STARLINK-5053 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,1954.9738,5855.4016,6555.5728,3739.8806,-2918.9562,5364.8845,4583.1390,3378.5396,-6849.9795,-3875.7022,2153.6682,727.8020,-5666.6059,2108.9799,5623.9239,4385.6965,-2484.5005,6467.6731,454.7041,-4559.6737,-296020.6873,-330170.6462,-314954.6980,-310270.6176,-318822.2979,-315287.9536,-315657.7706,-313085.8557,60617695.2799,60626230.4544,60635482.6802,60617886.7778,-314072.4276,60623728.1703,4932.9818,3690.0013,-2077.0742,1921.3924,4345.4391,176.4052,2286.8645,-5124.5028,-883.3004,1891.5811,-4502.0732,-5553.0068,3965.5714,-4770.7832,1734.9323,-5116.9869,4509.1192,6.5505,6776.2232,-2682.4419,-219684.7255,-232592.5870,-217333.5752,-219909.5937,-218214.6263,-218508.6993,-226813.2190,-222016.9167,-63918901.2543,-63904304.1375,-63900956.7836,-63899256.3698,-223301.9469,-63902139.8599,-4445.3716,59.0238,-813.1751,5482.5719,4539.7246,4353.5209,-4543.3429,-3235.2176,369.7892,5394.6842,4760.7495,-3936.8580,47.3652,4560.0116,-3642.6373,119.2019,4466.7320,1855.6894,-649.1869,-4463.6075,-115332.6041,-119708.6116,-120512.4493,-114391.9400,-114214.6799,-124476.7666,-127109.9702,-118557.7653,42225416.1155,42236634.8822,42224434.4129,42220582.2382,-119359.5333,42215414.0926,
3000.000,3696.0216,6189.8377,6063.9711,4273.5352,-1293.7438,6063.8374,4332.1009,1452.4951,-6565.1486,-3231.5637,857.5291,-691.6024,-4711.1361,-19.9663,6573.6830,3202.1631,-736.2056,5630.2847,1934.1223,-4418.8580,-291294.1897,-325122.6088,-310005.7551,-305430.6312,-314021.6457,-310515.2122,-310782.2960,-308553.1176,62003147.0739,62011378.6890,62020618.1362,62002711.7084,-309240.9182,62009214.8774,4939.8186,2481.5468,-3185.9049,-190.7621,5597.8454,-1395.9809,247.0854,-5348.7870,363.2229,3864.1756,-5821.5547,-6346.7615,4755.9071,-5077.5037,527.8104,-5607.8159,5617.0411,-1283.9711,6186.2069,-672.6941,-225805.6462,-239434.1451,-223880.5682,-226550.7613,-224810.0206,-225071.2099,-233320.7548,-228695.9004,-62576619.2491,-62562097.0335,-62558162.1397,-62557350.5225,-229881.2829,-62559779.1219,-3137.1864,1843.5370,998.6664,5425.8332,3875.2750,3013.2776,-5296.4172,-4174.5347,2138.0507,4726.9553,3601.9742,-2467.6238,-1747.3871,4713.7344,-2096.8211,1923.1101,3792.3739,3448.1329,-2133.5680,-5285.6852,-115454.3834,-119829.7756,-120532.5865,-114659.3427,-114197.9398,-124362.2152,-127349.2332,-118275.5566,42226111.5879,42237700.4796,42225724.6967,42221147.9097,-119466.9757,42216264.1290,
3300.000,5052.1562,5920.7891,4966.2893,4441.4772,425.5702,6178.3279,3694.9149,-628.0008,-5630.9646,-2319.0298,-485.7050,-2013.8683,-3276.1669,-2143.1389,6874.1493,1656.4867,1057.7980,4192.7191,3237.5414,-3897.4528,-286442.5071,-319931.9520,-304919.2921,-300453.2410,-309081.5957,-305604.2508,-305771.9657,-303926.1337,63358885.9615,63366817.9544,63376010.9283,63357879.0455,-304271.6387,63364985.3514,4487.0184,1009.0710,-3989.0910,-2267.1423,6328.4714,-2801.0142,-1839.3320,-5094.5128,1597.4870,5456.5967,-6571.5932,-6499.5860,5089.7156,-4937.7067,-708.3387,-5509.1237,6175.4679,-2475.0295,4967.4302,1423.1929,-231825.2250,-246165.5018,-230326.4523,-233089.7629,-231303.1271,-231535.6943,-239721.2695,-235370.6409,-61204306.6450,-61189872.3155,-61185352.0545,-61185454.0092,-236356.0880,-61187385.8855,-1491.7592,3429.4586,2703.0389,4784.3652,2796.0743,1347.9810,-5462.9915,-4668.8452,3675.5607,3548.9965,2052.4485,-724.0527,-3353.9263,4363.0514,-325.3394,3502.8586,2691.7902,4637.0574,-3378.5007,-5541.1325,-115576.3613,-119950.8481,-120550.6284,-114932.9169,-114184.6195,-124241.2466,-127583.2147,-118080.4499,42226802.7178,42238758.0667,42227004.0814,42221682.9160,-119574.3517,42217114.2756,
3600.000,5897.1830,5085.7411,3364.9572,4219.4909,2080.7630,5686.1065,2739.1249,-2663.0188,-4144.7878,-1215.6440,-1758.0251,-3121.2297,-1495.4873,-4054.1981,6491.1844,-97.6394,2722.6870,2315.4213,4244.8739,-3050.3889,-281467.8043,-314601.0875,-299697.5866,-295340.9170,-304004.3940,-300556.8822,-300629.1796,-299177.8983,64684261.1721,64691898.0310,64701011.3593,64682740.4411,-299166.8506,64690388.7424,3602.5069,-595.5076,-4425.0089,-4101.9678,6460.0959,-3914.2830,-3758.3630,-4391.3137,2713.5320,6507.9237,-6670.7506,-5986.6638,4950.2895,-4361.4039,-1870.4361,-4844.9280,6120.0851,-3451.0649,3246.1375,3397.5819,-237740.9398,-252783.6637,-236668.3964,-239523.9482,-237690.8986,-237899.6395,-246012.0828,-242024.1888,-59802620.9824,-59788287.3790,-59783185.6093,-59784218.2675,-242723.4788,-59785617.8364,314.2795,4645.9917,4116.5161,3627.1129,1417.5246,-462.7296,-5024.7634,-4665.7508,4816.4621,1987.7800,280.2226,1100.1136,-4599.7994,3545.4216,1481.1774,4674.3962,1288.6064,5283.5777,-4244.7292,-5202.8281,-115698.5372,-120071.8278,-120566.7452,-115212.8236,-114174.7041,-124113.7783,-127811.9715,-117993.4176,42227489.5772,42239807.7805,42228272.1720,42222190.9816,-119681.6613,42217964.5324,
3900.000,6157.3451,3776.7655,1414.5271,3616.6374,3522.5014,4625.5634,1557.9172,-4455.3760,-2258.7466,-13.7014,-2851.2690,-3919.0647,460.5497,-5567.9479,5459.9411,-1880.1211,4099.5339,205.0450,4862.5720,-1957.9901,-276372.2955,-309132.4903,-294342.9740,-290096.2160,-298792.3490,-295374.9407,-295356.3854,-294281.7573,65978636.4814,65985983.2328,65994984.3622,65976661.2197,-293928.8755,65984788.7536,2356.4368,-2183.3393,-4465.8686,-5515.4736,5972.5906,-4642.5922,-5310.5661,-3307.2589,3612.7265,6911.6506,-6103.2056,-4852.6519,4364.8426,-3396.3579,-2863.0807,-3697.5431,5447.9917,-4113.5313,1199.3513,5052.6391,-243550.3143,-259285.6900,-242903.6139,-245850.7429,-243970.3429,-244160.6023,-252190.5626,-248632.7213,-58372233.8999,-58358013.6980,-58352335.9112,-58354308.9733,-248980.6205,-58355146.7615,2086.4021,5362.3128,5087.1167,2078.6632,-112.8049,-2223.6059,-4029.8346,-4165.5491,5437.8842,211.8626,-1522.4218,2801.6294,-5351.8638,2348.2275,3127.8904,5301.4351,-259.4372,5312.2788,-4635.6347,-4306.7206,-115820.9106,-120192.7135,-120581.1104,-115499.2304,-114168.1795,-123979.7319,-128035.5578,-118027.6243,42228172.2399,42240849.7587,42229528.6051,42222675.6532,-119788.9044,42218814.8995,
4200.000,5817.9460,2129.9267,-693.6827,2676.0192,4623.8560,3092.8773,261.3705,-5829.5512,-163.6493,1187.1256,-3676.1046,-4343.7429,2401.5001,-6538.5234,3881.6880,-3503.0725,5060.5686,-1908.5775,5031.8310,-718.6286,-271158.2442,-303528.6972,-288857.8465,-284721.7850,-293447.8307,-290060.2773,-289956.0775,-289213.4859,67241390.5169,67248452.7123,67257309.7993,67239020.7963,-288560.0945,67247563.9461,856.1854,-3602.5025,-4118.6072,-6371.9125,4905.8961,-4931.4837,-6331.6957,-1942.3395,4212.2236,6626.9779,-4921.0598,-3208.0540,3399.8736,-2124.4922,-3606.0737,-2196.9807,4219.1512,-4390.6170,-963.5444,6219.9716,-249250.9193,-265668.6939,-249029.3642,-252067.6536,-250138.5236,-250316.2134,-258254.1263,-255167.0319,-56913830.8127,-56899736.5047,-56893489.7674,-56896405.7909,-255124.7287,-56896658.2276,3633.4404,5501.5243,5510.6574,305.9811,-1631.0777,-3745.2269,-2587.7750,-3221.2164,5473.0190,-1586.9548,-3160.2017,4190.7892,-5530.0636,899.5712,4437.1479,5311.1032,-1778.3585,4719.7594,-4507.6657,-2948.2622,-115943.4809,-120313.5040,-120593.9006,-115792.3103,-114165.0321,-123839.0356,-128254.0249,-118187.8578,42228850.7816,42241884.1387,42230773.0487,42223140.2671,-119896.0809,42219665.3768,
4500.000,4923.5900,310.8093,-2750.6563,1472.4319,5291.4104,1232.9391,-1033.3564,-6648.9121,1930.5908,2287.7582,-4168.8579,-4367.1315,4135.1950,-6873.8006,1913.4552,-4790.5808,5520.9481,-3797.4986,4733.9012,559.6928,-265827.9617,-297792.3059,-283244.6523,-279220.3656,-287973.2692,-284614.7543,-284430.7970,-283953.0735,68471917.0562,68478700.7584,68487382.7532,68469213.0817,-283062.9469,68478108.0376,-762.7834,-4712.5081,-3422.7512,-6593.0186,3356.8768,-4768.5208,-6710.4582,-419.5505,4452.4008,5683.0612,-3239.2274,-1218.1397,2153.4004,-655.2822,-4040.4614,-505.9485,2551.1026,-4245.0362,-3022.0757,6778.0069,-254840.3736,-271929.8439,-255042.9532,-258172.2719,-256192.5616,-256364.1828,-264200.2418,-261594.3123,-55428110.5845,-55414154.4615,-55407347.3528,-55411202.0939,-261153.0703,-55410851.2524,4788.5676,5048.6949,5341.7345,-1499.7197,-2974.9459,-4864.5574,-858.0975,-1933.0456,4918.0958,-3214.7124,-4456.2954,5112.8758,-5115.4714,-645.4186,5267.8822,4702.1698,-3097.7324,3575.0394,-3874.9795,-1272.7498,-116066.2477,-120434.1978,-120605.2957,-116092.2419,-114165.2492,-123691.6270,-128467.4217,-118470.3666,42229525.2803,42242911.0579,42232005.2031,42223587.9317,-120003.1907,42220515.9643,
4800.000,3572.1948,-1502.2292,-4550.5043,106.8167,5472.8493,-774.7528,-2212.2682,-6829.6623,3816.0649,3197.5271,-4295.6350,-3997.5287,5486.4493,-6544.3767,-248.1078,-5597.7963,5445.7969,-5260.3754,3992.2248,1768.3546,-260383.8060,-291925.9737,-277505.8946,-273594.7985,-282371.1541,-279040.2380,-278783.1305,-278486.1852,69669625.3174,69676137.0875,69684613.8113,69666646.8722,-277439.9290,69675830.1935,-2349.2318,-5398.2198,-2445.8045,-6165.2528,1470.3068,-4182.3185,-6401.3561,1125.8528,4302.7974,4175.6314,-1223.6593,914.1397,745.0688,883.4633,-4132.6694,1197.7942,607.4604,-3679.1625,-4766.8858,6665.2826,-260316.3448,-278066.3654,-260941.7349,-264162.2797,-262129.6353,-262302.3056,-270026.4286,-267880.1732,-53915785.1926,-53901979.3272,-53894621.8714,-53899404.6626,-267062.9648,-53898437.9700,5427.4150,4052.4044,4598.4358,-3143.9628,-4001.0546,-5462.1974,967.0738,-438.2901,3832.7691,-4496.5000,-5271.3851,5465.3712,-4152.1587,-2121.3585,5530.7428,3545.2320,-4069.9387,2011.7920,-2807.9795,539.8363,-116189.2104,-120554.7937,-120615.4777,-116399.2070,-114168.8188,-123537.4570,-128675.7944,-118863.0706,42230195.8154,42243930.6534,42233224.8006,42224021.5206,-120110.2339,42221366.6620,
5100.000,1903.8297,-3135.5682,-5911.1761,-1302.0455,5160.4243,-2733.5255,-3174.3502,-6349.9205,5307.6481,3841.1211,-4053.6670,-3277.3397,6314.6790,-5586.0346,-2386.6979,-5827.5513,4852.0177,-6144.3786,2871.1364,2807.0724,-254828.1812,-285932.4161,-271644.1308,-267848.0307,-276644.0329,-273338.5921,-273015.7097,-272805.2698,70833940.2435,70840187.1266,70848429.3416,70830746.2225,-271693.5929,70840155.3105,-3750.3202,-5582.0046,-1276.7417,-5139.9620,-574.9565,-3237.9203,-5430.6963,2558.1551,3766.0373,2256.6029,925.4641,2969.1415,-695.0128,2356.6233,-3876.6242,2740.0680,-1418.3957,-2736.6849,-6020.9914,5887.8336,-265676.5506,-284075.5412,-266723.1120,-270035.4551,-267946.9818,-268128.4685,-275730.2591,-273990.8605,-52377579.3869,-52363935.6168,-52356039.2133,-52361733.3606,-272851.7856,-52360143.2889,5481.3120,2619.6991,3360.4762,-4450.2575,-4600.2593,-5474.6183,2684.4710,1103.3379,2333.9006,-5295.1906,-5518.2107,5209.1206,-2742.8180,-3370.5290,5197.4869,1974.8267,-4586.5347,212.9504,-1425.8247,2294.1738,-116312.3686,-120675.2902,-120624.6311,-116713.3895,-114175.7300,-123376.4951,-128879.1869,-119346.1452,42230862.4684,42244943.0611,42234431.6054,42224443.6748,-120217.2104,42222217.4699,
5400.000,85.9053,-4437.0848,-6693.2083,-2627.7358,4390.2943,-4448.5613,-3839.9655,-5252.6503,6261.5374,4164.1926,-3470.1989,-2278.1004,6528.8798,-4095.4911,-4288.1069,-5442.5756,3805.1225,-6361.6961,1470.9326,3591.9646,-249163.5362,-279814.4058,-265661.9714,-261983.1233,-270794.5101,-267511.6690,-267131.2100,-266910.2719,71964302.7778,71970292.2895,71978271.7624,71960950.7990,-265826.5458,71970524.2924,-4826.2958,-5232.8491,-18.1180,-3626.6975,-2583.0460,-2029.4273,-3894.6062,3753.0183,2879.1615,118.2282,2993.6126,4733.2318,-2037.9543,3633.4995,-3293.9475,3968.1932,-3322.5654,-1500.1040,-6658.0708,4519.4063,-270918.7591,-289954.7136,-272384.5373,-275789.6781,-273641.8982,-273840.6578,-281309.3594,-279895.6069,-50814230.3429,-50800760.2551,-50792337.6044,-50798920.7962,-278516.9611,-50796704.5453,4944.4606,904.7877,1760.8687,-5278.9976,-4708.9690,-4900.5019,4102.7265,2526.8518,583.1522,-5525.6835,-5170.4127,4372.5400,-1038.3321,-4259.8041,4303.9099,174.0107,-4590.0136,-1610.8499,116.5642,3800.9752,-116435.7218,-120795.6861,-120632.9419,-117034.9723,-114185.9725,-123208.7359,-129077.6406,-119893.0175,42231525.3226,42245948.4163,42235625.4131,42224856.8103,-120324.1200,42223068.3879,
