sl_100_86400_20250205 Coordinates.csv
2025/02/05 07:47:00.0000 UTC

Generated: Tue Oct  8 16:21:24 2024,
Start: 2025/02/05 07:47:00.00, Stop: 2025/02/06 07:47:00.00,
TIME_UNITS,STARLINK-32038 - X-Coordinate,STARLINK-11184 [DTC] - X-Coordinate,STARLINK-5360 - X-Coordinate,STARLINK-31969 - X-Coordinate,STARLINK-4123 - X-Coordinate,STARLINK-31396 - X-Coordinate,STARLINK-30287 - X-Coordinate,STARLINK-30388 - X-Coordinate,STARLINK-30306 - X-Coordinate,STARLINK-30814 - X-Coordinate,STARLINK-3805 - X-Coordinate,STARLINK-32252 - X-Coordinate,STARLINK-5601 - X-Coordinate,STARLINK-3772 - X-Coordinate,STARLINK-5341 - X-Coordinate,STARLINK-2763 - X-Coordinate,STARLINK-31886 - X-Coordinate,STARLINK-3973 - X-Coordinate,STARLINK-4120 - X-Coordinate,STARLINK-5153 - X-Coordinate,STARLINK-31636 - X-Coordinate,STARLINK-30806 - X-Coordinate,STARLINK-3524 - X-Coordinate,STARLINK-31727 - X-Coordinate,STARLINK-1170 - X-Coordinate,STARLINK-30376 - X-Coordinate,STARLINK-1991 - X-Coordinate,STARLINK-1977 - X-Coordinate,STARLINK-5798 - X-Coordinate,STARLINK-6349 - X-Coordinate,STARLINK-2043 - X-Coordinate,STARLINK-6318 - X-Coordinate,STARLINK-2703 - X-Coordinate,STARLINK-30222 - X-Coordinate,STARLINK-5204 - X-Coordinate,STARLINK-30294 - X-Coordinate,STARLINK-4068 - X-Coordinate,STARLINK-11267 [DTC] - X-Coordinate,STARLINK-31555 - X-Coordinate,STARLINK-2228 - X-Coordinate,STARLINK-31183 - X-Coordinate,STARLINK-31796 - X-Coordinate,STARLINK-6375 - X-Coordinate,STARLINK-31421 - X-Coordinate,STARLINK-1224 - X-Coordinate,STARLINK-4647 - X-Coordinate,STARLINK-3817 - X-Coordinate,STARLINK-1837 - X-Coordinate,STARLINK-5082 - X-Coordinate,STARLINK-31260 - X-Coordinate,STARLINK-3975 - X-Coordinate,STARLINK-31327 - X-Coordinate,STARLINK-4558 - X-Coordinate,STARLINK-32244 - X-Coordinate,STARLINK-3608 - X-Coordinate,STARLINK-2752 - X-Coordinate,STARLINK-2338 - X-Coordinate,STARLINK-2611 - X-Coordinate,STARLINK-30542 - X-Coordinate,STARLINK-3801 - X-Coordinate,STARLINK-30505 - X-Coordinate,STARLINK-1761 - X-Coordinate,STARLINK-4610 - X-Coordinate,STARLINK-30810 - X-Coordinate,STARLINK-2559 - X-Coordinate,STARLINK-5012 - X-Coordinate,STARLINK-4179 - X-Coordinate,STARLINK-30083 - X-Coordinate,STARLINK-5003 - X-Coordinate,STARLINK-2439 - X-Coordinate,STARLINK-2378 - X-Coordinate,STARLINK-6179 - X-Coordinate,STARLINK-1058 - X-Coordinate,STARLINK-11118 [DTC] - X-Coordinate,STARLINK-32289 - X-Coordinate,STARLINK-5467 - X-Coordinate,STARLINK-2666 - X-Coordinate,STARLINK-30243 - X-Coordinate,STARLINK-1399 - X-Coordinate,STARLINK-1115 - X-Coordinate,STARLINK-6112 - X-Coordinate,STARLINK-30874 - X-Coordinate,STARLINK-6264 - X-Coordinate,STARLINK-31144 - X-Coordinate,STARLINK-5753 - X-Coordinate,STARLINK-2586 - X-Coordinate,STARLINK-5860 - X-Coordinate,STARLINK-11271 [DTC] - X-Coordinate,STARLINK-4139 - X-Coordinate,STARLINK-5210 - X-Coordinate,STARLINK-3905 - X-Coordinate,STARLINK-31279 - X-Coordinate,STARLINK-6086 - X-Coordinate,STARLINK-1734 - X-Coordinate,STARLINK-30532 - X-Coordinate,STARLINK-5936 - X-Coordinate,STARLINK-31167 - X-Coordinate,STARLINK-5724 - X-Coordinate,STARLINK-6059 - X-Coordinate,STARLINK-31913 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-32038 - Y-Coordinate,STARLINK-11184 [DTC] - Y-Coordinate,STARLINK-5360 - Y-Coordinate,STARLINK-31969 - Y-Coordinate,STARLINK-4123 - Y-Coordinate,STARLINK-31396 - Y-Coordinate,STARLINK-30287 - Y-Coordinate,STARLINK-30388 - Y-Coordinate,STARLINK-30306 - Y-Coordinate,STARLINK-30814 - Y-Coordinate,STARLINK-3805 - Y-Coordinate,STARLINK-32252 - Y-Coordinate,STARLINK-5601 - Y-Coordinate,STARLINK-3772 - Y-Coordinate,STARLINK-5341 - Y-Coordinate,STARLINK-2763 - Y-Coordinate,STARLINK-31886 - Y-Coordinate,STARLINK-3973 - Y-Coordinate,STARLINK-4120 - Y-Coordinate,STARLINK-5153 - Y-Coordinate,STARLINK-31636 - Y-Coordinate,STARLINK-30806 - Y-Coordinate,STARLINK-3524 - Y-Coordinate,STARLINK-31727 - Y-Coordinate,STARLINK-1170 - Y-Coordinate,STARLINK-30376 - Y-Coordinate,STARLINK-1991 - Y-Coordinate,STARLINK-1977 - Y-Coordinate,STARLINK-5798 - Y-Coordinate,STARLINK-6349 - Y-Coordinate,STARLINK-2043 - Y-Coordinate,STARLINK-6318 - Y-Coordinate,STARLINK-2703 - Y-Coordinate,STARLINK-30222 - Y-Coordinate,STARLINK-5204 - Y-Coordinate,STARLINK-30294 - Y-Coordinate,STARLINK-4068 - Y-Coordinate,STARLINK-11267 [DTC] - Y-Coordinate,STARLINK-31555 - Y-Coordinate,STARLINK-2228 - Y-Coordinate,STARLINK-31183 - Y-Coordinate,STARLINK-31796 - Y-Coordinate,STARLINK-6375 - Y-Coordinate,STARLINK-31421 - Y-Coordinate,STARLINK-1224 - Y-Coordinate,STARLINK-4647 - Y-Coordinate,STARLINK-3817 - Y-Coordinate,STARLINK-1837 - Y-Coordinate,STARLINK-5082 - Y-Coordinate,STARLINK-31260 - Y-Coordinate,STARLINK-3975 - Y-Coordinate,STARLINK-31327 - Y-Coordinate,STARLINK-4558 - Y-Coordinate,STARLINK-32244 - Y-Coordinate,STARLINK-3608 - Y-Coordinate,STARLINK-2752 - Y-Coordinate,STARLINK-2338 - Y-Coordinate,STARLINK-2611 - Y-Coordinate,STARLINK-30542 - Y-Coordinate,STARLINK-3801 - Y-Coordinate,STARLINK-30505 - Y-Coordinate,STARLINK-1761 - Y-Coordinate,STARLINK-4610 - Y-Coordinate,STARLINK-30810 - Y-Coordinate,STARLINK-2559 - Y-Coordinate,STARLINK-5012 - Y-Coordinate,STARLINK-4179 - Y-Coordinate,STARLINK-30083 - Y-Coordinate,STARLINK-5003 - Y-Coordinate,STARLINK-2439 - Y-Coordinate,STARLINK-2378 - Y-Coordinate,STARLINK-6179 - Y-Coordinate,STARLINK-1058 - Y-Coordinate,STARLINK-11118 [DTC] - Y-Coordinate,STARLINK-32289 - Y-Coordinate,STARLINK-5467 - Y-Coordinate,STARLINK-2666 - Y-Coordinate,STARLINK-30243 - Y-Coordinate,STARLINK-1399 - Y-Coordinate,STARLINK-1115 - Y-Coordinate,STARLINK-6112 - Y-Coordinate,STARLINK-30874 - Y-Coordinate,STARLINK-6264 - Y-Coordinate,STARLINK-31144 - Y-Coordinate,STARLINK-5753 - Y-Coordinate,STARLINK-2586 - Y-Coordinate,STARLINK-5860 - Y-Coordinate,STARLINK-11271 [DTC] - Y-Coordinate,STARLINK-4139 - Y-Coordinate,STARLINK-5210 - Y-Coordinate,STARLINK-3905 - Y-Coordinate,STARLINK-31279 - Y-Coordinate,STARLINK-6086 - Y-Coordinate,STARLINK-1734 - Y-Coordinate,STARLINK-30532 - Y-Coordinate,STARLINK-5936 - Y-Coordinate,STARLINK-31167 - Y-Coordinate,STARLINK-5724 - Y-Coordinate,STARLINK-6059 - Y-Coordinate,STARLINK-31913 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-32038 - Z-Coordinate,STARLINK-11184 [DTC] - Z-Coordinate,STARLINK-5360 - Z-Coordinate,STARLINK-31969 - Z-Coordinate,STARLINK-4123 - Z-Coordinate,STARLINK-31396 - Z-Coordinate,STARLINK-30287 - Z-Coordinate,STARLINK-30388 - Z-Coordinate,STARLINK-30306 - Z-Coordinate,STARLINK-30814 - Z-Coordinate,STARLINK-3805 - Z-Coordinate,STARLINK-32252 - Z-Coordinate,STARLINK-5601 - Z-Coordinate,STARLINK-3772 - Z-Coordinate,STARLINK-5341 - Z-Coordinate,STARLINK-2763 - Z-Coordinate,STARLINK-31886 - Z-Coordinate,STARLINK-3973 - Z-Coordinate,STARLINK-4120 - Z-Coordinate,STARLINK-5153 - Z-Coordinate,STARLINK-31636 - Z-Coordinate,STARLINK-30806 - Z-Coordinate,STARLINK-3524 - Z-Coordinate,STARLINK-31727 - Z-Coordinate,STARLINK-1170 - Z-Coordinate,STARLINK-30376 - Z-Coordinate,STARLINK-1991 - Z-Coordinate,STARLINK-1977 - Z-Coordinate,STARLINK-5798 - Z-Coordinate,STARLINK-6349 - Z-Coordinate,STARLINK-2043 - Z-Coordinate,STARLINK-6318 - Z-Coordinate,STARLINK-2703 - Z-Coordinate,STARLINK-30222 - Z-Coordinate,STARLINK-5204 - Z-Coordinate,STARLINK-30294 - Z-Coordinate,STARLINK-4068 - Z-Coordinate,STARLINK-11267 [DTC] - Z-Coordinate,STARLINK-31555 - Z-Coordinate,STARLINK-2228 - Z-Coordinate,STARLINK-31183 - Z-Coordinate,STARLINK-31796 - Z-Coordinate,STARLINK-6375 - Z-Coordinate,STARLINK-31421 - Z-Coordinate,STARLINK-1224 - Z-Coordinate,STARLINK-4647 - Z-Coordinate,STARLINK-3817 - Z-Coordinate,STARLINK-1837 - Z-Coordinate,STARLINK-5082 - Z-Coordinate,STARLINK-31260 - Z-Coordinate,STARLINK-3975 - Z-Coordinate,STARLINK-31327 - Z-Coordinate,STARLINK-4558 - Z-Coordinate,STARLINK-32244 - Z-Coordinate,STARLINK-3608 - Z-Coordinate,STARLINK-2752 - Z-Coordinate,STARLINK-2338 - Z-Coordinate,STARLINK-2611 - Z-Coordinate,STARLINK-30542 - Z-Coordinate,STARLINK-3801 - Z-Coordinate,STARLINK-30505 - Z-Coordinate,STARLINK-1761 - Z-Coordinate,STARLINK-4610 - Z-Coordinate,STARLINK-30810 - Z-Coordinate,STARLINK-2559 - Z-Coordinate,STARLINK-5012 - Z-Coordinate,STARLINK-4179 - Z-Coordinate,STARLINK-30083 - Z-Coordinate,STARLINK-5003 - Z-Coordinate,STARLINK-2439 - Z-Coordinate,STARLINK-2378 - Z-Coordinate,STARLINK-6179 - Z-Coordinate,STARLINK-1058 - Z-Coordinate,STARLINK-11118 [DTC] - Z-Coordinate,STARLINK-32289 - Z-Coordinate,STARLINK-5467 - Z-Coordinate,STARLINK-2666 - Z-Coordinate,STARLINK-30243 - Z-Coordinate,STARLINK-1399 - Z-Coordinate,STARLINK-1115 - Z-Coordinate,STARLINK-6112 - Z-Coordinate,STARLINK-30874 - Z-Coordinate,STARLINK-6264 - Z-Coordinate,STARLINK-31144 - Z-Coordinate,STARLINK-5753 - Z-Coordinate,STARLINK-2586 - Z-Coordinate,STARLINK-5860 - Z-Coordinate,STARLINK-11271 [DTC] - Z-Coordinate,STARLINK-4139 - Z-Coordinate,STARLINK-5210 - Z-Coordinate,STARLINK-3905 - Z-Coordinate,STARLINK-31279 - Z-Coordinate,STARLINK-6086 - Z-Coordinate,STARLINK-1734 - Z-Coordinate,STARLINK-30532 - Z-Coordinate,STARLINK-5936 - Z-Coordinate,STARLINK-31167 - Z-Coordinate,STARLINK-5724 - Z-Coordinate,STARLINK-6059 - Z-Coordinate,STARLINK-31913 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3041.2692,1195.0811,-2493.6724,-3615.1401,5138.3339,4248.8300,1863.6316,5704.0441,696.8243,-1509.7608,-3816.3387,-634.0606,-2121.5592,-5667.4286,-3676.6750,-3398.7222,901.6588,-6802.7470,1963.1617,-4620.5338,-2793.2336,2624.2046,-1151.2511,2707.6439,-4478.0583,3307.5781,1761.3144,4936.7058,-5081.4879,-5364.4822,5203.0614,5340.1570,-2872.9648,-6218.6243,4109.9895,6844.4337,-4418.3734,-4632.9451,-4325.4729,4837.0815,-4720.0425,-1274.3812,823.2806,-2760.8925,3034.8825,-5712.3777,-2077.4219,6277.5725,2135.9513,4386.6232,6614.5935,-5269.3452,6128.0374,-5684.4929,-3634.8485,6543.2803,-3310.4655,2303.9832,4019.4323,-4453.5361,3861.4506,6707.7452,1690.2160,-4973.0456,1914.8139,2002.6507,-756.3227,5292.2943,504.0174,1250.8070,-6846.2145,3425.0548,-5809.6159,-4507.5760,3729.0553,-6074.0744,-2701.6701,-1048.9748,4010.2546,5569.0044,6090.4655,26.8864,-4667.5276,-2825.3143,5225.8627,-4196.7628,1300.2258,-2547.0062,-1884.3205,-4754.8317,4490.8160,3889.7348,-2345.9589,2468.3308,964.4340,6500.6811,-3091.9885,86.9507,-3834.0243,4747.7086,303843.4034,302618.3451,299599.7462,305444.5275,297235.2700,300960.7488,301669.1027,303907.7927,73345428.8512,73327402.6160,73313067.6155,73321080.1703,302725.5622,73328835.1997,-3109.4341,-6321.2578,6386.8828,3467.8397,3612.0555,-4996.2592,4986.9674,1423.2517,-5319.5426,4270.7388,-4134.2025,3976.4339,-4417.9939,2990.0181,4280.0732,4511.5769,-6181.1958,-1251.9763,4380.9313,920.6126,4996.0606,5187.7265,-4996.6992,5353.0749,2977.6323,-3982.4751,-5459.9383,10.9509,-4721.6657,-3873.7912,26.4966,1711.9123,4862.7782,1984.1801,-5540.8301,244.0821,-556.9633,2698.4814,3126.8726,2106.5839,-4864.9345,4879.7357,5075.0797,3563.4147,-2851.5513,-3905.0525,-6485.1244,958.1023,5121.1346,356.2287,-258.5096,64.8517,-2844.5239,583.5927,5515.6731,-184.8988,2638.7183,5598.5111,-5187.8729,-3355.8459,-4765.8762,1047.1040,5115.4843,3319.4268,-3859.8031,3747.6766,6633.6364,493.4939,4779.5122,5345.9567,-916.6115,-4281.2758,-3059.5885,-3027.2728,-5408.9917,234.9681,4650.0690,-4984.9346,4958.0887,1213.7076,1991.7774,6240.6178,-3306.7720,-5826.4711,-14.6257,-472.7886,-5696.3150,4905.8810,-6651.1500,2911.3538,-1235.2835,5442.5004,4496.7842,3807.7745,5969.5637,1792.5820,5732.1017,6885.8955,2832.8633,1795.5012,167300.7315,162374.8238,176186.1669,175867.6547,175130.9001,175325.6503,166830.7430,172131.2866,-59531193.0555,-59539331.4817,-59547165.5925,-59550259.7223,171215.2894,-59542791.4611,5273.5583,1830.6802,-1062.6102,4612.6089,-2907.1057,-1885.7060,-4452.1040,-3687.8095,4385.8501,5133.3323,4015.9215,5343.9465,4919.1385,-2609.7408,4048.6778,-3990.7442,2732.7588,-96.5011,-4987.1760,-5068.4679,3703.6879,-3788.6116,-4650.6133,3236.5705,4339.4350,-4621.9737,3867.2246,4843.0830,-93.8773,-2093.2150,4540.5551,-4088.9456,3983.7299,2336.4458,-528.3305,-1099.8508,5284.2991,-3986.7741,-4252.0886,-4476.3692,-1471.8175,4578.9158,4646.6978,5020.4452,5519.0944,18.1861,1210.5928,2704.9855,-4167.2228,5226.1509,2000.4168,4391.5679,1484.1209,-3789.6271,-2062.6132,2231.6529,5466.4187,3352.8193,1537.3397,4079.6092,3228.4967,1354.7163,4328.2677,3506.8972,5411.1009,5444.7343,1796.7553,-4460.5848,4965.5388,-4228.0013,262.0561,4238.4431,2186.9321,-3994.8357,-1749.9063,3364.8946,-4358.8187,4695.7042,-2708.4541,3831.0825,2645.4294,3002.8288,3911.2520,2262.2529,4550.3450,-5482.0719,3726.5940,3807.4086,-165.4841,-4096.7597,5105.3992,-1551.8312,4720.1136,5223.0029,-3403.0521,1611.1294,2165.2061,819.4667,5046.3788,-4563.2898,130929.1240,131601.1596,128322.7564,136244.0290,134019.1328,123308.4382,123777.1219,129165.7120,46452390.1988,46428482.3998,46436469.8536,46447388.3587,130125.1795,46455130.3245,
3600.000,6342.3163,1151.7704,-385.4446,-132.4291,-6321.0490,-1863.8700,-4962.6954,-4512.8210,3270.3646,-3166.9654,4157.4920,-4392.5106,2417.3866,2197.2802,11.3131,-754.6826,2865.2153,5633.2329,-5083.4940,5269.9945,-1796.6791,-4789.2912,3983.8031,-5365.4069,375.1210,-686.3775,-201.6248,-2589.9801,5611.0920,5259.3925,-6438.2609,-4687.7401,1632.1002,3338.2553,-1650.7257,-6160.7609,5927.2165,-601.5021,2440.9062,-6865.3924,5882.2667,-2720.5368,-4417.0206,551.1209,-8.2713,5369.3888,3237.3140,-6671.8657,-4843.5164,-2934.0224,-6261.7701,3602.1233,-3215.4930,6227.8895,2183.0037,-3906.4890,63.9751,-3717.5992,-127.0441,4079.7393,-2152.9658,-4827.2344,-4146.5428,3906.7185,2293.6936,-5223.6941,-797.3216,-4248.2163,-4034.8596,-3708.3758,5385.5838,533.4863,4587.3176,3695.9471,-77.9132,6770.5971,-1499.4127,4737.0161,-5365.7234,-6832.4706,-6866.9984,-2445.9489,5115.6494,4547.4906,-4023.1155,5148.2010,2501.5600,-2438.5476,3047.9524,4526.9105,-1501.9593,-5451.0483,-1134.8578,-4862.2222,-3566.9004,-5301.1321,777.6493,-2219.7365,-607.9785,-6157.7412,256133.2166,251117.5903,248265.9080,253095.3857,244238.5149,247621.7528,249499.3928,249207.5488,86317232.2095,86302394.0290,86291103.9519,86300347.9971,250131.7546,86301192.7276,1215.1106,5708.6872,-5624.3717,-5974.4524,-2414.5201,6200.3665,-2311.4385,2376.0399,4327.8809,-3753.0626,-25.0674,-3965.8740,14.0996,-3806.0815,-2505.4477,-4091.7863,4094.4832,-643.3765,-4382.4201,-4076.7248,-4797.9387,-1812.3764,1709.3048,-4170.6617,-4224.0953,6433.1974,6920.7254,3663.5655,2176.8509,475.0794,2374.0880,2303.7383,-6722.6797,-4007.8764,5117.1771,1943.4977,-2589.1626,-4252.0460,-6259.7222,-414.7928,2946.9393,-5836.0720,-4651.0921,-6608.1983,5657.8545,1654.7769,3834.9661,644.7499,-2060.3278,4158.2668,1764.2875,-4176.8391,3679.8113,-2796.9496,-6138.2660,2343.5877,-5377.9198,-1980.5555,4378.8580,-837.5620,6589.3803,1209.1137,-5516.5309,-5727.8542,4677.1968,-880.8190,-6378.3943,3468.1111,-2152.2403,-1965.5158,-1031.6471,5288.3098,-67.6701,-2046.1552,4435.1915,-398.0973,-3957.5897,3514.1308,-4067.0095,649.6478,167.6073,-6460.1200,-709.2392,2335.6081,3898.5129,-3286.8294,4463.7152,-3398.9598,4634.2886,-5225.0668,4466.6609,-3462.0390,-6066.0621,-178.9052,-5949.5044,1206.0467,-6601.4961,-5962.8459,-2385.2915,2016.9859,237781.1134,230183.6551,246884.4416,245112.1239,244841.3456,245444.8406,237565.2956,239776.2405,-38454676.3720,-38461850.9473,-38475432.5402,-38476185.9462,241094.7097,-38467324.4673,-2279.0733,3287.1930,4030.3415,-3289.1630,-1441.0289,-2158.6612,4249.1690,4690.5415,-4327.8952,-4787.8763,-5535.1853,-3146.9291,-6525.1621,5330.8018,-6491.8530,5509.5434,-4649.1905,-3968.1079,1662.4926,1839.6125,-4514.4879,4667.5752,5380.3881,575.8351,-5468.6333,2492.4855,152.5975,-5278.1863,3437.2818,4488.3010,-841.5885,4554.2263,15.7922,-4578.6892,4345.0312,-2534.6070,-2465.3237,5104.1187,1154.5721,697.4358,-2202.9591,-2251.4684,-2647.0254,-1288.0163,-3996.0071,-4043.0451,-4766.6058,1658.1180,4505.9527,-4577.1454,2346.9501,-4094.3267,-4902.8289,-594.7919,-2330.7028,-5212.0630,-4364.9354,-5501.8558,-5134.2757,-5525.9923,202.8828,-4820.0234,-494.5343,-196.8627,-4569.9034,-4451.4483,2547.3271,4235.5881,-5196.9175,5498.7788,-4213.9644,-4462.4459,-5190.4922,5238.5701,5141.1313,1513.8589,5463.1261,-3653.7644,-1623.7243,409.4243,944.1247,524.9140,-4634.9453,-4585.1317,-4095.6926,3232.8589,-4687.9796,-5261.1054,4120.4224,82.3564,-5071.8447,-2339.9724,-3170.0310,-4937.5808,12.8381,-4313.4293,1708.2776,2749.9283,-6507.1266,2122.0901,133288.6880,132962.7211,130534.8901,135815.3474,136909.9969,126993.4876,123238.0947,132210.7729,46470347.1570,46446081.4984,46449830.7983,46459764.9899,131387.3564,46469971.2854,
7200.000,-6389.4470,-3840.1346,3849.0571,3101.6430,4909.1965,-1898.2062,6766.3077,2785.9975,-6130.8619,6152.4940,-4322.7114,6000.3294,-3701.6655,2107.3209,4389.3947,4741.9770,-6013.5659,-2474.0604,5679.8673,-4017.2664,5540.7986,6170.9624,-6228.5547,5492.4117,3353.1022,-1558.5670,-1521.2040,519.6868,-4804.7323,-4288.4887,4886.9913,3456.4436,364.2716,397.3971,-2315.7338,3239.9073,-5283.3012,4796.8728,310.0871,5837.6759,-5226.3985,4950.9965,6134.0460,1587.1462,-2016.2932,-3580.4776,-4387.3919,4079.0391,6533.2145,1387.8743,3129.0402,-1395.2954,-1114.5378,-3526.1196,791.8826,298.9854,2172.2224,5082.6491,-4649.0201,-3554.2516,-440.9799,1628.4345,4667.8288,-1389.6616,-4985.5098,6775.8903,2789.2482,2705.8731,6565.7848,5894.0389,-2044.7483,-3915.2939,-2676.4343,-2303.7311,-4454.8699,-4079.4813,5249.1399,-6730.4289,4730.3431,4738.4471,5086.9106,4083.9609,-4799.5288,-5430.4354,2331.4160,-4646.4509,-5748.3488,6283.1060,-4135.2257,-2317.9760,-902.1632,5079.4325,3626.7480,6238.8588,4797.7873,2883.5579,2338.0369,4239.2736,4699.0579,4902.6192,190972.6489,184884.1017,181315.0126,184984.6393,175839.0289,179132.5923,181136.1077,182307.6569,93372272.5554,93359650.9761,93353671.9621,93362790.6406,181841.8826,93357192.8756,606.2284,-1308.2479,3508.0569,6046.5108,-207.1982,-4695.8546,-281.1783,-5662.5202,-2793.0497,2831.3767,4030.6388,2217.9842,3979.0630,4573.0344,1579.1606,3535.6690,-993.0426,3324.1122,2901.5569,5032.4409,3481.9730,-1582.2901,1161.7238,781.5296,5153.7437,-6663.0235,-5366.7135,-6455.9820,1652.7792,3481.8657,-3502.3220,-5561.5361,5611.1991,5612.2445,-3531.4343,-4020.4745,4037.7838,4456.3175,6208.5844,-1221.6097,445.3729,4333.7994,3095.4543,5520.6586,-6621.6761,2099.5993,377.8921,-2489.2258,-920.8780,-6670.5853,-3231.6988,6654.0855,-4360.1545,3731.1005,4435.0925,-4840.0047,6548.9760,-1997.7792,-2325.2380,4790.3154,-5956.2911,-4142.6337,3546.5333,5970.0832,-4719.5382,-1214.1008,3424.2509,-6215.0410,-74.5064,-1247.8792,3664.5057,-5369.5066,3994.0677,6029.3087,-2429.0935,908.7698,3186.8392,-1629.2005,1097.5111,-2346.3109,-2530.6030,4159.9252,4306.6299,1962.7863,-6428.8735,5019.8183,-2672.5908,1350.6928,-553.7771,5170.2506,-6599.8037,-409.6193,5904.4893,-2537.1927,3702.0942,-4513.0032,4711.1966,2881.4029,2973.6490,-4342.4672,295517.4477,283200.3059,301681.8435,298444.5594,298927.8545,299158.9632,293080.0773,297245.5284,-14725870.9107,-14730509.0504,-14747998.0373,-14744463.8477,295570.7681,-14739211.0788,-2382.4036,-5326.5686,-4587.1471,-549.3125,4859.0641,4559.5758,-1502.1124,-2883.2128,1644.6065,1038.8171,3584.5880,-1997.3984,4326.3433,-4749.1121,5143.4751,-3585.1543,3053.8014,5527.6091,2670.1824,2513.3986,1925.0353,-2747.1199,-2786.8753,-3975.5425,3154.7275,1119.6660,-4109.1545,2432.9822,-4727.6583,-4202.2710,-3416.1262,-2293.7216,-4035.2630,4047.7192,-5486.9287,4621.0294,-1917.0696,-1323.6874,2792.5796,3490.1693,4526.8407,-1798.6911,-967.3491,-3558.5946,-21.6848,5524.4784,5323.5030,-4992.0354,-2141.9474,589.0087,-5262.5219,946.5117,5243.2722,4529.6538,5238.4651,4923.2691,541.7433,4246.3819,4289.2610,3487.8662,-3532.4091,5292.5771,-3678.1210,-3253.7949,897.0453,642.1379,-5329.3197,-1469.5006,2165.7383,-3425.0948,5481.3743,1981.8562,4970.8362,-1943.3982,-4530.1999,-5563.4243,-3196.5357,386.0221,4926.8272,-4394.7432,-3984.0241,-3752.2776,2545.6350,3699.2927,1154.6313,1014.3387,2806.3596,1943.0042,-5520.8933,3953.6483,1857.0404,4590.5053,-313.9352,1605.3279,3363.6638,4397.5770,-4420.7998,-4677.7051,4160.6701,1896.9491,135278.8031,134234.5957,132962.0045,134420.2185,139288.9665,131585.6096,123423.8975,132216.5315,46488291.0729,46464589.2360,46464018.8604,46474429.1334,132636.0553,46484823.5463,
