sl_20_5400_20251117 Coordinates.csv
2025/11/17 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:58 2024,
Start: 2025/11/17 07:47:00.00, Stop: 2025/11/17 09:17:00.00,
TIME_UNITS,STARLINK-31162 - X-Coordinate,STARLINK-2482 - X-Coordinate,STARLINK-30768 - X-Coordinate,STARLINK-5145 - X-Coordinate,STARLINK-30343 - X-Coordinate,STARLINK-3117 - X-Coordinate,STARLINK-31405 - X-Coordinate,STARLINK-6181 - X-Coordinate,STARLINK-3322 - X-Coordinate,STARLINK-1626 - X-Coordinate,STARLINK-2355 - X-Coordinate,STARLINK-2397 - X-Coordinate,STARLINK-30702 - X-Coordinate,STARLINK-4625 - X-Coordinate,STARLINK-1920 - X-Coordinate,STARLINK-11237 [DTC] - X-Coordinate,STARLINK-4770 - X-Coordinate,STARLINK-5545 - X-Coordinate,STARLINK-31085 - X-Coordinate,STARLINK-11253 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31162 - Y-Coordinate,STARLINK-2482 - Y-Coordinate,STARLINK-30768 - Y-Coordinate,STARLINK-5145 - Y-Coordinate,STARLINK-30343 - Y-Coordinate,STARLINK-3117 - Y-Coordinate,STARLINK-31405 - Y-Coordinate,STARLINK-6181 - Y-Coordinate,STARLINK-3322 - Y-Coordinate,STARLINK-1626 - Y-Coordinate,STARLINK-2355 - Y-Coordinate,STARLINK-2397 - Y-Coordinate,STARLINK-30702 - Y-Coordinate,STARLINK-4625 - Y-Coordinate,STARLINK-1920 - Y-Coordinate,STARLINK-11237 [DTC] - Y-Coordinate,STARLINK-4770 - Y-Coordinate,STARLINK-5545 - Y-Coordinate,STARLINK-31085 - Y-Coordinate,STARLINK-11253 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31162 - Z-Coordinate,STARLINK-2482 - Z-Coordinate,STARLINK-30768 - Z-Coordinate,STARLINK-5145 - Z-Coordinate,STARLINK-30343 - Z-Coordinate,STARLINK-3117 - Z-Coordinate,STARLINK-31405 - Z-Coordinate,STARLINK-6181 - Z-Coordinate,STARLINK-3322 - Z-Coordinate,STARLINK-1626 - Z-Coordinate,STARLINK-2355 - Z-Coordinate,STARLINK-2397 - Z-Coordinate,STARLINK-30702 - Z-Coordinate,STARLINK-4625 - Z-Coordinate,STARLINK-1920 - Z-Coordinate,STARLINK-11237 [DTC] - Z-Coordinate,STARLINK-4770 - Z-Coordinate,STARLINK-5545 - Z-Coordinate,STARLINK-31085 - Z-Coordinate,STARLINK-11253 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1182.8847,-3466.4224,5440.2761,-3826.7214,2762.1081,2613.6167,-6240.3445,-4236.7218,4423.1221,1375.0088,-4316.4929,-5475.3224,525.7947,5923.2763,-1712.3328,-3978.9189,-2253.5191,2371.2310,4866.1984,-5478.7588,-355821.4411,-365881.4528,-347449.9310,-347804.3283,-349901.5782,-349192.7999,-357269.2585,-353683.5313,-91782254.9867,-91806529.5891,-91797783.0587,-91803979.4555,-352980.1937,-91795807.0101,-6750.8953,2314.5322,-3778.0287,-3741.2942,4822.4245,-3768.9942,396.4292,3335.7065,-2649.9741,5236.9609,5337.3385,3471.0688,-4135.0225,-2792.3699,-5574.1794,2429.3514,-5009.9693,742.9094,-4669.3119,758.5687,170995.1595,181367.6204,180838.9358,176308.2884,184529.5509,181339.0039,178674.4262,178001.0669,322102512.2814,322114162.8049,322118032.9143,322097399.2597,178474.0562,322093430.3508,-28.2317,-5532.5376,1966.2856,4373.6460,-4154.1356,5166.2348,2706.9981,-4369.9978,4186.2394,-4121.0202,-604.2573,2334.5604,-5450.0469,-2299.1443,3542.3291,4828.9289,4179.6912,-6496.2459,-1566.1548,3794.3169,-80317.3829,-80958.8001,-83827.2196,-77161.4090,-78094.7436,-88770.0207,-89497.7362,-84202.6833,-137869375.7580,-137888208.2113,-137852766.7667,-137865214.9046,-82581.1789,-137857077.7187,
300.000,-353.6677,-2185.4504,3935.7631,-5408.1925,4045.6880,492.2308,-6363.7438,-2437.9911,4134.7703,2635.8186,-3058.8058,-5010.1464,-1649.7442,5125.6385,-2797.0393,-2099.5175,-3230.0376,3479.1195,3810.6157,-4103.8011,-359261.8325,-369737.5063,-351075.8661,-351538.8893,-353595.3899,-352863.9880,-360887.3224,-356892.8750,-98790592.7643,-98815185.0667,-98806824.9447,-98812337.0700,-356668.6019,-98804193.2946,-6674.9528,4036.9391,-4655.8353,-3049.7636,3169.4722,-4113.5644,2061.2318,4465.0927,-4376.2515,3704.7434,5710.9185,4696.7012,-3944.1668,-1935.6602,-4064.2872,3483.6302,-3304.2112,-1078.8186,-5778.5472,2137.1313,163170.1490,173670.9817,173197.6068,168755.9415,177029.6540,173869.3450,171113.0155,170394.9365,320021286.2159,320032545.5248,320036916.8076,320015568.1890,170938.6360,320012264.8930,1505.9564,-5187.2745,3247.2426,3040.6304,-4661.4714,5527.4763,1306.0755,-4721.4902,2809.5333,-5062.7695,-2351.8179,585.6355,-5366.2840,-4262.9189,4710.2744,5338.2744,5126.0612,-5924.3080,-42.5521,4853.1789,-80386.4565,-81088.8367,-83868.6194,-77416.6368,-78084.8570,-88708.7183,-89785.1861,-84440.1132,-137871889.2745,-137890769.4571,-137855597.5014,-137867866.3915,-82707.8287,-137859600.1786,
600.000,-1869.2073,-739.5669,2037.6567,-6446.3845,4979.8146,-1674.3693,-5842.9233,-422.4843,3412.8772,3676.3849,-1474.3576,-4045.7804,-3660.7395,3745.2588,-3645.5096,-14.2427,-3941.1269,4298.3813,2383.9902,-2304.6848,-362528.3358,-373429.3650,-354544.2449,-355114.3365,-357130.7773,-356379.0320,-364342.1253,-359923.6099,-105751814.6498,-105776712.3058,-105768756.1738,-105773538.5816,-360196.1272,-105765466.6451,-5930.5742,5390.0117,-5108.0774,-2088.8128,1229.6758,-4111.4786,3504.0491,5205.9754,-5597.5414,1807.8057,5528.8662,5445.1754,-3413.8762,-921.9726,-2144.3559,4218.1379,-1280.3509,-2745.1683,-6324.4756,3334.9188,155281.9660,165891.7397,165479.5662,161126.4627,169451.4266,166322.7376,163478.5296,162772.7025,317787588.3057,317798450.8963,317803303.4919,317781259.3849,163327.0638,317778625.1649,2873.1186,-4286.9505,4177.0350,1379.5867,-4672.1196,5292.7071,-242.0293,-4570.4140,1092.2046,-5433.4801,-3843.2305,-1227.1425,-4691.9968,-5773.0344,5350.4261,5220.4515,5517.8436,-4726.6327,1485.6096,5339.9455,-80457.1467,-81219.1224,-83907.7645,-77676.9625,-78078.5705,-88641.5394,-90067.0117,-84553.4274,-137874396.9571,-137893328.3651,-137858428.9329,-137870499.4713,-82834.4338,-137862122.3614,
900.000,-3224.3595,736.9015,-69.5103,-6840.0620,5474.0329,-3669.3536,-4723.8717,1615.3494,2319.4545,4391.9497,288.8128,-2664.7514,-5300.7949,1924.9852,-4177.0489,2049.3261,-4319.9556,4731.8191,713.0301,-281.5032,-365620.1253,-376955.2938,-357853.5569,-358529.2694,-360505.9900,-359736.5014,-367632.3689,-362812.2763,-112662603.9676,-112687794.4959,-112680259.1184,-112684266.6234,-363561.1989,-112676310.2786,-4595.7741,6233.4996,-5099.5690,-935.3567,-808.9722,-3760.0915,4590.8209,5485.0941,-6184.3531,-253.1113,4822.8971,5655.9818,-2589.9830,118.9301,-16.0839,4551.1717,857.1859,-4095.4966,-6261.9138,4225.9857,147334.2867,158033.4414,157688.2543,153423.3172,161798.3564,158702.2353,155774.5132,155138.6786,315402483.7239,315412944.4362,315418257.9800,315395540.7434,155642.7750,315393576.2143,3921.6379,-2927.3335,4655.2723,-430.3255,-4184.9057,4487.1107,-1762.9014,-3932.7025,-757.5621,-5191.7230,-4916.7022,-2906.2971,-3500.8294,-6670.2468,5391.3539,4489.2881,5312.8266,-3028.7032,2853.8044,5197.4385,-80529.3821,-81349.6485,-83944.8215,-77942.4953,-78075.8597,-88568.4030,-90343.2869,-84543.0264,-137876898.8123,-137895884.9112,-137861260.9799,-137873113.2591,-82960.9944,-137864644.2669,
1200.000,-4292.7956,2111.0520,-2179.5518,-6553.7665,5475.6376,-5293.5330,-3114.6339,3480.7926,957.4270,4704.6892,2061.4588,-993.1552,-6400.8362,-141.3464,-4336.8186,3868.8106,-4326.0403,4716.1838,-1049.9212,1744.5117,-368536.4261,-380313.6334,-361002.3601,-361782.3798,-363719.3595,-362935.0381,-370756.8206,-365594.4584,-119519668.0933,-119545138.8859,-119538040.1980,-119541228.0387,-366762.3198,-119533431.4575,-2807.9331,6475.0282,-4636.0107,315.9501,-2751.0591,-3084.9316,5224.3880,5269.0903,-6080.5978,-2263.1554,3674.1457,5322.6346,-1542.2385,1062.2973,2098.8461,4437.8212,2894.2008,-5005.1590,-5604.9396,4710.9260,139330.7987,150099.6690,149827.1419,145650.0073,154073.9605,151010.8987,148004.5292,147491.3327,312867109.7798,312877163.8019,312882917.4554,312859552.4126,147889.2372,312858255.2294,4535.3518,-1253.6075,4630.3904,-2193.8560,-3251.4076,3197.2897,-3085.4922,-2875.8621,-2515.5961,-4364.5465,-5456.2565,-4269.3819,-1923.3921,-6860.4888,4828.5051,3230.4659,4533.0894,-1009.5190,3914.7359,4442.3757,-80603.0960,-81480.4064,-83979.9606,-78213.3494,-78076.7006,-88489.2266,-90614.0826,-84417.8287,-137879394.8491,-137898439.0714,-137864093.5622,-137875706.8394,-83087.5101,-137867165.8952,
1500.000,-4972.8339,3263.2147,-4084.9173,-5620.9758,4975.4727,-6385.5177,-1174.5375,4997.3431,-538.8386,4572.1807,3669.3029,811.0816,-6847.0293,-2229.6441,-4101.4749,5251.1477,-3949.6454,4231.2689,-2740.8663,3555.1919,-371276.5176,-383502.8005,-363989.2818,-364872.4544,-366769.2992,-365973.3566,-373714.3148,-368302.1435,-126319740.0215,-126345478.3527,-126338831.4487,-126341155.4643,-369798.0667,-126333563.0587,-749.2368,6080.7943,-3762.7496,1560.1687,-4412.2934,-2138.3898,5352.7825,4568.6743,-5308.6813,-4015.4296,2203.4491,4491.3014,-359.0633,1803.0014,3981.8616,3876.1611,4628.2075,-5397.4795,-4424.4357,4728.0403,131275.2006,142094.0383,141899.7290,137810.0713,146281.7844,143251.7914,140172.1577,139823.5893,310182675.3755,310192318.2490,310198490.7297,310174506.2512,140069.9489,310173870.9968,4646.3535,554.8056,4105.0865,-3721.1076,-1970.7522,1562.2217,-4061.5238,-1512.1293,-3969.3982,-3044.6398,-5403.7862,-5168.8580,-133.4055,-6323.9054,3724.6860,1591.7590,3262.7201,1116.9114,4554.3171,3163.4889,-80678.2269,-81611.3880,-84013.3558,-78489.6442,-78081.0699,-88403.9265,-90879.4665,-84194.9944,-137881885.0792,-137900990.8211,-137866926.6003,-137878279.2653,-83213.9811,-137869687.2463,
1800.000,-5196.9376,4097.3232,-5597.1686,-4139.7777,4010.1582,-6838.2675,901.9628,6023.5664,-2016.7803,3993.2748,4949.8940,2573.2463,-6593.2744,-4109.4445,-3482.5458,6053.5053,-3213.9867,3304.7456,-4199.4545,4959.0719,-373839.7356,-386521.2893,-366813.0191,-367798.3782,-369654.3047,-368850.2459,-376503.7539,-370961.1070,-133059579.9230,-133085572.9580,-133079392.0813,-133080808.9029,-372667.0912,-133073465.1302,1372.1471,5080.5123,-2560.3366,2690.6164,-5637.0429,-996.2741,4972.7370,3439.0694,-3965.0530,-5332.2042,558.5216,3254.2322,859.3434,2266.9956,5440.1786,2909.4959,5888.7609,-5250.5047,-2840.0893,4261.4257,123171.2015,134020.1974,133909.5437,129907.0834,138425.4004,135427.9758,132280.9955,132123.5993,307350460.4302,307359688.0543,307366257.6661,307341685.2511,132188.4376,307341703.3249,4242.3662,2303.5284,3136.0290,-4848.2016,-479.4032,-241.5861,-4581.9865,13.1683,-4943.9876,-1380.4668,-4764.9425,-5507.7340,1671.3167,-5116.7029,2203.2998,-234.1593,1639.0083,3124.5147,4703.8754,1511.3863,-80754.7173,-81742.5856,-84045.1842,-78771.5043,-78088.9448,-88312.4192,-91139.5033,-83899.1643,-137884369.5166,-137903540.1353,-137869760.0160,-137880829.5591,-83340.4073,-137872208.3202,
2100.000,-4938.3964,4548.7603,-6565.8109,-2261.8819,2660.1640,-6610.0476,2904.8859,6466.6198,-3321.0361,3010.4097,5768.8276,4118.6097,-5666.4379,-5568.9799,-2526.9767,6198.4687,-2174.7254,2011.6637,-5284.1478,5812.0492,-376225.4753,-389367.6716,-369472.3391,-370559.1375,-372372.9537,-371564.5702,-379124.1090,-373588.4841,-139735976.6879,-139762211.4917,-139756510.0254,-139756977.2844,-375368.1199,-139749926.4345,3343.1979,3565.6146,-1137.2716,3607.6671,-6313.2013,247.7656,4128.4761,1976.2995,-2207.3898,-6083.2822,-1100.6721,1739.2017,2009.1014,2418.6753,6326.9176,1623.8783,6554.6523,-4597.5398,-1007.9700,3344.7718,115022.5199,125881.8248,125860.1405,121944.6532,130508.4071,127542.5085,124334.6547,124375.9922,304371815.2694,304380623.9055,304387568.5694,304362442.9264,124248.2587,304363102.4340,3368.0674,3804.4590,1827.8693,-5454.6962,1063.2394,-2019.3377,-4588.9604,1537.0369,-5322.5718,440.0173,-3608.5644,-5249.5489,3291.0166,-3365.8103,434.7936,-2032.5960,-162.2533,4799.8163,4347.3862,-319.0496,-80832.5136,-81873.9917,-84075.6259,-79059.0591,-78100.3034,-88214.6213,-91394.2548,-83561.1349,-137886848.1779,-137906086.9887,-137872593.7317,-137883356.7132,-83466.7885,-137874729.1169,
2400.000,-4214.6211,4588.8678,-6893.6425,-176.6141,1043.5376,-5728.3063,4629.7524,6290.8931,-4309.3638,1707.5562,6034.0099,5289.4734,-4163.4256,-6439.2248,-1314.3612,5681.4370,-916.4117,468.4484,-5885.9506,6032.5697,-378433.1928,-392040.5979,-371966.0798,-373153.8239,-374923.9064,-374115.2707,-381574.4207,-376190.7714,-146345749.4555,-146372213.0023,-146367003.4607,-146366480.0155,-377899.9555,-146359765.9789,4967.5189,1680.7130,379.5665,4227.0962,-6382.7429,1489.5926,2906.3612,309.3468,-235.6677,-6199.3787,-2617.1865,96.3168,2991.2130,2263.4933,6556.4045,140.7691,6565.9861,-3521.4780,894.9419,2059.8777,106832.8832,117682.6280,117755.0990,113926.4254,122534.4272,119598.4355,116336.7617,116563.5850,301248159.9811,301256546.2568,301263843.5413,301238202.6677,116252.9935,301239488.3123,2120.2614,4896.3215,322.0353,-5476.0043,2491.9874,-3579.3651,-4081.7478,2896.4054,-5059.8891,2210.5966,-2059.6739,-4422.0561,4546.5106,-1256.4229,-1382.4901,-3592.5422,-1945.9721,5965.1065,3523.1378,-2111.9121,-80911.5659,-82005.5992,-84104.8633,-79352.4432,-78115.1246,-88110.4515,-91643.7800,-83215.9081,-137889321.0821,-137908631.3555,-137875427.6707,-137885859.6917,-83593.1247,-137877249.6363,
