sl_20_5400_20250105 Coordinates.csv
2025/01/05 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:58 2024,
Start: 2025/01/05 07:47:00.00, Stop: 2025/01/05 09:17:00.00,
TIME_UNITS,STARLINK-5748 - X-Coordinate,STARLINK-31534 - X-Coordinate,STARLINK-30505 - X-Coordinate,STARLINK-11271 [DTC] - X-Coordinate,STARLINK-6066 - X-Coordinate,STARLINK-32033 - X-Coordinate,STARLINK-32230 - X-Coordinate,STARLINK-30053 - X-Coordinate,STARLINK-30981 - X-Coordinate,STARLINK-30247 - X-Coordinate,STARLINK-32020 - X-Coordinate,STARLINK-2067 - X-Coordinate,STARLINK-4455 - X-Coordinate,STARLINK-3734 - X-Coordinate,STARLINK-4206 - X-Coordinate,STARLINK-30083 - X-Coordinate,STARLINK-11191 [DTC] - X-Coordinate,STARLINK-3336 - X-Coordinate,STARLINK-3736 - X-Coordinate,STARLINK-1084 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5748 - Y-Coordinate,STARLINK-31534 - Y-Coordinate,STARLINK-30505 - Y-Coordinate,STARLINK-11271 [DTC] - Y-Coordinate,STARLINK-6066 - Y-Coordinate,STARLINK-32033 - Y-Coordinate,STARLINK-32230 - Y-Coordinate,STARLINK-30053 - Y-Coordinate,STARLINK-30981 - Y-Coordinate,STARLINK-30247 - Y-Coordinate,STARLINK-32020 - Y-Coordinate,STARLINK-2067 - Y-Coordinate,STARLINK-4455 - Y-Coordinate,STARLINK-3734 - Y-Coordinate,STARLINK-4206 - Y-Coordinate,STARLINK-30083 - Y-Coordinate,STARLINK-11191 [DTC] - Y-Coordinate,STARLINK-3336 - Y-Coordinate,STARLINK-3736 - Y-Coordinate,STARLINK-1084 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5748 - Z-Coordinate,STARLINK-31534 - Z-Coordinate,STARLINK-30505 - Z-Coordinate,STARLINK-11271 [DTC] - Z-Coordinate,STARLINK-6066 - Z-Coordinate,STARLINK-32033 - Z-Coordinate,STARLINK-32230 - Z-Coordinate,STARLINK-30053 - Z-Coordinate,STARLINK-30981 - Z-Coordinate,STARLINK-30247 - Z-Coordinate,STARLINK-32020 - Z-Coordinate,STARLINK-2067 - Z-Coordinate,STARLINK-4455 - Z-Coordinate,STARLINK-3734 - Z-Coordinate,STARLINK-4206 - Z-Coordinate,STARLINK-30083 - Z-Coordinate,STARLINK-11191 [DTC] - Z-Coordinate,STARLINK-3336 - Z-Coordinate,STARLINK-3736 - Z-Coordinate,STARLINK-1084 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,3074.7420,4644.1872,-2314.0345,-5785.1897,-4577.0340,-3947.4169,4080.3578,3253.9442,-6661.9190,4841.6697,-1120.6909,-2040.8291,1516.8235,982.5081,1743.0312,-5504.7911,-2233.4986,-1353.6208,-6087.1801,-787.5503,208995.4857,177488.7163,194316.6804,198162.8248,190460.7646,193798.8453,191035.7189,194811.0874,29764348.4963,29743798.1167,29738437.8831,29765705.7940,193566.2449,29762154.3662,5632.3213,2249.1661,6055.2694,-100.8024,2821.4688,-2480.0169,-1478.6161,3953.9604,1467.4161,-4683.5805,6276.4650,-6324.2247,-6703.3675,-4168.0692,6692.7071,-884.2463,3505.8273,-4747.9835,-3191.5463,5844.0031,310876.7116,315351.9611,322797.3671,318987.7449,323052.5487,321746.9939,313894.3240,317053.7087,-83369080.5668,-83383060.1975,-83376369.0268,-83392699.5251,316819.0369,-83385395.9692,-2636.5916,4455.3192,2457.8924,3403.6469,-4388.2969,4971.2160,-5273.8260,-4680.4525,1254.1854,-1662.9917,2423.1946,-1942.6402,-994.8142,-5438.8351,-177.5430,-4129.9972,-5308.8150,-4852.0736,715.7242,-3617.9731,-14838.9830,-19978.7749,-20379.0033,-14167.0876,-14073.6205,-24349.6597,-26909.7001,-20412.0629,39451308.3737,39432224.0174,39457561.0046,39454177.1079,-19185.0632,39463406.8864,
3000.000,4123.0916,4990.8930,-883.5607,-6331.6033,-3725.6726,-4100.7586,3746.6054,4861.5198,-5746.7373,3279.1404,106.5337,-3280.5573,1942.2375,-968.1669,2803.4108,-5018.1746,-119.7568,-2782.7467,-6178.8209,819.7813,202471.0977,170873.1180,187704.7531,191419.8848,183691.7902,187013.3108,184365.0177,188301.6620,31582880.7179,31562514.0159,31556722.5112,31584748.6029,186832.0355,31580612.8225,4121.9275,109.0193,6801.2914,1329.3158,4629.4277,-338.4199,-3504.8434,2599.8473,2827.8562,-5328.8881,6789.1525,-6092.4575,-6546.4581,-4890.5068,6015.8518,1147.3649,4137.3164,-3223.7030,-1875.0331,4939.3354,315286.9950,319112.7073,326818.9303,322947.6705,327067.5248,325803.1011,317971.4085,321339.6593,-82696396.8521,-82710764.4735,-82704345.6797,-82719826.2294,320840.5518,-82712739.2584,-3761.6455,4642.5343,1024.2392,1800.7437,-3584.9951,5431.8184,-4507.8606,-4211.3590,2656.8685,-3001.5053,673.2057,-164.2877,1247.9909,-4801.7388,-1959.1047,-4652.8596,-5322.8011,-5457.4409,2454.8886,-4775.0634,-14681.9098,-19840.5769,-20142.3284,-14175.6179,-13798.1273,-23978.6705,-26892.4789,-19884.0994,39451616.3124,39432480.7691,39457511.7416,39454681.1499,-19034.8842,39463664.6724,
3300.000,4809.5356,4874.8722,622.6020,-6196.6154,-2549.2730,-3891.3793,3077.8788,6018.1438,-4275.2119,1386.7113,1314.8611,-4192.9253,2139.5208,-2793.6089,3606.9019,-4087.5906,1988.5096,-3988.6883,-5668.8438,2389.2924,195852.1177,164179.3360,181008.0988,184592.4433,176840.1965,180142.7027,177608.7232,181582.2867,33386225.8585,33366052.3831,33359842.8522,33388588.3765,180014.2756,33383885.3990,2212.8277,-2038.2361,6888.6532,2594.9929,5991.6172,1842.1491,-5164.1322,1030.8879,3940.1334,-5485.2561,6597.7394,-5256.4887,-5682.3034,-5174.4735,4736.5807,3088.6201,4384.9954,-1413.9929,-347.9142,3577.1827,319560.8808,322734.9527,330694.1304,326762.3348,330936.6723,329709.7706,321908.5985,325450.3072,-81984058.9703,-81998805.9834,-81992676.7435,-82007265.4379,324718.9017,-82000432.0135,-4485.4658,4308.4990,-519.0517,-14.1597,-2399.5192,5282.5343,-3238.3951,-3293.1179,3775.3545,-4019.8380,-1152.4254,1631.7162,3357.6165,-3649.4628,-3529.8005,-4680.0270,-4719.9860,-5477.9502,3928.4724,-5419.1692,-14525.2040,-19702.2803,-19903.5321,-14190.3676,-13526.1048,-23601.3282,-26870.0177,-19288.8993,39451929.8300,39432740.2049,39457463.9498,39455204.5326,-18884.6922,39463922.5893,
3600.000,5075.2755,4304.4719,2073.4252,-5386.6423,-1149.6336,-3339.3333,2127.9320,6606.8964,-2390.7684,-656.4471,2400.0616,-4704.9602,2059.0481,-4318.8627,4091.8833,-2803.4894,3865.9167,-4851.6111,-4618.4350,3770.6979,189141.3936,157410.2831,174229.7303,177683.2831,169909.0906,173190.3825,170769.6854,174651.7280,35173519.3388,35153548.3788,35146934.6327,35176357.8113,173116.0094,35171107.6724,90.3809,-3973.1705,6308.9538,3578.1011,6775.0470,3833.9356,-6284.8358,-609.1435,4707.3956,-5147.3951,5721.2497,-3889.3859,-4213.4710,-4979.4468,2979.9217,4751.6116,4214.6654,500.9172,1250.7274,1898.3139,323696.2955,326217.1018,334421.1839,330429.8434,334658.4102,333464.7869,325704.0034,329360.7525,-81232409.4542,-81247526.9888,-81241703.9111,-81255360.3738,328452.3506,-81248816.7122,-4731.3292,3490.6300,-2006.8442,-1827.4335,-957.9464,4540.1018,-1606.5840,-2023.3044,4490.0881,-4609.9044,-2848.7969,3251.9423,5108.9780,-2104.9771,-4721.1752,-4208.6664,-3569.6797,-4911.3743,4977.2223,-5481.6392,-14368.8624,-19563.8825,-19662.7833,-14211.4985,-13257.5387,-23217.5497,-26842.3738,-18662.0363,39452248.9014,39433002.3571,39457417.6929,39455747.3125,-18734.4875,39464180.6373,
3900.000,4897.2606,3329.5176,3342.9846,-3982.9176,352.0352,-2493.2189,975.8279,6564.3895,-277.0280,-2654.9977,3269.6360,-4782.3508,1686.7099,-5401.1772,4224.3898,-1285.7950,5313.5613,-5279.6623,-3140.5389,4826.9372,182341.8194,150568.9045,167372.6997,170695.1908,162901.6119,166159.7781,163850.8029,167520.1401,36943904.2982,36924144.8736,36917141.2671,36947197.2775,166140.3172,36941422.9354,-2039.7094,-5498.5949,5119.3137,4192.0871,6902.9900,5428.5722,-6751.7381,-2172.5239,5062.3206,-4353.8784,4250.9881,-2119.1213,-2308.3444,-4309.0183,919.1977,5972.9625,3630.6522,2334.1649,2770.4618,70.4740,327691.2257,329557.6207,337998.3752,333948.3486,338231.2166,337065.9693,329355.7944,333051.0561,-80441809.6859,-80457288.6064,-80451787.7136,-80464473.2888,332039.2275,-80458254.6746,-4473.2548,2280.6223,-3280.2315,-3426.0478,585.9674,3287.6876,205.2856,-537.2357,4724.7379,-4709.2822,-4226.1069,4521.8859,6315.5611,-333.8785,-5405.9871,-3288.7356,-2004.6141,-3817.9222,5488.0405,-4955.7824,-14212.8816,-19425.3806,-19420.2543,-14239.1785,-12992.4153,-22827.2554,-26809.6022,-18040.6394,39452573.4989,39433267.2584,39457373.0347,39456309.5186,-18584.2700,39464438.8162,
4200.000,4289.9993,2037.3679,4321.1786,-2132.8992,1825.3210,-1426.2779,-279.9279,5888.0483,1860.3144,-4415.9787,3850.1255,-4430.9543,1047.6743,-5943.7396,3999.5955,327.0058,6180.3410,-5218.8987,-1387.2518,5447.5556,175456.3345,143658.1766,160440.0977,163630.9504,155820.9304,159054.3856,156855.0210,160207.6868,38696532.0057,38676992.8590,38669614.2689,38700255.2341,159090.3138,38693982.6075,-3971.1614,-6459.9166,3436.3367,4388.9480,6362.9358,6459.1649,-6518.6182,-3520.7527,4972.7629,-3182.5418,2340.3335,-116.2613,-181.0882,-3212.7253,-1241.4128,6629.8994,2677.4626,3910.2314,4063.6739,-1728.1469,331543.7187,332755.0381,341424.0579,337316.0482,341653.6303,340511.1683,332862.2050,336507.8759,-79612639.7225,-79628470.6346,-79623307.3479,-79634985.3002,335477.9267,-79629125.8895,-3738.6026,814.3279,-4203.6096,-4622.9097,2067.2026,1665.8146,1994.0816,1006.2974,4454.2212,-4307.5264,-5130.9176,5304.9697,6849.2457,1473.1875,-5511.3304,-2017.9149,-206.2213,-2314.2434,5405.9715,-3897.5511,-14057.2586,-19286.7718,-19176.1210,-14273.5820,-12730.7213,-22430.3718,-26771.7548,-17460.3063,39452903.5924,39433534.9422,39457330.0386,39456891.1470,-18434.0398,39464697.1261,
4500.000,3304.5566,545.4584,4922.8887,-34.1365,3141.7920,-230.5411,-1529.3699,4637.4004,3813.5836,-5767.2138,4092.5779,-3694.4471,205.0389,-5904.6281,3441.1375,1890.1985,6379.3578,-4660.3314,466.0755,5560.3671,168487.9219,136681.1059,153435.0517,156493.3358,148670.2460,151877.7710,149785.3298,152742.3974,40430562.2668,40411251.8543,40403513.6567,40434688.6415,151969.1476,40427946.6416,-5516.9075,-6761.2085,1424.1943,4161.8492,5207.9996,6818.3118,-5613.2498,-4536.7953,4444.5781,-1742.8650,188.1231,1922.8399,1932.9048,-1783.1757,-3287.0132,6652.9356,1437.5453,5081.7750,4999.8453,-3325.9955,335251.8835,335807.9460,344696.6556,340531.1848,344924.2516,343798.2613,336221.5328,339725.3849,-78745298.1138,-78761471.3709,-78756660.4948,-78767296.2195,338766.9088,-78761828.8318,-2605.2997,-743.4819,-4678.9710,-5278.5822,3327.3047,-143.2786,3558.9337,2442.0792,3707.3348,-3447.1930,-5462.8420,5517.1426,6653.4812,3121.2744,-5025.9602,-531.5390,1616.1759,-561.4806,4739.9056,-2419.9690,-13901.9902,-19148.0531,-18930.5623,-14314.8886,-12472.4445,-22026.8342,-26728.8811,-16952.4795,39453239.1496,39433805.4422,39457288.7678,39457492.1548,-18283.7972,39464955.5670,
4800.000,2024.7137,-1009.1730,5094.9224,2087.1116,4186.0713,990.7044,-2660.4540,2928.9511,5393.3887,-6574.1111,3976.0182,-2648.7676,-746.4529,-5299.8325,2598.6278,3265.6625,5897.1255,-3642.9575,2238.4089,5140.2089,161439.6074,129640.7276,146360.7246,149285.1030,141452.7868,144633.5723,142644.7628,145157.6099,42145163.8264,42126090.3102,42118008.3575,42149663.3701,144779.9987,42142483.9268,-6527.2736,-6375.0443,-721.6601,3543.6516,3551.5346,6469.7897,-4134.0083,-5135.1610,3521.4552,-166.0039,-1982.1822,3795.4744,3803.1563,-148.4461,-5013.0446,6033.6963,24.8444,5743.7189,5478.7809,-4574.4628,338813.8921,338714.9998,347814.6626,343592.0440,348041.7432,346925.1478,339432.1395,342705.4922,-77840201.7101,-77856707.4206,-77852263.1281,-77861824.3735,341904.7012,-77856780.2709,-1193.8703,-2217.8229,-4655.9984,-5316.9455,4231.5214,-1936.3154,4724.2023,3616.3658,2563.7843,-2219.5216,-5185.1252,5135.6759,5748.9588,4432.5669,-4001.4275,1011.6605,3249.9986,1251.7774,3561.6342,-681.5653,-13747.0735,-19009.2215,-18683.7599,-14363.2822,-12217.5734,-21616.5904,-26681.0280,-16542.4347,39453580.1356,39434078.7930,39457249.2853,39458112.4522,-18133.5421,39465214.1388,
5100.000,560.3510,-2482.3970,4820.3945,4000.0279,4865.7467,2131.5230,-3568.8746,925.1226,6447.2395,-6753.3537,3508.9902,-1394.1811,-1691.0310,-4200.0882,1543.5952,4334.0296,4794.1731,-2251.9328,3760.7467,4213.5122,154314.4578,122540.1039,139220.3125,142008.9799,134171.8078,137325.5028,135436.3946,137489.3060,43839514.7677,43820686.0071,43812276.6045,43844354.6073,137526.0777,43836772.6867,-6904.8277,-5344.8441,-2793.4194,2602.1084,1555.6436,5452.2397,-2238.6325,-5268.8191,2281.6601,1406.8326,-3945.4005,5312.7878,5229.2697,1539.4963,-6245.6149,4826.7253,-1425.4301,5842.9621,5441.5925,-5361.9303,342227.9801,341474.9196,350776.6451,346496.9536,351004.8313,349889.7431,342492.4524,345457.4630,-76897785.4624,-76914613.4968,-76910549.3159,-76919006.4172,344889.8991,-76914415.0703,345.1429,-3443.4001,-4137.1452,-4733.5077,4683.2463,-3512.2306,5359.3397,4403.4992,1145.8232,-755.0622,-4328.4497,4201.5047,4231.5652,5265.8060,-2546.9682,2446.5876,4504.6671,2929.9705,1998.3228,1130.3818,-13592.5056,-18870.2737,-18435.8976,-14418.9493,-11966.0971,-21199.6054,-26628.2399,-16247.9075,39453926.5130,39434355.0296,39457211.6538,39458751.8941,-17983.2747,39465472.8416,
5400.000,-961.6206,-3736.2263,4120.3722,5493.9270,5119.2982,3092.1614,-4167.4030,-1181.4754,6874.6544,-6281.9751,2729.2063,-45.7523,-2505.8583,-2722.2270,363.9797,5004.9624,3197.0764,-611.7145,4892.4117,2857.6700,147115.5797,115382.3233,132017.0441,134667.6555,126830.5896,129957.3542,128163.3398,129773.5549,45512802.9060,45494226.4492,45485506.3311,45517947.2604,130210.6242,45510000.8731,-6614.2137,-3779.5540,-4590.8273,1432.5493,-585.0018,3874.3759,-126.8338,-4932.4203,831.7468,2836.8128,-5497.6719,6318.9956,6062.7805,3119.0545,-6859.3512,3144.7964,-2769.6992,5382.4891,4878.1726,-5623.9893,345492.4482,344086.4903,353581.2417,349244.2820,353812.3065,352689.9707,345400.9649,347997.0502,-75918502.2130,-75935642.2117,-75931971.0123,-75939297.1397,347721.1657,-75935185.9792,1847.2190,-4283.2119,-3177.3802,-3595.9101,4634.2345,-4694.9715,5393.3396,4719.3347,-394.7883,790.0225,-2987.7908,2814.9750,2262.6751,5531.4348,-818.3722,3619.6596,5234.0599,4292.0524,218.9387,2820.1771,-13438.2836,-18731.2064,-18187.1613,-14482.0762,-11718.0060,-20775.8679,-26570.5588,-16078.3017,39454278.2423,39434634.1877,39457175.9359,39459410.2702,-17832.9952,39465731.6754,
