sl_5_86400_20251222 Coordinates.csv
2025/12/22 07:47:00.0000 UTC

Generated: Tue Oct  8 16:57:59 2024,
Start: 2025/12/22 07:47:00.00, Stop: 2025/12/23 07:47:00.00,
TIME_UNITS,STARLINK-5222 - X-Coordinate,STARLINK-2494 - X-Coordinate,STARLINK-4319 - X-Coordinate,STARLINK-5496 - X-Coordinate,STARLINK-11113 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5222 - Y-Coordinate,STARLINK-2494 - Y-Coordinate,STARLINK-4319 - Y-Coordinate,STARLINK-5496 - Y-Coordinate,STARLINK-11113 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5222 - Z-Coordinate,STARLINK-2494 - Z-Coordinate,STARLINK-4319 - Z-Coordinate,STARLINK-5496 - Z-Coordinate,STARLINK-11113 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,437.2154,-1476.2306,-4658.5906,2308.2908,4761.4901,19381.9402,-8754.5540,7783.3334,9881.3429,3488.4050,5827.2314,738.0905,4646.7171,-123848248.8735,-123876480.6905,-123883925.0889,-123864997.1334,4360.6249,-123865342.6993,6008.6481,3886.5172,-2226.2912,6517.5250,-3548.8359,352294.9851,369731.0577,367168.6271,363333.9790,368944.9845,366753.3209,359949.8422,361732.8606,305837122.4441,305838603.2520,305848118.0408,305837062.3605,362203.4457,305830556.6178,-3391.3256,5521.7687,-4643.9670,568.4516,3161.6820,-161057.9821,-166320.5150,-166305.4173,-159811.1650,-160585.4106,-171245.0777,-172120.1874,-166875.6778,-147993674.6691,-148015833.3556,-147989989.3059,-147976916.8645,-165138.7474,-147984615.3304,
3600.000,-2277.7705,-2293.1441,4652.0136,-3994.5612,-3515.9048,-68888.5053,-99492.4912,-81956.0406,-81452.3001,-87688.6130,-85520.4342,-89306.9203,-87140.3732,-198810605.4358,-198837343.0749,-198850639.4139,-198836271.4486,-86501.4405,-198828473.9759,-6466.5045,-5351.1724,5144.8379,-4845.7531,5443.3595,347044.7451,356515.0718,356150.6472,352526.3535,358892.2031,356980.4243,350244.0370,352078.3753,263335454.7892,263332760.5253,263338673.4163,263335169.4032,352019.3134,263328128.9649,-888.1393,-3745.9529,-347.3380,2944.7621,1820.7432,-160265.0131,-165567.0871,-164292.1362,-160876.6331,-158341.8782,-167688.7910,-172799.9779,-162617.6060,-147984091.0988,-148007909.9679,-147986347.6616,-147971508.7666,-164269.8003,-147977425.6550,
7200.000,3330.8588,4377.7340,-1540.7458,4950.4316,-509.5235,-153530.4436,-183959.7321,-166716.6763,-168187.8900,-173465.6165,-171592.1151,-174294.0920,-171274.3765,-260211763.1193,-260235679.4913,-260252629.9859,-260242861.0758,-171989.7318,-260229978.7843,3951.2690,5347.3493,-4443.7806,1229.9862,-4221.1358,319972.8185,321368.5506,322334.0703,318806.8799,326126.8393,323252.2617,318483.4090,319683.0605,202873755.7547,202868265.4418,202868182.3570,202867522.8508,319392.7075,202865339.9698,4578.2471,-380.9843,5096.5397,-4708.3771,-5225.4723,-159497.3143,-164768.2864,-162259.3832,-162855.4128,-156577.8609,-163226.3900,-172755.3579,-165028.0162,-147974028.6878,-147999425.6238,-147982380.7633,-147968005.4643,-163387.3674,-147970188.8073,
10800.000,-4307.8985,-4603.6810,-981.4231,-5242.0330,5088.9725,-229198.3220,-256872.9298,-241014.0189,-247224.0340,-248298.5654,-245945.6664,-248951.5255,-247271.6743,-303863947.4224,-303884380.8389,-303902012.1600,-303894619.0094,-246649.6273,-303881975.0216,304.5961,-2932.9694,-152.9424,2715.2721,1795.0732,272492.0908,266629.3084,267802.0412,264721.6292,272824.7841,265373.9334,266460.8891,265513.4518,128575770.7838,128569289.7347,128562009.6377,128561806.7110,266365.2421,128566189.5503,-5400.7718,4242.9491,-6874.6640,3637.2512,4015.5070,-158753.0039,-163906.5399,-160515.5016,-164342.6265,-155277.9513,-160259.9646,-172039.9227,-161053.9500,-147963670.4262,-147990287.1782,-147977975.8340,-147965004.8654,-162491.5088,-147962904.7879,
14400.000,4921.2896,4020.0151,390.6059,4459.1252,-6681.5996,-291006.3539,-313651.2246,-300014.3181,-310274.3937,-307371.7265,-304109.2596,-308512.5117,-305364.4035,-326789882.5178,-326806997.1307,-326822110.1756,-326814662.3075,-305706.5099,-326807219.2900,-3963.7997,-1256.0910,5196.8258,-5302.7708,437.4199,207319.6574,195908.2641,196029.6941,195322.9840,202423.4918,192087.1936,197247.1300,197417.2400,45508926.3004,45503378.3373,45489111.7187,45489594.8765,196281.6063,45498378.5116,2792.2589,-5496.0158,4580.6229,-400.3363,701.8785,-158030.7258,-162945.9302,-159287.8208,-161364.5731,-154450.5965,-162881.3668,-170668.0339,-162939.0711,-147953215.4091,-147980381.8815,-147973013.5110,-147961484.0195,-161582.2860,-147955573.5973,
18000.000,-4062.8558,-3310.4768,2131.7446,-2070.9628,3880.4705,-334846.6570,-350564.1127,-339893.1727,-351497.6024,-346878.9281,-343166.9604,-349033.8015,-345211.0802,-327425859.0221,-327440663.2860,-327450437.5633,-327442030.2238,-345371.1731,-327442166.1680,5366.9226,5085.2351,-6594.3695,5857.2885,-2651.2920,128339.2774,113897.9620,111648.1280,112855.8035,119410.7336,109231.8853,115041.2789,112132.1787,-40661248.9058,-40664220.1227,-40683839.5351,-40680381.4260,113579.0699,-40672341.9755,1554.0150,3318.9371,378.1886,-3094.3611,-4826.1072,-157329.5649,-161791.1442,-158661.7493,-158008.5743,-154131.9975,-165278.0378,-168618.4313,-159609.7086,-147942865.9428,-147969579.3906,-147967363.0758,-147956366.3630,-160659.7614,-147948195.2361,
21600.000,1035.1719,2161.9858,-3060.9495,-1562.1717,1004.0063,-357667.8261,-364066.6756,-358104.1192,-369820.8970,-364237.2620,-360814.0392,-367639.5609,-363701.6915,-305728413.1383,-305742576.7699,-305745170.3019,-305738083.2209,-363083.1167,-305743604.3841,-4722.2947,-6510.9663,3515.7749,-4834.6413,4719.0410,40386.1705,25665.4099,20104.1917,22605.9210,29022.9731,19894.3364,24953.7667,24915.6452,-124057504.6586,-124056970.5242,-124079086.1164,-124070021.8455,23506.9671,-124068609.6318,-4945.1370,892.3774,-5150.8466,4717.2199,4685.3312,-156648.9916,-160038.9658,-158557.9021,-155170.1913,-154397.0792,-166705.8983,-165829.7366,-160639.0313,-147932814.4431,-147957747.8187,-147960878.1454,-147948133.5456,-159723.9989,-147940769.7050,
25200.000,3154.6829,209.7458,309.2999,5093.8047,-4374.6073,-357694.9247,-353619.6324,-353526.4719,-364543.8662,-358204.7012,-355888.9868,-362641.4195,-356479.5814,-263177333.2034,-263192756.5570,-263187850.2964,-263188201.2263,-357676.0992,-263191597.1851,3280.5496,5191.3033,968.3234,3130.7212,-5099.7369,-51034.6394,-67834.2190,-72734.8482,-69422.6399,-63159.2080,-71003.8756,-67246.7824,-69448.1483,-198991710.5254,-198987832.2975,-199008781.4311,-198995932.4563,-68206.1396,-199002321.5776,5191.4483,-4577.3322,6858.4484,-3527.2362,-449.1135,-155988.8247,-157822.2180,-158753.3928,-152846.8730,-155382.7395,-167305.5050,-162193.2535,-158236.4215,-147923230.9741,-147944805.9898,-147953394.1111,-147935112.9939,-158775.0631,-147933297.0045,
28800.000,-6265.5278,-3549.8613,4329.8858,-6841.3959,4771.3287,-334574.9767,-322586.0824,-326492.7268,-336183.0441,-328885.4343,-328536.2813,-333315.8438,-330975.4135,-202674776.2408,-202692919.5791,-202682134.0501,-202692303.2046,-329455.2222,-202688526.8432,-1937.9460,-2456.3384,-2946.4103,-1134.4670,2215.6905,-140080.4777,-157001.2212,-160977.6270,-157221.1150,-151912.7165,-158017.0437,-155335.6817,-154868.5835,-260352823.1540,-260346995.3371,-260362988.2055,-260358111.4141,-155716.5394,-260362594.4468,-2183.8961,5398.5142,-4560.1790,207.4915,-4206.8596,-155349.2049,-156405.7508,-158941.5838,-151003.4421,-157282.0355,-167181.0998,-157651.0936,-158177.7856,-147914252.2344,-147930844.5193,-147944731.0147,-147920403.9999,-157813.0201,-147925777.1354,
