sl_100_5400_20250918 Coordinates.csv
2025/09/18 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:52 2024,
Start: 2025/09/18 07:47:00.00, Stop: 2025/09/18 09:17:00.00,
TIME_UNITS,STARLINK-31670 - X-Coordinate,STARLINK-4270 - X-Coordinate,STARLINK-5928 - X-Coordinate,STARLINK-30908 - X-Coordinate,STARLINK-31856 - X-Coordinate,STARLINK-4042 - X-Coordinate,STARLINK-4268 - X-Coordinate,STARLINK-5381 - X-Coordinate,STARLINK-1614 - X-Coordinate,STARLINK-2608 - X-Coordinate,STARLINK-30841 - X-Coordinate,STARLINK-30255 - X-Coordinate,STARLINK-4580 - X-Coordinate,STARLINK-2487 - X-Coordinate,STARLINK-6183 - X-Coordinate,STARLINK-5452 - X-Coordinate,STARLINK-30401 - X-Coordinate,STARLINK-31214 - X-Coordinate,STARLINK-31312 - X-Coordinate,STARLINK-5721 - X-Coordinate,STARLINK-4572 - X-Coordinate,STARLINK-3560 - X-Coordinate,STARLINK-31498 - X-Coordinate,STARLINK-31892 - X-Coordinate,STARLINK-3208 - X-Coordinate,STARLINK-4345 - X-Coordinate,STARLINK-1398 - X-Coordinate,STARLINK-31735 - X-Coordinate,STARLINK-6032 - X-Coordinate,STARLINK-1971 - X-Coordinate,STARLINK-4688 - X-Coordinate,STARLINK-4071 - X-Coordinate,STARLINK-1982 - X-Coordinate,STARLINK-1179 - X-Coordinate,STARLINK-3047 - X-Coordinate,STARLINK-3948 - X-Coordinate,STARLINK-31121 - X-Coordinate,STARLINK-3592 - X-Coordinate,STARLINK-2314 - X-Coordinate,STARLINK-1256 - X-Coordinate,STARLINK-5091 - X-Coordinate,STARLINK-5776 - X-Coordinate,STARLINK-32090 - X-Coordinate,STARLINK-2495 - X-Coordinate,STARLINK-1351 - X-Coordinate,STARLINK-4258 - X-Coordinate,STARLINK-6160 - X-Coordinate,STARLINK-30538 - X-Coordinate,STARLINK-30503 - X-Coordinate,STARLINK-30898 - X-Coordinate,STARLINK-3704 - X-Coordinate,STARLINK-4520 - X-Coordinate,STARLINK-30463 - X-Coordinate,STARLINK-31215 - X-Coordinate,STARLINK-3598 - X-Coordinate,STARLINK-30157 - X-Coordinate,STARLINK-1470 - X-Coordinate,STARLINK-3909 - X-Coordinate,STARLINK-2418 - X-Coordinate,STARLINK-1084 - X-Coordinate,STARLINK-4689 - X-Coordinate,STARLINK-31533 - X-Coordinate,STARLINK-31534 - X-Coordinate,STARLINK-31321 - X-Coordinate,STARLINK-1525 - X-Coordinate,STARLINK-3050 - X-Coordinate,STARLINK-11125 [DTC] - X-Coordinate,STARLINK-2008 - X-Coordinate,STARLINK-4714 - X-Coordinate,STARLINK-11239 [DTC] - X-Coordinate,STARLINK-3204 - X-Coordinate,STARLINK-3183 - X-Coordinate,STARLINK-2589 - X-Coordinate,STARLINK-4328 - X-Coordinate,STARLINK-1378 - X-Coordinate,STARLINK-5334 - X-Coordinate,STARLINK-5631 - X-Coordinate,STARLINK-2005 - X-Coordinate,STARLINK-30350 - X-Coordinate,STARLINK-31001 - X-Coordinate,STARLINK-5547 - X-Coordinate,STARLINK-1890 - X-Coordinate,STARLINK-31568 - X-Coordinate,STARLINK-4100 - X-Coordinate,STARLINK-11249 [DTC] - X-Coordinate,STARLINK-1191 - X-Coordinate,STARLINK-31972 - X-Coordinate,STARLINK-3322 - X-Coordinate,STARLINK-4423 - X-Coordinate,STARLINK-5150 - X-Coordinate,STARLINK-3829 - X-Coordinate,STARLINK-6106 - X-Coordinate,STARLINK-5736 - X-Coordinate,STARLINK-1258 - X-Coordinate,STARLINK-2097 - X-Coordinate,STARLINK-31187 - X-Coordinate,STARLINK-30703 - X-Coordinate,STARLINK-1092 - X-Coordinate,STARLINK-1739 - X-Coordinate,STARLINK-4023 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31670 - Y-Coordinate,STARLINK-4270 - Y-Coordinate,STARLINK-5928 - Y-Coordinate,STARLINK-30908 - Y-Coordinate,STARLINK-31856 - Y-Coordinate,STARLINK-4042 - Y-Coordinate,STARLINK-4268 - Y-Coordinate,STARLINK-5381 - Y-Coordinate,STARLINK-1614 - Y-Coordinate,STARLINK-2608 - Y-Coordinate,STARLINK-30841 - Y-Coordinate,STARLINK-30255 - Y-Coordinate,STARLINK-4580 - Y-Coordinate,STARLINK-2487 - Y-Coordinate,STARLINK-6183 - Y-Coordinate,STARLINK-5452 - Y-Coordinate,STARLINK-30401 - Y-Coordinate,STARLINK-31214 - Y-Coordinate,STARLINK-31312 - Y-Coordinate,STARLINK-5721 - Y-Coordinate,STARLINK-4572 - Y-Coordinate,STARLINK-3560 - Y-Coordinate,STARLINK-31498 - Y-Coordinate,STARLINK-31892 - Y-Coordinate,STARLINK-3208 - Y-Coordinate,STARLINK-4345 - Y-Coordinate,STARLINK-1398 - Y-Coordinate,STARLINK-31735 - Y-Coordinate,STARLINK-6032 - Y-Coordinate,STARLINK-1971 - Y-Coordinate,STARLINK-4688 - Y-Coordinate,STARLINK-4071 - Y-Coordinate,STARLINK-1982 - Y-Coordinate,STARLINK-1179 - Y-Coordinate,STARLINK-3047 - Y-Coordinate,STARLINK-3948 - Y-Coordinate,STARLINK-31121 - Y-Coordinate,STARLINK-3592 - Y-Coordinate,STARLINK-2314 - Y-Coordinate,STARLINK-1256 - Y-Coordinate,STARLINK-5091 - Y-Coordinate,STARLINK-5776 - Y-Coordinate,STARLINK-32090 - Y-Coordinate,STARLINK-2495 - Y-Coordinate,STARLINK-1351 - Y-Coordinate,STARLINK-4258 - Y-Coordinate,STARLINK-6160 - Y-Coordinate,STARLINK-30538 - Y-Coordinate,STARLINK-30503 - Y-Coordinate,STARLINK-30898 - Y-Coordinate,STARLINK-3704 - Y-Coordinate,STARLINK-4520 - Y-Coordinate,STARLINK-30463 - Y-Coordinate,STARLINK-31215 - Y-Coordinate,STARLINK-3598 - Y-Coordinate,STARLINK-30157 - Y-Coordinate,STARLINK-1470 - Y-Coordinate,STARLINK-3909 - Y-Coordinate,STARLINK-2418 - Y-Coordinate,STARLINK-1084 - Y-Coordinate,STARLINK-4689 - Y-Coordinate,STARLINK-31533 - Y-Coordinate,STARLINK-31534 - Y-Coordinate,STARLINK-31321 - Y-Coordinate,STARLINK-1525 - Y-Coordinate,STARLINK-3050 - Y-Coordinate,STARLINK-11125 [DTC] - Y-Coordinate,STARLINK-2008 - Y-Coordinate,STARLINK-4714 - Y-Coordinate,STARLINK-11239 [DTC] - Y-Coordinate,STARLINK-3204 - Y-Coordinate,STARLINK-3183 - Y-Coordinate,STARLINK-2589 - Y-Coordinate,STARLINK-4328 - Y-Coordinate,STARLINK-1378 - Y-Coordinate,STARLINK-5334 - Y-Coordinate,STARLINK-5631 - Y-Coordinate,STARLINK-2005 - Y-Coordinate,STARLINK-30350 - Y-Coordinate,STARLINK-31001 - Y-Coordinate,STARLINK-5547 - Y-Coordinate,STARLINK-1890 - Y-Coordinate,STARLINK-31568 - Y-Coordinate,STARLINK-4100 - Y-Coordinate,STARLINK-11249 [DTC] - Y-Coordinate,STARLINK-1191 - Y-Coordinate,STARLINK-31972 - Y-Coordinate,STARLINK-3322 - Y-Coordinate,STARLINK-4423 - Y-Coordinate,STARLINK-5150 - Y-Coordinate,STARLINK-3829 - Y-Coordinate,STARLINK-6106 - Y-Coordinate,STARLINK-5736 - Y-Coordinate,STARLINK-1258 - Y-Coordinate,STARLINK-2097 - Y-Coordinate,STARLINK-31187 - Y-Coordinate,STARLINK-30703 - Y-Coordinate,STARLINK-1092 - Y-Coordinate,STARLINK-1739 - Y-Coordinate,STARLINK-4023 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31670 - Z-Coordinate,STARLINK-4270 - Z-Coordinate,STARLINK-5928 - Z-Coordinate,STARLINK-30908 - Z-Coordinate,STARLINK-31856 - Z-Coordinate,STARLINK-4042 - Z-Coordinate,STARLINK-4268 - Z-Coordinate,STARLINK-5381 - Z-Coordinate,STARLINK-1614 - Z-Coordinate,STARLINK-2608 - Z-Coordinate,STARLINK-30841 - Z-Coordinate,STARLINK-30255 - Z-Coordinate,STARLINK-4580 - Z-Coordinate,STARLINK-2487 - Z-Coordinate,STARLINK-6183 - Z-Coordinate,STARLINK-5452 - Z-Coordinate,STARLINK-30401 - Z-Coordinate,STARLINK-31214 - Z-Coordinate,STARLINK-31312 - Z-Coordinate,STARLINK-5721 - Z-Coordinate,STARLINK-4572 - Z-Coordinate,STARLINK-3560 - Z-Coordinate,STARLINK-31498 - Z-Coordinate,STARLINK-31892 - Z-Coordinate,STARLINK-3208 - Z-Coordinate,STARLINK-4345 - Z-Coordinate,STARLINK-1398 - Z-Coordinate,STARLINK-31735 - Z-Coordinate,STARLINK-6032 - Z-Coordinate,STARLINK-1971 - Z-Coordinate,STARLINK-4688 - Z-Coordinate,STARLINK-4071 - Z-Coordinate,STARLINK-1982 - Z-Coordinate,STARLINK-1179 - Z-Coordinate,STARLINK-3047 - Z-Coordinate,STARLINK-3948 - Z-Coordinate,STARLINK-31121 - Z-Coordinate,STARLINK-3592 - Z-Coordinate,STARLINK-2314 - Z-Coordinate,STARLINK-1256 - Z-Coordinate,STARLINK-5091 - Z-Coordinate,STARLINK-5776 - Z-Coordinate,STARLINK-32090 - Z-Coordinate,STARLINK-2495 - Z-Coordinate,STARLINK-1351 - Z-Coordinate,STARLINK-4258 - Z-Coordinate,STARLINK-6160 - Z-Coordinate,STARLINK-30538 - Z-Coordinate,STARLINK-30503 - Z-Coordinate,STARLINK-30898 - Z-Coordinate,STARLINK-3704 - Z-Coordinate,STARLINK-4520 - Z-Coordinate,STARLINK-30463 - Z-Coordinate,STARLINK-31215 - Z-Coordinate,STARLINK-3598 - Z-Coordinate,STARLINK-30157 - Z-Coordinate,STARLINK-1470 - Z-Coordinate,STARLINK-3909 - Z-Coordinate,STARLINK-2418 - Z-Coordinate,STARLINK-1084 - Z-Coordinate,STARLINK-4689 - Z-Coordinate,STARLINK-31533 - Z-Coordinate,STARLINK-31534 - Z-Coordinate,STARLINK-31321 - Z-Coordinate,STARLINK-1525 - Z-Coordinate,STARLINK-3050 - Z-Coordinate,STARLINK-11125 [DTC] - Z-Coordinate,STARLINK-2008 - Z-Coordinate,STARLINK-4714 - Z-Coordinate,STARLINK-11239 [DTC] - Z-Coordinate,STARLINK-3204 - Z-Coordinate,STARLINK-3183 - Z-Coordinate,STARLINK-2589 - Z-Coordinate,STARLINK-4328 - Z-Coordinate,STARLINK-1378 - Z-Coordinate,STARLINK-5334 - Z-Coordinate,STARLINK-5631 - Z-Coordinate,STARLINK-2005 - Z-Coordinate,STARLINK-30350 - Z-Coordinate,STARLINK-31001 - Z-Coordinate,STARLINK-5547 - Z-Coordinate,STARLINK-1890 - Z-Coordinate,STARLINK-31568 - Z-Coordinate,STARLINK-4100 - Z-Coordinate,STARLINK-11249 [DTC] - Z-Coordinate,STARLINK-1191 - Z-Coordinate,STARLINK-31972 - Z-Coordinate,STARLINK-3322 - Z-Coordinate,STARLINK-4423 - Z-Coordinate,STARLINK-5150 - Z-Coordinate,STARLINK-3829 - Z-Coordinate,STARLINK-6106 - Z-Coordinate,STARLINK-5736 - Z-Coordinate,STARLINK-1258 - Z-Coordinate,STARLINK-2097 - Z-Coordinate,STARLINK-31187 - Z-Coordinate,STARLINK-30703 - Z-Coordinate,STARLINK-1092 - Z-Coordinate,STARLINK-1739 - Z-Coordinate,STARLINK-4023 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4585.5364,912.4789,1789.4788,-2338.8711,-3972.2369,2489.5796,-875.4792,2822.0793,5232.5853,-1794.2389,-5251.8714,-6759.2955,4723.9883,-3321.7633,6857.3902,-1627.4857,-6388.2467,-170.9042,-3130.5472,-1661.2326,5746.9982,744.8760,-2550.6366,-5585.5319,3689.4717,-5305.8181,-6141.4455,5542.6595,5669.7427,-2589.3138,-4838.0868,2158.8160,5338.1161,-3795.0596,6627.6400,-4491.8339,-6180.8798,4241.6013,1501.0126,723.2744,-5382.5898,6258.5834,-2922.4257,-933.7688,5519.4985,-2327.1777,729.6840,2403.5901,4965.0380,-5478.9872,-3638.8404,1451.4695,-290.5877,5500.3223,4656.8449,1601.9615,2351.4885,-6341.3622,4176.9380,3375.8234,-6894.3665,3117.4999,-4248.8320,-3971.9845,-6031.9834,4135.0841,3114.3167,4852.7993,5438.0279,-4762.1511,-4319.8094,-4760.8566,3982.8071,-2196.0361,-5723.7329,13.3123,-5909.3724,4541.8450,876.5301,-2772.8688,-2322.7413,3915.8640,1888.5034,4626.0966,4249.8185,405.9400,1298.9559,2774.7612,-5702.8296,-6439.9949,3960.0954,-438.9193,5138.0855,345.6243,2943.3320,-5349.6789,-3667.4046,5168.7806,-4104.9053,1606.1916,-344562.4602,-338356.0283,-328037.9931,-332267.8777,-326356.9816,-328791.6696,-335180.5953,-332331.5830,6831144.5756,6863480.1556,6833058.6680,6851668.3843,-333121.7800,6844834.8197,-2015.6462,5114.1630,1577.9224,-5408.0301,3568.3006,5606.1186,6397.5883,-6172.7047,1154.1507,4909.1259,-3393.5224,1462.8123,-2540.0398,4585.9683,1022.6569,-5052.5005,556.6227,5222.8845,4310.8730,6420.0300,-2590.8473,5727.5433,5352.1832,3869.3034,-4781.1303,-2838.2832,-431.0649,-590.2989,-1700.0967,3337.4081,-3613.1341,-5808.0784,441.1906,3557.4514,-944.8934,574.8879,1675.4607,3808.4898,-3866.6859,-6637.3357,4367.0358,-2291.7915,4477.1041,-4239.8224,-821.2367,-4269.6326,-6061.6400,4983.2062,-2645.3755,-1004.3835,2576.9604,-6003.2256,-5954.0827,-4020.7241,996.4405,-6503.9565,-3509.2962,-1276.3348,-303.8779,3967.1848,-123.8869,-4619.9489,3631.7271,1066.9707,3274.0159,-3028.4159,2627.1176,-1654.1234,-2663.1112,-213.1282,1135.1749,5010.0486,-1213.6066,-2347.8947,2300.7132,-5848.6798,-253.5958,544.2254,-6773.7962,5445.6171,5888.5486,1621.8679,4971.3556,1983.5595,-974.7887,-5326.5791,-6621.5473,2969.2857,2473.0346,2003.2353,-1780.9227,-5059.5482,-89.0969,6679.0116,3948.5530,-2103.5039,2678.9302,141.9701,4394.9857,6192.3922,132640.7861,154106.4469,143079.4818,140738.7680,146767.9793,144430.2467,150060.8456,145423.8775,341534045.0376,341568106.9704,341520041.4143,341536366.8800,146239.5804,341525020.8074,4614.8603,4551.2497,-6534.0395,3647.3311,4234.2229,3178.5069,2456.4429,1400.0796,-4351.3507,4513.0423,2987.1870,-641.4808,-4368.9267,-3973.8530,142.2852,-4437.1599,2642.3438,4425.0734,-4266.3578,-2050.9088,-2907.0073,3792.8393,-3384.2395,575.6334,3358.5255,-3468.5952,3150.4856,3969.4766,-3616.7740,5473.7201,3367.0793,3057.0985,-4383.8737,-4565.2866,-1155.4928,-5234.1538,2434.8755,-3922.8360,5510.8306,-1814.4371,-73.3947,-1924.1744,-4243.6836,-5378.7001,-4105.8956,-4947.3404,-3297.0290,-4187.6857,4042.4962,3962.0978,5280.4463,-3073.6878,-3548.3578,-859.8822,-5017.5100,1798.7011,5469.5614,-2439.9568,5483.6541,-4499.2038,523.4304,3919.0644,-3922.1118,5458.5490,-914.8046,-4707.5300,-5371.6790,-4644.7996,3327.5401,4563.2374,-5285.8071,-135.8575,-5531.5357,6138.4639,-3153.7298,-3738.7284,-3615.7732,-5185.7665,-1213.8611,-3292.7551,2818.7142,-5459.2555,-4283.3263,4732.1602,5128.9417,-4409.0032,965.6089,5330.9799,-3106.3877,1603.4302,5370.0404,-4726.8963,4646.4951,1752.3165,4835.9208,3707.8276,5117.8578,-4471.8874,3303.2749,-2692.8959,131405.7964,128784.1260,125838.6177,132791.1501,131583.9549,120888.2776,120413.5303,128583.4094,-63088792.6104,-63113494.4479,-63111389.7191,-63102613.7442,127216.2843,-63100979.5320,
300.000,3657.7649,2656.1878,3268.9689,-4109.2875,-2014.5484,3337.1331,551.8593,1164.2205,6201.3800,-466.1177,-5447.8403,-5981.2714,2939.7109,-2455.9691,6712.5601,-3363.0660,-5421.4599,1904.2729,-1069.7370,-175.4794,4772.0248,2272.4390,-556.4119,-4330.4760,2894.9716,-5754.0513,-5188.8568,5988.6720,4314.4757,-1006.4381,-6073.5532,1045.9958,4337.0378,-1812.9203,6530.0550,-4723.3635,-5934.4828,4412.1721,-563.7516,-618.3908,-4171.0007,5042.2374,-836.0040,-2797.7314,4157.7415,-3428.7866,-938.1246,4258.1665,4352.6747,-4620.0425,-1814.0146,-140.0173,-2035.5762,4179.1234,4056.9250,116.6874,678.9679,-6875.7386,4087.6929,3928.4625,-6710.5295,1728.4148,-2365.5178,-3375.7107,-5361.7448,4479.3335,4526.4393,3242.4972,3840.1256,-3710.1791,-4246.2887,-3632.9284,3178.9336,-286.9504,-5633.5825,-1789.3497,-6309.6808,3880.2862,-631.5009,-824.8591,-458.2969,4870.3074,3832.2048,4301.0943,2960.0605,-1151.4907,-216.0591,4034.3194,-4664.2373,-5342.8587,2463.4729,-2540.6758,4625.9872,1564.7604,4729.8426,-5209.3553,-1765.7746,5855.9339,-3417.8263,2954.2148,-347286.0560,-341573.0985,-331144.3186,-335362.1604,-329383.3667,-331778.7730,-338225.1767,-335476.6086,-628169.6490,-596793.8376,-626266.8958,-608148.7165,-336177.1137,-614495.8675,-3938.2178,5464.9832,-10.9649,-4999.2419,4003.9379,4068.2113,5652.3659,-6237.8882,-272.7321,6082.5733,-1502.6324,2828.2367,-3436.6912,5955.8748,-506.5716,-5173.7934,2124.4668,4633.2566,4889.9031,6914.5194,-1671.0891,6115.5219,5315.3580,4841.8698,-6027.6800,-3635.5601,1038.5254,-2166.1577,-3177.2710,4735.0107,-2799.2367,-6687.7840,-1291.3774,4027.9788,-1573.7564,2556.4280,3281.1703,1911.4927,-4496.8518,-5992.1862,5303.6619,-3518.6941,4939.9867,-3122.8363,-2206.4024,-2479.5262,-6568.0611,4405.2961,-4454.1520,737.8417,3743.1489,-5314.7208,-4991.7258,-4933.6294,-1037.1100,-6930.3626,-4797.2866,-74.4269,-2428.8651,2007.4376,1076.6992,-5932.7379,4529.5973,3136.4283,4284.3289,-4395.4576,999.5739,-2928.4948,-3462.7052,1652.8163,3149.2941,5560.9768,-3213.2546,-1283.0346,3734.0452,-6179.3761,1509.6862,-1500.8853,-6899.3114,5456.3496,5713.4591,-252.0526,4481.5699,-64.6433,-2751.6988,-6088.5838,-6789.2718,1150.5051,1543.8810,3282.5001,-3359.9190,-4709.2097,-2183.7614,5836.7491,3390.5371,-59.3866,3707.9286,-1499.0665,5707.3147,6201.7554,125280.9286,147176.8198,135925.1807,133727.3226,139751.9043,137406.2016,142946.3886,138838.4129,341602735.1771,341637050.9445,341588125.7253,341605258.4813,139199.2931,341593634.5468,4184.1592,3287.9756,-6139.6096,2483.4201,5130.8061,4473.4282,3929.6918,2781.4449,-3016.5868,3240.9106,4008.1161,-2116.8682,-5235.3358,-2517.2687,1658.7876,-3126.1219,3764.9980,4668.0721,-4640.8248,-567.6954,-4757.9133,2283.9440,-4248.8312,2067.5082,1753.2428,-1372.8369,4449.0547,2510.5826,-4405.7613,4938.2434,1763.7919,1398.3941,-5238.1946,-5328.6803,994.7725,-4364.6927,992.3284,-4977.1592,5200.2173,-3406.0441,-1594.1284,-3214.0370,-4636.5158,-5495.4281,-5084.4566,-5497.3761,-2028.0837,-3255.3807,3037.8744,4981.0204,5518.7353,-4397.6785,-4366.8372,-2317.9947,-5506.6234,292.7470,4929.5089,-699.1136,5001.4481,-5284.0192,-1289.0175,2873.9692,-4529.9380,5048.4258,897.4808,-3004.2784,-4895.9287,-5364.3399,4579.2468,5199.5665,-4464.6397,-1920.6074,-5243.9767,6802.7031,-1516.0291,-2605.1738,-2440.2592,-5523.6527,324.5760,-4211.6105,3891.2587,-4896.7990,-3442.7806,5404.4567,5382.8208,-3092.9580,-591.5852,5228.3929,-4915.6353,2951.9965,5507.3246,-4415.6872,4672.4843,3353.5803,3714.9603,4431.0653,5471.9976,-3191.0996,1689.8289,-983.3922,131300.8029,128690.3890,125817.6865,132563.9122,131622.1889,120969.9571,120146.1791,128698.4102,-63094291.7074,-63119142.9935,-63116409.4248,-63108439.9809,127113.9272,-63106440.2381,
600.000,2396.4038,4110.7634,4474.0506,-5470.6949,156.7940,3902.7968,1964.4854,-627.6296,6563.4748,873.7096,-5150.7193,-4625.2917,874.9430,-1374.2771,5920.1478,-4744.2305,-3944.1891,3804.9311,1094.4497,1321.8357,3250.1767,3552.3150,1512.2393,-2623.3863,1831.2576,-5566.5167,-3744.2171,5837.1724,2560.9903,632.3086,-6699.8445,-155.1795,2948.1404,349.1128,5717.5569,-4531.8329,-5097.6139,4199.9722,-2548.9225,-1935.0282,-2545.8599,3338.3155,1332.9951,-4417.1773,2411.4063,-4250.9977,-2497.9013,5695.2984,3346.6945,-3325.3498,160.7101,-1757.5946,-3617.1318,2430.7353,3111.7616,-1377.0053,-1019.4262,-6724.5566,3646.6582,4146.0281,-5858.7411,190.3713,-249.8950,-2489.8580,-4153.5252,4402.3101,5489.7156,1337.0965,1858.9030,-2281.2213,-3800.7672,-2127.9519,2117.6885,1601.1485,-4997.0819,-3400.6455,-6112.4685,2891.3260,-2081.5505,1220.6203,1474.0628,5384.1749,5380.5982,3605.3424,1400.0893,-2565.5769,-1714.7759,4903.1941,-3091.7136,-3727.1460,765.5737,-4397.7328,3709.5572,2665.5746,6038.8238,-4583.5098,292.4343,5962.0085,-2400.8304,4001.7048,-349851.6082,-344646.0998,-334104.1084,-338309.3258,-332264.3020,-334619.9361,-341117.0470,-338548.2861,-8087219.7886,-8056806.1119,-8085296.8585,-8067716.5450,-339083.6734,-8073558.7462,-5468.1681,5299.2541,-1539.9222,-4127.3023,4082.9270,2124.6954,4362.3521,-5714.4053,-1641.0721,6661.2776,550.2920,3941.4637,-4051.0561,6730.8971,-2002.4401,-4809.9706,3520.3526,3620.7037,5018.1517,6740.9828,-629.4637,5909.0437,4777.0512,5337.9006,-6668.3893,-4053.6362,2449.4854,-3496.4447,-4385.9648,5697.2572,-1726.2783,-6900.4487,-2938.7819,4160.2624,-2044.4229,4264.3682,4549.3597,-190.1968,-4731.8440,-4765.2669,5738.4011,-4436.5426,4947.3056,-1748.3074,-3425.3005,-469.3141,-6448.2396,3432.5049,-5824.3554,2445.5578,4592.1726,-4124.4108,-3573.5745,-5374.4845,-2993.9026,-6686.1674,-5645.8196,1127.0570,-4304.3991,-152.7794,2184.7037,-6646.0826,5012.3475,4891.4884,4877.8082,-5294.5644,-691.1014,-3967.5916,-3969.2161,3370.1840,4838.7080,5573.5601,-4911.7179,0.7793,4785.0705,-5930.2166,3107.9167,-3421.9099,-6356.5143,4977.6512,5013.6142,-2066.8200,3570.1171,-2128.2662,-4272.6812,-6266.6920,-6263.8892,-756.3648,509.3273,4272.0389,-4648.7052,-3946.8798,-4077.6145,4419.4505,2535.7945,2008.0646,4415.0083,-2956.5922,6431.6115,5605.7476,117866.2310,140176.1412,128709.3663,126652.7740,132672.9394,130322.0118,135767.3503,132211.7575,341508524.1365,341543070.7692,341493311.0052,341511213.2615,132095.1049,341499346.2272,3282.2297,1669.3678,-5097.2197,1053.5473,5450.6602,5285.0180,4978.0595,3864.6066,-1354.7513,1618.3680,4599.8029,-3366.9823,-5539.5026,-789.4304,2997.6698,-1478.4725,4485.3224,4393.7739,-4496.1788,976.1198,-6102.9410,528.3886,-4638.2662,3326.6345,-41.4053,869.2070,5268.3806,772.6321,-4724.8466,3871.5391,-29.7193,-411.4330,-5530.9228,-5520.6734,3031.6587,-3026.4751,-560.2354,-5497.3038,4326.2571,-4631.4269,-2944.1919,-4160.8528,-4510.8269,-5020.6966,-5519.3144,-5462.0398,-542.4882,-1975.6404,1707.7294,5444.9798,5162.7205,-5245.1053,-4719.6833,-3521.0364,-5404.5092,-1244.5219,3858.4312,1117.2644,3977.9728,-5492.9114,-2962.5433,1505.2622,-4631.6358,4076.2327,2613.1506,-983.0842,-3852.3676,-5507.9714,5336.3786,5193.5043,-3163.8298,-3498.1422,-4394.4465,6741.5454,284.4100,-1193.7621,-1003.4266,-5267.8191,1828.2705,-4682.1284,4546.9419,-3806.5981,-2216.9835,5493.8132,5009.8664,-1445.0204,-2082.2164,4509.7875,-6203.9419,3984.4318,5050.2346,-3633.6629,4198.4549,4592.7861,2191.8919,4661.4254,5219.0372,-1554.3463,-110.0481,831.1061,131195.4266,128595.8223,125799.1422,132331.4583,131656.6968,121057.3441,119884.3803,128688.0795,-63099796.2507,-63124791.0651,-63121420.3422,-63114262.9658,127011.4890,-63111900.8975,
